凛母,凛ー、朝ごはんはいいのー？
凛,なら……。もう何でもいい。何が起こってるの？なんでみんな止まってるの？空が暗いのは……！？
ぴにゃこら太,ま、待つぴにゃ。全部答えるぴにゃ。だから、ちょっと落ち着いて……
凛,落ち着いてなんかいられる！？
ぴにゃこら太,じ、時間も迫ってるぴにゃ。まずは深呼吸……
凛,……この状況は何なの？
ぴにゃこら太,……さっきも言った通り、これは暗転と呼ばれているものぴにゃ
凛,暗転……？
ぴにゃこら太,うん。まずは、全ての時間が停止するぴにゃ
凛,じ、時間が……。……まずは？
ぴにゃこら太,次に、世界中が暗闇に覆われていくぴにゃ。今はまだ、薄暗い程度だけど……
凛,…………
ぴにゃこら太,このまま闇が深まっていくと、世界はヤツらのものになってしまうぴにゃ！
凛,や、ヤツら……？
ぴにゃこら太,ヤツらのことを話している時間はもう無いぴにゃ！真っ先にぴにゃを潰しに――
凛,うわ！！壁が……！？
ぴにゃこら太,も、もう来たぴにゃか！？
？？？,探したわよ、プロデュース妖精……？
ぴにゃこら太,ざ、ザイゼン……！
ザイゼン,この豚めが。少々手間取ってしまったわ。……あら？動ける子がいたのね。ってことは……。彼女が３人目ってワケ？
ぴにゃこら太,す、すぐに２人が来るぴにゃ！今日は朝から備えてもらってたんだから……！
ザイゼン,あらそう。なら……。来る前に潰してしまわないとね？。折角だから、お気に入りの豚を呼ぼうかしら？。現れなさい、渇望の軍勢！ツキミマラソーン！
ツキミM,ｳｵｵｵｵｵｵｵｵｵ!!
ぴにゃこら太,ぴにゃっ！多い……！？
凛,な、何これ……！？
ツキミM,ｳｵｵｵｵｵｵｵｵｵ
ザイゼン,さて、と。囲んだわよ？数で攻めるのが一番よね。大量の奴隷ってのは気分がいいわ。さて、後は任せるわ。ダメな豚は即料理だから、せいぜい頑張りなさい
ツキミM,ｳｵｵｵｵ･･･
凛,ひっ……！
ツキミM,ｳｵｵｵｵｵｯ!?
？？？,ごめん、ぴぃ！遅れちゃった！。悪い！人を探すっていうもんだから、てっきり遠くに行ってんのかと……
ザイゼン,来たわね、トライアドプリムス
？？？,まだ２人だけどね。何だこりゃ！？メチャクチャ多いぞ！？
凛,今度は変なコスプレ！？
？？？,やめろぉ！人が気にしてる事を……！。え、あの子動けてる……！？
ザイゼン,面倒なのはイヤなの。お決まりの名乗りだけ見たら、鼻で笑ってさっさと退くわ
？？？,ぐぅ……こっちだって好きでやってるワケじゃないのに……！。はいはい。だからさっさと終わらせるよ？
加蓮,きらめきスタート！プリムスシャイン！！
奈緒,じゅ、純情ステージ！プリムスゴシック！。ライブの始まりだ！
加蓮,見逃さないでよ？
凛,
ザイゼン,……ﾊｯ
奈緒,ああもうヤダヤダ！あたし帰るうう！！
加蓮,はいはい腹くくるー
凛,な、何なのアレ……？
ぴにゃこら太,キミの相棒達ぴにゃ！
凛,…………
ザイゼン,さて、満足したから後は任せるわ
加蓮,うわ逃げ足速っ
奈緒,なら最初から来るなああああ！
加蓮,って、そうじゃなくて！
凛,え、うわ……！？
ツキミM,ｳｵｵｵｵ･･･
奈緒,そうだ、アイツ助けないと！
加蓮,ほいっと！
奈緒,そりゃぁっ！
ツキミM,ｳｵｵｵｵｯ!?
凛,すごい、どんどんいなくなっていく……！
加蓮,よっと！……ねえぴぃ！その子動けてるってことはもしかしてー！？
ぴにゃこら太,うん！彼女が探していた３人目ぴにゃ！
凛,ね、ねえ！さっきから何なの！？私が３人目って……！
ぴにゃこら太,それはもちろん、キミが――
奈緒,――ッ！危ない！後ろに一匹！！
凛,……え？
ツキミM,ｳｵｵｵｵｵ!!
凛,きゃっ！。え、何……？周りが、光って……
ぴにゃこら太,……間一髪だったぴにゃ。もたついてごめんぴにゃ。さあ、キミのプロデュースを始めるぴにゃ
凛,ぷ、プロデュース……？
ぴにゃこら太,この空間はあまり持たないぴにゃ。質問に答えてくれれば、すぐに終わるぴにゃ
凛,質問？
ぴにゃこら太,キミには力を持つ資格がある。きっと、何だって叶えられる力ぴにゃ。その力は、何に使うぴにゃ？
凛,そんな事、急に言われたって……
ぴにゃこら太,シャインは輝く自分になりたい……。ゴシックは前に進めない自分を変えたい……。さあ、キミは……？凛は……何を叶えたい？
凛,私は……。私は、守りたい。友達や、この学校を守る……。皆と一緒に走り出す為に……！
ぴにゃこら太,素晴らしい……。きっとキミは輝けるぴにゃ。それじゃあ色を決めよう。シャインが白で、ゴシックは黒だからそれ以外から選ぶぴにゃ
凛,色？色って大事なの？
ぴにゃこら太,暗転を変えるのは、ライブステージの力。大事なのは、思い切り輝ける好きな気持ち。ノッた分だけ輝いて、みんなの元気を復活させるぴにゃ！
凛,そう……。色、か……。私は……蒼が好きかな
ぴにゃこら太,よし、これでキミのデビューは決まったぴにゃ！。さあ、変身ぴにゃ！
凛,……ふふ、何だか悪くないかもね
ツキミM,ｳｵｵｵｵｵｵｵｵｵ!?
加蓮,あ、始まった
奈緒,これで遂に、全員揃うんだな
加蓮,負けてらんないね？
奈緒,ああ、３人目の分、残してらんないかもな！
凛,駆け出すジェネレーション！。プリムスアイオライト！！
ぴにゃこら太,決まったぴにゃ！
凛,…………。………………！？。……帰る
ぴにゃこら太,待つぴにゃ！？
凛,だってもう青の発音とかおかしかったしすごい格好だし勝手に口が動くし
ぴにゃこら太,うわ流れるように……って少なくとも青の件はぴにゃの責任じゃないぴにゃ！
奈緒,まあ待てって
加蓮,ちゃんと新入りの分残してあるから
ツキミM,ｳｵｵｵｵ･･･
凛,やだ。やだやだ
奈緒,巻き添えは多い方が良いもんなあ？
加蓮,そうだよ。それに最後の一人がリーダーだって聞いてたし？
凛,え、リーダーって聞いてない
ぴにゃこら太,だ、だって立て込んでたぴにゃし……
奈緒,ま、そんなワケで頼むよ。リーダーさん？
加蓮,〆の決めゼリフはよろしくね？
凛,待って。待ってよ
ぴにゃこら太,さあバシッと決めるぴにゃ！
ツキミM,ｳ、ｳｵｵｵｵｵｵｵｵｵ!!
凛,うう……
加蓮,まあまあ、世界の平和の為と思って
奈緒,アタシらなんて２ヶ月もやってるし
凛,…………分かった。行くよ。駆け出すジェネレーション！プリムスアイオライト！！
加蓮,きらめきスタート！プリムスシャイン！！
奈緒,純情ステージ！プリムスゴシック！
凛,私たちだけが、乗り越えられる！。じゃあ…残していこうか、私たちの足跡！！。…………うう
加蓮,最初はそんなもんだよ
奈緒,こうなりゃヤケクソだ！突撃ー！！
ツキミM,ｳｵｵｵｵｵｵｵｵｵ!!
凛,はぁっ！！
加蓮,よいしょっ！
奈緒,うりゃあっ！
ツキミM,ｳｵｵ･･･ｵｵ･･･
奈緒,よしトドメ！
加蓮,アイオライトよろしく！
凛,こうなったらやるしかないね……！。いくよ！
奈緒,おお！
加蓮,……そういえば、何やるの？
凛,……
奈緒,え？
加蓮,聞いてないもんね
ぴにゃこら太,……ひ、必殺技の出番ぴにゃ！三人の力を合わせるぴにゃ！
凛,これって……マイク？
加蓮,そっか、ライブステージだもんね
奈緒,う、歌えって事か！？
ぴにゃこら太,デビューステージ、クライマックスぴにゃ！
凛,これでラスト！魅せるよ！
奈緒,やっと終わりだ！
加蓮,なんか長かったなあ
凛,プリムス！。はぁ、終わった……
加蓮,あ、ヤバっ。暗転終わっちゃう
奈緒,変身解かねえと！見られたら二度と表歩けねえ……！
凛,やっぱり、C組の……
加蓮,やっぱ一目で分かっちゃうよねえ
奈緒,アタシ暗転とか無かったら絶対断ってたよ
凛,休みがちだったのも？
奈緒,ああ、ぴにゃ坊に呼び出されてさ
加蓮,誤魔化すの大変なんだよねー。ま、これで３人揃ったことだし、同じ学校なら休んでから集まる必要もないよね
奈緒,場所とか色々だったもんなあ。結局その必要が無かったってのはむかつくけど
ぴにゃこら太,ぴ、ぴにゃだって大変なんだぴにゃ！全国飛び回ってたし……
加蓮,ちょくちょくもの凄いの連れて来たりしたよね、なんか世界のレベルがどーこーとか
奈緒,あん時は大変だったなあ……。ま、仲良くしような！学年も一緒なんだしさ
凛,うん、よろしくね
奈緒,と、ところでさ……アニメとかって観るか？話合うヤツがいないんだ
凛,え？うーん、観ないかな
加蓮,趣味が合おうが何だろうが、どっちみち周りからかわいがられるだけじゃん
奈緒,あ、アレだってイヤなんだよ！助けろっつの！
加蓮,だって事実だもん。ねえ凛？
凛,え？あ、そうだね。奈緒はかわいいよ
奈緒,ああもう！他所のクラスにまで広めるともりか！？
加蓮,あ、暗転終わっちゃう
凛,教室に戻らないと。弁当の途中だったんだ
加蓮,じゃあね！私達はまた明日！
凛,うん、またね
奈緒,あ、置いていくなって加蓮！凛！絶対広めるなよ！絶対だからなー！
少し前に,ぴにゃこら太って淫獣っぽくね？
