そのじゅうろく,渋谷凛の場合
茄子,前にほたるちゃんとやったんだけどね?ちゃんと崩れてくれて楽しかったんですよ～♪
ほたる,わ…わたしは初めて一本目で崩れませんでした！
輝子,お…お似合いなのかな…ﾌﾋ
そのにじゅういち,片桐早苗＆高峯のあの場合
早苗,カンパーイ！
のあ,乾杯…
早苗,ぷっはぁー♪たまには事務所で呑むのもいいわね♪
のあ,…そうね
早苗,でも流石に二人だと寂しいわねー
のあ,…仕方がないわ、みんな出払っているもの。…そういえば
早苗,ん?どうしたの?
のあ,…輝子は今日仕事だったかしら?
早苗,んー…そうね、今日はオフだったと思うわよ?
のあ,……前に楓が言っていたわ。…そういう日は大抵。…Pの机の下に居るって
輝子,…ﾌﾋ?。…
のあ,…ほら、早苗、良いおもｔｙ…。…良い同席相手を捕まえたわ
早苗,輝子ちゃんじゃない♪。前のライブの時の衣装可愛かったわよ～♪お姉さんちょっとキュンて来ちゃったわ♪
のあ,…早苗、ほらこれを付けるともっと可愛いわ
早苗,きゃー！輝子ちゃんかわいー♪
輝子,――――っ!?
早苗,きゃー♪
輝子,―――
早苗,あれ?
輝子,
のあ,…しばらくみくの変わりににゃん・にゃん・にゃん
そのにじゅうに,速水奏の場合
奏,ふふっ…プロデューサーさんたら…。顔真っ赤で面白かったわ
???,Zzz……
奏,…?寝息の音…かしら?。…どこからかしら?。プロデューサさんの机の下…から?
輝子,Zzz…
奏,輝子ちゃん…こんな所で寝ちゃって…。…運んであげた方が…いいわよね。起こさないように…。よい…しょ。輝子ちゃん軽いわね…。ソファーでいいかしら?
輝子,…
奏,そーっと…
輝子,…ん
奏,よく寝てるわね…ふふっ。…。膝枕…してみちゃったり…
輝子,…
奏,輝子ちゃんの唇…。…
輝子,…んっ
奏,柔らかい…。ちょっとだけ…キス…してみても…
輝子,…!
奏,んっ………
輝子,――――っ///
奏,ふぅ…。か…かなりドキドキしたわ…
輝子,すっ…すごくドキドキした…ﾌﾋ
奏,や…やっぱり仮眠室に運んであげたほっ…方がいいわよね///
輝子,…///
番外そのご,みくにゃんの大冒険
みく,うぅ…ここはどこにゃぁ……。うひゃぁ!?。へ…変態的な効果音がするにゃぁ!!?。うにゃぁぁぁぁぁぁぁぁっ!!!
Ｐ,おーい、みくー。どこだー！
李衣菜,うっひょー！なんか森ってわくわくするね！
凛,そうかな?私は虫が多くてちょっと苦手かな
輝子,り…凛…そろそろＴシャツ…ﾌﾋ
凛,ごめん、もうちょっとだけ
みくの旅,迷子?
