モバＰ,出来たぞ、以降Ｐ表記だ！
茄子,おそらく明日には元に戻ってはいると思いますが…今の芳乃さ…芳乃ちゃんはＰさんの予想の斜め上にヘッポコだと思うので
Ｐ,そこまで念押しされるほどかぁ
茄子,出来れば目を離さないでいてあげてくださると有難いのですが…
Ｐ,元々今日は芳乃の誕生日だし、１日ずっと一緒にいるつもりだったから構わんよ。あと無理せず様付けで呼んじゃえよ。どういう関係か知らないけどさ
芳乃,…むぅ～？
Ｐ,あぁ、はいはい。撫で撫で無いと嫌なのね
芳乃,…むふぅ
茄子,…まぁ、Ｐさんがご一緒なら大丈夫でしょう
芳乃,ふなぁ
茄子,可愛い
Ｐ,可愛い
茄子,では私は失礼しますね。Ｐさんとならば安心だとは思いますが、もし万が一何かありましたらお呼びください
Ｐ,そもそも茄子はどこから入ってきたん？
茄子,それでは、また明日事務所で
Ｐ,おーい答えてくれー！…って行っちゃったよ。まぁ、別に今更アイドルの不法侵入ぐらいどうでもいいけどさ
芳乃,むーっ
Ｐ,あーはいはい。手が止まってたな
芳乃,むふー
Ｐ,ご満悦そうで何よりです。へっぽこというか甘えん坊になっただけと言うか…概ね平常運転じゃね？。あ、ちょっとトイレ行きたい。芳乃一旦退いて？
芳乃,やーですー
Ｐ,マジか
芳乃,ほふー
Ｐ,このままだと色々な意味で危険な事になるんだが
芳乃,あと５時間ー
Ｐ,ちょ、お腹掴まないで促進される。ええい、実力行使じゃ
芳乃,うあー
Ｐ,力弱っ！。普段は卯月と有香２人がかりでも片手であしらえる癖に
芳乃,そなたっ、そなたっ
Ｐ,後生だからトイレぐらい許してくれない？
芳乃,そにゃ
Ｐ,あ、また裾踏んだ
芳乃,…。……。……ぐすっ
Ｐ,あーもう！ちょっとだけ待ってなさい！すぐ戻ってきてモフモフしてやるから！。思ってた以上に手強いぞこれは…正直甘く見てたわ
芳乃,むぅ～…
Ｐ,今日１日中この調子かぁ…ほんと、オフで良かったわ
芳乃,そなたー
Ｐ,うん？
芳乃,お腹が空きましてー
Ｐ,お昼にはまだ早いんだけど。歌舞伎揚げでも食べてなさい
芳乃,はいなー
Ｐ,よし、離れた隙に掃除洗濯洗い物ＬＩＮＥの返信を
芳乃,歌舞伎揚げー歌舞伎揚げー♪なのでしてー。ふんにゅっ。…ほー？。ふんにゅーっ。……むむーっ。…すぅーっ。にゅううううっ！。…
Ｐ,ふぅ…。よし、家事完了
芳乃,そなたぁ～…
Ｐ,どうしたよ歌舞伎揚げあるやん。食べないの？
芳乃,開けてくださいー
Ｐ,そこまでかよ…。ほいっ
芳乃,ほーっ
Ｐ,掃除したばっかりだから零さないでくれなー
芳乃,ふぁひー
Ｐ,ハハッ、当たり前のように俺の膝に乗ってきたね
芳乃,あむあむ
Ｐ,こうしている分にはいつもの甘えっ子芳乃だよなぁ…
芳乃,…ほー？
Ｐ,痛っ、歌舞伎揚げ咥えたまま振り向くな
芳乃,ふぉふひふぁふぇふぁひふぁふぇふー
Ｐ,申し訳ありませんー、とか言ってそうだけど聞き取れねぇや。日頃の反動、ねぇ…。これからはもうちょい自重しないとだな、芳乃さんや
芳乃,むー
Ｐ,え、何でそこで不服そうなの
芳乃,そなたを幸せにするためにはー
Ｐ,芳乃との面白おかしい生活は十分幸せなんだけど
芳乃,…ほほー
Ｐ,お、珍しい。照れた？
芳乃,むぅー、意地悪でしてー
Ｐ,あたた、ごめんごめん。ポカポカやめて和むだけだから
芳乃,むむーっ。むむーっ
Ｐ,お前そんなに可愛いと箱にしまっちゃうぞ？
芳乃,おおー、やらいでかぁー…
Ｐ,こずえー！芳乃が弱ってるからって乗っ取るなぁー！
芳乃,…ほあっ？。今、こずえどののお声が聞こえましてー、そのまま意識がー
Ｐ,芳乃もそうだけどそろそろこずえの事も気になってきたぞ？
芳乃,ふつうのぉ…おんなのこ…だよぉ…？
Ｐ,嘘つけぇ。あと芳乃の体返しなさい
芳乃,…そにゃっ？。ま、またこずえ殿のお声がー
Ｐ,ハッキングされ放題だな今の芳乃
芳乃,そなたー
Ｐ,うん？
芳乃,お茶が欲しいのですー
Ｐ,今日はとことん甘えてくるね、お前さん。別にいいけどさ。何がいい？
芳乃,ほうじ茶がー
Ｐ,残念、綾鷹しかありません
芳乃,何故尋ねましてー
Ｐ,んじゃ持ってくるから。一旦芳乃パージするぞ
芳乃,あっ、あっ
Ｐ,ちょっと飲み物持ってくるだけだっての
芳乃,そなたっ、そなたっ
Ｐ,今生の別れとばかりにワタワタしてらっしゃる。えーっと、お茶は…あったあった
芳乃,そなたっ、そなたっ
Ｐ,やっぱおーいお茶と綾鷹の２強だよな。伊右衛門と生茶は今でもパッケージ見間違えるし
芳乃,そなっ
Ｐ,あ、またコケてる
芳乃,………う゛う゛～…
Ｐ,あー泣かない泣かない！芳乃は強い子！へいき、へっちゃら！
芳乃,うじゅぅぅぅぅぅぅ
Ｐ,フローリングをバリバリしないでくれ。さっきから着物の裾踏みまくりだし、着替えてきたら？
芳乃,はいー
Ｐ,ここでじゃなくて！
芳乃,うにゅにゅにゅにゅ
Ｐ,しかも帯も外さずいきなり脱ごうとするから凄い事になっちゃってるし！
芳乃,ぐえー
Ｐ,うわぁ絞まってる絞まってる！あれ、これ脱がせたら良いの？アウトなのどっち！？
芳乃,着替えましたー
Ｐ,着ぐるみパジャマじゃそろそろ暑いから俺のシャツを貸したのでごぜーますよ
芳乃,お借りしましたー
Ｐ,いい加減普通のパジャマ買わないとなぁ。あ、芳乃あんまり動くな。下穿いてないんだから
芳乃,ほー？穿いておりますがー
Ｐ,下着の話じゃないよ。捲るな捲るな
芳乃,そなたの服ではブカブカなのでしてー
Ｐ,芳乃がちっちゃいだけだろ
芳乃,すんすん
Ｐ,嗅ぐなぁ
芳乃,ふーん、悪くないですー。悪くないですー
Ｐ,今度は３代目シンデレラガールに乗っ取られてる？
芳乃,そなたの匂いはー、不思議と心が落ち着くのですー
Ｐ,あ、そうなの？ありがとう…って言いたいけどやめなさい。…匂う？毎日欠かさず耳の後ろ洗って加齢臭対策してるんだけど
芳乃,狭山茶とー、五家宝の匂いですー
Ｐ,ああ、それは県民性だから仕方ない
芳乃,…ほんのりと他の娘たちの匂いもー
Ｐ,え、何か言った？
芳乃,そろそろヒルナンデスの時間ですー
Ｐ,おお、もうそんな時間か
芳乃,でしてっ
Ｐ,だから当然のように人の膝に…生太ももの感触とか凄いんだけど
芳乃,ほー？
Ｐ,前々から思ってたけどさ、実はワザとやってない？
芳乃,番組が終わってしまいましたー
Ｐ,芳乃ー、そろそろ降りてー足の感覚がなくなってきたー
芳乃,ではではー、次は録画の消化をー
Ｐ,無視しないでー
芳乃,ほー？。…むむー？。ほあーっ。…？。でしてーっ。？？？
Ｐ,それエアコンのリモコン
芳乃,ほー
Ｐ,涼しい…足が痺れた…
芳乃,ほーっ
Ｐ,それ羊羹
芳乃,あやー。そなたーそなたー
Ｐ,エグゼイドはデザインはアレなのにどうしてストーリー神なんだろうな…
芳乃,そなたー
Ｐ,ん、どうした？
芳乃,お腹がすきましてー
Ｐ,誰かさんのせいで足がアレで一歩も動けないんだけど
芳乃,ほほー？
Ｐ,ちょっ、おま！今足を触るとか悪魔か！！
ちひろ,へくちゅ！。うー…、どうせプロデューサーさんが悪口言ってるんでしょうかね
配達員,マルゲリータのＬサイズ、ナゲット、コーラにウーロン茶。３０分以内に届けるのがピザ屋のルールだろう
芳乃,ありがとうございますー、アッキーのようなお声の方ー
配達員,逆だ
芳乃,そなたー、ピザがとどきましたー
Ｐ,おう、今取りに行く
芳乃,わたくしが運びますー
Ｐ,お前さん絶対コケるだろ
芳乃,むー、そこまでへちょくはありませんー。あやっ
Ｐ,舌の根も乾かぬうちに！。…危ね。足が回復するのが少し遅かったらマルゲリータがミックスピザになってたわ
芳乃,美味しそうですー
Ｐ,せやね。宅配ピザなんて何年ぶりだろ…高いんだもんなぁ
芳乃,わたくしは初めてですー
Ｐ,よし、熱々のうちに食べよう
芳乃,はいー
Ｐ,……おお、チーズがトロットロだよ
芳乃,ほわあああ
Ｐ,取り皿は…別にいいか。直接取れば。よーし、それじゃあちょっと贅沢なお昼ご飯
芳乃,いただきますのでー。ほーっ、チーズが、チーズがうにょーんと
Ｐ,どこまで伸ばす気だよ。どれ、じゃあ俺も…。おおっ、チーズが、チーズがうにょーんって！
芳乃,あふふっ、はふっ、ほふっ
Ｐ,熱っ！
芳乃,はふふっ、はふひのれふ。でもおいひいのでふぃふぇー
Ｐ,ふー、ふーっ…あちっ、はひぃ
芳乃,ごちそうさまでしたー
Ｐ,ちょい待て芳乃。顔チーズまみれだぞ
芳乃,んぶぶ
Ｐ,ヘッポコになったというかより幼くなったと言うか…もはや父親の気分ですわ
芳乃,おとうさまー
Ｐ,やめろぉ。流石に１６歳の娘がいる年齢じゃないわぁ
芳乃,…だでぃ？
Ｐ,欧米か
芳乃,ぱぱー
Ｐ,それ外で言うなよ？誤解されるわ
芳乃,…だでぃ？
Ｐ,ネタ尽きるの早すぎない？
芳乃,あなたー
Ｐ,父親じゃなくなっちゃったよ！。…よし、後は凸レー…もといデコレーションを…
芳乃,…ふにゃ？
Ｐ,あ、やべ。もう起きたか
芳乃,…むー？。…そにゃたー？
Ｐ,はいはぃ、台所にいるよー
芳乃,むー…
Ｐ,おーい、こっち来るなら布団は置いてこいー。見ての通りだよ。ケーキ作ってる
芳乃,けーき？
Ｐ,本当は芳乃がお昼寝してる間に仕上げたかったんだけどなぁ…ラリホー効き目弱かったか
芳乃,大きなけーきなのですー。ふむー？これは、わたくしでしてー？
Ｐ,うん、何となく飴細工で芳乃作って飾ってみた。どうよ
芳乃,そなたは事務所を追いやられても職には困りそうにありませんー
Ｐ,ハハッ、不吉。ヘッポコになっちゃったとは言え、今日は芳乃の誕生日だ。誕生日にはやっぱりケーキが無いとな
芳乃,けーきは、正義なのでしてー
Ｐ,喜んでるみたいだな。やっぱ女の子には甘味なのかね。…よし、これで完成。よーし持ってくぞー
芳乃,そなた、そなた。わたくしが運びます。わたくしが運びますー
Ｐ,俺の労力を水泡に帰す気か
芳乃,はむっ
Ｐ,あむっ
芳乃,甘いのですー！
Ｐ,ほれ芳乃。この誕生日おめでとう
芳乃,ほほー
Ｐ,この一番大きなイチゴもお食べ
芳乃,ほほー
Ｐ,飴細工で作った芳乃人形もいいぞー
芳乃,でして
Ｐ,一切躊躇わず噛み砕きよった
芳乃,沢山食べましてー
Ｐ,別に１ホール丸々食べてもいいんだぞ？誕生日はケーキをいくらでも食べていい日だって三村が言ってたし
芳乃,なんとー。すやぁ…
Ｐ,お腹いっぱいになった途端また寝るとは…これ只の子供やん
芳乃,ふにゃあ
Ｐ,しかもまた自然と人の膝を枕にしてるし。別にいいけどさ
芳乃,そにゃたぁ…
Ｐ,夢の中にまで出演してんの、俺。…普段助けられてばっかりだもんな。１日ヘッポコになるぐらい全然どうってことねーでごぜーますよ
芳乃,えへぇ
Ｐ,…起きてる？
芳乃,寝てますー
Ｐ,そっか。娘ってこんな感じなのかなぁ…いやいや、芳乃ぐらいの歳なら妹か？
芳乃,すぴぃ
Ｐ,ほんとに、いつもありがとな
芳乃,いえいえー
Ｐ,起きてるだろ
芳乃,寝ておりますー
Ｐ,そっか。寝てるんならちょっとイタズラしてもバレないよな？
芳乃,ふがふがっ
Ｐ,ハハッ、鼻小っちゃ
芳乃,しゃーっ！でしてー！
Ｐ,痛い噛まれた何で！？
芳乃,ほー？
Ｐ,どうした？アッキーなら今日は役員会議だぞ？
芳乃,大分、力が戻りましてー
Ｐ,おお、本当だちょっと浮いとる。だからって無暗に不思議パワー使うんじゃありません。無駄遣いするから今日みたいなことになったんだろ
芳乃,むー。そなたのお力になるためにはー、必要でしたのでー
Ｐ,別に俺は芳乃が便利だから一緒にいる訳じゃないっつーの
芳乃,好みだからでしてー？
Ｐ,ロリ系よりはむしろその逆方向が
芳乃,２６
Ｐ,だからパワー使うなぁ！ゆっくり月日と経験を重ねて育ちなさい！
芳乃,１９
Ｐ,サバを読むなぁ。もうちょい幼いだろ基本フォーム
芳乃,１６
Ｐ,１６。１６
芳乃,ほー、ピチピチですー。ピチピチですー
Ｐ,１３
芳乃,これでわたくしもー、そなた好みの年上のれでぃ、なのでしてー
Ｐ,４。オッサン
芳乃,すみませんー、力が戻ったのではしゃいでしまいましたー
Ｐ,早速無駄遣いのオンパレードかよ。別に不思議な力なんて無くたって芳乃は芳乃なんだからさ
芳乃,ですがー、わたくしはこのわたくしが故にー、そなたと出会いましてー
Ｐ,ん？
芳乃,いえいえー、何でもありませんー
Ｐ,何かよくわからんけど。もうすっかりいつもの芳乃だな
芳乃,はいー、普段の依田の芳乃でしてー
Ｐ,ならよかった。あ、そうだ。朝からドタバタしてたからすっかり遅くなっちゃったな
芳乃,ほー？
Ｐ,芳乃、ちょい目ぇ瞑って
芳乃,？はいー
Ｐ,えっと…
芳乃,もーいーかいー？
Ｐ,まだだよー
芳乃,もーいいーでーしてー？
Ｐ,もういいでしてー
芳乃,…ほー？。……？。…………。……………！。ほーーっ！
Ｐ,誕生日おめでとう芳乃。これからもよろし
芳乃,そなたーっ
Ｐ,食い気味にタックルとか！
こずえ,おわり、だよぉ…
茄子,ちょっとブラックコーヒー買ってきますね
