モバマスより小早川紗枝,きつね
而して刮目せよ！！耀きの剣を手に、千年の都に降誕せしこの威容,かたち
その威風堂々たる名乗り、なにやら物凄いオーラ、根拠はともかく偉大な感じに京都のたぬきは原初の畏怖,？
みんなの見守る中で、,それ
箱に剣を突き刺されて、彼らは黒ひげ危機一髪の要領で,うはーい
と、雪美ちゃんがひょっこり顔を出して,にゃおう
それに相馬夏美さんが,はいほー
燃料をたらふく呑み込んだ茶釜エンジンは,ぐぐぐっ
龍は水神。雨と雷の化身。叢雲で夜空を覆い、激しい雷光を降らせる,月の天敵
そして千年の中で、,龍
天気雨を超える珍事、文字通りの,青天の霹靂
ものの本によると,推参
この事件は,塩見のデス・ロード
狐達は,こーんっ！
床に押し倒される形になり、あたしは肺の中の空気を,かはっ
金や銀や紅や墨や蒼や碧や黄や紫や――絢爛の蒔絵を鍋に放ってぐりぐり書き混ぜたような、極彩の,色
見るとあたしの後ろ,つまり寝てた時は頭のすぐ上あたり
ここは多分、,表
晴れた日に降る不思議な雨を、,狐の嫁入り
いや、どっちでもいい。つまりは二人が,そうしたい
一目見ようと、,彼ら
作中の思わせぶりな描写は全て,有頂天家族
