モバＰ,以降Ｐ表記ぽよ～☆
時子,つくづくロクでもない事ばっかりよね、貴方の日常って
Ｐ,時子も十分大概だと思うんだけど
時子,アァ？
Ｐ,来年もきっとドタバタした毎日なんだろうなぁ…
時子,あの事務所で、このプロデューサーだもの。どうせロクでもない仕事ばかり持ってきてロクでもない騒動起こし続けるんじゃない？
Ｐ,ハハッ、滅茶苦茶目に浮かぶ。あ、注文いいですかー？
店員,任せろ
時子,八海山。あとネギトロユッケ、海老串と砂肝
店員,了解した。すぐに持ってくるのが店員のルールだろう
Ｐ,俺、何も頼んでないんだけど…
時子,グチグチと細かい事を五月蠅いわね。不愉快な鳴き声しか出せない口なら閉じておきなさい
Ｐ,お前もう二度とサイボクハム連れていってやらねぇ
時子,クククッ、よっぽど新しい年を迎えたくないようね？
Ｐ,勘弁してください。初詣芳乃と約束してるんです。あ、メニュー取ってトッキン
時子,２０１６年の前に貴方の人生を終わらせてあげるわ
店員,待たせたな。他に何か注文はあるか
Ｐ,角煮丼とフライドポテトとコーラとデビュー当時の時子のお宝映像
時子,あってたまるもんですか
店員,了解した
時子,了解しないでくれるかしら
Ｐ,おぉ…、こんなに肉厚な角煮に何の抵抗もなく箸が入るぞ。はむっ………美味いぞ時子！
時子,五月蠅いわよ豚。横で喚かないでくれるかしら。卑しい鳴き声で耳が腐るわ
Ｐ,すまんすまん。いやぁ、美味すぎて超進化しそう。この煮卵と大根もまた、何ともなぁ…。うん、流石時子のオススメだけあるわ
時子,適当に豚の残飯に良さそうなものを選んだだけよ
Ｐ,このビジネスサディストよくこの店来ます？
店員,月に３．４回といったところか
Ｐ,常連じゃねえか
時子,待ちなさい。その前に聞き捨てならないセリフが聞こえた気がするのだけれど
Ｐ,時子そこのカラシ取って。角煮につけたい
時子,真っ黄色に染め上げてあげるから丼ごと渡しなさい
Ｐ,お前ＣＤデビュー決まったらカバー曲メルヘンデビューにしてやるからな
時子,この豚ァ！
Ｐ,おまっ、太ももにフォークって！！。何とかカラシ地獄は回避出来たけど丼から角煮が消えたでごぜーますよ…
時子,ふぃふぁふぁいふぁふょ
Ｐ,頬っぺたパッツパツにしてしらばっくれんなよ。別にいいじゃないか。周りにスタッフとか仕事の関係者とかいないんだし、普段の調子で
時子,クククッ…面白い事言うわね。まるで私が日頃下賤な下僕共の前で取り繕ってるとでも言うのかしら
Ｐ,プロ意識高いのは流石だと思うけどなぁ。フレデリカとかきらりとか、最近もうキャラ緩くなっちゃってるし
時子,あの２人は元々素はド真面目じゃないの。事務所の売り方の問題でしょ
Ｐ,事務所の売り方に反したキャラクターが定着してソレがしこたまウケた、ってパターンもあるけどなぁ
時子,島村？
Ｐ,島村
卯月,へぷちゅ！。うーん…お肉屋さんの娘とプロデューサーさんに噂されてる気がします！
未央,ニュータイプかい。いいからほら、お鼻チーンしよ、チーン
凛,えっと、どこまで話したっけ…。あ、そうそう。一晩でキン肉マンの必殺技全部みくにかけられるか
卯月,へのつっぱり頑張ります！
みく,お前らそういうのは本人いないとこで話せにゃ
Ｐ,はぁ…コーラ美味ぇ
時子,飲めない訳じゃあるまいし、お子様ね
Ｐ,飲めなくはないけど強くも無いからな。ユッキ以上楓さん未満ってとこかな
時子,分かりやすいわ。で、いつまで私はグラスを空にしていればいいのかしらね
Ｐ,ん？ああ、すまんすまん。気が利かなかったな
時子,チッ、当然の事すら出来ないほど愚図だったのかしら
Ｐ,はいはい、お注ぎしますよトキコサマ
時子,レイナサマみたいな言い方はやめなさい。あと今注いでるのコーラじゃないの豚ァ！
Ｐ,鞭の柄とか地味に痛ぇ！！。時子は、俺の太ももに、何の恨みがあるのさ…
時子,貴方がいちいちくだらない事をするからでしょう？わざわざ私がこの手で躾てあげている名誉を噛み締めなさい
Ｐ,太ももの痛みを噛み締めとるわい。ほれ、グラス。ちゃんと注いでやるから
時子,最初からまともにやりなさい
Ｐ,いや、それだとつまらないし
時子,面白さを求めた覚えは無いわよ
Ｐ,いや、俺が面白くないから
時子,貴方相当良い性格してるわよね
Ｐ,時子に言われたらお仕舞いですわ
時子,アァ？
Ｐ,あ゛？
時子,
Ｐ,違う違う冗談、冗談だから！怒ってないから！
時子,お酒が無くなったわ
Ｐ,結構飲んでるだろ。もうこれぐらいにしておきな
時子,酔ってないわ
Ｐ,顔真っ赤だぞ
時子,酔ってないわ
Ｐ,すいませーん、暖かいお茶くださーい
店員,マッテローヨ
時子,酔ってないわ
Ｐ,ほんとかよ。ほれ、この指何本？
時子,酔ってないわ
Ｐ,…。ところで俺の小学校の頃の担任は窓際が好きでな。先生だけにしか見えない精霊ルヒタニ様とリンパ腺で交信が出来るんだそうだ
時子,酔ってないわよ
Ｐ,あかん
店員,暖かいものを、どうぞ
Ｐ,はぁ、暖かいものどうも。ついでにお会計お願いしますわ
時子,酔ってにゃいわよ
Ｐ,おーいトッキー。ちゃんと立ってくれー。重い
時子,重くないわよ
Ｐ,うん、確かに言うほど重くないけどさ。歩きにくい
時子,ウダウダ五月蠅い豚ね…
Ｐ,畜生、ちょっぴり飲んじまったからトロイドロンで送ってやれねぇ。この時間だとタクシー高いんだよなぁ…
時子,だから酔ってないって言ってるでしょう。この耳はただの飾り？なら必要無いわよねぇ
Ｐ,おーい時子。それポスト。俺こっち
時子,アァ？……チッ、通りでやけに赤いと思ったわ
Ｐ,お店でもらったミントガムを投函するな！。まったく、一時はどうなる事かと思ったわ…時子って酔うと色々面倒臭さがフルスロットルするよなぁ。さてと、新年イベントも初詣も一通り終わったし、一日の疲れを癒すべく一杯やっていくとしますかね。おお、流石年明け凄ぇ混んでら。えっと、空いてる席、空いてる席…
時子,…
Ｐ,…。……。よし、空いてないから諦めるか。ん？。…
時子,…
Ｐ,……。あ、もしもしユッキ？そっちってまだ席空いてる？
時子,アァ？
幸子,フンフンフフンフーン。今年も１年ボクカワイイ～♪。さて、今年は年賀状何枚届いてますかね。えっと、小梅さんから、輝子さん、美玲さんにまゆさんにアッキーにちひろさんに…。……。誰ですかミントガム送ってきたのは
アッキー,終わりだ
芳乃,今年もなにとぞー、よろしくお願い致しますー
