おっぱいネタ,アイドルのおっぱいが大きくなったり、小さくなったり
P,おはようございまーす…あれ？美優さん、こんなに朝早くどうしたんですか？
美優,おはようございます。実はPさん用の特製ドリンク、朝の分を用意しました♩
P,おぉ！昨日お願いしたものを早速用意してくれたんですね！いただきます！
美優,あぁ…私の胸で作られた母乳がPさんの血肉になっていく…♡。どうですか？朝の搾りたてのお味は？
P,昨日も思いましたが、メチャクチャ懐かしい味をなんかこう…グレードアップさせたような感じですね！美味い！
美優,それは良かったです♡次の分が準備でき次第絞りますね♩
P,へぇ、これって搾りたてなんですね～。そういえば美優さんのおっぱい何だか大きくなっているような…いかん！目の前にいる女性の胸を凝視するなんて嫌われてしまう！
美優,何かしら？これ…。初乳…ですか。栄養満点ですか…。チャンス…ですか？。！！。…次の段階に進みますね♡
P,入っていいですよー。あっ美優さんじゃないですか。今日はどうしたんですか？自家製ドリンクの材料が無かったのでしょうか？
美優,すみませんでした。実は今日とびっきりの美味しいドリンクを用意していまして…作るのに時間がかかってしまいまして…
P,そうだったんですか。でも良かった～、今日は1度も飲んでなくて口が寂しかったんですよ。
美優,あともう少しで出せます。その間にこれを使って待っていてください♩香りの効果は8分ぐらいです。
P,アロマキャンドルですか。それではお言葉に甘えて…。いいですね、このアロマの香り。前に貰ったキャンドルよりも体の芯に…あれっ？
美優,志希ちゃんから貰ったこのアロマ成分良く効きますね…高いお金を払った甲斐がありました♩
P,んあっ？ここは…
美優,気がつきましたか。ここは仮眠室ですよPさん♩
P,すみません美優さん…急に寝てしまったようで…重かったですか？
美優,確かに重かったですが気にしてませんよ。あと新作ドリンク、用意できました♩
P,おぉ！そうですか！では早速…アレ？
美優,Pさん、私がいつもの出してるドリンクがどう作っているか気になってましたよね？
P,えっ？えぇ、そうですけど…ッ！？。どうしたんですかいきなり！？それにその胸…そんなに大きく…
美優,実はPさんにあげていた飲み物…全部私の母乳なんです♡♡♡
P,ハァッ！？
美優,そして今は栄養満点の美味しい母乳が蓄えられてます♡Pさんどうぞ直飲みで頂いてください♡
P,ちょっと美優さ…むぐっ！？。美優さんの母乳…美味しい…もっと飲みたい…
美優,うふ♩あのアロマの香りを嗅いだ後、最初に食べたり飲んだりしたものに依存しちゃう効果があるんです♡
P,うぅ…みゆさぁん…おっぱい…もっとちょうだぁい…
美優,うふっ、完全に堕ちましたね♡まだおっぱいはたくさん残ってますよ♡続きはPさんの自宅で…ね♩
瑞樹,え？Pくんが休み！？
ちひろ,はい、電話をかけたら美優さんが出てどうも体調が良さそうにないと…。でも…なんでPさんの電話番号で美優さんが出てきたんでしょうか？
早苗,まさか…男女の関係なんて…
ちひろ,それはないでしょう。魅力的なアイドルたちのアプローチをスルーするフニャチン野郎ですから。
瑞樹,そうよね～。きっと事情があって代わりに出てきたんでしょうね。
ちひろ,いつまで休んでいるつもりなんですかあの人はー！！
瑞樹,ちひろちゃん落ち着いて！
早苗,ここまで休んでいると心配になってくるわね…今度様子を見に行こうかしら。
楓,それでしたら今日私が行きましょう。今日の予定は特にありませんし…あともう1人気になる方がいるんです。
ちひろ,と言いますと？
楓,美優さんです。彼女のお宅に泊まろうとしてもずっと不在で、昨日お仕事でやっと会ったんですがどうも様子がおかしくて…
瑞樹,そういえば休みの連絡をしてくるのいつも美優ちゃんだったわね！
楓,それもありますが美優さんのおっぱい、急に大きくなっていませんでしたか？
早苗,一昨日仕事先の更衣室で会ったけど、あたしよりも大きかったわ！それに何故か下着がマタニティブラだったわね…
楓,美優さんの身に何か異変がありますね…心当たりがあるのでそちらに向かいます。それでは失礼しま～す♫
瑞樹,…楓ちゃん何だか楽しんでなかったかしら？
早苗,片手で一升瓶持ってるし…顔赤いし…
ちひろ,確実に酔ってますねアレ…絶対に楽しんでますよ…
晶葉,まさか美優さんが嘘をついていたなんて…
楓,やはり晶葉ちゃんの開発したものが原因みたいですね。
志希,にゃはは～、道理であのアロマが欲しかったわけか～。
楓,これは予想を超えた事態になっているかもしれません…晶葉ちゃん、一緒についてきてくれるかしら？
晶葉,勿論ですとも！元々私が原因だ…念のため完成させておいた装置を持っていこう！
楓,志希ちゃんは美優さんが買い取ったアロマ成分の解毒剤はある？
志希,今持ってるよ～、はいっ！…ありゃ？志希ちゃんこれで無罪放免？
楓,有罪です志希ちゃん♫響子ちゃんに連絡して志希ちゃんがお掃除したくてたまらないようですと伝えておきました。
志希,あっ…
ドアが開く音がした。そこには瞳を輝かせた,お嫁さんにしたいアイドル
響子,聞きましたよ志希さん！お掃除したいんですね、私がお手伝いします！
志希,アアァァァ…ッ！
響子,まずはこの部屋をホコリひとつも残さず綺麗にしましょうね！
楓,ここがPさんの部屋番号ですね。晶葉ちゃん、持ってきた装置の準備は？
晶葉,最終チェック完了！いつでも行けるぞ！…それはそうと楓さん…あなた酔っ払ているのでは？
楓,気のせいですよ～ふふふ♩。美優さんですか？もしよろしければ中に入れてもらえませんか？
美優,楓さんどうぞ、…あら？晶葉ちゃんもいるなんて珍しいですね。
P,みゆさぁ～ん、どこぉ？もっとほしいよぉ～…
楓・晶葉,！
美優,あっ、ごめんなさい！すぐにあげますので！
晶葉,おぉう…
楓,これは流石に…驚きますね…
P,んくっ…んくっ…
美優,ふふっ、よしよし…いっぱいおっぱいを飲んでください♡。晶葉ちゃん…元に戻ったと嘘をついちゃいましたがすごく感謝しているんですよ…
晶葉,感謝…だと？
美優,突然とはいえ、Pさん好みの大きな胸になったし、おまけに私の母乳の虜になってくれました♩
晶葉,皆が助手の心配をしている。何とか解放させてくれないか？
美優,そうやって私とPさんを引き剥がそうとするんですか？
楓,美優さん、またいつもみたいに一緒にお仕事しましょう。皆待ってますよ。
美優,嫌です。独り占めしているから焦っているんでしょう？だからPさんを奪いにきたんでしょうけど、もう愛しあっていますので諦めてくだい。
楓,Pさんはおっぱいしか愛していないような…仕方ありませんね。晶葉ちゃん、例の装置を！
晶葉,よしきた！
美優,！
晶葉,くそっ…これは身体の一部に狙いを定めて自在に変化させる装置だが、こうも動きまわれると厳しい…ならば！。楓さん！美優さんを抑えてください！
楓,おまかせくださーい♫
美優,っ！？
楓,Pさんが夢中になるほどの母乳…私も飲みたくなりました♫。あら、美味しい！Pさんが夢中なのも納得かも♩
美優,きゃっ！？ダメです楓さん！それは全部Pさんの分です！
楓,ん～っ！！
晶葉,いいぞ楓さん！…あれっ？。せっかくのチャンスなのだ。今は気にしてはいられない！行くぞ！
楓・美優,ッ！？
美優,何、これは…あっ！！胸が小さくなってきている！？
楓,私のおっぱいが…張ってきました！服に締め付けられる！
美優,いやぁ！返して楓さん！！これはPさんに母乳をあげるためにあるんです！
楓,美味しくて…おっぱいが大きくなってきて…嬉しいこと尽くしですね♡
美優,あぁ！そんな…。降参です楓さん！Pさんを解放しますから！もうやめてー！
三船美優,26
B：85cm,Dカップ
高垣楓,25
B：81㎝,Dカップ
楓,うふふ♩見てくださいPさん、美優さんのおっぱいいーっぱい吸い取っちゃって、こんなに大きくなりました♫それそれぱふぱふー♩
P,ちょっ、楓さん！おっぱいを顔に押し付けないで…
晶葉,まさか両者のバストサイズを交換するとは…急ごしらえで作ったものだからな…改良が必要だな。
P,あっ、楓さんちょっと離れてください。…あの、美優さん…
美優,…っ。ごめんなさいPさん…私が勝手に暴走して周りに迷惑をかけてしまって…私アイドル辞めます。2度とあなた達の前に姿を現しません…
P・楓,えぇ！？そんなの困ります！
楓,美優さんがいなくなったら誰が私のお世話をするんですか！
P,えっ、そっち！？まぁそれは置いといて…美優さん、まだあなたの存在が必要です。アイドルの活動を続けてください。
美優,でも私は…
P,また美優さんの母乳を飲ませてください！あの日あなたのおっぱいから出ていると分かってから格段に美味しく感じたんです！
楓・晶葉,えっ、そっち！？
美優,まぁ…Pさんがそう言うなら…三船美優、まだアイドルを続けます！
晶葉,それでいいのか…
楓,何がともあれ一件落着ですね。晶葉ちゃん、美優さんと私のおっぱいを戻しておいてください。
美優,以前の胸に戻っちゃいましたから母乳が出ませんね…そうだわ！
早苗,また若い娘の大きなおっぱいジロジロ見ちゃって～、目の前に素敵なモノを持ったお姉さんがいるでしょ～？
P,ちょっ、早苗さん胸を押し付けないで…
美優,Pさん！私を孕ませてください！
P・早苗,！？
美優,そうすれば母乳が…早苗さん！？
早苗,ちょっとP君？美優ちゃんになんて事言わせてるワケ？
P,早苗さんコワイっす！それに言わせたわけじゃ…アーッ！
美優,Pさーん！
前作を読み返してみるといろいろとごちゃごちゃしていましたので、今回はそうならないよう意識して作りました,防止できているとは言っていない
次回作は桜舞姫,夕美ちゃん周子志希
