白坂小梅,13
小梅,あ……プ、プロデューサーさん、うずくまっちゃった……
Ｐ,おおお俺は何も見て無い見えない聞こえない
小梅,……！そうだ
Ｐ,くくくく暗いよ怖いよ狭くは……ないけど………って、あれ？。……こ、小梅？。お、おい小梅？どこいった？。……い、居ない。ＤＶＤ……終わった…けど小梅は……見当たらないな……。どこだー小梅ー？おーーい！？。！！？？。今明らかにテレビじゃない方向から音が！！。こ、小梅！？小梅なのか！？。確かこっちから物音が……。小梅～……？。！？今足元に……。！！！！！？？？？？？。こ、こうめが………たおれて……口から血をながし……死……！！！？？？
小梅,えへへ……どっきりまたもや成功……♪。プ、プロデューサーさん……びっくり……しました……？。口……ケチャップつけて……倒れて……みました……えへへ
Ｐ,…………
小梅,………プ、プロデューサーさん……？。………えっ。プ、プロデューサーさん……気絶、しちゃった……？。お、起きて……ください。起きｔ………えっ？。し、死んでる……！
Ｐだったもの,
小梅,う、うそ……心臓、止まってる……脈……ない……。や、やだやだ……嘘、起きて……起きて……！。い、今のどっきりで、わた、私生きてます、から……！。ごごごめんなさ、い、ここまでびっくり、するなんて……思ってなくて。だ、だから……生き返って……ゾンビみたいに……！。！。プ、プロデューサー……？
Ｐだったもの,
小梅,……えっ。えっと……プロデューサーさん、幽霊に……なっちゃって……体、ここに。……？うん……そうすれば……いいの……？。えっと、あの子が、プロデューサーさんの魂を、か、体に重ねれば。時間、たってないから、戻れるかも……って。？……あの子も入れて３人、です……よ。今、プロデューサーさんも、幽霊……
Ｐ,いやぁ……一時はほんと、どうなるかと……。腰抜かす程どころか魂抜かす程びっくりしたわ………
小梅,ご、ごめんな、さい……そこまで……驚くなんて……。で、でも……
Ｐ,ん……？
小梅,えっと……い、い今から脅かします……わっ
Ｐ,はぅっ
小梅,～～♪
Ｐ,お、小梅またホラー雑誌みてるのか
小梅,う、うん、この間、泊まったロッジ、特集されてる………
Ｐ,うへ……いやな思い出しかないな……
小梅,わたしたち、記事に……なってる
Ｐ,おいまじか。アイドルを宣伝する側なのになんで宣伝に使われてるんですかねぇ……
