？？,もふもふとは、何か？。それは、柔らかいこと。手触りがいいこと。癒されること。お布団、クッション、はたまたかわいい動物たちが持つ癒しの特性……。それならば、アイドルだって負けてないっ！！。もふもふクイーン決定戦とは、事務所に所属するアイドルの誰が一番もふもふなのかを決める戦いだぁーっ！！
未央,レイジーレイジーの二人は無事帰って来られるのか！？思わぬスリル展開が並行しているところで！。優勝者、もふもふクイーンに与えられる賞品を発表します！。賞品はなんと……プロデューサーの膝の上永住権だぁーっ！！
茜,おおっ！！！えいじゅう……けん？中国拳法の一種でしょうか！！！？
奈緒,はぁっ！？そ、そんなもん賞品になるかよ！つーか貰っても困るだろ！？
こずえ,そこは……こずえのー……だよー……？
菜帆,おお～。それじゃあ、そこで暮らしてもいいってことですかね～？
紗枝,お社でも建てまひょか？そしたらずうっとそこに宿れるさかいなぁ♪
美穂,永住……ずっと一緒…………はっ。だ、だめだめっ、集中しないと……
未央,さぁて、選手一同やる気を出したところで！
奈緒,あたしは出してないっ！
未央,まーまーかみやん、まーまーまー♪。順番が決まったようなので、さっそく審査に入りたいと思いまーす！
茜,それでは！！よろしくお願いいたしますっ！！！！
Ｐ,お、おう、よろしく
茜,トラーーーーーーイッ！！！！
Ｐ,ぐおふぅっ
未央,茜ちん、さっそくお膝のトライを決めた！
藍子,気合は十分ですねっ♪
茜,ふんふん……！！！ふんふんふん…………！！！
Ｐ,うーむ。後ろから見ると、なるほど確かに相当もふもふなヘアスタイルだ。っていうかやっぱちっちゃいなぁ。148cmだったっけ？。体温が高い……ぽかぽかする。これはいい
茜,な。何か
Ｐ,ん？
茜,何かした方がよろしいでしょうか……！？
Ｐ,いや、何ってことは別にないと思うんだが
茜,改めて考えると、私はなにやら、とても失礼なことをしているような……っっ！！！
Ｐ,そんなことないぞ。今審査中だから楽にしていてくれ
茜,は……はい……！！。………………！！！！……………………！！！！！。…………………………！！！！！！！！！！！！！！
Ｐ,静かにうるさいという圧倒的矛盾……！？
茜,走りましょうか！！！？？
Ｐ,何で！？
茜,しっしかし！！プロデューサーのお膝を借りておいて、私が何もしないわけにはっ！！！！
Ｐ,体温が上がってきている……！？。いや問題ない、むしろいいぞ茜！このままじっとしていてくれ！
茜,じっと！？じっとですか！？し、しかし、体温が！！匂いが！！！汗がっ！！！！。なにやらっ、かっ、体がっ、熱く……！！！！！
Ｐ,すげぇ！湯たんぽもびっくりだ！
未央,おおっ！？茜ちんの体温でプロデューサーが汗ばむほどに！？
藍子,茜ちゃんも真っ赤になってますっ
茜,や――ややややっぱり表を走ってきますっ！！！！！
Ｐ,茜！？
茜,走らなければっ！！！わっわっ私っっ、オーバーヒートしてしまいそうで……！！！！。うおおおおおおーーーーーーーーーーーーーーーーーー！！！！！
Ｐ,…………行ってしまった。温まれて助かったんだが……。もふもふしてたし温まれた。本人が耐えきれなかったっぽいのが惜しい
未央,うーむ……茜ちんの得意分野じゃなかったっぽいね！
藍子,特性を活かしきれない印象でしたね。茜ちゃんにはもっと相応しい局面があるんじゃないかなぁ
菜帆,それじゃあよろしくお願いしますね～、プロデューサーさん！。うふふっ。改めてこう呼ぶのって、なんだか新鮮です～
Ｐ,ああ、よろしく頼むよ。菜帆……さん
菜帆,いやですねぇ、呼び捨てでいいんですよ～。私とプロデューサーさんの仲じゃないですか～♪。ということで、失礼しま～すっ
Ｐ,尻、すげぇお尻が大変素晴らしくていらっしゃいますね
美穂,も、もう隠す気ゼロじゃないですかぁ！
周子,フェチだわー疑いの余地もないわー
Ｐ,圧倒的プニョフワボディ……更にウェーブのかかったやわらかな髪もふわふわ揺れて……。これは……凄いぞ
菜帆,あ、そうそう、こういうのいいのかなぁって思ったんですけど～……。和菓子とお茶、持ってきたんですよ～♪
未央,はっ！あ、あれはこの辺で評判のおいしい和菓子屋さんのようかんと……！？
藍子,保温タンブラーに入れてきた、あっつあつのほうじ茶ですね
周子,あの店の羊羹とほうじ茶……？引っ越してきて早々にその黄金コンボに気付いたっての？
未央,おおっと！和菓子屋出身のしゅーこはんすら唸る組み合わせのようですが、レギュレーション的にアイテムの使用はアリなのでしょうか！？
藍子,原則、審査員であるプロデューサーさんのお膝に乗って、もふもふと癒しで身も心も暖める……というルールです。よって小道具などの使用については制限がなく、またもふもふ＆癒しムーブにもこれといって反則を設けていません。癒すということ、その工夫自体に技術点が加算されるんです。つまり、基本的には何をしようとセーフですっ
未央,うーむ、あーちゃんの判断が的確で私も助かるよ……！！。と説明ばっかりしてもらんないね、さて選手の動きは……！？
菜帆,あ、この姿勢だとうまく食べられないですねぇ～。じゃあこうしましょう♪はい、あ～～んっ♡
Ｐ,ちょううまい
菜帆,良かったぁ♪あ、お茶お注ぎしますね～。ん……しょっ。こぼさないように～……っ
Ｐ,ｵｩﾌ……
菜帆,ちょっと熱いから待っててくださいね～。ふーっ、ふーーーっ……。はい、ちょうどいい熱さになりましたよ～。こぼさないようにどうぞ～♪
Ｐ,めちゃうまい
菜帆,ほんとですか～？えへへ、良かったです～。んしょっと。座りなおして～……。えへへ。あったかくなれるよう、むぎゅ～ってしちゃいますね～♡
Ｐ,。あ……おじいちゃんかい……？ひさしぶりだねぇ……
未央,昇天しかけてる！！
藍子,三途の川にいますっ
芳乃,そなたー
Ｐ,はっ！？こ、ここは……！？
菜帆,もう～……せっかくこうしてくっついてるんだから、どこか行っちゃダメですよ～？
Ｐ,おしりてんごくおしりてんごく
芳乃,そーなーたー
未央,おおっ二人目にして高得点！なんと２８点ですっ！
Ｐ,危うく天国のお爺ちゃんとギャラガについて語り合うところだったぜ……。今回はもふもふが採点基準だったから満点には至らなかったが、ぷにょふわ点があれば一億点だった……
藍子,技術的にも大変評価の高いアクションでした。お茶と和菓子……あるだけで癒される王道の組み合わせですが、彼女はそれを見事に使い、プロデューサーさんをおもてなししました。特にポイントが高いのがあーんとふーふーですね。お膝の上に乗られた上で、あれをやられて落ちない男の人はいないんじゃないでしょうか。何より彼女は、狸の尻尾を出すことができる……というのに、今回それを使いませんでした。つまり、変身をあと一回残しているということになります。それに頼らず、あくまで好きな和菓子とプニョフワボディ、そしておもてなしの心だけでやり抜いた……見事ですっ
Ｐ,お、おう……
未央,あーちゃんこんなに解説が似合うキャラだったっけ……
紗枝,せやったら、次はうちの番どすなぁ。プロデューサーはん、よろしゅうおたの申します～
Ｐ,あ、はい、これはどうもご丁寧に
紗枝,はてさて～……殿方のお膝にお呼ばれするだなんて、うち初めてやさかい。改めて考えると、なんやちぃと恥ずかしゅうなってまいますなぁ……
Ｐ,かわいい
紗枝,もぉ、かわいいやなんて。普段あんまり言うてくれへんのに……。…………ほんまに？
Ｐ,かわいいかわいい
紗枝,うふふっ、お上手さんなんやからぁ♡
周子,あー、あれはもう仕掛けてるねぇ……
未央,ゲスト解説のしゅーこはん！仕掛けてるとは一体？
周子,名付けて……覇好照桃色ぱすてるぴんく
未央,ぱすてるぴんくなわな！？
周子,実際に事に及ぶ前に、持ち前のカワイさで相手の心のハードルを極限まで下げる……。そうすることにより相手を蕩けさせ、引き返せないくらいに魅了するという、そりゃもうおっかないキュート技だよ
藍子,ぱっしょん流奥義絶対特権に並び、実に五人しか使える子のいない上級アイドルアーツですね
未央,……ちなみにあーちゃんは絶対特権使えるのかい？
藍子,受けてみますか？
未央,す……スゴ味を感じる……！
※出展：３４６書房刊アイドル奥義五輪之書～珠上理異図,じゅうぇりぃず
紗枝,さ……あんまりこうしてばっかりもいられまへんなぁ。せやかて菜帆はんの後で、こないなちぃさいお尻を乗っけるんも忍びない話やし……えいっ
未央,おおっ！
周子,出た！
藍子,狐モードですね。黒くてもふもふの冬毛が素敵ですっ
周子,あれ昔は銀色だったんよねぇ
紗枝,こんっほな、お邪魔しますえ～
Ｐ,おう……うおっ、ふかふか……
紗枝,こんこん……ほほー、流石ええ寝心地どすなぁ
未央,小早川選手、膝の上で丸まった！
藍子,狐さんを抱っこできるなんてそうそうできませんからね。私も羨ましいです
Ｐ,……ちょっと撫でてみてもいい？
紗枝,こーん……ん～？どないしょかなぁ～。こんっ♪よろしおす。優しゅうしたってやぁ♪
Ｐ,いい……
未央,いいなぁ……
藍子,いいなぁ……
紗枝,～♪
周子,あ……また仕掛ける
未央,おっと、小早川選手が顔を上げて……？
藍子,プロデューサーさんのほっぺたに……？
Ｐ,！！？
未央,舐めたぁーッ！？
紗枝,♡♡
未央,動物としては最大級の愛情表現っ！これは本心か、それとも罠かぁーっ！？
藍子,ひとつ確かなのは、かわいい狐さんにこれをされて、平静でいられるのは難しいということですっ
Ｐ,……う……。うおおー！紗枝狐かわいすぎるだろーッ！
紗枝,こんっこんっこーんっ♡あぁんっ、優しゅうしてって言うたのにぃ～♡
未央,な、なんか癒されるっていうか、見ててドキドキしたんだけど……。でも効果は抜群だ！見てよこの審査員の顔！
Ｐ,はぁ……さえはんちょうかわいい……
藍子,まんまと術中にはまってますねぇ。ともあれ、技術的にもとても高レベルでしたっ。惜しむらくはちょっぴり攻め気が前に出て、癒やしとはピントがずれたことですけど……。狐さんの姿になってからのもふもふ感も素晴らしかったですっ。ね、プロデューサーさん！プロデューサーさん？
Ｐ,ぱすてるぴんく……
芳乃,そなたー
Ｐ,グワーッ往復ビンタ！！
紗枝,あ～、すこぉし菜帆はんに負けてもうたぁ。いけると思ったんやけどなぁ～
周子,本人はけろっとしてんだもんなぁ。紗枝ちゃん……恐ろしい子！
紗枝,ん～？なんのことどすやろ～♪
こずえ,つぎはー……こずえのばんー……
Ｐ,おう、いつも通りだな。ほらおいで
こずえ,はーい……。んー……
Ｐ,おっとと、いつもより甘えんぼだなぁ。ほれほれふしょふしょ
こずえ,ほはー……くるしゅうないー……。……ふわー……
未央,おっと遊佐選手、さっそく眠くなったようですが……？
藍子,ねむねむですね。こずえちゃんがプロデューサーさんのお膝やお腹で眠っているのは、日常的によく見る光景です
Ｐ,もふもふするのも我ながら慣れたものだ
こずえ,おふー……
Ｐ,……こうしてると、こっちも眠くなってくるんだよなぁ……
こずえ,ぷろでゅーさーも……おねむなのー……？。それじゃあ……いっしょにねちゃおー……？
Ｐ,はは、そういうわけにもな
こずえ,んー……。じゃあー……こずえが、こもりうた、うたってあげるねー……
Ｐ,子守歌？
未央,おおっ、癒しの代名詞！
藍子,これは期待が持てますねっ
こずえ,こずえのこもりうたー……きいてー……きけー……
Ｐ,そうなるとマジで寝ちゃいそうだが……ま、いいや。未央と藍子に起こしてもらお。いいぞこずえー。俺もリラックスしてるからなー……
こずえ,わかったー……。らん……らーん……らーん……
Ｐ,えっ何このゲージ……えっえっなんか頭が、えっ目の前がなんか
こずえ,らぁん……らぁーん……らぁんらぁ～ん……
Ｐ,ちょ、こずえその歌ちょっと、一旦止めっ止、なんか見えっ、目がっ瞳がっ
こずえ,らぁぁん…………らんらんー、らぁぁ～～～～～～～～～～ん……
Ｐ,こずえやめあっあっあっあっあっあっあっあっ。やがてこそ、舌を噛み、語り明かそう……
未央,……いやいやだって癒されてないしね？発狂してるしね？
Ｐ,明かし語ろう……新しい思索、超次元を……アアアアッ……
藍子,子守歌とっても素晴らしかったです。私もなんだか癒されて、眠くなっちゃいました♪
未央,あーちゃん！？
藍子,？
Ｐ,ウアアアアアアアアアアアアアアアアアアアアアッ！！！
奈緒,はっ！？つ、次あたしじゃんか！
凛,そういう順番だからね。大丈夫、私達が見てるよ
加蓮,骨は拾ったげるからねー
奈緒,お、お前らなぁっ
凛,……ところで、プロデューサーはもう大丈夫なの？
芳乃,こんなこともあろうかとー、鎮静剤を精製しておりますればー
Ｐ,んマジェスティックッ！？
奈緒,……もぉ～～～あったまきた！。なーにが癒しだもふもふだっ、勝手にどんどん話進めちゃってさ！。ぜぇったい癒してやんねぇ！とことんまで邪魔してやるからなっ！。……
Ｐ,おぅふっ
奈緒,…………
未央,おおっと神谷選手、膝の上に乗るなり首をぶんぶん振り始めたぁっ！？
藍子,髪の毛が揺れて、まるで獅子舞さんみたいですね
Ｐ,おぉおぉ、髪がもっふもふ揺れて前がよく見えん……！
奈緒,ふん、どうだ！あたしを乗っけてのんびりできると思ったら大違いだからな！
Ｐ,……めっちゃ良い匂いしてきた
奈緒,は！？
Ｐ,なめらかな揺れ具合を見るに、これほど長い髪でも隅々まで手入れを怠っていないようだ。それにこの匂い……ハーブガーデンだな？ちゃんと良いものを使ってケアしているようで感心感心
奈緒,くそっ、こうなりゃ次の作戦だ！――とうっっ
未央,おっと神谷選手、両足を浮かしていますが……？
藍子,プロデューサーさんに全体重をかけてる形ですね。圧迫祭りでしょうか？
Ｐ,ぐっふぅ……
奈緒,なんだよ。苦しいっつったってどいてやんないからな。女の子を膝に乗っけるとか言い出したのはそっちだからなっ。たまにはこういう、苦しい思いを……
Ｐ,……そりゃいいんだけどお前、相変わらず軽いなぁ
奈緒,へ！？
Ｐ,凛や加蓮もそうなんだが、身長やスタイルに対して軽すぎる。いや、絞ってくれるのはありがたい話なんだぞ？そりゃアイドルだし、ライブで運動する必要だってある
奈緒,え、え、な……っ
Ｐ,いやまあ普通にセクハラなんで怒ってくれていいんだが、とりあえず言うだけ言わせてくれ。もし仕事のことを意識して、ちょっとでも無理してるとかだったら、そこはこっちでカバーするからさ。食べたいものを食べずにストレス溜めたり、無茶なダイエットで体調崩したりしたら、そっちのが問題だし
奈緒,ぅぁ……
Ｐ,とにかく無理はしなくていいんだ。おいしいもの食べたいだろうし、なんたって育ち盛りなんだから
奈緒,っ……こ、こ、こんな時に優しくすんなよ！あんた何考えてんだよぉ！
Ｐ,何って、俺はずっとお前のことを大事な担当アイドルとして
奈緒,だああもうっ！ややや、やめろってばぁ～～～！！
加蓮,なーおー？ちゃんとやんないと負けちゃうよー？
凛,ふーーーーん
奈緒,くっそぉ、なんだよ！あたしさっきから自爆してばっかじゃんか！。こうなったら最終手段だっ！あんまり傷付けたくなかったから、できればやりたくなかったけど……！。…………プロデューサーさんってさぁ
Ｐ,ん？
奈緒,最近ちょっと臭い時あるよな
Ｐ,！？
未央,おおっまさかの罵倒！？
藍子,癒しとは正反対のムーブですねっ。果たしてどんな狙いが……
奈緒,どーせ、最近働き詰めで家に帰ってないとかなんだろ？。そういうの迷惑なんだよっ。あー風呂入ってないんだなってわかっちゃうしさ。あたし達が気付いてないと思ってんのかよ？そんなの、鈍感だぞ！もっと自分の身だしなみに気を使えよな！。ていうか家帰ってシャワー浴びるくらいは普通にしろよ！あんま根詰めなくたっていいんだよっ
Ｐ,奈緒……
奈緒,あと、スーツも！同じのいくつも持ってるみたいだけどさ、そんなの着回したってダサいだけだろ！。言っちゃなんだけど、そこそこ稼いでるんだろ！？だったらそっちにちょっとくらいお金使ったらどうなんだ！。……あたし達ばっかりに気を遣ってないでさ。だからダメなんだよ！
Ｐ,……奈緒……
奈緒,えっと、ちょっと言い過ぎたか……？まあいいや、なるようになれだ！。あと、たまに目が死んでて怖いし。あれだってどうせ寝てないからとかだろ？ば～っかじゃねぇの！。そんな不景気なツラ見た子がどう思うとか、考えてないんだろ？ちゃんと寝ろよなっ。みんな心配してんだぞ！。……そりゃ……。そりゃ、あんたが頑張ってるのは知ってるけどさ。んで、みんなやっぱり感謝してるけどさ……じゃなくて！んなとこ見せられると、あたしらだって気が散るっていうか……。……とにかくみっともないんだ！無神経にもほどがあるぞっ、プロデューサーさん！
Ｐ,奈緒……お、お前は……
奈緒,……嫌われたかな。ま、いいや。どうせ勝つ気なんて無かったし、言いたかったことは言えたし……
Ｐ,……そこまで俺のことを考えて……
奈緒,！？。ばっなっ、何泣いてんだよ！？あたしは別にそんなつもりじゃ……っ
Ｐ,いやいいんだ、嬉しいんだ。そうだよな、余計な心配かけちまってたよな……。適宜休むようにするよ。それでこそ、みんなの後ろにいて恥ずかしくないプロデューサーだもんな
奈緒,え、あ、そ。そ……そうか？じゃあいいけどさ……ふんっ
Ｐ,ありがとな、奈緒。明日も頑張れそうだ
奈緒,……ん。ほんとにそんなつもりじゃないんだけど……。まあ、プロデューサーさんが嬉しそうなら、いっか。ってそういうことがしたいんじゃないんだよあたしはぁっ！！。も、も、もう知らんっ！！付き合ってられるかぁ～～～～～～っ！！！
未央,…………えー神谷選手、茜ちんと同じく遠くに行っちゃいました
Ｐ,……俺あいつに嫌われてんの？好かれてんの？どっち？
凛,うん、プロデューサーはそのままでいいと思う
加蓮,いつか天罰下るんじゃない？
未央,おおおおっ、現状最高得点！一気にトップに躍り出ましたぁっ！
Ｐ,さすがと言うべきか、もふもふ度では文句のつけようがなかった。あと明日からも頑張ろうと思いました。身だしなみにも気を付けます
未央,そんな父親みたいな！。ともあれ、癒されポイントもすっごく高かったよ！見ててニヤニヤできたもん！
藍子,最後に私の技術点ですが、最高点にしなかったのには理由があります。奈緒ちゃんの行動はプロデューサーさんを気遣い、心身ともに癒す素晴らしいものでした。特に最後。悪口と見せかけて気遣う言葉をかけるというのは、奈緒ちゃんならではのオリジナリティあるアクションだったと言えるでしょう。……でもあれ、全部本来の目的が裏目に出た結果なんですよね
Ｐ,そうなの！！？
藍子,そう、つまり再現性が無いんです。狙ってあれができるなら満点だったでしょう。もっとも、それができないからこその奈緒ちゃんなんですけどね。そこは痛しかゆしです
未央,あーちゃんの採点、思ってたよりガチじゃん……
美穂,と、とうとう私の番が来ちゃったよぉ……！
蘭子,汝畏るるなかれ！秘めたる力を解放せし時、きっと頂に手が届こうぞ！
卯月,そうだよ美穂ちゃんっ。私達も応援してるから！
響子,大事なのは真心ですよっ！
未央,えー、ということでみほちーの出番！これで大トリを飾ります！
藍子,一体どんなテクニックが出てくるのか、とっても楽しみですっ♪
美穂,ふ、二人とも、そんなにハードル上げないで～っ。うぅ、みんな凄かったなぁ。私で勝てるのかな……。う、ううん、余計な心配しちゃ駄目！私は私のできることをしなきゃ！。で、では……いきますっ！
Ｐ,おっ狸
未央,みほちー、初手から狸モード！トップギアでいくつもりです！
藍子,わぁ、もこもこの冬毛であったかそうですねっ
美穂,ぽこっ失礼しますっ
Ｐ,うーむ、ふかふか……
美穂,ぽこ～……いいにおい～……
未央,両者、割と慣れた様子で抱っこポジションに入りました。こういうのなんて言うんだっけ、実家のような安心感？
藍子,天気がいい日は、よくお二人で日向ぼっこしてますからね～
Ｐ,だが、いつも通りでポイントは見込めない……。さあ、どう出る美穂……？美穂？。美穂？。………………寝とるがな
美穂,ぷぅ……ぷぅ……
蘭子,ねっ眠り姫の誘う手がぁーっ！？
卯月,美穂ちゃん、起きて起きて！まだ何もしてませんよぉ～っ！
響子,……いいなぁ
美穂,ぽこぉん……ふしゅ……くるる……えへへぇ……お花畑いっぱいの馬刺しぃ……。馬刺し畑と辛子蓮根のお山……なんだか天国みたい……。あっ。丘の向こうに見える、あの影は……？。プロデューサーさん！プロデューサーさんだっ！お膝に乗せてくださ～いっ！。あ……あれっ？どうして遠ざかるんですか？どうして……。ああっ！プロデューサーさんの上半身と下半身が、Ｖガ〇ンダムみたいに二つに分かれてっ！？。お膝が遠くに飛んでっちゃうよ～っ！！
Ｐ,終わりのないディフェンスでもいいよ……いいよ……よ……
美穂,ま、待って～～～～～っ！！。ぽこっ！！
Ｐ,起きた！
藍子,夢の中で何か掴んだんでしょうか？
美穂,ただ乗ってるだけじゃ、誰にも勝てない。ディフェンスじゃダメなんだ、攻めなくちゃ！。茜ちゃんの熱さ、菜帆ちゃんのおもてなしの心、紗枝ちゃんのパステルピンクな罠。こずえちゃんの子守歌、奈緒ちゃんの優しい気遣い、……それらを超えるものを、私がやるんだっ！。この手はできれば使いたくなかったけど……。ぽこーっ！！小日向狸、奥義っ！！
Ｐ,な……っ！？
未央,みほちーが立ち上がって……！？
藍子,プロデューサーさんの体をよじ登って……！？
美穂,狸流、毛皮魔布羅亜まふらあ
未央,く……首に巻き付いたぁー！！
卯月,あ、あれは……！
響子,マフラー！？
美穂,狸的にはとっても悲しい話だけど、昔、狸の毛皮が乱獲された時代があったみたい。あったかくてふかふかで、防寒性がすごく高かったんだとか。それこそ襟巻にしたり、帽子になっちゃったりしてたとか……生きた私が真似するのは罰当たりな感じがするけど。これは、卯月ちゃんと響子ちゃんの手編みマフラーがヒントをくれた、いわば友情の合体技ですっ！
藍子,動物さんの毛皮、特に冬毛って、すっごくあったかいって聞きますね
未央,その上みほちーのぽかぽか体温が合わさったら、その温かさとふかふかさたるや……
Ｐ,あふぅん……
未央,成人男性がしちゃいけない顔しちゃうほど……というわけだね！
藍子,モザイクものですね
美穂,ぽこっ、ぽこっえいっえいっ。落ちないように……。あ、お顔が近い……。な、舐めてみる？紗枝ちゃんみたいに………………。…………や、やっぱり無理～！！
Ｐ,更に体温が上がった！！
蘭子,これならばシヴァの暴威も恐れるに足らず！流石はこの魔王の同胞なりっ！
Ｐ,いやー……良かったわ語彙力消失
未央,いいなー、いーいーなープロデューサー。ねぇねぇさっきの私にもやらせてよー
Ｐ,なんだよ本田ぁーやーめーろーよー
未央,いーいーじゃーんーかーよーう。――さて、これにて全ての審査が終わったわけですがっ。みほちーの点数が出ることで、優勝者が決定します！。果たして結果はいかに！？では点数を……
藍子,…………
未央,発表っ！！。１０点、１０点、は……８点っ！？。合計２８点、２位の海老原選手とタイ！ということは……！？。２９点の、神谷選手の優勝となりましたぁーっ！！
奈緒,え、はぁっ！？あああ、あたしかよぉ！？
紗枝,一歩及びませんでしたなぁ。奈緒はん、ほんまお見事どす～
こずえ,もふもふー……こずえもしたいー……
茜,おおっ、決まりましたかっ！！奈緒ちゃん……いいやもふもふクイーンとお呼びした方が！！？
菜帆,いい大会でしたね～。とってもほんわかできました～♪
美穂,ま、負けちゃった……
未央,私とプロデューサーは文句なしにみほちーに満点をつけたわけですが、解説の高森さん！この一歩届かない点数には何か理由が！？
藍子,ええ。美穂ちゃんの機転は実に見事でした。その効果の大きさも、プロデューサーさんの反応から一目瞭然です。しかし、一つだけいかんともしがたい問題があるのです
Ｐ,その問題とは……？
藍子,とてもシンプルです。――範囲が膝の上から外れてしまったのです。これはルール上の不備と言うべきかもしれませんが、行動範囲はあくまで限定されています。全身が膝の上から離れてしまっては、場外と言うほかありません。足がついてたりすれば膝上判定は残り、文句なしの満点だったものを……マフラーという発想は素晴らしいものだったんですが。あるいは点数上限が１０でなければ、他二つとの合計点でトップに躍り出たかもしれません。本当に惜しいです
未央,あーちゃんほんとにガチ採点だね！？。見事第一回もふもふクイーンに輝いた神谷選手には、賞品のプロデューサーの膝永住権が授与されます！
奈緒,……って言うけど、具体的にどうすりゃいいんだよ！？
凛,乗ればいいんじゃない？
加蓮,シェアしようよ
奈緒,うぅ……。てか、あたしがそんな権利持ってたって絶対持て余すだろ！普段使わないんだから！。放棄、放棄だっ！今日をもって永住権を放棄する！！
加蓮,えーっ。せっかく勝ち取ったのにー
凛,あとあと響くと思うよ、その判断
奈緒,お前らはなんで普通にシェアする気でいるんだよ！？
未央,優勝者が権利放棄したということは、プロデューサーの膝は……
藍子,所有者のいない土地ノーマンズランド
Ｐ,俺の膝は俺のものでは……？
周子,んじゃこれからは事務所の共用スペースってことでー
菜帆,お菓子とお茶を常備しましょう～♪
紗枝,鳥居をよぉさん立てて、お稲荷様の通り道にするんはどうどすやろ？
茜,運動できる場所にしましょうっ！！寒い日こそ体を動かすんです！！！！
芳乃,力ある石を積みてー、御利益のある土地になりますようー
茄子,それならお賽銭箱も設置したらどうでしょう？
響子,あ、だったらまずお掃除しなきゃ！
輝子,キノコ……育つかな……
小梅,あの子が、まずはそこから始めますだって……
こずえ,がくいんをたてる
