工藤忍,……どうして？アタシ、何か悪かった？
イヴ,シャリ作りは機械化されてるでしょうし、大丈夫ですよ～。きっと
七海,超高速な参勤交代れす～
P,……シャリといえばこの前ナターリアと一緒に別の回転寿司行った時、飯を炊くの失敗したとかで、レーン上をサラダばかりが大量に回ってた事があったな
七海,サラダの大名行列れす～
イヴ,ブリッツェンが喜びそうですね～
P,空腹時にオール回転サラダだったせいで店内に険悪な雰囲気が漂ってたけどな
イヴ,あ。デザートやコーヒーもこれで注文できますね～。Ｐさん、アイスコーヒー頼みますか～？
椎名法子,呼びました？
P,うわぁ！？なんでテーブルの下に！？
法子,今、あたしのこと、呼びましたよね？
P,よ、呼んでないよ？ていうかどこから湧いて出た！？
法子,Ｐさんの声帯がドーナツの波長で震えたはずなんですけど。それはもうあたしを呼んだのと同義ですよね
P,怖い！眼にハイライトがない！なんか良くわかんないけど、認識方法諸々含めて、この子怖い！！
七海,Ｐさん、試しに眼鏡って言ってみて下さいれす～
P,言わないよっ！？
法子,Ｐさんとあたしは切っても切れないギャラクティカドーナツで結ばれてるんですよー。えへへ
P,人の股で何言ってんだ！？お前はもりくぼかっ！誰か助けて！！
乃々,Ｐさんに、シャリ４:ネタ1:ワサビ5くらいの比率のお寿司を、無理やり口にねじ込まれたいんですけど
あやめ,唐突にどうしたでござるか！？
乃々,大量に生温かいモノを口に含んで涙目な私の唇を、ちょっと乱暴に摘んでおら。飲み込めよってドスの効いた声で言って欲しいんですけど
忍,本当にいきなりどうしたの！？あと、ワサビの話だよね？念のため
乃々,……それ以外に何があるんですか？しのぶさんが意外にむっつりな件
忍,うっ！？
あやめ,忍殿はむっつりどころか結構ガッツリ
忍,あーあーあーっ！！何言ってんの！？ほんと何言ってんの！？
あやめ,あ。ちなみにわたくし達２人はまだプラトニックな関係でござるよ
乃々,聞いてないんですけど。そして今の流れじゃ、とても信じられないんですけど
あやめ,むぅ。しかし本当でござるよ。あやめはＰ殿に操を立てておりますがゆえ！
乃々,Ｐさんはもりくぼのものなんですけど。むしろもりくぼがＰさんのモノなんですけど
忍,Ｐさんはみんなのものでしょ！？ちなみに、あやめっちはアタシのものだけどね！！
乃々,あやめっち！？ていうか相関図がもう訳わかんないんですけど！？
あやめ,し、忍殿。さすがに公衆の面前で宣言されると恥ずかしいのでござるが……。忍殿……！！
忍,あやめっち……
乃々,あー。コーヒーが甘いんですけど！甘ったるいんですけど！
忍,一度Ｐさんへの夜這いが失敗したくらいで落ち込まないで！また一緒に頑張ろう！！
あやめ,忍殿……！！
乃々,おいこらちょっと待って欲しいんですけど
忍,あ、あの傍若無人な振る舞いにそんな意図が……！？
あやめ,うむむ。さすが正妻候補の一角だけありますな。あなどれません
乃々,……！？せ、正妻……ですか！？
あやめ,Ｐさん宅に勝手に上がり込んでるわたくし達とは違い、正式に合い鍵を得ている三傑の一人なだけはあります
乃々,その設定初耳なんですけど！？誰ですか！？残り2人は誰なんですか！？
忍,その他にも既に鍵の偽造に成功してる娘がいるとかいないとか
乃々,それが誰なのかは、大体予想がつきますけど！
あやめ,謎の人物による、ドリンク購入を条件とする、合い鍵横流し疑惑もあるとかないとか
乃々,鬼！悪魔！謎の人物！
忍,もうここまで来たら、ほとんどみんな何かしらの侵入方法持ってそうだよね
P,ん？なんだろう。急に寒気が？
七海,風邪れすか～？
法子,風邪にはドーナツですよ。ドーナツ！
イヴ,ヘレンさんは全裸で乾布摩擦が効くって言ってました～
法子,えーっ？……車にコーラを入れて走ると思う？
P,走らないけど
法子,みちるちゃんにライスを与えて動くと思う？
P,みちるも人間だし、パン以外でも動くんじゃないかなぁ？
法子,春菜さんの眼鏡を叩き割っても動くと思う？
P,もうそれただの暴力じゃね？
法子,みくちゃんからネコ耳ネコキャラを奪いとっても…
P,…………
法子,…………
P,…………
法子,……可愛くなるだけだね
P,そだな
法子,うん。よく分かんないけど、あたし、うどん食べるよ
P,そうしろ。あとタンパク質もとれよ
法子,あ、うどんで思い出したんだけどさ。近くにミ◯ドカフェが出来たんだよね
P,おう。……なんでうどんで思い出した？
法子,今度いっしょに行こうよ。お洒落な感じで一人じゃ入りにくくってさ
P,……なんでうどん……。まぁ、いいけど。誰が分かるんだこのネタ。そしてドーナツどんぶり一杯の概念が俺には理解できない
イヴ,ついでにそれは無料にしてもらえないフラグですね～
七海,炎上れす～。謎は解けたれす～。セットのドーナツも溶けそうれすが～
P,やめろ。うどんに沈むドーナツを想像しちゃっただろう
法子,……！！。フロンティアすぴりっと！！
P,そっちは魔境だ！！
イヴ,七海ちゃんは追加の注文いいんですか～？あんまり食べてませんよね？
七海,七海は小食なのれす
P,この前、俺の財布持ってファミレス行った時、２万円くらい使ってなかったか？
神谷奈緒,嘘つけやぁぁぁぁっっ！！！
北条加蓮,うわっ！？な、奈緒？急にどうしたの？
奈緒,あ、ご、ごめん。なんか急に突っ込まなきゃいけない気がして……
加蓮,ライヴリハの反省会中なんだからしっかりしてよね。さっさと終わらせて帰ろう
奈緒,わ、悪かった。凛もゴメン。なんか無性に名誉が毀損されてる気がしてさ
渋谷凛,わん
奈緒,そうだな。いつまでも事務所に居座るのも悪いし、さっさと終わらせよう
加蓮,…………
奈緒,ん？どうした加蓮？
加蓮,いや……さっきから凛が……
凛,わふ？
加蓮,…………
奈緒,うん？今度はあたしの方を向いてどうした？
加蓮,いや……その鎖のついた手枷足枷は何かなー……って
奈緒,ああ。私服だよ私服。まぁ、ファッションってやつかな
加蓮,…………。…………。…………そっか
奈緒,どうした？疲れてるのか？今日はもうここまでにしとくか？
凛,くぅーん……
加蓮,…………。……ありがと
凛,わん
加蓮,…………。…………。……よし
奈緒,……なぁ、加蓮？
加蓮,え？何？
奈緒,さっきから気になってたんだけど、その大きなリュックとボーイスカウトみたいな衣装は何なんだ？
加蓮,あー、うん。早めに切り上げてもらって悪いけどさ。この後、夕方になったらちょっと山に行く予定があって……
奈緒,山っ！？
加蓮,ほら、最近Ｐさん忙しくって……凄く疲れてるじゃない？
奈緒,お、おう
加蓮,だから、私に何か出来ないか、私をここまで育ててくれたＰさんの為に何か恩返しが出来ないか、そう考えて、少し前からお料理の練習を始めてるんだ
凛,…………
加蓮,元気がでるもの、疲れがとれるもの、いっぱい調べて色々試してみようと思ったの
奈緒,…………
凛,…………
奈緒・凛,…………。…………
加蓮,莉嘉ちゃん、相談したら凄く嬉しそうに色々教えてくれてさ。ほんと、良い子だよね
奈緒・凛,…………。…………
加蓮,じゃあ、おつかれー
奈緒,…………
凛,…………
奈緒,良い子だったのに、なんであんな風になっちゃったのかな……
凛,ワフュ
七海,ごちそうさまれした～
イヴ,Ｐさんが、たくさん食べる女の子って可愛いよな、って言った途端すごい勢いでしたね～
法子,分かりやすいよね。話題をさり気なくそっちに誘導したイヴさんの手腕もなかなかでしたけど
イヴ,なんのことでしょう～。けど、ご飯はみんな楽しくいっぱい食べた方が幸せですよ～
法子,……それはまぁ、わかります
P,よ、よし、お会計に行くかな
法子,Ｐさんはちょっと涙目ですけどね
イヴ,ごちそうさまです～
法子,Ｐさん、ごちそうさま！ありがと♪
七海,今日は連れて来てくれて嬉しかったのれす！
P,ん。……また来ような。あ、席に忘れ物するなよ～。レジはあそこの……あれ？
あやめ,おや？
忍,わっ！？
乃々,……！！
P,なんだ、お前達も来てたのか？全然気がつかなかった
あやめ,わたくし達も気づきませんでしたよ。世間は狭いですね
七海,うがーっ！
乃々,むがーっ！
あやめ,ま、まことでござるか！？かたじけない！！
P,ん。くるしゅーない。あ、そうか。伝票番号をレジに持って行ったら金額が分かるのか
忍,ごちそうさまです！
乃々,ごちそうさまです……
P,ぶら下がるな、ぶら下がるな。…………
乃々,しのぶさんがひとり20皿はノルマだって……
忍,言ってないよ！？
乃々,極度のストレス下で、もりくぼは過食気味になるんですけど……
あやめ,それは申し訳なかったと思っておりますが！
乃々,そういえばＰさん、あやめさんと忍さんに夜這いかけられたって本当ですか？
イヴ,…………
七海,…………
法子,…………
忍,嬉々としてストレス下に飛び込んでるよねっ！？
P,ん、夜這い？何のことだ？
乃々,……？。うわぁ……
P,意味がわからないので、思わずそっと閉じましたよ。そっと
乃々,それで、ひゃっほー！据え膳だぜーっ！ってなる人はあんまりいないでしょうね
P,あれ、夜這いだったのか……
乃々,ええ、残念な人達です……
あやめ・忍,…………
七海,ちょっと待って下さい。おかしいれす
P,いつの間にか右腕にぶら下がってるお前も相当おかしいぞ？なんか左の乃々と左右対称で合体ロボみたいだな、俺
乃々,くっ……
法子,わかっとるやん
イヴ,どうかしたんですか～？
乃々,思いっきり核心ですよ。ていうか親友に何頼んでるんですか、しのぶさん
忍,ゴメンナサイ……
P,あの冷たい眼、正直、興奮した
乃々,そっちには行かないで下さい
木場真奈美(バイト),ありあっしたーっ！！
P,ごちそうさん！
乃々,ええーっ……？
P,いやー、食った食った。当分、寿司は……
？？,Ｐ……？
P,えっ？
忍,あ、ナターリアさん
ナターリア,Ｐ……今、ミンナと、おスシ屋サンから……出てきた……ノカ？
P,え……う、うん。そう……だけど。い、いや、あれは別にサラダ屋さんだったワケではなくて……。ど、どうした急に？
乃々,この前、パジャマパーティーにお呼ばれした時に、深夜のガールズトークでＰさんのpちゃんのサイズについて議論になったんですけど
P,意味がわからない。わかりたくないけど、少なくともそれはガールズトークじゃないだろう
乃々,そこでもりくぼがＰさんのpちゃんのサイズとＰさんのＰさんのサイズを、ミリ単位で正確に教えてあげた時の、まゆさんの眼がちょうどあんな感じでした。ちなみに響子さんとゆかりさんは満面の笑顔でした。貼り付けたような。智絵里さんはちょっと泣いてました
P,天使を泣かすなっ！
乃々,美優さんや留美さんは
P,聞きたくない聞きたくない
乃々,いませんでした
P,おちょくってんのか！
イヴ,Ｐさん。放置されたナターリアちゃんが泣いちゃいそうなんですけど～
ナターリア,うう、うぇ、うえぇぇぇ……
法子,大丈夫だよ～。すでにデート先約済みのあたしが言うのもなんだけど、きっとまた連れて行ってくれるって。よしよし
ナターリア,うわぁぁぁぁぁぁん！！。う、うぇっ……
P,すぐにってワケにはいかないけれど、また今度一緒に行こうな～。だから泣き止め～
ナターリア,…………。……回るスシ？回らないスシ？
P,ぐっ……！ど、どっちでもいいぞ～
ナターリア,回るスシがイイ！
P,そっちがいいのか……
ナターリア,ミンナといっしょニ！！
P,……はい
イヴ,楽しみですね～
P,イヴは向こう１週間、ふりかけご飯のみな。ごま塩で
イヴ,お、横暴です～。あんまりです～。せめて卵かけ御飯とのローテーションに～
あやめ,それで良いのでござるか……
忍,なんでごま塩縛り？
乃々,イヴさんの献立を当然の様にＰさんが決めてることにはもう誰も突っ込まないんですね
ナターリア,約束だゾ！P！
P,お、おう！約束だ！！
法子,良かったね！
七海,一件落着、れす～
乃々,……そろそろＰさんの腕から離れませんか？
七海,……お断りれす～
あやめ,の、乃々殿……！のちほどＰさんのＰさんのサイズについて詳しく……
P,何きいてんのっ！？
イヴ,Ｐさんのアレは意外と～
P,イヴさん！？あなたまで何をっ！？
七海,興味深いれす
法子,アレ言うなや
P,あー、今日も疲れた～。帰ったぞ～愛しの我が家～。あれ？なんだ？鍵が開かないぞ？
松尾千鶴,あ、お帰りなさい、Ｐさん
P,あれ？
千鶴,何惚けてるんですか。さっさと入って下さい
P,う、うん。…………
千鶴,さて。あらためて、おかえりなさい。あ、あなた
P,なんで呼び方変えた？
千鶴,ご飯にします？お風呂にします？そ、それともわ、わ……
P,ごはんで
千鶴,え？
P,ごはんで
千鶴,……なるほど、がっつかない大人の余裕という奴ですか、悔しいけど……す、素敵ですね
P,誰だお前。おい。自分でっ、自分で出来るからっ！やめっ……！
千鶴,くんかくんか。はい。次はスーツを脱ぎ脱ぎ……
P,なんで靴を嗅いだ！？
千鶴,は？何を言ってるんですか？
P,！？そ、そうだよな。真面目でクールな千鶴がそんなことするわけないよな。なんだろう、俺、疲れてるのかな
千鶴,はすはす。スーツも程良いスメル
P,だから嗅ぐなっ！！
千鶴,は？
P,いや、だからなんで逆ギレ気味なんだよ！！
千鶴,ご飯の用意は出来てますよ
P,会話をしろ！あとさっきから気になってたんだけど、なんでメイド服なんか着てるんだよ！
千鶴,今夜は鶏肉と旬のお野菜がメインのお鍋ですよ
P,……それと知らないうちに俺の家の鍵が見慣れない２連式になってるんだけど
千鶴,お昼にお寿司をいっぱい食べたみたいでしたから、味付けはあっさりめに仕上げました
P,なんで俺の昼飯知ってるの？
千鶴,え？それはもちろん盗聴k……イヴさんに聞いたからですよ？
P,なんか９割方、言いかけなかった？
千鶴,頭頂部も最近怪しいんじゃないですか？って言いかけただけですよ
P,イタズラに傷つけないで！俺のグラスハート！あともって何っ！？
千鶴,ストレス性ですかねー
P,どこ見てるの！？冷静に分析しないで！
千鶴,そうこうしてるうちにお鍋が温まりましたよ。さぁ、座って下さい
P,うん。……うん？なんか色々誤魔化されてないかな？
千鶴,よそってあげますね。あなたはどの具を食べますか……。ハッ、つ、ついでだから！ただのついでですから！
P,とって付けたようなツンデレ！
千鶴,え？私をとって食いたい？
P,肉食系の難聴アイドルとか、性質悪りぃなっ！！
千鶴,……あーんとか、してあげるわけないじゃない。……しないってば
P,あ、熱っ！！言ってる事は、ほぼ公式の台詞だけど、やってる事が……熱いって！！押し付けんな！！
千鶴,こうしてると本当の家族になったみたいですね……ハッ、いえ、なんでもないです！なんでもないっ！
P,はー。熱かった。ん。普通に食うと美味いな。優しい出汁の味が胃に染みるね
千鶴,…………。やっぱりどうしても私に食べさせて欲しい？仕方ないですね。はい。あーん
P,…………
千鶴,あーん
P,…………
千鶴,あーん
P,…………
千鶴,……口を開けてくれないと、このメイド服のまま、ご近所に妻です。服装は夫の趣味ですって挨拶して回ります
P,……あ、あーん
千鶴,ふふ。仕方ないですね。はい。あーん
P,……理不尽だ。そして普通に……いや、思った以上に美味いから困る
千鶴,次は何を食べたいですか？
P,一回だけじゃなく、ずっと続くのか、これ
千鶴,不思議ですね。ただのお鍋なのに、あなたと一緒に食べるといつもよりもずっと……
P,しかも意外と悪意を感じないからやりにくい
千鶴,ただあなたが喜んでくれるなら、それだけで良いんですよ
P,…………
千鶴,はい。次はこれ。お野菜も食べましょうねー。あーん
P,は、恥ずかしい……。ふー……。食った食った。最後の方は食べさせてもらう事に慣れてきていた自分が怖い
千鶴,なら、あなたのお箸は処分してしまっても構わないよね？
P,それはやめて
千鶴,ふふ。さすがに冗談です
P,今のお前は線引きが分かりづらいんだよ
千鶴,さて、食器もあらかた洗い終わりましたし、あ……あなた。こっちに来て下さい
P,…………
千鶴,…………
P,……その座って自分の脚を叩く仕草は一体……？
千鶴,見て分かりませんか？膝枕ですよ。してあげるからこっちに来て下さい
P,…………。いやいや。それはないだろう。それはナシだろう。なんか色々麻痺しつつあるけど、越えちゃいけないラインってのが
千鶴,今なら耳掃除のオプション付きですよ？
P,…………
千鶴,それに私、ダンスレッスン頑張ってますけど、結構柔らかいですよ？
P,…………
千鶴,珍しく他に誰も居ませんし、チャンスだと思いますけど……前のお仕事の時、たまに私のここ、見てましたよね？
P,…………
千鶴,……私、口は意外と固い方ですし、……誰にも言いませんよ？
P,…………。…………。…………。…………
千鶴,……気持ちいいですか？
P,うん。…………。…………。はっ！俺は一体……！？
千鶴,あっ……動いたら危ないですよ。じっとしてて下さい
P,は、はい
千鶴,声に出てますけど……
P,はっ！今のは違う！違いますからね！
千鶴,それ私の……いえ、構いませんが、あんまり動かないで下さい
P,はい……
千鶴,…………
P,…………
千鶴,……手とか指くらいなら多少動かしても良いですよ？
P,さ、触らないよっ！？
千鶴,触れとは言ってませんが
P,うぐ
千鶴,…………
P,…………
千鶴,…………
P,…………
千鶴,……触っても良いですけどね
P,…………
千鶴,…………
P,…………
千鶴,…………
P,そ、そういえばイヴ達はどうしたんだ？珍しく誰もいないみたいだけど。そ、そうか……。いや、なんだそれ！？
千鶴,はい。こっち側は終わりです。次は反対側をしますから、私のお腹の方に顔を向けて下さい
P,は、はい
千鶴,…………
P,…………
千鶴,…………。別に良いですけど
P,心を読まないでっ！！
千鶴,あなたの考えてる事は、ほぼ手に取るように分かりますし
P,マジで……！？
千鶴,まじです
P,マジか……
千鶴,…………
P,…………
千鶴,…………
P,マジかぁ……
千鶴,…………
P,…………
千鶴,……遠慮しなくてもいいですよ
P,…………
千鶴,そもそもあなたは周りに気を遣いすぎなんです
P,え？そうかな？
千鶴,詳しくは知りませんが、どうせ今日のお昼もみんなに奢ってやる、とか格好つけたんでしょう？
P,うっ……
千鶴,プロデューサーだからって無理して全員分自腹を切る必要はないでしょう
P,う、う～ん。でも
千鶴,でもじゃありません
P,ち、千鶴！？お、おま、お前、なに抱きしめて……。は、はい。うん。温かい……嫌じゃ……ない
千鶴,じゃあ、じっとしてて下さい
P,…………
千鶴,…………
P,…………
千鶴,あなたは格好つけ過ぎ、意地を張り過ぎなんです。たまにはこうやって力を抜いて、誰かを頼ってもいいんですよ
P,し、しかし。…………
千鶴,意地っ張りだった私にそれを教えてくれたのは他でもない、あなたです
P,…………
千鶴,誰も見ていません。誰にも言いません。私に頼って下さい。私には……甘えて下さい
P,…………
千鶴,いつでもきっと、いつまでもずっと、こうやってあなたの望むままに……抱き締め続けてあげますから
P,…………。…………。…………。…………はい
佐久間まゆ,せっかく作った鍵が使えなくなってたのはこういうことだったんですね
まゆ,本来はオンザルーフメンバーと輝子ちゃん専用の出入り口なんですけどねぇ。今日は特別です
奈緒,おう。さんきゅ。まゆが居なかったら入れず、途方に暮れるところだった
まゆ,パジャマパーティー不参加と聞いて念の為、確認しに来て正解でしたね。危ないところでした
奈緒,危ないところ？なんかＰさん陥落でアウトっぽいんだけど。違いがわからんが……そういうものなのか
まゆ,今回は7割堕ちと言ったところでしょうか
奈緒,それでも結構アウトだな
まゆ,あら？
奈緒,どうした？
まゆ,Ｐさん、眠っちゃったみたいですね
奈緒,ほんとだ。ちょっとイビキかいてる
まゆ,うふ。可愛い……
奈緒,どうする？突撃するか？
まゆ,あら？千鶴さんがＰさんをそっと置いて、こちらに……
奈緒,ひっ！？
千鶴,何やら騒がしいと思えば……
まゆ,…………
千鶴,…………
まゆ,…………
奈緒,お、おい。まゆ？その眼鏡なんだ？見つかってから変装なんてしても……
まゆ,いえ、これはただの眼鏡ではありません。某博士作、ヤンデレスカウターです
奈緒,ヤンデレスカウター！？
まゆ,千鶴さんの病み力は……５MAYUか。ふん。ゴミめ……です
奈緒,お、おう。それ、どれ位の数値なんだ？
まゆ,ちょうどまゆの５倍ですねぇ
奈緒,ヤバいだろっ！！！？
千鶴,…………
まゆ,…………
奈緒,…………
千鶴,あなた達……
まゆ,差し入れを
奈緒,！？。取り入ろうとしてる！？
まゆ,人聞き悪いですねぇ。相手を認めての一時休戦。和平、同盟の持ちかけですよぉ
千鶴,け、ケーキ……
奈緒,あ、効いてる
千鶴,し、仕方ないわね。あなたの思惑に乗るわけじゃないわよ。Ｐさんの為なんだからっ
奈緒,メイドさん……。ツンデレのメイドさんだぁ……
ユニット名はなぜか,まゆ参上
