店員,ご注文はいかがなさいますか？
サターニャ,もし目の前でガヴリールがこんな表情とポーズでいたら私我慢できないわ
ヴィーネ,これ襲われても文句言えないわよね
ラフィエル,思わず唇を奪っちゃいますよね～
サターニャ,あー……よく同性同士でのキスは気持ち悪いって言われるけど、私ガヴリールなら全っ然抵抗ないわ
ヴィーネ,わかるけど私たち悪魔じゃない。こんなに天使すぎるガヴにちゅーされたら昇天しないかしら
サターニャ,するわね。絶対するわ
ラフィエル,ではガヴちゃんとのキスは私の特権という事で
サターニャ,ざけんじゃないわよ
ラフィエル,そういえば私もガヴちゃんを待受にしてるんですよ
ヴィーネ,え？ほんと？どれどれ
ラフィエル,はいどうぞ
サターニャ,あれ、これって駄天前のガヴリール？
ヴィーネ,わあ！かわいい笑ってる～～！……でもこれ室内なのになんでこんな見下ろしアングルなの？
ラフィエル,ガヴちゃんの自然体を撮りたかったので壁に小さいカメラを
サターニャ,ってそれ盗撮じゃない！
ラフィエル,だって普通にカメラを向けるとどうしても硬くなってしまうんですもの
ヴィーネ,友達相手に盗撮するなよ……
ラフィエル,他にも天使学校時代のガヴちゃんのちょっと際どい写真とかありますよー
ヴィーネ,……あとで少し見せて
ラフィエル,サターニャさんはどんなガヴちゃんを待受にしてるんですか？
サターニャ,なんでガヴリールって決まってんのよ。……ガヴリールだけど
ヴィーネ,せっかくだからサターニャの見せてよ
ラフィエル,気になりますねー
サターニャ,………………やだ
ヴィーネ,え、なんで
サターニャ,いやよ。見せたくないわ
ラフィエル,見せないという選択肢はありませんよサターニャさん
サターニャ,別にいいじゃない普通の写真だから……ちょっとヴィネット来ないでやめなさい！
ヴィーネ,大人しくしなさいサターニャ
ラフィエル,サターニャさんのスマホゲットです
サターニャ,だめだめだめ！このアホ天使まっ……！！
ラフィエル,どんな可愛いガヴちゃんが写ってるんでしょうねー。…………
ヴィーネ,…………
サターニャ,…………
ヴィーネ,半裸のガヴね
ラフィエル,これ海の時のでしょうか
ヴィーネ,友達が友達の裸を待受にしてるってちょっとキツイんだけど
ラフィエル,サターニャさん、児ポ法で捕まりますよ？
サターニャ,
ラフィエル,これガヴちゃんにバレたら引かれますよね
ヴィーネ,確実に距離置かれるわね
サターニャ,私が言えたことじゃないけど、あんたらも見られたら普通に引かれると思うわ
ヴィーネの携帯,
ヴィーネ,あれ？ガヴからメールだ
ラフィエル,！
サターニャ,！
ヴィーネ,かわいい
サターニャ,……
ラフィエル,……
ヴィーネ,暇な時一番に連絡する相手は私のようね。おうちデートね。かわいい
サターニャの携帯,
サターニャ,！
ヴィーネ,！
ラフィエル,！
サターニャ,素直に遊びたいって言えないかわいい
ラフィエル,それサターニャさんも人の事言えないですけどね
サターニャ,ぶっきらぼうかわいい
ラフィエルの携帯,
ラフィエル,！
サターニャ,！
ヴィーネ,！
ラフィエル,
ヴィーネ,……んぶふふっ
ラフィエル,……
ラフィエルの携帯,
ラフィエル,！
ヴィーネ,！
サターニャ,！
ラフィエル,すでに二人に断られてて弱気になってるかわいい。あとらふぃーって呼び方めっちゃかわいい
ヴィーネ,なんでガヴリールはラフィに対してはちょっと素直になるのよ
ラフィエル,信頼の差でしょうか～
サターニャ,あんたを信頼するなんて一番ありえないわ
ラフィエル,駄々こねてるかわいい
サターニャ,待ちなさいよ！なんでガヴリールはあんたにこんなに甘えるのよ！
ラフィエル,信頼の差でしょうか～
ヴィーネ,ずるい！！
ラフィエル,拗ねちゃいましたね
サターニャ,かわいい
ヴィーネ,かわいい
サターニャ,全員に断られた拗ねリールは今なにをしているのかしらね
ラフィエル,ふてくされてゲームでもやっているんじゃないですかね
ヴィーネ,あとはふて寝とか
ラフィエル,ちょっと千里眼で覗いてみましょうか♪。！？ガヴちゃんが泣いてます！！！
サターニャ,え！？
ヴィーネ,ガヴが！？
サターニャ,わたしガヴリールの家に行ってくるわ！！
ヴィーネ,ちょちょちょっと落ち着きなさいよ！そんな血走った目で家に行ったら恐ろしいわよ！
サターニャ,ガヴリールが泣いてるのよ！？！？！？
ヴィーネ,角と羽根出てるから！今のあんたが行ったら余計泣くわ！！。ラフィエルもサターニャを止めなさいよ―――
ラフィエル,
ヴィーネ,あれいない
ラフィエル,
ガヴリール,ぐすぐす……。うひゃあああああああ！？！？
ラフィエル,。
ヴィーネ,どこいってたのよラフィ
ラフィエル,ちょっと天使の祝福を
ヴィーネ,意味わかんないわよ
サターニャ,ごめんヴィネット、一発殴られたおかげで落ち着いた
ヴィーネ,それはよかったわ
ラフィエル,私がいない間に何が……
ラフィエルの携帯,
ラフィエル,おや……あっ、ガヴちゃんから電話ですね。ちょっとすいません。どうしたんですか？ガヴちゃん。えっ。ガヴちゃんそれはお化けではありません。可憐な天使の抱擁です。抱きしめられた時安心したでしょう？。て、てんしのちからでおはらいしておくのであんしんしてください。もう出ませんから、ダイジョウブです……ゴメンナサイ
ヴィーネ,そういえば、最近こんな事があったんだけど
サターニャ,うん
ラフィエル,はい
サターニャ,ほんとアホリールね
ラフィエル,ガヴちゃんの羽とっても綺麗なんですけどねー
ヴィーネ,そうそう掃除したらすっごく綺麗な羽になったの。悪魔の私でも惚れ惚れしちゃうぐらい。でね、その後。完全に理性吹っ飛んでたわ
サターニャ,あんた結構自分の欲望に正直なところあるわよね
ラフィエル,私たちの羽は敏感ですから……ガヴちゃんの可愛い反応見たいですね
ヴィーネ,ちなみに触り心地は極上だったわ。なんとか頼み込んでガヴに羽を出したまま一緒に寝てもらったんだけど
ラフィエル,ガヴちゃんよく許してくれましたね
ヴィーネ,あまりの寝心地の良さに熟睡しちゃってガヴの方が先に起きてたわ
サターニャ,私もエンジェルモードのガヴリールと一緒に寝たい
ヴィーネ,次はやってくれなさそうね……
ラフィエル,あ、じゃあ私がガヴちゃんの代わりをするのはどうでしょう？
ヴィーネ,えぇ……？ラフィが……
サターニャ,なんか寝てる間に呪われそうだわ……
ラフィエル,お二人の反応にわたし超不服です
サターニャ,わたし妹が欲しい
ヴィーネ,なによ唐突に
ラフィエル,弟さんではダメなんですか
サターニャ,ていうかガヴリールを妹にしたい
ヴィーネ,…………
ラフィエル,…………
サターニャ,なによその顔
ヴィーネ,サターニャってあれよね。ガヴのことめちゃくちゃ大好きよね
サターニャ,そんなことないわ普通よ
ラフィエル,妹にしたい発言が普通ってサターニャさんの基準やばくないですか
ヴィーネ,普段ガヴリールの前では素直になれないからここでデレデレ部分が溢れ出ちゃってるのね
サターニャ,この前ガヴリールがうちに来たのよ
ヴィーネ,えっ、珍しいわね
サターニャ,傘を忘れたガヴリールを雨宿りさせてたの
ラフィエル,なるほどなるほど？
サターニャ,え、あ、え、ん？あ、そ、そうなの、感謝しなしゃいよ？。そのケーキよく見たらブランデーケーキだったわ
ヴィーネ,酔いリールになっちゃったのね……
ラフィエル,酔ったガヴちゃんも可愛いですよね～
サターニャ,その後酔いが覚めても記憶は残ってたみたいで、しばらくの間ずっと睨みながら舌打ちされた
ヴィーネ,ガヴにとっては相当不本意だったでしょうね
サターニャ,その生意気さがまた私の姉心をくすぐるのよ！
ヴィーネ,わからなくもないけどね
ラフィエル,でも素直なガヴちゃんもとっても可愛いですよ？
サターニャ,素直なガヴリールを見る機会がそもそもほぼ無いじゃない
ラフィエル,そうですねー、天使学校時代のガヴちゃんはそれはそれは天使でしたよ。ああああどんなガヴちゃんも素敵ですっ。姉になって愛で穢したい！！
サターニャ,うっわ……
ヴィーネ,ラフィってほんとに堕天してないわよね……？。うーん私はやっぱり妹じゃない方がいいかな
ラフィエル,？ガヴお姉ちゃんの方がいいってことですか
ヴィーネ,ん～～そうじゃなくて
サターニャ,なによ？歯切れ悪いわね
ヴィーネ,その……あの……。姉妹だと……け、結婚できないから
ラフィエル,……
サターニャ,……
ヴィーネ,ちょっとそんな目で見ないでよ！！
サターニャ,ヴィネット、あんたガチね
ヴィーネ,ごめんサターニャに言われたくない
ラフィエル,ヴィーネさん、そもそも女同士では結婚できませんよ？
ヴィーネ,ほっ、法律が変わるかもしれないじゃない！！
サターニャ,悪魔と天使の時点でダメじゃないの？
ヴィーネ,じゃあガヴを堕とすか私が天使になるわ！！！！
ラフィエル,そんなこと考える時点で天使にはなれそうにないですね～
ヴィーネ,そろそろ出ましょうか
サターニャ,そうね、私もストレス発散できたわ
ラフィエル,やっぱりガヴちゃんが大好きって言えなくて溜まってたんですね
サターニャ,は？そんんあわけないでしょ？
ヴィーネ,噛んでるわよ
ラフィエル,じゃあガヴちゃんにこれから向かうって連絡しますねー
サターニャ,ええ、今頃寂しい思いしてるでしょうしね
ヴィーネ,あ、スーパー寄っていい？美味しいご飯作ってあげなきゃ
ガヴリール,はいはいどちらさま……。なんだ本当に来たのかお前ら。なんでいつも私の家に集まるんだよ、うっとおしいな……。いまネトゲしてるんだから邪魔すんなよ？。まあそこに3人もいると目立つし？とりあえず早く入れよ、ほら。私お腹すいたから早く晩ご飯作れよな
サターニャ,かわいい
ガヴリール,は？
