蘭子はオフの時は普通に喋,ろうと努力して
飛鳥,はぁっ、はぁっ…2人がかりでくすぐるなんてひどいじゃないか…もう。…ふう。仕方ないから約束通り話すよ。もともと2人には言わなきゃと思ってたしね
蘭子乃々,？
飛鳥,実は一ヵ月くらい前に―――。―――ということがあったんだ
蘭子乃々,
飛鳥,……黙ってて、ごめんね？
蘭子乃々,かわいい…
蘭子,…じゃなくて！え！？飛鳥ちゃんプロデューサーさんに告ｈモガッ、モゴモゴ…
乃々,蘭子さん声がおっきいです、隣の部屋の人達に聞こえてしまいます…
蘭子,んーっ！んーっ！わかったから乃々ちゃん手を離して…苦しい…
飛鳥,あー…うん、そうだね。それよりも前は単純に忙しいだけだったとして、だ。ボクが原因の一端を担ってる可能性は高いかな
乃々,そうかもしれません…けど、それよりも…
蘭子,…やっぱり気になるよね、乃々ちゃん？
乃々,はい…えっと、飛鳥さん
飛鳥,なんだい？
蘭子,告白した後、プロデューサーさんからは何て？
乃々,もりくぼも聞きたいです…
飛鳥,そんなキラキラした目で見つめないでほしいな…その後すぐにちひろさんが来てしまったから…。…そうだね、結局返事はもらえてないことになるかな…
蘭子,そっかぁ…うーん、残念…
乃々,……結局それからは何もなかったんですか？
飛鳥,それから―――。
蘭子,…何かあったね
乃々,ありましたね…
飛鳥,い、いや…待ってくれないか。流石にこれはちょっと…
蘭子,……
乃々,……
飛鳥,くっ……ま、待った！言う！言うから！
蘭子,私達の間で隠し事は無しだよ？
乃々,…隠し事ができないの飛鳥さんだけの気がするんですけど…
飛鳥,…じ、実はね…その、別れ際に…ぷ、ぷぷぷプロデューサーにね…その…。……キス、してきた…
蘭子,
乃々,
蘭子,ちょっ、羽鳥よ！それは真なるや！？飛鳥ちゃんたら大胆…！してその印は何処や！？ほっぺ？そ、それとも…はわわわ…！
乃々,ら、蘭子さん落ち着いて…なんだか言葉がよくわからない状態になってます…！。でももりくぼも、そんな、あうぅ…なんだか自分のことみたいに恥ずかしいです…はわわわ…
飛鳥,……なんとなくこうなるような気はしたんだ…なんとなくね…
蘭子,え、えっと、あ、そうだ！それでその後は！？
飛鳥,そこからは本当に何もなかったよ。プロデューサーがどんな顔してたのかも覚えてないな
乃々,えっと…飛鳥さん…
飛鳥,ん？
乃々,…お、おめでとうございます…？
飛鳥,…いや、それは気が早すぎるかな…さっきも言った通り返事はまだなわけだし…
蘭子,でもそれがきっかけで避けられてるってことは…プロデューサーも意識してるってんじゃないかな！？
飛鳥,いやまあ可能性はあるかもだけど…ヘンなことを聞くようだけどさ。2人とも怒ったりはしないのかい？
蘭子,…え？怒る？
乃々,…すみません、飛鳥さんがどう考えてそういう発想になったのかわからないんですけど…
飛鳥,いや…2人はプロデューサーのこと…その、好きじゃないのかなと…ね？。それで抜け駆けみたいなことして怒ってないのかな、って…
蘭子,…だって、乃々ちゃん
乃々,なんで私に先に言わせるんですか…いいですけど…。えっと、その、まずもりくぼはプロデューサーのことはその、れ、恋愛対象として見ていないというかですね、その…。…お、お父さん…？に近いでしょうか…無理矢理なところもありますけど気を遣ってくれたりしてくれますし…
蘭子,我にとっては友…否、血の盟約に縛られぬ兄者と言ったところか…ククク…私にとっては…血は繋がってないけどお兄ちゃん、みたいな感じかな？。甘美なる時を過ごすことはあれど…来たる契約の儀には招くべき縁と見る！甘えたりすることはあるけど…いつか結婚するときには招待したい人の方かなあ、って…
飛鳥,えっと…つまり…
乃々,…飛鳥さんのライバルになることはおそらくないので…
蘭子,抜け駆けーとか、裏切ったーとか…考えなくていいかな、って
飛鳥,そっか…はは、なんだ…1人で勝手に悪い方に考えて…馬鹿みたいだ…。ごめんね2人とも…そして…ありがとう…
蘭子,
乃々,
蘭子,飛鳥ちゃんかわいーいー！！
飛鳥,わ、ちょっと蘭子！？どうしたんだい急に抱き着いてきて…
乃々,…も、もりくぼも蘭子さんに続きます…えいっ
飛鳥,乃々まで…！ちょっと2人とも恥ずかしいって…！
ちひろ,すみませーん、なにやらこの部屋が騒がしいと両隣から苦情が…
蘭子,
乃々,
飛鳥,
ちひろ,。…えっと、お邪魔しちゃったかしら…？
飛鳥,待ってくれないかな、ちひろさん。きっと貴女は今誤解してるとボクは思うんだ
ちひろ,だ、大丈夫ですよ。他のみんなには内緒にしておきますから…
飛鳥,いや、だからさ
ちひろ,一応周りの人達に迷惑にならないよう、あまり騒がないようにお願いしますねー…それじゃ
飛鳥,
蘭子,…どうする？
乃々,どうするって…ちょっと騒ぎすぎたのは事実ですし…
飛鳥,…そうだね
蘭子,…ごめんね飛鳥ちゃん？
飛鳥,いや、2人のせいじゃないさ…ボクもキミ達の立場だったら同じことをしていたかもしれないし
乃々,あ、それはないですね
蘭子,私もそう思う
飛鳥,えっ
蘭子,さて、気を取り直して飛鳥ちゃんとプロデューサーさんをくっつけちゃおう作戦の会議を始めようと思いまーす！
乃々,わー…
飛鳥,いや、ちょっ…なんなんだいその作戦は！？
乃々,何と言われても…名前の通りなんですけど…
蘭子,飛鳥ちゃん…プロデューサーさんからお返事、聞きたくない？
飛鳥,うっ…そ、それは…
乃々,…聞きたくないというなら私達も無理強いはしませんけど…
蘭子,このままずっと先延ばしにしてても…プロデューサーさんにとっても飛鳥ちゃんにとっても、良くないんじゃないかなあ…って
飛鳥,…そう、だね。あのまま有耶無耶にするなんて…そんなのダメだって言ったんだ。ボクが逃げるわけにはいかないね
乃々,それじゃあ…と言っても考えるほどの案が必要とも思えないですけど…
飛鳥,ん、それはどういうことだい？
乃々,その…すでに飛鳥さんからプロデューサーへの告白は終わっているので…。はい…なので何とかしてプロデューサーと飛鳥さんの休みを合わせてデートに連れ出すのがまず有力かと…
飛鳥,でっ…！？いや…そうだね。まずはそこからだ
蘭子,我が友に安息の時をもたらす…羽鳥とともに…如何なる儀を以って為す？プロデューサーさんにお休み…飛鳥ちゃんと一緒に…どうやって？
乃々,…私に考えがあります
飛鳥,…考え？
乃々,プロデューサーさんが仕事を理由に私達を避けているなら…
ちひろ,…というわけで、プロデューサーさんには急遽お休みを取っていただくことになりました
モバP,…いや、というわけで、と言われても。どういうことですか？
ちひろ,プロデューサーさんは私が注意したことを守ってくれなかったんですね…その結果とでも言いましょうか
モバP,ちひろさんから注意されたこと…？給料の使い道くらいしか注意されてないような？
ちひろ,…担当アイドルのことを見てあげること
モバP,…あっ
ちひろ,大変だったんですからね？あの3人が最近プロデューサーが事務を理由に一緒に行動することがない。それも一カ月以上もだ、彼はいつ休みを取っているのか…って社長に
モバP,あいつら…
ちひろ,流石に年貢の納め時なんじゃないですか？おかげさまで事務も滞りないですしなにより実働時間が長すぎましたねえ
モバP,そんなにですか？
ちひろ,はっきり言うと貴方がこのペースで働き続ければ人件費の削減のために私が退職させられかねない程度には
モバP,
ちひろ,社長もそこまで見てないわけではないようで…諦めてお休み、取ってくださいね♪
モバP,はあ…わかりました…。……で、だ。何で飛鳥がここにいるんだ？
飛鳥,…や、やあ。ど、どうしたんだいプロデューサー。今日は休みだって聞いたけど？
モバP,お前もな…ちひろさんから聞いたよ。社長に直訴したんだって？
飛鳥,うん…
モバP,まさかそこまでするとはなあ…心配かけたみたいだな、すまん
飛鳥,…謝るなら蘭子や乃々にも、ね？
モバP,ああ、わかってるよ。それじゃ今日は――
飛鳥,ま、待って！
モバP,ん？
飛鳥,実は今日ボクも休みなんだ。偶然だね
モバP,ああ、知ってる
飛鳥,だからさ、その…よかったら買い物とか、付き合ってくれないかな、って…
モバP,いいぞ
飛鳥,…え？
モバP,心配かけたお詫びに、ってわけでもないけどな。それぐらいなら全然構わないよ
飛鳥,…本当に？
モバP,ああ
飛鳥,…よしっ！
モバP,それで蘭子と乃々は？あの2人も一緒だろ？
飛鳥,フフ、何を言ってるんだキミは。今日はキミとボクだけだよ。ほら、行こう！
モバP,は！？ちょっ、待っ、引っ張るな飛鳥！
飛鳥,さて、まずは何処に行こうか…
モバP,……
飛鳥,……そういえばいつだったか雑誌でモデルをやったブランドの新作、買おうと思っていたんだ
モバP,…ああ、あの時のか
飛鳥,うん。だからまずは服を見に行こうかなと思うんだけど、どうかな？
モバP,それはいいんだが…なんで俺の腕に抱き付くように腕組んでるんだ？
飛鳥,こういうのは嫌かい？それならやめるけど
モバP,大好きです是非続けてください
飛鳥,じゃあ問題ないね。さ、行こうか
モバP,しまったつい反射的に…っておい飛鳥！だから引っ張るなって…！
飛鳥,うーん…これはどうかな？
モバP,派手すぎるんじゃないか？もうちょっと落ち着いた感じの方が
飛鳥,じゃあこれは？
モバP,両極端だな…今度は地味すぎるぞ
飛鳥,…それじゃあ…
モバP,…お、これなんかどうだ？
飛鳥,…ちょっと露出が多くないかな？
モバP,じゃあこれ
飛鳥,そうだな…うん、これならいいかもね。ちょっと試着してくるよ
モバP,おう。着替え終わったら言ってくれ
飛鳥,よいしょ、っと…
モバP,…まあ扉一枚挟んだ先で飛鳥が着替えてるってシチュを前に余所見するわけないんだけどな
飛鳥,サイズは…あってるね。ウエストも…うん、よし
モバP,衣擦れの音とかスカートのジッパーの音とかマジでたまらんよな。なんで女の子の着替えってこんなに妄想膨らませる要素詰まってるんだ
飛鳥,…でもこれ…下着の紐見えそう…かな
モバP,！
飛鳥,冗談だよ。やっぱりそこにいたんだね。プロデューサーの変態
モバP,しまっ…！
飛鳥,どうかな？下着は見えないけど春の風は感じられそうな気分だよ
モバP,おお…良く似合ってるぞ。流石飛鳥だな
飛鳥,フフ、選んだのはキミなんだけどね。さて、それじゃ会計を…
モバP,すみませーん、これ着たまま会計って…あ、できる？それじゃこれでお願いします
飛鳥,えっ…ちょ、ちょっと！何をしてるんだキミは！
モバP,なんだ？別にこれくらい俺が出すぞ。いい目の保養になったしな
飛鳥,…え、えっと…ありがとう？
モバP,この場合こちらこそって返すのかどういたしましてと返すのかどっちがいいんだろうな
飛鳥,キミは本当に最後の最後で台無しにするよね。さて、次は…おっと
モバP,…そういえば昼飯まだだったな。もうすぐ夕方だってのに
飛鳥,服選びに時間をかけすぎたかな。どこかファミレスにでも寄ろうか
モバP,んー…そうすると着替えて出てきたのはまずかったかな
飛鳥,…それはあれかな？言外にボクが買ったばかりの服を食事で汚すんじゃないかと言いたいのかい？
モバP,い、いや、そういうわけじゃないが事故は起こるものだろう？
飛鳥,まったく…キミに買ってもらったものをそう簡単に汚したりするわけがないじゃないか
モバP,お、たしかあの店って美味いって評判だったな。よし、行くぞ飛鳥！
飛鳥,わっ、ちょっと…急に腕を…！キミも人のこと言えないじゃないか！
モバP,…うん、評判通りの味だな。今度765プロさんにお礼を…飛鳥？
飛鳥,なんだい？
モバP,…エビフライにソースかけないのか？
飛鳥,必要ないね、そんなものは。料理そのものの味を楽しむのが大事だとボクは思うよ
モバP,…まさかとは思うがサラダも？
飛鳥,当たり前じゃないか。ボクはドレッシングはかけない方が好みだよ
モバP,…いや、飛鳥がそれでいいならいいんだが…
飛鳥,む…信じてないね。じゃあこうしよう。キミのチキンとボクのエビフライ、一口ずつ交換だ。実際に試してみるといい
モバP,…よし、いいだろう。ほれ、あーん
飛鳥,えっ
モバP,どうした？一口ずつの交換ならこの方が早いだろ？
飛鳥,いやでも…
モバP,あーん
飛鳥,……
モバP,あーん
飛鳥,…あー、むっ
モバP,どうだ？
飛鳥,…美味しいよ
モバP,だろ？ソースは余計なものって考え方は分からんでもないがあるのもまた…
飛鳥,…それじゃお返しだね。ほら、あーん
モバP,えっ
飛鳥,どうしたんだい？まさかボクにやらせておきながら自分はやらないなんて言わないよね？
モバP,いやでも
飛鳥,この方が早いんだろう？さ、早く
モバP,……あの
飛鳥,…ボクも恥ずかしいんだから早くしてほしいな
モバP,いや、フォーク…
飛鳥,自分でやるときに気付いてればボクも考えたけどね
モバP,…あーん
飛鳥,素直でよろしい
モバP,むっ…
飛鳥,…どうかな？
モバP,…すまん、味どころじゃない
飛鳥,やれやれだ…仕方ないね。まったく…。それからはまた2人であちこちの店を見て回った。洋服、小物、本、アクセサリー…どれも取るに足らないものだったけどそれでも。2人で過ごすだけでこんなにも世界が色づいて見えるなんて。きっとキミと出会っていなければボクはずっと知らないままだっただろうね。尤も今回お膳立てをしてくれたのは蘭子と乃々だ。だからこれはあの2人がかけてくれた魔法と言ってもいい。…けれども時間は無限じゃない。陽が沈み月が昇る。そうして一日が終わるように、魔法の時間もやがて終わりがくる。だから、その前に―――。今日は楽しかったよ、プロデューサー。こんな風に一日を過ごすのも悪くない…そう思えるほどにね
モバP,そうか。俺としても楽しんでもらえたならなによりだな
飛鳥,もしまたこうして休みがとれたら…そのときは次を期待してもいいかな？
モバP,ははっ、そうだな。これからまた忙しくなるだろうし、そんな日が来るといいんだがな。さて、そろそろいい時間だ。そろそろ帰るとするか、飛鳥？
飛鳥,そうだね。でもその前に一ついいかな？
モバP,…なんだ？
飛鳥,―――あのときのこと、覚えてるよね？
モバP,…まいったな。全然触れてこないから忘れたものかと思ってたが
飛鳥,…忘れるはずがないじゃないか。あの日から今日までボクはずっとキミを待っていたんだから
モバP,……
飛鳥,キミが真面目に考えてくれているのは分かってたよ。アイドルとして、プロデューサーとして、ボク達がどういう立場に置かれているのかも…まあ理解しているつもりさ。それでも、だ。ごめんね、ボクはもうこれ以上待てないみたいだ。答えを急ぐような奴はキライかな？
モバP,…いや。俺の方こそ十分すぎるほど待たせちまったしな。嫌うわけがないさ
飛鳥,…聞かせて、くれるかな。キミの言葉を
モバP,ああ…飛鳥、俺は―――。ん…なんだか周りが騒がしく…！？。…残念ながら今日は時間切れ、みたいだな。行くぞ飛鳥！
飛鳥,えっ、あ、うん！
モバP,すみませーん！道空けてくださーい！急ぎますので！すみませーん！
飛鳥,こうして2人だけの休日は終わった。残念ながらキミの言葉を受け取るには魔法の時間は少し足りなかったみたいだ。じゃあいつ訪れるともしれない次まで待ち続けるのかって？。ボクはそんな必要はないと思うな。だって―――。ボクの右手を引いて導くキミの左手。繋いだ手の温もりからキミの想いを感じるから―――
