白菊ほたる,明日は新曲のお披露目ライブ……
朋,真上からのスポットはダメだけど、席の後ろの方からの光はいけそうじゃない？ちょっと照らしてもらっていいですかー？
智絵里,わぁ……
朋,ようやくあたしたちの顔が見えたわね！せっかくアイドルが会場で喋ってるのに顔が見えないなんて勿体無いもの！
ほたる,あ、あの……
朋,あ、ほたるちゃん！顔と衣装が汚れちゃってるじゃない！ほらほら！繋いでおくからお色直ししてきて！
ほたる,は、はい……！
智絵里,ーーで、その時、ほたるちゃんの先輩が面白くって……
朋,まったく……あんまり迷惑をかけちゃダメよ？
智絵里,これで宣伝になるのでチャラですっ
朋,もう……って、あ！ほたるちゃんの準備が出来たみたい！
ほたる,お、お待たせいたしました……
智絵里,綺麗な衣装に着替えて新曲が歌えるなんて、ラッキーだねっ
朋,こんなすごい状況で歌ったら明日の１面は決まりよ！ラッキーね！あ、みんなは撮っちゃダメよ！
ほたる,す、すみませ……いえ、ありがとうございました……！
朋,うん！いい表情！頑張ってね〜
智絵里,打ち上げのお店、予約しておくねっ
朋,気が早いから
ほたる,ふぅ……。改めて、お待たせいたしました。ステージ上は……こんな感じですが、皆さんに被害がなくて何よりです……。それでは、聴いてください。……
朋,お疲れ様〜！
智絵里,お疲れ様ですっ。何も起きなくてよかったですっ
朋,流石に”何もなかった”は無理があると思うけど……ま、終わったんだからいっか！
ほたる,ありがとうございました……
朋,いいのいいの！それにしてもあたしの対応、よかったでしょ！トラブルにも慣れたものね！
ほたる,私のせいで……
朋,ほたるちゃんの”おかげ”ね！
ほたる,！
智絵里,それにしても、喉が乾きましたね……
朋,あ、もうお茶がないわね……！
ほたる,か、買ってきます！
朋,いいわよいいわよ！あたしが……
ほたる,い、いいえ！これくらいは！
朋,って、あ、行っちゃった……
智絵里,速報LackLuck藤居(19)、年下をパシリに！？
朋,ゴシップを書かない
ほたる,えっと……冷たいお茶を……。あ……。……あったかい……うぅ。と、隣のお茶……！。冷たいけどコーラだ……。……。逆にコーラを買えば……！。コーラ……！！！。……
朋,あ！おかえりー！
ほたる,あったかいお茶、コーラA、コーラB……ご自由にお取りください……
朋,自由度低くない！？
ほたる,すみません……
智絵里,あ、あの……！わたし、炭酸苦手なので、お茶をいただきます……！
朋,じゃ、コーラをもらいましょうか？
ほたる,は、はい……
朋,……
ほたる,……
智絵里,……
朋,……ぷっ
智絵里,……ふふっ
ほたる,……くすっ
朋,あはは！笑っちゃうわね！
ほたる,そう……ですねっ
智絵里,タオル、取ってきますねっ
朋,じゃ、帰りましょ！
智絵里,どこかで食べていきますか？
朋,うん、いいんじゃない？ほたるちゃんの新曲発売記念ってことで！
ほたる,あ、ありがとうございます……！
朋,今日はあたしが奢ってあげ……あれ？
子ども,おねーちゃん！
朋,あら、どうしたの？迷子？
子ども,……
朋,え？
子ども,おねーちゃん！
ほたる,わ、私……ですか……？
智絵里,父親は誰なの……？
ほたる,隠し子ではなく……
子ども,さっきはありがとー！
ほたる,さっき……？あ！
智絵里,さっき産んだの……！？
朋,智絵里ちゃん、黙っててもらっていい？
母親,あっ！こんなところに！すみません……
子ども,おかーさん！このおねーちゃん！さっきの！
母親,まぁ……！その節はありがとうございました……！
ほたる,い、いえ……！
朋,迷子だったり？
ほたる,はい。なので交番まで。少し……
朋,偉いじゃない！
母親,あの……もしかして、アイドルの白菊ほたるさん……ですか？
ほたる,はっ、はい！
朋,わ！有名人ね！ほたるちゃん！
ほたる,照れます……
母親,頑張ってください。応援してます……！
ほたる,あっ、ありがとうございます……！
子ども,おねえちゃん、あいどるなの？
ほたる,うん、そうだよ。まだまだだけど……
子ども,そっか！だからかわいいんだね！がんばってね！
ほたる,！
朋,ふふっ
智絵里,うふふ……
ほたる,……うんっ！
母親,では、失礼します……
ほたる,ありがとうございました……！
朋,きゃっ！？
智絵里,か、風が……
子ども,あっ！ぼうしがー！
ほたる,と、取ってきます！
智絵里,えっ？
朋,ほ、ほたるちゃん！そっちは車道……！
ほたる,がふぅ……っ！！！
朋,ほたるちゃん！！！！！！！
