辻野あかり,どうもはじめまして！辻野あかりと言うんご！
あかり,うぅ……。つまり……そういうことだよね……。ど、どうしよう……。私も……あんな風に。ああいう……キモチイイのかな……。あ……。やだ……濡れて来ちゃった……。うぅ……ちょっと我慢できないかも。今の時間なら誰もいないはず……。机の下もいないよね……。よ、よし……。うぅ……。一人じゃうまくできないなぁ……。うぅ……あ……。何コレ……手を縛っただけなのに。お腹の中からキュンキュンって。ん……。あ……んっ……。はっ、はっ……あーっ。これ……キモチイイ……。んッ……んんっ……ふぅーっ！。あー……はっはっ、これ……イイ。んっ……んんあっ……ダメぇ……。い、イっちゃう……あァあー――っ！！。はーっはっ、ぁぁぁぁぁ……
P,ただいまー
あかり,あ……
P,え……
あかり,あ……ああぁぁぁぁぁ。あ……見られた見られた見られた見られた見られた見られた
P,えっと……。帰って来たら、新人アイドルが俺の机を使って角オナニーをしていた。しかも、よりによって腕を縛っていて、さらに果てた直後に帰ってきちまったよ……。さてどうする。A.やさしく声をかけて今日は帰らせる。B.本能の赴くままにここで無茶苦茶にする。C.完全にスルーして見なかったことにする。さて……どうするか。えっと……何……してた……？
あかり,あ……あの……その……
P,……。追い詰めてどうするよ！
あかり,あの……あのですね……その……んご
P,落ち着いて、ほらヒッヒッフーだよ
あかり,は、はい……。ヒッ、ヒッ、フー――
P,……。落ち着いてないのは俺だー！！。まずは素数を数えるんだ！……素数って110だっけ？
あかり,あの……
P,違ー――う！そんなことしたら俺が捕まるっての！
あかり,ぷ、プロデューサーさ……ん
P,お、おう。何でございますか？
あかり,この……縄で。私を……。縛って……ください。はふぅ……はぁ……。あ……ぁぁぁぁ……。気持ち……イイ
P,じゃあ……椅子にかけて
あかり,こうですか……
P,そうそう……で
あかり,動けない……キツい……。でも……身体が熱い……止まらない……。あぁ……ぷ、プロデューサーさぁん……
P,もうこんなに……
あかり,み、見ないで……ください
P,なら……
あかり,や……やだぁ、っひぁぁ！！あぁ……奥まで……。んうっ！？あ……あひぃ、あ、あぁ……。指が……私の膣内を……。自分の指だとあんなに奥までは……。んっふ……んムぅ……んんっ、んー――！！。縄で……身体が……。や……指が当たって……そこ……イイ。あ゛あ゛っ！！
P,イッたみたいだね……
あかり,はっ、はっ、はっ……
P,もう……下着はいらないかな？
あかり,あ……。あ……下着が……濡れてスースーするよぉ
P,あぁ、すごい。…洪水だね
あかり,み……見ないで……
P,じゃあ……嘗めるよ
あかり,えっ……。あひぃっ！？……や…こそぐった……
P,こらこら、足を閉じようとしないの
あかり,だって……私……怖くて…クリトリスなんか触られたことないし……
P,大丈夫、俺にまかせて
あかり,はひぃ！ひッ……はぁはぁ……や…やらぁ……プロデューサーさぁん……だめ…だめぇぇぇぇ
P,気持ちいいのかな？
あかり,う……うん……あ、はい。やだ……つい口に……。あ゛ッ！やだっ！だめぇ……はぁぁッ？！。ふぁ……あ゛～～～～～～ッ！
P,じゃあ、ついでにおっぱいも見せてね
あかり,はぁはぁ……やあぁ
P,可愛いブラジャーだね
あかり,あ、ありがとうございます……。ひゃあっ！
P,可愛い乳首だね。それに綺麗な形のおっぱいだよ
あかり,あ……はぁ…はっ、んンっ！。おっぱい……自分で触ったときはあんまり気持ちよくないのに……。ふあっ……あぁっ…はぁはぁ。プロデューサーさんが触るだけで……頭がふわふわして気持ちいいよぉ……。んんんんっー――！！。な、何……プロデューサーさんが乳首を軽く噛んだだけなのに……こんなに
P,乳首……気持ちいいんだね
あかり,もっと……もっとして…くださぁぃ。はぁはぁ……もっと…………もっとしてぇ
P,わかった……じゃあ
あかり,あ……。そ、その前に……その……あの……
P,ん？……あぁ。目を閉じて
あかり,はい……。……っ。プロデューサーさんと……キス……しちゃった。そっか……私は……。初めて会った日から……こうして欲しかったんだ。だから、みんなの胸が羨ましかったの……
P,じゃ……いくよ。痛かったら、絶対我慢しちゃダメだからな
あかり,…はい。あれが……私の膣内に。うん……。もっと……いろいろして。私……今からプロデューサーさんと。せっくす……するんだ。先が……。あ……っ。にゅるっしたのが来た……。来たァ～～～。挿っちゃう……おちんちんが私の膣内へ挿ってきちゃう……っ！！
P,もう少しで……
あかり,はっ……あっ……。な、何かぷちぷちって広げられて……。ふっ、あ……ッ！！。や……やぁ……。お、奥まで……来ちゃったぁ！！
P,は、入ったね……大丈夫かな？
あかり,う、うん。だから……お願い…動いて……。あっ、はあっ！。ゆ、ゆっくりだけど……動いてる…私の膣内でプロデューサーさんのが動いてるって……わかるよぉ。んぐッ……んんっ……あー――はぁっ。痛くは……ないみたいだけど……キツくて…。ンっ！……っ！！んぅ……んクゥう！。やだ……膣内が……きょ、拒絶してる？！。っ、ふ……はっ……あはッ。急に……私の膣内が…ギチギチになっちゃって……おちんちんの感覚が凄くテ……形がはっきりわかっちゃう……。あぅうっ！ひゃあっ！あっ、あああっ――！。それニ…想像したより……熱くてすっごく硬い……。おかしくなっちゃうよぉ！！。あっ……んあっ！いいっ……いいデス！……すごっ……イイっ！。身体がおかしくなっちゃいそうで恐いのに……頭がふわふわトロトロして気持ちよくて……。これがカ･イ･カ･ンなのぉ……？。ひゃあッ！ああっ……はー――はーっ。っ……ワタシ…もぉ……ダメぇ……
P,俺も……でちゃう……
あかり,そんなにィ…ちから……はいらなぃよぉ！
P,イクぞ……中でいいか？
あかり,プロデューサーさんも……イッチャう……。中……出る……え？。え！……や、やだぁ……赤ちゃんできちゃう！！
P,ごめ……っ！
あかり,あっ……あ゛っあ…あ゛～～～！。あ……駄目だって……言ったのに……
P,ごめん……
あかり,……。なら
P,うおっ……しぼられ……
あかり,もっと……。シテ……
P,ただいまー
あかり,お帰りなさーい
P,あー、こらこら。安定期とはいえ、お腹の子がびっくりしちゃうだろ。三人目で勝手はわかるんだろうけど……さ
あかり,ふふっ、ごめんなさい
P,……で、今日はいいかな？
あかり,もちろんですっ！。妊婦さんと緊縛プレイを御所望だなんて、ヘンタイさんなんだからなぁ
P,何おぅ、あの時に響子に教えてもらったヤツが何を言うかな？
あかり,えへへへ……
P,ふふふっ
あかり,じゃあ、旦那様
P,よしっ
あかり,あ……。やっぱり、旦那様が縛ってくれるのが一番みたい……。もっと……キツク……
P,もう縄酔いか……本当に初めてした時、処女だったのか？
あかり,もう……血が出なかったからって……あアッ！！
P,縛って……犯されたかったってのもなぁ
あかり,はぁはぁ……うん。それは本当だから……
P,まったくこの淫乱人妻め
あかり,えへへっ。こんな夫婦性活ですが、私は幸せです……んご！
はい、,個人的に
