コンコン、と楽屋のドアを叩くと,はーい、どうぞー！
卯月,うん！・・・いただきます！。ｱﾑｯ・・・ん！美味しい！！
春香,ホント？
卯月,うん！甘さもちょうど良くてとっても美味しいよ！。それに、栗がとってもいいアクセント！
春香,えへへ・・・ありがとう！
卯月,そして雪歩ちゃんのほうじ茶・・・。・・・ふぁあ、癒されるぅ
春香,ｽﾞｽﾞｯ・・・だよねー・・・
卯月,これ、確かに未央ちゃんが言ってた通りだよ。なにこれすごい・・・
春香,でしょー、なんでこんなにほっこりさせてくれるんだろう・・・。でもさ、お茶はお茶でも、卯月ちゃんの事務所に紅茶が好きな娘いたよね？
卯月,雪乃さんと桃華ちゃんだね！時々淹れてくれるけどとっても美味しいよ！
春香,そうなんだー！飲んでみたいな！。そうそう！この前凛ちゃんとお仕事したよ！
卯月,そうなんだ！
春香,一緒にお仕事は何度かあったけど、今回楽屋も初めて一緒になったんだ！
卯月,そうだったんだ！それで、凛ちゃんどうだった？
春香,かなりクールなイメージあるけどさ、すっごく可愛かった！
卯月,でしょー！
春香,最初ませてるなあって思ってたけど、時々すごく子供っぽいって言うか中学生らしい表情するのがもうね・・・
卯月,それとか、時々顔を赤らめたりする時とかがさ・・・
春香卯月,可愛いよねー！！
春香,あと、奏さんとも一緒にお仕事がこの前あったなー
卯月,へえ～、ちょっと珍しい組み合わせかも！
春香,そう？でも、テレビのお仕事で奏さんの横に座ってたんだけど、奏さん色気っていうかオトナな感じがプンプンでさ～。あんなオトナっぽい人になりたいな～って思ったなー！
卯月,そうだよね～、ほんと同い年には見えないよねー
春香,えっ、同い年？
卯月,うん、そうだよ？
春香,17歳？
卯月,17歳
春香,成人してると思ってた・・・。そういえば、今度千早ちゃんが凛ちゃんとお仕事があるって言ってたな～
卯月,そうだ！この前千早ちゃんとお仕事したよ！
春香,確かに言ってた！きびきびしてて明るくて、可愛かったって言ってたよ！
卯月,ホント？何だかちょっと恥ずかしいな・・・えへへ。それで歌のことで相談したらすっごく親身に答えてくれたよ！
春香,親身に？
卯月,うん！春香ちゃん、どうして？
春香,いや、千早ちゃんとボイスレッスンすると、千早ちゃんいつも鬼軍曹になるからさ・・・
卯月,そうなんだ・・・。千早ちゃん、すっごく優しいんだけど、出来たら名前で呼んでほしいって時々思うなー
春香,それだよ！
卯月,うえぇ！？
春香,あっゴメン、ビックリさせちゃったね・・・。千早ちゃん、未だに何人かのうちのアイドルのこと名字で呼んでるんだよ！
卯月,ええっ、そうなの？みんな仲よさそうなのに？
春香,仲はすっごく良いんだよ？それなのに未だに名字で呼んでるんだよー！。それでこの前、名前で呼んだら？って言ってみたんだ
卯月,そしたら？
春香,今になって急に変えるっていうのも、少し恥ずかしい・・・だって！
卯月,恥じらう千早ちゃんかわいい！
春香,でしょー！。今度、卯月って名前で呼んだら？ってお願いしてみるね！
卯月,うん、お願い！やっぱり名前で呼んでくれた方が嬉しいもん！
春香,あっ、それとも今度私と千早ちゃんと卯月ちゃんの3人でいる時に千早ちゃんにお願いしてみよっか！。・・・千早ちゃんの恥じらう姿、見たくない？
卯月,見たい！そして直に呼ばれたい！・・・春香さん、おぬしも悪ですなぁ
春香,そういう卯月さんこそ・・・
春香卯月,んっふっふ～！！
春香,今度はみんなでお仕事できる機会があったらいいねー！
卯月,春香ちゃんのトコの765プロとウチのCGプロで合同ライブとか！
春香,それいいかも！
卯月,でしょでしょ！
春香,プロデューサーさんにお願いしてみる？
卯月,そうしよっか！
春香,そういえば、私のプロデューサーさんと卯月ちゃんのプロデューサーさんって、確か大学時代の友人だったよね？
卯月,そうそう！相談したら合同ライブのお話もスムーズに進むかも！
春香,うんうん！
卯月,ところで天海さんや
春香,どうしましたか、島村さん
卯月,Pさんとは、最近どうなの？
春香,な、なんのことかなー
卯月,時々メールで聞くけどさ、やっぱり直接お聞きしたいじゃないですか～
春香,どうって言われても・・・相変わらず何も変わりはないけど・・・。そういう卯月ちゃんはどうなの？
卯月,うえぇ！？な、なんのことでしょうかー
春香,やだなぁ、自分のことは話さないなんてちょっと虫がよすぎやしませんか
卯月,私も・・・特に変わりないって言うか、モーションかけられずにいるけど・・・
春香,だよねー
春香卯月,・・・はぁ
卯月,でも、いろんなモーションかけてくる子も沢山いるよね
春香,そうだよね・・・ウチは特に美希が・・・
卯月,ああ、美希ちゃんか～。確か美希ちゃん、Pさんのこと・・・
春香,ハニーって呼んでるね。それに、ギューって抱きついたりして・・・あそこまでオープンにアプローチ出来る美希が羨ましいよ・・・
卯月,春香ちゃんも、ハニーって呼んでみたら？
春香,ええっ！？無理だよぉ！！恥ずかしくて死んじゃうって！。それこそ卯月ちゃん、モバPさんのことハニーって呼べる？
卯月,うえぇ！？私！？。・・・///
春香,かわいい。卯月ちゃんのとこも沢山の娘がアプローチしてるよね？
卯月,そうだね、ウチは所属してる娘が多いから・・・。まゆちゃんは常にモーションかけてるし、それこそ奏ちゃんもプロデューサーさんにキスせがんだりするよ？
春香,き、キス？！
卯月,う、うん・・・それに、留美さんなんて前に婚姻届をプロデューサーさんに渡したとか・・・
春香,？！
卯月,まあ、冗談半分で渡したみたいだけどさー
春香,・・・
卯月,春香ちゃん？
春香,ｺﾝｲﾝﾄﾄﾞｹ・・・ｹｯｺﾝ・・・。・・・///
卯月,かわいい。やっぱり、ちょっとはアピールした方が良いのかなぁ？
春香,うーん、した方がいいのかも。私たちの事務所の人はみんなプロデューサーさんが大好きだもん
卯月,そうだよねー、私たちもそう
春香,うかうかしてたらプロデューサーさんが誰かに・・・
卯月,でも、美希ちゃんとかまゆちゃんみたいなこと、春香ちゃん出来る？
春香,多分・・・無理かなぁ
卯月,だよね・・・
春香卯月,・・・はぁ
春香,でもやっぱり、私たちも頑張ってアピールしないと！。恥ずかしいからって動かなかったら、いつか誰かに取られちゃうよ！
卯月,うん・・・うん！そうだよね！。自分たちから動かないとダメだよね！
春香,よおーし、そうとなったら！
卯月,頑張るぞー！
春香卯月,おーっ！！
春香,それで、どうやってアプローチする？
卯月,そうだね・・・あっ、こんなのどう？
春香,いいかもー！それとさ！
卯月,うん！それとそれと！・・・とかどう？
春香,！ち、ちょっと大胆かもしれないけど・・・それだったら・・・
春香卯月,！！。ど、どうぞー！！
P,春香、そろそろ収録始まるぞー
春香,は、はい！分かりました！こんにちは、モバPさん！
モバP,こんにちは、春香ちゃん！卯月、準備できてるかー？
卯月,だ、大丈夫ですよ！Pさん、こんにちは！
P,こんにちは。今日はよろしくな、卯月ちゃん！
モバP,ｸﾝｸﾝ・・・おっこの匂い
卯月,実は春香ちゃんがぜんざい作って来たんです！
P,本当か春香！俺、ぜんざい大好きなんだよ！
春香,それだったらプロデューサーさん、私たちの収録中に食べててください！。モバPさんもどうぞ食べてください！お二人の分も作ってます！
モバP,ありがとう、春香ちゃん！俺も甘いもの大好きなんだよ！
春香,本当ですか！良かった・・・えへへ。卯月ちゃんもマドレーヌ作ってきてますよ！
モバP,おっ、いいな！
卯月,はい、どうぞ！・・・春香ちゃんのお菓子と比べたらアレかもしれないですけど・・・
P,いやいや、いつも春香から聞いてるよ！卯月ちゃんのお菓子は美味しい！ってな？
春香,はい！マドレーヌもとっても美味しいですよ！
卯月,えへへ・・・
P,だから、ちゃんと美味しくいただくよ
卯月,ありがとうございます！
モバP,だがよぉP、俺たちは幸せ者だな？
P,だよな、モバP！こんな優しくて可愛らしい今を時めくアイドルの作ってくれたお菓子を食べることができるんだからな！
春香,や、優しくて・・・
卯月,可愛らしい・・・
P,？
モバP,どうした？
卯月,な、何でもないです！
モバP,よし、そろそろスタジオ行こうか！
卯月,はい！
春香,そうだ！プロデューサーさん！さっき卯月ちゃんと話したんですけど、今度765プロとCGプロの合同でライブするのってどうですか？
P,おおっ奇遇だな！さっき俺たちも同じこと話してたよ！なっ、モバP？
モバP,ああ！俺たちだけじゃないでアイドルたちの意見も聞こうって思ってたけど
P,2人も賛成してくれるのなら話が早いな！
春香,多分、他の娘たちも絶対OKしてくれますよ！
卯月,私たちの所もです！
モバP,よし！じゃあ、合同ライブをするっていう方向で話を進めるか！
春香卯月,わあ！やったー！！
モバP,それじゃあ卯月！頑張って来い！・・・あと、楽しんで来い！
卯月,はい！頑張ります！
P,よし、春香！・・・今日はこけるなよ？
春香,はい！がんばr・・・ってプロデューサーさん、ひどくないですか！？
P,あははっ、冗談だよ。いつもの春香らしく、頑張って来い！
春香,はい！
P,お疲れ様！春香、卯月ちゃん！
モバP,はい！卯月も春香ちゃんも、お水で良かったか？
春香,ありがとうございます！
卯月,大丈夫です！・・・ちょっと張り切ったので喉カラカラです
春香,私も・・・ちょっと張り切りすぎちゃいました
P,今日も見事に転んだもんな
春香,もう！気にしてたんですから言わないでくださいよー！
卯月モバP,あはは・・・
P,そうそう春香、ぜんざい食べたぞ。美味かったよ、ごちそう様
モバP,とっても美味くて、お代わりしたかったぐらいだよ！
春香,ホントですか！やったあ！
モバP,卯月の作ってくれたマドレーヌも美味かったぞ？
P,ああ、いくつでも食べられそうなマドレーヌだったよ！
卯月,良かったです！・・・えへへ
モバP,そろそろ帰ろっか、卯月
卯月,はい！じゃあ、楽屋で準備してきますね！
P,春香、俺たちも・・・。悪い、春香ちょっと待っててくれ！
春香,はい！用事が終わるまで楽屋で待っておきますね！
P,ああ、そうしててくれ！
卯月,・・・よし、準備完了！。プロデューサーさん、いつでも出られますよー！
モバP,OK、じゃあ帰ろうか！。Pのやつがまだ戻ってきてないけど・・・春香ちゃん、よろしく伝えておいて
春香,分かりました！
卯月,春香ちゃん、またね！
春香,うん、またね！・・・あと卯月ちゃん！
卯月,！・・・うん！
モバP,？。うおっ、やっぱり12月にもなると寒いな
卯月,そうですね、もう日も落ちてますから
モバP,天気予報でも言ってたけど、今週末はもっと冷え込むらしいぞ？
卯月,ええ！？今よりもまだ寒くなっちゃうんですか！？
モバP,らしいぞ？・・・雪降るかもしれないなぁ
卯月,雪かぁ・・・そう言われると寒くなるのも楽しみになっちゃいます！
モバP,あはは、流石、子供は風の子ってやつかな
卯月,えへへ・・・って、私そこまで子供じゃないですよー！
モバP,うう～っ、風が吹くともっと寒い～！
卯月,そ、そうですね・・・。！・・・そうだ、プロデューサーさん！
モバP,どうした？卯月
卯月,こ、こうやって腕組んで近くにいた方が、暖かいかもしれませんよ？
モバP,あ、ああ、そうだな・・・でも卯月、そうやって腕組むと当たる気がするんだけど・・・その・・・上の部分とか
卯月,えへへ・・・当ててんのよってやつです
モバP,おうふっ・・・
卯月,プロデューサーさん！あの映画見たいです！
モバP,どれどれ？・・・えっと隣に・・・か
卯月,はい！今度、私とプロデューサーさんの両方がオフ取れた日に、見に行きましょうよ！
モバP,ああ、いいぞ？確か・・・。今手帳見てみたら、来週の土曜が俺も卯月もオフみたいだ。行くか？
卯月,はい、行きましょう！・・・えへへ、その日はデートみたいですね！
モバP,うがっ・・・何だか今日の卯月は色々と恥ずかしいことを言ってくるな・・・
卯月,えへへ・・・。！
モバP,卯月、お腹減ったか？
卯月,は、はい・・・
モバP,んじゃあ、どこかで食べて帰るか。オゴるからさ
卯月,そ、そんな！大丈夫ですよ！
モバP,いいって、収録も頑張ったんだから、いわゆるご褒美ってやつだよ
卯月,それじゃあ、言葉に甘えて・・・
モバP,ああ、気にすんなって。この辺だと確か・・・そうだ卯月、この辺美味い洋食屋があるんだよ、そことかどうだ？
卯月,わあ、楽しみです！。こんな優しいところが、私はこの人のこと・・・
春香,はーい！
P,お待たせ、春香。悪かったな、つい話しこんじゃって・・・
春香,いえ、気にしないでください。私はいつでも出られるように準備してますよ？
P,そうか、それじゃあ事務所に戻ろう
春香,はい！
P,もう外は真っ暗だな
春香,そうですね。それにとっても寒いです
P,春香、ちゃんとマフラーとか持ってきてるか？ちゃん着込んでおかないと風邪ひくからな
春香,大丈夫です！手袋までばっちりですよ！。ってプロデューサーさん、手袋持ってきてないんですか？
P,ああ。ちょっと事務所に忘れちゃったみたいだからさ・・・
春香,もう！プロデューサーさんがそんなんじゃダメじゃないですかー！
P,あはは、悪い悪い。ついうっかりしちゃって・・・
春香,むー・・・そうだ！プロデューサーさん！
P,どうした？
春香,こうやって手を繋いだら、暖かいかもしれませんよ？
P,た、確かにそうだな。でも、この繋ぎ方って・・・
春香,えへへ、恋人繋ぎってやつですね
P,そ、そうだな。でも春香、お前まで片方の手袋外さなくても・・・
春香,そして、はいっ！この手袋をプロデューサーさんが使ってください！
P,あ、ああ・・・
春香,・・・。！・・・あのポスター見てください！
P,ん？・・・おっ、今○○水族館でナイトショーしてるんだな
春香,プロデューサーさん、一緒にどうですか？
P,俺と？・・・良いぞ？俺もちょっと興味あるし
春香,ホントですか！やったあ！
P,今日はちょっと仕事が残ってるから、今日はムリだけどな
春香,そうですか・・・
P,大丈夫、今度ちゃんと時間作るからさ
春香,・・・約束ですよ？
P,勿論！頑張ってる春香の頼みだ、絶対守るよ
春香,あ、ありがとうございます・・・。えへへ・・・ちょっとしたデートみたいですね
P,そ、そうなるのかな・・・アイドルなのにデートってちょっとマズイんじゃ・・・でも最近春香は頑張ってるから少し息抜きくらい・・・
春香,・・・ｸｽｯ。ちょっと抜けてるけど、誠実で・・・そんなところが私、この人のこと・・・
春香卯月,・・・好きなんだろうなぁ
