・聖グロ戦をせずに仲間集めしていたというif,劇場版のネタバレを多少含む
杏,フラッグ戦だから勝ち目はあると思うけどねえ。向こうがくれた情報だと、フラッグは……センチュリオンかあ
桃,どうやら本気のようですね。センチュリオンって何だろう
愛里寿,大洗かあ。限定ボコ売ってるかな？
ねこにゃー,き、緊張するう
ナカジマ,いやー、レース前の調整は楽しいねえ
そど子,ちょっと！？冷泉さん、ちゃんと起きなさいよ！
澤,でさー。うんうん、そうそう。アハハ
典子,バレー部復活のために！
カエサル,思い出すな、あの戦いを。……。それだ！
杏,あちゃー。浮き足立ってるっていうかなんというか。緊張感がないねえ
みほ,初めてですから仕方ありません。今はやれることをやるだけです！
杏,頼もしいねえ。…ありがとね西住ちゃん
みほ,え？
杏,なんでもないよ。頑張ろうね！
みほ,はい！。整備が忙しかったおかげで、カラーリングを変えるのを防げて良かった。アリクイさんチームはアニメの絵。レオポンチームはレースカーみたいに企業名ステッカー。カモさんチームは車体に校則をぎっちり書こうとしてたし。他のチームも凄い案を持ってきて……。ホントに良かった
ルミ,この戦車の戦力差に対して相手は全然余裕がありますね
アズミ,流石は西住流のチームね。良いリラックス具合だわ
メグミ,意外な戦車のラインナップだったけど、自信があるのね
ミミミ,相手の隊長なんて胸をなでおろしてるし……
愛里寿,(みんなが言うからそんな気がしてきたなあ。私が隊長だから舐められたりしてるのかな？)。(多少は指導的な戦いをするつもりだったけど、本気でいいのかも)。作戦としては、こちらから敵を攻めていく速攻でいく
ルミ,(練度を探るつもりか。大胆かつ慎重な良い作戦だ)
アズミ,分かりました
愛里寿,敵はきっと素早く地の利を奪おうとするはず。だからこのAポイントを囲むように強襲する
ミミミ,了解！
審判,それでは試合を開始します
ウサギ,えーっと前進はこうやって……あれ？
アリクイ,ギアが…ギアが入らないー！
カモ,大洗の校庭と違って走りづらい～
麻子,おいおい。全然付いてこないじゃないか。Aポイントまで急いで行くんだろう？
みほ,そうですね。河嶋さんの考えた作戦は現時刻をもって破棄。これからのろのろ作戦を開始します
桃,なにぃ！？
杏,いやいや、私たちの練度じゃそもそも10分でA地点まで行くとか無理だから
桃,しかし！
柚子,桃ちゃんが頑張って本読んで勉強したのは知ってるけど、やっぱ無理だよ～
ルミ,……居ませんね
アズミ,流石、新生西住流。定石通りにはいかないわねえ
メグミ,隊長が読みをハズすなんていつ以来だろ？
愛里寿,(ここに0輌……。ということは、この奥で足を止めて打ち合う気？すごい自信)。作戦を変える。2輌に偵察させつつ微速で進軍
大学選抜偵察車,私たちには素早さが求められるわ！急いで
大学選抜偵察車2,それにしても、高校生もなかなかやるわねえ
大学選抜偵察車,そろそろ敵のスタート地点よ。道が開けるからさらにスピード上げてくわよ！
大学選抜偵察車2,りょーかい、りょーかい
大学選抜偵察車,ん？え！？なんで敵全車両こんな所(大洗開始地点)に居るの！？
大学選抜偵察車2,ちょっと！私たち前出過ぎてる！バックバック
みほ,敵発見！撃て
優花里,西住殿？いまのは？
みほ,う～ん。相手はどうも私たちを過大評価し過ぎてるみたい
優花里,ははあ。ここで動けずに居たことが敵にとって奇襲になったということですか
みほ,うん。交戦準備も出来てなかったみたいだし、私たちがもっと奥で構えてると思ってたんじゃないかな
麻子,だがこれで位置がバレたから移動しないとな
沙織,麻子の運転相談のおかげでみんなちゃんと走れるってー！
みほ,分かりました。それではゆっくりと進んで脇の茂みに隠れましょう
愛里寿,偵察がやられた！？。(交戦するなって言ったのが仇になった…。それにしてもこの位置)
メグミ,敵の動きが鈍すぎる…？きっと何かの罠ね
アズミ,スタックとかもしれないわよ？
ルミ,敵には素早い整備ができる部隊もいた。スタックとかならもっと早く解決させているはずだ。……もしや別働隊では？
愛里寿,！。(まずい！こちらに誘いを掛けつつ、高速で周りこむ別働隊で挟撃するつもりだ！)。今から高速で接敵する。挟撃される前に敵本体を叩く！。(まさか、沼地を突破しようとするなんて。でもまだ時間はかかるはず)
レオポン,ねえ、もっと走り周らなくていいの？
みほ,はい。今はこうして待ち伏せしましょう。少なくも囲まれることはありませんから。(バレバレな潜伏だけど。今、ムリに走らせたら苦手意識を持たせちゃう)。(ここで上手く敵から逃げ切って、みんなに自信を持たせてあげたい)。上手く岩を回り込めれば被害は少ないはず。少し卑怯だけど煙幕を張れば、大学選抜チームでもなんとか。ここから市街地まで逃げられるかが１つの勝負どころ……
愛里寿,ここからはほぼ一本道。アンブッシュの可能性も高い
ルミ,隊長！ここで待ち伏せが行われる可能性は低いかと
愛里寿,？
ルミ,この地形では陣形を広げて囲んだりするのが困難です。敵から逃げやすいという利点はありますが、わざわざ逃げるためだけに待ち伏せするはずがありません
愛里寿,確かに、そうかもしれない
ルミ,今は敵本隊が構えている予想
愛里寿,たとえ２～３輌が潜んでいても、たいした被害はでないはず。むしろ敵本隊が薄くなってチャンス。そうしよう。(っ！まだ敵が見えない。そろそろ沼地を突破して後ろからも追って来ているころ。まずい)
ルミ,前と後ろだけに注意するんだ！
みほ,ん？フラッグ車？
杏,あれは、こっちに気づいてない走り方だね
みほ,……撃て？
愛里寿,…………
ミミミ,…………
愛里寿,あれ？
大洗,勝った…？勝った勝ったよー！わーわー
みほ,……？んん？
杏,完全試合ってやつだねぃ
文科省学園艦担当,…………。大学選抜チームに完全試合だと？これでは廃校にするには有名になりすぎるぞ。場合によっては廃校にするより存続させた方が得になりそうだな。まあ、これで手を引くというわけでもないがな。入学者を集めるパンダをやってもらわねば
愛里寿,ねえ、あの。西住さん
みほ,なんですか？
愛里寿,なんであんな所に居たの？
みほ,えっと、私たちはまだ操縦が上手くないので、ゆっくりと試合をしようと
愛里寿,じゃあ、大洗は新西住流となるべく生まれた、各地の天才を集めたチームっていう話は……
みほ,ええ！？ぜっ、ぜんぜん違いますよ！
愛里寿,じゃあ、なんで転校したの？
みほ,それは、その。いろいろあって
愛里寿,……ごめんなさい。でも、ツラい思いをしたのにまた戦車道を。…かっこいい。立ち上がり続けるその姿勢、まるで。ボコみたい
みほ,え？
愛里寿,な、なんでもない
みほ,私もボコ好きなんです！もしかして島田さんも？
愛里寿,う、うん。それと愛里寿でいい
みほ,じゃあ、私もみほで。よろしくね愛里寿さん
杏,と、いうわけで学校は続けられることになった！
桃,夢じゃ、夢じゃない！よがっだ、よがっだよお
柚子,桃ちゃん……。私も嬉しいよお！
沙織,生徒会の人たち泣いてたけど何かあったのかな？
華,嬉しそうでしたよ？
優花里,メチャクチャ嬉しいことですよお！あの大学選抜チームに勝ったんですよ！！！
麻子,私もなぜか遅刻履歴を消してもらえた
沙織,え～！麻子だけずるーい
澤,楽しかったあ！みんな来年もやろうね！
ウサギ,おー！
ホシノ,次はもっと走りたいね！
レオポン,次はドリフトだ！
そど子,次はもっと上手く走って冷泉さんを驚かせるんだから！
カモ,なんかそど子嬉しそう～
典子,バレーも戦車も一生現役だ！
アヒル,バレー部ファイトーオー！
カエサル,あれは正に歴史に残る戦いだったな
カバ,大洗の合戦ぜよ。それだ！
ねこにゃー,次までにもっと力を！
アリクイ,筋トレだー！
杏,まだまだ、戦車道がみんなと出来る。嬉しいね
カメ,うるさいOGになりそうですね、私たち
杏,(西住流が隊長だったからじゃない、西住ちゃんが隊長だったから良かった。西住ちゃんの優しさが勝利を呼んだんだ)。ありがとう。西住ちゃん
みほ,(みんな楽しそう。戦車道ってこんなにみんなで笑いあえるものだったんだ。ずっと忘れてた気がする)
あんこう,みぽりーん！みほさん早く戦車乗ってくださーい。新戦術、楽しみですねえ！たまにはこういうのも良いものだ
みほ,(お姉ちゃん。私の戦車道が分かった気がするよ)。それではパンツァーフォー！
文科省学園艦担当,学校を存続させる…とは言ったが、もっと知名度を上げて貰わなくてはならない
杏,どういうことですか
文科省学園艦担当,つまりこちらが用意した相手と試合し、勝利してもらいたい
杏,……負けたら？
文科省学園艦担当,再度、廃校の話が持ち上がるかもしれないな？
杏,約束を反故にすると！？
文科省学園艦担当,私一人の意見が全てではないということだ。抑えられない意見というものもある。フフフ
杏,(この二枚舌め！)
文科省学園艦担当,それで、相手だが黒森峰・プラウダ・アンツィオ・サンダース・聖グローリアナ・知波単・継続の高校選抜連合チームを用意した
杏,な！？
文科省学園艦担当,維持費を捻出するにはこれぐらいのイベントが必要なのだよ
杏,(受けるしかない…か)
愛里寿,大洗が8輌で高校選抜連合30輌に挑む？
ルミ,はい。しかも殲滅戦だとか
アズミ,なんか廃校がかかってるとかいう噂も聞くわよ？
メグミ,酷い話ね
愛里寿,(あれは非公式戦だったから大洗の真実弱いこと。このままじゃみほはボコボコにされる。みほならそれでも何とかするかもしれない、でも。加勢しよう
ミミミ,はいっ！
ルミ,良い意味で隊長は変わった
アズミ,良い友人ができたのね
メグミ,大洗の制服を用意しておきますね！
ルミ・アズミ,！？
まほ,実の妹を３０対８で潰せとは、酷い話だな
エリカ,……ですが、これは戦車道大会の出場条件です
まほ,ああ。私は西住流。どんな相手だって全力で倒すさ
エリカ,まったく！元副隊長はなにやってんのよ！黙って転校したかと思えば、まだ戦車道続けてて、大学選抜チームに勝って。今度は廃校をかけて高校連合と試合？バカじゃないの！？
カチューシャ,３０対８ですって。きっと５分も持たないわよ
ノンナ,油断は禁物です。あの大学選抜チームに勝利した高校です
カチューシャ,はあ！？あのチームに？
ノンナ,はい。実力は相当なものかと
カチューシャ,その試合のビデオは無いわけ？
ノンナ,ありません。一応、非公式戦の扱いでしたから
カチューシャ,チッ。しょうがないわね。ちゃんと全力で相手してあげるわ
ペパロニ,姐さん。なんかスゲー面白そうな試合やるらしいっすね
アンチョビ,ああ！アンツィオの名を世に知らしめる良い機会だ
ペパロニ,いやー、儲かりそうですねえ！
アンチョビ,ん？……バカー！出店しにいくんじゃない！私たちも戦車で参戦するんだ！
ペパロニ,え、そうだったんですかあ！？
ケイ,ウチはサンダース部隊だけで相手するわよ！
アリサ,これで無線傍受までしたら隊長に殺されるな……
ケイ,みんなＯＫ？あくまで私たちは正々堂々いくわよ！
サンダース,Yes,マム
ダージリン,こんな言葉を知ってる？獅子は兎を狩るにも全力を尽くす
オレンジペコ,え？ええ、はい。一応
ダージリン,私たち流の礼儀というものよ。紅茶を一滴も溢さず勝利してみせるわ
ローズヒップ,もっちろんですわ！
ダージリン,あなたはもう少し落ち着きなさい
ミカ,こんな試合に意味があるとは思えないね
アキ,でも、しょうがないよ
ミカ,まあ他人の思惑を無視して自由に戦うというのも楽しいものさ。戦車道っていうのは自由なものだからね
アキ,そんな勝手にしてもいいのかな？
沙織,さ、３０対８ぃ！？
みほ,む、無理に勝つ必要はありません。ケガしないように…
杏,それじゃ……駄目なんだよね
桃,この試合には廃校がかかっているんだ
大洗,！？
みほ,そんな……
杏,勝つしかないんだよ、私たちは
大洗,無理だよー。凄い戦車の数……
審判,各隊長、前へ！
みほ,待ち伏せしながら…高低さを活かして…でもマウスが居るから…
まほ,……大丈夫か？
愛里寿,ちょっと待って。私たち大洗ＯＧも参加する
ミミミ,この歳で制服着るのってなんだかコスプレみたいで恥ずかしいな
まほ・みほ,！？
審判,どうするの？対戦相手であるあなたには異議を唱える権利があるわ
まほ,……問題ない
カチューシャ,どっちでもいいわよ。どうせカチューシャが勝つんだから！
ケイ,アメージング！その方が面白そうね
アンチョビ,その方がアンツィオをアピールできるしな
ミカ,戦況っていうのは秋の空みたいなものだからね
西,むしろ歓迎です突撃ができるぞー！
審判,では作戦会議の時間をとった後、試合を開始します
カチューシャ,で？大隊長は誰がやるのよ？
エリカ,もちろん隊長に決まっているでしょう！
ケイ,私もやりたいわ！
アンチョビ,私なんかいいんじゃないか？
カチューシャ,あっきれた。大隊長は私が一番向いてるって分からないの！？
ダージリン,あら？落ち着きの無い方が大隊長をなさるの？
まほ,作戦もまだ決まっていないんだ。変に煽るんじゃない
ミカ,風をまとめるなんて誰にもできないことさ
西,私は特に意見はありません
まほ,……というわけでじゃんけんの結果、私が大隊長を務めることになった。よろしく頼む
カチューシャ,ふんっ
まほ,部隊編成は各高校ごととする。分隊長は各校の隊長がやってくれ
高校連合,了解
まほ,まとまりが全然ないな。大丈夫かこのチーム？
大洗,でも、私たち勝てるんでしょうか……。まだ全然経験たりてないよお
みほ,愛里寿さんが来てくれて状況は好転したけど。廃校がかかってるってプレッシャーとショックが大きすぎて、みんなの士気が
愛里寿,どれだけ酷い状況でも心は折れちゃダメ。大洗はまだ立ち上がれるはず
みほ,愛里寿さん！
愛里寿,今回はカールも持ってきた。きっと大丈夫。やってやーるやってやーる♪
みほ,！
愛里寿・みほ,やぁってやーるぜ♪いーやなあーいつをボーコボコにー♪
大洗,みぽりん！？隊長……。私たちも歌うぞ！そうだそうだ、ボコボコにしてやるんだー！
全員,ケーンカは売るもの堂々と♪
審判,準備はできたかしら？それでは試合を始めます。礼！。ふふっ。大洗の子達、良い顔になったわね
まほ,まずは高地を押さえ……。おい！聞いているのか！？
カチューシャ,ふんっ！私の手腕を見ればそっちから大隊長を任せるって言ってくるんだから！
アンチョビ,なんだなんだ！？自由に動いていいならアンツィオ部隊もそうするぞ
西,え？突撃しても良いんですか！やった！
ケイ,クレイジー！みんな落ち着いて！
ダージリン,こんな言葉を知ってる？戦争の目的は勝利することである。手段と目的を取り違えてはいけない
オレンジペコ,孫子ですか？
ミカ,過去の言葉に意味なんてないよ。重要なのは私たちが今なにをするかさ
ダージリン,その何かを成すために格言を参考にしているのよ
ミカ,誰かのマネで新しい何かが得られるのかな？
みほ,……敵は酷く混乱しているようですね
愛里寿,カール、砲撃出来る？
カール,問題ありません
愛里寿,砲撃
カチューシャ,なっ、何！？
ノンナ,っ！敵の、随分大きな砲弾で撃たれているようです
クラーラ,さらに敵の強襲来ました！殿は私たちがやります。同志カチューシャ、逃げて下さい！
カチューシャ,そんなこと出来るわけないじゃない！
ノンナ,お逃げ下さい！
カチューシャ,駄目よ！た、たとえやられたって引くものですか
まほ,(想像以上にヤバいな)。エリカ！黒森峰部隊の損害は？
エリカ,1台大破、1台履帯が切れました
まほ,(まずいな足並みをそろえなければこのまま負ける)。継続とアンツィオ・サンダースの隊長、敵の大型砲弾を撃つ車両…おそらくカールを黙らせられないか？
ミカ,今はあなたの指揮に従おう
アンチョビ,まあ、仕方ないことだしな。了解
ケイ,OK。一気に巻き返しましょう！
愛里寿,(プラウダがやられたことで頭が冷えたみたい)。まあバカじゃなきゃ、この状況で無謀な単独攻撃はしてこないか
ルミ,……バカが来たみたいです
西,突撃ーー！
知波単,ウオー！
愛里寿,……砲撃
まほ,１０輌以上やられたか。相手は、無傷。……お母様は大激怒コースだな
ダージリン,まほさん？私たちでカール部隊以外の全てを倒す自信があって？
まほ,撃てば必中、守りは固く、進む姿は乱れ無し。鉄の掟、鋼の心、それが西住流だ
ダージリン,あなた、そればっかりね
まほ,！。どんな走りをしようとも、我が校の戦車は一滴たりとも紅茶をこぼしたりはしないわ
ダージリン,！
まほ,通信機を濡らすなよ？
ダージリン,あなたこそ、必中の攻撃と鋼の心で頑張ってね？
まほ,ああ、西住流はティーカップを落とすほど動転することはないさ
優花里,なんか真後ろ取れちゃいましたね
麻子,流石に罠じゃないのか？
華,あら？なんかあの２輌お互いに砲塔を向け合っていませんか？
沙織,仲間割れ！？チャンスじゃないの？
みほ,えーっと、大洗のみなさん、アズミさんの部隊のみなさん。攻撃の準備はできていますか？
大洗・アズミ,問題ありません
みほ,では、砲撃してください
まほ・ダージリン,……っあ
エリカ,…………
アンチョビ,なあ？
ミカ,なんだい？
アンチョビ,カールを特に策も無く撃破するなんて無謀だったんじゃないか？
ケイ,Ahahahaha～。そうね！
アンチョビ,笑ってる場合じゃなーい！って、おいおい。こっち見てるぞぉ～！？
桃,今度こそ！今度こそ廃校にならずにすんだんですよね！？
杏,もちろん！もう誰にも文句は言わせないよ！
みほ,愛里寿さんのおかげです！
愛里寿,私たちはちょっと後押ししただけ。これは大洗の力
ミミミ,まさか完全試合になるとは思わなかったけど
まほ,なあ、お前たちは勝つ気あったのか？
アンチョビ,仲間割れしててやられたくせに
まほ,なんだと？
カチューシャ,ププッ。さすが大隊長様ね！かっこいいわ
まほ,去年、みほをバカにしていたクセに同じミスをしたな？
カチューシャ,っ！
ケイ,みほ。みほってあなたシスターコンプレックスなの？
ダージリン,あら？そうだったの。もしかして仲間割れはわざとかしら？妹のために？
まほ,服から紅茶のにおいがするぞ
ダージリン,…………
西,まあまあ、みなさん落ち着いて
まほ・ケイ・アン・ダージ・カチュ,お前は黙ってろ！
まほ,おい、継続の隊長はどこに行った？
ミカ,みなさんさようなら
アキ,あいさつもせずに出て行って良かったのかな？
優花里,ん？あの方は……
みほ,お姉ちゃん
まほ,か、完敗だな。みほらしい、戦いだったな……西住流とはまるで違う……
みほ,…………。もう行くね…。お姉ちゃん。見つけたんだよ？私の戦車道
エリカ,次は、負けないわよ。というかまともに戦いたい
みほ,はいっ！
優花里,帰って来ましたねえ
麻子,やっぱ大洗は良いな
沙織,これからも学校行けるんだよね！
華,もちろんです
優花里,なんかもう、戦車から降りたくない気分です！
沙織,じゃあ泊まっちゃう？
麻子,賛成。ということで寝る
沙織,ちょっとちょっとー！運転中に寝ないでよー！
華,では、久しぶりに私が操縦を…！
みほ,これからもこんな楽しい日々が続いていく
沙織,今日はこのまま戦車でお泊り会して～。明日はなにする？
華,みんなでお昼食べましょう！
麻子,昼寝したり
優花里,それから～
みほ,戦車に乗りましょう！
おまけ,エキシビジョンマッチ
しほ,みほ……ずいぶんと引っ掻き回してくれたわね
戦車道連盟理事,ですが……大洗女子学園も仕方なく
しほ,それも、その試合の映像が世に出ていないとなればなおさら
理事,確かに八百長疑惑などのいわれの無い非難も多くあがっていて、連盟も対処に追われていますが……。……大洗を潰すおつもりですか？。しかし、大洗女子学園はまだ２試合しか経験していないと記録にも……
しほ,戦車道にマグレはありません
理事,そういうことであれば……
しほ,みほ。見せてみなさい、あなたの戦車道を
杏,エキシビジョンマッチぃ？ウチとしても大会優勝目指してるからさあ、忙しいんだよね
戦車道連盟関係者,大会のアピールをかねていますから、多少開催時期は例年よりは遅らせることになっています
杏,なら、いっか。受けます受けます。ってことで試合することになった
柚子,今回は廃校は関係ないんですよねえ？
杏,うん。だから純粋に楽しんでよ。つってもそれだと緊張感が足りないか。今回はテレビ局も来るみたいだし、負けたらあんこう踊りしよっか。地元の宣伝だよ、地元こーけん。それに勝てばいいんだって
優花里,相手はどこなんですかー？
杏,４校VS４校ってことだね
麻子,なるほど。大会の宣伝というだけあってお祭り騒ぎだな
華,ですが、サンダースと黒森峰とプラウダが一緒になったら１００輌ぐらいになるんじゃないですか？
沙織,うわっ。考えたくな～い！
杏,ああ、だいじょぶだいじょぶ。合計で５０輌までだから。ちなみにフラッグ戦らしいから
審判,えーっと。公平性をきすため、西住さんの姉妹は別チームにするよう指示が来ています。よろしいでしょうか？
みほ,うーん。継続のミカさんぐらいしか知らないから、お姉ちゃんと一緒が良かったなあ
まほ,お母様が裏で動いたか……？。問題ありません
みほ,あっ、私も大丈夫です
まほ,プラウダとグロリアーナだけは避けたい。まずまずだな。知波単は突撃さえさせなければ悪くない。みほではあいつらはまとめ切れないだろう。昔から奥手だったからな。ふっ、勝ったな
カチューシャ,で？大隊長はどうするの？
ダージリン,あなたはまた……
ミカ,風を縛ろうとするのは愚かなことさ
みほ,ああ。お姉ちゃんはこのせいで負けたのか
カチューシャ,早くカチューシャに指揮権渡しなさいよ！
みほ,えーっと。まずは作戦から考えませんか？
カチューシャ,はあ！？あんたバカじゃないの？。ん？そういえば、あなた去年優勝を譲ってくれた子じゃない
みほ,…………
優花里,西住殿は間違ったことをしていません！
カチューシャ,……そうね。仲間を助けることは決して間違った行為じゃない。でも。それじゃ勝てないのよ。だから、あなたの言うことは聞けないわ！。……そう。例えば、あなたの所の一年が川で動けなくなったらどうするつもり？
みほ,助けます！
カチューシャ,敵が迫って来ているのよ？
みほ,それでも助けます！
カチューシャ,甘いだけじゃ勝てないのよ……。去年の失敗から何も学んでないの！？。あっきれた。あなたにだけは大隊長は任せられないわ
ダージリン,でも作戦から考える、というのは悪くない案だと思うけれど？
ミカ,行き先を決める必要はないけれど、移動方法を決めるのは必要なことだからね
カチューシャ,ｸﾞﾇﾇ。そうね、まあいいわ。で？どうするのよ？
みほ,えっと、まずは山に登って……
ダージリン,……大洗部隊がそうするにしても、ポルシェティーガーは坂で遅れるんじゃなくって？
カチューシャ,ほら見なさい！結局は仲間を見捨てることになるのよ！
みほ,仮に大洗がそれをこなす場合は、ロープを使ってみんなで引きます
ダージリン・カチューシャ,！
ミカ,へぇ……
カチューシャ,ち、ちょっと面白いじゃない
ダージリン,ずいぶんまほさんとは違うのね
みほ,そ、そうですか？
ダージリン,ええ。で、その後はどうなさるおつもり？
みほ,えっと、広域に煙をまくパラリラ作戦で……
カチューシャ,ふんふん♪
ノンナ,同志カチャーシャ。ウキウキしていませんか？
カチューシャ,ししし、してないわよっ！。で！それからどうするの！み…まほ！
ノンナ,同志カチューシャ。この方はみほさんです。まほさんは姉の方です
カチューシャ,わ、分かってるわよ！それにしても紛らわしいわね。みとまなんてほとんど同じじゃない！いいわ、これからミホーシャって呼んであげる
みほ,あはは。それでですね――――――――――――
まほ,重要なのはチームワークだ。その要となるのはサンダースの隊長、お前だ。お前たちの新密度の高さには驚かされるものがあるからな
ケイ,Yes。私たちならきっと勝てるわ！
まほ,そして作戦。アンツィオのノリと勢いのある作戦は私たちにとって大きな武器になる！
アンチョビ,そ、そうか？まあ自信はあるがな
まほ,知波単の隊長。ただ突撃するだけでは駄目なんだ。タイミングと方法、相手を考えて行う必要がある。分かるな？
西,はいっ！
まほ,突撃をするなとは言わない。だが、そのタイミング等は私に一任してくれないか
西,分かりました！この身と知波単の命運、西住さんに委ねます！
まほ,勝つぞ！
全員,おーっ！
愛里寿,みほ、また変なことに巻き込まれてる
ルミ,そうですね。とはいっても、今回は介入のしようがありませんが
アズミ,まあ、今回は普通の試合みたいだしねえ
メグミ,大洗のみんなは勝てるかな？
愛里寿,……みほとこの前ボコのボコり方について語っていたんだけど、なかなかエゲツない作戦をスラスラ語ってた。今までは表に出なかっただけで、みほは優秀。大丈夫
ミミミ,この二人怖いよお
ミカ,大隊長、今日は雲の流れが速いと思わないかい？
みほ,……？。！？あれは無線傍受機！
ダージリンこんな格言を知ってる？戦争での成功を保証できる者などいない。いるのは成功を収める権利を勝ち取った者だけだ,携帯
ダージリン私たちは、今その権利を勝ち取ったと思わない？,携帯
カチューシャ,うるさいわね、こいつ
カチューシャミホーシャとアドレス交換しといて良かったわ！携帯で連絡取り合って、裏をかきましょう！,携帯
みほはい,携帯
みほ,……なにか腑に落ちないけど
アンチョビ,ふっふっふー！敵は今頃、偽バルーンに驚いてるんじゃないか！？
ケイ,あんまり好きなフェイントじゃないけど。まあ、これぐらいならOKよね！ルールにも全く抵触していないはずよ！
西,ですが、そもそも無線傍受機偽
まほ,ああ。みほは優秀だ。あのぐらいは気づいてくれるさ。これで相手の通信は遅くなる。場合によっては連絡手段がなくなって各自判断の状態に追い込めるだろう。携帯のアドレス交換なんて相当仲良くならなきゃしないはずだ。電撃作戦を仕掛けて、相手の部隊を分断するぞ！
みほ,無線では嘘情報を流してっと
みほこれから山へ向かいます,携帯
みほ,！？。敵の攻撃翌来ます！ジグザグに後退してください！！！。危ない所だった。敵は速攻で来ている。みんなに知らせないと！。沙織さん！お願いします。くっ！無線で違うことを言いながら、携帯で連絡を取るのはどうしても時間がかかる
ダージリンみほさん。嘘情報による罠に相手は全くかかってきません。どうにも様子がおかしいようです,携帯
みほ,まさか……。でも確信が持てない。双眼鏡じゃ本物か確認しきれないし
みほ……ミカさん。坂を利用して八九式でバルーンに機銃を撃ってみます。その間、アヒルさんチームの護衛をお願いできませんか？,携帯
ミカその作戦に意味があるとは思えないな,携帯
カチューシャそうね。私はミホーシャの判断を信じるわ、確認の手間を省いて一手先んじましょう！,携帯
みほ,みなさん……。分かりました！。無線傍受機はダミー、あるいは壊れていると思われます。これからは無線を使用してください。相手は電撃作戦にとらわれていて攻撃が雑になっています！逆に囲みこむチャンスです！。たとえ無線傍受されえていたとしても、そんな卑怯な作戦はみんなで打ち破ってみせる！
まほ,みほの性格では偽物と感づいても確認せずにはいられないだろう。せいぜいバルーンを打ち落とすのに必死になってくれ。知波単、いまだ。突撃しろ
知波単,了解！！！！！！いくぞぉーーーーー！！！！！！！突撃ぃーーーー！！！！！！！！！
ダージリン,私たちが時間を稼がないとね
福田,あれ？西隊長、敵が少なくないですか？
西,ならば全滅させる好機！突撃の許しは出た！！突っ込めぇーー！！！
カチューシャ,ミホーシャ！あと２０秒で包囲が完了するわ！
ミカ,私たちはすでに配置についたよ
みほ,分かりました。それでは２０秒後に攻勢に出ます
まほ,負けたよ、みほ。完敗だ
みほ,……うん
まほ,もう見つけていたんだな。お前の戦車道を。良い試合だったよ
みほ,うん。ありがとう
まほ,……もう行くよ。次は大会で会おう。エリカもそれを望んでいる
みほ,うん。またね、お姉ちゃん！
ケイ,いやー惜しかったわねえ！
アンチョビ,ああ！知波単もやられて、私たちも囲まれてしまった後のマウスでの大突破劇！あの時はシビれたなあ
西,いやー面目ないです。あの時、私がダージリンさんに当てていれば勝てたというのに！
ケイ,良い試合だったわ
アンチョビ,ああ
西,はい！
カチューシャ,あの時はホントに焦ったわ
ダージリン,ええ、まさかあの状況から１０対１０まで巻き返されるなんてね
ミカ,まさか、あんなことになるなんてね
カチューシャ,あんたが勝手に動いたからでしょうが！
ミカ,どんな時でも誰か一人が悪いなんてことはない、いたずらに責めるのはよくないんじゃないかな
カチューシャ,はあ！？何言ってるの？
ダージリン,でも、良い試合だったわ
ミカ,そうだね
カチューシャ,まあ……そうね
