モバＰ,以降Ｐ表記ＤＡ・ＹＯ☆
文香,ふみさち、のほうが語呂が良いのではないでしょうか…
幸子,どっちでもいいと思いますよ！？
Ｐ,うん、どっちでもいいんだけどさ。ふみ×さち
幸子,ソレだと意味が違ってきますよ！
文香,…アリですね
幸子,何がですか！
Ｐ,幸子は元気だなぁ。あ、ちょっといいか２人とも。聞きたいことあるんだけどさ
幸子,何ですか何ですか？確かに今は時間空いていますけど。カワイイボクに構って欲しいんですかプロデューサーさん
Ｐ,あ、ちょっといいか文香。聞きたいことあるんだけどさ
文香,はぁ……あ、今日は紫のレースですけど…
幸子,ボクの存在が省かれた！。あと文香さんは一体何を！？
芳乃,ちなみにわたくしは今日はー
幸子,言わせませんよ！？。今欲しいもの？何ですか、そんな藪から棒に…って、ああ、クリスマスですか？
Ｐ,え、何で分かったの？
文香,…芳乃さんが
芳乃,サンタ服
Ｐ,うわっいつの間に！
幸子,かわいい
文香,超絶かわいい
Ｐ,サンタさんこの娘ください
イヴ,ご本人に聞いてくださいー
芳乃,さんたとは、このようなお召し物なのでしょうー？
幸子,いや、そんなミニスカサンタはこの国独特の文化といいますか…
文香,ラヴリー…
Ｐ,…うん、まぁサンタ芳乃はさておき。ちょっとクリスマス関連のイベントがあってな。参考意見を聞いて回ってる訳さね
芳乃,なのですー
幸子,クリスマスに欲しいもの、ですか。うーん、急に言われると出てこないものですね
文香,…この芳乃ちゃんください
芳乃,あやー
Ｐ,申し訳ございません。こちらは非売品なので
芳乃,ふにゃ
幸子,うーん…まともなお仕事…いやいやそれはプレゼントされるようなものじゃないですよね？
文香,むぅ……では、こちらでいいです…
Ｐ,ちょっ
芳乃,申し訳ありませんー、こちらは売約済みなのですー
Ｐ,えっ、身に覚えが無いんですけど
幸子,って、人が真剣に考えてるのに何をイチャついてるんですか天然トリオさん！
Ｐ,えっと…幸子のリクエストがまともなクリスマス、文香がうしおととら全巻セットか
芳乃,そなたーそなたー
Ｐ,ん？
芳乃,似合いましてー？
Ｐ,スカートをめくるな。はいはいカワイイカワイイ
芳乃,にへー
Ｐ,さてさて、どんどん行くぞー
芳乃,どんどん参りましょー
肇,はい、それじゃあもう一度最初からね
千枝,はいっ。千枝頑張りますっ
肇,私の苗字は？
千枝,藤原さんです
肇,うん、正解。じゃあ下の名前はわかる？
千枝,はいっ、肇さんですっ
肇,正解。いい子いい子
千枝,えへへ
肇,これでもう大丈夫かな？じゃあ千枝ちゃん、お昼ご飯食べに行こうか
千枝,わーい。うどんさんとお昼だーっ♪
肇,うん、お昼ご飯がまた遠のいちゃったね
Ｐ,邪魔して悪いな。ちょっといいか？
芳乃,おうどん食べたくなりましたー
肇,わっ！Ｐさんっ？…あ、芳乃ちゃんサンタ服だ可愛い
千枝,こんにちわプロデューサーさん芳乃さん。いいなぁ～千枝もサンタさんの恰好してみたいです
芳乃,着てみますかー？
Ｐ,ちょっ、待て待て待て待て
芳乃,そいやっ
千枝,わっ、サンタ服の下にまたサンタ服なんですね！
芳乃,ノースリーブミニスカサンタ服
千枝,わーい♪。サンタ服
肇,天使が２人……あ、あのＰさん…私、一体どうしたら…？
Ｐ,落ち着け。気持ちは凄くわかるけど。千枝もうどんさんも２人揃ってサンタ服とは…。クリスマス待たずにもう渡しちゃったけどさ
芳乃,肇殿、ですー
Ｐ,ノースリーブミニスカサンタ姿の肇もしっかり撮れたし。芳乃は芳乃で何故か脱いだらまた下からサンタ服だし。どういう原理になってんの？
芳乃,モコモコサンタ服
Ｐ,まぁ、あの２人は当日にもっとちゃんとしたプレゼント用意するとしよう。…うどんでいいかな
芳乃,良いかとー
Ｐ,よーし、この調子でガンガン行こうぜー
芳乃,いのちはだいじにー
晴,ふわぁぁ……
ありす,随分大きなあくびですね。夜更かしですか？
晴,いやぁ、なんか変な夢見ちまってさ。オレと橘が大人になってて橘はＰにフラれて居酒屋でヤケ酒しててよ
ありす,何ですかそれ。そんな未来ありえませんよ
晴,そうか？何か妙に生々しかったけどなぁ
Ｐ,おはよう橘さん、はるにゃん
晴,うおっ！いきなり出てくんなよビックリするだろ！あとその呼び方やめろ
ありす,おはようございます。そしてありすです
芳乃,ですー
ありす,わっ、芳乃さんサンタ服です。もうすぐクリスマスですもんね
晴,あ、そういやそっか。今年は何くれるんだ？Ｐ
Ｐ,何が欲しいか聞いて回ってるんだけどアイドル側から尋ねられるとは思わなんだ。節度あるレベルならリクエスト聞くぞ？晴ならやっぱアレか？超フリフリ衣装でクリスマス単独ライブか？
晴,絶対ェやめろよ！？ただの嫌がらせだろそれ！
Ｐ,需要あると思うけどなぁ
ありす,今年はプロデューサーさんがサンタさんなんですね
Ｐ,何故かそういう事になったんよ。橘さんは何か欲しいものあるか？蛮野タブレットでもイチゴロックシードでもいいぞ？
ありす,そうですね…特に今は欲しいもの、と言われても思いつきません
Ｐ,いきなり言われてもやっぱ思いつかないもんだよな、やっぱ
ありす,あと４年ぐらいしたら、貰いたいものと差し上げたいものがありますけど
晴,４年後？なんか随分先の話じゃね？
Ｐ,イッタイナンノハナシダロウネー
芳乃,ほー…
Ｐ,晴すけのリクエストがサイン入りサッカーボールか。岡元次郎さんのサインでもいいかな？
芳乃,なんてことをー
Ｐ,んでもって橘さんが４年後に貰います…うん、イミがワカラナイから取りあえず新しいタブレットでもあげることにしよう
芳乃,くーる勢はー、愛が重たいのでしてー？
Ｐ,晴のリクエストがめっちゃ年相応で普通でちょっと和んだわ。よし、この調子でどんどん行くぞ！ひとっ走り付き合えよ！
芳乃,はいなー
蘭子,間も無く始まる生誕祭！捧げられし生贄に堕天使の加護よ！もうすぐクリスマスだね～。プレゼント貰えるかな
飛鳥,クリスマス、果たしてどれだけの人が本来あるべきクリスマスという日を過ごしているのだろうね
蘭子,…え、飛鳥ちゃんクリスマス嫌いなの？
飛鳥,好き嫌いの２択しか答えが無いほどこのセカイは閉鎖的では無い筈だろう？…ああもう、嫌いじゃないよ。ちゃんと蘭子と一緒に祝うよ
蘭子,えへへ……ハッ！？わ、我らが翼を広げ来たるべき生誕祭に備えようぞ！クリスマス楽しみだね！それまでしっかりお仕事も頑張ろうね！
飛鳥,そうだね。…何だろう、最近益々蘭子の邪王真眼がユルくなってきてるような…
Ｐ,闇に飲まれるでごぜーますよ！
芳乃,飲まれましてー
蘭子,ひゃっ！
飛鳥,わっ！な、なんだプロデューサー達か。脅かさないでくれるかな
Ｐ,相変わらず仲が良いな中２病ズ
飛鳥,ダークイルミネイト、っていう立派なコンビ名があるんだけどね
蘭子,御使いよ、その衣は聖夜の使者か！わぁ、芳乃ちゃんサンタ姿可愛いっ♪
芳乃,ありがとうございますー
飛鳥,それで何の用だい？クリスマス関連だとは察しが付くけど
Ｐ,おお、流石に鋭いな中２イルミネイトの小担当
飛鳥,自分と芳乃さんの恰好を鑑みるといい。ついでにその呼び方も
Ｐ,トナカイ
芳乃,むふー
蘭子,同じ瞳を持つ者にブリッツェンの祝福が！わっ、プロデューサーがトナカイに！
Ｐ,トナカイ。んで、蘭子がアカシックレコード……ブックオフで売ってるかな
芳乃,モコモコですー
Ｐ,てかいつの間にこんなん着替えさせられたんだよ俺は。暖かいからいいけどさ
芳乃,もふもふですーもふもふですー
Ｐ,シカ
芳乃,はいー
フレデリカ,フンフンフフンフーン♪フフンフーン♪フレミング～♪
Ｐ,おはよう宮迫
フレデリカ,宮本だよ～龍が如くに出演してないよ～。あれ、プロデューサーなにその恰好。地デジカ？
Ｐ,ちゃうわい
フレデリカ,アハハッ☆ジョーダンだよ～。チョッパーでしょ？。どうしたの？あ、クリスマスのお仕事？今度は何させられちゃうのかな～？
Ｐ,いや、仕事じゃないんだけどさ。フレちゃんクリスマスに何か欲しいものってあるか？いや別にクリスマスのプレゼントの参考とかじゃなくて世間話的な意味でさ
フレデリカ,え、それはツッコミ待ちなの？。クリスマスに？そんな急に言われても１０８個ぐらいしか思いつかないよ～？
Ｐ,パッと欲求が波動球の式数ぐらい出るのか凄ぇな
フレデリカ,ん～…クリスマスって事務所のみんなでパーティーとかするんでしょ？
Ｐ,ああ、そのつもりだけど
フレデリカ,じゃあさ、すっごく楽しいクリスマスパーティーにしてよ☆フレちゃんそれが一番嬉しいな～
Ｐ,…それだけ？
フレデリカ,みんな楽しくてハッピー♪フレちゃんもみんなが幸せでハッピー。ハピハピでＷＩＮ－ＷＩＮだよ完璧じゃなくなくない？
Ｐ,あれ、何だろ…急に目から汗が
フレデリカ,シカさん泣いちゃダメだよ～。男の人が泣いていいのは娘の結婚式だけなんだよ～？
Ｐ,感謝の手紙でも泣いちゃ駄目なん？。フレデリカは仕事以外ではホントただの天使だな…。あれ、そう言えば芳乃どこいった？
芳乃,こちらにー
Ｐ,何で天井から降ってくるんよ
芳乃,わたくし共ににおりますとー、フレちゃん殿が素直に応じて頂けないのではと思いましてー
Ｐ,そんなこと無いと思うけど。あ、そろそろこれ脱いでもいい？暑くなってきたんだけど
芳乃,似合っておりますのにー
Ｐ,シカ
芳乃,ちなみにー、あやめ殿はニンニンジャーのぶるーれい、が欲しいそうですー
Ｐ,カクレンジャーでもいいかな
凛,何だかプロデューサーがみんなにクリスマスプレゼントを聞いて回ってる匂いがするね
未央,しぶりんはハイイロオオカミのＭ.Ｏ手術でも受けてるの？
卯月,クリスマスっていつも思ってましたけどサンタさん倒したらプレゼント袋独り占め出来ますよね！
凛,あはは、それ私も子供の頃考えたことあるよ。みんな一度は通る道だよね
未央,ゴメン、その道私迂回しちゃってるっぽい
Ｐ,歩き回ったらちょっと喉乾いたな…一度部屋に戻るか
芳乃,お茶を煎れて参りますー
Ｐ,ありがとなー。あれ、千川出かけてるのか。まぁ別にどうでもいいけど。…。……。…あの、机の下から思い切り半分見えてるんだけど
乃々,ひ、ひぃっ！み、見つかったんですけど…！
Ｐ,いやいや、森久保がはみ出してるときは構ってください
乃々,甚だ不本意な言いがかりです…森久保の事はどうか見なかったことにして静かに過ごさせてください…独りで、静かに、豊かに…
Ｐ,そんな孤独のグルメみたいな事言いながらモソモソ自分から出て来てるのは何なんよ
乃々,み、見つかってしまったので…別の場所に隠れようかと…
Ｐ,って言いながら今度は俺のデスクの下に入っていくんかい。はみ出してるはみ出してる。遊んでほしいの？
乃々,むぅーりぃー…？
Ｐ,無理じゃないけどさ。ってかそのセリフってそういう使い方だったっけ
芳乃,お茶が入りましたー
Ｐ,おお、これは良い茶葉を使っておりますな…。熱っ
芳乃,綾鷹ですー
乃々,そ、それで今度は何を企んでいるんですか…？森久保の平穏な日常はまた壊されてしまうんでしょうか…
Ｐ,人聞きの悪い。クリスマスプレゼントのリクエストを聞いて回ってるだけだよ
乃々,クリスマス…あれですか。プレゼント交換したりイルミネーション見に行ったりお城のような建物でキャッキャウフフする日ですか…
Ｐ,間違っちゃいないけどさ。んで森久保は何がほしい？写真集の仕事か？はたまた単独ライブツアーか？
乃々,今度ＣＤデビューするペーペーに何て仕事させようとするんですか
Ｐ,森久保のリクエスト、茜がバテるぐらいの仕事量、と…
乃々,そんな訳るかなんですけど！そのメモ渡してほしいんですけど！
Ｐ,あっコラ人の頭によじ登るな！
芳乃,いつもいつも、お２人のじゃれあいは楽しそうで何よりですー。あふふっ
まゆ,あら、みくちゃん
みく,まゆチャンおっはにゃー。まゆチャンもレッスン帰り？
まゆ,はい。今日はもうこの後スケジュール空いているのでＰさんを探しているんですけど…みくちゃん知りません？
みく,みくも今日はまだ見てないにゃ。床にガンプラでも置いといたら釣れるんじゃない？
まゆ,さっき試したら常務さんが釣れてしまったので…
みく,あの人ももはや最初の頃のイメージ木っ端微塵だね
Ｐ,お、みくまゆだ
芳乃,でしてにゃー
まゆ,あっ、Ｐさん探してたんですよぉ？
みく,おっはにゃー。あと芳乃ちゃんその挨拶やめてにゃ。芳乃ちゃんがにゃーにゃー言い始めたら勝ち目無いにゃ
Ｐ,何かこの組み合わせよく見かけるけど仲良いんだな。これでニュージェネがいればいつもの食事会メンバーなんだけど
みく,やめてください
まゆ,極力思い出したくないんです
Ｐ,お、おう。すまんかった。卯月がさっきこの２人探してた…とは言わないでおこう
まゆ,Ｐさん今日はクリスマス関連のお仕事なんですかぁ？
Ｐ,え、何で分かるの？
まゆ,うふ…まゆはＰさんのことなら何でもわかりますよ？
みく,芳乃ちゃんがサンタ服だからバレバレにゃ
芳乃,あやー
まゆ,みくちゃん、バラしちゃ駄目じゃないですかぁ
みく,うん、まゆチャンも最初の頃ヤンデレとか思ってたけど今思い返せばとんでもない誤解だったよね
Ｐ,まぁ、そう言うわけで
みく,どういう訳にゃ
Ｐ,クリスマスプレゼントのリクエストを聞いて回ってるんだけど、みくはカツオとマグロどっちが欲しい？
みく,どっちもいらないにゃあ！
Ｐ,んで、まゆは何か希望あるか？
まゆ,まゆですか？そうですねぇ……まゆはクリスマスをＰさんと過ごせるなら、後は特に望む事はありませんよ？
Ｐ,ハハッ、まゆは謙虚だなぁ
まゆ,うふ…控えめで健気なまゆ。Ｐさん的にポイント高いはず
Ｐ,何て言うか、晩御飯何がいい？
みく,あー、一番対応に困るパターンだにゃ
まゆ,まゆＰさんから頂けるものなら何でもいいですっ！あ、出来ればリボン。リボンがっ！
Ｐ,はいはい。まゆがリボン、みくが新巻鮭…と
みく,いつもの冗談だと信じてるけど本当に当日魚介類だったら覚えとけにゃ
凛,へぷちっ。ん…近くにブレ気味の猫ドルとへちょいのがいる匂いがするね
未央,しぶりーん、今ならまだ人の道に戻れると思うよー？
卯月,凛ちゃんのキャラも最近相当酷いです！
凛,あはは、卯月ったらまたそんな冗談ばっかり
未央,しまむーはいつだって本気だと思うけど。そう言えば２人はプレゼント何が欲しいかって考えてる？
凛,プロデューサーかな
卯月,権利書ですかね！
未央,どっちも相当ハードル高いぞぉ？
凛,そういう未央は？何か欲しいものあるの？
未央,うーん、しいて言うなら…。平穏かなぁ
卯月,いつか手に入るといいですね！
Ｐ,ドーナツに眼鏡に登山権利に日本酒にワインに八つ橋に若さにゲーマドライバーに印税に胸囲にお米……うん、幾つかサンタじゃなくて神龍に頼めよってモノがあるけど、まぁいいや
芳乃,ほー？
Ｐ,よーし、どんどん行くぞー
芳乃,トナカイ
Ｐ,ねぇいつ着替えたの？。お、いたいた
時子,アァ？…何よ、気安く声をかけてくると思ったら貴方達…ってトナカイ？
芳乃,トナカイ
Ｐ,かわいい
時子,煮込みたい
Ｐ,あ、そうそうトッキー
時子,アァ？凧糸で縛り上げられたいのかしら
Ｐ,やめて、俺煮込んでも美味しくない
時子,そうね、寸胴が汚れるだけだったわ。で、今度はどんなくだらない事を企んでるのかしら？何やらさっきからあちこち嗅ぎ回ってるそうね
Ｐ,くだらないって、単に今度のクリスマスの事でみんなに欲しいものはあるかってリクエスト聞き回ってるだけだよ
時子,ハンッ、やっぱりくだらないじゃない
Ｐ,んで時子は何か今欲しいものとかあるか？新しいエプロンとか？
時子,どうでもいいわよ。特に興味も無いわ
Ｐ,嘘つけぇ。去年あんな手の込んだミートローフ作ってきたくせに。美味かったよなぁ、あれ
芳乃,まこと、美味でしたー
時子,ほんの気まぐれに豚共の戯れに合わせてあげただけよ。あんまり図に乗らないことね
Ｐ,あれ大好評だったから多分今年もみんな期待してると思うぞ？
時子,この豚は耳をどこかに置き忘れてきたのかしら
Ｐ,よし、時子のリクエストは店で使う新しいエプロン、と…
時子,飼い主様の言葉も聞こえないのかしら、豚
Ｐ,時子がミートローフ作ってくるなら俺はどうしようか…またブッシュ・ド・ノエルでいいかな
芳乃,そなたは去年ー、原寸の樹木サイズを作ってまいりましてー
時子,聞きなさいよ
Ｐ,時子は何か食べたいってものあるか？
時子,グラタ……ご主人様の話ぐらい聞きなさいこの駄豚ァ！
Ｐ,鞭打は痛い！。痛た…超ケツ痛いんだけど割れてない？大丈夫？
芳乃,ほいみー
Ｐ,あ、痛み消えた。うーん、気のせいか時子とのやり取りに既視感があったような………ダメだ、思い出そうとすると頭痛がする
芳乃,次に参りましょうー
Ｐ,うん。でもその前にちょっとモフモフさせてもらっていい？
芳乃,トナカイ
菜々,ミンミンミミミンウーサミンッミミミンミミミンウーサミンッ♪。ウサミンパワーでー♪…肩こりが治ればいいのに……ハァ
Ｐ,丁度いいところに千葉県民発見
菜々,ファッ！？
Ｐ,こんにちは菜々さん。今年も１７歳ですか？
芳乃,こんにちわですー
菜々,あ、はいこんにちは…っても
Ｐ,菜々さんってファミコンのカセット刺すときフッって息吹きかけるタイプでした？それとも指で擦ってホコリ取るタイプでした？
菜々,あー、ナナは息フッ、のパターンでしたねぇ。マリオとかワザと半端にカセット入れてバグらせて遊んだりしましたっけ
Ｐ,今年は何度目の１７歳ですか？
菜々,ハッ！？ふ、復刻版を！復刻版をついこの間たまたまプレイしたんですよ！？
芳乃,目が泳ぎすぎですー
Ｐ,まぁ菜々さんとＰＣエンジンについて語り合うのは今度にするとして、ちょっと今お時間いいですか？
菜々,はい？ええ時間はありますけど…って、どうして芳乃ちゃんシカの着ぐるみ？
芳乃,シカ
Ｐ,ホイミ
芳乃,トナカイ
菜々,ど、どういうことだってばよ
Ｐ,と、言うわけでして。菜々さんクリスマスに何か欲しいものってあります？
菜々,ちょ、ちょっと待っていただけますか？ナナの思考回路ショート寸前なので…
芳乃,月に代わってー
Ｐ,サテライトキャノン？。ウサミンのリクエストは筋肉痛にならないお仕事か……うん、今度温泉ロケでも取ってこよう
芳乃,４日後にー来ると申しておりましたー
Ｐ,潜伏期間長ぇなオイ。よし、これで大体聞き終わったかな
芳乃,ちひろ殿と常務殿はー
Ｐ,あの人らアイドルちゃうねん
芳乃,アッキーには聞きましたのにー
Ｐ,アッキーはいいんだよ。今度ＣＤデビューするし
芳乃,なんとー
Ｐ,これで後は実現できる範囲でプレゼント用意して当日社畜サンタが配り回ればいい訳だ
芳乃,せめて聖夜ぐらいはー、そなたの心の闇も晴れれば良いのではー
Ｐ,えっ？俺の心は道頓堀ぐらい澄んでるけど？
芳乃,手遅れですー
Ｐ,んあ？
イヴ,あの～
Ｐ,うおっ、本物サンタだ。どうしたまだ１週間早いぞ？
イヴ,Ｐさん、クリスマスにサンタさんやるんですか～？
Ｐ,あ、うん。そういうことになったんだけど…。ああ、そう言えばまだイヴには聞いて無かったっけ
イヴ,はい～。私もお願いしていいですか～？
Ｐ,そりゃもちろん。イヴなら服か？ダンボールか？ボイス実装か？
イヴ,えっと～、それなんですけど～…
Ｐ,？
芳乃,もっこもこですー
ブリッツェン,はっはっはっ、役得役得
アッキー,そしてクリスマス当日だ
イヴ,は～い、皆さんプレゼント配りますよ～
文香,うしとら全巻セット……これでいつでも白面の顔芸が楽しめます…
乃々,ポエムノート…う、嬉しいような恥ずかしいような……って、既に何か書いてあるんですけど！
晴,やった！マジでボールじゃんか！でもコレ誰のサインだ？岡元…？
菜々,スーパー銭湯のチケット…すいません気を使って頂いて。早速週末にでも行きますか
未央,わっ、星型のイヤリングだ。うぅ…まともなプレゼントが心に染みるよぉ
凛,良かったね未央。私もほら、プロデューサーにしては中々悪くない趣味だよね
卯月,凛ちゃんチョーカーのつもりですけどどう見てもハナコちゃん用の首輪ですよそれ！
まゆ,結局卯月ちゃんへのプレゼントは１日常務権
みく,ちょっとイヴちゃーん、その袋からはみ出してるカジキはまさかみく用じゃないよね？七海ちゃんだよね？
ちひろ,みんな喜んでますね。大成功じゃないですか
Ｐ,何よりです
ちひろ,しいて不満があるとすれば私には何もくれないんですね、プロデューサーさんは
Ｐ,お昼にお茶淹れたじゃないですか
ちひろ,ていっ
Ｐ,痛っ
ちひろ,それにしても、サンタ役取られちゃいましたねぇ、プロデューサーさん
Ｐ,仕方ないですよ、イヴのお願いがサンタの仕事だったんですから
ちひろ,よくよく考えたらイヴちゃんのアイデンティティを真っ向から否定する企画でしたね
Ｐ,イヴからサンタの役目を奪うなんてウサギ関連の仕事を全部智絵里に回すようなもんですわ
ちひろ,最近の智絵里ちゃんの忙しさは確信犯でしたか
イヴ,Ｐさぁ～ん。そろそろ次のところに行きますよ～？
Ｐ,はいよー。んじゃちひろさん行ってきますわ
ちひろ,はい、いってらっしゃい。…って、何です？これ。…なんですかー、ちゃんと用意してくれてるんじゃないですかーこの性悪男ー
イヴ,さぁ、どんどん配りますよ～？頑張りましょうね～Ｐさん、ブリッツェン
ブリッツェン,ブモッ
Ｐ,トナカイ
常務,なに？露出過多のサンタがトナカイと着ぐるみ男にソリを引かせて事務所を走り回っている？そんな馬鹿な話があるか！仕事に戻れ！。みんな疲れてるのか……？
芳乃,終わりなのですー
