モバＰ,以降Ｐ表記。っとストップ！
茄子,さっきのぺちぺちでほとんどの幸運エネルギーを奪われてしまいまして。ほら、自販機でお茶買ってもアタリが出ません
Ｐ,アタリを引かない茄子さんとかこの世の終わりか！？
ちひろ,あの…意地悪しすぎたのは反省してますからそろそろ降ろしてくれません？
Ｐ,一見暴走しているだけに見えて真っ先に邪魔になる相手を潰しにかかってる芳乃マジ芳乃。茄子さんが無力化されたとなると、事務所の中で他に芳乃に対抗しうる存在と言えば……。…やっぱあのミステリアス幼女かな
こずえ,よんだー…？
Ｐ,呼吸をするように直接脳内に…っ！
こずえ,ちゃくりくぅー…
Ｐ,そして当然のように人の頭の上に降りる！
こずえ,あそぶのぉー…？あそべよぉー…
Ｐ,すまんけど遊ぶのはまた今度にしてくれるか。今ちょっと芳乃が
こずえ,あのよしのはねぇー…ぷろでゅーさーがたすけなきゃなんだよぉー…
Ｐ,え？
こずえ,ごめんねぇー…がんばれぇー…
Ｐ,あ、ちょ。行っちまった…まあこずえに頼るのもアレだしな。とにかく芳乃を探さねば…。あ、変なオーラ出してホバー移動してるブラック芳乃見なかったか？
幸子,え、何ですかそれ怖い
凛,え、芳乃？プロデューサーの傍にいないの？
未央,さっきしまむーと一緒にいたの見たから聞いてみたらいいんじゃないかな
卯月,芳乃ちゃんですか？もうどっかに行っちゃいましたよ
ありす,ありすです
千秋,見てないわよ。…じゃあ何か面白い事って何でよ！？
つかさ,アタシのチーズカツカレーをプレーンカレーにしていきやがった…
志希,暇っ？暇っ？ねぇねぇ構って～♪
みちる,フゴフゴフゴフゴ、フゴ、フゴゴコフゴフゴ
ありす,ありすです
乃々,知りませんけど…あ、もう行っちゃうんですか？いえ、なんでもないです…
周子,油揚げ持ってかれたーん…
晴,そんな事よりサッカーしようぜ！
仁奈,かくれんぼでごぜーますか？仁奈も混ぜてくだせー！
翠,あの…いつの間にか私のお弁当にチーズカツと油揚げが
ありす,ありすです
Ｐ,うーむ、全然見つからん。ちょいちょいしょぼい被害が出てる気がするけど一先ず後回しにしとこう。いつもなら呼んでも無いのに気付けば隣にいるのに肝心な時に…！。…。ここに歌舞伎揚げを置いて棒で支えたザルを上に設置します。一旦離れて様子を見ることにしま
芳乃,ほーっ！？
Ｐ,駆けずり回った俺の１時間１４分を返せ！。ようやく捕まえたぞ！
芳乃,あやー、捕まってしまいましてー
Ｐ,おお、本当に黒い。目が赤い。どうした芳乃イメチェンか？
芳乃,ふっふっふー、今日のわたくしはいつものわたくしではありませんー。今日のわたくしは依田の芳乃ではありませんー。ダーク芳乃でしてー
Ｐ,ダーク芳乃て
芳乃,依田芳乃ダークノワールブラックシュバルツでしてー
Ｐ,長い長い黒が被りまくっとる
芳乃,例えそなたであろうとー、今のわたくしを止める事は不可能と知りなさいー
Ｐ,今日の晩ご飯オムライスだからな
芳乃,わーい
Ｐ,…
芳乃,…。…こほんこほん。例えそなたであろうとー、今のわたくしを止める事は不可能と知りなさいー
Ｐ,リテイクしちゃったよこの子ったら
芳乃,何者にも止められないのでしてー
Ｐ,あ、逃げた！
芳乃,でーしてー
Ｐ,芳乃おいでー
芳乃,はーい。……た、謀られませんー！
Ｐ,チィッ！ちょっと惜しかったのに！。待て芳乃ー！アイツ当たり前に空飛んでやがる！
芳乃,待てと言われて待つ者はおりませんー
Ｐ,１袋２９８円のちょっとお高い歌舞伎揚げ！
芳乃,ほーっ！
Ｐ,何て美しいＵターン！
芳乃,あむあむあむあむ…ほーほー、これはこれはー
Ｐ,よし捕まえた
芳乃,あやー、何と卑劣なー
Ｐ,ダーク化したところで所詮芳乃は芳乃よ。クカカカカ
芳乃,むー、ではではー次はわたくしが鬼ですねー
Ｐ,ハッハッ、捕まえられるかな？
芳乃,いーち、にー、さーん、ごー
Ｐ,もう始まっとる上にこすっからい！
芳乃,なーなー、はーち、じゅうー。それでは追いかけましてー
Ｐ,そう簡単に捉えられると思うなよー？
芳乃,受けて立ちましょうー
Ｐ,って鬼ごっこじゃねーですよ！
芳乃,変わり身ー
Ｐ,何ぃ！？
あやめ,ニニンッ！？
芳乃,さらばー
Ｐ,待て芳乃ー！こら芳乃ー！
あやめ,よ、芳乃殿！今の変わり身教えてくだされ芳乃殿ー！
Ｐ,よーし追いついた！今度こそ逃がさんぞ悪戯娘め
芳乃,ほーっ
Ｐ,突如消える足元！？。何とか追いついたぞ！今度こそだ！
芳乃,ほほーっ
Ｐ,突如目の前に壁がゴフッ！。な、何とかまた追いついたぞ…今度こそぉ！
芳乃,ほーっ
Ｐ,強制転送されて事務所の入り口に！？。ゼェ、ゼェ…お、追いついたぞぉ…！
芳乃,ほーっ
Ｐ(テンジクネズミ),ミュイー！？
Ｐ,おのれ…あと一歩のところで空間をループされたりクロックアップされたり…特殊能力大盤振る舞いすぎだろ…！。よくよく考えると本気を出した芳乃相手に俺みたいな非力な一般市民がどう対抗しろと
芳乃,むふー、そなたの力はこの程度ですかー
Ｐ,ムカつく。あのフンス顔めっちゃムカつく
芳乃,ほらほらー、わたくしはここにおりますよー？もう諦めましてー？
Ｐ,おのれドＳスマイルよしのん…絶対ェ捕まえて時子みたいにおちょくり倒してやる…！
芳乃,そいやっ
Ｐ,突如奪われる体の自由！
芳乃,そらそらー、捕まえませんのでー？のでー？
Ｐ,ぐぎぎぎぎぎぎぎ！
芳乃,どうしましてー？わたくしはこんな近くに居りますよー？
Ｐ,チクショウ微動だに出来ねぇ…ッ！
芳乃,ふっふー
Ｐ,一切身動きが取れない状態で幼女に好き放題される屈辱…！
芳乃,幼女ではありませんー
Ｐ,年齢じゃないんだよ、こういうのは見た目なんだよ
芳乃,ちんまくありませんのでー！
Ｐ,ハハッ全然痛くねぇ
芳乃,ふんーっ！
Ｐ,鳩尾に頭突きは流石に！。ゲホ…本当に今日はどうしたんだよお前…
芳乃,言いましてー。今日のわたくしは依田の芳乃に非ずー。依田芳乃ダークノワールシュバルツブラックでしてー
Ｐ,依田芳乃ダークノワールブラックシュバルツじゃなかったっけ？
芳乃,…
Ｐ,…
芳乃,頬っぺたうにょーんの刑ですー
Ｐ,自分で名乗ったの忘れてやんのふぁめひょふぉひゃひゃ
芳乃,ふっふー、何もできまいー抗う術はありませんよー
Ｐ,一切身動きが取れない状態で幼女にめっちゃムニムニされる屈辱…！
芳乃,ちゅーでもしてしまいましょうかー
Ｐ,依田芳乃さんは大人のレディでございます！
芳乃,むーっ。そなたはもうまな板の上の鯉も同然。どうしてくれましょー
Ｐ,動け！動いてくれよ俺の体…！このままじゃ貞操が…貞操が…っ！
芳乃,念のためにお部屋の鍵をかけておきましょー。おまけに空間と次元を少々ズラしておきましてー
Ｐ,おまけの方が神の御業すぎる
芳乃,これで邪魔は入りませんねー
Ｐ,な、なにをする気だ…俺なんて食べても美味しくないぞ？お腹壊すぞ？県民性がうつるだけだぞ！？
芳乃,ふふー
Ｐ,ヤメロォ！どうして帯を解く！
芳乃,そなたのような意図的朴念仁にぱ実力行使がとってり早いのでしてー
Ｐ,やーめろぉー！！とってりじゃなくて手っ取りだぞー！
芳乃,ではー
Ｐ,た、助けてライダー！！。ライダー！？
芳乃,公式
Ｐ,芳乃だ！親の顔より見覚えのある芳乃だ！
芳乃,黒。公式
Ｐ,いつもの芳乃と黒い芳乃が睨み合ってる…何だこれ。芳乃密度高っ
闇芳乃,何故邪魔をするのですー。そなたとて思いは同じ筈でしょうー
芳乃,そなたとわたくしとでは目指すものこそ同義とてそこへの道が違うのですー
闇芳乃,そなたのやり方はあまりに温いのですー。事は急ぐ必要がありましてー
芳乃,なりませんー。かの者を信じて見守っておくべきなのですー
闇芳乃,それではあの唐変木はいつまで経っても朴念仁で居続けましてー！
芳乃,かと言って急かしてしまえばきっとあの者は益々籠ってしまいますー！
Ｐ,何だろう…気のせいかな。耳と心が痛い
こずえ,おー…たしょうのじかくがー…
Ｐ,いつの間に
こずえ,おかまいなくー…
闇芳乃,待っているだけではらちがあきませんー！そなたは甘いっ、甘いのですー！
芳乃,まずはじっくりと警戒心を解いて巣から出てくるのを待つべきですー！
闇芳乃,そんな事では年が明けてしまいのしてー！
芳乃,ならばもう１年傍におれば良いではありませんかー！
闇芳乃,あー！結局それが本音ですかー。それが本音ではありませんかー！
芳乃,いけませんかー！
Ｐ,芳乃と芳乃による芳乃論争
こずえ,なでなでがとまったぞぉー…
Ｐ,ウィ
芳乃,かと言ってこのような私利私欲に御力を行使するのは如何なものかとー！
闇芳乃,そなたがそれを言うのでしてー！？
Ｐ,夕飯前には終わるといいなぁ。おはようごさいまー
芳乃,そなー
ちひろ,おはようございます。結局昨日はあれからどうなりました？
Ｐ,うーん、話すと長くなってしまうんですが
ちひろ,掻い摘んでお願いします
Ｐ,光と闇の芳乃がクロスカウンターでベストマッチって感じです
ちひろ,ちょっと何言ってるのか分からないんですけど
芳乃,そなぁ
ちひろ,あの、心なしか芳乃ちゃんまだ様子がおかしいみたいですけど
Ｐ,ああご心配なく。昨日不思議パワー垂れ流しすぎたせいで一時的にへんにゃりしてるだけらしいので
芳乃,そにゃー
ちひろ,たれぱんだみたいになっちゃってる
Ｐ,さてと、それでは今日も一日平和に平穏に業務に励むとしますか
ちひろ,あ、それなんですけど
Ｐ,はい？。…………は？。光落ちシャイニング卯月？
アッキー,終わりだ
卯月,冷え込む日々が続きますが皆さん暖かくして過ごしてくださいね♪
久しぶりに途中から,何だこれは
