キャラの言葉使いが怪しいです,特に藤本里奈
P,トヨタが産み出した小型スポーツカーの傑作車。走ってるの初めて見たな。それ高かっただろ、美世
美世,ううん、廃車状態でうちに入ってきたのを自分でレストアしたからお金はそんなにかかってないよ
P,流石だなぁ
夏樹,Pさんのバイクだって旧車じゃないか
里奈,KAWASAKIー？ゼッツーって奴ー？
拓海,いや違うな、Z650…ザッパーか！渋いの乗っているな
P,流石拓海よく知ってるな、このマイナー車を。昔はZRX乗ってたんだけど空冷4発が欲しくていいの探してたらこいつに出会ったんだよ。というか拓海、深紅のヨンフォアでヨシムラショート管とは流石元特攻ブッコミ
拓海,P、そういうのも詳しいのか
P,完全に特拓知識です、本当にありがとうございました
拓海,別にマー坊仕様って訳でもないけどな
P,それ408？
拓海,んにゃ、398
P,おおーすげぇな
李衣菜,？？？
夏樹,さて、そろそろ行こうぜPさん
P,うし、今日は弾丸ツーリングじゃないからな、道の駅回って目的の飯屋で食って帰る日帰りだからな。信号に捕まっても無茶するなよ、置いて行かれても曲がるところで俺が待っとくからな。装備はきちんとしてるなー？暑いだろうから気分悪くなったらすぐに合図出せよ。安全運転で、無事故無違反で帰るぞ
全員,はーい
P,美世、最後尾は任せたぞ
美世,了解！
P,じゃー出発だ
美世,あ、李衣菜ちゃん
李衣菜,はい？
美世,はいこれ
李衣菜,帽子？
美世,うん、オープンカーは直接日光が当たるから熱中病になりやすいからね
李衣菜,へぇー、ありがとう美世さん
美世,気分が悪くなったらすぐに言ってね？
李衣菜,大丈夫ですよー。ねぇねぇ美世さーん
美世,どうしたの？李衣菜ちゃん
李衣菜,皆のバイクのことを教えてよー
美世,そうねぇ、まず夏樹ちゃんのバイクはSUZUKIのGSX250KATANAっていうバイクね
李衣菜,カタナカタナって言ってるから知ってたけど、本当にそんな名前のバイクなんだ
美世,元々1980年くらいに販売されてあの独特なデザインが受けて凄く人気のあるバイクなんだ
李衣菜,へぇー
美世,次に里奈ちゃんのバイクはYAMAHAドラッグスター250。クルーザータイプ、アメリカンとも言われるバイクで、名前の通りアメリカで作られているスタイルのバイクなんだ
李衣菜,ハーレーってやつ？
美世,そうそう、アメリカって直線の道が多いからゆったり直線を走るように作られたバイクなんだ。２人のバイクは250ccの車検のいらないバイクで、同じ名前で同じデザインのバイクが400ccと1100ccとかもあるよ
李衣菜,だからなつきちは大型取ったら1100乗りたいって言ってるのかー
美世,拓海ちゃんが乗っているのはHONDAのドリームCB400Fourだね
李衣菜,あれ？HONDAって車の会社じゃなかったっけ
美世,そうそう、車でも有名なメーカーだけどバイクも有名なんだ
李衣菜,へぇーそうなんだー
美世,ちなみに夏樹ちゃんのSUZUKIも車メーカーだよ？
李衣菜,そうなの？私ってそんなに詳しくないから知らなかった
美世,それで拓海ちゃんのCBは70年代のバイクだね
李衣菜,古っ！！40年前のバイクだよ！！
美世,うんそうだね。でも今のバイクにないあのデザインとか色々あって今でも凄く人気があるんだよ
李衣菜,へぇぇー
美世,PさんのバイクはKAWASAKIのZ650ってバイクだね。通称ザッパーとか言われているバイクなんだ
李衣菜,これも古いバイクなの？
美世,えーっと確か750RSと同世代のバイクだったような気がするから70年代かなぁ
李衣菜,Pさんのバイクも古いなー、そのザッパーっていうのも人気あったの？
美世,ううん、そうでもないの。人気がなかったわけじゃないけど同世代にZⅡっていう凄い人気のあるバイクがあったからその陰に隠れてたかな確か
李衣菜,ゼッツーってさっき里奈ちゃんが言ってたやつ？
美世,うん、凄く人気のあるバイクで今だったら程度がいいものなら200万とかするんじゃないかな？
李衣菜,200万！？バイクってそんなに高いの？
美世,ううん、今はもう作られてないバイクだからね、どうしても高くなっちゃうんだ
李衣菜,へぇー。美世さんのこの車もいいよね！オープンカー気持ちいい！
美世,ありがとう！あたしも気に入っているんだーこのトヨタS800
李衣菜,さっきPさんが凄い感動してたけど、これもやっぱり古い車なの？
美世,うん、この車は1965年に作られた車だよ
李衣菜,50年前！！？半世紀も前の車に乗っているのかー。ねぇ美世さん、昔の車って不便じゃないの？
美世,確かに不便だけど、この時代の車は今の車にない良さがあるからね！
李衣菜,美世さん、凄くロックかも！！
美世,あはは…あ、Pさん達が道の駅に入っていったよ、休憩かな？
P,あーあっちぃ、バイクから降りるとこの炎天下はキツイな…
拓海,ほんっとクソあちぃな…
P,改めてバイクって真夏の昼に乗るもんじゃねーよな…
拓海,まったくだな…
夏樹,二人のバイク、空冷だろ？大丈夫かよ
美世,いやー流石にこの位で壊れるほどじゃないよー
李衣菜,皆ージュース買ってきたよー
里奈,りいなありあり～☆
夏樹,お、アイス売ってるぜ。なぁPさん
P,分かった分かった、ほらこれでみんなの分買ってこい
夏樹,さっすがPさん！
P,まぁお前らのお蔭て飯食わせてもらってるからな
美世,無理しないでよ？Pさん
P,流石にアイスおごった位で無理するような生活は送ってないって
美世,いやPさんのことだから皆のガソリン代とか今日の経費を全部出しそうだし
P,ナンノコトカナー
美世,もう、ダメだからね。そういうのは
P,へいへい
李衣菜,Pさーん！アイス買ってきたよー！
拓海,ほら、美世もだ。バニラでよかったか？
美世,うん、ありがとう拓海ちゃん
P,よーし、これ食ったら行くかー
夏樹,あ、しまった。信号に捕まった。あーあ、置いてかれちまったよ
李衣菜,なつきちー
夏樹,おう、だりー。楽しんでるか？
李衣菜,いやー凄く楽しい！私も早く免許取りたい！
夏樹,おーそいつはいいな、だりーも免許取ったらまた行こうぜ
李衣菜,うん！
夏樹,青になったな、じゃあまたあとでな！
李衣菜,ばいばーい。美世さん美世さん
美世,ん？どうしたの
李衣菜,私も早く免許が取りたい！
美世,ふふ、なら今度色々と教えてあげるね
李衣菜,ほんと！？わーい！
美世,あたしも昔はこんな感じだったなぁ
P,目的地に、着いたぞ
拓海,ここがPの言ってたうまい飯屋か
P,俺も初めて来た
夏樹,おいおい、大丈夫かよ
P,まぁグルメレポーターのHさんが言ってたから美味いさ、多分
里奈,とりま、いこいこ～☆
美世,そうだね、入ろうよ予約も取ってんでしょ？
李衣菜,さぁさぁ！早く行こうよ～お腹減ったよ～
P,お前何もやってないだろ…。…美味かったな、マジ宝石箱だったわ
夏樹,ああ、凄く美味かった
拓海,美味かったのは美味かったが、あれ何の料理だ
美世,さぁ…？
李衣菜,和食のような中華のような洋食のような…
里奈,美味しかったからいいじゃんー☆
P,創作料理って言えばなんでもいいって訳じゃねーぞ、美味かったけど。なんかしっくり来ないけど、まぁいいや
夏樹,じゃー帰るかー。Pさんまた先頭？
P,んーどうするかな、このまま流れで解散でもいいけど
拓海,そうだなー、適当に休憩入れて、あとは流れで解散だなー
P,んじゃ出発するぞ
李衣菜,もう終わりかぁ、楽しかったなぁ
夏樹,いやー久々のツーリングは楽しかったなー
P,たまにはいいな、こういうのも
李衣菜,うぇ～ん、Pさぁ～ん
P,ん？どうしたりい…ゲッ！
夏樹,あーあ、日焼けしちゃって
P,お前、オープンカー乗るときは普通日焼け止めとか塗るだろ…
李衣菜,そんなの知らないよ～
P,あああ、どうしよう…俺がちゃんとついてたのに…
美世,ごめんね、Pさん。あたしの配慮が足らなくて
P,いや、美世が帽子かぶらせてなかったら顔まで日焼けしてたから…。…よし！李衣菜お前仕事ではしばらく長袖な
李衣菜,ええー！暑いよぉ
夏樹,別にいいんじゃないか？日焼けしてても
李衣菜,そうだよー！
P,いや、そのすっげー中途半端な日焼けの仕方はダメだろ…。水着での日焼けならともかく
李衣菜,じゃあ水着着て屋上で日焼けしてくる！
P,おいバカやめろ
夏樹,やれやれ
