ゾンビたち,ｳｧｧｧｧｧｧｧｧｧｱｱｱｱｱ!!!!
実況,元佐倉選手は無事地下の部屋へ…さてあと10分弱、安達選手はどんなプレーを見せるのか！？。ここで安達選手、自らを死に至らしめた鉄パイプを手に持った！。そして。扉を叩くゾンビの一体に向けて強烈なフルスイング！！SB柳田選手を彷彿とさせるスイングです！！！
解説,佐倉選手の教え子を脅かすゾンビ、安達選手にとっても敵のようですね
実況,安達選手、主審時代の不器用さからは考えられないフルスイングで、ゾンビ達を次々と鎮めていきます
解説,…あれっ、安達選手のポケットから何か落ちたようですよ…3枚ほど
実況,そのようですね…拡大してモニターで確認してみましょう。あっ…。佐倉教諭の生前の写真だ
解説,佐倉選手のこと本当に好きなんですね…でも勝手に写真くすねてくるのは感心しないなぁ。私審判だったらイエローカード1枚出してる
実況,ですが恐らく、佐倉教諭が写っていた為に持ってきた写真、その中の一枚が。先ほど元佐倉選手のゾンビを正しい道に導いたのですから、結果論として良かったのではないでしょうか…
解説,うーん…まぁいいか
実況,さて、副審が安達選手にそろそろ事故現場に戻るように促しています。そして安達選手、ちょうど扉の前にいた全てのゾンビを倒したようです！
解説,いかにもやりきったという顔をしてますね。つい数時間前まで、ゾンビ達に追いかけられて半泣きで逃げてたとは思えない活躍でした
実況,副審が、安達選手に事件当時の体勢になるよう指示しています
解説,副審は堪えてますけど、他の審判は泣いてますね
実況,副審、安達選手としっかりと握手を交わしました…続けて他の審判とも
解説,安達選手、生前の行動が残念だっただけに、ロスタイムをこれほど勇敢に戦い抜くとは思いませんでした。てっきり25分泣き喚くだけと思っていただけに、いい意味で裏切られました
実況,元佐倉選手は地下の部屋に無事到達し、そして扉の前には動くゾンビはいません。学園生活部を救ったのは佐倉教諭、だけでなく、この安達選手でもあるとはっきり言える、そんなプレーでした
解説,安達選手、あの世では佐倉元選手とちゃんと話せるとよいですね、新天地で幸あらんことを
実況,まもなく試合終了です…
