みほ,最近悩みを持つ戦車道選手の前に不思議な妖精が現れるらしいです
エリカ,次期隊長の打診を西住隊長から頂いた。しかし、私に黒森峰の隊長が務まるだろうか。なにより……大洗相手に、元副隊長相手に勝てるのだろうか。大学選抜戦以降、隊長はなんだか吹っ切れたような、肩の荷が下りたような顔をしている。赤星さんも以前とは違って戦車道に熱心に取り組んで着実に力をつけている。……癪だけど、それら全て元副隊長のお蔭だわ。私は本当に元副隊長に勝てるの？
ミィコ,♪のーれやう゛ぁんはぜだんせんう゛ぃー
アーミン,♪えーしゅれぽるかれう゛ぇるたーりー
ミィコ,♪せんかんさいう゛ぁいっかみえーろんてぃー
継続一家,♪さっきぃぇるう゛ぇんぽーるっか！
エリカ,！？
アーミン,♪しーなおりっぷらたすらいねってぃん
ミィコ,♪しーなおほーよたほんぎぃえん
アーミン,♪かるやらそいかきてぃえったーせん
継続一家,♪さっきぃぇるう゛ぇんぽーるっか！
エリカ,あ、貴女たち一体どこから入ったの！？
ミカフキン,風と一緒に流れてきたのさ
エリカ,訳が分からないわ！物取りか何か！？とにかく警備に電話して……
ミカフキン,それは賛同できないな。そして何より君のその疑り深い性格にも賛同はできないな
エリカ,何を言っているの？
ミカフキン,物事を見る際、疑ってかかるというのは大事なことだよ。でも度が過ぎてはいけない。自分の実力を見る時も同じじゃないかな
エリカ,……
ミカフキン,自分の実力を把握することは中々難しいことではあるけどね。過度に自信を持ちすぎてもいけないし、その逆もまた然りじゃないかな
エリカ,そんなの分かってるわよ。でも私に実力がないのは事実じゃない！隊長や元副隊長みたいになんか出来っこないわよ！。……
ミカフキン,なんだか不服そうな顔だね。そんなあなたに良いことを教えてあげよう
エリカ,……何よ。自分なら出来る……
ミカフキン,もしどうしても自信が持てないなら誰かに励ましてもらえばいいんじゃないかな
エリカ,誰かに励ましてもらう
ミカフキン,例えば隊長さんとかね。彼女なら君の実力をよく分かっているだろうし、何より貴方にとって適任じゃないかな
エリカ,隊長に相談か……ち、ちょっと怖いけど頑張ってみるわ
ミカフキン,それに踏み込んでいくちょっとの勇気が貴方の前にある壁を壊す最初の一歩さ
エリカ,勇気を出して相談する。何だかちょっと気分が軽くなったわ。その、あっと……あ、ありがとう
ミカフキン,その素直な一言をもっと多くの人に伝えられるようになればより良い選手になれるんじゃないかな
エリカ,よ、余計なお世話よ！
ミカフキン,さぁ、もう私たちは行くよ。アーミン、ミィコ次の風はどこへ向かって吹いているのか……。行くぞ！
