島村卯月,響子ちゃん、今日は来てくれてありがとうございます♪
卯月,私がウェイターさんに耳打ちをすると、突然流れ始めるバースデーソング！
美穂,わあ～
智絵里,神様がくれた時間は零れるあとどれくらいかな
卯月,それは死ぬときに流す歌ですね
響子,死ぬときに流す歌ではないです
卯月,そうしてみんなで歌っている間に、運ばれてくるバースデーケーキ！
美穂,うんうん！
智絵里,刺さっている65535本のロウソク！
響子,カンスト
美穂,うんうん！
響子,少しは疑問を持ちましょう？
智絵里,アイドルは歳を取らないので、誕生日になると年齢にマイナス1の補正がかかります。その瞬間にロウソクを発注することでオーバーフローを
響子,解説しないでいいです！！！
卯月,どうですか、このプラン！
美穂,うん、本当に嬉しいな……！0点！
響子,ブレないですね
卯月,じゃあどうやって祝えばいいんですか！
響子,逆ギレでは！？
美穂,まず、サプライズは本人に言うものじゃないと思う
卯月,！！！
智絵里,！！！
響子,私が！！！さっき！！！言いました！！！！！！
美穂,そもそも、誕生日に向けての話し合いに本人を呼ぶのはどうなのかな……？
卯月,！！！
智絵里,！！！
響子,それも言いましたし！！！
美穂,というか、私の誕生日よりみんなの誕生日の方が近いし、9か月後のことをどうして今話すの？
響子,それに関しては最初に言ってるのに！！！！！
卯月,目からウロコです……！
智絵里,はい……！
響子,酷くないですか？
美穂,わかってくれて嬉しい……！
卯月,じゃあ、この中で美穂ちゃんの1つ前に誕生日を迎えるのは……
美穂,12月
智絵里,6月
卯月,4月
響子,8月
卯月,……響子ちゃん
響子,……え？
卯月智絵里美穂,どんなサプライズがいいですかっ
響子,平和に過ごさせてください！！！
