モバマスより白坂小梅や小日向美穂,たぬき
美穂,……プロデューサーさん、大丈夫かなぁ……。狸。…………。ほんのりあったかい……。寂しいよ、プロデューサーさん。早く起きてください……。あ、おヒゲがちょっと伸びてる。良かった、ちゃんと体も生きてるってことだよね。人
卯月,プロデューサーさんが仮死状態ってほんとですか！？
響子,わ、私たちに何かできることはっ！？
幸子,ボクのカワイさを補給すれば動き出すんじゃないでしょうか？試してみる価値はありますね！
美穂,あっ
卯月響子幸子,あっ
卯月,美穂ちゃんが
響子,プロデューサーさんに添い寝して
幸子,ほっぺを撫でながら、顔を近付け……て……
卯月響子幸子,…………///
美穂,あ、あの…………ちが
卯月響子幸子,お、お邪魔しましたーーーーーーっ！！
美穂,違っこれはっ、聞いてぇ～っ！！
Ｐ,
あの子,にぎやか
小梅,着いた……。うん……じゃあ、チャイム押すね……。ううん……絶対、いるはず……。だらけ仙人は、絶対に家を出ないから……居留守、かな……。気配は……あるんだけど……。ちょっと……待ってて、ね……。〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓〓。んぇへへぇ……色んな声……とか、ラップ音……とか、吹き込んでみたの……
？,んあぁ～～～い…………うるさいなぁ～…………
小梅,あ、仙人さん……こんにちわぁ……
？,あぁ、霊感ちびっこじゃん
小梅,仙人さんの方が、小さい、よ……？
？,それもそうかぁ……ていうか、今忙しいんだよねぇ。もうちょっとで歴戦イビルジョーが狩れるとこなんだよー。……なんか、もう一人いない？
小梅,うん……あのね。今日は、お願いがあるんだ……。聞いて欲しいな……仙人さん、いや……杏ちゃん
杏,えぇ～……杏、出るべきじゃなかった気がするよ……
奈緒,二人とも今頃なにしてんだろーなー……
凛,ここで待つしかないよ、私達は
加蓮,まったく。体を大事にしろってさんざん私に言っといてこれなんだから
凛,でも、なんとかできるみたいで良かった。プロデューサーもこれでちょっとは懲りたらいいけど
奈緒,あの人はもっと怠けるくらいでちょうどいいんだよっ。今こうやって寝てるみたいにさ。……ってか今更だけど、ここにほっといて大丈夫なのかな？仮眠室って誰でも入れるだろ？
凛,誰かがイタズラしないかって？
奈緒,そこまでは言わないけどさぁ、なんつーか防犯？的な面でさ……
加蓮,大丈夫でしょ？いつも見張ってくれてるみたいだし
奈緒,？見張るって誰が
加蓮,誰ってあの子が
奈緒,あの子ってどの…………。………………それひょっとして小梅がいつも言ってる
加蓮,うん、ほらそこいるじゃん。やっほー♪
あの子,♡
奈緒,。てか加蓮お前、見えっ、見えっ……！？
加蓮,うん、小梅ちゃんほどはっきりとじゃないけど。ほら私ちっさい頃から病院いたし、なんかそーゆーの慣れてるんだよねー
奈緒,ま、マジかよぉ……
加蓮,ところで……りーんー？どうして部屋の隅っこにいるのかなー？
凛,…………………………なんでもない
加蓮,あれぇ？凛ってそういうのダメなタイプだったっけぇ。ねえ奈緒はどう思う？
奈緒,どうもこうも、ひゃあっ！？今誰かあたしの背中触ったか！？
加蓮,あ、こらこら。あんまりイタズラしちゃダメだってばー
凛,私ジュース買ってくる
奈緒,あっずるいぞ凛！あたしも……って開かねぇ！？
凛,ジュース買うだけだから！すぐ戻るから！その子の分もちゃんとお供えしてあげるから！
加蓮,……そのドア引くんじゃなくて押すんだよ？
あの子,ｳﾝｳﾝ。やっぱりにぎやか。話しかけられて嬉しかった
藍子,わぁ、ほんとにぐっすりですね……
未央,昏睡状態っていうのかなぁ。うーん、不思議なこともあるものですなぁ……
茜,むむむ……！
未央,茜ちん？
茜,責任感ですっ！！。思えばプロデューサーは、日頃から己の運動不足を嘆いておられましたっ！。私がもっと早くコーチになり、プロデューサーの摂生とトレーニングを手伝えていれば……っ！！。無念っ！！日野茜、一生の不覚ですっ！！
未央,まあまあ茜ちん、それは次への反省ってことにしてさ！
藍子,今は、ゆっくり休ませてあげましょう？
未央,……それにしても私、プロデューサーの寝顔って初めて見た気がするなぁ
茜,いいですね、寝顔！グウグウって感じで！！よく寝ています！！！
藍子,私も初めて見ました♪あ、そうだ……撮ってみませんか？
未央,おっ、いいねぇあーちゃん！じゃ私のスマホ使っていいよっ
茜,記念写真ですね！！
藍子,はい、じゃあ撮りまーすっ
未央,いえーい！
茜,だーっ！！
藍子,ぱしゃりっ♪
未央,どうどう？寝顔with未央ちゃん＆茜ちん撮れたー？
藍子,ええ、とってもよく撮れましたよ♪
未央,どれどれー……
茜,賑やかな写真ですね！！
未央,ホントだねっ！いっぱい映って……。…………いっぱい映って…………
藍子,なんだか、みんな映りたかったみたいですねっ
未央,
あの子,写真、いいよね……
杏,ふ～～ん、大変なんだねー。あ、剛刃球出た。杏ガンナーだからなー。こんなことで運使いたくなかったよー。へぇ～～～～
小梅,だから杏ちゃんに、だらけ方を教えてほしいの……
杏,そう言ってもなー。そういうのって人に教わるものじゃないし……。なんだったらもうちょい幽霊ライフ楽しんでもいいんじゃない？。ほらぁ、働く為に戻ろうとしてるんじゃん。そういうの良くないよー。もっと気楽にいこうよー
小梅,でもね、杏ちゃん……。プロデューサーさんは、ちゃんと、だらけ直そうとしてるんだよ……。確かにお化けには学校も、試験もなんにもないし、夜は墓場で運動会だけど……。ゲームをやったり、漫画を読んだりは、できない……から
杏,……
小梅,プロデューサーさんが起きたら、一緒にゲームとか、できるよ……。悪くない取引だと思う……な……
杏,それは……ぅぁーほっぺたぷにぷにするなー。うーん……もう家にも上げちゃったしなぁ……。それじゃあ、たたかうマヌカハニー一袋で手を打つよ。ただし……。だらけの道は、甘くないよ
芳乃,そなたーよいこだねんねするのでしてー
紗枝,い～まもむかしもかわりなく～♪
蘭子,い、いかなる寓意を秘めし詠唱か……！？
紗枝,せっかくやさかい、子守歌でも歌ったろかなぁ思いましてな～
芳乃,これを機にー、十分に眠るべきなのでしてー
紗枝,え～え～な～え～え～な～、に～んげんってえ～え～な～♪
芳乃,たのしいらいぶにーぴかぴかじゅーえーるー、そなたのかえりをまっていましてー
紗枝,うちもかえ～ろ、おうちへかえろ～♪
芳乃,でーんでーんでんぐりがえってー
紗枝,ばいっ
芳乃,ばいっ
紗枝芳乃,ばいっ♪
蘭子,はゎわわわわわ……///
あの子,催眠音声だコレ
杏,じゃあ、お兄さんにはこの服を着て貰うよ
小梅,わぁ、似合ってる……♪
杏,それは杏特製のだらけ養成ギプス……どんな働き者でも、体が怠惰を求めるようにできているんだよ。目標はギプス無しにその域に到達すること……。それじゃ、いくよ。地獄のだらけ訓練……！
Ｐ,
美嘉,まだ戻ってない、か……。いい機会なのかもしれないけど、こっちは気が気じゃないっての
Ｐ,
美嘉,ってか、唇荒れてるし。ただでさえいつも無理してるのに……男のヒトってこういうの気にしないのかな。リップクリームくらい塗ればいいのに。あ、そだ。あった。これくらいはしといていいよね。どーせ自分じゃやらないんだろうし……。よし、っと――――――。――――え、あれ？。これアタシので……今それ塗って……唇に……。か、か、かん、かっ、間接……っっ。お、落ち着け、落ち着けアタシ……っ。これは事故、わざとじゃない、ノーカン！。本人、意識なんて無いんだし……。…………意識無いなら、いっそ…………。はぁっ！？ダメダメダメ！そんなのフェアじゃないし！？。でも試しに……？いや試しって何！？ああでも、一瞬ちょっと、マネだけでも……？
奏周子志希フレ,じーーーーっ
美嘉,
奏,気にしないで
周子,そのまま
志希,最後まで
フレデリカ,続けたまへ
美嘉,す、するかぁっ！！
あの子,なんかくすぐったい
杏,復唱！働きたくない！。不労所得万歳！。口で労働意欲垂れる前と後に働きたくないを付けろ！。十分間に一回だらけ、一秒間に十回だらける！。ひとつお手本を見せてあげるよ
楓,……。……。……。……
Ｐ,
楓,……♪。……
Ｐ,
楓,……ゆっくりお休みになって下さいね
あの子,意外と大人しい。何やらただならぬ空気
楓,あなたも無理はしないでね？
あの子,うわびっくりした
杏,ふぅ……習熟したみたいだね。今のお兄さんなら屍生人ゾンビ
小梅,わぁ……プロデューサーさんの顔、いい感じにユルくなってる……
杏,じゃそーゆーことで……杏、疲れたし寝るよ。あ、お礼の飴待ってるからね。ぐうぐう
小梅,ただいまぁ……
こずえ,らん……らん……らぁーん……。こうめー……ぷろでゅーさー……おかえりー……
芳乃,だらけの道は修めたのでしてー？
小梅,うん……すごかった、よ……
芳乃,それでは、蘇生に入るのでしてー。しかしながらー、ただ魂を入れるだけでは不足かとー。そなたの体からは、長く魂が抜けておりましたゆえー、生命力も落ちておりますー。仮死状態が長く続けばー、まことの死に繋がってしまうのでしてー。体を蘇らせる、相応の手段が必要となりまするー。ご安心なされませー。既に専門の方にお頼み申しておりますゆえー
小梅,プロデューサー、さん……。短い間だったけど……幽霊のプロデューサーさんと一緒にいられて……とっても楽しかった……。私、忘れないね……今日のこと、プロデューサーさんのこと……。そうだった……んへへ
芳乃,それではまずー、そなたの魂を体に入れまするー。はーっ。あそーれーっ。続いて、体の蘇生に入りましょー。心臓マッサージをばー、よろしくお願いするのでしてー
Ｐ,というわけで目覚めました
美穂,プロデューサーさん！！
Ｐ,おっとっと
小梅,えへへ……やっぱり、生身の方がいい……ね。お肉があって……
Ｐ,……ところでなんか唇が妙にうるおいリップなんだけど、誰かなんかした？
美嘉,知らない
Ｐ,美嘉？
美嘉,知らないったら！
周子,……ま、今後はほどほどに働いてよね。ぶっ倒れられたらみんな困るんだしさ
Ｐ,肝に銘じます、申し訳ない。じゃあ、今日のところはとりあえず帰るわ。お疲れさ……。……あれ？そっちの子、見ない顔だな。迷い込んだのか？別部署の子？
美穂,え？
周子,そっち誰もおらへんけど
Ｐ,え？いや確かに、小柄な女の子が……。………………
小梅,プロデューサーさん、見えやすくなってる……ね♪
一同,
あの子,♡
Ｐ,だらけ仙人をスカウトしたい
芳乃,難儀なことかとー
小梅,無理だと思う……
Ｐ,そうかなぁ。素質はあると思うんだけど
小梅,杏ちゃんが、やりたがらない……と思う
Ｐ,いや実はこないだ飴のお礼しに行ったついでに名刺渡したんだけどさ。まあ２秒で断られたよね
芳乃,必然なのでしてー。それでもなおー、かの者をあいどるにしたいと欲すならばー……
Ｐ,おっ……何か名案が？
芳乃,はぴはぴ仙人殿に頼むしかないのでしてー
Ｐ,新たな仙人！？
芳乃,はぴはぴ仙人殿は、ここより東に二駅の住宅地におりましてー
Ｐ,何なの、東京って実は結構仙人いるの
芳乃,いかようになさるかは、そなたにお任せいたしますー
小梅,大変なんじゃない……かな……
Ｐ,うーん……色々考えておこう
芳乃,あまりご無理をなさらずー。わたくしはこれよりー、おせんべい限定たいむせーるに参りまするー
小梅,私もそろそろ、借りてた映画観るね……
Ｐ,ああ、お疲れさん。ふぅ～……。ほぉ～……。……よし溜まった仕事一気に片付け。グワーッ突然謎の筋肉痛！！
