ミリP(以下P),ただいまー
P,あー、そ、そっか！結婚してるんでした、うんうん
杏奈,それより……顔洗ってきて……？
P,り、了解！。じゃあ行ってくるよ
杏奈,あなた……はい、これ……
P,こ、これはまさか、伝説の愛妻弁当！？
杏奈,ふ、普通のお弁当だよ……愛妻とか、つけないで……恥ずかしい……///
P,そ、そうか。悪い悪い、ありがとう杏奈
杏奈,今日は……遅くなりそう……？
P,うーん、昨日と同じくらいには帰れると思うけど、遅くなりそうなら連絡するよ
杏奈,ん……わかった……行ってらっしゃい……あなた
P,ああ、行ってきます。うーん……
杏奈,ふん……ふふん……♪
P,杏奈、何か手伝おうか？
杏奈,ううん……あなたは座ってて？
P,杏奈がそう言うなら、にしても今日はやけにご機嫌だな？
杏奈,う、ううん……？そ、そんな事……ないよ…？
P,そうか？やけに鼻歌とか歌ってるし、怪しいなぁ～？
杏奈,うぅ……そういうとこだけ……鋭いの…ズルい…
P,はっはっは。伊達にプロデューサーはやっていないからな。さぁ、白状してもらおうか～？
杏奈,え、えっと……明日……お休みでしょ？
P,ああ、そうだな。明日は仕事休みだよ
杏奈,だ、だから…ね？……んと……普段できない分。今日は……いっぱい、あなたに甘えたいかも、なんて……えへへ…///
P,へ、へぇ～、そうなんだ
杏奈,どうしたの……？自分で……自分の頬っぺた叩いて？
P,ち、ちょっと、たるんでるから気合いを入れようと思ってな！は、ははは…
杏奈,変なの……？ふふっ、ご飯もう少しだから…待ってて？
P,お、おう！待ってる。はぁ、特にパッとしない番組ばかりだなぁ……
杏奈,お風呂、上がった……ふぅ
P,お、おう、そっか
杏奈,なんの番組……見てたの……？
P,へ？あ、いや、えっと…特に何も
杏奈,面白いの……ない……？
P,そ、そうだな。というか、杏奈ちょっと近くないかな？き、距離が
杏奈,別に……普通……？
P,そ、そう……
杏奈,うん……
P,に、にしても面白い番組無いなー！うーん、このチャンネルも無い感じだし
杏奈,じゃあ……テレビ……消した方がいいかも……
P,お、おおっ、そうだな！電気代も節約になるし……よしっ。……えーと
杏奈,……。ね、ねぇ……？
P,えっ？
杏奈,さ、さっきから、心臓の音……凄い……よ？ドキドキって……杏奈にまで伝わってくる……
P,そ、そうかな？
杏奈,ん……もしかして……。こ、こーふん……してるの？
P,ち、違っ、俺そんなつもりじゃ…
杏奈,そうなんだ……
P,ふ、ふわぁ……も、もう、俺寝ようかなー？
杏奈,もう……寝ちゃうの？
P,う、うん！なんか眠たくなってきちゃって
杏奈,そっか……それなら仕方ないね……
P,杏奈は？
杏奈,杏奈……ちょっと準備ある……だから、先に寝てて？
P,お、おう？それじゃ先に寝てるよ。……
杏奈,あなた、あなた……っ
P,う、うん？なんだ杏………なっ！？
杏奈,ど、どうかな…？
P,ど、どうって、杏奈お前その格好は……
杏奈,今日、家にいたら……小鳥さんが来て……その時にこの衣装、貰ったの……。サイズ合うか心配だったけど……問題、ないみたい…♪。に、似合って……る？
P,いや、まぁそれは…に、似合ってると思う……けど、なんでその衣装を
杏奈,嬉しい……ねぇ、あなた…？
P,な、なにかな？
杏奈,杏奈達、結婚して……少し経ったし……そろそろ……ねっ？
P,い、いや……ねっ？って言われても
杏奈,うぅ……なんで、こんな時は鈍感なの…？
P,わ、悪い……
杏奈,杏奈……欲しいの…
P,欲しい？
杏奈,あ、赤ちゃん……
P,
杏奈,杏奈、あなたとの……赤ちゃん欲しい……
P,あ、あかっ、赤ちゃん！？
杏奈,ダメ……？
P,だ、ダメに決まってるだろ！？杏奈はまだ14歳……
杏奈,ダメ…なの？なんで……？
P,い、いやー！そ、それはその……
杏奈,も、もしかして……杏奈と……したくない？
P,あ、いやいや、ちょっと待て！
杏奈,や…やっぱり……そうなんだ……ｸﾞｽｯ
P,ち、違うよ杏奈、別に杏奈がどうこうという話ではなくて
杏奈,頑張って……ゆーわくする為に、衣装着てみたのに……。ｸﾞｽｯ…最近なんだか、よそよそしいし……変だと思ったの……。もう……杏奈の事……興味ないんだ…
P,杏奈……すまなかった
杏奈,あっ…
P,俺が知らないうちに、寂しい思いをさせてたんだな……本当にごめん。でも、杏奈の事が嫌いになったわけじゃないんだ
杏奈,うん…
P,ただ……ただ、ビックリしただけで、俺は杏奈の事いつでも魅力的に感じてるさ
杏奈,えへへ……
P,ただ、その……あ、あかっ、赤ちゃん？とかはまだ早いかな？と思ってな
杏奈,どうして……？
P,それはその～……も、もう少し杏奈と二人きりで過ごしていたいというか、二人でゆっくりしていたいというか
杏奈,ふふ……もう、あなたってば…///
P,わがままだというのはわかってる。だけど、杏奈と二人きりの時間も大切にしたいんだ……わかってくれるか？
杏奈,ん……わかった…
P,よし、それじゃあ寝ようか
杏奈,あっ……待って…？
P,ん？
杏奈,寝る前に……んっ…
P,へっ？い、いや、杏奈？
杏奈,おやすみのキス……して？
P,た、耐えた……俺は耐えたぞ。何も手は出していない…
杏奈,ふわぁ……んん……
P,おお、杏奈。おはよう
杏奈,ん……おはよ、ございま……ふぇっ！？
P,杏奈？
杏奈,な…なんで……？なんで、杏奈の部屋にプロデューサーさんが……いるの？
P,えっ、お、おい！杏奈、お前今何歳だ？
杏奈,え、ええ……？んと、14歳…です
P,あ、杏奈……よがっ、良がっだぁぁぁ……
杏奈,ぷ、プロデューサーさん……どうして泣いてるの……？。んと……今まで、ご迷惑をおかけしました……
社長,いやいや、望月くんが元に戻って何よりだよ。うんうん
小鳥,本当ですね。プロデューサーさんもお疲れ様でした
社長,おおっ、そうだね！キミもよくやってくれた、アイドルの記憶を取り戻すために身体を張るとは、やるじゃないかキミィ！
P,あ、あはは、いやそんな俺はたいした事してませんよ
杏奈,プロデューサーさん…
P,うん？どうした、杏奈
杏奈,んと…一週間……ありがとうございました…
P,っ……ああ、いや気にするなよ。ただいまー。あっ、いけねっ。この前から元に戻ったんだった、一週間だけの生活とはいえ慣れって抜けないもんだなぁ。あー、今思うと毎日玄関で女の子が出迎えてくれるなんて、めちゃくちゃ良い体験したな俺。もう少し堪能しとけば良かったかな？ははっ、なんてな。さて、ご飯食べるか。自炊なんて出来ないし当然コンビニ弁当なわけですが。いただきます……もぐ……んん？。なんか…あんま、美味くない。はぁ、ご飯はもういいや……風呂入ろ。うん？お客さんか？はーい、はいはい
杏奈,ん……ただいま……あなた…♪
P,えっ！？あ、杏奈…？
杏奈,帰って……きちゃった……♪
P,あ、杏奈、もう元に戻ったんじゃ……？
杏奈,えへへ……だから、言ったでしょ？帰ってきちゃった…って
P,え、ええっ！そ、それってつまり！？
杏奈,また……変なこと……考えてる
P,へっ？
杏奈,心配しなくても……大丈夫…。朝になれば…ちゃんと元に戻るから……
P,元に戻るって、いつものおバカ可愛い杏奈に戻るって事か？
杏奈,そう…。でも…おバカは余計……
P,す、すまん、つい……
杏奈,んと……うぅ、説明するの……難しい…。えっと……要するに、色々あってね？たまに、こうして出てこれるようになったの……
P,えぇっ！そ、そんなんアリか！？というか、はしょりすぎて訳がわからないぞ！
杏奈,アリアリ……だもん……
P,じ、じゃあ……つまりこれからも、時々家に来るという事でしょうか？
杏奈,ん……だって、お嫁さんだし…♪。これからも時々よろしくね……あなた…
