このときに俺は笑顔で,いつまでも待つさ。ずっと一緒だよ
ありす,今日の朝ご飯はきちんと時間取れたので鮭焼いてみました。Pさん、コンロのグリル機能あんまり使ってないんですね
P,あー、あれ洗うの面倒だからなあ。って待て
ありす,あ、大丈夫です。ちゃんと洗ってから学校行きますので
P,違うそこじゃない。ありす、お前さっき合い鍵って言わなかったか？
ありす,言いましたけどそれが何か？
P,俺はお前に合い鍵を渡した記憶はない
ありす,何言ってるんですか。今の時代、鍵の写真を撮っておけば、インターネット上で合い鍵注文できる時代ですよ？
P,可愛い笑顔でなんてこと言いやがる
ありす,かわっ……！？
P,……とりあえず朝飯食べるか
ありす,はいっ♪
P,という感じでありすが家の中に入るのを俺はもう止められません
ちひろ,
P,どうしたらいいでしょうか？
ちひろ,ありすちゃんって、そんな子でしたっけ
P,そんな子だったみたいです
ちひろ,ちょっと考えさせてください……
P,その後なんですが
ちひろ,まだエピソードあるんですか！？
ありす,Pさん朝ですよー
P,ありす、言ったよな。起こす時に乗っかるのはやめなさいと
ありす,なんかこうした方が幼馴染み感あってフラグ立ちそうじゃないですか？
P,そのフラグ、敗北フラグだからな。とりあえず降りろ
ありす,朝ご飯できてますので早く食べましょう。このいちごジャムは自信作なんです。あ、でもお弁当は普通にご飯です。このジャムはやっぱり焼きたてのトーストに塗ってほしいので
P,俺はこのアイドルに逆らうことができない……朝昼晩の胃袋を握られてる……
ありす,今後一生続くので覚悟しておいてください
文香,Pさん、今日もお弁当ですか？
P,なんだ文香、物欲しそうな目をされても弁当の中身はやらんぞ
文香,そ、そんな目してません
P,なんだ、レッスン上がりで腹が減って獲物を求めてるんじゃないのか
文香,そんな大食いキャラじゃありませんし……ちゃんとご飯は用意してます
P,うーん、でももう少し食べないと体力つかないぞ？
文香,今日はかな子ちゃんがお菓子持ってきてくれるので、こっちは少し少なめにしまして……
P,……あいつはもう少し食べる量を減らすように言わないとな……
ありす,ふふっ……。Pさんだけは私を見ていてくれる……Pさんだけは本当に私を……Pさんだけがいれば、私はそれで……ふふっ。そして今日は金曜日。明日から土日。学校はありませんけど、お仕事が詰まってます。つまり、合理性を考えたら……ふふっ。明日は朝からお仕事ですね
P,そうだな。金土日で連続仕事なんてハードなスケジュールですまんな
ありす,全然大丈夫ですよ。今日ここに泊まっていけば明日の朝は楽ですし
P,確かにそうだなー、いくら家が近くても泊まった方が……は？
ありす,というわけで、お風呂借りますね
P,いやいやいや待て待て待て待て
ありす,どうしたんですか？
P,今、さらっとアイドルとして言ってはいけない爆弾発言しなかったか？
ありす,してませんよ。これでもプロ意識は持ってるんです
P,よかった、やっぱり泊まるとかお風呂とかは聞き間違えだったんだな
ありす,聞き間違えじゃありません。今日も明日もPさんの家に泊まりますしお風呂もきちんと入ります
P,どこに行ったのプロ意識！？
ありす,きちんと睡眠や入浴とPさん成分補給などでコンディションを整えるのがプロとして正しき姿勢かと思いますけど？
P,論破したみたいな勢いで言わないで？お泊まり発言とお風呂発言っていうアイドルとして致命的なミスを犯してるからね？
ありす,アイドルとプロデューサーですからセーフですよ。一緒にロケに泊まりがけで行ったりするじゃないですか
P,でも着替えとか持ってきてないじゃん
ありす,キャリーバッグの中に入ってますので。では、お風呂行ってきます。一応言っておきますけど、覗かないでくださいね？
P,……わかってるって
ありす,なんで今一瞬間があったんですか
ちひろ,通報しますね
P,やめてください不可抗力です
ちひろ,でも小学六年生のアイドルの使ったバスタオルが販売されたら買うんですよね？
P,誰のでもいいわけじゃないですから！ありすのだから買うんですから！
ちひろ,弁解はそれだけですね？
P,ごめんなさい……ってそこじゃないですよね！？
ちひろ,Pさんが担当アイドルに手を出したってところでしょうか？
P,出してません！。なあ、ありす。深刻な問題がある
ありす,急にどうしたんですか、深刻なトーンで
P,ありすはとりあえず俺のベッドで寝るだろ？
ありす,はい
P,そうするとだ、この家には他に寝具がない。俺の寝る場所がない
ありす,はい？。ここです。こういうときに私の身長がまだ小さいことが幸いしましたね。スペースに余裕ができるくらいだと思います
P,ありす、俺、わからない
ありす,急にカタコトにならないでください。一緒に寝ればいいじゃないですか、ってことですよ
P,ありす、俺、ワカラナイ
ありす,……もうっ。ほら、二人で一緒に寝ても、大丈夫ですよ。ちょっと狭いですけど
P,あっつい！
ありす,……雰囲気が台無しです
P,ドライヤーしてる時に倒れ込んでくるからだ。はぁ、寝るか
ありす,はいっ♪
ちひろ,手、出してるじゃないですか
P,出してません！寝ぼけて抱きついてきたありすを抱きしめ返してすらいません！！
ちひろ,抱きつかれてる時点でアウトだと思います
P,どうしたらいいっていうんですか！
ちひろ,まあ、でもそこまでいくと、下手に拒否しても仕事に響きそうですしねえ……
P,それなんですよ……
ちひろ,まあ、でも二晩、頑張ったんですよね？
P,…………
ちひろ,……なんでそこで沈黙になるんです？もしかして次の日……
P,違います、断じて違います。しかし、状況はさらに深刻なんです。ふぅ、やっと家についた。きついスケジュールなのによく頑張ったな
ありす,どうってことありません。もっときついスケジュールでもいけます
P,こらこら、あんまり無理するな。帰りの車の中で疲れて寝てただろ
ありす,あ、あれはっ……Pさんが隣にいると、その、安心するので……つい……
P,可愛いこと言うなあ
ありす,子供扱いしないでくださいっ。ご飯作ってきます
P,ありすに家事を全部任せるわけにもいかないし、俺も風呂掃除でもしておくか。ん、誰だ？
ありす,はい。はい、開けますね。Pさん、大きな荷物来るので手伝ってもらえますか。私、出てきますね。シャチハタあるのでこれで、と……運び込めるように準備してあります、どうぞ。寝室こっちです。Pさん、ちょっと来てもらっていいですかー？。はい。これはほかしちゃってください
P,……おいありす、なんだこれは
ありす,新しいベッドです。さすがにシングルベッドで一緒に寝るのはやっぱりしんどいかな、と思いまして……セミダブルのもの買ってみました
P,あー、なるほどね。確かに二晩一緒に寝たけど、やっぱり体勢固定されちゃって体痛くなりそうだったもんなあ
ありす,私としてはPさんと距離が近いシングルベッドも嬉しいんですけど、睡眠取れなくて仕事に支障を来したら意味が無いので……
P,うんうん、ありすは偉いなあ……ってなんでまた一緒に寝る前提なんだよ。来週も泊まるのかよ
ありす,私もそう考えたんですけど、さすがに土日に毎回お泊まりってなると疲れちゃうと思うんです
P,よかった、ありすにまだ良識が残ってた
ありす,失礼ですね、私だってきちんと考えてます。もっと効率の良い方法を
P,うんそうだな。毎日きちんと家に帰って、そのまま寝て、きちんと休息を取るのが一番効率良いと思うぞ
ありす,やっぱりPさんもそう思いますか！。やっぱりPさんの家にずっとこのままいた方が効率良いですよね！
P,……は？
ありす,ということでまずはベッドから通販で注文しておきました。組み立てサービス付きです。あ、ちゃんと寸法測って注文したので安心してください
P,ねえ泊まるのって金土日だけじゃなかったっけ。仕事に都合が良いからじゃなかったっけ。明日から学校あるよ？
ありす,問題ないです。Pさんの家からの方が学校行くにも便利じゃないですか。駅近ですし
P,俺の倫理観が問題あるって言ってるんだけど
ありす,ということで今日からPさんと私の同棲生活がスタートしました
P,スタートしません。親御さんが許してくれません
ありす,両親が許してくれたら良いんですか？
P,まあ、許可が取れるならな。やってみろ。そして怒られろ
ありす,言質取りましたよ？。じゃーん。既に許可済みです
P,それでいいのかよご両親
ありす,二人とも良識があるので
P,良識があるなら普通、迷惑かかるとか言わない？
ありす,Pさんの家の家事全般を私がしてることを知ってますので。あ、たまに実家の掃除とかもしないといけないので、その時はPさんの家に帰れないです。そこだけはご了承ください
ちひろ,
P,もっと深刻でしょう？
ちひろ,えっえっ、ちょっと意味を理解したくないんですけど、それからずっとですか？
P,ずっとです
ちひろ,Pさんの家で？
P,はい
ちひろ,ありすちゃんと？
P,はい
ちひろ,同棲している？
P,同棲ではないです
ちひろ,Pさん、ごめんなさい
P,謝らないでください、間違えることは誰にでもあります
ちひろ,そうですね。Pさんが間違えないように今のうちに通報しておきます
P,だーかーらー！！俺悪いことしてないじゃないですか！
ちひろ,担当アイドルの12歳の女の子と一緒に住んで一緒に寝てるって悪いことだと思いません？
P,問題はあると思ってます。だから相談してるんじゃないですか！
ちひろ,どうせいっちゅーねん、って？
P,楓さんみたいなこと言うのやめてください
ちひろ,ごめんなさい
P,親公認なので無碍にできませんし、実際、ありすの調子もこの頃からかなり良くなってますし……でも今のままだと絶対にいつか週刊誌とかにすっぱ抜かれて大変なことになります
ちひろ,うーん、事務所としても爆弾抱えてるみたいな状態ですねえ……
P,どうしたらいいんでしょうか……
ちひろ,うーん……ちょっとずつ距離を置いていくとか？
P,もうやりました
ちひろ,やったんですか
P,そしたらこうなりまして……
ありす,おはようございます、Pさん。今日も元気ですね……ふふっ。……こんなに硬くしてるなんて、やっぱり期待してくれてたんですかね
ちひろ,タンマです。一瞬タンマ
P,話し始めた瞬間に遮らないでくださいよ……
ちひろ,いやいやいや、衝撃的すぎる始まり方なんで。何をしてるんですか
P,ナニを握られちゃってます
ちひろ,セクハラですからね？
P,ごめんなさい
ちひろ,はぁ……どうしてそうなっちゃったんですか
P,いや、最初の三日くらいは普通だったんですけどね？
ちひろ,耐えきれなくて手を出しましたか
P,違います。どうやら俺が起きるの遅いってわかったみたいで、ありすがこっそりそういうことをし始めたみたいなんですよ……
ちひろ,ありすちゃん、想像の斜め上を行きますね
P,本当にそれですよ……なので俺はちょっとこれは本当にやばいと思って距離を取るべきだと思ったんですよ
まゆ,あれ、Pさんそのお弁当って……
P,んん！？。ど、どうした、まゆちゃん、CuPさんはまだ戻らないぞ
まゆ,知ってますよぉ。あと30分後くらいに戻ってくる予定ですよね。なのでまゆは待っているわけです。ところで、そのお弁当なんですけど、ははぁ……そういうことだったんですね
P,この弁当について、どうかしたのか？
まゆ,少し前にありすちゃんから、料理を教えて欲しいってちょっと前に頼まれまして……一週間くらい猛特訓したんですよぉ
P,あー、そういうことだったのか。すまないな、うちのありすが
まゆ,いえいえ、真剣に料理を学びたいって意志が伝わりましたし、私も料理は好きなので……ありすちゃんも覚えるの早くてとっても楽しかったですよぉ
P,ありがとう、感謝するよ。あれ、でもなんでこれがありすの作ったものだってわかったんだ……？
まゆ,そのお弁当箱、ありすちゃんと一緒に選んだんです。かなり悩んでたみたいで……あの子、本当にまっすぐで可愛いですねぇ
P,まっすぐっていうか真面目っていうか……目が離せないよ、ほんとに
まゆ,ふふっ……そう思ってもらえるありすちゃんは幸せですね
P,まあ、だから今の行動も周りから誤解を受けかねないから心配なんだよなあ……まゆちゃん、このお弁当がありすのものだっていうのは秘密にしてもらえないか？
まゆ,どうしてです？
P,いや、なんていうかさ、変な噂が立ったりしたら大変だからさ……ありすの好意はとっても嬉しいんだけどさ。俺が良くても周りがなあ
まゆ,ふふっ……わかりました。でも、社内で結構噂になってますよ？今まで外食か買い食いしかしてなかったPさんが最近ずっとお弁当なので、プロデューサーさんたちの中でPさん彼女できた説が持ち上がってますよぉ
P,まじかー……まあ、なるべくバレないようにしてるつもりなんだけどなあ
まゆ,バレないように……！？Pさん、もしかして本当にありすちゃんと……？
P,あ、いや、違って、そういことじゃなくて……なんだその、お弁当のやりとりとかあったら変に疑われるからさ……ありすの作ってくれたお弁当っていうのがバレたらまずいっていうか……
まゆ,本当にそれだけですかぁ……？。……ふふっ、やっぱり何も聞きません。でも、彼女――ありすちゃんは、本気ですよ？
P,……ああ、そうだな。かつての橘流イタリアンと比べると、同一人物の作れる料理とはとても思えない。あの情熱は大したものだよ
まゆ,……あなたは、残酷ですねえ……
P,なあ、まゆちゃん、変な質問で申し訳ないんだけど、ありすに料理以外のアドバイスとかしたりした？例えば、さっき言ったようなCuPさんに関するスケジュールと現在地把握のやり方とかさ……
まゆ,私が知ってるのはCuPさんが教えてくれてるからですよ？今はどこにいるとか、今日のスケジュールとか……色々連絡もらってます。最初は、その、頑張りましたけど……。でもこっそり鞄にGPS付けたりとかこっそり鍵の型を取るとか……そういう話を小学生にさすがに教えるわけないじゃないですかぁ。CuPさんに怒られちゃいます
P,うーむ、そうか。ありがとう
まゆ,いえいえ。あ、そろそろCuPさんをお迎えする準備しますね
P,ただいま
ありす,むー、遅いです。おかえりなさい
P,ごめんな、急な残業でさ
ありす,先にお風呂入ります？
P,あー、そうしようかな
ありす,わかりました。じゃあその間に晩ご飯準備しておきますね。ちなみに今日の晩ご飯は橘流ハンバーグです
P,……それ、ハンバーグの中にイチゴ入ってたりするの？
ありす,入ってません！私をなんだと思ってるんですか……イチゴはサラダです
P,普通はデザートなんだけどなあ。ごめんな、ちょっと色々と忙しくなってきててさ。ああ、ありがとう。ごめんな、どうしても作らないといけない資料があってな。ごめんな、このまま新幹線乗って大阪まで行ってくることになったんだ
ルキトレ,Pさん、ちょっといいですか？
P,あれ、どうしました？
ルキトレ,ありすちゃんと何かありましたか？
P,えっ、ああ、ありすのことですか！？
ルキトレ,その反応、やっぱり、何かあったんですね……
P,いや、その、何かあったっていうか、なんていうか、まだ何もしてないっていうか……
ルキトレ,はぁ……。ここ数日、ありすちゃんの様子がおかしいんですよ。レッスン全部に身が入ってなくて
P,は……？
ルキトレ,今日なんて得意のはずのボーカルトレーニングで居残りレッスンするレベルですよ？
P,そうなんですか？あのありすが珍しい……
ルキトレ,何かあったならちゃんとフォローしてあげてください。あれでも、しっかりしてるように見えてまだ子供なんですから……
P,…………すみません。ちひろさん、すみません、帰ります
ちひろ,あれ、まだ仕事が残ってるんじゃ……
P,前倒しにしてただけなんで明日やっても大丈夫です
ちひろ,まあ、確かに……
P,それではお先に失礼しますね。そりゃ、そうだよな……。あれ？。……ありす、鍵をかけなかったのか。……ただいま。はぁ……。……っ！？
ありす,あ、Pさん……？。Pさん……！
P,ありす、なんで……
ありす,おかえりなさい、ずっと待ってました……
P,……もしかして、ありす、毎日俺の分も、作っていたのか……？
ありす,はい、もしかしたら、Pさんが帰ってくるかもしれないって、信じて……
P,……っ！
ありす,……Pさんは、私のこと、嫌いになりましたか。嫌、ですよね、こんな女
P,違う
ありす,Pさんが帰ってこなくなって、私、考えてました。考えたら、Pさんに嫌われても仕方ない女でしたね
P,違う、ありす
ありす,だって、Pさんの予定、毎日見てましたけど、全部、急いで入れる必要のない予定だったじゃないですか
P,それは……
ありす,私のこと、嫌いになったんですよね。だからこうやって、私といる時間を減らしてた、んですよね
P,違う……
ありす,Pさんも、お母さんやお父さんみたいに、帰ってこなくなっちゃうんです、ね
P,違うっ！。ごめん、ごめん、ありす。俺が馬鹿だった。週刊誌に撮られたらとか、ありすの今後とか、そんな体面ばかり考えてて、ありすのことを見ていなかった。ありすのため、だと思って馬鹿なことをしていた。俺はプロデューサー失格だ
ありす,そんなことないです。Pさんは、最高の、プロデューサーです。私が、私が弱いだけなんです。ごめんなさい……
P,違う、俺が馬鹿だった。ありすに辛い思いをさせてるだけだった。ありすは、謝る必要なんか、ない
ありす,じゃあ、Pさんは、こんな私のこと、嫌いにならないで、いてくれるんですか？
P,俺がありすのことを嫌いになるわけないだろ！
ありす,Pさんは、ずっと、一緒に、いてくれるんですか？
P,当たり前だ。ずっと、いつまでも一緒だ
ありす,Pさん、Pさんっ……！
P,落ち着いたか？
ありす,はい……お見苦しいところをお見せしてすみません……ぐすっ
P,んー、それなら一旦離してもらってもいいか
ありす,嫌です
P,大丈夫だって、俺はもうどこにも行かない。約束する
ありす,……約束を結ぶなら、担保が要ると思います
P,急に物騒な単語使うなあ
ありす,でも、大切なことです。私が、信じられる担保をください
P,そんなこと言ってもなあ……俺に出せるものなんかほとんどないぞ。生命保険の受取先をありすにするか？
ありす,違います。ありますよ、Pさんでも、今すぐ出せる、私にだけに価値のある担保。……キスしてください
P,それは……
ありす,私だけの、Pさんであって、Pさんだけの私である契約を、結んでください。そうじゃないと、離しません
P,いいんだな……？
ありす,もちろんです
P,……わかった。ありす……
ありす,Pさん……
ちひろ,キスしたんですか
P,しました
ちひろ,やっぱり通報していいですか
P,やめてください
ちひろ,悪化してるじゃないですか
P,はい
ちひろ,雨降って地固まるどころか固まりすぎてコンクリートになってるじゃないですか
P,コンクリートっていうか、もう鋼鉄ですかね
ちひろ,通報していいですか
P,やめてください
ちひろ,すみませんが想像以上にガチで正直引いてます
P,そんなこと言っても俺だって男なんですよ！あんな状況で、その、我慢できるわけないじゃないですか！
ちひろ,それを我慢するのがプロデューサーなのでは？
P,うぐっ……返す言葉がございません……
ちひろ,まあ、それでそこからありすちゃんが余計べったりになってしまったと
P,いつか爆弾発言しないかガクブルしてます
ちひろ,まあ、それで丸く収まったなら……あまり良くないですけど、まだ良かった、んでしょうか
P,いや、それがそう簡単にいくこともなくて……
ちひろ,え、まだあるんですか……？
ルキトレ,やっぱり何かありすちゃんとありましたか？
P,は、はひっ！？。3秒ルール、セーフセーフ
ルキトレ,アウトだと思いますけど
P,セーフ、まだセーフ！
ルキトレ,それで、どうなんです？
P,いや、なかった、わけじゃないですけど……まだありすの調子悪いんですか？
ルキトレ,調子悪いってわけじゃないんです……むしろ逆なんです
P,逆？
ルキトレ,気合いが入りすぎてるっていうか、気負いすぎてるっていうか……何かを怖がってるみたいに必死になりすぎちゃってるんですよ
P,そうなんですか……
ルキトレ,心当たりあるなら、フォローお願いしますね？
P,なー、ありす
ありす,なんですか？
P,なんか最近新しい悩みある？
ありす,特にありませんけど……あ、ボスの属性変わりましたよ
P,そうか。俺がスキル使うか
ありす,それで残りの体力は削り切れそうですね
P,だなー。ふぅ、なんとか倒せた
ありす,結構時間かかりましたね
P,最近インフレすごいからなあ。って、もうこんな時間か
ありす,そろそろ寝ましょうか
P,そうだな
ありす,じゃあ、今日も……
P,はいはい
ありす,むー、もっと真剣にお願いします
P,わかってるって
ありす,ん……
P,おやすみ、ありす
ありす,おやすみなさい、Pさん
ちひろ,何してんですか！！
P,うぉぅ！？いきなりどうしたんですか
ちひろ,どうしたもこうしたもないですよ！日常って……寝る前に毎日キスしてるんですか！？
P,寝る前だけじゃなくて、おはようのキスといってきますのキスとただいまのキスもあります
ちひろ,はいアウト！
P,いや、待ってください、これには理由がありまして
ちひろ,生半可な理由じゃ許されませんよ！？
P,ルキトレさんが言ってたありすの様子がおかしいっていうのが、根幹にあったんです
ありす,んむぅ……
P,ありす、眠いなら無理しないで寝たらどうだ？
ありす,ダメです、予習はきっちりしておかないと……
P,かと言って、眠気を持ち越して授業に支障が出たら意味ないだろ
ありす,これでも一応受験生なんです。これくらいじゃ根を上げてられませんよ
P,……無理しすぎだ。明らかにおかしいんだよ
文香,それで私が何か知らないか、と……
P,何か心当たりあったら教えてほしいんだよな。ほら、文香はありすと特別仲が良いだろ？
文香,……確かに、私はありすちゃんを本当の妹のように思っていますから、ここ最近のありすちゃんの悩みは、とても心配で仕方ないです。……でも、Pさんはわからないんですか？
P,ん？
文香,事実として、私はありすちゃんから色々な相談を受けていますが、一緒にいる時間はPさんの方が長いはずです
P,怒ってらっしゃる……？
文香,怒ってるんじゃないです……ちなみに、私は先日、Pさんがありすちゃんを避けるような行為をしてたことも知ってます
P,そ、その件は……俺が本当にアホだったよ
文香,だった、ですか……Pさんにとっては過去のことは過去のことなんですね……
P,それは……
文香,問題は解決したかもしれません……でも、経験としては、残るんです
P,……あ
文香,ありすちゃん、必死ですよ。悔しいですけど、それを任せられるのはPさんしかいません……
P,アホだった、じゃないな。アホだな、俺
文香,そうですね。……ちなみに、私は怒ってるんじゃないです。とっても、怒ってるんです
P,経験としては残る、か……。やっぱり、俺のせい、だなあ……。ありすのやつ、また俺がいなくなるかもしれない、ってトラウマになっちゃってるのか……。今度のオフに遊びに連れて行ってやるか
ありす,Pさん、次はあれ行きましょうよ！
P,そんな引っ張るなって。うお、マジでこれ行くのか
ありす,行きましょうよ、カップルの定番ティーカップです
P,結構恥ずかしいんだが
ありす,その次はPさんの好きなところでいいですから
P,マジで？じゃあコレ
ありす,ぜ、絶叫系ですか
P,せっかく夏だし一緒に濡れようぜ！
ありす,ぬ、濡れ……っ！？。私は怒ってます
P,ごめんって。午後はまったり回ろうか
ありす,そうですね……もう絶叫系はなしで。せっかくここに来たんですから、あの家とか行ってみたいですよね
P,あとショーとかも見ておきたいよな
ありす,たくさん遊びましたね
P,たまにはこういうのも良いだろ
ありす,良いですね。……Pさんと一緒なら、ですけど……
P,ん、なんだって？
ありす,なんでもないです。……いつまでもこうしていたい気分です
P,でもまた明日からは仕事だからなー
ありす,んもうっ……夢の国にいる間は夢を見させてくださいよ
P,また一緒に来ればいい
ありす,そう、ですね
P,ここだけじゃなくて、他の大きいところも一緒に行ったりしよう。大阪のやつとか
ありす,そうですね
P,……大丈夫、ずっと一緒だから
ありす,ふぇ……？
P,不安にならなくていい。俺はありすのそばにずっといるって、決めたからな
ありす,な、なな……。……はい。甘えますからね
P,任せろ
桃華,Pちゃま！橘さんが！
P,ありすがどうしたのか！？
桃華,レッスンの後に自主レッスンをしてて、倒れまして……！
P,昨日の今日で、かよ……！
桃華,今、新田さんが介抱しておりますわ！
P,わかった！。ありす、大丈夫か！？
美波,あ、Pさん！。無理しすぎたみたいで、酸欠みたいです
P,酸欠って……
ありす,んん……Pさん……？。すみません……ちょっと、うまくいかなくて……
P,馬鹿、無理すんなって言っただろうが
ありす,でも……
P,でもじゃない
美波,ありすちゃんを責めないであげてください……すごく、頑張ってたんです
P,頑張るって言っても限度があるんだよな……最近は朝から夜まで無理しすぎなんだよ、ありすは
美波,朝から夜まで……？
P,ああ、いや……とにかくありがとうな、美波。後は俺が介抱して連れて帰るから
美波,……？わかりました
ありす,お手間かけてすみません……
P,まったくだ、昨日息抜きしたばかりなのに
ありす,……なんか、自分に納得がいかなくて
P,だけどレッスンってのは、プランを立てて、過密すぎるトレーニングをしないように心がけないといけないって、ありすならわかってるだろ？
ありす,わかってますけど……
P,フィジカル面で他のみんなより弱いのは仕方ない。まだまだこれから成長するんだからさ
ありす,……それだけではなく、全体的に、歌もダンスも、私は足りないような気がするんです。だから、もっとレッスンしないと、です
P,……いや、しばらく、自主レッスンは禁止だ
ありす,えっ……？。私、できます。まだ頑張れます。家事のことだって、Pさんに手伝ってもらってることが多いのにレッスンで手を抜けません
P,手を抜け、って言ってるわけじゃない。決められたレッスンの時間の中できちんと結果を出せるように考える時間を作った方が良いって話だ。今じゃこなすだけで精一杯だろ？
ありす,そんなことは……
