吉富敏,６６
吉富,はい。私は信仰のおかげで、数々の困難を乗り越えてきました。息子や妻との死別、精神的な苦悩、数々の作曲活動……
喪黒,なるほど……。そんな先生のために、いいものをあげましょう
吉富,何ですか、これ？
喪黒,グリモワールです。日本語で言うところの、いわゆる魔導書ですよ
吉富,グリモワール……。悪魔を呼び出して願い事をかなえさせるための、手順が書かれた本ですか
喪黒,そうです。悪魔とクラシック音楽のつながりといえば、先生ならご存知でしょう
吉富,ええ、存じてますよ。タルティーニが自ら見た夢をもとに作った音楽でしょう
喪黒,はい。ある夜、タルティーニは悪魔に魂を売る夢を見ました
吉富,夢から目覚めた後、タルティーニが自らの記憶を辿りながら作ったもの……。それが悪魔のトリルですよね
喪黒,そうです。先生がこれから作る交響曲第9番もまた、そのような意味合いの音楽になるはずでしょう
吉富,喪黒さん……。あなた一体、何が言いたいんですか？
喪黒,このグリモワールを使って、悪魔を呼び出してください。そうすれば、先生の願いはかないますよ
吉富,まさか、悪魔を利用して交響曲第9番を作れと……
喪黒,その通りです。しかも、この第9番は、単に悪魔の力を借りた音楽になるだけではありません
吉富,悪魔に捧げる音楽！？喪黒さん、あなた何てことを言うんですか！！
喪黒,神に対する冒涜……。それがどうしたというんですか？
吉富,あ、あなたはどうかしている……
喪黒,そもそも、神が自分に似せて人間を作ったならば、今の世界は完璧なのものになっているでしょう
吉富,そんなことはありません！！そんな恐ろしいことが、世の中の真理であってたまりますか！！
喪黒,ねぇ、先生。神が作ったはずの世界で、何でこんなに苦悩が満ち溢れているんですか？
吉富,で、ですが……
喪黒,人間に数々の苦難を与え、世界を苦悩に満ちたものにするのが神の仕事ならば……
吉富,そ、そんなはずはありません……
喪黒,それどころか……。悪魔そのものである神に対し、人間は必死で何かを祈っている。それが現実かもしれませんよ
吉富,悪魔そのものである神に祈る……。考えただけでも恐ろしい！！神を冒涜するのは、もうよしてください！！
喪黒,吉富先生、現実を見ましょうよ。神を信仰して、先生が心から救われたことはなかったでしょう
吉富,悪魔に全てをゆだねる……
喪黒,そうです。このグリモワールを使えば、先生は最高傑作を作ることができるはずです。先生、一歩を踏み越えてください
吉富,……分かりました。あなたがそこまでおっしゃるのなら……。グリモワールを使ってみましょう
喪黒,いやぁ……、よく決断してれました。その代わり、先生は私とある約束をしていただきます
吉富,約束！？
喪黒,はい。グリモワールを使うのは、今回の作曲活動のためのたった1回のみにしてください
吉富,そ、そうしますよ……。こんな恐ろしいものを使うのは、今回だけにしておきますから……。なるほど……。音楽に関する悪魔を呼び出すやり方は、こうやるのか……。●△■☆◆◎、○▲□★▽●。！？
悪魔,私を読んだのはお前か……
吉富,は、はい……。あなたがあの本で紹介されている、音楽の悪魔なんですか！？
悪魔,そうだ……。私はお前の望みをかなえに来たのだ。お前の望みは何だ……？
吉富,わ、私は交響曲を作りたいのです！！私が作った音楽の中で、最高傑作のものを……
悪魔,いいだろう……。お前に特別な交響曲を聴かせてやる
吉富,こ、ここは……。おおっ……！！まさに、この世のものとは思えない美しい音楽だ！！これが悪魔の交響曲なのか……。さ、さっきの光景は夢か……。い、いや……。夢じゃない……。私はさっき、音楽の悪魔を呼んだんだ……
テロップ,1年後――
観客たち,ブラヴォーーーー！！！
BAR,魔の巣
喪黒,吉富先生、おめでとうございます。あなたの新曲の初演、成功に終わりましたよ
吉富,ありがとうございます……
喪黒,それにしても、不思議な雰囲気の音楽でしたねぇ。聞いた人間の胸をわしづかみにする、蠱惑的な何かがあります
吉富,ええ。ですが……
喪黒,先生、謙遜することはありません。悪魔に捧げる交響曲は、先生の最高傑作ですよ
吉富,そのことなんですが……。私が作ったのは、悪魔に捧げる交響曲であって交響曲第9番ではありません
喪黒,確かに……。あのマーラーだって、9番目の交響曲は大地の歌でしたけど……
吉富,ええ。悪魔に捧げる交響曲を作ったならば、次は神に捧げる交響曲を作るべきなのだと思うのですよ
喪黒,ほう……。では、その神に捧げる交響曲とやらが、今度こそ交響曲第9番になるというわけですね？
吉富,そうです、喪黒さん。私は今度こそ、真の交響曲第9番を作って見せますから！。ダメだ……！！どんなに頑張っても、あの悪魔に捧げる交響曲を超える交響曲が作れない……！。グリモワール……。グリモワールさえあれば、完成度の高い音楽ができるかもしれないのに……。でも……！！。グリモワールがあった……！！まさか、こんなところに見つかるとは……！！
巨大通販サイト,アムザン
吉富,もう、後には戻れない……。しかし、私はやるしかない……。不本意ながら、私は今回もグリモワールを使うことになってしまった……。●△■☆◆◎、○▲□★▽●。も、喪黒さん！！何で、あなたがこんなところに！！
喪黒,吉富先生……。あなた約束を破りましたね
吉富,い、いえ……。私は約束通り、喪黒さんに例のグリモワールを返却しましたけど……
喪黒,ねぇ、先生……。あのグリモワールは、世界にたった1冊だけではありませんよ
吉富,ああっ！！
喪黒,おそらく、何かの手段を使って購入したのでしょう。例えば、ネット通販とか……
吉富,くっ……
喪黒,ほう……、図星ですか。私は言ったはずですよ。あなたがグリモワールを使うのは、たった1回のみにしておけ……
吉富,喪黒さん！私が前回グリモワールを使用したのは、悪魔に捧げる交響曲を作るためでした！
喪黒,弁解は無用です。約束を破った以上、あなたには罰を受けて貰わなくてはなりません！！。ドーーーーーーーーーーーン！！！
吉富,ギャアアアアアアアアア！！！。こ、これだ……。この音楽こそ、私が作りたかったものだ……。そうだ、これこそが交響曲第9番……だ……
喪黒,音楽には、人間の感情を動かす力がありますし……。いつの時代も、音楽の魅力は人を惹きつけてやみません
