モバP,…………おはようございます……
P,なぁ幸子……いい加減期限直してくれよ………俺が悪かったって……
幸子,別に怒ってません
P,怒ってるじゃん
幸子,怒ってません！じゃあボクはレッスンしてきます！！
P,あぁぁ……やっぱり可愛いなぁ………。ふふふ……これじゃもっと虐めたくなっちゃうよ……
トレーナー,はい、じゃあ今日のレッスンはここまでです！お疲れ様でした
幸子,はぁ…はぁ……ありがとうございました……
P,おう、お疲れ幸子
幸子,む……プロデューサーさん…
P,そんな顔すんなって……ほらジュース
幸子,ふん！少しは気が利くようになりましたね！
P,…………
幸子,………
P,じゃあ次は営業いくぞ！車乗れ！
幸子,はい。プロデューサーさん、目的地まであとどれくらいですか？
P,ん？あと三十分くらいかな？どうかしたか？
幸子,いえ、なんでもないです。ぷ、プロデューサーさん……まだつかないんですか……？
P,んー…それがなぁ……思ったより混んででなぁ……まだかかりそうだなぁ…
幸子,あと何分くらいかかりそうですか………？
P,んー……あと30分くらいかな
幸子,わ、わかりました……。ぷ、プロデューサーさん……
P,ん？どした？
幸子,その……お、おトイレに行きたいんですけど……
P,えぇ！？こまったなー……この辺コンビニもないしなぁ……そんなにやばいのか？
幸子,……はい……
P,あ、そういえばここ少しいった所に薬局があったな！そこまで我慢できそうか？
幸子,なんとか……
P,………そういや前テレビトイレ我慢してる時の対処法みたいなのやってたな…
幸子,ほ、ほんとですか！？
P,ああ……たしかお腹のしたあたりを押すんだったような
幸子,～～っ！！。な、なな何するんですか！それは違いますよ！！
P,そ、そうだったか！？すまん……
幸子,も、もう………ホントにプロデューサーさんは……
P,………ほら、ついたぞ！出られるか？
幸子,は、はい……。あ！
P,さ、幸子！？大丈夫か！？
幸子,あ…………あ…………だめ………だめぇ。あっ……うぅぅ………とまってぇ……プロデューサーさん見ないでぇ……。うっ……ぐすっ……止まらないよぉ………ひっぐ………
P,さ、幸子……
幸子,うぅぅ……ぐすんっ………うぁぁぁあぁぁん！
P,な、泣くな幸子！い、今適当な着替えとかかってくるから！車の中で待っててくれ！
幸子,うぅぅ…………はい……
P,はぁ…はぁ……下着とジャージとウェットティッシュ買ってきたぞ…！
幸子,ありがとうございます……あ、お金を……
P,そんなのいいって！…それより少しは落ち着いたか…？
幸子,はい……
P,よかった……じゃあ着替え洗ってくるから幸子は車の中ん中で着替えててくれ
幸子,…プロデューサーさん……
P,ん…？
幸子,今日は……その………ごめんなさい…………ボクがもっと早く言っていれば…
P,何言ってんだよ！幸子は悪くない！俺がもっと空いてる道で行ってればこんな事にはならなかったしな
幸子,……でもプロデューサーさんにたくさん迷惑かけてしまって……
P,…………幸子……
幸子,え……
P,迷惑だなんて水臭い事言うな……俺とお前はアイドルとプロデューサーなんだから……
幸子,プロデューサーさん………
P,ほら！そんな顔してたらせっかくの可愛い顔が台無しだぞ！笑顔笑顔！
幸子,……………ありがとうございます
P,おう！じゃあ着替え洗ってくるな！
幸子,はい…
