二宮飛鳥,……余計な時間も戸惑うヒマも、もう残されてなんかいないのさ
乃々,マロンホワイトショコラオレもないんですけど…
比奈,案外根に持つタイプなんスね
乃々,でもコーヒー出してくれたからすきです…
比奈,やだかわいい。こんなんで良ければいくらでも出しちゃうっス。…まぁそんな訳で、やらずにいた宿題くんたちは自然と溜まっていくんスよ。別に交友関係を言い訳にするつもりもありませんけど
乃々,もりくぼ、１人でこつこつできる子で良かったです…
比奈,そのまま良い方向に育ってもらいたいもんス
飛鳥,ああ。他人と馴れ合って緩慢に進めるよりも、独りの方が効率が良い物事なんていくらでもあるさ
乃々,……あれ、でも
比奈,どうしたんスか乃々ちゃん
乃々,そう言う飛鳥さんが、比奈さんのおうちで勉強しようって声をかけてくれたような気がするんですけど…
飛鳥,…
乃々,誘って頂けたのは、とっても嬉しいのですが……さっきからお話を聞いてると、私たち、集まる必要性をあまり感じないのは気のせいでしょうか…？
比奈,あー…ま、そう言っちゃえばそうっスかね
乃々,飛鳥さん、どうしてもりくぼと一緒にこのおうちへ…？
飛鳥,……えぇと、ほら。此処なら静かで集中できるかなと思って
乃々,はぁ
飛鳥,部屋に居ても、廊下やら隣の部屋やらの生活音がね
乃々,そんなものでしょうか…
飛鳥,こんな集まりも、たまになら悪くないだろうと思ってさ
乃々,それはまぁ、そう、ですけど…
比奈,……。アタシは知ってるっス、飛鳥ちゃんがどうしてウチを選んでいるのか、その一番の理由を。ズバリ、何かと理由を付けて漫画を読もうとしている…。その証拠に、ウチに来た時からやけに視線が本棚に向かってるっス。まるで何かを探しているように
飛鳥,…
比奈,だけど、残念だったっスね。今日は２人が来ると聞いた瞬間、置いてた漫画は仕舞わせてもらったっス。前回のように、宿題が全く進まず寝オチなんてことにはさせませんよ？。これは言うなれば愛の鞭っス。覚悟して学生の本分を全うすることっスね、飛鳥ちゃん。まぁまぁ。飛鳥ちゃんの言う通り、たまにはこんなのも悪くないじゃないっスか
乃々,…
比奈,誰かんちに集まって勉強会なんてイベント、学生時代にはしたことなかったんで。実は今ちょっと楽しいんスよアタシ
飛鳥,楽しい？
比奈,まぁアタシは勉強してないっスけど。１回くらいはやってみたかったなぁって思ってたんで、体験できて嬉しいっス
乃々,そう、ですね……もりくぼも、お誘いがなかったら経験できなかったかもしれませんし…
比奈,っス。青春を取り戻す的な意味でも、ウチが役に立ったんならそれも上等っスね
飛鳥,比奈さん…
比奈,ほらほら、話してばっかだとまた進捗ゼロなんてことになりかねないっスよ？
乃々,はぁい…
比奈,アタシはアタシでネームの続きでもしてるっスから。２人とも、なんかあったら何でも言っておくれっス
乃々,では、コーヒーのお代わりを…
飛鳥,ボクも頂こうかな
乃々,あと、冷房をちょっとだけ弱くしても…？
飛鳥,ところで先日の続きが気になっているんだけど、漫画は処分でもしてしまったのかい？
乃々,羽根の上手な描き方、後で教えてもらっても良いですか…
飛鳥,……それ、ボクも興味があるな。一緒にご教授願いたいところだね
比奈,確かに何でもとは言ったけどさぁ！！。…。……ふがっ。………あー…。また寝ちゃってたっス…。毛布かかってんのはもうお決まりなんスね…。…ん？毛布……クローゼット……まさか
飛鳥,……
乃々,むにゃ……
比奈,か、隠してたハズの漫画が読み漁られてる……２人も寝てるし…。なんでこう、ウチに来る人らはみんなフリーダムというか何というか…。宿題やろうよ…。……まぁいいや、もっかい寝よ…
乃々,あ、飛鳥さん、飛鳥さん……
飛鳥,……ん、どうしたんだい
乃々,比奈さんが…
飛鳥,？
比奈,……
飛鳥,おや
乃々,お疲れだったのでしょうか…
飛鳥,…気を遣わせてしまったかもしれないね
乃々,居心地が良いからって、少し調子に乗り過ぎちゃったかもしれません…
飛鳥,…ボクも
乃々,ちょっぴり反省くぼですけど…
飛鳥,…いや、好意に甘えることソレ自体は罪ではないさ。ボクたちにできるのは、それ以上を返せるよう努めること。貰っている以上に……ねっ、と
乃々,どこへ行くんですか…？
飛鳥,クローゼット。毛布でもかけてあげよう
乃々,置いてる場所、分かるんですか…
飛鳥,比奈さんがものをしまう時は、大体クローゼットの左手側だと教わったから
乃々,…誰から？
飛鳥,友紀から
乃々,へぇ……、詳しいんですね
飛鳥,何やら入り浸っているようだから、色々訊いてみたのさ……おっと？
乃々,どうかしましたか
飛鳥,…見当たらないと思ったら、こんなところに
乃々,何が…って、あ……漫画が乱雑に積まれて…
飛鳥,フフ、甘かったのはコーヒーだけじゃなかったみたいだね、比奈さん
乃々,おぉ～……比奈さん、たくさん持ってるんですね……すごいぃ…
飛鳥,丁度良い、ついでにいくつか拝借させてもらおうか。休憩も大事さ
乃々,飛鳥さん……もりくぼにも貸してほしいんですけど…
飛鳥,ああ、先に読むかい
乃々,よ、読み終わったらで結構ですので…
飛鳥,そうか
乃々,では、もりくぼはお先にこちらを…
比奈,ぐぅ……
