渋谷凛,お疲れ様です
モバＰ,……うん。ただいま……なんか、あんまり突っ込みたくないなぁ……なぁ？ハナコ～
ハナコ,わふっわふっ！
モバＰ,うわっぷ！ははっお前はかわいいなぁ！よ～しよし！！
凛・幸子,むっ！
未央,犬に嫉妬しなさんな。おかえり、さっちー
幸子,カワイイという形容詞はボクに対してだけ使われるべきなんですよ。嫉妬なんかじゃありません
未央,ほんとかなぁ～？くふふ
幸子,そうなんですっ！それで、なんです？この状況。やけにバラとパンジーがありますけど
未央,あ～……それね
宮本フレデリカ,フンフンフフーンフンフフー♪……あなーたー！あなーたー！あなーたーがっ！！いて、ほー！しぃー！！いぃ～！！！
未央,……ってな、感じなんだよ
幸子,全っ然わかりません。なんかもう色々とギリギリですよ
フレデリカ,ふぅ！いい歌だね！あ、幸子ちゃん、めるし～ぼくー？幸子ちゃんも聞いてみるといいよ、コレ！
幸子,遠慮しときます。ヘッドホンなんかしたらボクのカワイイ髪がへちゃげて
フレデリカ,はいっ！
幸子,うなぁ！言ってるそばからっ！
未央,まぁ、聞いてみなよ。なんとなくわかると思うから
幸子,わかりましたよ……
フレデリカ,それじゃ、再生～
幸子,……なるほど。真っ赤なバラと、白いパンジー。そして子犬ですか……
未央,そうっ！そしてこの曲の影響でプロデューサーは家を建てると言いました！それを聞いたちひろさんが一言っ！
ちひろ,え！？……それはプロポーズも同然？
未央,はいっ！そうですね！それを聞いたしぶりんは？
幸子,キタコレ？
未央,正解！で、これっ！
幸子,いやいやっ！おかしいでしょう！なんで家建てることがプロポーズなんですかっ！？そもそも、凛さんに……Ｐさん、家建てるんですか！？
ちひろ,落ち着いて、幸子ちゃん。もう、とっちらかってる
幸子,だって……だって！
未央,うんうん、わかるよ。でもね、そういうもんだと割り切らなきゃ、厳しい芸能界渡り合えないと思うんだ……
幸子,そういう問題じゃ……
未央,まあとにかく！昨日事務所に居た娘は、程度の差はあれ、チャンスだと思った訳
幸子,はぁ……じゃあこのゼクシィの束は、献本とかではなく
未央,プロデューサーへのアピール？
ちひろ,留美さんが置いて仕事に行き、まゆちゃんが置いて、加蓮ちゃんが置いて……
未央,無論っ！私も持ってきた！
幸子,そんな胸張って……ていうか、アピールじゃなくてプレッシャーじゃないですか
未央,そこはご愛嬌！
幸子,……もう、なんでもいいです。とりあえず、Ｐさんに助け舟出さなくていいんですか？凛さん、かなり詰めてますよ？
未央,……ねー？どうしよっか
フレデリカ,あなーたーっ！！！あなーたーがっ！！！
幸子,それはもういいですっ！！……あの、一ついいですか？美優さんなんですけど……
未央,うん……一言も喋らず、様子をうかがってるね
フレデリカ,ばくだんいわ？
ちひろ,怖いこと言わないでください……
凛,ねぇ、プロデューサー。昨日言ってた曲さ
モバＰ,待て、凛。あの曲に深い意味はない
凛,ふふ……照れなくていいよ。ちひろさんも言ってたじゃん。プロポーズだって
モバＰ,それは、家を建てることについてであって……ていうか、それがプロポーズになることが、そもそもぶっ飛んで
凛,いいからっ！
モバＰ,良くないよ！？それは絶対良くないよ！？
凛,真っ赤なバラと～、白い～パンジ～……子犬の横には～あな～た～……花屋でペットのハナコ……ふふ、遠まわし……
モバＰ,凛が遠い……
凛,だからさ、とりあえず用意してみたよ。バラ、パンジー、ハナコ
モバＰ,そうね……それじゃ、このレースも
凛,それは、まゆ……
モバＰ,そっか……なんか赤いもんね、コレ
凛,でも、あなたの横でレースを編むのは私だからっ！
モバＰ,あなたって……凛、正気に戻ろう。お茶でも淹れようか？
凛,私は正気だよ。……あのね、これはいい機会だと思ったんだ。素直になるね
モバＰ,素直？
凛,うん。私、プロデューサーが好き。ううん……愛してる。だからさ
モバＰ,ちょちょちょ待って待ってっ！
凛,……だからさ、プロポーズの返事……いいよ？結婚しよ？
モバＰ,うそん……この娘、待ってくれない……凛、冷静になろう！俺はプロポーズなんかしてない
凛,は？
モバＰ,あ、いや……えぇ……。り、凛まだ十五歳だろ？法律的にも……
凛,今から家の施工を始めても、十六歳になってるよ。その歳で結婚って、伝説のアイドルと一緒だね。ふふ
モバＰ,アイドルがそんなこと許される訳ないだろ！？あと、戦車でパーティー会場を破壊するような人と一緒にしちゃいけないからなっ！
凛,分かってる。だから、辞めるよ。アイドル
モバＰ,んな！？倒置法！！
ちひろ,……プロデューサーさん、かなり混乱してますね……
未央,仕方ないよ、アレじゃ……
島村卯月,お疲れ様です！お仕事頑張りましたっ！
神谷奈緒,お疲れです。……どうしたんだ、アレ。Ｐさん、すごい狼狽えてるな
未央,アレね～……
フレデリカ,実は、かくがくしかじかで……
卯月,ふんふん、なるほど……。かくがくしかじかじゃ全く分からないですねっ！
フレデリカ,やっぱり～？だと思った！
幸子,何がしたいんですか……。アレは――――――
奈緒,また馬鹿なことを……
未央,でも、家を建てるのはホントみたいだよ？しぶりん程じゃないけど、私だって、それなりに……
奈緒,ごにょるなよ……本気みたいじゃないか
未央,……あはは
奈緒,……Ｐさん！！
モバＰ,！？おおっ！おかえり！撮影どうだった？上手くいったか？
凛,あっ！もうっ！
奈緒,あたしに黙って結婚とかっ！！
モバＰ,あちゃ～……奈緒もかぁ……
卯月,奈緒ちゃんも、プロデューサーさんと結婚したいの？
奈緒,え！？いやっ！その……
卯月,そっかぁ……私は結婚とかまだ考えられないなぁ……
モバＰ,良かった……卯月はまともだ
卯月,ふふ……でも、プロデューサーさんが結婚かぁ
凛,幸せになるね
モバＰ,凛。ちょっとあっちでお茶飲んでな？
凛,ん
モバＰ,素直だな……
卯月,……ねぇ、プロデューサーさん。私のちょっとした秘密教えてあげましょうか？
モバＰ,それは聞かん訳にはいかんな
卯月,私だって女の子ですからね～。結婚に憧れはあるわけですよ
モバＰ,うん
卯月,それで、想像するわけです。私の旦那様はどんな人だろう……どんな人がいいかな？優しいひと。でもだらしない私を叱ってくれる人。一番はいつも笑顔でいられる人かな、とか
モバＰ,……
凛,ん？
卯月,そこで思うんです。あれ？そんな人、近くに居るなって。……間抜けですよね。どんな人がいいかじゃなくて、その人がいいんだって、ここで気付くんですよ
モバＰ,……卯月
凛,ちょちょ！待って！！
卯月,なんかドキドキしちゃって……もし、想いが通じ合ったら、結婚の前に恋人でいる時間も大切にしたいなぁ、とか妄想したり……ふふ
モバＰ,……卯月、お前
凛,卯月！それ、そういうのっ！私がっ！！
幸子,り、凛さん！今はマズイです！なんか……マズイですっ！！
フレデリカ,お～、ナイスブロックだね
卯月,でもですね？私アイドルなんです。ずっとず～と夢だったアイドル……辞めることは出来ない、出来ないなぁって……
モバＰ,……そうだな
凛,離して！あれ、駄目！駄目なやつ！！
幸子,くぬぬ！誰かっ！誰かっっ！！
奈緒,お、おうっ
未央,ご、ごめん！しぶりん、落ち着いて！
卯月,こんな感じで、勝手に失恋してましたって秘密……で……した。あ、あれ？涙が、勝手に……おか……しいな……
モバＰ,ほら、これ使え
卯月,ご、ごめんな……さい……えへへ。お芝居じゃなかなか泣けなくて困るのになぁ。こ、こんな……ふぇぇ
モバＰ,卯月が誰に対して失恋したなんて言ってるのかはわからんけど、そいつは待てない奴なのか？
卯月,ふぇ？
凛,ふんなぁ！行かせてぇ！！あ゛あ゛あ゛っ！！
幸子,っ！！～～～～っ！！！
未央,ふ、ふふ……しぶりん……
奈緒,笑うとこじゃないって！ふぬぬ
フレデリカ,のこったのこった～。頑張れ～前頭三枚目～
幸子,乙女にっ！対して関取、ふぬっ！扱いしないで下さい！て言うか、手伝って！！
フレデリカ,え？関脇のほうが良かった？ごめんごめん！
幸子,うなぁぁぁあああ
三村かな子,……
緒方智絵里,どうしたの？……入らないの？
かな子,今入ると、とっても傷つきそうな気がする……智絵里ちゃん、休憩室でケーキ食べよ？
智絵里,う、うん……いいけど……
かな子,今日はとっても甘いケーキなんだよ。アメリカのケーキ、ほら
智絵里,うわぁ……うわぁ……かな子ちゃん、これ真っ青だよ？若干発光してる……
かな子,美味しいから大丈夫だよ
智絵里,その理屈だと、ふぐ丸々一匹……テトロドトキシンごといけちゃうよ？
かな子,美味しいから大丈夫だよ
智絵里,え？……あ、うん……ごめんね？でも、それ……じゃがいもの芽ぐらいのパワーがありそう……
かな子,美味しいから大丈夫だよ
智絵里,……はい
かな子,じゃ、行こ？
智絵里,……うん
かな子,大丈夫。美味しいから
智絵里,……はい
モバＰ,なんか騒がしいな……卯月、それでどうなんだ？そいつは、卯月がアイドル辞めるその時まで待てない奴なのか？
卯月,うぅ……わかりません……だって、その人は家も建てて、いろんな娘から求婚されるような人ですから
モバＰ,そっか。関係ないけど、卯月が立派にアイドルを勤め上げるまで、俺結婚しないだろうなぁ。なんてな
卯月,ふぁぁあああ！うわぁぁあああ！プロデューサーさ～ん！！わぁぁあああああ
凛,■■■■■■■■■■■ーーー！
フレデリカ,……バーサーカー？
奈緒,んふ。あ、笑っちゃった
幸子,何を自分にビックリしてるんですかぁ！！離さないでくださいっ！！うわっうわわ！！
未央,ていうか、幾らなんでもしぶりんの様子おかしいって！ちひろさん、なんか飲ませた！？
ちひろ,っ！気配消してたのに……なんで、私が原因みたいに……確かに昨日、新作のドリンクあげましたけど
奈緒,ちヒロポンかっ！
ちひろ,なんてこと言うんですかっ！変な成分なんて入ってないですよっ！！
凛,☆☆☆☆☆☆！！あ゛ー！！☆あ゛ー！！☆んあ゛あ゛～！☆
奈緒,ガンギマリじゃねぇか！！アッパーなシュガーハートみたいになってるぞ！！
ちひろ,本当に害は無いはずなんですよ！プロデューサーさんもいつも飲んでるし！これは凛ちゃんのポテンシャルです！
未央,それを引き出したのが問題でありっ！
ちひろ,それは、あの二人の仲に当てられたからですよ
モバＰ,卯月はまだまだ子供だなぁ
卯月,すんっ……えへへ。こうして抱きついてるとプロデューサーさんの鼓動が聞こえて、安心します
モバＰ,そっか。まあ、なんだ。ゆっくりな
卯月,はいっ！
凛,ぅなぁ……
幸子,……急にぐったりしましたね。はぁ……ボクも疲れました
未央,だね。あ～あ、今回はしまむーが持ってったかぁ
奈緒,まぁ、今すぐどうこうって訳じゃないから……でも、卯月の勝ちだなぁ
フレデリカ,決まり手は～シリアス～シリアス～
ハナコ,あんあん！！
ちひろ,ふふ、ハナコちゃんかわいいですね。……美優さん？
美優,……は…………して
ちひろ,ぁ……
美優,Ｐさん……ん
モバＰ,え？んん！？
卯月,！？！？？！？
アイドル達,
美優,んん
モバＰ,！
卯月,――
美優,二人は幸せなキスをして……二人は幸せなキスをして……
モバＰ,え！ちょっ！まっ
美優,二人は幸せなキスをして……
