本田未央,うん……涙は見せないよ。泣くのはプロデューサーの元に帰ってきた時……嬉しい時にとっておくね
モバＰ,うるせーって、やべ！もうこんな時間か！すまん、もう行かにゃいけんわ。今回のお礼とギャラについてはまた後日な！
周子,別にいいよー。あたしが勝手にやったことだし
モバＰ,そういう訳にもいかんの。それじゃあ、今日は色々とありがとなっ！
周子,んー。じゃあまた今度ねー。行ってらっしゃーい
モバＰ,はいよっ！
周子,…………アメリカかー。駄目元で言ってみようかなー
モバＰ,ん～！いい天気だ！これぞ快晴、日本晴れ！アイドルの神様がお前達のデビューを祝福してくれてるようだなっ！
幸子,ボクとしては複雑なんですけど。スカイダイビング決行が確定された訳ですから
モバＰ,練習で何回も飛んだから慣れたもんじゃん！ほらほら、そろそろ飛行場に行くぞ。乗った乗った！
幸子,何回飛ぼうが、怖いものは怖いんですよ……ん？友紀さん？乗らないんですか？
友紀,ここで残念なお知らせです
モバＰ,今朝未明、友紀と共に飛んでたインストラクターさんから連絡がありました。愛が溢れて止まらない……もう抑えられない。ごめんなさい、私は行きます。あの人とと
幸子,……は？
友紀,つまり、駆け落ちという名のドタキャンをかまされたんだ！という事で、幸子ちゃんガンバっ！
幸子,え！？替わりの人は！？
モバＰ,練習してない替わりの人じゃ、演出関係でキビシイだろうってなってな
幸子,じゃ、じゃあ！Ｐさんのインストラクターならっ！
友紀,なぜかプロデューサーも練習してたもんね～。でもね、幸子ちゃん……駆け落ちの相手、その人なんだ
幸子,んなっ！
モバＰ,ついでに言うと、幸子のインストラクターと三角関係だったみたいなんだ
幸子,ちょおっ！！それって精神的にマズイことになってるんじゃないんですか！？
モバＰ,まあ、芳乃が大丈夫って言ってたし……。彼女もプロだ。仕事にプライベートを持ち込まんって
幸子,おもっくそプライベートを持ち込まれた結果！結果っ！！これっ！こ～れっ！！この状況！！！
友紀,あははっ、幸子ちゃん落ち着いて。ただあたしが飛ばなくなるだけ！やる事は一緒だよっ！
幸子,インストラクターの心が壊れているかもしれないんですよ！？……あ！別にボクじゃなくて、友紀さんが飛んでもっ！
モバＰ,っと、時間ないな。それじゃ、友紀。みんなと一緒に会場入りしてくれな。俺も幸子を送り次第すぐ行くから
友紀,オッケー！じゃ、幸子ちゃんドア閉めるよ！
幸子,ちょ！ボクの話はまだ終わって……ま、まって
モバＰ,いざ、でっぱつだ～！
幸子,あぁ！もう！釈然としない～！あぁぁ……
友紀,行ってらっしゃーいっ！
神崎蘭子,新たな堕天使達の行進を彩る為に、魔王自らこの漲る魔力を解き放ってこよう！今日デビューする子達の成功を願って、精一杯盛り上げてきます！
モバＰ,ならば見せてみよ！その覇道を歩んできた己の力をっ！
蘭子,……？
モバＰ,あ、伝わらない。……うん。蘭子のアイドル力を魅せつけて、盛り上げてくれ！トップバッター頼むな！
蘭子,くっくっく……下僕たちを跪かしてこよう……任せてください！
財前時子,アラアラ、時子様の前でよくもまあ言えたものね？誰が何を跪かせるって？
蘭子,ひぃ！わ、我が友よ！時が来たようなので、その……行ってきますっ！―――み、みなのもの～！や、闇に飲みゃ！っ……やみのま～！
モバＰ,……時子さん、開演寸前に脅すの勘弁してくださいよ。蘭子パニクって、やみのま言うてますやん。盛り上がってるからいいけど
時子,ふん、あんなもの脅しのうちに入らないわ。ただまあ、下僕たちを跪かせるのは私だとハッキリさせとくべきだわ
モバＰ,あれはそういう意味じゃないッス。実際に跪かせるのは時子さんくらいッス。普通ありえないッス
時子,アァン！？
モバＰ,ッス。すいませんッス
双葉杏,……なんか最近変な感じだったけど、いつも通りの変なプロデューサーに戻ってるね
モバＰ,おう、杏か。新人達は？ていうか、今ディスった？
杏,楽屋でソワソワしてるよ。出番はまだ先だしね
モバＰ,幸子が降ってきた後だもんな。それより、ディスったよね？
杏,時間にどうしてもズレが出るから、テンションのコントロールも難しいよね
モバＰ,そうだよなぁ……ディスった？
時子,しつこいっ！！
モバＰ,イッ！？イッテ！鞭イッテ！！
杏,……ほんと元のプロデューサーだね。最近悩みでもあったの？
モバＰ,軽くね。もう解決したけど
杏,ふ～ん。それは聞いてもいいの？
モバＰ,そうだな、すぐ知ることになるだろうし二人には言っとこうか。少しばかり会社から離れることになった
杏,は？離れる？
時子,……
モバＰ,うん
大沼くるみ,……え？
森久保乃々,……え？
モバＰ,おおう、いつの間に……
くるみ,ぷ、ぷろでゅーしゃー……居なくなっちゃうのぉ？
モバＰ,うん、まあ……留学することになってな。プロデュース業の
くるみ,なんでぇ？なんでぇ？……ふぇぇ、くるみ達がアイドルを上手く出来てないからぁ？うぅ、ごめんなさいぃ……
モバＰ,違う違う！くるみ達は本当によくやってくれてるよ。人気も順調に上がっているしな！
乃々,じゃあなんで行くんですか？納得いかないんですけど……
モバＰ,えっと……765プロの勢いが凄いだろ？あの躍進っぷり
乃々,なんですか急に……765プロは元々凄かったと思うんですけど
モバＰ,そうなんだけど、最近は特にな？それで、その秘密を部長が調べたんだよ。そしたら、765プロのプロデューサーが留学に行ってたらしくて
杏,それなら、うちのプロデューサーも行かせてみようと？
モバＰ,ご名答
杏,え～、マネっこじゃん。プライドはないの～？
モバＰ,おぉ～、あの杏からプライドの有無を責められるとは……成長したな！
杏,うるさいなぁ。どうせ、会社にとってプラスになる事はドンドン吸収していくもんだとか、どーでもいい事言うんでしょ？はぁ～やだやだ。そーやって杏達を捨てるんだ。あ～あ、やる気無くしたな～
モバＰ,会社が云々については企業として当たり前なの。あと、捨てるとか滅多なこと言うなって
杏,だって行くんでしょ！？ふんっ
モバＰ,拗ねんなよ。そんなんカワイイだけだって、な？乃々、くるみ？
乃々,うぅ……うぅ！
くるみ,ふぇぇ、んぐぅ……ふぇぇん！
モバＰ,……カワイイだけだぞー？泣くな泣くな
時子,……それで、期間は？
モバＰ,一年くらいだとは聞いてます
時子,あら、そんなものなの。ふん、そんな大袈裟に
くるみ,い、一年！？や、やだぁ！そんなにぷろでゅーしゃーと離ればなれになるなんてぇ！
時子,……いい度胸ね。私に被せてくるなんて
くるみ,ひぃ！で、でもぉ、一年も居なくなるなんて聞いたらぁ……
時子,たった一年でしょう。時間の感覚ですらその無駄な脂肪に吸収されてるようね
モバＰ,まあまあ、若い頃は時間が長く感じるようになってますから、仕方ないと
時子,アァ！？私がババアとでも言いたいの！？殺すわよ！！
モバＰ,滅相もございません！お美しい時子様にそんな畏れ多い！
時子,ふん！……まあいいわ。精々あっちで勉強して、この私に釣り合う男になってきなさい
モバＰ,うす！頑張りますっ！
時子,あなた達も、この業界に入って多少は強くなったでしょう。こんなしょっぱい男が、たかだか一年居なくなるくらい我慢なさい
杏,……はぁ～。仕方ないか。プロデューサー、飴の作り置きは大量にしといてよ
乃々,うぅ……。プロデューサーが居ないと、不安で逃げたいですけど逃げたら後悔しそうなので……頑張ってみます……
くるみ,ぐしゅ、うん。ぷろでゅーしゃーに心配かけたくないから、くるみも頑張りゅ……
モバＰ,お前ら、成長したなぁ……俺もお前らに負けないようレベルアップしないとなっ！…………時子さん、ありがとうございます
時子,ほっといたらギャーギャー五月蠅いでしょう。もう私を煩わらせないよう、他の小娘達には貴方がよく言って聞かせておきなさい。今日中によ
モバＰ,今日中ッスか……担当アイドルが珍しく揃ってますもんね。丁度いいか
杏,さ～て、何人の女を泣かすのかな？すでにくるみと乃々を泣かせたジゴロさんは
モバＰ,ヤな言い方すんなよ。大体留学の事を知らない人で、泣くようなタイプいないだろ
杏,え～？そう？
モバＰ,だって、拓海に巴、佐藤さんに鈴帆だろ？んで、楓さん、菜々さん、蘭子、新人達……え、濃ゆくない？
杏,特に宮本フレデリカという未体験ゾーン……。うん、杏が悪かったよ。強いて言うなら、泣きそうなのは蘭子ちゃんくらいだ
モバＰ,ですよねー……っと、その蘭子のステージが終わりそうだ。まだ、幸子班から連絡が無いな……。予定通り幸子が降ってくるまで、四人で場つなぎお願い
時子,ふふ、本当の跪かせかたを見せてあげるわ。アーッハッハッハ！！
モバＰ,……うい。ん？くるみ？
くるみ,あのね……やっぱりまだ悲しいからぁ……ステージに上がる前に勇気がほしいぃ
モバＰ,勇気？
くるみ,初めてライブしたときみたいに、ギュってしてほしいぃ
モバＰ,……みんな蘭子を見てるな。もし見られたとしてもスタッフだし、くるみのキャラなら変な誤解はせんだろ。よっしゃ、来い！
くるみ,うんっ！
モバＰ,そう言えば、前は最初で最後の特例とか言ってたな……
くるみ,くるみばかだからぁ、忘れたのぉ……ありがと、ぷろでゅーしゃー。もう大丈夫
モバＰ,よし！これで……ん？
乃々,……ぎゅってしてくれれば勇気でるぅ
モバＰ,はは、前と同じ流れか。その唐突なモノマネに敬意を
乃々,う～……やっぱりちょっと恥ずかしい……
モバＰ,さて……こうなると
杏,……はいはい。たかいたかい、たかいたかい
モバＰ,ん
杏,っ！？……ん
モバＰ,フェイント！そら、高いたか～い！！うえははは
杏,んな！？ちょっ！！やっ……ばかっ！…………ふへへへ
くるみ,……いいなぁ
杏,またしても楽しんでしまった自分に腹立つ……
モバＰ,そして……
時子,あ？
モバＰ,さ、さーて！みんな出番だぞ！盛り上げていこうっ！
くるみ,うんっ！
乃々,できるものなら……
杏,ぼちぼちね
時子,私の邪魔はしないように
モバＰ,うおー！幸子がセットに引っかかったぁ！！。……ふふ。！？
未央,お疲れさまっで～す
奏,あら、どうしたの？ツアー中よね？
未央,今日収録があるから、私だけ一時的に戻ってきたんだ。しぶりん達もちょいちょい戻ってくると思うよ
奏,そうなの？大変そうね
未央,そうそう、人気者のつらいところですなぁ～
奏,ふふ。その人気にあやかりたいわね
未央,うむうむ、くるしゅーない！なんてね！ところで、その写真デビューイベントの？
奏,そうよ。Ｐさんが撮ってくれたの
未央,おお……綺麗な衣装だ
奏,綺麗な蒼でしょう？Ｐさんがこの日の為に用意してくれたのよ。デビューの記念にってプレゼントしてくれたわ。ふふ
未央,蒼……プレゼント……。はやみん、それ……しぶりんには言っちゃダメだよ。七面倒くさい事になるから
奏,そんな真顔で……。まあ、わかったわ
未央,ん。それにしても、プレゼントは羨ましいな～。私もプロデューサーにおねだりしてみようかな……って、居ないね
奏,京都に行ってるわ。お礼がどうとか言ってたわね
未央,え～、会いたかったんだけどな～。収録終わったらすぐ戻らないといけないから、今日会えないと当分先になっちゃうなぁ
奏,……
未央,……どしたの？
奏,ううん。なんでもない。いつか逢える日はくるわ
未央,え……それって……って、小芝居してる場合じゃなかった。私そろそろ行くね！プロデューサーによろしくっ！
奏,ええ。頑張ってね
未央,おうよ！
奏,当分先、ね……。ふぅ、心の整理にまだ時間がかかるわね
モバＰ,ただいま戻りました。ん～……
ちひろ,おかえりなさい。どしたんです？眉間にしわ寄せて
モバＰ,ちょっとした案件が出来まして。また今度、部長と京都に行くことになったんですよ
ちひろ,留学前に何かやらかすなんて……飲みに行きます？
モバＰ,いやいや、そういう事じゃないですって。個人的には面白そうな事を提案されて……アイドル育成に可能性が広がるだろうし……でも、シェアハウスか……
楓,たるき亭に予約入れときますね
ちひろ,……プロデューサーさん、どうやら飲みは確定されたようです
モバＰ,え？あぁ、了解しました。……ん？楓さん、いつからそこに？
楓,芳乃ちゃんと一緒に机の下にいたら、飲みのお話が出たのでニュッと
モバＰ,はぁ、ニュッと……え！？机の下！？
芳乃,わたくし登場ー
モバＰ,全然気付かんかった……芳乃はともかく楓さんの気配まで感じんとは……ていうか、よく収納出来てたな
楓,芳乃ちゃんを抱っこしたら、スッといけましたよ？
モバＰ,ああ、なるほど。それで気配も
ちひろ,納得しちゃうんだ
モバＰ,芳乃ですから
ちひろ,もう、それでいいです
芳乃,ねーねーそなたー。わたくしもー、お供したくー
モバＰ,ダーメ。子供は居酒屋に入ってはいけませーん
芳乃,むー
モバＰ,むくれんなって。そうだな……明日の昼、どっか上手いめし屋に連れてってやるから
芳乃,約束でしてー。レッスンが終わり次第、速やかにー
モバＰ,はいよ。………………もう、大丈夫そうだな
芳乃,……みなのために祈り舞う、これもわたくしの喜びだと思いましてー。あのステージはわたくしを成長させてくれましたー
モバＰ,そっか
芳乃,でもー、そなたが旅立つその日がくるまではー、甘えるのでー、そこのところよしなにー
モバＰ,了解。好きなだけ甘えな
ちひろ,そなたが旅立つその日がくるまではー、飲み代甘えるのでー、そこのところよしなにー
モバＰ,はは、うける
ちひろ,……雑すぎでしょ
楓,ふふ。旅立ちの時までたくさん飲み会……お話をしましょうね。プロデューサーが留守だと飲み会も減……プロデューサーとの絆の深め合いが出来なくなりますから。……寂しくなります
モバＰ,酒目当てなの隠す気ないですね？それでも、その憂いの表情とセリフに嬉しく思ってしまうのが悲しい男の性
ちひろ,アホですね
モバＰ,そう、だから奢りたくなってしまう
ちひろ,……私もプロデューサーさんと絆の深め合いが出来なくなるのは、寂しいです
モバＰ,はは、うける
ちひろ,ふふ
モバＰ,……
ちひろ,……
モバＰ,絶対奢らん！
ちひろ,絶対奢られる！
楓,二人いつも仲良いですね～。ふふ
芳乃,むー
モバＰ,さて、やり残したことはもう無いかな。主だったスタッフさん達に挨拶も済ませたし、荷物も送った。業務引継書も纏めたし……よし、終わり！
ちひろ,お疲れさまです。出発は来週ですよね？もしかして、それまでお休みなんですか？
モバＰ,その予定だったんですけど、今日からもう一仕事申し付けられて
ちひろ,また、京都関係ですか？
モバＰ,その件は、あれよあれよという間に決まりました。もう、なるようになれですよ
