俺,かばんさんは言ったそうなのだ。困難は駄作ＳＳは
フェネック,焦らずゆっくり思い出せばいいからねー
アライグマ,そうなのだ
辻,
児玉,
ミミズク,大洗、優勝校と聞いていましたが全く大したこと無いですね
コノハズク,我々が強すぎるだけなのだろう
辻,な、何ですかあの装備は？
ミミズク,６０連装ロケット砲・カリオペですが？
辻,名前なんてどうでもよろしい！こんな試合は認められない！
コノハズク,言いがかりはよしていただきたい、ちゃんと１９４５/８/１５ルールに則っているのです
ミミズク,今は納得できなくとも試合が終わるまでに認めていただければこちらは構わないのです
辻,それは・・・いや、弾数制限に抵触しているのでは？
ミミズク,カリオペは使い捨て装備で試合中に再装填できないのです、いわば６０連装砲１投射で一発なのです
辻,６０倍で一発なんて詭弁もいいところでしょうが！
コノハズク,考え方次第ですよ、そもそも質量的な事を問題にするのなら誰かさん御自慢のカールの砲弾一発にも満たないのです
辻,う・・・
児玉,申し訳ない、手洗いに行ってくる。・・・
サーバル,カメレオン、大洗はどうしてる？
カメレオン,シロサイ車乗員・忍道からの転科、単独偵察中
サーバル,攻撃の正体を理解して２射目は無いと考えたみたいだね。コッチとの練度の差を考えれば仕掛けてくると思ったんだけど
アライグマ,大会の記録を見ても大洗は逃げてばっかりなのだ
フェネック,逃げてるんじゃなくて有利な場所を選んでるんだよー、かばんさんの読み通りだねぇ
サーバル,うん、でもこの先にある川だって流れの緩やかな場所はとっくにカバが調べてあるんだから。カバ、お願い！
優花里,あわ、あわわわわ
カバ,撃てー！！
優花里,ああ、ウサギさんチームが流されそうであります！。撃破判定がでてるから自力で動けないんですぅ
サーバル,大変、助けなきゃ！。カバはそのまま隣から支えてあげて、みんなも一列に進んで！。かばんちゃん、ワイヤーにロープを結んで！
優花里,はいっ、サーバル殿！
サーバル,じゃあ行ってくるね。ほいっ、ほいっ、ほいっ、ほいっ、ほいっと
優花里,うわぁ、凄いジャンプりょくぅでありますよ
サーバル,はい、このロープをみんなで引っ張ろうね
梓,あ、ありがとうございます
サーバル,仲間の無事を確認したからⅣ号は逃げちゃったね
ヘラジカ,シャーマンイージー８
アルマジロ,シャーマンジャンボ
シロサイ,シャーマンジャンボ
優花里,えっ？鎚と金床戦術まで用意してたでありますか！？
サーバル,突撃しか考えないヘラジカ小隊に防御を教えて仲の悪かったライオン小隊といい勝負をさせて仲直りさせたのはかばんちゃんだよ
アライグマ,他のフレンズもかばんさんのアドバイスですごく助かっているのだ
フェネック,かばんさんが私達の事を思い出せなくても私達は感謝してるからねー
優花里,どうやらそのかばん殿は相当な知恵者のようでありますな
サーバル,せんしゃどーって死んだフリをされたら困るんだけどわざわざ確認しなくても審判が教えてくれるから楽ちんでいいね、かばんちゃん♪
優花里,
フェネック,川を渡る時が一番危ないねー
サーバル,動きが鈍くなるし流れの中で撃ち返しても中々当たらないよね。でもかばんちゃんはちゃんと対策してたんだから
アライグマ,かばんさんは聡明なのだ
サーバル,ジャガー、カワウソ、準備できてる？
ジャガー,Ⅳ号架橋仕様
カワウソ,同乗
優花里,
サーバル,フラッグのライオンは後ろについて、アラビアオリックス・オーロックスは護衛よろしくね。あと念の為のアレの準備もお願い
アラビアオリックス,シャーマンＡ１
オーロックス,シャーマンＡ１
ライオン,シャーマンイージー８
サーバル,カメレオンも作戦通り適当にアレを選んでおいて
カメレオン委細承知！,拙者、忍道を取っていた時よりも忍っぽいでござるぅ
サーバル,私、ヘラジカ、シロサイ、アルマジロ、トキ、ジャガー、カバの順で１００メートル間隔の横陣で展開！。みんなー、狩りごっこ始めるよー！
高らかに笑い笑えばフレンズー,フレンズー
優花里,
アライグマ,岩場の中に隠れられたのだ
フェネック,このまま進んだらコッチが狩られちゃうねぇ
サーバル,遮蔽物の多いここで懐に飛び込まれたらかなりヤバいかな
フェネック,この試合で初めて戦車に乗るフレンズも多いからねぇ
ツチノコ,カバ砲手
優花里,なんでわかるでありますか？
サーバル,全車榴弾装填、しらみつぶしに岩を破壊してここから追い出して。撃てー！。今度は藪の中に入られちゃった
アライグマ,残り１両なのに諦めが悪いのだ
フェネック,でも練度に差があるからねぇ
サーバル,どう、ツチノコ見える？。トキ、ギンギツネ、キタキツネ、ここで決着をつけるよ！
トキ,シャーマン車長
アルパカ,同装填手
トキ,せんしゃの上～で～食べ～る～ジャパ～リまんは美味しぃ～い、しんはっけ～ん
キタキツネ,カバ操縦手
ギンギツネ,同通信手
フェネック,りょーかーい。こっちはＬ１５方向から聴こえるねー、サーバルはー？
サーバル,私も同じだよ
フェネック,で、この２方向の交差地点はー・・・Ｃ１０だねー
アライグマ,やっぱりフェネックは凄いのだ
優花里,アクティブソナー・・・。動物コスしただけで何故そんな能力が？
サーバル,逆だよかばんちゃん、能力に合わせて動物を決められてるんだよ
フェネック,入学時に遺伝子検査を受けるからねぇ、だから適性に合った指導を受けられるんだよー
アライグマ,ジャパリ学園艦メインコンピューターラッキーシステムなのだ
優花里,なら・・・かばん殿は一体なんの動物でありますか？
サーバル,かばんちゃんはヒトのフレンズなんだよ
フェネック,学園はじまって以来のケースって聞いてるよー
サーバル,みんなー、Ｃ１０地点の大きな藪に一斉射撃。これで終わりだよ。撃てー！！
優花里,西住殿おおおーー！！
サーバル,うーん撃破のアナウンス、聞こえてこないね
スナネコ,ヘラジカ通信手
サーバル,試合中に飽きちゃダメ！
優花里,西住殿・・・
Ｔ２８ｺﾞｺﾞｺﾞｺﾞｺﾞｺﾞ,サーバル車
麻子,最強すぎるだろ・・・
みほ,アレに優花里さんが捕まってる！
麻子,正面からは無理だな
みほ,後ろに回り込んでください。まだです、華さん撃ち続けて！
華,ダメです、大きすぎます、動きを止めることもできません
沙織,やっぱりダメだよ、硬すぎて傷もつかない！
みほ,優花里さんを返して！
麻子,西住さんこのままじゃ危険だ、一旦離れるぞ！
みほ,ダメだよ、まだ優花里さんが、優花里さんが！！。優花里さんを返して！返してよ！！。ボッチ気質のストーカーでぶっちゃけ引くくらいの戦車マニアで
優花里,
みほ,でもみんなの為に偵察もかってでてくれて。まだヤリたいことも一緒にイキたい所も・・・。優花里さんを返してよぅ！！。！？
オレンジペコ,浅いですね
ダージリン,大きいだけでなく硬い、確かに面倒ね
みほ,ダージリンさん、どうして！？
ダージリン,連盟理事から連絡を受けましたの
オレンジペコ,戦車道の危機と伺ってます
ダージリン,ペコ、装填急いでね
オレンジペコ,はいダージリン様
華,心強いのですけど相手が悪すぎます
ダージリン,超重戦車相手ではこれが限界かしら
オレンジペコ,そうですね、私達だけでは仕方ありません
ダージリン,大洗短期転校組の強さを見せてさしあげます
カチューシャ,ミホーシャは甘いわよ
アンチョビ,仲間を守るのはドゥーチェの仕事！
ケイ,オッドボール、生きてるー？
ミカ,現実こそホラーなのさ
エリカ,助けに来たわよ、みほ！
まほ,うちの妹にぃ手ぇ出してんじゃねぇぞー！
絹代,でやああああああ！！
福田,Ｔ２８の履帯をやったであります！
アリサ,いやこれは！？
エリカ,あ！モジャ毛が出てきたわ、回収する！
カチューシャ,マズイわね、攻撃させないで！
みほ,沙織さんモクモク用意！。今です！
全員,一時退却、逃げろー！！
みほ,優花里さん！優花里さん！！
おりょう,助かったぜよ、いきなり緑色の忍者に拐われて
みほ,。・・・危ないので取り敢えずⅣ号の中に
サーバル,ライオン、準備できてる？。かばんちゃんのキャリーカート作戦！。牽引式ロケット砲、撃てー！！
みほ,態勢を整えて再度反撃に移ります、パンツァー・フォー・・・ん？
大洗全員,わーーーー！？？
審判＜大洗全車両、行動不能・・・,震え声
審判＜ジャパリ学園の勝利・・・,棒
優花里,
辻,
児玉,
コノハズク,とんだ邪魔が入って焦ったのです
ミミズク,ですが結果は同じでしたね
児玉,これほどの装備をどうやって調達を？
ミミズク,懇意にしていただいているファミリーマート様となか卯様に資金援助をしていただきました
プレーリードッグ,博士殿、カリオペと牽引式ロケット砲の量産製造ライン完成したであります
ビーバー,月産３００基づつイケるっすよ
辻,製造ライン！？いったいいつから準備を？
コノハズク,一週間前、貴方がお帰りになった後すぐにからですね
ミミズク,資料の古い写真が１枚あれば図面を起こせる者がいるのです
ビーバー,それほどでもないっすよ
ミミズク,さらに図面があれば即興試作無しで現物を製作できる者もいるのです
プレーリードッグ,照れるであります
コノハズク,我校の生徒は優秀なので
辻,いや、ジャパリ学園は徹底した自然回帰主義で学園艦に一切の電子機器の持ち込みを禁止するほどにと聞いている。その工業科は農業科が使う農機具の開発・生産が主だともな、ロケット砲とて一試合分しか用意できないブラフに決まっている！
コノハズク,まったく、とんだ勘違いをしているようなのです
ミミズク,確かに工業科は艦内使用設備や道具の小規模生産が主だった活動ですがそれは学園艦という閉鎖された市場ならではの事情によるものです。販路さえ確保できれば量産するのです
コノハズク,そもそも学園艦に居住しておいて科学を否定するわけないですよね？
ミミズク,電子機器の持ち込み制限とて学園艦運営コンピューター保護の為にウィルス等を物理的に遮断する為なのです
辻,ならそのふざけた姿はなんだ！
コノハズク,科学万能主義を戒めるのが目的・・・というのは建前で、可愛いくないですか？
辻,
児玉,あの、そんなに作ってどうするつもりなんです？
コノハズク,大洗に勝ったという実績を示して日本中の弱小戦車道隊に売り込むのです
ミミズク,どこの誰が呼び寄せたかは知りませんが３倍もの高校連合を殲滅した事実は良いアピールポイントになるでしょう
児玉,う・・・
ミミズク,カリオペさえあればどんな強豪チーム相手にも勝てるのです
辻,フ、フハハハ、その商売は成立しない！保有チーム同士で試合をしたらどうなる？
ミミズク,その時は勝率１/２になるだけです、が、結果としてのカリオペが勝つという事実は変わらないのです
プレーリードッグ,対戦相手が導入したとあれば更に上回る数が求められるでありましょう
ビーバー,つまりカリオペの配備数が勝敗を分けるッス
コノハズク,言い換えればどの隊を勝たせるかは我がジャパリ学園の供給次第で思うままなのです
辻,我々がこのままお前達の思惑通りに事を運ばせると思うのか？
コノハズク,そうですね、連盟が率先してロケット砲を生産すればこちらは大赤字ですね
児玉,そんな事できるわけなかろう！
ミミズク,わざわざのご忠告感謝です、が、今の発言は文科省学園艦教育局長も認めたとセールストークに使わせてもらいましょうか
辻,
プレーリードッグ,早速量産開始であります！
児玉,待ってくれ、そんな事をしたら戦車道そのものが衰退、いや滅びてしまう！
コノハズク,それは偉い人で対策を講じてほしいのです
ミミズク,我々一学生には荷が勝ちすぎるので
児玉,
辻,・・・わかりました、ジャパリ学園は戦車道の教科選択を任意とし強制はしません
コノハズク,無理をする必要は無いのです、我々はこのままま無限軌道杯で優勝させてもらうのです
児玉,お願いします、これ以上イジメないでください、戦車道から手を引いてくださいー！！
コノハズク,それはできないのです、そこの教育局長殿の強い意向で戦車道隊を立ち上げてそれに合わせて食品加工科を廃して工業科に統合したのです
ミミズク,当学園艦の最大の収入源にしてファミリーマート様に絶大な評価を頂いている完全バランス栄養食品じゃぱり学園名物ジャパリまんを諦めたのです
児玉,そこをなんとか！
コノハズク,戦車道を教科から外すとなると旧食品加工科の生徒の処遇とカリオペに替わる収入源をを考えねばなりませんね
ミミズク,どうしてもとおっしゃるのなら食品加工科は今まで通りに戻すとして・・・そうですね、カリオペ製造ラインとじゃぱりまん製造ラインの更新費用を交換でいかがでしょう？
児玉,わかりましたぁ、要求を全て受け入れますぅ
プレーリードッグ,いいのでありますか？カリオペのはラインというのは名ばかりでその実は手動の工作機械でありますよ？
ビーバー,プレーリーさんの職人技がなければ何も作れないっすよ？
コノハズク,構わないのです、相手の目的はカリオペだけではなく我々から生産手段を取り上げることなのです
ミミズク,むしろジャパリ学園艦でのみ簡易な設備で製造できるというのは交渉材料としては有効なのです
コノハズク,ビーバーよ、プレーリードッグでなくともカリオペを製造できる工作機械を再設計しておくのです
ビーバー,了解ッス
プレーリードッグ,確かに相手が口約束を守る保証は無いでありますな
コノハズク,それも考えないではないが
ミミズク,いい機会です、ここは毟れるだけ毟りチョイチョイするのです
コノハズク,そういう事だから直ちに二人でカリオペ製造ラインの製作に取り掛かっておくように
ミミズク,製品は連盟がこちらの言い値で引き取ること疑い無いのです
コノハズク,今後ともお互いに良い関係を築いていきたいものですな
辻,二度とツラを見せるな、この畜生共！！
サーバル,こっちの損害は無し、みんな、ジャパリ学園に帰るよー！
全員,おーー！！
サーバル,どこに行くのかな？かばんちゃん
優花里,お願いであります、大洗のみんなの所に帰してくださいー！
サーバル,やだなぁ、みんなでジャパリ学園に帰るんだよ？
優花里,わーーん！！
サーバル,かばんちゃん？どうしたの？どこか痛いの？
優花里,おうちに帰してほしいでありますぅ
サーバル,だからかばんちゃんの居るべき所はここなんだからね
優花里,お母さん、お父さん、西住殿、なんで助けに来てくれないのでありますかぁ
マーゲイ,どうしてでありますかねぇ？
優花里,
サーバル,そうだ、かばんちゃんにイイモノ見せてあげる！。コレだよ。ビーバーとプレーリードッグが改造したんだよ
プレーリードッグ,自信作であります、特にサスペンションの反動はビーバー殿もお気に入りであります
ビーバー,言わないでほしいッス
プレーリードッグ,ライオン殿とヘラジカ殿の決闘意味深。先程助手殿からも褒められたでありますよ、博士殿は泣いていたでありますが
ビーバー,バスの中では良い声で鳴いてたっスけどね
優花里,あわ、あわわわ、ですから自分は大洗の生徒だと何度言えばわかってくれるでありますかー！？
サーバル,かばんちゃん、こんな言葉を知ってる？イッパツだけなら誤射かもしれない
優花里,！！？やっぱりわかってて・・・
サーバル,だってぇかばんちゃんに告白してもしも拒まれたりしたら立ち直れる自信無いしぃ
優花里,なに純情乙女ぶった言い方してやがるでありますか！！やろうとしてることはケダモノのソレでありますー！！
サーバル,いやぁ。私達の次はフェネック達の番だからね、その後もつかえてるよ、さ、早く早く♪
優花里,嫌じゃ！！ケモノの子など孕みtonight！！
プレーリードッグ,あ、逃げたであります
サーバル,かりごっこだね？負けないんだからー
優花里,いやー！！
サーバル,わーい！
優花里,なんでー！？
サーバル,わーい、おっ楽っしみんみー！
優花里,・・・
サーバル,あれ？隠れちゃった？
かばん,久しぶりのジャパリ学園、ぜんぜん変わってないや。いきなり現れてサーバルちゃんをビックリさせちゃおう
サーバル,かばんちゃん見ぃつけた！船着き場に張り込んで大当たり～♪
かばん,えっ！？
サーバル,もう逃がさないんだから！
かばん,えっ！サーバルちゃん？えっ？えええっ！？
優花里,ああ、通りすがりの誰かが巻き添えになったであります
かばん,へぇ、この車おっきなベッドがついてるんだね
サーバル,あれ？諦めたの？
かばん,？
サーバル,かばんちゃん！！
かばん,！！？
サーバル,かばんちゃんかばんちゃんかばんちゃーーん！！。ふう
優花里,・・・
サーバル,えっ！？ええええええーーーー！！！？？？。じゃあこのかばんちゃんは・・・？
かばん,もうサーバルちゃんたら、ボクの気持ちに気付いてたんだね。でも初めてなんだし少しはムードを大切にしてほしかったかな
サーバル,・・・
優花里,・・・
サーバル,・・・
優花里,・・・
かばん,サーバルちゃん！！他の子の事なんか見ちゃダメ！・・・あれ？その子ボクに似てるかも？
サーバル,ヤバッ！。あなたセルリアンね！かばんちゃんになりすまして何か悪いコトするつもりね！？
優花里,えぇーーー！？
ビーバー,また逃げたッス
サーバル,大丈夫、かばんちゃんは私が守るからね！
かばん,サーバルちゃん・・。お願いサーバルちゃん、今はボクだけを見てほしいの
サーバル,そうだよね、うん、おかえり、かばんちゃん！
かばん,はい、ただいまです。さっき連絡船乗り場で張り込んでたって言ってたけど・・・もしかしてボクのことずっと待っててくれたの？
サーバル,ダメだよね私、かばんちゃんのことを思い出してると気付いたらいつも連絡船乗り場にいちゃうの
かばん,サーバルちゃん・・・
サーバル,えっ！？
かばん,初めて会った時のお話覚えてる？
サーバル,えっと・・・食べないでください？
かばん,やめないよーー！！
サーバル,！！？
かばん,サーバルちゃんサーバルちゃんサーバルちゃーん！！
プレーリードッグ,ソレ以上激しくすると壊れるでありますよ！？
ビーバー,想定外ッス
プレーリードッグ,わわっ！？あんな事して大丈夫なのでありますか？
ビーバー,プレーリーさんも俺っちにアレしたいッスか？
プレーリードッグ,大切なビーバー殿にあんな事できないでありますよ？
ビーバー,でもプレーリーさんが望むのなら俺っちは・・・
プレーリードッグ,ビーバー殿・・・
ビーバー,カリオペ、もっと作りたいッス
プレーリードッグ,今夜は徹夜であります！
かばん,ふう
フェネック,あれぇ、かばんさん？いつコッチに来たのー？
アライグマ,何言ってるのだ？かばんさんはずっと前に帰ってきているのだ
フェネック,ああ、うん、そうだったねぇ
かばん,ボク今帰ってきたんだけど？
フェネック,まあまあ、ってあれ？サーバルってばなんかお疲れ？
サーバル,か、かばんちゃんのはね、スッゴイんだから・・・
フェネック,oh…
アライグマ,そうなのだ、かばんさんのは肥大なのだ。農業科の争いを枯らして
フェネック,そうだねぇ・・・えっ！？
かばん,フェネックさん
フェネック,。あ、ああ・・アライさんを洗わなきゃ、キレイにしなきゃ・・・
ハシビロコウ,・・・。ジャパリ学園は平和で豊かな地上の、もとい洋上の楽園です♪。その後当学園で開発した物質再生・環境調整ナノマシンサンドスターのテストを大洗学園艦で行い人間関係ごと全てが修復されました
優花里,サンドスターってすっごーい
俺,ファミマはともかくアニメコラボのなか卯に入る勇気は無かった
みほ,ヒトのいないジャパリパークならもう戦車道しなくてもいいんだよね・・・。いやー！
サーバル,かりごっこだね？負けないんだからー
みほ,なんで！？
サーバル,わーい！。あれ？隠れちゃった？。あっ！そっこだー！
みほ,ごめんなさいごめんなさい、もう怒らないで
サーバル,怒ってないよ！？
みほ,もう二度と戦車道はしません、だから許してくださいっ
サーバル,だから怒ってないってば！。落ち着いた？。ごめんね、私かりごっこが大好きで、あなたはかりごっこが好きじゃないフレンズなんだね
みほ,あなたはここの人ですか？
サーバル,私サーバル、この辺は私のナワバリなの、あなたは？どこから来たの？それ何？
みほ,サーバルさん・・・私は西住みほ、黒森峰から来ました、あとこれは学生鞄です
サーバル,かばんちゃんだね！くろもりみねちほー？わかんないや
みほ,。あなたもフレンズさん？ですか？
サーバル,あっダメ！それはセユリアンだよっ！！逃げて―！！
みほ,うわわ！？
サーバル,ミャミャミャミャミャー！えーい！！
みほ,びっくりした・・。また！？
サーバル,なんでかばんちゃんばっかり狙うの！？えーい！！。アレはセユリアンていうの、フレンズを繁殖的な意味で。でもアレくらいのサイズなら自慢の爪でやっつけちゃうよ
みほ,凄いですねサーバルさん、私にはそんな力・・私って相当ダメな人間なんですね・・
サーバル,大丈夫だよ、私だってみんなからよく寝坊助とか食いしん坊とか発情期とか言われるもん
みほ,すごい木・・
サーバル,大きいでしょーさばんなには所々に木があるんだよ。あ、そうだ、木登りができると逃げたり隠れる時べんりだよ。ちょっとやってみない？。ね、カンタンでしょ？
みほ,無理ですよぅ
サーバル,この低いのだったらどうかな？
みほ,よいしょ、よいしょ
サーバル,いいでしょ？木登り
みほ,わー
サーバル,！？
みほ,どうしたの？サーバルさん。あの大きなのもセユリアンですか？
サーバル,さっきのあの声、誰か食べられちゃったかも
みほ,えっ！食べられ・・！？
サーバル,助けなきゃ！！。えっ？。石がないよ、どこ！？。うわわっ石が無いよ、なんでー！？
みほ,サーバルさんセユリアンの後ろに石が！
サーバル,めちゃくちゃ見てるよ、向こうを向いてよ！。どうしよー、こんなの初めて見るよー
みほ,私が回り込んで近づきます、合図したらサーバルさんは背中を狙ってください！。はいっ今です！！
サーバル,えーい！！。・・・
みほ,えっと・・・
サーバル,すっごーい、今のなになに！？。あんなおっきなセユリアン簡単に倒せちゃったよ！
みほ,あれは戦車道なら普通の作戦で・・
サーバル,せんしゃどー？
みほ,えっと、戦車道というのは・・
サーバル,わかった！せんしゃどーってせんしゃを使ったたたかいごっこの事なんだね
みほ,
紗希,コンニチワ
サーバル,うっわーー！！紗希がしゃべったーーー！！？
みほ,普段そんなに喋らないんですか？
サーバル,はじめて聞いたよー
紗希,僕ハ紗ッ希ービーストダヨ、君ノ名前ハ？手ニ持ッテルノハ何？
みほ,西住みほといいます、これは学生鞄です
紗希,カバンダネ、登録シタヨ
みほ,
紗希,カバン、突然ダケドサバンナチホーハ閉鎖サレルヨ
サーバル,えー！なんでー！？
紗希,・・・
みほ,どうしてここが閉鎖されるんですか？
紗希,セユリアンガ増エタカラネ、一区画ヲ閉鎖シテハンターノ負担ヲ減ラスンダヨ
みほ,さばんなちほーの閉鎖を取り消してもらうにはどうすればいいんですか？
紗希,セユリアンヲ退治スレバ問題ナイネ
サーバル,わかった！さばんなちほーの仲間を集めて来るね
カバ,大変なことになったわね
ナキウサギ,ふぇぇ
ダチョウ,コンジョー！！
リクガメ,サーバルちゃん、これからどーするのー？
サーバル,みんなでじゃぱりパークのセユリアンをやっつけるんだよ！
ナキウサギ,ふぇぇ、怖いよぅ
ダチョウ,コンジョー！！
カバ,あなたは黙ってて
サーバル,大丈夫、かばんちゃんがいるんだから！
みほ,え！？
サーバル,かばんちゃんはね、たたかいごっこでスッゴイ作戦を思いつくんだよ
みほ,えぇ・・
リクガメ,じゃあ、かばんちゃんがたいちょーやってねー
ナキウサギ,ふぇぇ、なにをどうすればいいのぉ？
みほ,えっと、いろんな地方に行ってそこのフレンズさんと協力してセユリアンをやっつけましょう
カバ,最初はこのさばんなちほーね
フェネック,なんでアライさんはあの子が好きなのぉ！。どうして私の気持ちに気付かないのぉ！
カバ,タカさんチームって何？
オオコノハズク,たたかいが終われば皆仲間なのです
ワシミミズク,さあかばん、料理を振る舞うのです
コノハズク・ミミズク,我々はグルメなので
みほ,えぇ・・・
ギンギツネ,３０数えて
