主婦A,あんなだらしない格好で、昼間からぶらぶらと……
男,はい……。ドリップコーヒーください。今日はひたすらSNSでも眺めてるか……。今日はひたすらワードで一人しりとりでもやろう……。一日が終わった。さあ、帰ろう。ドリップコーヒー購入！。ノーパソ準備完了！。さて……ノートパソコンいじるか
女A,ねえ、あの人かっこよくない？
女B,声かけてみる？
女A,やだー！あたしらなんかに振り向いてくれるわけないじゃーん！
男,やることなくなってきたから、今日は一日ワードに広辞苑の内容をひたすら打ち込む作業をしよう。……
茶髪,今日も男さん来てるってよ！
チャラ男,マジ？一目見るしかねえべ！
茶髪,わっ、すげえ並んでる！みんな男さん目当てかよ！
黒服,なんでこんなことに……！？
中年,おい、これはどういうことだっ！。あのクソキモイ無職男をスタバに入り浸らせれば、スタバのオシャレな客はスタバに愛想を尽かし。同業店であるうちのカフェに客がわんさか来るという話はどうなったんだぁっ！。むしろあの男がスタバ名物になって、うちの客はますます減ってしまった！
黒服,こ、こんなはずじゃあなかったんです……店長……！。最初会った時のあの男は本当に住所不定無職の不審者にしか見えなくて……。絶対スタバの疫病神になると思ったんですぅ！
中年,じゃあなんで、あんな大人気になってるんだ！今やファンクラブまで出来てるぞ！
黒服,それは……スタバというスマートでオシャレすぎる環境が、あの男を変貌させてしまったとしか……
中年,もういい！。とにかく、あの男のスタバ通いをやめさせるんだ！このままじゃ手遅れになる！
黒服,分かりました！二人で追い出しましょう！。おい、お前！
男,はい、なんでしょうか？
黒服,……！
中年,……！
黒服,こ、これは……なんという“スタバ感”！
中年,優雅にノートパソコンのキーを弾く両手は、まるで一流ピアニストのそれ……！
黒服,ドリップコーヒーに舌鼓を打つその姿は、有名美食家と比べてもなんら遜色ない……！
中年,ノートパソコンの画面を見つめるその目の眼光たるや、エリート商社マンそのもの……！
黒服,決してイケメンではないこの男が、今やスタバという空間に見事に調和している！
中年,スタバのためにこの男があり、この男のためにスタバがあるといっても過言ではない！
黒服,よくぞここまで……！
男,……？
黒服,店長……
中年,なんだね？
黒服,他店を貶めるというやり方で、店を立て直そうとした我々が愚かだったんです
中年,そうかもしれんな……
黒服,やり直しましょう……もう一度！真っ当なやり方で！
中年,うむ！
黒服,……男さん
男,なんでしょう？
黒服,今日この時をもって、あなたの仕事は終わりです
男,……そうですか
黒服,しかし、もはやあなたに私からの報酬など必要ないでしょう。金などいくらでも入ってくる。どうか、自分の道を突き進んで下さい
男,……そうします
JK,あのー、一緒に写真撮って下さい！もちろんお金は払いますから！
中年女,あなたを生で見たいと、うちの子の引きこもりが直ったんです。これは謝礼です……
配信者,あなたの動画をアップしたらあっという間に一億再生いっちゃって……。収益の一部をあなたにも配分したいんですけど、どうしたら？
男,口座教えるので、適当に振り込んでおいて下さい
観光客A,おお、あれがこのスタバ名物の！
観光客B,かっこいいねえ。ありがたやありがたや……
男,……
富豪,ぜひあなたに寄付したい。どうすればよろしいでしょうか？
男,その辺に置いておいて下さい
富豪,では、トランクで……少ないですが
税理士,色々と収入が多くて大変でしょう。脱税騒ぎにならないよう、ぜひ資産を整理しますが
男,全てお任せします
総理大臣,彼が日本が世界に誇る、ノートパソコンいじラーです
大統領,Oh、ワンダフル！。握手してくだサーイ！
男,はい
大統領,なんという……貫録！。こんな男がいるとは……まだまだ日本も侮れないな。甘く見てはいかんかもしれん。今後とも、日本とは親密なお付き合いをしていきたいものですな
総理大臣,ありがとうございます
男,気づいたら、億万長者になっていた……。もっともやることは変わらない。今日もスタバでノートパソコンいじるだけの簡単なお仕事をするだけだ。ドリップコーヒーください
店員,かしこまりました
客,男さん、質問よろしいですか？
男,どうぞ
客,どうしていつもコーヒーしか頼まないんですか？そんなにお好きなんですか？
男,スタバってメニューやサイズが豊富だから、かえって何がどういうものなのかよく分からなくて。たまにはフラペチーノとかラテとか頼んでみたいけど……怖いからずっとコーヒーにしちゃってるんだよね
客,……よかったら、代わりに何か頼みましょうか？
男,えっ、そうしてくれる！？――ありがとう！
