ﾓﾊﾞP,以下P
晶葉,？？
紗南,......
P,よし、紗南が来たな
泰葉,あの...
晶葉,...なんで泰葉まで？
泰葉,いや、あれみて心配にならないほうがおかしいですよ！
晶葉,確かに
P,一理ある
泰葉,事情はわかりました...私はお役に立てなさそうですね
P,ゲーム経験ないもんなあ泰葉は
泰葉,ごめんなさい...
P,いや普通だから、紗南がすげーだけだから
紗南,...(･´ｰ･｀)
晶葉,心なしか誇らしげだな
泰葉,......私はなにかできることとかありますか？
晶葉,私は今頑張って解除スイッチ作ってるから...
泰葉,あ、細かい作業なら得意ですよ？このパーツを順番通りにつなげればいいんですよね
晶葉,本当か？それなら手伝ってくれると助かる
泰葉,はい、がんばります
P,さて...次の俺がやるべきゲームはなんだろうか
紗南,......ながいたびがはじまる…。......
泰葉,あの
P,ん？
泰葉,何故画面の中の紗南ちゃんはチャイナ服なんですか？
P,春麗苦手なんだけどなあ...
晶葉,言ってることがよくわからんな
P,スト2なら春麗よりケンだよなー
泰葉,すいません。わかりません
P,てか菜々さんはまだかな...？こういうの得意な人筆頭なんだけど
泰葉,...一つしか違わないのに菜々さんはすごいですねえ
P,...ああ、そうだな
泰葉,あ、画面の中の紗南ちゃんが青いレオタードになってますね
紗南,オレサマオマエマルカジリ
P,それはその格好で言うべきやつじゃないぞ？
泰葉,あ、そうなんですか
P,だけど少し時代が進んだな！コンゴトモヨロシクだったら戻ったかと誤解するところだった
泰葉,...すごい、全く意味がわからない。
P,交渉するだけで次に進めるとは...凄い楽だなこれ
泰葉,そうなんですか？
P,マッカでいけるのか...サナはいいこだなあ
紗南,悪魔を殺して平気なの？。サナは大きいおにぎりを食べた。おなかがいっぱいになった
P,ふぅ...久しぶりのテーブルマウンテンはかなりきついな...あれ、泰葉は？
晶葉,さっきレッスンに向かったぞ...泰葉のおかげでかなり進みが早くなった。助かるよ
P,そうか...レッスンまでもう少しなんだよなあ...
晶葉,少し時間をかせいでくれるかもしれないが...
P,せめてPS1まで行ければ...菜々さんに送ったメールが役に立つといいんだが
菜々,おまたせしましたっ！紗南ちゃんは大丈夫ですか！？
晶葉,待っていたぞ菜々さん！
P,救世主だ...！
菜々,え？え？え？
紗南,ナナが仲間になった
菜々,なるほど...つまりレトロゲームの世界に放り込まれていると
P,クリアしまくれば上のゲージが進むみたいなんですよ、一部分だけなので言うほどきつくはないかと
晶葉,さっきのテーブルマウンテン？とやらはかなり時間がかかっていたようだったが
P,もし紗南がやられたらどうなるかわからないからな...かなり安全を期したよ
菜々,だからゲームのコントローラーをいっぱい持ってきてくれって言ってたんですね...これでいいですか？
P,うわ、デュアルショックがついてないPSコントローラーとか久しぶりに見た
菜々,結構探したんですよ？
P,菜々さんこれもってるってほんま...
菜々,菜々は！17歳です！
泰葉,あのー...
P,あ、お帰り泰葉
菜々,お疲れ様です！
P,...泰葉が戻ってきたってことは
泰葉,はい、紗南ちゃんの番だからトレーナーさんが呼んでこいって...すいません
P,時間を稼ごうとしてくれたんだろう？ありがとうな
泰葉,いえ、大丈夫です
P,しょうがないな...晶葉、画面を二つにしてくれ
晶葉,まかせろ、すでに準備済みだ
菜々,え、菜々もやっていいんですか？
P,菜々さんは攻略をお願いします...
菜々,今どのあたりで？
P,PS1です
菜々,あ～懐かしいですねぇ～！当時は起動画面がちょっと怖くって～
晶葉,泰葉は私を手伝ってくれ
泰葉,は、はい
P,さて、予想通りなら...
トレーナー,以下トレ
紗南,余裕だよ！
トレ,...そうか、じゃあ私の後に続いてやってみろ...！
紗南,オッケー！
トレ,ステップステップターン！
紗南,ステップステップターン！
トレ,ステップターンターン！
紗南,ステップターンターン！
トレ,ステップターンポーズ！
紗南,ステップターンポーズ！
トレ,何だ、完璧じゃないか！ドンドン行くぞ！。ステップターンポーズ！ステップターンポーズ！
紗南,ステップターンポーズ！ステップターンポーズ！
トレ,ステップターンターンステップステップターンポーズ！
紗南,ステップターンターンステップステップターンポーズ！
トレ,よし！パーフェクト
紗南,余裕だよ！
泰葉,あの...
P,ダンレボじゃなくてパラッパラッパーでよかった...
菜々,コントローラーないですからねえ
P,もしあれなら泰葉にやってもらってましたよ...おっさんにはきついです
泰葉,すごい、全然わからない...
晶葉,うむ、言葉の意味はわからないが...とにかくレッスンをパーフェクトで追えたようだな
P,状況にある程度そってゲームが出ると思ってたからな。PS1までいけば音ゲーがあるしなんとかなるだろうと思ってた
晶葉,しかしパーフェクトまで行ったおかげで大分ゲージが進んだぞ！
菜々,しかしサルゲッチュはどこまで行けば良いんでしょうか...デュアルショック使いたい放題ですねえ
泰葉,わ、すごいグラフィックが綺麗になりました！
菜々,PS2が来ましたよ！
晶葉,...そこまででもないようなきがするけどなあ
P,お前当時はすごかったんだぞー、皆鬼武者やってたんだぞ
菜々,ドラフ島も楽しかったですよねえ
P,てか、次の俺のゲームってこれ...
泰葉,ひぃっ！
晶葉,な、なんだこれ...助手！これはなんだ！ホラーじゃないか！
P,あー...三角様から逃げろってか...
菜々,菜々はホラー全然だめだったんでやったことないんですよねえそれ
P,独白がなー怖いんだよなー
紗南,私は弱かっただからおまえの存在を望んでいた
晶葉,ゲージが後少しになったぞ！
P,SIREN、SIREN2...サイレントヒルを4までとかなんだよ...ホラゲーしかねえじゃねえか...オールクリアじゃないとは言えかなりきつかった
泰葉,ｷｺｴﾅｲｷｺｴﾅｲ...
P,泰葉、終わったから...もう、大丈夫だから...
菜々,...さすがにドラフ島クリアの後サンタ服きて地下都市から脱出してバルバトス倒して...疲れました
晶葉,すごいバリエーションに富んでたな
P,そろそろPS3にならないかな...
菜々,Wiiでもいいですよ...？
晶葉,これ、みたことあるな
泰葉,あ、これ知ってます！ピクミンですよね！
P,ゲームキューブかよ...
菜々,ハードもゲームも出来は良かったんですけどねえ...なんで売れなかったんでしょうねえ...？
泰葉,あ、これ楽しそうですね
P,エアライドか...泰葉、やってみるか？
泰葉,いいんですか？
P,やり方教えてやるからやってみ？
晶葉,いいのか？
菜々,大丈夫ですよ。操作方法はそこまでじゃありませんから...上に行くとあれなだけで
紗南,帰ってこれた！
泰葉,お疲れ様です紗南ちゃん
晶葉,ああ、なんとかなった
紗南,いやーなんとなくやってることはわかったけど...自分が操作されてるのは変な気分だったよ
晶葉,すまなかった、これは封印だな
紗南,うまいこと使えば仮想現実みたいで楽しそうだけどねー
泰葉,で、あっちは...
P,...年取ると、ゲームって長時間できなくなるんだな
菜々,17歳ですけど...結構きつかったです...
紗南,死屍累々だね
泰葉,長時間のゲームはあまりよくないらしいですからね
紗南,ゲームは一日最低
晶葉,しかし...このスイッチをどうしようかな？
紗南,強化版VRで残しておけば？
晶葉,む、それはいいかもしれないな
泰葉,いや、反省してくださいよ...
紗南,ま。あたし達もね？ゲームの中みたいなもんだし...
P,メタ発言やめい
