宮本フレデリカ,つーかーれーたー！
ありす,さっきから肝心な部分で無視されるのなんなんですか！？。よくわからないのでリセットを押させていただきます……。……また消えましたね。とりあえず、この３つのボタンを押すと、ランダムでアイドルの皆さんが出てくることはわかりました……。仕組みや、それが何になるのかはわかりませんが……。……。いいえ、これ以上押すのはやめておきましょう……。うん、特に恩恵もありませんし……。雑誌でも読んでいましょうか……。……。……。……。……。……。もう一回くらい……。……も、もしかしたら奈緒さんなど、頼りになる人がくるかもですし。け、決して面白がってとか、好奇心ではないんですよ！。……誰に言ってるんでしょう。……一回だけ！
佐藤心,いちシュガ！！！
ありす,ﾁｯ
心,舌打ち聞こえてんぞ☆。いやあ、このはぁとを引き当てるなんて、さっすがありすちゃんだな☆
ありす,リセットリセットリセット
心,連打すんなオイ☆３つ押すまで効かねえゾ☆
ありす,どうせ消しますからここからは消化試合ですね
心,し・ん・ら・つぅ！
ありす,……
心,あり？押さんの？
ありす,いえ、あの……
心,？
ありす,……すみません、少し言いすぎました
心,やぁ～ん、いい子いい子！
ありす,ちょ、撫でないでください！
心,優しい子に育ってくれてはぁと嬉しいぞ☆
ありす,誰目線ですか……
心,さ、押しちゃえ押しちゃえ♪
ありす,では……
佐藤心,にシュガ！！！
ありす,リセットリセットリセット
心A,オイオイオイ！
ありす,前言撤回です、早く消えてください
心A,まあまあ☆
心B,はぁとがふたりでだぶるはぁと☆
心A,星だっていつもの２倍出せちゃうぞ☆☆
心B,りゅーせー☆☆
心AB,なんてな☆☆
ありす,早く３人目を出して消えてもらいます
心A,慈悲なしかよ☆
ありす,えい
神谷奈緒,さ、さんカミヤ！
ありす,んんんん～～～～～！！！！
奈緒,ってどうした！？大丈夫か！？
ありす,あああああ……うーん……
奈緒,何だ……？うわ、はぁとさんふたりいるし！？
心A,お！千鶴ちゃんじゃない方の眉毛センパイ！ちっす！
奈緒,なんだその呼び方！
心B,まあまあ、いじられるの、嫌いじゃないだろ？えいえい☆
奈緒,だああああほっぺを触るな！！！
心A,ほれほれ☆
奈緒,眉毛も触るな！！！
ありす,……
奈緒,あ、ありすも何か言ってやってくれよ！
ありす,ごめんなさい奈緒さん……平和な世界のために……消えてください……！
奈緒,何の話！？
ありす,わ、私だって奈緒さんがいるこの世界を大事にしたいんです……！でも、ダブル心さんの犠牲になる奈緒さんを見るのは耐えられません……！
奈緒,なんでちょっと泣いてんだ！？
ありす,次に会う時は……きっと平和な世界で……！
奈緒,さっきからマンガみたいなセリフしか出てきてないんだけど！？
心A,ってかはぁとたち、完全にワルモノ☆
心B,はしゃぎすぎちゃった☆
ありす,ごめんなさいごめんなさいごめんなさい……
奈緒,あ、ありす！
ありす,な、奈緒さん……？
奈緒,なんかよくわからないけど……それがありすの選択なら、胸を張れ！
ありす,……！！
奈緒,な？
ありす,ありがとう……ございます……！
心A,置いてけぼりだなー☆
心B,これ、ぜんぜんスウィーティーじゃない
ありす,……。……。……立ち止まっているヒマはありません。……私には、平和な世界を作るという義務が生まれました。具体的には、奈緒さんを引きつつ、他の２人をマトモな人間で固めること……。たとえ長い時間がかかろうと、絶対に……！。そこからは長い戦いでした。えいっ
小関麗奈,いちデコ！
関裕美,にデコ！
松尾千鶴,さんマユゲ！……ってなにこれ！？
麗奈,なんでデコって叫びながら出てこなきゃいけないのよ……
裕美,千鶴ちゃんもデコでもよかったかも……？
千鶴,かもではなく
ありす,名前を無視した口上で出てきたり……。えいっ！
鷺沢文香,いちサギ……
高峯のあ,にタカ……
佐城雪美,さんユキミ……
文香,……
のあ,……
雪美,……
ありす,ええ……。完全な放送事故が起きたり……。えいっ！！
高森藍子A,いちタカ～♪
高森藍子B,にモリ～♪
高森藍子C,さんアイコ～♪
ありす,えっ
藍子A,ありすちゃん、こんにちはっ
藍子B,今、お茶を用意しますね？
藍子C,お菓子もありますよ？
ありす,あ、あの、えっと
藍子A,おとなり、いいですか？
藍子B,じゃあ私は反対に
藍子C,私はそのとなりに
ありす,そ、その……リセットを……
藍子A,はいお菓子。あ～ん
ありす,あ、あ～ん……！？
藍子B,ゆっくりしましょうね～
ありす,ゆっくりぃ……。ゆるふわの暴力で身動きが取れなかったり……！。そして――
安部菜々,いちナナ！
本田未央,にミオ！
五十嵐響子,さんキョウコ！
ありす,！今までで一番マトモ……！ですが……
響子,ありすちゃん、浮かない顔してどうしたんですか？
菜々,悩み事なら聞きますよ？
ありす,みなさんのことは……大好きです
未央,おおっと！？いきなりの告白とはさすがの未央ちゃんもビックリだぞ？
ありす,ですが、消えてください
３人,！？
菜々,ど、どういうことですか！？
響子,ありすちゃん、疲れてるんじゃ……
ありす,ごめんなさい……
未央,……
響子,未央ちゃん？
未央,ありすちゃん、きっと、何か大きなことのために戦ってるんでしょ？
ありす,え……？
未央,詳しくはわからないけどさ？そんな気がして
ありす,……
未央,私じゃ力になれないのは残念だけど……頑張ってね！
ありす,未央さん……
菜々,ぜ、全然ついていけないんですけど……
響子,大丈夫です。私もです……
ありす,では……すみません！
未央,うん！頑張って！
響子,……あれ？
ありす,……？
菜々,どうかしましたか？
響子,いえ……ありすちゃんが持ってるその……スイッチ？みたいなものなんですが……
ありす,これがどうかしましたか？
響子,裏に何か書いてあるなって……
菜々,？
未央,？
ありす,へ？。本当ですね……ええと。！！！！！
未央,へ？なんのこと？
響子,よくわかりませんが……
菜々,ありすちゃんはわかっているみたいですね……？
ありす,な……こ、これ……回数制限が……！？。つまり、ここでリセットしたら、次の３人が強制的に最終決定に……！？。ど、どうすれば……
響子,すごい真剣な顔……！
未央,あ、アメ置いてある。いっこもーらいっ
菜々,どうしてちょっと飽きてるんですか未央ちゃん
ありす,このままリセットしなければ……マトモなこの３人……。でも……奈緒さんは……。どうすれば……。……。！！！。そう……ですよね。自分を……信じて……！。私なら……できるっ！！！。……ここですっ！！！
フレデリカA,いちフレ！
フレデリカB,にフレ！！
フレデリカC,さんデリカ！！！
ありす,なぜ！！！！！！！！！！！。なぜ！！！！！！！！！！！。はぁ……はぁ……。……あれ？。……え。ゆ、夢……！？。……。……。疲れた……。ええと……時間は……。あ……もう朝……。……。……酷い初夢でした。……おはようございます
フレデリカ,ありすちゃん！あけおめことよろぼんじゅーる！
ありす,……
フレデリカ,？
ありす,まあ、一人なら……
フレデリカ,？？？
ありす,いいえ、今年もよろしくお願いします……
フレデリカ,うんっ！！！
ありす,しかし……初夢でフレデリカさんが５人とは……
フレデリカ,フンフンフフフーン♪ミカンデリカ～
ありす,これじゃあまるで……私が普段からフレデリカさんのことを……
フレデリカ,フフフンフフーン♪ムキデリカ～
ありす,そ、そんなことありませんけど！
フレデリカ,おろ？ありすちゃんもミカン、食べたい？
ありす,ち、調子に乗らないでください！！！
フレデリカ,怒られちゃった！？。新年早々怒られデリカ～
ありす,あ……その……
フレデリカ,いいもん！フレちゃんは今日の初夢でありすちゃんとイチャイチャするもん！
ありす,な、なぜ夢の中……え？
フレデリカ,いやー、こないだ文香ちゃんに聞くまで、フレちゃん初夢って31日から1日にかけて見る夢だと思ってたんだ～
ありす,……！
フレデリカ,？
ありす,フレデリカさん
フレデリカ,どーしたの？
ありす,私のドキドキを返してください！！！
フレデリカ,今年のありすちゃん、ちょっと理不尽じゃないカナ！？。呼ばれて飛び出てフレデリカ～！
ありす,結局今日も出るんかい！！！！！
フレデリカ,今なら現実世界のフレちゃんに初夢ぶりですねって言えば、一緒にハツモウデに行けるキャンペーンがやってるよ！
ありす,知りませんけど！？
フレデリカ,ありすちゃん！初夢ぶりだね！ハツモウデしよ！！！
ありす,そっちから言うんかい！！！！！
フレデリカ,あ、ありすちゃん！口調がヘンだよ！
ありす,誰のせいだと！！！！！
フレデリカ,ハツモウデ、フレちゃんとじゃイヤ……？
ありす,……
フレデリカ,……
ありす,……ああもう！行きますから！！
フレデリカ,ちょろい！！！ばんざーい！！！
ありす,本音！！！！！
