透華,このSSは松実姉妹の平凡な日常を淡々と描くものですわ。過度な期待はしないでくださいまし！
照,やめて菫！さすがに気持ち悪い！
灼,あっ！そうそう！気持ち悪い！気持ち悪いんだこの人！
菫,・・・照、人前でその言い方、失礼だとは思わないのか？
照,菫がしつこすぎるからだ
灼,どうしよう・・・こんな気持ち悪い人に、宥さんのこと話すのは危険すぎる。適当な話してさっさと帰ろう、・・・今宥さんを守れるのは私だけなんだし
菫,なあ頼むよ、宥が好きなもの教えてくれ！
灼,宥呼びだ・・・近しい人ってわけでもなさそうなのに。・・・あ～ええ～～～、宥さんはあったかいものが好きです
菫,あったかいもの！？
灼,このくらいの事なら大丈夫だよね？嘘つくのもあれだし
照,へー・・・あったかいもの、良いこと聞けたね菫
菫,・・・
灼,何でこの人震えてるの？
照,・・・菫？
菫,あっつーーーーーーーーーーい！！！！！！
照灼,！？
菫,熱い！体が熱い！燃えるようだ！！
照,・・・何言ってんの菫？
菫,体が熱いんだ照！燃えるように！もう服なんて着てられない！！
照,ちょっ！？何やってるの菫！！
菫,熱い！暑い！あつい！わたしは今猛烈にあつい！！！
灼,やっぱりこの人・・・
菫,あっつーーーーーーーい！！！！
照,菫！早く服着て！！
菫,ふふっ、宥はあったかいものものが好き。ということは、私自身があったかく・・・いや熱くなれば必然と宥は私が好きになる。ふふふふっ、これからは松岡修造よろしく、熱血キャラでいこう。クールなシャープーシューター菫は終わりだ！。これからは、熱血シューティングバーニング菫だ！！！。バーニング！！！もっと熱くなれよーーーーーー！！！
照,あぁぁ！！もうやめて菫！！私まで恥ずかしいから！！！
灼,・・・。・・・私が宥さんを守らなきゃ
咲,玄さん、宥さんはどこへ？
玄,晩ご飯のお買い物だよー
咲,そうですか・・・
玄,・・・
咲,・・・
玄咲,・・・
玄,ねえ咲ちゃん
咲,はい何でしょう玄さん？
玄,咲ちゃんはさあ、うちに何しに来てるのかな？
咲,えっ・・・それは・・・遊びにです
玄,じゃあなんで、こんなお暇な風になってるの？
咲,さあー・・・
玄,さあって・・・咲ちゃんが盛り上げてくれないからでしょ！！
咲,私のせいですかぁ？
玄,だって咲ちゃん、私といても全然楽しくなさそうだもん！
咲,そんなこと・・・
玄,咲ちゃんは楽しいの？今のこの状態？
咲,だって、一緒に本読んだり、TV見たり、景色を眺めたり・・・
玄,一人と一緒だよそんなの！
咲,でもそんな二人での楽しみ方、ありだと思いますよ？
玄,・・・じゃあせめて、じゃあせめて！。その間何かしゃべってよ！どうして無言なの！？
咲,えっ？
玄,だから一人でいいって言ったの！咲ちゃんおとなしすぎるよ！
咲,すっ、すいません・・・
玄,はぁ、もういいよ。どうせ咲ちゃんはおねーちゃん目当てだもんね
咲,そんなことは・・・
玄,あるよ
咲,うぅっ・・・
玄,もういいや、咲ちゃんといてもつまんないから誰か呼ぼー
咲,玄さん、その言い方ひどい・・・
玄,あっもしもし？今からうちに遊びに来ない？うんそうそう、うん、うんいいよー
咲,誰に電話してるんだろ？
玄,うん、わかった、じゃあ待ってるねー
咲,玄さん、今のはどなたですか？
玄,う～ん？私のお友達だよ～
咲,玄さんの？
玄,咲ちゃんきっと驚くよ～
咲,？
玄,開いてるよー、入ってきてー
和,お邪魔します
咲,！？
優希,お邪魔するじぇー
咲,！！？？
玄,私リビングにいるから、勝手に上がってきてー
和優希,はーい
咲,ちょっと玄さん！今の声！
玄,うん、和ちゃんだよー
咲,優希ちゃんまでいるじゃないですか！
玄,さっき電話で連れて行ってもいいですか？って言われたから、いいよって
咲,なんで私にひとつも相談がないんですか！
玄,だってここ私の家だよ？誰を呼ぼうと私の勝手でしょ？
咲,だとしても！考えてくださいよ！。私今、こんな格好なんですよ！？
玄,とってもよく似合ってるよ
咲,そうじゃなくて！二人は私がここにいる理由知らないんですよね！？
玄,うん、言ってないもん
咲,どうするんですか！！
玄,何が？
咲,こんな姿、和ちゃんと優希ちゃんに見られるなんて恥ずかし過ぎます！！
玄,私とおねーちゃんには見せてるじゃない
咲,それとこれとは別です！もう！何とかしてください玄さん！
玄,何とかって言われても・・・
和,お待たせしました
咲,！
玄,いらっしゃ～い、和ちゃん
優希,お邪魔するじぇ！
玄,いらっしゃい、片岡さん
優希,優希でいいじょ！
玄,じゃあ、いらっしゃい優希ちゃん
和,あら？その子は？
咲,！
優希,ん～～？もしかしてさ玄この子はね、阿知賀麻雀クラブの子だよ！
咲,！？。玄さんその設定は・・・また面倒なことになっちゃう・・・
和,麻雀クラブの？私は彼女をみた覚えが・・・
玄,和ちゃんが転校したあと来た子だからね、知らないのも無理ないよ～
優希,何だじょ？阿知賀麻雀クラブって？
和,小学生以下を対象にした麻雀教室です。私も小学生の頃、通ってたんですよ
玄,私は中学生になっても行ってたけどね
優希,じゃあこの子はのどちゃんの後輩か～
咲,・・・こっ、こんにちは
優希,ふ～ん・・・
和,玄さんとは仲がいいですか？
咲,えっと・・・
玄,仲良しだよね～、咲ちゃん♪
和優希,えっ？
玄,あっ。しまったぁ！つい口が滑っちゃったよ！
咲,玄さあああああん！！
優希,咲・・・ちゃん？
和,まさか・・・
玄,そっそっそうなの！この子も咲って名前なの！。名前は宮藤咲ちゃん！清澄の宮永咲ちゃんと似た名前だよねー。咲って名前かわいいから、女の子につけたくなるんだろうねー
咲,玄さん、いくらなんでもそれは・・・
和,なるほど、そういうことですか
咲,えっ！？大丈夫なの！？
優希,でも見た目もなんだか咲ちゃんに似てるじょ
咲,！
和,他人の空似ですよ、そんなにジロジロ見るのはやめてあげてください、嫌がってます
咲,・・・
優希,知らないのかのどちゃん？世の中にはドッペルゲンガーっていう・・・
和,そんなオカルトありえません。玄さん、お手洗いお借りしますね
玄,場所わかる？
和,はい、突き当たりの右でしたよね？
玄,そそっ、行ってらっしゃーい
優希,・・・
咲,優希ちゃんあれからずっと私のこと見てる・・・
優希,・・・咲ちゃん
咲,はっはい、なんですか片岡さん？
優希,小学生の咲ちゃんはもういいじょ
咲,え
優希,私は高校生の咲ちゃんにしゃべりかけてるんだじぇ
咲,優希ちゃん気づいてたの！？
優希,今確信に変わったじょ
咲,あっ
玄,あらら、一本取られちゃったね
優希,何やってるんだじょ咲ちゃん
咲,違うの優希ちゃん！これにはワケがあって・・・
優希,ワケ？
咲,かくかくしかじかの・・・
玄,まるまるうまうまなんだよねー
優希,憧れのお姉ちゃんを見つけた？そんなことのためにそんな格好に？
咲,・・・私にとっては、大きな事なの
優希,ふ～ん、憧れのお姉ちゃんね～。咲ちゃんはその人のこと好きなのか？
咲,好きか嫌いかで言えば、勿論好きだけど。恋愛感情とかじゃなくって、もっとこう純粋な憧れっていうか・・・
優希,ふむふむ
玄,咲ちゃんはおねーちゃんに甘えたいだけなんだよねー
優希,甘えたい？
玄,おねーちゃんにナデナデしてもらったり、ヨシヨシしてもらったり、イイコイイコしてもらったり、モミモミしてもらったり、ペロペロしてもらったり、パンパンしてもらいたいんだよー
優希,モミモミ？ペロペロ？パンパン！？
咲,ちょっと玄さん！変なの混じってますよ！
優希,・・・。もしのどちゃんが、この咲ちゃんを本物だと知って。たまたまそんな場面をみたら・・・
和いやあああああああああああああああああああああああ！！！,のどっち精神崩壊
優希,てな感じに、どっかのキャプテンみたいになっちゃうじぇ！
咲,さっきから優希ちゃん、何を考え混んでるんだろ？
玄,なんだか面白いことになってるのかな？
咲優希,！？
玄,おかえり～
優希,のどちゃん！この子は宮藤咲ちゃんだじぇ！うちの咲ちゃんとまはんの関係もないじょ！
咲,優希ちゃん、私の味方に！
和,はい、知ってます
咲,宮藤咲です、小学6年生です
和,それも先程聞きました
優希,小学生の咲ちゃんはまだまだ甘えたい年頃なんだじょ！。だから、この咲ちゃんが年上の人に甘えていても普通なんだじょ！
咲,私、寂しがり屋なんです～
和,はぁ・・・
優希,のどちゃんの精神崩壊は、私が絶対食い止めるじぇ！！
玄,これからどうなるんだろこれ？
和,？
宥,この間から鹿児島代表、永水女子のみなさんが松実旅館にご宿泊中です。お客様なので、立場的にこちらからお声がけするのは駄目なんですけど。あちらの立っての希望で、とてもフランクにお友達のように接しさせてもらっています。同年代ということもあり、すぐに仲良くなれました。特に玄ちゃんはおもちが・・・おもちが・・・と、ここ数日錯乱気味です。私もお友達が増えて、とってもあっか～いです
松実旅館松の部屋,永水女子宿泊室
TV,須賀くん！執事さん！須賀くん！執事さん！
小蒔,TVドラマ執事と須賀くんは毎週おもしろいですね
巴,でもいくらなんでもゴールデンタイムにBLがテーマのドラマってどうなんでしょう？
春,執事さんの無敵っぷりが面白い
初美,先週はトラックに引かれても生きてましたからねー
TV,須賀くんは逃げてください！それじゃあ執事さんが！
霞,あら、そろそろクライマックスね
TV,ドカーーーン！！執事さーーーん！！。爆発に巻き込まれた執事さんの運命やいかに！？次週へ続く
小蒔,はぁー、今週もハラハラしました
春,どうせ来週も生きてる
初美,それは言わないお約束なのですよー
巴,いい時間ですね、このあとどうします？
霞,そうね・・・みんなでお風呂に行きましょうか
小蒔初美春,賛成ー
巴,じゃっ、そうしますか
小蒔,みんなでお風呂は楽しいですからね！
春,姫様、お風呂に浮き輪はいらない
初美,黄色のアヒルちゃんで我慢ですよー
巴,ちょっとみんな、それより着替えを持って・・・
霞,あらあら
初美,私が一番乗りですよー
小蒔,あっ！待ってくださーい！
巴,浴場でそんな走ってたら・・・
小蒔,きゃっ！
春,言わんこっちゃない
霞,大丈夫ですか姫様？
小蒔,いててっ・・・だっ、大丈夫です
玄,なに！？今の大きな音！
宥,大丈夫ですか？
霞,あら
小蒔,お二人もお風呂の時間でしたか
宥,はい、お怪我はないですか？
小蒔,大丈夫です、私の不注意です！
宥,そうですか、良かったね玄ちゃん
玄,
宥,・・・玄ちゃん？
玄,
小蒔,どうかされましたか？
霞,のぼせたのかしら？
玄,。・・・私は今日この日のために産まれてきたのかもしれない
小蒔霞,えっ？
宥,玄ちゃんが悟りを開いちゃった
初美,姫様ー！はやく一緒にアヒルちゃんで遊びましょー
小蒔,はーい！霞ちゃんも行きましょう
霞,そうね、体が寒くなってきたし
宥,玄ちゃん、私たちもお湯浸かりにいこ？
玄,おもちイズゴッド。おもちイズワールド、おもちイズアース、おもちイズギャラクシー
宥,あっか～い
初美,アヒル隊長発進なのですよー
小蒔,あっ！私にも貸してください！
巴,ちょっと、お風呂であんまり暴れちゃ・・・
春,・・・
巴,きゃっ！何！？
春,水鉄砲
巴,やったわね～、お返しよ！
霞,あらあら、みんな子供ね
宥,・・・あの、前から気になってることがあったんですけど
霞,あら、何かしら？
宥,みなさんな鹿児島のご出身なんですよね？
霞,ええそうよ
宥,鹿児島にも方言ってありますよね
霞,もちろんあるわよ
宥,あの、それで、どうしてみなさんは標準語なんでしょうか？
霞,あぁー・・・それはね
宥,それは？
霞,・・・そのまえにひとつ質問、あなたは薩隅方言って聞いたことある？
宥,さつぐう・・・ですか？
霞,本州の人からしたら、めったに聞くことはないでしょうね。ようするにそういうことね
宥,えっと・・・。方言で話しても、みんながわかんないからってことですか？
霞,そういうこと。というか、地方の人間からしたら標準語を覚えるのも当たり前なんじゃないかしら？
宥,そう・・・なんですか？
霞,方言って結構複雑なものよ、場所によっては同じ日本語とは思えないもの。だから私達は、どんな人ともちゃんとコミュニケーションを取れるように標準語で話すの
宥,じゃあじゃあ、鹿児島にいる時は薩隅方言なんですか？
霞,えっ
宥,あれっ？違うんですか？
霞,・・・ノーコメントで
宥,えっ
霞,私達永水女子のもの同士が、しゃべってる所を見たらなんとなくわかるでしょ？
宥,あぁー・・・まー、ですね。でも私達も関西なのに全く関西弁使わないし、それでもいいんじゃないですか？
霞,・・・そういえばそうね、なんだかそれを聞いて気が楽になったわ。あいがと
宥,ええよ。ふうっ。今日のお風呂はなんだか・・・
玄,ノーおもちノーライフ
初美,はっはっはー、初美アヒルについてくるのですよー
小蒔,待ってぇ、私にもアヒルちゃん貸してください
巴,くぅっ・・・！私の方が連射速度が早いのに～
春,銃を使う上で一番大切なのは命中率
霞,・・・また大きくなったかしら？
宥,いつもよりあっか～いや
チョウテンマデアト～ヒトイキ～～♪,ED
洋榎,やっとうちらの出番か！
絹恵,Ｃパートってやつやね
洋榎,ほんま、一番人気のこの洋榎ちゃんを出さんやなんて頭おかしいとちゃうか？
絹恵,お姉ちゃんなんか今日絶好調やね
洋榎,当たり前や、今まで喋ってなかった分取り返すで！。大体やなぁ、みなみけを元ネタで使うんやったらうちを主役にすべきやろ！
絹恵,なんで？
洋榎,よう見てみい絹、うちが一番みなみけに近いキャラクターや
絹恵,・・・？お姉ちゃんみたいな人おったっけ？
洋榎,そうやなくて口や口！口の形がみなみけキャラにそっくりやろ！
絹恵,ああー
洋榎,他にもやなぁ・・・絹恵唐突やけどお姉ちゃん、Ｃパートって大抵短いねんやんか。ん？それがどう絹恵だから私らの出番、今回はここまでやわ。・・・・・・・・・・・・・・・へっ？
宥,みなさんどうも、松実宥です。みなさん咲ちゃんのことご存じですか？。私も知り合ったのは最近なんですけど、とってもいい子なんですよ。あいさつもできて、礼儀も正しくて、とっても小学生とは思えない。・・・玄ちゃんもせめて咲ちゃんくらい。・・・あっ、ごめんなさいなんでもないです。咲ちゃんも入れて、松実三姉妹もいいなーって思っただけです。・・・。うぅっ・・・ごめんね玄ちゃん。というわけで次回、まつみけおかえり。気長に待っててくださーい
玄,今度は許されるよね？
