莉嘉,みんなでお花見楽し～！桜、チョー綺麗だね☆
楓,ふみふみに反応して出てきたというのは分かるとして、文香ちゃん、１９歳でしたよね……？
芳乃,わたくしたちも、人の事は言えないのでして―
楓,芳乃ちゃん、直接脳内に……！？
薫,仁奈ちゃん仁奈ちゃん！
仁奈,薫ちゃん、何でごぜーますか？
薫,てぶくろを、うしろから読んでみて！
仁奈,てぶくろを、うしろから……えーっと、ろ・く・ぶ・て、でごぜーます！
薫,えーい♪
仁奈,わわっ、いきなり何するでごぜーますか！
薫,仁奈ちゃんがろくぶてって言うからだよ～♪
楓,ありましたねぇ、ああいう遊び
芳乃,見ていて非常に微笑ましいのでして―
楓,言葉を後ろから読むと別の意味になる、という言葉遊びは、たしか……
芳乃,倒語と言いましてー。ちなみに、意味は変わらなくとも、"寿司"の事を"しーすー"と言ったり、"そっくり"を"くりそつ"と言ったりするのも、この倒語に当てはまりまして―
楓,そうなんですか。でも、私が知ってるのは、もっと違う名前だったような気が……。そうそう、たいこめっていう言い方をしませんでしたか？
芳乃,……たしかに、そういう言葉遊びもあるのでしてー
楓,あ、やっぱり。そういえば私、昔から疑問だったんですけど、たいこめって、どうしてたいこめっていうんでしょう……。芳乃ちゃん、知ってますか？
芳乃,……楓殿―
楓,？
芳乃,例え同性間でも、せくはらは成立するのでして―
楓,！？
こずえ,……
晴,こずえー？そんな所でぼーっとして、どうしたんだよ？
こずえ,はるー……このかんばんのいみー……わかるー……？
晴,ん？。何だこりゃ……おーい、ありすー
ありす,どうしたんですか？二人とも
楓,私としたことが、事務所で飲むためのお酒を切らしてしまうなんて
芳乃,事務所で飲んでいると、またぷろでゅーさー殿に怒られるのでして―
楓,……あら、酒屋さんの前にいる、あの子たちは……
こずえ,かえでー……よしのもいるー……
晴,おー、楓さん！芳乃さん！ちょうどいい所に来てくれたぜ
芳乃,ちょうどいい所、でしてー？
ありす,はい。ここにある立て看板なんですけど、意味がいまいち分からなくて、悩んでたんです
楓,ああ、この看板ですか……なるほど
こずえ,こずえもー……よめるんだよー……いっとにしょうごごうでしょー……？でも……どういういみー……？
芳乃,ほほー、こずえ殿は漢字が得意なのでしてー
こずえ,えへへー……♪
晴,でも、こずえの言う通りで、読めたからって意味が分かんないよな。いっとにしょうごごうってだけ書かれても、だから何だって話だし
ありす,事務所へタブレットを置いてきてしまったので、調べることも出来なくて、困ってたんです
楓,ふむ。では、楓おねーさんが、この看板の正しい読み方をレクチャーしてあげましょう♪
こずえ,おー……
ありす,よろしくお願いします
晴,いや、何キャラなんだよ、楓さん
楓,まず、この看板を正しく読むには、お酒やお米を計るときに使う、斗・升・合という単位について、理解をする必要があります。といっても、ここでは一斗は十升、一升は十合という事だけわかっていれば大丈夫ですよ
ありす,一斗が十升で……
晴,一升が十合だな
こずえ,わかったー……
楓,では上から読んでいきましょう。一斗は十升、というのは今説明しましたが、これを別の言い方へ言い換えるとどうなると思いますか？
ありす・晴・こずえ,……？
芳乃,一斗を半分にすると、どうなりましてー？
こずえ,えっとー……はんぶんだからー……ごしょうー……？
晴,そうだな。五升……でも、それが何か意味あるのか？
芳乃,とても大切な事なのでして―
晴,ふーん……一斗がどういう数字に言い換えられるか、だろ？で、五升が一斗の半分だから
こずえ,じゃあー……ごしょうが、にばいになったらー……いっとだねー……
ありす,ごしょう……２倍……ばい……？もしかして、一斗が五升の倍ということで、ご商売ですか？
楓,ふふっ。ありすちゃん、勘が良いですね。その通りですよ。では次に二升ですが、これは簡単です。こずえちゃん、升を訓読みすると？
こずえ,ますだよー……
晴,ます、か。ってことは、二升は似ますとか煮ますとかになるのか？
ありす,それだと、あんまり意味が通らない気がしますね
晴,そうだよなあ……あ！ますが２個あるからますますか！
楓,晴ちゃん正解です♪最後は五合……これも、さっきと同じ言い換えが必要になります
ありす,五合を、別の言い方に変えないといけないんですね
こずえ,いっしょうが、じゅうごうなんだよねー……？
晴,ってことは、五合はその半分っていうことになるな
ありす,一升の半分……0.5升じゃないでしょうし……半升……？
こずえ,……はんじょうー？
ありす・晴,！繁盛！
楓,ご名答。では、正解は？
晴,ご商売
こずえ,ますますー……
ありす,繁盛、ですっ
芳乃,お見事でしてー♪
晴,すげー……面倒くさいこと考えるやつもいるもんだなー
ありす,分かってすっきりしましたけど、何だか、疲れました……
こずえ,でも、おもしろかったー……
楓,ちなみに、こういう風に、文字や絵へ意味を隠して、それを当てさせるものを判じ物というんですよ
ありす,楓さん、ありがとうございました。やっぱりお酒が絡んだ問題の時の楓さんは頼りになりますね！
晴,ありがとな、楓さん！お酒絡みの時の楓さんは、ほんとすげーや！
こずえ,かえでー……ありがとー……また、おさけのことでわからないことがあったら、おしえてねー……
楓,……。芳乃ちゃん……
芳乃,？
楓,私って、そんなに飲んでばかりのイメージでしょうか……？
芳乃,まず今日酒屋さんへ来た目的から振り返ってみると良いのでして―
菜々,おはようございまーす！菜々、今日も張り切ってお仕事しちゃいますよー！
薫,あ、菜々さんじゅうなな才だー！おはよーございまー！
仁奈,菜々さんじゅうなな才！おはよーごぜーます！
こずえ,ななー……さんじゅうななさい……おはよー……
菜々,
凛,菜々さんじゅうなな才、おはよ
菜々,凛ちゃんまで！？ここ、これは一体どういうことですか！？
凛,麗奈が言ってたんだ。菜々さんじゅうなな才が、周りからあんまり17歳として扱ってもらえないことを気にしてたって。だから、こうやって呼びかければ周りに年齢アピールできるだろうってさ
菜々,麗奈ちゃーん！！！
楓,典型的なぎなた読みですね
芳乃,でしてー。区切りが変わると意味が変わる文、有名な例で言えばおしょくじけんやここではきものを脱いでといったものがありますがー
楓,ちなみに、上手いなぞかけを作ろうと思ったら、このぎなた読みは必須となるテクニックなんですよ
芳乃,そうなのでしてー？どんなものか、是非お聞きしたいのでしてー
楓,いいですよ♪そうですね……では、芳乃ちゃんとかけて、温泉と解きます
芳乃,そのこころはー？
楓,すごく素敵で、広いんヒロイン
芳乃,……///
菜々,二人とも、イチャついてるんだったら麗奈ちゃん探すの手伝ってくださーい！
楓,そういえば、この前芳乃ちゃんにセクハラだって言われちゃったあれ、何が悪かったのかしら。えーっと、たいこめ語源……あ、出てきた。……こ、これは……こんなことを説明させようとしてたなんて、セクハラと言われても仕方ないわ……。芳乃ちゃんに謝らなくちゃ……でも、何て言えば……
麗奈,……。楓のやつ、セクハラがどうとか言ってたわね。何調べてたのかしら……
名前の元ネタになった文章は鯛釣り船に米押しダルマ,たいつりぶねにこめおしだるま
……ち、ちなみに……たいこめの作品としては他にも雲雲崖にこんち旅無し,くもくもがけにこんちたびなし
麗奈,ふーん……よく分かんないけど、たいこめって、えっちな言葉遊びなんだ……。……！。ふふふっ……いいイタズラ思いついちゃった……！
薫,あ！あいおねーちゃーん！
仁奈,美優おねーさんもいるでごぜーます！待ってくだせー！
あい,おや、薫に仁奈くんじゃないか
美優,薫ちゃん、仁奈ちゃん、こんにちは。私たちに、何かご用かしら？
仁奈,仁奈たち、麗奈おねーさんから、すげーことを教えてもらったですよ！
あい,すごいこと？
薫,うん！左から読んだときと、右から読んだ時で、意味が全然違っちゃう文があるんだって！
美優,左から読んだ時と、右から読んだ時で、意味が違う……てぶくろを逆から読むとろくぶてになる、みたいなことかしら？
仁奈,そうでやがりますけど、もっとなげー文ですよ！でも、仁奈たちじゃ、右側から読んだ時の意味が分からなかったです
薫,れいなちゃんも、そういうのがあるって知ってるだけで、詳しい意味は知らないんだって。だから、大人の人に教えてもらおうとおもって
あい,そういうことか。いいよ。どんな文章なんだい？
薫,えーっと、左から読んだ時が鯛釣り船に米押しダルマでー
仁奈,右から読むとまるだし自主規制
美優,
仁奈,もう一つの方が、左から読んだ時が気さくなあの娘目を閉じ閉じで
薫,右から読んだ時がじとじと自主規制
あい,
薫・仁奈,どういう意味―？でやがりますかー？
美優・あい,
麗奈,……。アーッハッハッ！美優もあいも困ってる困ってる……このレイナサマの予想した通りね！。でも、美優はともかくとして、あいまであんなに固まっちゃうとは思ってなかったけど……あれ、そんなにえっちな文章だったのかしら？。まあいいわ。何にせよ、この手は使えそうね！そうと決まれば、早速他のチビたちにもたいこめを吹き込んで……
芳乃,そこまでなのでしてー
麗奈,よ、芳乃！？直接脳内に！？
芳乃,年端もいかない、いたいけな幼女に放送禁止用語を教え込むとはー、重罪なのでして―
麗奈,放送禁止用語！？
芳乃,そのような悪い子には、仕置が必要かとー。今そちらへ向かっているので、覚悟しておくと良いのでして―
麗奈,ちょ、芳乃！それ、どういう意。……
マストレ,……
楓,本当にすみませんでした、芳乃ちゃん。私、たいこめがあんな意味だったなんて、知らずに……って、今、誰かの悲鳴が聞こえたような……
芳乃,知らなかったのだから、仕方がないのでして―。あと、悲鳴は気のせいかとー
楓,今年の夏も、もうおしまいですね……お疲れサマー、なんて
美優,ふふっ。楓さんったら……そろそろ事務所出ますよ？準備は大丈夫ですか？
芳乃,……。楓殿―
楓,何ですか？芳乃ちゃん
芳乃,楓殿は、あれだけ言葉遊びに詳しいのに、普段だじゃれしか言わないのは、どうしてなのでしてー？
楓,そうですね……そんなに深い理由があるわけでもないですけど。やっぱり、ダジャレが一番分かりやすいと思うんです
芳乃,分かりやすい、でしてー？
楓,ええ。色んな言葉遊びがありますけど、どれもその遊びにおけるルールを分かっていないと上手いと感じたり面白いと思えたりしないので……。知らない人からすれば何を言ってるの？ということになっちゃいます。その点、ダジャレだったら、誰でも知っているものですから。会話のツールとして使うには、最適なものだと思うんですよ
芳乃,ほほー
楓,……でも
芳乃,？
楓,最近、芳乃ちゃんみたいに、色々言葉遊びを知っている人と話すのも、すごく面白いことに気づいてしまって……。良ければ、これからも色んなお話に付き合ってくれますか？
芳乃,もちろんでしてー。わたくしも、楓殿と話していると、とても楽しいのでー
楓,フフッ。よろしくお願いします、芳乃ちゃん♪
・,大人が食べても"さんさい"とは、これいかに
楓,無理問答といいます。〇〇というのに××ってどういうこと？と、矛盾を感じる言葉の問いかけをして
芳乃,△△でも□□というのと同じこと、というように返す言葉遊びでして―
楓,分かりやすい例で言うと、山があっても山梨山無し
芳乃,初めて行っても秋田飽きた
・,モケサのこの状況を……
芳乃,はなもげらの創始者の一人、タモリ殿のお言葉でして―
楓,元々ハナモゲラというのは日本語を初めて聞いた外国人の耳に聞こえている日本語のモノマネという、すごくマニアックな所から始まっているんです
芳乃,なので、一見それっぽいけれど、でたらめな言葉が並ぶことになるのでしてー
楓,本文に出ている他の有名所では、ラーメンズさんのコント日本語学校がこの発想ですね
・,お呼びでない
楓,昭和における伝説のコメディアン、植木等さんのギャグです
芳乃,丁度どらまをやっているので、案外若い人でもご存知の方も多いかとー
・,寿司のことを"しーすー"といったり……
芳乃,一般的には業界用語と呼ばれているいめーじがありますがー、本文通り、言葉遊びの世界では倒語と呼びまして―
楓,意外ですけど、"ネタ"という言葉も、元からあったわけじゃなくて、"種"の倒語なんですよ
芳乃,元の意味とはすっかり変わって、独立した言葉になってしまっていますがー。それと、"だらしない"という言葉も、元々は"しだらない"の倒語だったものが、いつの間にか定着したものなのでして―
楓,探せば、他にもそういう例がありそうなのが面白いですよね
・,典型的なぎなた読みですね
楓,元々は弁慶が、なぎなたを持ってという文章を弁慶がな、ぎなたを持ってと読み違えたのがきっかけで産まれた言葉遊び、とされていますね
芳乃,ぎなた読みといえばー、つボイノリオ殿は忘れてならない存在なのでして―
楓,芳乃ちゃん……同性間でもセクハラは成立するんですよ？
