桃井あずき,ふっふっふ……やっと来るよ、あの日が……
あやめ,紗枝殿は明日の七夕には仕事があるのですよね？
紗枝,前から着てた織姫のLIVE衣装がありますし……。Pはんが仕事あるから準備しといて欲しい言うとりましたけどなぁ
あずき,何の仕事か聞かされてないの？
紗枝,えぇ、うちはまだ何も聞かされてまへんえ？
あやめ,珍しいですね、内容も聞かされていないなんて
あずき,紗枝ちゃんはお仕事ってことはPさんも付き添いで行くんだよね……。ってことは明日は紗枝ちゃんとPさんに会うのは難しくなるのかな……
紗枝,あずきはん、どうかされたんどすか？
あずき,なんでもないよっ！じゃ、じゃああずきはもう行くねっ！
あやめ,え、えぇ……また後でお会いしましょう
紗枝,……あずきはん、えらい慌ててましたなぁ
あやめ,何かあったのでしょうか……
あずき,柚ちゃん！！
喜多見柚,ちょ、ちょっと！まだ着替えてんだから閉めてよっ！
あずき,そんなことはどうでも良いから！
柚,下着姿なのにいいわけないじゃん！！
あずき,はぁ……柚ちゃんも変な所にこだわるんだね
柚,あずきチャンってアタシをなんだと思ってんの……
あずき,それより、柚ちゃんに聞きたい事があるのっ！
柚,アタシに？
あずき,うん、急ぎだよ！超特急のプランなんだから！
柚,えっとさ……
あずき,なに、どうしたの？
柚,とりあえず、服くらいは着させてもらってイイよね？
あずき,もう！早くしてねっ！
柚,なんでアタシが怒られてんだろ……。えっ？明日は何の日かって？
あずき,そうそう、それが聞きたくて仕方なかったの！
柚,何言ってんの？へへっ、明日は七夕じゃん！。そういや、Pサンがミルキーウェイクッキーあるって言ってたし楽しみだねっ！
あずき,ぐぬぬぬ……！！
柚,あずきチャンの欲しい答えじゃなかったんだろうけど……。一回外しただけでなんでこんなに怒りが溜まってんの……
あずき,ふぅ……ふぅ……そうだよね、七夕だよね！
柚,あずきチャンはなんか考えてんの？
あずき,ふふっ……大丈夫……作戦はちゃんと考えてあるから
柚,明日の事務所でやる七夕パーティー、あずきチャンも参加するんでしょ？
あずき,こうなる事もちゃんと想定済みだったんだもん……
柚,…………
あずき,ま、まだ終わったわけじゃないもん……
柚,誰かなんかあずきチャンに言ったのかナ……
十時愛梨,くしゅん！あれ？誰かに噂されてるのかな……
あずき,あずきだよっ！
愛梨,！？
あずき,こんな所に隠れててもあずきの追跡大作戦からは逃れられないよっ！
愛梨,つ、追跡って……私、追跡されてたんですかっ！？
あずき,はいはーい、質問！明日は何の日だと思う？
愛梨,明日？えーっと……なんでしたっけ？
あずき,ちょっとちょっと！そういうおとぼけは後で良いから！！
愛梨,おとぼけ……うーん……あっ！
あずき,うんうんっ、それだよ、それ！
愛梨,えへへっ、うっかりしてましたけど七夕ですよねっ！
あずき,ぐっ……。一番年上の十時さんなら覚えてると思ったのに……
愛梨,あれっ？私、間違ってましたか？
あずき,う、ううん……合ってるけど、十時さんも何で七夕忘れてたの？
愛梨,それは七夕以外に用事があったんで……
あずき,……ん？
愛梨,どうかしたんですか？
あずき,十時さんは明日オフだよね？七夕以外の用事ってなんなの？
愛梨,えっ……それは、た、ただの私用ですけど……
あずき,私用？確か十時さんって明日はうちの七夕パーティーに出るんだよね？。それなのに私用って何か変だなぁ……。十時さんは絶対何か知ってる……ここは逃がしちゃいけないねっ！
愛梨,あうぅ……えーっと、その……
あずき,隠さない方が身のためだよ、あずきは全部お見通しなんだもん！
愛梨,ふぅ、わかりました。ごめんなさい、私用って言うのは嘘なんです……
あずき,や、やった！流石、十時さん！。んっふっふー、みんな知らないフリしてちゃんと覚えててくれたんだね……。もう……あずきはそんな事気にしないのに水臭いなぁ……
愛梨,実は雪美ちゃんと聖ちゃんと３人で明日ケーキを焼こうって約束をしてたんです
あずき,へっ！？け、ケーキ？
愛梨,えへへ♪そうですよ、明日のパーティーでみんなを驚かそうと思って♪
あずき,あう……あう……
愛梨,あ、あずきちゃん！？ど、どうしたんですか！？
あずき,終わった……もう、あずきには何も残って無いよ……
愛梨,え、えっと……その、あの……
あずき,もういいもん！知らないならあずき一人でもするもん！！
愛梨,あっ……。んー……これはちょっとまずいかも知れませんね……
あずき,……んっふっふー、これで準備は万端だね！。重い……ち、ちょっと買いすぎたかな……。で、でも絶対楽しむんだからっ！お楽しみ大作戦！！。みんな、後で来たいって行っても混ぜてあげないんだから…。でも、明日は事務所でパーティーするんだよね……。…………。フンッ！みんなのバカッ！！
P,いてっ！な、なんだ？頭に空き缶が飛んできた！？
あずき,あっ……
P,あずきじゃないか？いきなり缶を蹴ってくるなんて危ないぞ！
あずき,…………
P,ったく、オフだからって気を抜きすぎるのは良くないな
あずき,……Pさん……どこ行ってたの？
P,あぁ、今日は仕事と私用でちょっとな、今から帰ろうと思ってたところだよ
あずき,その手に持ってるのは？
P,これか、立派な笹だろ？明日のパーティーで使おうと思って知り合いから貰って来たんだ
あずき,…………
P,あずきも楽しみにしてろよ、久々にみんな集まってのパーティーだしな
あずき,…………
P,それにしても、あずきはえらく大きな荷物を持ってるな……
あずき,……ねぇ、Pさん。明日は何の日か知ってる？
P,明日？七夕だろ？
あずき,やっぱり、Pさんもみんなと一緒なんだね……
P,一緒ってなんだよ……あー、そうそう。ちゃんとプレゼントも買ってあるからな
あずき,……えっ？
P,なに驚いた顔してんだ、明日はあずきの誕生日だろ
あずき,……ｸﾞｽｯ……
P,えっ！？
あずき,うわぁぁぁぁん！！Pさぁぁぁん！！
P,お、おいっ！何で泣くんだよ！！。ははぁーん、それで驚いてたってわけか
あずき,……みんな忘れてるんだよ、どうせあずきの誕生日なんてどうでも良いんだから。Pさん、メール来てるよ
P,ん……？
あずき,どうかしたの？
P,あぁ、ただの私用のメールだよ
あずき,ふーん……ね、Pさん！明日はどうするの？
P,明日は事務所でパーティーだよ
あずき,でも紗枝ちゃんとお仕事行くんじゃないの？
P,あぁ、行っても午前中だけだよ。紗枝の衣装を着た写真を残しておいてあげようと思ってな。仕事って言ったけど、ただの記念だから仕事じゃない
あずき,ふんだ！紗枝ちゃんには相変わらず優しいんだから！！
P,むくれるなよ、こうでも言わないと紗枝は遠慮するからな
あずき,ねぇねぇ、でも明日はあずきにも何か考えててくれてるんでしょ？
P,…………。えっ……七夕パーティーとプレゼントだけじゃ駄目だったの……？
あずき,Pさんは当然お祝いしてくれるでしょ？
P,お、おう……そうだな
あずき,じゃあ明日はあずきと一緒にパーティーするっ！？うんうんっ、そうしようよっ！
P,一緒にってどういう事だ？
あずき,みんなは覚えててくれて無かったんだもん！そんな薄情者は呼んであげないんだからっ！
P,えー……
あずき,んっふっふー、あずきだってみんなのために色々プランを考えてたんだから！
P,プランねぇ、それって主役が考えるものじゃないと思うけど……
あずき,このプランはトップシークレットなんだよ。作戦のヒミツは明日Pさんにだけ教えてあげる！
P,秘密か、また何か考えてんじゃないんだろうな
あずき,それは明日の秘密！楽しみにしててね、パーティー大作戦があるんだから！
P,おいおい、まずい事になったな……
あずき,ハッピバースデーあずきー♪ハッピバースデーあずきー♪
P,こ、これは想像以上に……
あずき,ハッピバースデーディアーあずきー♪ハッピバースデートゥーあずきー♪
P,お、おめでとう……あずき
あずき,わぁーい！ありがとうPさん！ねぇねぇ、ロウソク消して良いかな？
P,そうだな、一気にやっちゃってくれ
あずき,フゥー！！
P,よっ、流石アイドル！一発で消しちゃったな！
あずき,えへへっ、Pさんもパーティー帽子被ってクラッカー鳴らしてはしゃいじゃってるんだね！
P,やれって言われただけだけど……
あずき,さぁさぁ、お料理食べよう！色々買ってあるんだよ！
P,昨日、買い込んでたのはこれか
あずき,あれー？もしかしてあずきがこれだけしか用意して無いと思ってる？
P,他にも何かあるのか？
あずき,じゃーん、手料理もあるよ！好きなだけ食べて良いよっ！
P,お、おう……
あずき,…………
P,あぁ、その前に……ほらっ、プレゼントだ
あずき,えへへっ！Pさん、ちゃんと分かっててくれたんだね。開けてもいい？
P,好きにすると良いよ
あずき,わぁー、サクラのヘアピンだ！！
P,そういうのも似合うと思ってな、高価なものじゃないけど許してくれ
あずき,うわーっ、色んな形の桜があってキレイだねーっ！ほらほら、似合う！？
P,そうだな、良く似合ってるよ
あずき,えへへっ！あずきとPさんのお誕生日プランは大成功だねっ！。よっと、これで上がり！またあずきの勝ちだねっ！
P,なぁ、そろそろトランプ以外もやらないか……
あずき,えーっ、でも２人でできるやつってトランプくらいしかないよ？
P,というか、そろそろ事務所で七夕パーティーの時間だしな、俺達も事務所に行かないと……
あずき,……あずき、行かない
P,何でだよ、あずきも参加するだろ？
あずき,パーティーなら今日やったもん！あずきのプランはこれで終わり！
P,おいおい、そういうわけにもいかないんじゃないか
あずき,どうせ行ってもみんな七夕の事で頭がいっぱいなんでしょ？。せっかくこんなに楽しいパーティーができたのに……あずき、また悲しくなるだけだもん……
P,…………
あずき,せっかく作戦計画書に色々書いて準備したのに、あずき一人じゃ何にもできないよ……
P,重症だな、こりゃ……
あずき,誕生日ってそれくらい大事なんだからっ！
P,よいしょっと
あずき,何するの！？降ろしてよPさん！
P,暴れるなよ、軽いからって危ないぞ
あずき,あずきを担いでどうするの！？
P,あずきの言ってる事が正解かどうか確かめに行くだけだよ。さてっ、ここまで来たならもう逃げられないぞ
あずき,Pさんだけはあずきの味方だと思ってたのに……
P,味方だよ、口はうるさいけどな
あずき,……もう始まってるのに今更どんな顔して入ればいいの……しゅん……
P,いつものあずきで良いと思うけど……
あずき,ほ、ほらっ、楽しそうな声が聞こえるし、あずきが行って水を刺すのも悪いと思うよっ！
P,まだ始まったばっかりだから大丈夫だ
あずき,うぅ……と、逃亡大作戦は……
P,ないな、諦めろ
あずき,今日のPさんは何でそんなに意地悪なの？いつもはあずきの作戦を手伝ってくれるのに……
P,何言ってんだ、今日も優しいだろ。ちゃんとここまで運んでやったんだから
あずき,…………
P,さぁ、早く開けて楽になった方がいいと思うぞ
あずき,そんなぁ……うぅ……
雪美,……あずき……おめでと……
あやめ,おめでとうございます！あずき殿！
紗枝,あずきはん、おめでとうさんどす
柚,へへっ、待ってたよ！おめでとっ、あずきチャン！
聖,お誕生日……おめでとう…ございます
愛梨,えへへっ、あずきちゃん！おめでとうございますっ！
あずき,あっ……
P,……ま、こういう事だ。おめでとう、あずき
雪美,……あずき……遅い……
柚,料理も手を着けずに待ってたんだよっ！
あずき,こ、これ……なんなの？
あやめ,何と言われましても、本日はあずき殿の誕生日でしょう？
聖,みんなで……こっそり…用意……しました
あずき,そうなの！？さ、紗枝ちゃん！
紗枝,ふふっ、ほんまどすえ。Pはんにはあずきはんをここまで連れてくるようお願いしとりましたし
愛梨,はいっ、ちゃーんとあずきちゃんのためのケーキもありますよっ！
あずき,こんな大きなケーキまで……
愛梨,雪美ちゃんと聖ちゃんが頑張って作ったんですよ？
雪美,……うん……
聖,喜んで……くれると…思って
あずき,うん、ありがとう……というより、知ってたの？Pさん！？
P,あぁ、昨日愛梨からメールが来てわかった。みんなが秘密で準備したいって言うから黙ってたけどな
あずき,酷いよ、みんな……
あやめ,お、お気に召しませんでしたか！？あずき殿……
あずき,ちがうよ、こんな素敵な作戦をあずき抜きでやっちゃうなんて！！
紗枝,ふふっ、たまにはうちらも作戦を考えよう思いましてなぁ
柚,ま、こんなベタベタな作戦だから気づかれるとはおもってたけどなぁ……
P,それどころか色々大変だったんだぞ……
あずき,んっふっふー、このケーキ美味しい♪
柚,へへっ、パーティーと言えばお菓子だよねっ！
雪美,……うまく……できた……
あやめ,これ程喜んでいただけると用意したかいがありましたね！
愛梨,はいっ、Pさんもどうですか？
P,お、俺は良いよ……
紗枝,あらっ？Pはんさっきから何も食べてまへんけどええんどすか？
P,というか前半戦で食わされすぎた……
聖,食べて……くれないん…ですか？
P,聖の視線が痛い……
あずき,えへへっ、Pさんはあずきが食べさせてあげるよっ！はい、あーん！！
P,んぐっ……
雪美,……P……美味しい……？
愛梨,えへへっ、沢山愛情を込めましたからねっ！
P,旨いけど……胃が限界だ……
あやめ,な、なんだかP殿の顔色が悪いようですが……
柚,ま、理由は大体わかるけどね
紗枝,Pはん、大丈夫なんですやろか……
あずき,まだまだ、一緒に食べよっ！パーティー大作戦！！
柚,あずきチャンの気分次第じゃないかナ……
P,はぁ……しんど……
あずき,えへへっ、楽しかったね！Pさん！
P,あぁ、あずきが喜んでくれたなら良かったんじゃないか……
あずき,うん、大成功だよ！みんなの大作戦！
P,あずき……
あずき,なになに、どうしたの？
P,まだ、みんなの事を怒ってるか？
あずき,ううん、やっぱりみんなとっても素敵な友達だったよっ！
P,ははっ、そっかそれなら良かったよ
あずき,えへへっ、また来年もみんなでこうやってパーティーできると良いね！
P,さて、そろそろ片付けも終わるころかな
あずき,あずきは手伝わなくて良いの？
P,あぁ、主役に雑用をさせるわけにもいかないからな
あずき,何から何まで至れり尽くせりだねっ！
P,あずきもみんなの誕生日にはちゃんと祝ってあげろよ？
あずき,任せてっ！あずきの大作戦に失敗は無いもん！
P,さっ、そろそろ行こうか
あずき,あっ……ちょっと待ってて
P,…………
あずき,これで良しっと！えへへっ、いこっ！Pさん！
P,……そうするか
