ガブ,そうか？私はいつも通りだけどな
ヴィーネ,じゃ、じゃあ手伝うから……！
ガヴ,お、おう？じゃ、じゃあ頼むな？私は洗い物やっとくから他よろしく
ヴィーネ,うんっ……ん？あ、あれ？
ガヴ,ん？どしたー？
ヴィーネ,食器や調味料の場所が……
ガヴ,あっ、そうだった。位置変えたんだった。皿とかちょっと届きにくくてさー
ヴィーネ,えっ……
ガヴ,ごめん、ヴィーネはわかんなくなってるよな。やっぱり、私が全部やるよ。ヴィーネは向こう行ってて
ヴィーネ,あっ……
ガヴ,ふぅ……これで洗い物終わりっと……。～♪～♪
委員長,あれ？鍵が開いてる……
ガヴ,ヴィーネ、何か言ったー？ありゃ、委員長？
委員長,あっ、勝手に入っちゃって、ごめんなさい。月乃瀬さんもいたのね……って、えっ！？
ヴィーネ,……っ
委員長,ね、熱かしら！？な、何だか凄いエッチな顔してる……ていうか、胸元も何か開けちゃってるんですけど！？
ヴィーネ,ちょっと待って。私今何しようとした？今ガヴをこの手で……
ガヴ,どした委員長？何か用事？
委員長,え、ええ……これ今日の宿題。部室に忘れてたのを届けようと思って
ガヴ,げっ、マジか。悪いな、委員長。んー、今から間に合うかな
ヴィーネ,……ガヴ、私、もう帰るね、さよなら……
ガヴ,あ、おう、また明日なー
委員長,……あ、あの天真さん。月乃瀬さんと何かあった？
ガヴ,？いや、別に何も。一緒に飯食べてただけだけど……あれ？。これ合鍵か？ヴィーネの奴、忘れて帰ったのか。ま、返すのは明日でもいっか。これから宿題やんなきゃいけないし。ヴィーネは、あれから数日休んでいる……。高熱でしばらく休むってメールがあったから遠慮してたけど、流石に一度見舞いに行った方が良いよな
グラサン,HRを始める前に連絡事項が1つある。先日、月乃瀬が転校した
ガヴ,ふーん……。…………は？
ヴィーネ,さぁチャッピー。おいで～
チャッピー,ピィ♪
ヴィーネ,ぐふぅっ！！
チャッピー,ピィ？
ヴィーネ,……う、うん、私は平気よ。じゃあもう一度よ？。さぁチャッピー。こっちおいで～
チャッピー,ピィ♪ピィ♪
ヴィーネ,ぐはぁっ！！？うっ、うぅ……
チャッピー,ピィ？
ヴィーネ,……ふ、ふふふ。だ、大丈夫よチャッピー
チャッピー,ピィ♪ピィ♪
ヴィーネ,か、体が重い……で、でも始めた時よりマシになってるかも……
ガヴ,ほら、掴まれヴィーネ
ヴィーネ,あっ、うんっ。ありがとうガヴ……って、ええ！？ガ、ガヴ！？ど、どうやってここに！？
ガヴ,神足通で来た
ヴィーネ,そんな自転車で来たみたいに！神足通って、別世界にも行けちゃうものなの！？
ガヴ,実際ここにいるんだからそうなんだろ。つっても、今ようやく成功したんだけどな。それより、これ忘れ物
ヴィーネ,これ……合鍵？
ガヴ,帰るぞ、ヴィーネ
ヴィーネ,……っ。……ごめん、ガヴ。私、帰らない
ガヴ,……なんでだよ
ヴィーネ,……ガヴに酷い事するかもしれないから。もしかしたら、その周りの人達にも……
ガヴ,……何言ってるのかさっぱりだぞ
ヴィーネ,と、とにかく私はもう人間界に戻る気はないの！これからはチャッピーと修行する日々を送るんだから！
ガヴ,ますますわかんねぇ……じゃあ、さっきのもわざと体当たりを食らって鍛えてたって事か？
ヴィーネ,そ、そうよ。悲しい事にも痛みにも負けない為の修行よ。この先1人でも平気な強い悪魔になるんだから……！
ガヴ,じゃあ、それで強くなってからどーするんだよ？
ヴィーネ,え？そ、それは……
ガヴ,そんな悪魔になってさ、それで楽しくなるのか？
ヴィーネ,！わ、わからないけど、楽しくなくても平気な位に強く……
ガヴ,やめとけ。大のイベント好きのお前にそんなの無理だ
ヴィーネ,で、できるわよ！ガヴだって変われたのよ、私だって……！
ガヴ,ヴィーネ？
ヴィーネ,変わらなきゃいけないの。そうでないと駄目すぎる。あれだけガヴの事叱ってたりしてたのに、今のままじゃ格好悪すぎるわよ……
ガヴ,…………
ヴィーネ,……？あの、ガヴ？
ガヴ,あああああもう我慢できねぇ！！ヴィーネェェェ！！！
ヴィーネ,ひゃああ！！？ちょ、何！？何なの、いきなり！？
ガヴ,うるさい！もうこっちはヴィーネ分が枯渇して限界なんだ！！嗅がせろ！！
ヴィーネ,へっ！？ちょっ、あっ！？
ガヴ,あああ～、ヴィーネいい匂いだよ～！！スンスンスンスンスンスン！！。ヴィーネ～！！あ～、ヴィーネ～～！！あ゛～～
ヴィーネ,ちょっ、ガ、ガヴっ、く、苦しっ……。ああ……痛いのに……苦しいのに……あの時とは全然違う……し、幸せ！！
ガヴ,……そうか。それであの時、急に帰ったのか
ヴィーネ,……ごめんなさい
ガヴ,ヴィーネが謝る事ないだろ
ヴィーネ,だって……
ガヴ,ヴィーネは勘違いしてる。私が変われたのはヴィーネのおかげなんだ
ヴィーネ,えっ、で、でも私は何も……
ガヴ,それが勘違いなんだって。ヴィーネに会えない間思ったんだ。もしヴィーネと出会ってなかったら、私はどうなってたんだろうって。きっと私はネトゲばっかしてて、ずっと引き籠った生活をしてたと思う。それで単位も落として進級もできずに強制送還、最悪人間界に行く事も出来なかったかもしれない。でもヴィーネがいたからそうはならなかった。お前がいつも学校や遊びに行かそうとしてくれたから私は色んな奴と友達になれて毎日が楽しいって思える様になれたんだ。だから、謝らなきゃいけないのは私の方なんだよ。ヴィーネにもっと早く今の気持ちを伝えなきゃ駄目だったんだ
ヴィーネ,今の気持ち……？
ガヴ,ありがとう。ヴィーネのおかげで私は変われた。私、今がスゲー楽しくて充実してる。でも、ヴィーネがいないと寂しいし悲しい。料理とかやってても、心にぽっかり穴が開いた感じでさ、何かつまんないだよ。だから……私と一緒に帰ってくれヴィーネ！
ヴィーネ,……ガヴッ……
ガヴ,えっ、ちょっ、な、何で！？今ので泣く所あったか！？私またヴィーネに何か傷つけるような事を……
ヴィーネ,バッ…バカ！違うわよっ……こ、これは嬉しくて泣いてるだけで……っ
ガヴ,え……じゃあ……
ヴィーネ,私も帰りたい！私も帰ってガヴと一緒に楽しい事がしたい！。でもまだ怖いの……またあんな酷い気持ちが芽生えるんじゃないかって思うと……
ガヴ,あれはストレスが爆発してああなっただけだろ？ってか、私は別に良いよ。ヴィーネの好きにしてくれて
ヴィーネ,はっ！！？べ、別に構わないって、さ、さっき説明した事を！？ええっ！？
ガヴ,流石に折るのは勘弁だけど。でもそれ以外なら良いよ。ヴィーネが私の染み付きパンツ嗅ぐとか超興奮する
ヴィーネ,こ、興奮って……
ガヴ,私だってヴィーネの匂い嗅いだりしないと、もう少しで頭どうにかなる所だったんだ。多分、ラッパ吹いてたね
ヴィーネ,そこまで！？
ガヴ,うん、私も同じ様なもんだろ？だからさ、１人じゃなくて一緒に変わろうよ。弱いなら2人でプラスして強くなれば良いだけだ
ヴィーネ,ガヴっ……うんっ！
ガヴ,あっ
ヴィーネ,どうしたの、ガヴ？
ガヴ,ごめん、もう限界みたいだ
ヴィーネ,限界って…そ、そっか、わ、私はもっと嗅いだりぎゅーって抱きしめてくれても構わないから思う存分に……///
ガヴ,オシッコ
ヴィーネ,……はい？
ガヴ,さっき飲みたかったって言ってたよね
ヴィーネ,ちょ！？こ、こんな所で脱ぐな！向こうで隠れてしなさいよ！
ガヴ,いいや！限界だ出すね！！ヴィーネ、口に出すぞ！！
ヴィーネ,ちょっ、嘘よねっ！？冗談よねっ！！？や、やめろーっっ！！……～～っっ！！！
ガヴ,ただいまー、帰ったぞ、ヴィーネー
ヴィーネ,おかえりなさいガヴ。お風呂にする？ご飯にする？そ、それとも私っ……なんてっ///
ガヴ,…………
ヴィーネ,な、何か反応してよ……途轍もなく恥ずかしくなってきたんだけど……
ガヴ,いや、学校で疲れた私にエプロン一枚で誘惑してくる悪魔にどんな罰を与えようか考えてた所でな……ハッ！
ヴィーネ,えっ！？ひゃあんっ///
ガヴ,大丈夫かヴィーネ？
ヴィーネ,んっ……うぅ……私は夫婦定番のイベントをちょっとやってみたかっただけなのにぃ……
ガヴ,ごめんって。でもヴィーネも満更じゃなかったろ？あんな可愛い声出してさ。だからつい……な？
ヴィーネ,なにがついよ、もう……///
ガヴ,にしても、まさかこうして一緒に住む事になるなんてな
ヴィーネ,ええ、ほんとに……最初は人間界に戻れるかも怪しかったものね
ガヴ,あの時のヴィーネとのやり取りが後で魔界の偉い人らにバレたんだよな
ヴィーネ,客観的に見れば、悪魔が天使に丸め込まれてる風にしか思えないものね……それでも、今こうしていられるのは……
ガヴ,全部オシッコのおかげだな
ヴィーネ,偉い人の中で野外放尿は悪魔的行為ではないか？そうなると相手は天使ではなく堕天使になるのではって意見が出てくれたのよね
ガヴ,後は私が天使学校の主席って事もヴィーネの功績に繋がったんだよな
ヴィーネ,……複雑な気分だわ。それでも一人暮らしが厳しい位、仕送りも減らされちゃったし
ガヴ,でも、そのおかげで一緒に暮らすって流れになったんだから私は嬉しい。その偉い人には天国行きを約束せねば
ヴィーネ,その人、絶対喜ばないと思うけど……そう言えば、ガヴの方は特に問題なかったのよね？
ガヴ,ああ、不法侵入の事でちょっと注意されただけだよ。まぁ、友達を連れ戻すって目的だったしな……よし、この位塗れば十分だろ
ヴィーネ,ひゃん！///
ガヴ,……もう一回やる？
ヴィーネ,……次は普通でお願い。……ねぇ、ガヴ。私達、これからもずっと一緒だと良いね……
ガヴ,うん……
ヴィーネ,でも、ガヴは私より長生きして欲しいな
ガヴ,…………
ヴィーネ,私、今凄く幸せ。ガヴとなら、どんな事だって乗り越えられる気持ちになれる。だから、時々怖くなるのよ。もし、ガヴがいなくなっちゃったら…って
ガヴ,…………
ヴィーネ,……ごめんなさい、私って怖がってばかりよね……って、あれ？ガヴ、もう寝ちゃった？
ガヴ,起きてるよ。ヴィーネも私と同じ事考えてたんだなぁって思ってただけ
ヴィーネ,ガヴも？意外……てっきり考えすぎって笑われるかと思ってた。何か嬉しい……
ガヴ,それで……さ、何か残せたら良いんじゃないかなぁって思うんだが……
ヴィーネ,え？そ、それって、その……作る的な……？
ガヴ,う、うん……私とヴィーネの二人で作る的な感じ……？
ヴィーネ,ガヴっ……///
ガヴ,ま、まぁ、私ら、まだ高校生だしな！それこそまだ先の話だよ！じゃ、じゃあ、おやすみっ！
ヴィーネ,ふふっ、うん。おやすみ、ガヴ、また明日……
