速水奏,……っていうユニット、どうかしら？
輝子,……な、なんか、リアクションが乃々ちゃんみたいになってきた、な……
美波,変に崇められるくらいなら、机の下で静かにしてようかな……
奈緒,乃々のサンクチュアリが、ガチの聖域になっちまうな
奏,むしろ神域よね。神の領域
美波,うぅ……逃げ場が無い……私は、ただの人でありたいのに……
奏,あら、急にポエミーなことを
奈緒,でもさ、ただの人じゃ締まらなくないか？
美波,締まらないって……何が？
輝子,シャイニングゥゥ！
奈緒,ひと！
美波,ミナミっ！
奈緒,……な？
美波,あのね奈緒ちゃん。そうじゃなくて。その名乗りをするのが前提じゃなければ、シャイニングについても前提じゃないの
奏,そう言いつつ、もう乗っかることには抵抗は無さそうね
輝子,名乗る必要が無い……そうか。その姿を見せるだけで、ファンたちは全てを理解する、と……
奈緒,なるほど……その神々しさ溢れるオーラの前には、言葉なんか不要ってことか……！
美波,違うの！言葉大事！意思疎通はしっかりと！
奏,ふふっ、心配しないで。真に想い合う間柄なら、言葉なんて無くても通じ合えるはずよ
美波,今この瞬間、みんなと通じ合えていないんだけど……
輝子,大丈夫……みんな、美波さんのことを信仰してる……
美波,信頼の間違いよね？そうよね？
奈緒,美波なら、トップ女神になれるよ！
美波,トップアイドルみたいに言わないで！
輝子,シャイニングゥゥ！
奈緒,ゴッデスッ！
美波,ミナっ、みません！。ああもう、ミナみませんって何！？
奏,ちょっと、落ち着きなさいよ。ほら、神呼吸でもして
美波,漢字！！
輝子,まさに、ゴッドブレス……
奈緒,美波の吐く息は、人々に幸運と活力を与えるんだよ
美波,そんなわけないでしょっ！ただの二酸化炭素ですっ！
奈緒,って、こないだアーニャが言ってた
美波,アーニャちゃんっ！？。……はぁ、はぁ……お願い、もうやめにしない？。ユニットで活動したいって言ってくれるのなら、それは喜んで参加させてもらうわ。……だから、女神とかじゃなくて、仲間として、ね？
輝子,うぅ……そんな顔で言われちゃ、な……
奈緒,まぁな。……どうだ？言い出しっぺの奏？
奏,ふふ。仕方ないわね
美波,みんな……！
奏,それじゃあ、改めて……
美波,様付けしないで！！
