橘ありす,おはようございま……ってあれ、誰もいませんね……
ありす,今は……、ちょうど15時ですね
フレデリカ,そっか！じゃあ宮本ノノデリカのお時間は終わりだね！
乃々,時間で決まってたんですか
フレデリカ,うん！ノノちゃん！無理矢理ごめんね！でも、ホントに可愛いから自信もって！
乃々,……
ありす,やっぱこの人かわいいですね。じゃあ、宮本フレデリカに戻ったんですか？
フレデリカ,違うよ！
乃々,？
ありす,？
フレデリカ,今度は、“デリカ”が追い出されちゃった！宮本フレだ！
乃々,えぇ……
フレデリカ,早く“フレ○○○”に入る3文字のアイドルを……あっ！
ありす,！？
乃々,こ、この流れは……
フレデリカ,というわけで、宮本フレアリス参上☆
ありす,えっ！ちょ……！なんですかいきなり！
フレデリカ,ありすちゃんもかわいい～♪
ありす,ちょっと！
フレデリカ,大丈夫……怖くないよ……
ありす,それ噛まれる流れですからね！？
フレデリカ,閃いた☆宮本ノノアリスっていうユニットを組んじゃおう♪
乃々,むーりぃー……
ありす,し、収拾がつかない！！！
