橘ありす,うーん……
フレデリカ,掃除大臣！
ありす,下手な小学生より思考が幼いですよね
フレデリカ,思ったことがそのまま出ちゃうの！フレちゃんったら素直～！
ありす,……結構本音は隠してるくせに
フレデリカ,テヘペロ！！！！！
ありす,テヘペロはそんなに万能な言葉じゃないです
フレデリカ,なるほど！じゃあ、やることは決まったね！
ありす,え？
フレデリカ,大臣のスカウト！しゅっぱーつ！
ありす,あっ、ちょ、ひ、引っ張らないでください！
フレデリカ,目指せ大統領！
ありす,日本ではなれませんけど！？
フレデリカ,じゃ、何大臣をスカウトしよっか？
ありす,別になんでもいいですが……
フレデリカ,なんでもいいから挙げて？
ありす,じゃあ……、まずは財務大臣あたりじゃないですか？お金の問題はつきものですし
フレデリカ,ほほう！確かに！
ありす,まあ、お金の管理なら亜子さんが浮かびますね。しっかり者の響子さんもいいかもしれません
フレデリカ,ちひろさんは？
ありす,……
フレデリカ,……
ありす,さて、誰にしましょうか
フレデリカ,明言を避けたね。よし！じゃあ、適当な部屋に入って、そこにいた人にしよう！
ありす,運任せ内閣を組閣するのやめませんか
フレデリカ,そっちの方が面白いもんね！
ありす,国会運営に面白さは必要ありません！
フレデリカ,さっそく、この部屋に決めた！財務大臣、ゲットだぜ～
ありす,なんか影響されてる
フレデリカ,こんにちはー！
ありす,ノックもしないでよく国民の代表になろうとしますよね
白菊ほたる,あ……お疲れ様です……
ありす,フレデリカさん、残念ながら我が国の財政は破綻しました
ほたる,？？？
フレデリカ,ほたるちゃん！
ほたる,は、はい……？
フレデリカ,キミを、フレデリカ共和国の財務大臣に任命します！
ありす,今すぐ亡命したい国名ですね
ほたる,え、ええと……？
フレデリカ,フレちゃんが総理大臣なんだよ！
ありす,というか共和国なら総理大臣じゃない気もしますが、今さらどうでもいいですね
フレデリカ,我が国のお金はほたるちゃんが使い放題！どうすればフレちゃんの国は良くなるかな！
ほたる,えっと……まず新しい総理大臣に替えるための選挙を開くべきでは……
フレデリカ,
ありす,
フレデリカ,財務大臣はムホンのためクビです！
ありす,思ったより不信任が早かったですね
フレデリカ,ひどいよー！
ありす,むしろ誰よりも現実が見えてますよ
フレデリカ,次！次ー！
ありす,子供ですかまったく……。では、次は外務大臣あたりが大切でしょうか
フレデリカ,ふむふむ！
ありす,外交の問題はいつでも最重要課題です。なるべくなら、語学堪能で、コミュニケーションに優れる人が望ましいですね
フレデリカ,おぉ～。ノリノリだね！
ありす,……はっ
フレデリカ,じゃあ、こっちの部屋にいる人が外務大臣ね！
ありす,閣僚ガチャやめません？
フレデリカ,たのもー！
森久保乃々,ひうっ！？
ありす,フレデリカさん、残念ながら我が国の外交手段は断たれました
乃々,？？？
フレデリカ,待って！もしかしたらノノちゃんがちょー英語ペラペラかも！？
乃々,え、英語なんてむーりぃ……
フレデリカ,コミュニケーション力抜群かも！？
乃々,知らない人と話すなんて想像しただけで溶けそうなんですけど……
ありす,……
フレデリカ,……
乃々,……
フレデリカ,なんで外務大臣になろうとしたの！？
乃々,そもそもなろうとしてませんし！？
ありす,ひどい逆ギレを見ました
乃々,も、もりくぼ、帰っていいですか……？
ありす,いえ、私達が出ていきますから。お邪魔してしまって申し訳ないです……
フレデリカ,次はノノちゃんにピッタリな役職を用意しておくね！
ありす,また来る気なんですか……
乃々,引きこもり推進大臣とかなら……
ありす,なんでちょっと乗り気なんですか
フレデリカ,もしかしてフレちゃんは運が良くないのかも……！？
ありす,巻き込まれたおふたりの方がよほど不運ですよ
フレデリカ,でもでも、三度目の正直って言うもんね？
ありす,二度あることは三度あるとも言いますよ
フレデリカ,次のポジションは～？
ありす,もう適当に浮かんだのを言いますけど、農林水産大臣とかですかね
フレデリカ,知ってる！七海ちゃんとか雫ちゃんとかいいかも！
ありす,そうですね。食料自給率などは、外交問題にも繋がりますからね。国内の農林水産業の安定を図るのは大切です
フレデリカ,じゃあこの部屋！
ありす,まあ良い予感はしませんが……
フレデリカ,おっつかれさまー！！！
大原みちる,あ！お疲れ様です！
ありす,フレデリカさん、残念ながら我が国の米農家は終わりました
みちる,？？？
ありす,さっきから1番引いちゃいけない人を引いてるじゃないですか！
フレデリカ,テヘペロ！！！！！
ありす,乱用しない！！！
みちる,ありすちゃん、どうかしたんですか？パン食べます？
ありす,そのパンのせいでこちとら国家転覆の危機ですよ！！！
みちる,イチゴを生地に練り込んだ新作パンなんですけど
ありす,仕方がないのでいただきますね
フレデリカ,いつの間に口に！
みちる,遠慮しないでいいですよ！
ありす,美味しい……！これをフレデリカ共和国の特産品にしましょう！
フレデリカ,そんなに国作りに乗り気だったっけありすちゃん！？
ありす,まあ、悪くないチョイスでしたね
フレデリカ,美味しかったねー？
ありす,では、次は国土交通大臣あたりにしましょう
フレデリカ,りょーかーい！この部屋で！
ありす,美世さんとかが当たりですかね。バイク乗りの方々もいいかもしれません。……向いているかは別として
フレデリカ,はろーえぶりわん！
日野茜,フレデリカさん！！！こんにちは！！！
ありす,フレデリカさん、残念ながら我が国の主な通勤手段はランニングになりそうです
茜,？？？
ありす,茜さん
茜,はい！
ありす,今日の事務所への交通手段は？
茜,走って来ました！
ありす,乗ろうと思ってた電車が遅延してたら？
茜,走ります！
ありす,ご趣味は？
茜,走ります！
ありす,大臣自ら乗り物を否定していく
フレデリカ,他ってどんなお仕事があるの？
ありす,空路、水路も含めた運輸等も管轄ですが、茜さんに任せたら飛脚が復活しかねません
フレデリカ,言いたい放題！
ありす,スポーツ庁などに務めていただきましょう……
茜,何の話ですかっ！？大臣とか聞こえましたが！
フレデリカ,茜ちゃん！フレデリカ内閣でお仕事をしない？
茜,そ、そんな、大臣なんて！そもそも議員さんになるような方は私なんかよりもっともっと仕事に熱心に打ち込んでいて、まさか不祥事などで辞めることなんてないような、素晴らしい人々だと思いますし！
ありす,茜さん！
茜,きっとウソもついたことのないような、才能あふれる方々だと思いますし、わ、私なんて、"違うだろー！"って思います！
ありす,茜さん！！！
フレデリカ,危なかったね！
ありす,アウトでしたよ
フレデリカ,茜ちゃんも素直な娘だもんね！
ありす,あれで悪意ゼロなんですから心臓が止まりますよ
フレデリカ,心臓が止まったらお医者さんに行かなきゃ！医療分野はどこだっけ？
ありす,ええっと……ああ、厚生労働大臣ですね
フレデリカ,キヨラさんがいい！
ありす,同意見です。トレーナーさんなどでもいいですね。医療、福祉から子育てまで、気の回る方がいいのですが
フレデリカ,わっしょい！
ありす,掛け声毎回変わりますね
一ノ瀬志希,ありゃ？
ありす,失礼しましたー
フレデリカ,なんで出ちゃったの～？
ありす,ダメです。群を抜いて医療を任せられないです
部屋の中,何か言った～？
ありす,言ってません！
フレデリカ,いやいや、もしかしたらいい仕事するかも！
ありす,あの歩く不安要素が？
フレデリカ,言いたい放題！
ありす,じゃあ、次は……防衛大臣ですかね
フレデリカ,なんとなくわかるかも～？
ありす,国を守るお仕事です。まあ、軍事的な衝突なんて無い方がいいですけどね
フレデリカ,亜季ちゃんとか？
ありす,軍事的知識に富んでいますからね。"守る"という観点なら光さんもいいですね
フレデリカ,シンゴジラー！
ありす,活躍してましたけども
有浦柑奈,おや、フレちゃんとありすちゃん。今日も仲良しですね♪
フレ＆ありす,ああぁ～～～……
柑奈,？？？どうかしたんですか？
ありす,……いえ、平和が1番だなと思っていたところです
柑奈,おお！ありすちゃんもラブ＆ピースの大切さに気が付きましたか！
ありす,……はい。もう数打つしかないです！テンポよくいきましょう！
フレデリカ,おお！ありすちゃんが燃えている！
ありす,せめて1人くらい適任を当てるまで帰れません！
フレデリカ,ファイトだね！
ありす,教育とかの文部科学大臣！
フレデリカ,はいよ！！！
遊佐こずえ,ふわぁ……
ありす,教育受ける側じゃないですか！次！。法律とかの法務大臣！
フレデリカ,ほいさ！！！
日下部若葉,どうかしましたか～？
ありす,法に触れそうな側じゃないですか！
フレデリカ,合法だよ！
ありす,年上ですからね！？次！。地方創生担当大臣！
フレデリカ,ごーごー！！！
多田李衣奈,あれ？どうしたの？
ありす,バリバリ都会っ子！！！次！。領土問題担当大臣！
フレデリカ,へいへい！！！
ライラ,ライラさんですよー
ありす,外国人！！！！！次！。環境大臣！
フレデリカ,おっけー！！！
志希,おろ？
ありす,この部屋さっき来た！！！！！。はあ……はあ……
フレデリカ,任命って難しいんだねー？
ありす,ガチャをわざわざするからですよ……
フレデリカ,じゃ、最後に大切なポジションを決めなきゃ！
ありす,……？主要な役職は挙げたと思いますが
フレデリカ,フレちゃんね、全然詳しくなかったんだけど、1こだけ調べたの！
ありす,はあ……？
フレデリカ,ありすちゃん！官房長官になって、フレちゃんを支えて！
ありす,へ……？
フレデリカ,どうかな？どうかな？
ありす,……わざわざ調べたんですか
フレデリカ,ありすちゃんのポジションだけね！
ありす,……まあ、いつか総理になった時には任命してください
フレデリカ,わーい！期待しててね！
ありす,まったく……
フレデリカ,きっとなってみせるよ……！
ありす,はいはい、頑張ってくださいね
フレデリカ,フランス大統領に！
ありす,えっ！？結局そっち！？
