エレン達が内地の大浴場,温泉
ジャン,オイ、どうしたんだよエレン！ビビっちまってんのか！？気にならねぇのかよ！
エレン,まぁ、そりゃ少しは気になるけどさ…正直、ライナーのに勝てる気しねぇよ…。それなのにジャン…お前はなんで見たがるんだ
ジャン,仕方ねぇだろ？世界は残酷なんだ
エレン,だよな…すまねぇジャン、オレが間違ってた！
コニー,なぁ、二人が何を言ってるのかわからないのはオレがバカだからか？
アルミン,大丈夫、僕にもわからないから
ベルトルト,僕も…
エレン,ライナー…見せてくれ、アンタの巨人を
ライナー,そう言われたら俺は、戦士として最後まで責任を果たすしかないな…
ベルトルト,ライナー…出すんだな！？今…！ここで！
ライナー,あぁ！！
エレン,で、でかいな流石に…
ジャン,ああ、確かにでけぇ…だが…
コニー,鎧の巨人だな
ライナー,うおおおおおおおおお泣
アルミン,バカ！本当のことをはっきり言っちゃ駄目だろ！
コニー,お、おうわりぃライナー。本当のことをはっきり言っちまって
ライナー,おおおおおおおおおおおお号泣
エレン,え、何これ真性？
アルミン,みたいだね。手術しないと治らないと思うよこれ
ライナー,俺は見せたぞ…
エレン,ああ。アンタは男だぜライナー
ジャン,真性だけどな
ライナー,さぁ、次はお前の番だぞベルトルト
ベルトルト,え！？ちょ、ちょっとやめてくれよライナー！
アルミン,こそこそ
ライナー,その後はお前もだアルミン
アルミン,ギクッ
ジャン,一番恥ずかしいライナーが出したんだ、お前らも見せるのが筋ってもんじゃねーのか？
ベルトルト,いや、だって…ライナーのは勝手に出しただけじゃ…
ライナー,そうかもしれないな。だが、今他の皆が見せているこの中で出さないようならお前は男じゃない。なぁベルトルト、そんな奴にあいつが振り向いてくれると思うか…？
ベルトルト,なんかそれっぽいこと言ってるけど全然道理に合ってないよ。出さないからね
コニー,なんでみんなそんなに隠したがるんだ？
エレン,そりゃコニーさんのと比べられると思ったらおいそれと出せませんよ
ライナー,なら、力づくで…
ベルトルト,え…冗談だろ、ライナー…
ライナー,これが冗談を言う男の顔に見えるのか…？
ベルトルト,い…嫌だ！！
コニー,お、逃げたぞ！
ライナー,捕まえろ！
エレン,よし！オレが…。おわっ！？
アルミン,エレーン！！
ジャン,死に急ぎ野郎が…浴場で走るなと言われてただろうが…
エレン,………。ハッ！？
ベルトルト,あ、エレン…
エレン,ぐっ…なんだ今の光景は…。俺は親父に掘られていたって言うのか…？
ベルトルト,エ、エレン…大丈夫かい…？
エレン,ハ…わざわざ自分から来てくれるなんてな
ベルトルト,え？
エレン,そりゃ！！
ベルトルト,うわあああっ！？
コニー,おおっ、エレンがベルトルトのタオルを奪い取ったぞ！
エレン,これがベルトルトのか…なんて言うか…。細長いな…
ジャン,なんつーか予想通りだな
ベルトルト,うぅ…見ないでくれよ…
アルミン,なんだよ、みんな…こんなことをして何になるって言うんだよ…！
ライナー,男同士、裸の付き合いというやつだ。タオルを巻いているのは裸の付き合いとは言えんな
ジャン,お前らは気にしすぎなんだよ。全裸もいいもんだぜ
アルミン,く、狂ってる…
ライナー,さて、次はアルミン…お前だな
アルミン,くそ…
ライナー,ほう、逃げないのか
アルミン,浴場で走ったらさっきのエレンみたいに危ないからね…でも僕は…。僕は自分からこのタオルを取ったりは…
ライナー,そらっ！
アルミン,くっ…。………
ライナー,ハハ、なんだかわいいじゃないか
アルミン,…これで満足した？もういいでしょ
ライナー,そうだな。どれ、俺がタオルを巻いてやろう
アルミン,え、いいよ。自分で巻くし
ライナー,遠慮するな…ほら
アルミン,うわっ
ベルトルト,！！？は……！？
コニー,アルミン一体何が…！？
ｻﾞｧｧｧｧｧｧｧｧｧ,シャワーの音
コニー,…あ……。…………ブツだ……
ベルトルト,巨チンだ。なんだよ…なんなんだよこれ…
ジャン,普通に考えれば簡単にわかる…こんなでけぇヤツには勝てねぇ…
アルミン,うぅ…あんまり見ないでよ。自分でも気にしてるんだから…
コニー,でけぇぇぇぇ！膨張率半端ねぇぇぇぇ！！
エレン,アルミンのは60cm級の超大型だ
ベルトルト,ハ、ハハ…嘘だろ…こんなのがあっていいはずがないよ…
ジャン,マルコ…お前はオレを笑うか…？
エレン,コニーのも凄いと思ったが、やっぱアルミンのは桁違いだ。こいつを見るのは…。5年振りだな…
ライナー,ア…。アルミン…ちょっとしゃぶらせてくれないか
アルミン,何言ってるのさライナー…やだよ…
ベルトルト,な…何を言っているんだライナー
アルミン,さっきからなんなの？ライナー…気持ち悪いよ、本当に…
ライナー,う…
エレン,ライナー、お前さぁ…疲れてんだよ。なぁ？ベルトルト、こうなってもおかしくねぇくらい大変だったんだろ？
ベルトルト,え…！？なんで僕に振るの…！？
ライナー,そうか…その通りだよな…何を…考えているんだ俺は…本当におかしくなっちまったのか？
コニー,つーかよ、いつまでここでだべってんだよ？
エレン,え？
コニー,せっかく風呂に入ったんだから、風呂に入ろうぜ！
ジャン,そうだな、そうすりゃこいつの疲れとやらも取れるだろうぜ
コニー,よし、じゃあ入ろうぜ！
ジャン,オイ待てバカ、お前体洗ってねぇだろうが
エレン,ああ～。なんだぁ～…なんかいいなこれ～
アルミン,温泉には体にいい成分が沢山溶けてて、疲れを取ってくれるんだよ～
コニー,よくわかんねぇけど、疲れを取ってくれるってことはわかった～
ベルトルト,疲れはよくわからないけど温まるなぁ
エレン,わかるわ～、体の芯まで温まるって言うかさ～
ライナー,ふぅ…定例報告の時期が楽しみになってしまうなこれは…
エレン,ジャン、お前やっぱ憲兵団に志願しなかったこと後悔してんじゃねぇか～
ジャン,別に俺は後悔なんてしてねぇ…わけじゃねぇけどよ～
アルミン,やめなよ二人とも～こんなところでさ～
エレン,そうだな～悪かった～
ジャン,別にいいぜ～どうでも
コニー,なぁアルミン、お前さっきなんて言ったんだっけ～？
アルミン,え～？何～？
エレン,温泉がどうとか言ってたよな～
アルミン,ああ、温泉には体にいい成分が溶けてるんだよ～
コニー,温泉ってよ、体にいい成分が溶けてるんだよな～
ライナー,ん？ああ、そうらしいな
アルミン,それは今言ったよ～
コニー,じゃあさ、これ飲めば栄養満点なんじゃね～？
エレン,ん～？まぁそうなんじゃね～の？
コニー,よし、いただきます！
ベルトルト,やめなよ！！
ジャン,あっちに飲み湯ってのがあるから、そっちのを飲んで来いよ～
コニー,そんなのもあんのか！すげぇ！
エレン,！？
ベルトルト,誰か入って来たよ！
ジャン,誰だ！？もしかして…
エルヴィン,おや
エレン,あ…エルヴィン団長…
コニー,ん？エレンの知り合いか？
アルミン,だから団長だよ！調査兵団に入る時に演説してたじゃないか！
コニー,ああ、なんかそんなことあった気もするな…
エレン,どうして団長がここに？
エルヴィン,定例報告が一段落ついたから私も風呂でも浴びようかと思ってね。上がったらまた机に戻ることになるな
エレン,そうなんですか、お疲れ様です
コニー,あ、そうだ飲みに行こう！
エルヴィン,…君
コニー,え？俺っすか？
エルヴィン,風呂は滑りやすい。頭を打って死ぬ人も出るくらいだ、気をつけて、走らないようにな
コニー,はっ、はい！気をつけます！
エレン,ハハハ、そんなバカいねぇだろ～
ジャン,プクク、このバカ野郎もう忘れてやんの～
エレン,なんだとこの野郎～
アルミン,やめなよ二人とも～こんなところでさ～
ジャン,そうだな～悪かった～
エレン,別にいいぜ～どうでも
エルヴィン,それにしても君…堂々としすぎではないか…？
コニー,え？これっすか？男同士で隠す必要なんてないでしょ？
エルヴィン,…なるほど。そうかもしれない、男同士ならこんなものは不要だな。裸の付き合いだ！
ライナー,おお！？
ベルトルト,あぁ…まともな人だと思ってたのに…
アルミン,うわ～、団長って流石に大人なだけあってでかいね～
エレン,アルミンの方がでけぇだろ～
アルミン,ええ？僕とは比べ物にならないでしょ～
エレン,おいおい、それは厭味にしか聞こえねぇぞ～
アルミン,だから団長は器がでかいってさ～
エレン,ああ～
アルミン,何と勘違いしたの～？ん～？
ジャン,そりゃ股間のマグナムだろ～
エレン,そうだよ、ばっかだなぁアルミンは～
アルミン,あ～なんかもうどうでもよくなってきた～
コニー,うおっ！？
アルミン,うわぁ！？コニーの足下にちょうど団長が投げ捨てたタオルが落ちてきてコニーがそれを踏んで滑った！？
エルヴィン,危ない！！
エレン,団長！！
コニー,お、おお…？
エルヴィン,すまなかった…私の行動がこんなことを引き起こしてしまうとは…
エレン,だ…団長…
エルヴィン,ん？
エレン,髪が…
エルヴィン,…………。………
コニー,団長、オレと同じっすね！オレのは坊主頭っすけど！
エルヴィン,は？
コニー,ひっ！
エルヴィン,………
エレン,団長は何事もないように…それ
エルヴィン,エレン…君には何が見える？
エレン,…はい？
エルヴィン,……すまない…変なことを聞いたな。だって…。君達は、何も、見て、いないのだからな？
ジャン,はいっっっ！！何も見ておりません！！
コニー,見てません！！何にも！
アルミン,団長は大事なものを捨てることができる人だ。秘密を守るため…団長は選んだ、僕達の信頼を切り捨てることを選んだ
エルヴィン,………
エレン,この人はいつ上がるんだ…
ジャン,オレはいつになったらここから出られるんだ…？
アルミン,どうしてこうなった
コニー,なんか体がふやけて気持ち悪くなってきたぞ…
ライナー,俺に…どうしろと言うんだ…
ベルトルト,帰りたい…
エレン,誰だ！？
ジャン,誰でもいい、なんとかしてくれ！
リヴァイ,なんだてめぇ、あんなこと言っておきながらここにいたのか。ちゃんと体洗ってから入ってんだろうな
エレン,リヴァイ…兵長…
エルヴィン,やぁリヴァイ
リヴァイ,エルヴィン、テメーも来てたのか
エルヴィン,それはお互い様だろう
リヴァイ,…そうだな。ふぅ…
エレン,なんか…さっきより気まずくなっただけじゃないか…これ…
ライナー,なぁエレン
エレン,…？どうした、ライナー
ライナー,見ろ、兵長のあの姿…
エレン,兵長の姿…？
リヴァイ,はぁ…やはり、いいな…温泉は…
エレン,…腰にタオル巻いたまま湯船に浸かってるな
ライナー,あれをどう思う？
エレン,オイ、やめろよライナー…相手は人類最強だぞ…
ジャン,いや…
エレン,ジャン…？
ジャン,今、兵長さんは丸腰だ。剣や立体起動の使い方こそ化け物だが、力まで人類最強ってわけじゃないんじゃないか…？
エレン,オレ蹴られたことあるから言うけど、そんな楽観視できねぇよ…
アルミン,そうだね。近所の悪ガキが何人束になってかかってもミカサには勝てなかったし…
エレン,ア、アルミン。お前はわかって…
アルミン,でもさ…僕達は近所の悪ガキじゃない。訓練された…兵士だよ
エレン,アルミン…！？
ベルトルト,エレン、ビビってるのか…？
エレン,…は？
ベルトルト,僕からは無理矢理剥ぎ取ったくせにさ…許せないよ…
エレン,オ、オイ…落ち着けよベルトルト…
コニー,って言うかよ、オレ達が全開なのに一人だけタオル巻いてるのってなんか変じゃねーか！？
エレン,変と言うか…
エルヴィン,話は聞かせてもらった
エレン,うわ！？
エルヴィン,そういうことなら私が命じよう。調査兵団の諸君、リヴァイからタオルを剥ぎ取れ
エレン,………
リヴァイ,ん…？どうした、風呂はゆっくり浸か…
ジャン,………
ライナー,……
ベルトルト,………
アルミン,………
コニー,………
リヴァイ,オイ…どうした？上がるのかてめぇら
ライナー,兵士には引けない状況がある…今がそうだ！
リヴァイ,！？。何のつもりだ？
ライナー,む…なんという筋肉の密度だ…
ジャン,そんなちっちぇえ体じゃ限界があんだろ！押さえ込め筋肉ゴリラ！
エルヴィン,風呂から引きずり出せ！滑りやすい床なら踏ん張りが利かなくなる！
リヴァイ,エルヴィン、テメェ…
ライナー,うおおっ！
エルヴィン,よし！床に上がったらそこの二人は足を押さえて固定しろ！
ベルトルト,はい団長！
コニー,こっちは任せな！
リヴァイ,てめぇら…！後でどうなるかわかってんだろうな…
外野,わかりません！豚野郎だから！
エレン,そうそう、豚だから人間様の言う言葉なんて理解できませんよ！
リヴァイ,てめぇら根に持ってやがんな…！
エルヴィン,私だって秘密を暴露されたんだ。お前が無事というのは納得いかないな
リヴァイ,知るかよ、と言うかお前のヅラなんて前からバレバレだったじゃねぇか
エルヴィン,ははは、なんのことだ？変なことを言うなリヴァイ
リヴァイ,こんなもんで俺をどうこうできると思ってんのか…！
エルヴィン,立ったままじゃ押さえ込むのは無理か…よし、なら座るんだ！
ライナー,おお！
リヴァイ,うおっ…
ライナー,アルミン！ジャン！俺の体を引っ張れ！
ジャン,お、おう
ベルトルト,僕達は逆方向に足を引っ張るんだ！
リヴァイ,うお！？
エレン,あとは…そのタオルを取るだけだな
リヴァイ,エレン…
エレン,さぁ…姿を見せやがれ…！！
ベルトルト,…………
コニー,ん？え、どこ？見えねーんだけど
ジャン,え、は？え、マジ…？
エレン,勃ってるな、これ…
アルミン,え、勃起してこれなの…？
リヴァイ,…………
エルヴィン,………
ライナー,しかも、これは…被ってる…な
ベルトルト,鎧の巨人ｗｗｗｗｗいや巨人じゃないなこれはｗｗｗｗｗｗｗ
ライナー,鎧の粗チンｗｗｗｗｗｗｗｗｗｗ最悪だなｗｗｗｗｗｗｗ
コニー,なんだこれ、ポークビッツ？
アルミン,いやこれポークビッツの方がでかいよｗｗｗｗｗｗ
エレン,え！？ヤバくねｗｗｗｗｗｗｗｗ何これｗｗｗｗｗｗｗｗ
ジャン,おい誰か測れｗｗｗｗｗｗｗｗｗｗ
エレン,測定できるものここにねぇだろｗｗｗｗｗｗｗｗｗ
コニー,まかせろ！狩猟民族には必須のスキルだ！
アルミン,さっすがコニーｗｗｗｗｗｗｗｗ
リヴァイ,オレに触るんじゃねぇドチビが…！！
エルヴィン,君のこそドチビじゃないかｗｗｗｗｗｗｗｗ
コニー,えーと…1cmと7mm！！
ライナー,17mmｗｗｗｗｗｗｗｗｗｗｗｗ
エレン,小さすぎｗｗｗｗｗｗｗ
ジャン,こんなん使い物にならねぇだろｗｗｗｗｗｗｗｗｗ
アルミン,挿れても気づかれないんじゃないｗｗｗｗｗｗｗｗｗｗｗｗｗ
エルヴィン,これでは人類最強じゃなくて人類最小だなｗｗｗｗｗｗｗ
ベルトルト,人類最小ｗｗｗｗｗｗｗｗｗｗ
リヴァイ,てめぇら…
エレン,あっ…
リヴァイ,全員表へ出ろ
クリスタ,ふぅ…気持ちよかったね
サシャ,そうですね。あれ、あっちに誰かいますよ
クリスタ,あれって…おーい、ユミル
ユミル,お、クリスタ。なんでまたこんな夜遅くに出歩いてんだ？
クリスタ,ちょっと大浴場に行ってたの。この時間なら、男の人は大浴場を使えないから
サシャ,私はつきそいです。さっぱりしました！
ユミル,あー、そういやそんな話あったっけ
クリスタ,流石に男の人達がいるところに行くのはちょっと…ね？
ユミル,なんだよ、私も呼んでくれればいいのにさぁ
クリスタ,一応、探したんだけど…ユミルは何してたの？
ユミル,んー…あー…ちょっとアレずっと見ててさ
クリスタ,アレ？
アルミン,死ぬ…ああ死ぬ…ここで死ぬ…
ライナー,喉が…カラカラだ…
クリスタ,…みんな、何やってるの？
サシャ,走らされてますね。盗み食いでもしたんでしょうか…私も呼んでくれれば
ユミル,なんか、調査兵団の兵長を怒らせたみたいでさ。昼からずっと走ってんの。ばっかだよなぁ、あいつら
サシャ,あ、それならいいです
コニー,あぁ…腹減った…
ベルトルト,つ、つらい…いつまで走ればいいんだ…
エルヴィン,な、なぁリヴァイ…どうして私まで走らされているんだ…仕事があるんだが
リヴァイ,お前が主犯だろうが…それと仕事はハンジの奴に任せておいた
エレン,くそっ…人類最小のくせに…
リヴァイ,テメェもう一セット追加な
エレン,トホホ、もう温泉はこりごりだよ！
