藤居朋,……ほたるちゃん
ほたる,か、冠番組……
智絵里,わたしたち3人の番組なんですか？
常務,そうだ
朋,……
ほたる,朋さん？
智絵里,どうかしましたか？
朋,え？い、いや、びっくりしちゃって……。信じられないなーって……
常務,……私はそうは思わない。むしろ遅いくらいだ
朋,へ？
常務,キミ達にはどんな仕事でも任せられるという安心感がある。今回も期待通りに数字を取ってくれると判断しての決定だ。誇った方がいい
朋,常務……
常務,げいに……アイドルとしてな
朋,なんでオチをつけたの
常務,では話を戻そう。このミーティングは、その番組の企画を説明するためのものだ
朋,なるほど……
ほたる,バラエティですか？
常務,まあ、そのような系統と思ってもらって構わない
朋,タイトルとかは決まってたり？
常務,そうだな、まずはそこから発表しよう。名付けて
智絵里,おおー
常務,読みはまるっくらっくらっくだ
朋,提案系……？
常務,詳細な内容の説明に移る。何か、"〇っく"という単語を挙げてみてくれ。〇に入るのは何文字でもかまわない
智絵里,ロマック
朋,最初にそれ浮かぶ！？
常務,性格や姿勢は悪くなかった
智絵里,でも野球が下手でしたねっ！
朋,智絵里ちゃん！！！
常務,少し適さないな。他にないか？
ほたる,ブック……はどうでしょう？
常務,BookLackLuckか。悪くないな
朋,？
常務,その場合、例えば3人がお気に入りの本を紹介したり、朗読したり、実際に本屋にロケに赴くのも面白い。鷺沢などもゲストに呼べそうだ
朋,えっと……？そんなこと考えても、冠番組の内容は決まっているんじゃないんですか？
常務,ああ、決まっている。……"決まっていない"ということがな
朋,……はい？
智絵里,支離滅裂な発言……認知症の可能性が……
朋,ちょっと黙ってて
常務,つまり、"どんな冠番組にするかを考える冠番組"ということだ
ほたる,なるほど……？
朋,え？あたしたちで決めていいの？
常務,いや、決まらない。毎週、自分がどんな冠番組をやりたいかをプレゼンしてもらう。実際に決めるわけではない
ほたる,"こんな番組がやりたい"と話し合う番組ということですね
智絵里,えっと、どんな企画をプレゼンしてもいいんですか？
常務,条件は1つだけ。"〇っく"に該当する単語と関連すればいい。さっきならBookだな
朋,つ、つまり、毎回、提案する番組名と内容を考えるってこと？
常務,ご明察だ。キミ達3人の個性を最大限活かすには、それぞれに均等なスポットライトを浴びせるのが良いと考えた。期待している
智絵里,有能
ほたる,有能
朋,急に信者になるのやめて！？怖いわよ！？
常務,質問がないならこのあたりで失礼するが
智絵里,どれくらい数字をとればいいですか？
朋,生々しい
常務,紅白に勝て
朋,あの裏で！？！？！？。いや～、それにしても、まさか冠番組とはね……
智絵里,努力が報われましたねっ
朋,いやいや、2人のおかげよ？たしかそう、ちょうど1年前くらいに、2人とちゃんと話すようになって……
智絵里,わたしとほたるちゃんは朋さんにドハマりして……
朋,あたしはコンテンツか何か？
ほたる,私は降ってきた植木鉢に頭がドハマりしたりして……
朋,ほたるちゃん。と、とにかく、今回の番組はその集大成だと思うの！頑張りましょ！
ほたる,はい……！きっと、成功しますよね
智絵里,大丈夫だよほたるちゃん！なんだかんだ、1年間やってきたんだからっ
朋,そうそう！リラックスしてね？
ほたる,そうですね……！失敗したら舌を噛み切ります！
朋,リラックスどこいったの
智絵里,か～ら～の～？
朋,それ以上を望むの！？
ほたる,昔書いていたポエムを発表します
朋,精神的な罰も！？
智絵里,ほたるちゃん、馬鹿みたいに強いですから心配いらないですよっ
朋,褒めるにしてもワードチョイスどうにかならなかった！？。ふ、2人は何か、企画について検討はつきそう？
智絵里,はいっ！わたしは1つ浮かんでます
朋,わ、すごい……。まあ時間はあるし、あたしも色々考えよっと……
ほたる,お互いにも教えないまま、本番でいいんでしょうか？
朋,あたしはそっちの方が面白いと思うな
智絵里,そうですね。びっくりさせちゃいます！
朋,……すでに嫌な予感すごい
ほたる,では、楽しみにしてますね
朋,う、うん！楽しみではある……かな
智絵里,ちゃんと数字が取れる企画をお願いしますねっ！
朋,誰目線？
ほたる,智絵里さんこそ、眠くならないような企画をお願いしますね
朋,煽る必要あった！？
智絵里,遺書は用意した？
朋,ケンカの買い方がアクロバティックすぎるでしょ！！！
ほたる,智絵里さんの分ですか？
朋,もうやめて！！！！！。よろしくお願いしまーす
智絵里,お願いしますっ
ほたる,よろしくお願いします……
スタッフ,今回は、"番組名"/"番組の概要"/"第一回の内容"をプレゼンしていただきます
智絵里,はいっ
ほたる,大丈夫です
朋,……
ほたる,朋さん？
智絵里,何か問題があったんですか……？
朋,いや、あのスタッフさん……見覚えが……
スタッフ,本番2秒前～！
朋,やっぱり！！！！！
智絵里,はいっ！というわけで始まりました！新番組〇っく・らっく・ら
ほたる,っく
智絵里,司会はわたしたち、LackL
ほたる,uck
智絵里,の3人でお送りしますっ
朋,パスの出し方エグっ！！！ほたるちゃんよく対応できるね！？
智絵里,改めまして、緒方智絵里と白菊ほたると藤居朋ですっ
朋,自分で言いたかった！
ほたる,白菊ほたるです。よろしくお願いします
朋,無視して名乗るのも相当なメンタルじゃない？
智絵里,短い間ですが、よろしくお願いしますね
朋,よ、よろしくねっ！
ほたる,この番組は、"SELON""リッチェル""スパング""aarde""brage"そしてご覧のスポンサーの提供でお送りします
朋,あまり聞いたことない企業ね……？
ほたる,こ、この有名な植木鉢メーカーさんたちを知らないんですか……！？
朋,よくその業界から5社も来たわね！？
智絵里,ちなみにスパング社さんは、ドイツで100年以上の歴史を持つ植木鉢メーカーさんなんですよ
朋,普通にすごい！！！
ほたる,良い音が鳴るんです……
朋,それ本来の使用目的じゃないから！
智絵里,では朋さん、番組の概要をお願いします
朋,う、うん！えっと、この番組は、あたしたちLackLuckの冠番組の内容を決める番組なの。3人が毎回アイデアを持ってきて、それをプレゼンしていく形になるわ
ほたる,でも、1つだけ、決まりがあるんですよね？
朋,そうなの！語呂がらっくらっくと合うように、"〇〇っく"って単語を使った番組じゃないといけないのよ
智絵里,でも、逆に言えば、そこさえ守ればなんでもいいということですからね
朋,なんでもじゃないけどね？
智絵里,なんでもいいということですからね
朋,強調！？
智絵里,でも、第一回ですから、実際にやってみるのが早いかもしれませんね
ほたる,そうですね……、やはり手探りな部分はありますし
朋,そうね、早速プレゼンに入ろっか？
ほたる,はい
智絵里,ではトップバッターの朋さん、お願いしますっ！
朋,うん！よろしくお願いしまーす！
智絵里,第一回のトップバッターですからねっ！きっと、最高のアイデアを見せてくれますよねっ
朋,ハードル
ほたる,しかも私たちのリーダーですからね。これは期待できます……
朋,ほたるちゃんまで！？。じゃあプレゼンを始めるわね。あたしの考えた冠番組はこちら！
智絵里,はい決定ですね
ほたる,じゃあロケに行きましょうか
朋,待って待って待って待ってせめて概要を！。えっと……ｺﾎﾝ。この番組は、読んだそのまま、料理番組よ！でも、普通に料理をするわけじゃないの
ほたる,負けたら番組降板とかですか……？
朋,なんで罰から考えちゃうの！
智絵里,わたしならともかく、朋さんがそんな番組を用意するわけないでしょ？ほたるちゃん？
朋,なんで自虐
ほたる,確かに！確かに！
朋,同意の勢いがすごい。この番組、前半はみんなでいろんな場所へ食材を探しに行くの。それで、見つけた食材や、教えてもらったレシピとかを使って、後半はスタジオで料理！どうどう？楽しそうじゃない？
智絵里,いいですねっ！ゲストも呼びやすそうです
朋,うん、いろんなアイドルの地元で食材を探したり、もしかしたらアイドルの実家とかに行って、懐かしの味を教えてもらったりとかね！
ほたる,あ、でしたら私、行ってみたい場所があるんです
朋,え？どこどこ？
ほたる,ウサミン星
朋,ウサミン星。それは……ちょっと……
智絵里,むしろ番組の枠を丸々使って探検したいところですけどね
朋,Cookだから……
ほたる,きっと、私たちが知らないような食材やレシピが溢れてると思うんです
智絵里,そうですよっ。きっと、知らないような(古い)食材や(古い)レシピでいっぱいですっ
朋,行間
ほたる,すみません、脱線してしまいましたね。では、第一回のプランをお願いします
朋,え、えっと、初回は、あたしの地元、滋賀県に行こうかなーって！
智絵里,おおーっ
ほたる,いいですね……
朋,じゃあ2人とも、滋賀県といったら？
智絵里,比叡山焼き討ち
ほたる,ひこにゃん
朋,Cookって言ってるでしょ！！！！！
ほたる,なるほど、琵琶湖ですね
智絵里,釣りをするんでしょうか？
ほたる,七海さんあたりがいると心強いかもしれません
智絵里,お魚なら、天ぷらが美味しそうですっ
朋,急に琵琶湖を当てたと思ったらプランまで暴いていくのやめて！喋ることなくなっちゃう！
智絵里,でも、楽しそうですね、琵琶湖……ﾊｯ！
ほたる,智絵里さん？どうかしまし……ﾊｯ！
智絵里,と、朋さんの地元に行くということは、もしかしたらご実家にも……！？
ほたる,そ、そのままご両親にご挨拶……！？
智絵里・ほたる,そんな、まだ早いですって……
朋,何が！？。ま、まあそんな感じの番組ね。前半の食材集めパートは、普通に旅番組みたいに楽しむのもいいと思うし、場合によっては現地で調理ってのもやってみたいな
ほたる,素晴らしいプレゼンでした……
朋,そ、そう？
智絵里,もう後は消化試合みたいなものですからね
朋,そんなこと言わないで！次は智絵里ちゃんでしょ！
ほたる,頑張ってください
智絵里,はいっ。では、続いてプレゼンさせていただく緒方智絵里です。お願いしますっ
朋,ま、まあ、智絵里ちゃんといえども、そんなに危ない内容の番組は作らないはず……
ほたる,……フラグが立った音がしました
智絵里,わたしが考えた冠番組はこちらっ
朋,ああ……諦め
智絵里,この番組は
朋,ち、智絵里ちゃん！大丈夫な内容なのよね！？
智絵里,……。この番組はですね……
朋,返事をして！！！
ほたる,……
朋,なんでそんな反応ができるの！？
智絵里,事務所のみんなの、ちょっとブラックな噂の真相を究明したりしますっ
朋,ブラックな噂って……
ほたる,何か、例はあるんですか？
智絵里,うん！このプレゼンのために、事務所を這いずり回って集めたんです！
朋,相場は"駆け回って"でしょ！？
智絵里,例えば……
朋,え！マズいじゃない！
智絵里,これは単に給料の前借りをして、服を買っていただけらしいです
朋,よかった……
智絵里,これがホントの"着服"ですね
朋,それ言いたかっただけでしょ！？
智絵里,他にも……
ほたる,茜さんが……？
智絵里,これは、ランニング中に気分が乗って、そのままどこかへ行ってしまい、レッスンに間に合わないことが多いということらしいです
朋,対策しようよ！？
智絵里,大丈夫です。前回から、事務所の半径10キロから出たら麻酔銃の発砲許可が下ります
朋,他に方法なかったのかなあ！！！
智絵里,昨日は山梨で眠っている所を無事に保護されました
朋,撃たれても山梨まで行けちゃうの！？
ほたる,私は実弾でも大丈夫です
朋,急にぶっこんでくるわよね
智絵里,続いてのコーナーに移ります
朋,まだあるの……
智絵里,さっきのだけじゃ尺が余るので……
ほたる,余った時間でイカスミスパゲッティでも食べてればよいのでは？黒だけに
朋,ほたるちゃん？
智絵里,ほたるちゃんは黒猫やカラスに人気だけど、どうしてなのかな？
朋,2人とも！
智絵里,次のコーナーは、世の中の流行りに流される人に、ちょっと黒い一言を投げて正気に戻ってもらうコーナーですっ
朋,また不穏なコーナーを……
智絵里,例えば、"恋ダンス"
朋,あー、最近、大人気だものね
智絵里,あれを踊ってる人に
朋,人に？
智絵里,"あなたはガッキーじゃない"と
朋,智絵里ちゃん
ほたる,あの……
智絵里,どうしたの？シラッキーちゃん
朋,その呼び方初めて聞いた
ほたる,恋ダンスって、私実際見たことないんですけど、どんなダンスなんですか？
朋,あれ、見たことないの？
ほたる,はい……、見ようとしたら、いつもテレビが映らなくなって……
朋,ああ……
智絵里,じゃあ、2人でやる有名なポーズを教えてあげるね
ほたる,お願いします……
智絵里,まず向き合って……
ほたる,はい
朋,うんうん、で、人差し指を立てるのよね
智絵里,中指を立てます
朋,緒方
智絵里,ご、ごめんなさい！
ほたる,あ、あれは、ごく稀にしか使わない苗字ツッコミ(感嘆符なし)！！！と、朋さんが怒ってる……！
朋,テレビだから……ね？
智絵里,は、はいっ
智絵里ちゃん,やめようね
智絵里ちゃん！,ちょっと！
智絵里ちゃん！！！,ダメでしょ！
緒方ァ！！！,いい加減にして！
緒方,緒方
智絵里,わ、わたしのプレゼンは以上ですっ
朋,まったくもう……
ほたる,あとで、私の部屋で反省会ですね、智絵里さん
智絵里,うん、まずは夜道で襲うから、強く当たってあとは流れで
朋,八百長みたいな相談やめて。……というかあたしも誘って！！！
ほたる,延々と朋さんのいいところについて語り合う会ですけど……
智絵里,来ますか？
朋,……パスで
ほたる,では最後に、私、白菊ほたるがプレゼンをさせていただきます
智絵里,よっ、トランプ！
朋,"大統領！"じゃないの！？いや大統領でもないけど！
ほたる,765プロとの国境に壁を建設します
朋,ほたるちゃんも乗っからないの！
智絵里,SEKAINOOWARI
朋,そろそろちょっと黙ってて！！！
ほたる,私が考えた冠番組はこちらです
朋,クロック……時計ね
ほたる,はい、この番組では、アイドルと時間に関するコーナーをやっていきたいと思います
智絵里,時限爆弾とか？
朋,何が"とか？"なの
ほたる,例えば、アイドルが使ってる時計を見せてもらったり、それにまつわるエピソードを紹介してもらったり
朋,おお……まとも……
智絵里,前の発表者がまともじゃなかったですからね……
朋,ブーメラン刺さってるわよ智絵里ちゃん
ほたる,クイズコーナーなども面白いかもしれません
智絵里,ちなみに、なにか例はあるの？
ほたる,はい、例えば、大原みちるさんの328秒とは、何の時間でしょう
朋,みちるちゃん……？
智絵里,パンに関係しているとは思うんですが……
朋,正解は？
ほたる,フランスパン346個を食べるのにかかった時間です
朋,1個に1秒も使わないの！？
ほたる,では、ライラさんの89時間15分33秒は？
朋,ええ……見当もつかない……
ほたる,ハーゲンダッツ1つを食べた後に満足感の続く時間です
朋,ライラちゃん……
ほたる,とっても幸せそうな顔をしているそうです
朋,ならいいけど……
ほたる,そして、第一回はLackLuckの1年間について、色々と話したいな、と
朋,え……？
ほたる,この1年間、本当にたくさんのことがありました。1年前は、こうして誰かと一緒に活動なんて考えてもいなかったんです
智絵里,わたしはキャンディーアイランドがあったから、別にほたるちゃんと組まなくても大丈夫だったよっ
朋,智絵里ちゃん
ほたる,ふふ……、今では、智絵里さんのそれが単なる照れ隠しだってこともちゃんとわかりますよ
智絵里,ほ、ほたるちゃんがいじめてきます……
朋,確かに、最初の印象に比べると……ね
ほたる,最初はよくいっしょにいる仲間でしたが、お正月にお話ししたり、朋さんのステージ出演をみんなで祝ったり、ユニット名をみんなで考えたり……。警察署長の仕事や、海での撮影もありましたね。最近ではファンレターも増えてきて……
朋,確かに、いろんなことがあったわね……
智絵里,そうですね……。植木鉢が降ってきたり、照明が落ちてきたり、スマホが爆発したり、トラックに轢かれたり、色々ありましたね……
朋,オチだけ抜粋するのよくないわ
ほたる,そういう振り返りを第一回にすることで、みなさんに私たちのことを知ってもらう機会にもなると思うんです
朋,良い考えね……！最近は忙しくて、ゆっくり話す機会も減ってきちゃったもの
智絵里,でしたら、この後、3人で食事でもしながら、たくさん話しましょうかっ
朋,お！いいわね～
ほたる,楽しみです……！
智絵里,……
朋,……
ほたる,……
朋,……あっ！収録中！！！
智絵里,！
ほたる,！
朋,す、スタッフさんも笑ってないで～。えらく漢らしい笑い声の人いません！？
智絵里,……と、いうわけで、今週はここまでです！
ほたる,緊張しましたが、なんとかなりましたね
朋,いやー、知ってるメンバーだとやっぱりやりやすいわね！
ほたる,次のプレゼンはどうしましょう……
朋,あ、そっか、また考えなきゃね
智絵里,来週も、楽しいプレゼンができるといいですね。お楽しみにっ
朋,うん！来週も見てね！
智絵里,次は今回より数倍楽しいプレゼンがみなさんを待ってますから！
朋,やめて
ほたる,も、もう植木鉢を被って登場するしか……
朋,なんで追い詰められてるの！！！。疲れたー！
智絵里,お疲れ様ですっ
ほたる,無事、終わりましたね
朋,でも、なんだかんだ、やっぱり楽しいわね！
智絵里,はいっ
朋,じゃ、早速、ご飯食べに行こっか！
ほたる,はい。……あ
智絵里,どうかしたの？
ほたる,さっきのスタジオに忘れ物をしてしまって……、ちょっと取ってきますね
朋,えっ、ち、ちょっと、この流れ、前にもあったような……！
智絵里,前は、照明が落ちてきて……
朋,イヤな予感が……
スタッフA,あれ、そういえば、あのスタジオって、照明の留め具が不安定だったんじゃないのか？
スタッフB,あ、そうだったっけ？
朋,や、やっぱり！ほたるちゃ……
スタッフC,ああ、あれなら、もう直してあるみたいですよ
智絵里,……
朋,よかった……
スタッフC,あのスタジオは、セットがちょっと不安定なだけで、それ以外は安全ですよ
スタッフA,じゃあ、そうとう運が悪くない限り平気だな
スタッフABC,HAHAHAHAHA！
朋,
智絵里,
朋,ほたるちゃん！！！！！！！！！
