藤居朋,ほたるちゃん、遅いわね……
朋,なんて反応すればいいの。でも、こうやってレッスン以外で体を動かすのも、たまにはいいわね！
ほたる,気持ちいいですね……
智絵里,つ、次は混ざってみせます……！
朋,ふふっ、期待してるわね
姫川友紀,ほらほらー！もっと下半身を使って投げなきゃ！手だけじゃ強いボールは投げれないよー！！
朋,うわっ！？
ほたる,ゆ、友紀さん……！？
朋,いつの間に……
友紀,聞いたよほたるちゃん！始球式のお仕事するんだって！？
ほたる,は、はい……
友紀,もー、我が事務所の誇る野球アイドル、姫川友紀に相談してくれないなんて水臭いじゃん！
ほたる,はあ……
友紀,ほらほら、智絵里ちゃんも教えてあげるよ！
智絵里,ありがとうございますっ。ちなみに、キャッツの今シーズンはどうだったんですか？
朋,あっ！
友紀,ぐはぁ！！！！！
朋,友紀ちゃん！！！
ほたる,だ、大丈夫ですか……？
友紀,……ごめん、帰るね
朋,テンションの落差。もう！ダメでしょ智絵里ちゃん！
智絵里,ごめんなさい……
朋,セリフと表情が全く合ってないし！
智絵里,も、もうすっかり秋ですね……
朋,話題の逸らし方が下手すぎるでしょ！
ほたる,あ、でもトンボも飛んでますね。確かに秋です……
朋,あ、ホントね……。昔はよく追いかけたもんだけど……
ほたる,あ、智絵里さんの頭にトンボが……
智絵里,？
朋,智絵里ちゃん動かないで！そのまま！
智絵里,えっ？
朋,そのままねー……こっち見てー……
智絵里,……
朋,……えい！……あぁ～、もうちょっとグルグルしなきゃだったかな～
ほたる,惜しかったですね
朋,あー、残念……。智絵里ちゃんは目回してたのに
智絵里,ま……まわしてないですよ？
朋,回ってるわよね？
智絵里,まわってない……です
ほたる,回ってるように見えますが……
智絵里,もうっ！いい加減にしないと怒るよほたるちゃんっ！
ほたる,智絵里さんはどうして木に向かって怒ってるんですか？
朋,ごめんってば。ほたるちゃんの始球式、いよいよね！
智絵里,はいっ。わくわくしますね
朋,テレビ中継のある試合でラッキーだったわ！。紹介のハードルが高すぎる
智絵里,すごい頭下げながら入ってきちゃいましたね……
朋,で、でも歓声はすごい！
智絵里,……
朋,なんで智絵里ちゃんがドヤ顔してるの。……
智絵里,乱闘になったらほたるちゃん有利ですが……
朋,乱闘にはならないし有利取ってるのもおかしいから。おお！ナイスボールね！
智絵里,大丈夫そうですね
朋智絵里,打たれた！！！！
朋,なんで！？これ始球式よね！？。うぇぇぇぇ！？
智絵里,は、ハトさーん！！！！！
朋,確かにビックリだけどそんなにハトに感情移入するかな！？
智絵里,ぼ、ボールが落ちてきて……
朋,ほたるちゃん！！！
智絵里,は、跳ねたボールが。ほたるちゃんのグラブの中に……！
朋,ピタゴラスイッチか何か？。そもそも打ってるのがおかしいんだからね！？。ほたるちゃん先発ピッチャーなの！？
智絵里,困惑するほたるちゃん、カワイイなぁ……
朋,本人に言ってあげて？。当たり前でしょ……
智絵里,藁にもすがりたいとはこのことでしょうか……
朋,そういうこと言わないの……あ、ごめん、あたしこの後予定あるんだった。先に失礼するね！
智絵里,はいっ。わたしはせっかくなので、少し試合を見ようかと思います
朋,おっけ、じゃね！
智絵里,お疲れ様ですっ！
朋,おっはよ～、あ、智絵里ちゃん、昨日の試合ってどうなったの？
智絵里,0-17で負けました
朋,ラグビーかな。そ、それは……なんというか……
智絵里,でも、怪我人はいなかったんですよ？
朋,求められるハードルが最低限すぎない？
ほたる,お疲れ様です
朋,あ、ほたるちゃん。昨日はお疲れ様！
ほたる,初球のストレートが甘く入ってしまいました……
朋,なんで先発投手みたいな目線でコメント残してるの
智絵里,監督の評価が下がった智絵里の評価が下がったやる気が下がった
朋,そんなパワプロの試合後みたいな
ほたる,ところで朋さん、智絵里さん、今日の夜は空いていますか？
朋,夜？
智絵里,ま、まだそういうのは早いと思うし3人でなんて……///
朋,どういう早とちりしてるの？
ほたる,昨日の始球式の後に、チケットをいただいたんです。もうシーズンも終わりで余ってるらしくて
朋,へー！じゃ、現地観戦ってこと？
ほたる,はい。せっかくの機会ですし、ぜひ
朋,いいわね！あたしは行けるわよ！
智絵里,わたしも大丈夫ですっ
ほたる,では、お仕事が終わったら向かいましょうか
朋,おっけ！……あれ、今日の仕事って場所どこだっけ？
智絵里,武道館でライブです
朋,それ忘れるようならアイドル辞めたほうがいいでしょあたし
智絵里,す、すみません、正しくは新宿駅で政治家に野次を飛ばすお仕事です
朋,智絵里ちゃん、ちょっと攻めすぎじゃない？。とうちゃく！
智絵里,ちょうどいい時間ですね
ほたる,試合開始は18時なので、少しグッズショップでも見ましょうか
朋,いいわね～
ほたる,あ、せっかくなので何か、お揃いのものでも買いませんか……？
朋,うんうん、あたしもそう言おうと思ってたのよ！
智絵里,あっ、このペンギンさ……じゃなくてツバメさんのTシャツ、かわいいですっ！
朋,絶対わざとでしょ
ほたる,うーん……
朋,あ！キャップとかどうかな！変装がてら！
智絵里,確かに……、朋さんが気づかれたら野球なんてそっちのけでみんな見てしまいますからね……
ほたる,選手が逆にサインを欲しがってしまうかもしれませんからね……
朋,急に持ち上げるわよね
ほたる,でも、公認サポーターの私はともかく、おふたりにもこのチームを応援してもらうことになりますが……
朋,なーに言ってるの！
智絵里,そうだよほたるちゃん？
朋,もともと野球なんて全然見てなかったし、この機会に贔屓チームを作るのもいいきっかけよ！
智絵里,それに、弱いチームは応援してあげなきゃですよねっ！
朋,あたしたちのパワーで来年こそ優勝させようじゃない！
ほたる,あ、ありがとうございます……
朋,じゃ、決まりね。キャップ買っちゃお！
智絵里,はいっ。いくらですか？
朋,大丈夫よ！
ほたる,え？
朋,こう見えても最年長なんだから！帽子の1つや2つくらいあたしが買ってあげうわ意外に帽子って高いのね待って今サイフにいくら入ってたっけいやでもさっき下ろしたとこだしチケット代もタダならむしろ余裕はあるから大丈夫よね夜だから観戦後にどこか食べ行くとかもないだろうしうんうんなんとかなりそうね
ほたる,すごい間が空いてましたけど
朋,えっと……席は……
智絵里,あのあたりでしょうか？
朋,一塁側内野席Sだから……そうみたいね……、あ、ここの3席だわ
ほたる,私は朋さんの右側で
智絵里,私は朋さんの左側で
朋,こういう時だけめちゃくちゃ息ぴったりよね。あと40分くらい？
ほたる,ですね
朋,あ、そういえばお弁当とか買ってなかったわ！
智絵里,まだ開始には間に合いますし、買いにいきますか？
朋,そうしよっか
ほたる,では、私は荷物を見てますね
朋,ありがとほたるちゃん、何か食べたいものある？
ほたる,期限が切れてなければなんでも大丈夫です
朋,大丈夫の範囲が広すぎるわよ。こうして見ると、球場の中も結構広いのねー
智絵里,こういう場所はテレビにも映らないですからね。わたしも初めて歩きます……
朋,ご飯とかもいろいろ売ってるし、こういうのを目当てに来る人もいるのかな
智絵里,球場内のご飯を紹介するガイドブックもあるみたいですよ？
朋,へー！そうなんだ！
智絵里,あ、このお弁当、美味しそうじゃないですか？
朋,ホントだ！これにしよっか？
智絵里,はいっ。いくらですか？
朋,大丈夫よ！
智絵里,あ、900円ですね。ちょうど払えます
朋,言～わ～せ～て～！
智絵里,駄々をこねる朋さんもかわいいなぁ……
朋,ほたるちゃーん、買ってきたわよ……あれ？
智絵里,？
チャラ男A,ねえねえ、キミ、1人？ｗｗｗ
チャラ男B,俺たちと一緒に見ない？ｗｗｗ
ほたる,……
朋,あっ！
智絵里,ナンパでしょうか……？
朋,ま、待っててほたるちゃん！
智絵里,いえ、少し見ていましょう
朋,で、でも
智絵里,巻き込まれるかもしれませんよ？
朋,へ？
チャラ男A,さっきから見てたんだけど、女の子3人でしょ？寂しくない？
チャラ男B,そうそう、あ、でも他の2人はイマイチだったかなｗｗｗ
ほたる,……
チャラ男A,無視しないでよ～ｗｗｗ
ほたる,……球場は野球を見る場所です
チャラ男A,え？。ぐあっ！！！
チャラ男B,タッちゃん！！！
チャラ男A,な、何が起き
ほたる,……立ち上がるんですね
チャラ男A,ぐわっ！！！
チャラ男B,タッちゃん！！！
チャラ男A,こ、こんな連続でファールボールが来るなんてありえな
ほたる,……しぶとい
チャラ男A,がはっ！！！
チャラ男B,体力自慢で近所では有名な野球小僧だったのに高校2年の時に肩を故障して野球の道を諦めたけどまだ未練があってこうして球場に足を運んでしまうタッちゃん！！！
朋,モブにしておくにはもったいないエピソード持ってるわね！？
チャラ男AB,お、覚えてろ！！！
ほたる,不幸にもずっとグラウンドを見ていたので、顔どころか存在も覚えられなかったですね……
朋,ほ、ほたるちゃん、ただいま。お、お弁当買ってきたよ……
ほたる,あ、おかえりなさい。すいません、使い走りのようなことをさせてしまって
朋,だ、大丈夫だけど……
智絵里,ほたるちゃん、何かあった？
ほたる,いえ？特に何もありませんでしたよ
智絵里,それならよかったですね！
朋,う、うん……？。ええと、じゃあ気を取り直して、そろそろ試合が……あ、飲み物も買わなきゃ
智絵里,とりあえず生でいいですか？
朋,全員もれなく買えないわよ
ほたる,バレたらクビは免れないですね
智絵里,ほたるちゃんが飲めって……無理やり……
朋,仲間を売る練習やめて。始まった！
智絵里,勝てるといいですね
ほたる,はい、今日こそは
朋,……
智絵里,……
ほたる,……
3人,打たれた……
朋,ま、まあまだ1点だし
ほたる,こ、ここからですよね
朋,……
智絵里,……
ほたる,……
3人,2者連続……
朋,結局初回に3点も取られちゃった……
智絵里,まあ、まだ初回ですし……
朋,でも、こうして見ると速いわね！ボールが！
ほたる,はい……それに当てるのもすごいです……
智絵里,でもこれはファールですね……
朋,こ、こっち来てない！？
智絵里,き、来てます！
ほたる,え？
朋,1回ウラからほたるちゃん！！！
ほたる,いたた……
朋,いや顔面直撃してたでしょ……
ほたる,さっき3発当てたので、最低でもあと2発ですね……
朋,何か言った？
ほたる,い、いえ
朋,気をつけてね？
ほたる,大丈夫です
朋,言ってるそばから！！！！！
ほたる,いたた……
朋,だからなんでその程度で済むの……
ほたる,鍛えてますから
朋,ちょっとは休ませて！！！！！。もはや周りへの注意喚起になってるし！！！。最初の3点から動かないわね……
ほたる,惜しいシーンはあったんですが……
智絵里,運もない感じですね……
朋,ほたるちゃんをチラ見しない。おー！打った！ツーベースね！
智絵里,かっこいいですっ
朋,あの選手、さっきも打ってたような……
ほたる,はい、チームきっての強打者ですから
朋,あ、そうなんだ
智絵里,ちなみに逮捕歴はないです
朋,まったく必要ない情報をありがとう
ほたる,このチームはこの人と、次の4番の外国人選手が打てるかどうかに懸かってますね
朋,あー、この人も打ちそうな風格してるわね～
ほたる,ホームラン王を取ったこともあるみたいです
朋,へ～
智絵里,ちなみに逮捕歴は
朋,逮捕歴はもういいから！
智絵里,あります
朋,あるの！？。ああ……、あれよあれよと最終回……
智絵里,なかなか試合が動かないですね……
朋,で、でも、"野球は9回から"ってよく言うらしいし……
智絵里,はい、頑張ってほしいです……
朋,ほたるちゃんも来年に向けて、勝った姿を目に焼き付けたいわよね？
ほたる,……
智絵里,……ほたるちゃん？
ほたる,はい……
朋,あー、もう9時も回ってるからね……
智絵里,疲れちゃったのかな……？
朋,ほたるちゃん、あたしの肩、使っていいよ？
ほたる,ふぁい……
智絵里,！
朋,ふふっ……かわいいなあ……
智絵里,わ、わたしも眠くなってきました！
朋,宣言するものじゃなくない？。あら、ヒット
智絵里,連打ですっ
朋,わ、止まんないわね！
智絵里,あっという間に満塁に……
朋,ほ、ほたるちゃん！やっぱ起きて！いいとこだから！
ほたる,あと5分……
朋,そんなテンプレみたいな寝言言ってないで！
ほたる,うーん……うーん……
智絵里,う、うなされてますね
ほたる,ダメです……私と三人四脚なんて……
朋,何の話？
ほたる,脚がなくなります……
朋,どんなアクシデントが起きたらそうなるの
ほたる,うーん……うーん……
智絵里,だ、大丈夫……？
ほたる,朋さん……ウエディングドレス、とても似合って……ううう……
朋,なんか泣き始めたわよ！？。ほたるちゃーん、今いいとこだから起き。！
智絵里,！
朋,打った！
智絵里,いい打球ですっ！
朋智絵里,は……。入ったー！！！
朋,こ、これって……
智絵里,はいっ、逆転サヨナラ満塁ホームランです！
朋,すごーい！！！見に来てよか……あ
ほたる,すぅ……すぅ……
智絵里,ほたるちゃんが眠った瞬間からでしたね……
朋,ま、まあ……ドンマイ？
ほたる,……ふわぁ
朋,あ、起きた
ほたる,あ、す、すいませんっ！あの……なんだか盛り上がってますが……？
朋,……
智絵里,……
ほたる,ど、どうしてそんな哀れんだ目で見るんですか……？
朋智絵里,ほたるちゃん……
ほたる,え、ええ？？？
朋,あ、ヒーローインタビューやってるわね
ほたる,へ？ヒーロー？勝ったんですか？
智絵里,そろそろ帰りましょうか？
ほたる,あのう
朋,そうしよっか。説明は帰り道でね
ほたる,は、はあ……
朋,あら、そんなのあるんだ
智絵里,今回はこれが直撃するオチですねっ
朋,智絵里ちゃん
ほたる,飛んでくることがわかっているなら、避けることくらいはできます……
朋,無駄にかっこいいわね……。って、この角度じゃこっちには来ないかな
智絵里,もうちょっと上のほうですね。残念です……
朋,残念ではないから
ほたる,では、帰りましょう
朋,うん、そうしましょ……
偶然上空を飛んでいたハトさん,ぐわああああ！！！
朋,またなの！？！？
智絵里,は、ハトさーん！！！！！
朋,智絵里ちゃんハトに優しすぎない！？。お、落ちてきた！ほたるちゃん、避けて！
ほたる,ウエディングドレス着た朋さん……キレイだったな……
朋,ダメだ多分関係ないこと考えてる！！！。ほたるちゃん！！！！！
後で試合の顛末を聞いたほたる,私が全試合見に行ってずっと寝てればいいのでは……？
朋,ほたるちゃん
