藤居朋,いやー、緊張するわねー！
ナナ,だっで……いき゛なり゛しらないばし゛ょに……
ほたる,だ、大丈夫ですから……！
ナナ,ぎ、決めましだっ！
智絵里,は、はい……？
ナナ,ナナ、みなさんが元の世界に戻れるようにサポートします！なんなりと言ってください！
朋,ナナちゃん……
ほたる,どこの世界でも、菜々さんは優しいんですね……
智絵里,メイド歴は長いんですかっ？
ナナ,そうですねぇ～、このお城ができた時くらいからずっと……い、いえいえ！ナナはメイドさんの中でも一番若くて！！！
朋,智絵里ちゃん。ってナナちゃんは言ってたわね……
ほたる,そして、この大きな扉を開ければ女王様の玉座……
智絵里,……行きましょうっ！
朋,そうね……！失礼します！！！
女王・ミシロ,君たちがメイド長の言っていた客人か……よく来た。歓迎しよう
朋,……
ほたる,……
智絵里,……
3人,やっぱり……
朋,まあ正直、街の名前を聞いた時から予想してたけども
ミシロ,話は聞いている。しかし……まじない師に植木鉢職人にクローバー農家。……正気か？
朋,うん、あたしもそう思う
ミシロ,……まあいい。情報を集めるなら、どうだろう、この城の傭兵として活動するのは？
智絵里,洋平……？
朋,誰
ミシロ,傭兵としてなら、各地へ任務という形で向かい、情報を集めることができるだろう
智絵里,なるほど……
ミシロ,とはいえ、こちらも戦えない者を雇う余裕はない
朋,……
ミシロ,というわけで、私からの最初の依頼を出そう。これを成功させれば、傭兵として迎え入れ、情報提供も惜しまない……どうだ？
朋,……
ほたる,……
智絵里,zzz……
朋,起きなさい。わかったわ。内容は？
ミシロ,ここから北に進むと山がある。これまでは交通の要所として機能していたのだが、最近、4人組の山賊が現れるようになったらしく、迷惑しているようだ
ほたる,山賊……
ミシロ,君たちには、その山賊を懲らしめてきてほしい。受けてくれるな？
朋,おっけ。山賊だかなんだか知らないけど、クビ洗って待ってなさい！絶対に懲らしめてやるわ！……ほたるちゃんが！
智絵里,朋さん
朋,……てへ
ミシロ,ああ、あちらに武器庫がある。何か必要なものがあれば持っていって構わない
朋,えっ、くれるの？
ミシロ,ここに置いてあっては農耕器具にすらならないだろう
朋,さっすがぁ！杖あるかしら杖！
ほたる,ロケットランチャーはありますか……？
智絵里,殲滅力ならショットガンですが……
朋,剣と魔法のファンタジーを重火器で制圧しないで。じゃ、この杖貰っていくわね！
ミシロ,ふむ……
朋,……？
ミシロ,……魔法は、意志だ。胸に留めておくように
朋,……え？
ミシロ,では、健闘を祈る。ここにないものは、武器屋のアキ、防具屋のマナミ、道具屋のユカなどから入手するといいだろう
朋,この街の住民、平均戦闘力高くない！？
ほたる,依頼の山は、この道を進めば辿り着けるようです……
智絵里,では、れっつごーですっ
朋,……
ほたる,……朋さん？
智絵里,体調が悪いなら……
朋,いや……その……あたし、戦えないのになんか、勝手に依頼受けちゃって……
ほたる,朋さん……
朋,で、でも！あたしだって頑張るから！
智絵里,えいっ
朋,いたっ！
ほたる,大丈夫です。朋さんは、私たちが頑張る理由ですから
智絵里,最悪の場合はほたるちゃんを置いていきましょうっ
朋,……本当に最悪ね。とはいえ、こっちの方は魔物もだんだん強くなっていくみたいって聞いたわ！
ほたる,そうですね……
ゴブリン,ブギィィィ！！！
ほたる,えいっ
ゴブリン,ブギィ……
智絵里,休憩を取りながら進むのも大切です……！
ほたる,そうですね……
ゴーレム,グゴゴゴゴ！！！
ほたる,えいっ
ゴーレム,ゴゴゴ……
朋,このペースなら夜には着きそうね！
ほたる,そうですね……
ワイバーン,ジャァァァァ！！！
ほたる,えいっ
ワイバーン,ジャァァ……
智絵里,あっ、山が見えてきましたっ
ほたる,そうですね……
ドラゴン,ギャオォォォォォ！！！
ほたる,えいっ
ドラゴン,ギャオォ……
朋,……
智絵里,……
ほたる,どうかしましたか……？
朋智絵里,強っよ……
智絵里,お相撲さんの名前みたいですねっ
朋,誰と話してるの？
ほたる,報告があったのはこの辺りですが……
朋,うーん……むやみに探しまわるのも……
ほたる,……あれ？
智絵里,？
朋,どうかし……
ほたる,しっ
朋,……？
ほたる,何か、聞こえませんか……？
智絵里,へ……？
朋,！。ネコ……？
ほたる,……いえ！
朋,こ、この鳴き声は
ほたる,はっ！智絵里さんっ！シールド！
智絵里,はいっ！
朋,わ！クローバーがでっかい盾に。矢が！？。この声は……！
ユズ,4人揃って！
シノブ,フリルドスクエア！
アズキ,山賊団！
ホノカ,……。……。……です！！！
朋,持て余したわね
智絵里,持て余しましたね
ほたる,持て余してましたね
ユズ,決まった……！
シノブ,いつも思うんだけど、アタシのとこ2つに分けた方が綺麗にならない？
ホノカ,いえ、私はこの役割に誇りを感じています
シノブ,言った相手全員がもれなく持て余してる……って顔するのに……
アズキ,そもそもアズキたちって山賊なの？
ホノカ,確かに……
アズキ,まあ、アズキもこの”行き交う人たちが山賊呼ばわりしてくるからいっそこっちから名乗っちゃおう大作戦”は気に入ってるけど……
シノブ,作戦名と呼ぶには支障がある長さだよね
ユズ,そもそもホノカチャンのせいじゃない？
ホノカ,そんな……私はただ、ぴにゃこら太の良さを知ってほしくて……
アズキ,道ゆく人々に”これ、可愛いですよね？可愛いですよね？”って問い詰めて
ホノカ,首を縦に振らなかった人を懲らしめているだけなのに……
シノブ,……実質山賊なんだよね
ホノカ,この子を緑のブサイク呼ばわりするなんて…、許せません！
ユズ,ブサイクだと思うけどなあ
シノブ,まあ、ちょっとブサイクだよね
アズキ,ブサイク布教大作戦はうまくいかないね……！
朋,味方が積極的に刺しにいってる
アズキ,とはいえ、ここで会ったがひゃくねんめ！
ユズ,この緑のブサイク、どう思うカナ？
ホノカ,わ、私が聞きたかったんですが……
ユズ,わ！ゴメンゴメン！
シノブ,どっちが言っても変わんないと思うけど……
アズキ,じゃ、ホノカちゃん、どうぞ〜
ユズ,わ〜
ホノカ,では……。……。な、なんだか期待されると言いにくいですね……
アズキ,も〜
ユズ,ホノカチャンそういうとこだよ〜
ホノカ,だ、だって……
智絵里,……ほたるちゃん
ほたる,はい
ユズ,ぐえー！！！
シノブ,ゆ、ユズちゃん！！！
ユズ,きゅぅ……
アズキ,ふ、ふいうち大作戦なんて卑怯なりー！
智絵里,スキを見せる方が悪いんですよ……
ほたる,戦場でおしゃべりなんて、呑気なものですね……
ホノカ,くっ……！
朋,これ、どっちが悪者かしら……
アズキ,ユズちゃんがやられちゃった……！
ホノカ,我々フリルドトライアングル山賊団も、一層身を引き締めていかなくては……
朋,切り捨てるの早っ！
アズキ,次のシノブちゃんもやられたらどうなるの？
ホノカ,確かに……2点では図形になりませんね……
シノブ,えっアタシ次やられるの確定！？
ホノカ,フリル・ド・棒に
朋,フリル・ド・棒
ほたる,実際に試してみましょうか……
シノブ,えっ、ちょっっ。きゃっ！！！
アズキ,シノブちゃーん！！！
シノブ,きゅぅ……
智絵里,こんにちは、フリル・ド・棒のみなさん……
ほたる,あと2人ですか……
アズキ,くっ……！
朋,同情するわ……
ホノカ,どうしましょう……このままではフリル・ド・任意の点Aになってしまいます……
アズキ,と、とうとう線すら書けない……！
ほたる,問題ありません。同時に葬ってあげます……
朋,アイドルがあんまり”葬る”とか使わないでほしい！
アズキ,あの黒髪の娘が落としてるみたい！ホノカちゃん！避けまくり大作戦だよ！
ホノカ,はいっ……あっ！
アズキ,ホノカちゃん？どうし……あっ
ホノカ,足に……植物！？
智絵里,ほたるちゃんっ
ほたる,はい。――スキだらけです
アズキ,きゅぅ……
ホノカ,きゅぅ……
ほたる,ふぅ……
智絵里,熱い戦いでしたね……！
朋,ごめんね4人とも……
ほたる,これできっと、悪さもしなくなるでしょう……
朋,いきなり植木鉢ぶつける方がよっぽどの悪さだと思うんだけど……
智絵里,では、お城に……
朋,……え？。ど、どこから……！？
ほたる,あ、あのホノカさんの持っていたぬいぐるみが……！？
智絵里,お……
ほたる,お……
朋,おっきくなったー！？！？
ほたる,3メートルといったところでしょうか……！
朋,や、やばいって！！！
ほたる,10個！！！。は、跳ね返されました……！
朋,物理効かないの！？
ぴにゃこら太,ピィィィィィニャァァァァァ！！！！！
朋,ってかうるさいわね！！！
ほたる,……！
智絵里,ほたるちゃん？
ほたる,……”ステータス”！！！
朋,ど、どうしたのいきなり！？。ぜ、ゼロ！？
ほたる,あの鳴き声、防御力を下げる効果があるようです……！
ぴにゃこら太,ピニャァ！！！
ほたる,く、来るっ！回避は……間に合わない……！
朋,ほたるちゃ
智絵里,ほたるちゃん！！！
ほたる,え……？智絵里さ
智絵里,うぐっ……！！！
朋,智絵里ちゃん！！！
ほたる,智絵里さん……どうして……
智絵里,お姉さん……だからね……？
ほたる,そんな……
朋,……え？。え？え？何？どうして？。だってさっきまで、すごい適当に進んでて。敵も倒して、あとは帰るだけで。なんで？なんで智絵里ちゃんは倒れてるの？なんでほたるちゃんはあんな顔してるの？
智絵里,朋さん……だけでも……
ほたる,朋さん、逃げてください
朋,……え？
ほたる,私たちは大丈夫ですから……
智絵里,はやく……
朋,どうして？あたしが……。あたしが……。……弱いから？。……
智絵里,……？
朋,……ない
ほたる,……え？
朋,……許せない
智絵里,朋……さん……？
朋,あたしは……あたしが許せない……！。自分は戦わなくていいって決めつけて……。ふたりの強さと優しさに甘えて……。こんなんじゃ……こんなんじゃふたりに顔向けできない！！！
ほたる,杖が……光って……
朋,ふたりから離れなさい！！！ファイア！！！
ぴにゃこら太,ピニャァッ！？
智絵里,つ、強い……！？
ぴにゃこら太,ピィ〜ニャ〜！！！
ほたる,速い……！
朋,――止まりなさい。サンダー！
ぴにゃこら太,ニャァ！？
朋,終わりよ
智絵里,ほ、ほたるちゃん……上……！
ほたる,え……あれ……月が……
智絵里,大きい……
朋,あたしはトモ……名に月を冠する者……！月の加護に伏しなさい！――ルナティック・キャノン！！！！！
ぴにゃこら太,ピィ……ニャ……
朋,残念ね……あんたの運勢、大凶よ
ほたる,もう本当にかっこよくて！！！
智絵里,決めゼリフも最高で！！！
朋,も、もうそれくらいに……
ミシロ,成程、良い仕事をしてくれたようだ
ナナ,すごいですねぇ〜
ほたる,おふたりにも見せたかったです……！
智絵里,かっこよかったです……！
朋,やめて……
ミシロ,ふむ、君たちなら、隣国の脅威にも対抗できるかもしれないな……
朋,え？
ほたる,隣国……？
ミシロ,ああ、隣の国は資源に乏しく、これまでは細々と続くだけの小さな国だった
朋,……
ミシロ,だが、最近になり、王女が即位したことによって、みるみるうちに国力を伸ばしている
ほたる,有能な王女さんなんですね……
ミシロ,私も即位の儀には招かれたが、その時は可憐な少女であると、そのくらいの印象にすぎなかった
智絵里,なるほど……
朋,相当なやり手ね……！
ミシロ,いったいどのようにして、あのシマムラ王国は栄えたのか……
朋,あっ
ほたる,あっ
智絵里,あっ
ミシロ,この国に迫る勢いで成長するあの国が、いつ侵略を仕掛けてきてもおかしくはない
朋,卯月ちゃ……えっと、その王女様は、侵略戦争で国土を拡大してきたの？
ミシロ,表向きには、全て交渉で取り込んだとされているが……裏でどのようなことをしているか……
朋,なるほど……
ほたる,脅威ですね……
智絵里,恐ろしいですね……
隣国の王女・ウヅキ,いえいえ！ちゃんと話し合いで解決していますよ！
朋,
ウヅキ,ちょっとだけ、”長引いちゃう”こともありますが……
ほたる,
ウヅキ,みなさん、最後には素直に従ってくれます！
智絵里,
朋,じ、女王……ど、どうするの……？
ミシロ,動じるな
朋,さ、さすが一国の主……！
ミシロ,人間、いつか死ぬ
朋,諦めてた！！！。も、目的は何！？
ウヅキ,いえいえ！ちょっと強そうな傭兵さんがいるって聞いたので！
智絵里,洋平……？
朋,そのネタはもういいから！
ウヅキ,……脅威は早めに摘むことが大切ですよっ！
朋,っ！？
ほたる,せ、戦闘態勢……！
智絵里,き、強敵ですっ、ちゃんと陣形を組んで戦いましょう……！
朋,じ、陣形！？
智絵里,はいっ。わたしたちはインペリアルクロスという陣形で戦います……！
朋,3人で！？それ5人くらいの陣形じゃなかった！？
智絵里,防御力の高いほたるちゃんが前衛、両脇を植木鉢が固めます
朋,固まらなくない！？置いてあるだけじゃない！？
智絵里,わたしは朋さんの後ろに立ちます。わたしのポジションが一番安全ですっ。安心して戦ってね？
朋,これほたるちゃん盾にして一列に並んでるだけじゃない！？
ウヅキ,おしゃべりは終わりましたか？
智絵里,ずっとおしゃべりしていれば攻撃されないんですか……！？
朋,そんなわけないでしょ！？
ウヅキ,では、小手調べに……
ほたる,来ますっ……！
ウヅキ,最終奥義☆ファイナル・デス・インフィニティメテオ！！！
朋,何が小手調べよ！！！最終奥義って言ってるじゃないの！！！
ほたる,お、お城が崩れます……！
智絵里,つ、捕まってくださいっ！
朋,……。……ん。……んん……。……。……あれ！？。こ、ここは……
ほたる,……ｽｩ
智絵里,……ｽｩ
朋,ほ、ほたるちゃん！智絵里ちゃん！
ほたる,……あれ……？
智絵里,……わたし……？
スタッフ,そろそろ出番ですので、準備お願いしますー！
朋,あ、はい！
ほたる,ステージ開始前……？
智絵里,……？
朋,夢……だったのかしら……？
司会者,では！ここで3人には、ミニゲームに挑戦していただきます！あちらをご覧ください！
朋,あ、ほたるちゃんの人形！
司会者,え？
ほたる,上から降ってくる植木鉢が人形に当たらないようにするんですよね……？
智絵里,剣で弾き飛ばせばいいんですねっ
朋,リズミカルに振るのがコツなのかも！
ほたる,1つでも人形に当たったらゲームオーバーな気がしますね
司会者,も、物分かりいいですね！？。では、最初の挑戦者は……
ほたる,私が……
智絵里,頑張ってっ！
朋,あっ、その前に……！
司会者,？
朋,落ちてくる植木鉢、本当にぬいぐるみ？間違って本物だったりしない？あと、数もあってる？ケタを間違って発注とかしてない？？？
司会者,そんなに疑い深い人でしたっけ……！？
朋,そ……。ならいいけど……
司会者,では、気を取り直して……！
ほたる,準備はできています……！
司会者,よーい、スター……
朋,……
ほたる,……
智絵里,……
司会者,スタート！！！！！
朋,ちょっ！！！！！
ほたる,……
朋,ほたるちゃん！！！！！！！
智絵里,ふぁいあ！
朋,智絵里ちゃん！！！
