前スレ真,仮面ライダーも楽じゃないよ
真,ボクも付き添うから大丈夫ですよ。それじゃ、ちょっと行ってきますね
Ｐ,あっ、おい真っ
美希,待ってなの、真クン
春香,あのっ……えっと、行ってきます！
Ｐ,あ、ああ……なんなんだ、一体
小鳥,何か企んでるんでしょうか……
Ｐ,あの三人がですか？思いつかないな
小鳥,でも元気そうでよかったです。一時はどうなることかと
Ｐ,同感ですね……
真,狼男？
美希,うん。すっごく強くて、ミキだけじゃ倒せなかったの
春香,美希が勝てないって、そんな……
真,じゃあ、どうやって帰ってきたのさ？
美希,何か、しばらく戦ってたら勝手に帰ってったの
春香,……？
真,よくわかんないな。今度は何が目的なんだろう
春香,って事はあの頭痛はその強い怪人が原因？なのかな
真,あ、春香も？実はボクも仕事中にさ……
美希,ミキはなんとも無かったよ？
春香,うん、多分私達がショッカー製の改造人間だからなんだと思う
真,美希は自分の感覚で怪人を見つけるけど、ボク達はある程度こう、共鳴するんだよね。あんまり気持ちいいもんじゃないけど
美希,ふーん、知らなかったの。……そうだ、おかしい所、まだあるんだ
春香,他にも？
美希,うん。ミキ、事務所でいる時に怪人がいるなーって気付いたんだけどね。行ってみたら、ミキの事待ってるみたいだったの
真,狼男が？
美希,うん。だから、もしかしたら誰かが気付くように自分から信号出してたんじゃないかなって
春香,どうしてそんな事を……私達に自分の存在を知らせる為？
真,だとしても意味不明だよ。そんな事したらやりにくくなるだけじゃないか
春香,そうだけど、もしかしたらだよ。私達を一掃するつもりなんじゃ……
美希,ミキ達を？
春香,今までみたいに作戦行動の邪魔になるから倒すっていうんじゃなくて、私達を倒す為の作戦……なのかも
真,なるほど、罠か……その割りには美希は無事で帰ってきたみたいだけど
春香,それも引っかかるんだよね……何なんだろう、本当に……
美希,んー……ミキ、良くわかんないんだけど、思った事言っていい？
春香,うん。体験したのは美希なんだから、どんどん言って
美希,えっとね、なんていうのかな、ああいうの……あの、不良がやるヤツ
春香,え、不良……？
美希,前にドラマで見たの。バンチョーが他の学校のバンチョーにやってたヤツ
真,えーと……宣戦布告？
美希,そう！それ！流石真クンなの
春香,宣戦布告……わざわざ呼び出したのはそういう意図で……
真,……いよいよ、本番ってわけかな
春香,うん。多分、向こうも総力を尽くしてくると思う
美希,でもミキ、もう負けないよ
真,ボクだって、負けてなんかやるもんか！
春香,お互い、全力を尽くそう。きっとこれが最後の戦いになるよ
真・美希,うん！
春香,……来た
Ｐ,……帰ってこないな
小鳥,やっぱり、何かあったんじゃ……
Ｐ,いやいや、流石に流石に……
小鳥,そういえば、他の子達もいませんね
Ｐ,えっと、今日は……千早と雪歩がそれぞれラジオの収録に、響と貴音がセットでバラエティで……
小鳥,後はオフですか？
Ｐ,ええ。レッスンはありますけど
小鳥,あれっ、レッスンあったんですか？
Ｐ,え？
小鳥,だって、もう夕方……終わって帰ってくるにせよ、行く前に寄るにせよ、いつもなら事務所に顔出してるはずなんですけど……
Ｐ,それって……
律子,たっ、大変ですよっ！！
Ｐ,びっくりした、律子か。美希なら大丈夫だったぞ
律子,あ、良かったです。じゃなくて！テレビっ！テレビ見てください！
Ｐ,どうしたんだよ、そんな焦って……。……あれ？。お、ショッカーマーク。けどおっかしーな。チャンネル変わんないぞー
律子,違いますよ！ジャックされてるんです、電波ジャック！
Ｐ,へー。道理で同じ番組しか……電波ジャックだって！？
律子,キー局全部です！今日本中にこの映像が流れてるんですよ！
小鳥,うわ、ネットも祭りになってますよ！ていうかショッカーて！
Ｐ,おいおいおいおいマジかこれ。どうなってんだ
律子,知りませんよ。それで、今連絡つく子達に連絡取って、伊織のとこに避難させてるんですけど……
Ｐ,流石律子、行動が早い。一所にいた方がいろいろ捗るしな
律子,連絡つかない子がいるんですよ！だから直接事務所に来たんです！
Ｐ,なんだと！？誰だ！
律子,春香と千早と真と雪歩！それから響と貴音と美希もです！
Ｐ,春香たちならさっきまで居たし連絡も取れるはず……今かけてみる！
小鳥,響ちゃん達は局の方に連絡してみます！
律子,ああ、どうしたら……ここ本当に日本よね？法治国家よね？
Ｐ,出ない、くそっ！探しに……
小鳥,局側は把握してないそうです。もうとっくに仕事は終わってるって……
律子,とっ、とりあえず一度伊織の所へ！社長もいますし、それからこれからの事を考えましょう！
Ｐ,そんな悠長なっ！
小鳥,一度落ち着いた方がいいですよ！探すとなると人手もいりますし！
Ｐ,っ……そうですね、行こう、律子！ところで伊織の所ってどこだ？
律子,シェルターです
Ｐ,……マジかよ。これ、録画放送なのか？
律子,ずっと繰り返してますね
Ｐ,だとしたら、何の目的が……ただの宣伝か？
伊織,宣伝でここまでするバカいないわよ。少なくとも現時点で自衛隊の出動は無し。永田町だけはがっちりガードされてるみたい
Ｐ,なぁ、伊織の力で人割いてもらえないか。春香達を探さないと
伊織,無理ね。わかってると思うけど、国一つが今混乱しきってるの。水無瀬グループは図体がデカすぎてどこもかしこもてんやわんやよ
律子,そうですよ、こうしてシェルターが借りられただけでひとまず有り難いと思わないと
Ｐ,それは、そうなんだけど……というかシェルターって
伊織,あら、ブルース・ウェインも持ってるわよ？
Ｐ,バットマンはフィクションだ。くそっ、どうする……
高木,……一応いろんな所に電話してみがね、当たり前だがどこも自分の所で手一杯なようだ
Ｐ,社長……俺っ、やっぱり行ってきます
高木,君一人が行ってどうにかなるのかね？幸いというか、この混乱が暴動にまで至ることは無さそうだよ
伊織,日本人の国民性ね。こんな時まで呑気なんだから
高木,まぁまぁ。平和を愛する民族なのだよ
やよい,あのっ、私の弟や妹達はどうすれば……
伊織,心配ないわ。私が使えるだけの人員でみんなの家族は保護に向かってる。シェルターもここだけじゃないのよ
やよい,伊織ちゃん、ありがとうっ！
真美,けどこれ……ほんとどうなっちゃうんだろうね
亜美,大丈夫だよ、多分……
あずさ,そうよ、不安になっていても仕方がないわ。今はこれからどうなるか、しっかり見て判断しないと
小鳥,流石あずささん。頼りになりますね……
あずさ,一応、年長者ですので
Ｐ,ああ、大丈夫だ。きっとなんとかなる。今はとにかく冷静に……
伊織,……あんたが一番冷静になりなさいよ
Ｐ,あ、映像が変わるぞ！。ん？あれ、これ違うぞ
律子,確かに……さっきまでは全チャンネル同じ放送だったのに、今は違うチャンネルは違う映像ですね
亜美,モニターこっち！
真美,移動移動！
伊織,映像は三種類ね。マントの男と……
あずさ,あれ、軍服かしら～。怖い人ね……
亜美,うわ、ファラオじゃんファラオ！
真美,エジプトだエジプト！
律子,どう見ても日本でしょ。正確な場所はわからないけど
Ｐ,あれ？小鳥さん。この三人って……
小鳥,あ、やっぱりそう思います？
Ｐ,いや、でも流石に……。……何？
死神博士,貴様が来た以上、人質は不要だ。今返そう
千早,春香！
春香,千早ちゃん！怪我は無い！？
千早,え、ええ……だけど、どうして来てしまったの？あの男はあなたを呼び寄せる為にわざと……
春香,わかってる。だけど、決着はつけないといけないから
真,大丈夫？雪歩！
雪歩,う、うん……だけど、あの人言ってたよ、真ちゃんを呼び出して、始末するって……
真,いいんだ。わかってて来たんだから
ゾル大佐,良い度胸だ。気に入った。やはり貴様は我が真の姿で相手するに相応しい
真,雪歩、下がって！
響,美希！
貴音,美希、心配をかけてしまって……
美希,ううん、いいの。二人には悪いけど、二人が捕まってなくても来るつもりだったし
地獄大使,ふん、我らと戦うつもりだったという事か
美希,そうだよ。ミキはあなたを倒して、全部を終わらせる！
地獄大使,終わらせる、か。確かに戦いは終わるだろう。だが、その後どうなるかはわからんぞ？
美希,何を言ってるかわかんないの！行くよ！
響,駄目だ、美希！
貴音,変身してはなりません！
美希,なっ、どうしてなの！？変身しなきゃ、あの人には……
響,違うんだ！ここに来させる事があいつの目的だったんだよ！
貴音,現在この場は全国に中継されています！変身しては、例え戦いに勝ったとしても……
地獄大使,元通りアイドルとして活動出来るかはわからんなぁ
Ｐ,……
律子,どうなってるの、これ……
小鳥,は、春香ちゃんと、真ちゃんと、美希ちゃん……
高木,君ぃ！何故こんな所に彼女たちがいるのかね！
Ｐ,しっ、知りませんよ！
伊織,……そうね、説明が必要みたいね
Ｐ,何か知ってるのか伊織！
伊織,簡単よ。あの三人が仮面ライダーだから、それだけ
Ｐ,ふざけてる場合じゃ……！
伊織,本当の事なのよ。アンタはわかんなかった？あの三人がどこか変わったのが
Ｐ,それは……
伊織,アンタは、その……無能じゃないから、そのくらいの事気付いてると思ってたわ
Ｐ,確かに、あいつらは最近どこか違うと思ってた。だけど、そんな話……
伊織,なんなら三人のレントゲンでも見せてあげましょうか。体の中、すごい事になってるわよ
Ｐ,……本当、なんだな
伊織,嘘をつくような状況？
律子,でも、お陰で居場所がわかりましたよ！プロデューサー、ヒモでくくってでも連れて来ましょう！
小鳥,あの、この映像の場所がどこかまだわかってない気が……
律子,……あ
伊織,さっきも言ったけど、水無瀬グループはほとんど機能してないわ。そんな目で見られても無理よ
律子,くっ……じゃあどうすれば……
高木,仮面ライダーか、懐かしいねぇ。ならきっと彼女たちも戦うんだろう？
伊織,三人は、ショッカーと決着を付ける為に、あそこにいる……
Ｐ,……くそっ、だったら信じてやるよ！本当に仮面ライダーだっていうなら、負けるはずないからな！
死神博士,お前達はアイドルだ。だからその仕事をさせてやっているのだよ
春香,全国に、放送……
死神博士,人間ではないと知れ渡ったアイドルがその後どうなるか、見てみたくもあるがな。変身しようとするまいと、貴様の未来は今壊れた！
千早,春香、逃げましょう。春香はいろんな物を失ったわ。その上アイドルとしての未来まで失くす必要なんてない
春香,千早ちゃん……
死神博士,逃すと思うか？私の真の姿を見せてやろう。変身！
千早,春香！早く！
春香,……ごめんねぇ、千早ちゃん
千早,何を言ってるの！急いで……
春香,千早ちゃんを逃してあげられなくてごめん。それから、今まで迷惑かけてごめん。それから……これから一緒に、アイドルできなくて……ごめん
千早,は、春香……？
春香,私は、逃げない
千早,ダメ……ダメよ、春香
イカデビル,さぁ！どうする仮面ライダー！どうする、天海春香よ！
春香,答えなら決まってる！ライダー……
千早,ダメぇ！！
春香,変、身！！
狼男,理解したか？貴様は最早どちらの道も選べない！
真,そうだね、どちらにせよ……何かを失う事になる
雪歩,私なら大丈夫だから！なんとか、隙を見つけて逃げるから、だから、真ちゃん……
真,美希の言っていた事が確かなら、狼男は美希でも苦戦するレベルなんだ。変身せずに食い止められる相手じゃない
雪歩,真ちゃん……嫌だよ、私……また真ちゃんとステージに……
真,ありがとう、雪歩。変……身！！
響,なんでさ……なんで、どうして……
貴音,あれほど止めたのに……美希、あなたは……
ガラガランダ,躊躇わんな。何故変身した？
美希,理由は簡単なの。変身しないと、あなたに勝てないから
ガラガランダ,その機械の体を日本中に晒してもか？
美希,そうだよ
ガラガランダ,……その自信はどこから生まれる
美希,ベルトと……胸と……。なにより、あの二人から！
響,美希……
貴音,……私達、から
美希,アイドルじゃなくなったって、どこかでキラキラしてみせるの！来い、ショッカーの怪人め！
ガラガランダ,ふふ……ふははははははは！では行くぞ！仮面ライダーＶ３！
Ｐ,本当に……
律子,変身した……
小鳥,た、たた大変ですよ！ネットの掲示板からツイッターまで、騒ぎになりまくりですよ！
伊織,こんなもん見せられちゃ当たり前でしょうね
Ｐ,そうだ、今なら千早達に連絡が取れるかもしれん！
律子,そ、そうか！手分けして……
Ｐ,……駄目だ、出ない。携帯は奪われたのか？
律子,こっちもです。……どちらにせよ、あの変身シーンが拡散された時点で穏便に連れ帰るのは無理でしょうね
Ｐ,どうすんだ、あいつら……これから……
千早,春香！
春香,来ないで、千早ちゃん！
イカデビル,……予想の通りになったな
春香,何が……
イカデビル,貴様はアイドルだが、身体能力は通常の人間だ。かつて私が敗れたライダーは、その素材からして逸材だった
真,くそっ……強い……！
狼男,当たり前だ。優秀な素材を使って作られた仮面ライダー２号ですら、私には苦戦したのだ
美希,どうして……どうして勝てないの……
ガラガランダ,所詮一般人に過ぎない貴様らでは、元々の性能が違う。勝てぬ道理よ
美希,それでも……それでも、ミキは！
ガラガランダ,……残念だ、仮面ライダーよ
Ｐ,あああ劣勢だ……そりゃそうだ、春香達は普通の女の子だぞ……
律子,本郷猛や一文字隼人とはワケが違いますか
小鳥,天海春香キモくね？……菊地真アンチスレ……星井美希ウザイ……ネットでもここぞとばかりに……
Ｐ,好き勝手言いやがって……でも、どうすればいいんだ
伊織,……一応、手がないでも無いんだけど
やよい,……。あのっ、プロデューサー！
Ｐ,あ、ああ。どうしたやよい
やよい,私を……春香さんの所へ連れて行ってください！
Ｐ,はぁ！？
亜美,兄ちゃん兄ちゃん！亜美もまこちんとこ連れてってよ！
真美,兄ちゃんお願い！
Ｐ,いやいやいや！何言ってんだお前達！
あずさ,あの～
Ｐ,あずささんからも無茶言うなって言ってやってくださいよ！
あずさ,私も、美希ちゃんの所まで送ってもらえないかなって……
Ｐ,……
伊織,いいから！今はやよい達を信じなさい！
Ｐ,何かあるんだな！？わかったけど、どうやって送ればいいんだよ。あいつらのいる場所、わからないんだろ？
小鳥,……秘策があります
Ｐ,えっ、今ふざけてる余裕ないんですけど
小鳥,私のアカウント使って、生配信しましょう。ネットで拡散すれば、あの場所もすぐ突き止められるはずです
Ｐ,配信って……今叩かれまくってるんでしょ？そんな時に配信したら……
律子,背に腹は変えられませんよ。ただ……もし社長が駄目だと言えば、私は従います
小鳥,そうですね。今ならまだあの三人を切り捨てる事で事務所単位での被害は避けられます。社長次第ですね
高木,うん？我が社のアイドルを救うのに、私が反対する理由があるかね？思い切りやってくれたまえ
Ｐ,社長！
高木,さて……私は必要なものを揃えてくるよ。配信はすぐに始められるね？
小鳥,任せてください！カメラカメラ……っと
Ｐ,持ちこたえてくれよ、春香、真、美希……！
小鳥,準備できましたー！配信、始めます！
伊織,行くわよ……ふぅっ……
律子,配信をご覧の皆様！765プロプロデューサーの秋月律子です！
伊織,竜宮小町、水無瀬伊織です！
Ｐ,で、これをツイッターで……宣伝っと。渦中の765プロ配信……自分で言うの嫌だな
小鳥,コメント来てますよー……
Ｐ,だから好き勝手……くそっ
律子,皆さんご存知かと思いますが、今、ショッカーを名乗る存在によって電波ジャックが行われています
伊織,テレビの電源を入れればすぐ見られるから、見てない人は今すぐつけなさい！
律子,そこで、怪人が……戦っていると思います。その怪人の片方が、うちのアイドルです
伊織,私達は今、あの子達の手助けをする為に、あの子達の居場所を探しています！
律子,近隣に在住の方は情報を、それから心当たりは無くともこの配信、あるいは要件を拡散して頂きたいんです！
伊織,私の仲間達の……命がかかってるんです。ファンの人達がいたら、春香達の為だと思って……お願いします！
小鳥,少しは好意的なコメントがあれば……お願いっ！。ああ、ダメ……
伊織,お願いします！少しでいい！情報を……
律子,時間が無いんです！皆さんのお力を……
Ｐ,律子、マイクを
律子,え、あの……
Ｐ,……どうも、765プロで天海春香、菊地真、星井美希のプロデュースを担当しているプロデューサーです。私の担当するアイドル達が、今、戦っています。命を賭けた戦いです。何故、そうするのか。彼女達は自分の未来を掴む為に戦っています。だけど、それだけじゃないんです。彼女達はもともと普通の女の子でした。それが、あそこまでの戦闘力を持つようになった。ショッカーの改造が原因です。だとすれば、ショッカーの科学力は凄まじい物であり……目的である世界制覇も、いずれ為されるでしょう。彼女達が戦っているのは、私達や皆さん……全ての人類の自由の為でもあるのです。ですから、お願いします。ほんの少しの力でいい。お力添えを……
小鳥,プロデューサーさん……
Ｐ,……っ。俺はっ！。俺は、仮面ライダーが好きだ……。仮面ライダーは、強い。俺達の助けなんかいらないくらいに強い。だけど、仮面ライダーは、色んな物を失くしてその力を手に入れたんだ。あんな体じゃ、まともに老いるかどうかもわからない。うっかりしてれば、抱きしめた子供は潰れてしまう。好きになった人も、愛する事が出来ない。強さを得て、戦いを義務付けられて。それで、もし……。もしショッカーを倒したら。戦いが、無くなったら。あいつらは、どうすればいい？マイナスだらけの体を、どうやって……。そんな運命を、俺の担当アイドルが背負ってる。それなのに、俺は……一緒に戦ってやることも、出来ない。とんでもなく弱い、ただの人間だ。だけど……だけどなぁ……。魂だけは！。体が弱くても、助けられなくても！。せめて、魂だけは、あいつらと同じように……戦っていたい……！。実際に戦うあいつらとじゃ、吊り合わないのはわかってる。だけど、あいつらは今、俺達皆の為に戦ってるんだ。皆はどうなんだ？あんな女の子に戦わせて、それを笑って見ていられるのか？。皆の魂は……俺達の、ヒーローに憧れる気持ちは……！
小鳥,……ッ来ました！居場所、写真付きです！複数人から同じ場所が来てますから、まず間違いありません！
Ｐ,本当ですか！？
律子,プロデューサー！
Ｐ,ああ！行こう！
伊織,……中々、やるじゃない。仕上げまで後少し。気合入れなさいよ！
やよい,プロデューサー！準備できてます！
Ｐ,おうっ！みんな、本当にありがとう！。しかし、車なんかでいけるのか、この山の中
高木,車でいけるわけないだろう。これだよ
Ｐ,バイク……しかもでかっ！
高木,君、免許は持っていたね？
Ｐ,え、はい、一応は……
高木,なら大丈夫だ！しっかり送ってくれたまえ！
律子,ちょ、ちょっと待ってくださいよ！私、原付しか……
あずさ,非常事態ですから～
律子,……ああもう！どうなっても知りませんからね！
高木,うむ。亜美君は私の後ろだ
亜美,社長かっこいーじゃん！
高木,昔を思い出すねぇ！さ、行こうか！
Ｐ,くそっ、この辺のはずなんだけどな……！
やよい,はわっ！あれ見てください！
Ｐ,人だかりが……あそこか！
やよい,はいっ！それじゃ、行ってきます！
Ｐ,行くって、まだ走って……
やよい,変身！
Ｐ,やよい！……っていないし！まさかやよいもライダーだったとは……よし、今行くぞ、春香！
真美,じゃ、そろそろっぽいからさ
伊織,あんたの体はしっかり見といてやるわよ
真美,任せたぜぃいおりん！変身！
亜美,おっ、きたきた！変身！
高木,存分にやってきたまえ、亜美君！いや……真美君も一緒かな？
律子,すごい人……あそこね！
あずさ,それじゃ、ちょっと行ってきます～。危ないので、なるべく離れていてくださいね～
律子,もうバイクは乗りませんからね！帰りは電車ですよ！
あずさ,わかりました～。待っててくださいね！
やよい,うっうー！大丈夫ですか春香さん！
千早,この声……高槻さん！？その姿は……
やよい,千早さん、内緒にしててごめんなさい。けど、私もライダーやってたんです！
春香,……道理で、知らない間に解決してる事件が多かったわけだ。すごい人……これは……
千早,みんな、応援してくれているようね
やよい,さぁ！二人でやっつけちゃいましょう！
春香,……うん！行こう、やよい！
雪歩,えっ、その声……亜美ちゃん？真美ちゃん？どっち？
真,どうして、二人が……。わ、すごい人。けどやっぱ女の人が多いや……。うん！負けるもんかぁ！
響,な、突然誰さー！
貴音,面妖な……今し方までその場には誰もいなかったはず……
あずさ,驚かせちゃったかしら。ごめんね？
美希,あずさ……？あずさなの？
あずさ,そうよ～。遅くなっちゃったけど、間に合って良かったわ
美希,違うの。あずさは速すぎなの
あずさ,あ、あらあら～……？
美希,これからミキが、アイツやっつける所だったの！邪魔されちゃったの！
あずさ,それはごめんなさいね。じゃあお手伝いするから……皆さんの前で、やっちゃいましょうか
美希,お客さんがいっぱい……今、ミキさいっこーにキラキラしてるの！
あずさ,うふふ……負ける気がしないわね
