の、続きです,前作のSSにシリーズのURL全部貼ってます
茄子,P君は、仮にも恋人のお誕生日の贈り物を、とりあえず～で選ぶ人なんだなあ～って、そう思っていいですかと聞いているんです
P,うぐ
茄子,いいんですかー？
P,……参ったな。なっちゃん相手に隠し事は難しいか
茄子,別に恥ずかしい理由でもいいですよ。笑ったりしません
P,本当に？
茄子,もちろん。ただしドン引きはするかもしれません
P,言うのやめます
茄子,わわわっ！教えてくださいよ、なんにも変な反応しませんから！
P,………。俺は、アイドル鷹富士茄子のプロデューサーだ。20代の貴重な時間を、なっちゃんはアイドル活動に使おうとしている。だから……なっちゃんのその貴重な時間を、俺に預けてほしい。他の子もそうだけど、全力でプロデュースするから
茄子,………
P,そういう覚悟みたいなものをこめて、時計を………だーっ、やっぱり恥ずかしい！
茄子,ふふっ。最後までちゃーんと言い切ればかっこよかったのに
P,言えん。俺のキャラじゃない
茄子,そうですか？でも、私は……不覚にもときめいちゃいました。えへへ。ちゃんとロマンチックなこと、言えるじゃないですか♪
P,お、おう。まあ、かなり考えて選んだからな……
茄子,照れてます？
P,少し
茄子,写メですね、写メ。貴重なP君のマジ照れ顔です♪
P,おいっ！
茄子,携帯を没収されちゃいました
P,さっき俺がやられたから、これでおあいこだな
茄子,おあいこかあ……私達、行動パターン同じなんですね
P,だな
茄子,お似合いですね
P,だな
茄子,ふふっ
P,……なに？
茄子,いーえ、なんでも♪。……今年もよろしくお願いしますね、P君
P,ああ。こちらこそ、よろしくお願いします
茄子,はい、よろしくされました♪。そろそろ寝ましょうか。朝、早いですし
P,だな。二人して寝坊とか、シャレにならん
茄子,そうですね。……しかし、改めて思うんですけど。ここの事務所、生活感あふれすぎじゃないですか？ゲームに漫画に、こたつにちょっとした生活必需品まで一通りは揃ってるような
P,この部屋はある意味俺の城だからな。ここで暮らせるように万全の準備を整えてある
茄子,事務所の規模が小さいのをいいことに、好き放題やってますね
P,ちひろさんもいいって言ってたし、大丈夫。んじゃ、俺は隣の部屋で寝るから
茄子,一緒に寝ないんですか？
P,寝ません
茄子,ふふ、ですよね♪……おやすみなさい
P,おやすみ
茄子,ふぃ～、お仕事おわりですっ
P,お疲れ様。はい、ホットコーヒー
茄子,ありがとうございます♪
P,頑張ったな。きれいな振袖姿、バッチリカメラに収まってたぞ
茄子,名前的に、この日だけは譲れませんからねー
P,だな。でも本当、よく似合ってるよ
茄子,むむ、今日のP君は褒め殺しモードですか
P,素直な感想言ってるだけだ
茄子,そうですか……ふふ、うれしいです
P,しかしさすがだったな。収録中に引いたおみくじ
茄子,いえい♪大吉です
P,ははは……さて。せっかく神社まで来たんだし、俺も初詣とおみくじ、やってきますかね
茄子,あ、それなら私もついていきます
P,………。……よし
茄子,何をお願いしたんですか？
P,うちのアイドル達がもっと輝けますように
茄子,わあ、プロデューサーらしいお願いですね。私達のために初詣のお願いを使うなんて、本当によかったんですか？
P,他に頼むことも思いつかなかったしな。来年なら、光の高校受験合格を願ってるところだけど。それにな、なっちゃん。俺のアイドルが人気出るということは、そのまま俺の実績に箔がついて給料上がることにもつながるんだぞ
茄子,あー、P君悪い顔してます♪
P,ははは。だからこのお願いは、俺のための願いでもあるわけだ。一石二鳥ってやつだな
茄子,ちゃっかりしてますねー
P,なっちゃんは何をお願いしたんだ？
茄子,私ですか？私はですね……
P,うん
茄子,……うふふ、秘密です♪
P,秘密～？俺に言わせといてそれはずるいんじゃないか？
茄子,ごめんなさい。でも、ちょっと恥ずかしいお願いだったから……
P,………。シモの話か
茄子,うふふ。しばきますよ？
P,冗談だ
茄子,もう。P君そういうところ、いつまでも子どもなんだから
P,少年の心を失わないと言ってほしい
茄子,はいはい♪ほら、おみくじ売場まで着きましたよ
P,お、本当だ。よーし、ここは景気よく大吉引いてやるか！
茄子,ふふっ、前と同じこと言ってる
P,毎年大吉引くつもりで引いてるからな
茄子,覚えてます？高2の時の初詣。例の出来の悪いラップをもらった日に、一緒に神社まで行きましたよね。えらく真剣な顔で鐘を鳴らしていましたけど、なにをお願いしたんですか
P,彼女できますように
茄子,俗世にまみれたお願いですね
P,別にいいだろー。俺にとっては大事なことなんだから。そういうなっちゃんはどういうお願いしたんだよ
茄子,………。秘密です。少し、口にするのが憚られるものなので
P,………。シモの話か
茄子,しばき倒しますよ
P,ははは、冗談冗談
茄子,まったく……P君は子どもですね
P,高校生なんだから子どもでいいじゃん。それよりほら、おみくじ引こうぜ
茄子,あ、ちょっと待ってください！。……もう、せわしない人なんだから。ふふっ
P,なっちゃん。せっかくだから勝負しないか
茄子,勝負、ですか
P,ああ。ルールは簡単。いい運勢のおみくじ引いた方が勝ち
茄子,早々に勝利宣言をしてもかまいませんか
P,自信満々だな
茄子,やる前から結果が見えてますし……すみません、おみくじひとつください
P,なんの迷いもなく引きやがった
茄子,はい、大吉です
P,む……さすがと言ったところか
茄子,負けた方は勝った方にお寿司奢ってくれるんでしたっけ
P,そんな約束してないから。すまし顔で嘘言うのやめなさい
茄子,冗談です
P,真顔で冗談言うとわかりにくいぞ……ていうか、まだ俺の負けは決まってないからな。俺が大吉を引けばこの勝負は引き分けだ
茄子,そんな、二人連続で大吉だなんて
P,確かに確率は低いだろうな。でも。だからこそ、引けたら面白いだろ？
茄子,………！
P,すみません、おみくじ一本――
茄子,ぷっ……くく、あはははっ！
P,………
茄子,あ、あんなこと言っておいて、だ、大凶引くなんてっ。ある意味大吉より貴重ですよ、ふふっ……新年早々楽しい物を見せてもらいました……ぷっ！
P,……なっちゃん、笑いすぎ
茄子,だ、だって……だからこそ、引けたら面白いだろ？とか言っておいてこれは……だ、ダメっ、ツボに入っちゃいました
P,はあ……ま、いいか。なっちゃんの爆笑なんて初めて見た気がするし
茄子,あはははっ！。本当、しょうがないですね……大凶を引いたP君のためです
P,ん？
茄子,今年一年、P君は運がよくないようなので……私が、近くにいてあげます。そうしたら、幸運のおこぼれくらいはわけてあげられますよ？
P,………。そっか。それはありがたいな
茄子,はい。ありがたがってください
P,なっちゃん、やっぱり笑うとめちゃ美人だな
茄子,なっ……褒めても何も出ませんから
P,お、照れてる？写真撮ってやろうか
茄子,ちょっ、やめなさい！ほんとに――。というわけで、4年前のP君は大凶を引いていました
P,あったな、そんなこと。あの時は我ながら、自分の芸人っぷりに驚いた
茄子,さてさて、今年はいったい何を引いてくれるのでしょう♪
P,今年こそ大吉だから。最後に大吉出たの10年くらい前だから、多分そろそろ出る
茄子,ほんとですかー？
P,見てろよ、絶対引いてやるからな！。すみません、おみくじください――。末吉だった
茄子,面白みがない……
P,いいだろ別に！大凶よりいいんだから
茄子,でも芸人的には大凶引いた方が
P,俺芸人じゃなくてプロデューサーだから。笑い取る必要ないんだよ
茄子,あ、それもそうですね
P,今気づいたのか……
茄子,でも確かに、P君が大凶を引く必要なんてありませんよね。昔の私は、幸運のおすそ分け、なんて理由で近くにいるとか言ってましたけど。今はもう、おみくじの結果なんて関係なく。あなたのそばにいるって、そう堂々と言えますから
P,なっちゃん……
茄子,ね？
P,……そうだな。改めて、今年もよろしくな
茄子,はい！
P,あ、そうだ。絵馬、書いていくか？
茄子,いいですね、行きましょう♪
P,………
茄子,………
P,よし、書けた！
茄子,えーと……超プロデューサーになる！……なんですかこれ
P,なんか強そうだろ？こういうのはシンプルに書くのが一番だ
茄子,シンプルすぎてわけわからなくなってますけどねえ……っと。私も書けました
P,そうか
茄子,見たいです？
P,いや別に
茄子,………
P,ウソウソ、本当は見たい
茄子,P君、たまーにイジワルになりますよね。あれですか、好きな子にはイタズラしたくなっちゃうあれですか？
P,そんなガキじゃあるまいし
茄子,さっき少年の心を失わないって
P,さてなっちゃんの絵馬を拝見させてもらおう
茄子,んもう……まあ、今回は追及しないでおいてあげます。じゃーん♪私の絵馬は、これですっ
P,なるほど。なっちゃんらしいな
茄子,ありがとうございます♪では早速飾りに行きましょうか
P,そうだな
茄子,P君
P,なに？
茄子,……明日も、こうして笑っていられればいいですね。明後日も、明々後日も、その次の日も。一日一日の小さな積み重ねですけど……それって、とても素敵なことだと思います
P,……ああ、まったくだ
茄子,だから……私達は、毎日笑っていましょうね
P,おう
茄子,ふふ♪一緒ですよ、P君♪。あ、そうだ。初夢は私の夢を見てくださいね
P,どうして
茄子,一富士二鷹三なすび、私ひとりでぜーんぶ網羅できますから♪これは最高にお得ですよ
P,はは、なんだそりゃ
茄子,あー、馬鹿にしましたね？そんなこと言ってたら夢に出てあげませんから！
P,ははは
茄子,ほんとのほんとに出てあげませんからねっ――
