霊幻新隆,モブ、今日の仕事はデカいぞ。お前にもボーナスやる
悪霊,私に狂っているは褒め言葉だよ。超能力者の少年。そして、思わぬ成果を上げられぬまま、私は住人の逆襲に遭いそのまま死んでしまった。……しかし、天は私を見放さなかった。死後にこうして悪霊として現世に残ることが出来たのだからな。それから私自身、霊力を高めて面白半分でこの場に来る人間に取り憑き、内側から精神的ショックを与えることによって能力者を生み出そうとしたのさ。結果は芳しく無かったがね。同時に気付いたことがあった。取り憑いた人間が持つ元々の負の感情を肥大化させれば、より大きい負の感情を生み出すことが出来るとね。そして私は好機をうかがった。そして今日、ついてその日が来たのだ！
モブ,どういう、ことですか……？
悪霊,彼女の記憶を少し覗いたが、芸能界で随分揉まれたんだろう。彼女の負の感情は今まで見てきた中で1番大きい。様々な感情が渦巻いていて、少し私が手を加えれば一気に爆発してしまうだろう。そしてもうひとつ、君の存在だ
モブ,僕が……
悪霊,そう。君のその有り余る力を奪えば私の力が増幅され、今までで最高の力を振るえるのさ。そして私はこいつの身体と人生を乗っ取り、現世に降臨した最強の超能力者として、その力を存分に振るう。私の理論が認められ、この国を、いや、世界を私のものに出来るのだよ！どうだ少年、素晴らしいと思わんかね？
モブ,いや、全然
悪霊,っ……！まあいい、ガキには分からんだろう。そういうことだ。君の力、奪わせてもらおう！
モブ(あ、超能力が戻った。今なら……),ふっ……！
悪霊,ぐぐっ……その力こそ私が求めていたものだよ。まったく羨ましくて憎たらしいな
モブ,白鷺さんの身体から出ていけっ！
悪霊,おおっと、いくら力が強いからと言って、当たらなければどうということは無い。私は正面から戦うのが得意ではないからな。君には彼女より一足先に地獄を見てもらおう
モブ,うっ……ぐあっ！何を……
悪霊,彼女が抱えている負の感情を私が増幅させ、君の精神に送り込んだのさ。恨み、嫉み、憎しみ、悲しみ、それらの感情が膨れ上がってキミの中を駆け巡る！そのまま精神を崩壊させろ！キミはもうキミに戻ることは出来ない！
モブ,やめろ……僕の中に、入ってくるな！！
千聖,私は成功に最も近い道を選びたい、それだけよ。努力は結構、夢を見るのも結構だけど……努力が必ず夢を叶えてくれるわけじゃないのよ。私がなんでも出来るなんて思わないでよ！！
霊幻,……
エクボ,シゲオのやつ、遅すぎる……最上ほどの悪霊じゃないにしろ、やつはなかなか危険だ
霊幻,……いざとなったら、俺達がモブを助けに行くぞ
エクボ,どうすんだよ、お前幽体離脱なんて出来んのか？
霊幻,……
エクボ,け、お前らしくもねえな
霊幻,モブにこんなことを強いるなんて、俺は師匠失格かもな
悪霊,ふん、彼の精神も音を上げる頃だろう。さて、その力、奪って。っ！？なんだこれ！？
モブ,戻ってきたよ……
悪霊,お前……あの感情の波を耐えきったというのか！？
モブ,正直、僕だけの力じゃ戻って来られなかった。白鷺さんのおかげだよ
悪霊,なんだと……？こんな負の感情しかない女のどこに助けられたと言うんだ？
モブ,そんなことない
悪霊,なっ……これは！？
千聖・彩,どうか、私たちの歌を聞いてください！
千聖,薫といるとね、Pastel*Palettesにいる私じゃない、私になれるの。あの時は本当に嬉しかったわ。友達になってくれてありがとう、花音
悪霊,こ、この力は！？
モブ,白鷺さんの人との関わりあいの記憶……。彼女も僕と同じ、彼女の周りにいる人達のおかげで、前よりも強い白鷺さんになれたんだ。アンタなんかに、この力は超えられない。僕も逃げないよ！。ん……
霊幻,モブ……戻ったか
モブ,師匠……そうだ、白鷺さんは
エクボ,そこで寝てるよ。お前が目覚める前、中から悪霊が飛び出て行った
モブ,そっか……
千聖,ん、ここは……
霊幻,意識が……
千聖,……影山くん、よね？私を助けてくれたのは
モブ,あ、はい……
千聖,ありがとう。本当に。ずっとあなたの声が聞こえていたわ
モブ,いえ、僕こそ。白鷺さんのおかげで除霊することが出来ました。僕一人だったら正直、危なかったです
霊幻,……さて、戻るぞ
彩,千聖ちゃーん！心配したんだよー！？
千聖,ほら、彩ちゃん泣かないの
日菜,いやー一時はどうなるかと思ったね～！
イヴ,本当によかったです！陰陽師の皆さん！感謝カンゲキ雨アラレです！
麻弥,本当にありがとうございます
プロデューサー,いや、本当によかった！さすが霊幻先生！
霊幻,ほらモブ、ボーナスだ。受け取れ
モブ,3万円も……いいんですか？
霊幻,ああ。最上の時といい、今回といい、俺は何も出来なかったからな。それでオシャレな服でも買ってこい
モブ,あ……ありがとうございます
霊幻,そうだ、これから除霊の依頼があるんだが、終わったらラーメン食ってくか？
モブ,奢りですか？
霊幻,……チャーシュー2枚までな
羽沢つぐみ,へぇ、そんなことが……大変でしたね
千聖,ええ、私も最近疲れてたから、それのせいもあるかもしれないわね
松原花音,千聖ちゃん、最近仕事詰めで忙しかったもんね……もう身体はなんともないの？
千聖,ええ、大丈夫よ。ただ……
花音,ただ……？
千聖,もう少し、みんなとの時間を大切にしようかなって、そう思ったの
花音,そうなんだ……ふふ
千聖,どうしたの？花音
花音,なんだか、千聖ちゃんも変わったなって
千聖,ああ……ふふ、そうかもしれないわね
