モバがついてるＰ(以降Ｐ表記),俺が翠に教えられるものって何かあったっけ？
Ｐ,ちょっと待て。どうして卸し金を持っているんだ？。出来るんなら包丁でこうササーッと剥いてもいいんだが。翠はちゃんとピーラー使いなさいな
翠,は、はい…
Ｐ,あんまり力入れると身の部分までごっそり削れるからなー
翠,ど、努力いたします…。…っ！で、出来ました！
Ｐ,おー、初めてにしてはよく出来…細っ！。…良く出来ました
翠,お心遣いありがとうございます…
Ｐ,ジャガイモは芽をしっかり取らないと危ないからなー
翠,確か毒素があるのでしたね
Ｐ,まあ、１.２キロぐらいの摂取量で中毒症状が出るってレベルだからな。大人なら多少口にしたところでせいぜい腹下すぐらいだけど。取り除いておくに越した事はないわな
翠,そうですね。安心して頂きたいですから
Ｐ,ジャガイモは皮剥きが面倒だったりしたら新じゃがとか、皮ごといける品種を選ぶのもアリだな。個人的にはジャガイモは皮つきのほうがイモの風味が強く味わえて好ましい
翠,ジャガイモ１つでも奥が深いのですね…
Ｐ,料理ってのは経験値が全てだからな。数やりゃ誰でも出来るようになるさ。よっぽど特異な味覚やセンスの持ち主でもなければな
ありす,へくちっ。…風邪でしょうか
Ｐ,さぁ、次はタマネギでありますよ
翠,ご心配なく。しっかりと準備をして参りました！。如何ですプロデューサーさん？これなら大丈夫ですよね
Ｐ,あ、うん…。水泳用のゴーグルなんてよく持ってたな
翠,タマネギへの対策として昨日学校の授業用のものを持参してまいりました
Ｐ,そんなことしなくても、よく包丁を濡らして切ったりすれば全然平気だぞ？。タマネギの刺激成分は細胞が潰れて出てくるモンだから、よく切れる包丁でやっても良いんだ
翠,そ、そうなのですか…？
Ｐ,後は高い温度で蒸発して鼻腔に入って刺激になるから、こうして包丁を濡らして冷やしたり、半分に切って水に晒すって事も効果的だ。ただ、タマネギの刺激成分は旨味でもあるからなぁ。サラダなんかで生食する訳でもなければ水に晒すのはやめたほうがいいな。旨味が水に流れ出しちまうから
翠,で、では…私はどうすれば…
Ｐ,我慢
翠,せ、精神論なのですかっ！？。うぅ…ぐすっ、ぐすん…
Ｐ,ゴーグルの意味無いなぁ…、左手はちゃんと指を丸めてな。猫の手だ猫の手。前川の気持ちになるですよ
翠,ぐすっ、はい…、わかりましたにゃ…
Ｐ,肉じゃがに入れる分は１cm間隔ぐらいにして、チキンライスに使う分はみじん切りだな。みじん切りにする時はこうして、まず縦と横に切り込みを入れてからこうして切ると…
翠,ぐす、えぐっ……くすん、凄いですにゃ…
Ｐ,うん、猫になるのは手の形だけでいいからな？。あ、ちなみにタマネギの刺激成分って目じゃなくて鼻から入って刺激されるから鼻を摘んで塞ぐと効果的だぞ。はい、洗濯バサミ
翠,それを使ってしまったらアイドルとしても女子としても終わってしまう気がするのですが…
Ｐ,肉も一口大に切っておくな。手ぇ切らないように気をつけるんだぞ
翠,は、はい
Ｐ,かと言ってそこまでビクビクしながらやる方が危険だわ。まあ、包丁に慣れてないならキッチンバサミで切っちまうのもアリだけどな
翠,ですが、それでは練習にならないのでは…
Ｐ,包丁の扱いってのは何度もやらないと慣れないもんだ。いきなり無理して怪我でもしたら大変だしな。大事なアイドルをこんな事で傷物には出来ないでごぜーますよ
翠,プロデューサーさん…。わかりました。ではお言葉に甘えさせて頂き、今回はハサミを使わせていただきます。ですが、鍛錬を積んで必ず包丁を使いこなせるようになってみせます！
Ｐ,おう、その意気だ。でもそれは高枝切りバサミだから仕舞いなさい。ってか誰だ給湯室にこんなモン持ち込んでるのは。ダシは…まぁ、普通に鰹節でいいか
翠,お味噌汁を作るときと同じですね
Ｐ,肉じゃがの作り方なんて家庭それぞれによって全然違うからなぁ。とりあえず今日は簡単に作れそうなやり方にしておくぞー
翠,お心遣いありがとうございます
Ｐ,鰹節はお湯が沸騰したら取り出すこと。そのまま煮立てると臭みやえぐ味が出ちまうからな。っと…こうして一度ザルにとって鰹節を出して…ダシガラは後で前川にでも上げよう。そしたら具を投入だ。人参やジャガイモをまずは先にな
翠,あ、分かります。火が通りにくいものから、ですね？
Ｐ,ご名答。ぶっちゃけるとそこまで細かく拘らなくてもいいんだけどな。さてと、じゃあ肉じゃがを煮込んでる間に…
翠,オムライスの準備ですね？
Ｐ,いえ、洗い物と片付けです
翠,プロデューサーさん、女子力高いです…
Ｐ,ではオムライス用のチキンライスの準備に取り掛かります
翠,はいっ
Ｐ,まずはフライパンにバターを投下。ついでに香り付けにオリーブオイルも少々
翠,良い匂いですね
Ｐ,バターが溶けたらさっきみじん切りにしたタマネギを投入します。はいどうぞ
翠,わ、私がやるのですか？
Ｐ,誰のための練習だよ
翠,そ、そうですね…水野翠、頑張りますっ！
Ｐ,いけない。それは別の娘の唯一の持ちネタだ。タマネギの大半がフライパンの外へダイブ致しました
翠,申し訳ありません…
Ｐ,大丈夫だよ。拾って洗ったから全然使える。んじゃ炒めるぞー。あまり強火でやらず、じっくり甘味を引き出すように炒めていきます。飴色になってきたぐらいが頃合です
翠,どんどん良い色になってきますね。凄く手際が良くて羨ましいです
Ｐ,こんなのやった回数の問題だっての。はい、そろそろ鶏肉を入れます。みどりん一口大に切った鶏肉を
翠,…え？あ、は、はいっ
Ｐ,鶏肉投下ー
翠,ああ、いい音です…お腹が空いてしまいますね
Ｐ,もう３０分も掛からず出来上がるから我慢しなさいみどりん。お、丁度都合よく米が炊けたぞ
翠,あ、あの…、そのみどりんって、私の事なのでしょうか？
Ｐ,ちょっと行儀が悪いけど炊飯器から直接フライパンに米を投下します
翠,大胆な調理法ですね
Ｐ,野郎の料理なんてこんなもんです。んじゃみどりん。炒めたタマネギ達と米をよく混ぜてください
翠,は、はいっ
Ｐ,米を潰さないようにな
翠,…んっ、ふっ、よいっ、しょっ…！。む、難しいです、ね…見ていると、簡単そうなのですが…っ！
Ｐ,最初はそんなもんさ。そのうち慣れるよ。炒めながら軽く塩コショウして、混ざったところでケチャップ投下です
翠,ううっ、なかなか混ざりません…
Ｐ,ほい交代。こうして、ご飯を解しながら全体的に馴染ませるように…
翠,あ、あっという間にお米が真っ赤に染め上げられてしまいました…
Ｐ,チキンライスはこんなもんかな。あ、肉じゃがの鍋のほうはどうなってる？
翠,あ、はい。今確認しますね。熱いですっ！
Ｐ,そりゃあ熱いよ煮込んでるんだもん！何故だ、何故今鍋に触れた！？
翠,うぅ…指先に水ぶくれが…
Ｐ,あぁもう、年頃の娘さんが柔肌をこんなにして…
芳乃,ほいさっ
翠,えっ？
芳乃,でしてー
翠,…あれ？火傷が…
Ｐ,全く、気をつけてくれよ？
芳乃,ではー
Ｐ,さてと、鍋の中はどんな具合かな？
翠,えっ？あ、あの…今、芳乃さんが…あれ、あれ？
Ｐ,さて、野菜に火が通ったかどうか確認するために楊枝を刺しましょう
翠,すんなりと通りましたね
Ｐ,こんなもんだろ。じゃ、肉も入れて砂糖、醤油で味付けするぞ。砂糖じゃなくて味醂でもいいけど、味醂も安くないから砂糖でいいかな。味付けしたら、弱火でまたちょいと煮ます。その間にオムライスの卵に取り掛かろうか
翠,卵…とうとうやってまいりましたね
Ｐ,そんな怖い顔しなくても…なに？昔生卵に一晩中追い掛け回された事でもあるのかよ
翠,ありません！そんな事があったら卵を直視できないトラウマになっております！。その…、１パック買って寮で自分なりに自主練習をしていたのですが…
Ｐ,真面目で熱心だなぁ翠は。どっかの双葉杏さんも見習ってほしいもんだ
翠,あっ…えへへ。…コホン、自分なりに練習をしていたのですが
Ｐ,ですが？
翠,…その、卵を割って、器に入れる段階で、その…
Ｐ,躓いた訳かぁ
翠,卵１つ割れないなど、私には料理の才能が無いのでしょうか？
Ｐ,いや、だから料理は慣れだよ、経験だっての。ほら、慣れりゃあこうして片手でも
翠,っ！
Ｐ,ほい、左右同時割り
翠,な、何という神業…！
Ｐ,翠の中の神のハードル低っ！。よーし、んじゃ卵掻き混ぜてくれー
翠,は、はいっ
Ｐ,わざわざ泡立て器出さんでも。箸でいいんだぞ？
翠,そ、そうなのですか？
Ｐ,まあ、泡立て器で卵混ぜる人もいるけどさ……翠みたいに電動のヤツ引っ張り出してくるのはＳレアですわ。こうやって、箸で切るように混ぜるんだ。よく混ぜないとダマになっちまうしな。ま、これも馴れだな。弓道だって同じだろ？１日２日で的に当てられるようになったりはしないだろ
翠,そ、そうですね…何事も日々の鍛錬が大事、という事ですね
Ｐ,そういうことだな
翠,ですが…
Ｐ,ん？
翠,弓術初日で的の真ん中を射抜いたプロデューサーさんから日々の鍛錬が重要、と言われると…
Ｐ,あ、あれはたまたまだって…
翠,折角興味を持ってくださったようなので、私が色々とご指導できるかと思っていたのですが…
Ｐ,ほ、ほらアレだ、俺は日頃スタドリ飲んでるから
翠,あのドリンクを飲んだら生まれて初めて弓を手にした方でも的を射抜けるようになるのですかっ！？
Ｐ,スタドリって凄いな。あ、卵混ざったぞ。んじゃ焼くか
翠,あ、露骨に話を逸らしましたね
Ｐ,睨まないで下さい可愛いです。ほら、今は練習練習
翠,むむぅー
Ｐ,溶き卵にちょっぴり塩と牛乳を混ぜます。牛乳を入れるとみんな大好きフワフワ感が出るのです
翠,成る程
Ｐ,では焼きます
翠,はい
Ｐ,いや、はいじゃなくて、翠が焼くんだって
翠,わ、私がですか？
Ｐ,誰のための何の為の練習だよ
翠,そ、そうですね…わかりました。水野翠、自分を曲げません！
Ｐ,やめて差し上げろ。それはとある前川みくナントカさんの決めゼリフだ
翠,やぁぁーーっ！！
Ｐ,まずは油を引こうなっ！？
翠,申し訳ありません…
Ｐ,うん、このスクランブルエッグ結構ウマい。料理に失敗はつきものだ、失敗した直後だけちょっぴり気にして反省して学習すればいいんだよ
翠,プロデューサーさん…
Ｐ,でも危ないので今日のところは卵も俺が焼きます
翠,申し訳ありません…。あ…、本当。結構美味しい
Ｐ,フライパンにバターを入れます。サラダ油でもいいんだけどバターのほうが風味が出るし卵がくっつきにくいのです。っと、段々伸ばして広げるようにして焼いて…っと。オムレツにして、チキンライスの上に乗せてナイフで切ってトローッてのも良いんだけど翠にはまだハードルが１９段ぐらい高いので今回はオーソドックスなヤツでな
翠,ふぁい？
Ｐ,おぉ、スクランブルエッグ食ってて全くコッチを見てねぇ聞いてねぇ。皿に盛っておいたチキンライスの上に、こう被せるように…。ほれ、オムライスの出来上がりだ
翠,わぁ、とても綺麗です
Ｐ,あとはケチャップで卵の上に絵でも文字でも書いたりすりゃあ見栄えもいいだろ
翠,成る程…
Ｐ,んじゃ、肉じゃがも仕上げるぞー。我が家ではコンニャクとかちくわぶとかも入れたりするんだが、まぁ、無難に行こう無難に
翠,お心遣いありがとうございます
Ｐ,味は…よし、一味足そう。個人的なお勧め隠し味、ケチャップです
翠,こちらにもケチャップなのですか？
Ｐ,ほんのちょっと入れると程よい酸味が味を引き締めてくれるんだ。コクが欲しかったら味噌を入れてもいいが、あくまで少々な
翠,はいっ
Ｐ,少々って言った側から！
翠,えっ？あ、あれっ？
Ｐ,みどりん、キャップ全部外してどうする！カパッと蓋あければいいんだよ！
翠,そ、そうなんですかっ？も、申し訳ありません！
Ｐ,とにかく手を離せぇ！。と言う訳で完成しました。オムライスと……ミネストローネです
翠,申し訳ありませんっ申し訳ありませんっ
Ｐ,番組本番でやってほしかったわ、こういうの
翠,ど、どうしましょう…
Ｐ,材料はあるし、作り直しかな
翠,ほ、本当に申し訳ありません…
芳乃,はいなっ
翠,えっ？
Ｐ,野菜も肉もまだまだあるし、もう１．２回ぐらいは余裕で作れそうだな…
芳乃,はいぱーくろっくあっぷ、でしてぇー
翠,あ、あのプロデューサーさん、芳乃さんが…
Ｐ,んじゃ、肉じゃがも仕上げるぞー
翠,えっ？
芳乃,ではー
Ｐ,我が家ではコンニャクとかちくわぶとかも入れたりするんだが、まぁ、無難に行こう無難に
翠,あ、あれ？あれれ？
Ｐ,味は…よし、一味足そう。個人的なお勧め隠し味、ケチャップです。ほんのちょっと入れると程よい酸味が味を引き締めてくれるんだ。コクが欲しかったら味噌を入れてもいいが、あくまで少々な
翠,あ、あの今…芳乃さんが、あれ、お鍋の中身が元通りに……
Ｐ,どしたみどりん？鳩が茜のタックル喰らったような顔して
翠,え、あの…私にも、何がなんだか…？
Ｐ,よくわかんないけど、続けるぞー？
翠,は、はいっ。？？？
Ｐ,よし、味はこんなもんでいいだろ。後は冷まして味を染み込ませるぞ
翠,折角煮込んだのに冷やしてしまうのですか？
Ｐ,煮物の味って、冷める時に染み込むもんなんだよ
翠,そ、そうなのですか？初耳です…どうしてなのです？
Ｐ,詳しく説明すると長くなるけど、過熱すると細胞組織が壊れて旨み成分が外に出るのさね。んで、冷める時に壊れた細胞組織の隙間に入り込むんだ。細胞組織が壊れるって聞くと悪いイメージだけど要するに食材が柔らかくなるって意味だからな
翠,成る程…何となくですが、わかりました
Ｐ,とは言え、ここまで熱々の鍋を冷ますとなると…大鍋に氷水でも張るかな…大鍋か寸胴、あったっけかな…
芳乃,ちょやさっ
翠,わっ
芳乃,えたーなるふぉーすぶりざーど、でしてー
翠,えっ、えっ？よ、芳乃さん…？
芳乃,ではー
Ｐ,駄目だ、これより大きな鍋が無ぇや。って、おお？良い感じに冷めてるじゃん。何で？
翠,い、今芳乃さんが…と言うか、さっきからちょくちょく…
Ｐ,まぁいいや。これだけ冷めてたら十分だ。もう一度再加熱して、暖まったら出来上がりだ
翠,プロデューサーさんは不可思議現象を受け入れすぎですっ！
Ｐ,肉じゃがの再加熱完了でごぜーますよ！
翠,お芋にうっすら色がついて美味しそうです
Ｐ,じゃあ器に盛り付けるぞ
翠,はい
Ｐ,溢すなよ？
翠,ど、努力します
Ｐ,あとはオムライスにケチャップでデコレーションだ。決して某シンデレラプロジェクトのユニットではないぞ
翠,ええっと…ど、どうすればいいのでしょう？
Ｐ,適当に絵でも文字でも。面倒なら雑に波打ってかけたりするだけでもいいし
翠,て、適当に…と言われましても…
Ｐ,よし、俺の分完成
翠,こ、これは…？
Ｐ,んっ？最後の晩餐
翠,卵の上にケチャップで何を描いているのですか！どんな超絶技巧ですか！？
Ｐ,ははっ、翠は意外とツッコミが激しいなぁ
翠,誰のせいですかっ！
Ｐ,と言う訳で完成です。オムライスと肉じゃが。で、結局翠はケチャップで何描いたん？……ブリュンヒルデ？
翠,……猫です
Ｐ,ささ、食べるぞー
翠,わっ、いつの間にか休憩室にお箸とスプーンとお茶が
Ｐ,じゃあ翠。頂きますの音頭を時子テイストでよろしく
翠,な、なんですかその無茶振りは！
Ｐ,ほら、早く早く。お腹空いたよ
芳乃,早く食べたいのでしてー
翠,うぅ…、わかりました。これもまた乗り越えるべき試練なのですね…。では、いざ参ります！。クックックッ…貴方みたいな豚にお似合いの残ぱ
Ｐ,いただきまーす
芳乃,まーす
翠,うぅぅーーっ！うぅぅーーーっ！
Ｐ,おーい、機嫌直してくれみどりん
翠,知りませんっ
Ｐ,ちょっとしたジョークじゃないか。埼玉県民特有の紳士的なジョークじゃないか
翠,もう、プロデューサーさんなんか知りませんっ
Ｐ,今度ソニックアロー差し入れするから
翠,いりません。使えません
Ｐ,また水着グラビアの仕事取ってくるから
翠,それはプロデューサーさんのご趣味じゃないですかっ
Ｐ,ほら、あーん
翠,…知りませんっ
芳乃,今ー、欲望が揺らぎましてー
翠,お芋も人参も味が染みていてホクホクしていて美味しいです…。タマネギもトロトロでとても美味しいです
Ｐ,本当はタマネギは小さめに切ったやつと大ぶりに切ったやつと２種類にして大降りなやつだけ肉と同じぐらいのタイミングで投入してトロトロ食感もシャクシャク食感も楽しめるようにしたかったんだけどな
翠,では、次回のお楽しみにという事ですね
Ｐ,君の練習なハズなんですけど
芳乃,そなたーそなたー、オムライスがー食べられませんー
Ｐ,何でさ
芳乃,ケチャップでー、歴史的絵画が描かれておりますのでー
Ｐ,崩しちまえ
芳乃,あっ、あっ
Ｐ,オムライスの方はどうだ？みどりん
翠,そ、その呼び方を定着させないで頂けませんか…？。こちらも、とても美味しいです。甘くてフワフワの卵に包まれた、ケチャップと鶏肉の味がふんだんに染みこんだチキンライスが…
Ｐ,そりゃよかった。後は数こなして練習して、翠が自力で作れるようになるだけだな
芳乃,お茶のお代わりをー
Ｐ,ありがとな。っと、口にケチャップついとる
芳乃,むっ、むっ
Ｐ,まあ、翠ならきっとすぐにこれぐらい作れるようになるさ
翠,そ、そうでしょうか…自信は無いのですが…
Ｐ,自信なんて練習もしないで出来る訳ないだろ
翠,そう、ですね。何もせずして事を成す事など出来るはずがありません…
Ｐ,まぁ、作れるようになってもらってもハプニング枠で出演させた俺の算段が狂うんだが…
翠,？今何か仰いましたか？
Ｐ,イッテネーヨ
ちひろ,おはようございます
Ｐ,おはようございます。課金はしませんよ？
ちひろ,まだ何も言ってないじゃないですか
Ｐ,だから言われる前に、と
ちひろ,まったくもう……あ、そう言えば翠ちゃんの料理番組の収録って
Ｐ,今日ですね
ちひろ,秘密特訓の成果はどうだったんです？
Ｐ,何で知ってるんですか
ちひろ,天井裏からずっと見てたあやめちゃんとデスクの下から覗いてた乃々ちゃんから
Ｐ,あいつら居たんかいっ。まぁ、元々真面目だし弓道で培った集中力もありますし、随分上達しましたよ
ちひろ,あら、よかったですね。…あれ？でも確かプロデューサーさん、翠ちゃんはドジやハプニング狙いで取ってきたって言ってませんでした？
Ｐ,そうなんですけどね、本人が上達したいというんだから仕方ないでしょう
ちひろ,アイドルには甘いですねぇ。…事務員には冷たいくせに
Ｐ,えっ、何だって？
ちひろ,もーいいですよーだ。…でもいいんですか？番組的には
Ｐ,ああ、大丈夫ですよ。橘さんも出演させておきましたから
ありす,何がいけなかったのでしょう…ケチャップの代わりにイチゴジャムのオムライス、イチゴソースの肉じゃが。画期的な筈なのですが…
翠,柚さんっ！柚さんっ！？しっかりしてください、お気を確かにっ！！
柚,うぅ…も、もう二度と…料理番組の審査員なんて…
アッキー,終わりだ
芳乃,でしてー
