モバＰ,みんなが売れたのは俺のおかげだ！
Ｐ,あいつは努力して成果で返すタイプだから駄目！俺は間接的にじゃなく直接返してほしいの！。そういう意味じゃ麗奈は最高だな！社長にしょっちょう嫌がらせしてるからな！
ちひろ,は？麗奈ちゃんにそんなことさせてるんですか？
Ｐ,あいつが勝手にしてるんだよ！人聞き悪いなぁ……
ちひろ,……さすがに見損ないましたよ。口は悪いし品性もないけど、そんなことはしないと思ってたのに
Ｐ,口が悪くて品性もない奴がそんなことしないはずがあるかぁ！
ちひろ,それもそうですね
Ｐ,急に引くんじゃない。びっくりするだろ！
小関麗奈,これでも飲んで落ち着きなさいよ
Ｐ,おお、悪いな。千川の相手をしてると喉が渇く。おぼろっしゃあぁああ！
麗奈,アーッハッハ！引っかかったわね。その緑茶には砂糖が入ってるのよ！
Ｐ,……冷静になると意外と美味い
麗奈,あら？玉露を淹れたのがまずかったかしら？
Ｐ,美味いって言ってんだろ！
麗奈,その不味いじゃないわよ！
Ｐ,おおっと、冷静に見てみると麗奈じゃないか！今日も社長室には寄ってきたか？
麗奈,アンタ、冷静に見なきゃアタシってわかんないわけ？
Ｐ,社長室には？
麗奈,行ったわよ！別にそんなことどうでもいいでしょ！？
Ｐ,俺には重要なんだよ！それでそれで！？
麗奈,それで？――パソコンにつないであったマウスの感度を、最大にしておいたわ！
Ｐ,最高だぜレイナサマ！お前の担当プロデューサーをやっててよかった！
麗奈,そ、そう？まあそうよね！これからもレイナサマのプロデュースを続けるといいわ！
Ｐ,おうともさ！ついては、次の悪戯はもっと派手に――へぶっ
ちひろ,はいはい、悪だくみしない。麗奈ちゃんも、後で一緒に社長さんに謝りに行きましょうね？
麗奈,ち、ちひろがどうしてもって言うなら、行ってやらないこともないわ……
ちひろ,社長が麗奈ちゃんと喋るの楽しんでるからいいですけど、度を越しそうなら止めてあげてくださいね
Ｐ,嫌だ！
ちひろ,止めれなくしてもいいんですよ
Ｐ,やれるもんならやってみろ！俺の男の部分を出す時がようやくやってきたようだなぁ！？。レースゲームか？格闘ゲームか？なんでもこい――ちょっと千川、なに電話してんの？
ちひろ,あ、美優さんですか？いえ、今日は事務所に寄るのかな、と。ああ、もうすぐそこですか！
Ｐ,え、待って。美優さん来るの？本当に？タンマタンマ、髪型ちゃんとするから……
三船美優,おはようございます。ちひろさん、Ｐさん
ちひろ,おはようございます！聞いてくださいよ、美優さん。さっきプロデューサーさんに
Ｐ,おっとちひろさん、なにかありましたっけ？俺たちさっきまで仲良く話してたじゃないですか
ちひろ,気安く下の名前で呼ばないでくれます？
Ｐ,美優さん。これはちひろさんの冗談なんですよ。僕とちひろさんは仲良しですから！
美優,ふふふ、はい。いつもこんな場面で会ってますから、知ってますよ？
Ｐ,ですよね。ははは！
美優,いくら仲良しでも、扉の外から聞こえるような喧嘩しちゃ駄目ですからね？
Ｐ,え
美優,ちひろさんもか弱い女性なんですから。Ｐさんも優しくしてあげてくださいね。それじゃあ今からお仕事ですから、行ってきます
ちひろ,はい。いってらっしゃい
Ｐ,お、お気をつけて……。――美優さんに聞かれちまったじゃねえか千川ぁ！
美優,怒っちゃ駄目ですよー！
Ｐ,もっちろんですよ。美優さん！。もう美優さんってば天使過ぎ！結婚するならああいう女性三人とがいいな！
ちひろ,なに言ってるんだか……
Ｐ,俺ほど有能なら三人くらい余裕で養えるんだよ！
ちひろ,そんなに余裕なら養ってくださいよ
Ｐ,千川なら三人と言わず二百十八人くらい養えるわ！舐めんな！
ちひろ,なにを基準でその数字なんですか
Ｐ,可愛さに決まってんだろ
ちひろ,……いっぱい欲しいくらい可愛い？
Ｐ,いっぱいいなきゃ割に合わない。あ、美優さんは三人くらいいて欲しい、だからな！例え一人でも大満足だわ！
ちひろ,――ぐすっ
Ｐ,え？なに？なんで泣いてんの？
ちひろ,そこまで、そこまで言わなくても……ひぐっ
Ｐ,やめ、やめろって。嘘泣きでしょ。嘘泣きだよな？
ちひろ,私だって、美優さんほど可愛いなんて思いませんけど……
杏,ふわぁ、おはよう。うわ、ちひろさん泣いてるじゃん。なにしたの？
Ｐ,は？違うって、泣かしてないって！俺はいつも通りじゃれてたっていうか！
杏,言い過ぎたんじゃない？ちひろさんだって人なんだからさ
ちひろ,杏ちゃん、いいんです……私みたいに可愛げのない女なんて……
杏,……なに言ったの？
Ｐ,怖いって、杏ちゃん！なんでそんな睨むの！？
ちひろ,ぐすぐす……
Ｐ,ちょ、おい！なにメールしてるんだ！？
奈緒,ちひろさんからメールで呼ばれたんだけど――Ｐさん、なにしたんだよ……？
Ｐ,なに神谷を呼んでんだよぉ！
ちひろ,プロデューサーさんが、私のこと可愛くないって……しくしく
奈緒,Ｐさんさぁ、デリカシーないとは思ってたけど、そんなこと言うか。普通
Ｐ,言ってねーよ！千川の曲解だよ今のは！
奈緒,そうなのか、杏？
杏,判定グレー
奈緒,Ｐさんさぁ
Ｐ,待てよ、グレーじゃん！黒じゃないでしょ！もっと意見聞いてこうよ！
ちひろ,ぐすぐす……新しい、候補生……
Ｐ,は？なに？
ちひろ,候補生……面倒……見る……ぐす
Ｐ,インディアンかよ
杏,あ、今ちひろさんのことインディアンみたいって言った
奈緒,現行犯とは恐れ入ったな
Ｐ,おいおいおい、それはインディアンに失礼だぞ！インディアンに悪いイメージ持ち過ぎだぞお前ら！。ちょっと世界史習ってこいよ。インディアンのこと悪く言えなくなるぞお前ら！
杏,なんか、お茶会事件とかあった気がする
奈緒,まじかよ、インディアンさいてーだな
Ｐ,その全貌を知るのが世界史だろうが！
ちひろ,候補生の面倒を見るなら……もう泣きません
Ｐ,とうとうはっきりと条件を提示してきたぞ
杏,これは飲むしかないんじゃない？プロデューサー
Ｐ,嫌だよ！つい最近一人成功させたじゃん！また面倒見始めたら、部署移動できなくなるじゃん！
奈緒,Ｐさん、償いはすべきだって
Ｐ,重いだろ代償がぁ！なんでまた長い期間拘束されなきゃいけないだよぉ！。俺は、元の部署に戻りたいのぉ！
美優,Ｐさん、元の部署に戻ってしまうんですか……？
Ｐ,え！？
ちひろ,美優さん、そうなんです。私も泣いて引き止めてるんですけど
Ｐ,はぁ！？
杏,杏たちも説得してたんだけどねー。決意は固いみたいでさー
Ｐ,お前がしてたのは揚げ足取りだろ！
奈緒,あたしは別に……その、ちょっと寂しいけどさ
Ｐ,唐突にツンデレしてんじゃないよ神谷！
麗奈,今後の悪戯は、このレイナサマに任せておきなさい！
Ｐ,お前はいつからいたんだよ！？
美優,他部署になるときっと会う機会も減っちゃいますけど、私、Ｐさんのこと忘れませんから……！
Ｐ,あー、待って！別れを済ませないでください。美優さん！。お、おい、千川！その候補生の資料寄越せ！俺が面倒見る、面倒みるから！
ちひろ,言質がとれましたね。みなさん、ご協力ありがとうございました！
Ｐ,は？
杏,悪いね。ほら、飴で懐柔されちゃったからさ
奈緒,Ｐさんも悪いんだぞ。プロデュースを終えるたびに辞めるっていうから……
麗奈,アタシの手下なんだから、簡単に離れられると困るのよ！
美優,私も、その、他部署に行っちゃうのは寂しいですし
ちひろ,というわけで、部署居残りおめでとうございます。明日から新アイドルプロデュース、お願いしますね！
Ｐ,――あああああ！もう嫌だ！俺はこんなにもできる男なのに、こんな小さい部署に縛り付けられる！。前の部署では好き勝手できたのに、この千川のせいでいつまで経っても自由になれない！。次こそは、次こそはこのプロデュースを終えて、辞めてやるからなぁああああ！
ちひろ,はいはい、期待してますよ。――傲慢ちきなプロデューサーさん！
