モバＰ,以降Ｐ表記よ、この豚
ちひろ,で、どうしますか？常務は一応私とプロデューサーさんで、と仰っていましたが他のアイドルの娘と一緒に行きたいと言うのでしたら多少は割引しますよ
Ｐ,やっぱり売る気じゃねーか。って言うかちひろさんが誰か別の人と行けばいいじゃないですか
ちひろ,そうしようかとも思ったんですけど、こんないきなり都合が付きそうな友達が居ないので…
Ｐ,あ、友達いたんですね
ちひろ,フンッ！
Ｐ,おりばっ！
ちひろ,ふーんだ、どうせ私はお金とモバコインだけが友達とか思われてる金の亡者ですよーだ
Ｐ,い、いやだって…アンタの私生活のあさん以上に謎ですし…ごほっ
ちひろ,で、どうするんです？
Ｐ,げほっ……まぁ、なかなか無い機会ですし…たまにはいいかもしれませんね
ちひろ,そうですね。たまには親睦を深めるのも悪くないかと
Ｐ,逆に溝が深まったりして
ちひろ,やめてください。実際ありそうなオチを今言うの
千枝,そして話は当日に戻ります
肇,どうしたの千枝ちゃん。何で麺棒持ってるの？
ちひろ,良かったですね、電車空いてて
Ｐ,ええ。でも良かったんですか？車ならもっと楽に早くいけたのに
ちひろ,まぁまぁ。こういうのは目的地に着くまでの過程も楽しむものですよ。プロデューサーさんは座らないんですか？席空いてますよ
Ｐ,いえ、俺はまだ若いつもりでいたいんで
ちひろ,どういう意味だってばよ
Ｐ,仕事はもっぱら車移動なんで電車って新鮮ですね
ちひろ,そうですか？私は結構利用していますけど。ああ、埼玉って線路通って無かったんでしたっけ
Ｐ,貴様はたった今全国７８億の埼玉県民を敵に回した
ちひろ,そんなにいねぇよ
Ｐ,失礼な。埼玉県にだって人身事故の多さが有名な東上線がありますよ！
ちひろ,何てところをアピールしてるんですか
Ｐ,ちなみに時々川越駅で鳩が乗車して川越市駅で降りていきます
ちひろ,飛べよ！。…あ、でも。子供の頃って電車って何故かテンション上がりましたよね
Ｐ,子供にとって乗り物系はアトラクション同然ですからねぇ。新幹線とか寝台列車とかデンライナーとかロコモライザーとか
ちひろ,どんな子供時代なんですか
Ｐ,お、もうすぐ着きますよ。今日は黄緑色じゃないんですからはぐれないでくださいね
ちひろ,あれ、もしかして今日１日私がツッコミ担当？
Ｐ,おぉ…流石は巷で大人気のテーマパーク。サイボクハムとはレベルが違いますな
ちひろ,そこはテーマパーク扱いで良いんですか？
Ｐ,えっ？時子を連れて行った時はめっちゃ目を輝かせてましたけど
ちひろ,くっ、見てみたい。入場口でチケットとフリーパスを交換出来るみたいですね。行きましょう
Ｐ,仕事では幾らでもこの手の場所に来ますけどプライベートでは随分久しぶりですわ
ちひろ,私もこういった所に来るのは凄く久しぶりですよ
受付？,チケットを拝見致しますー
Ｐ,はい、大人２名
受付？,確かにー。それではこちらがフリーパスになりましてー
Ｐ,どうもありがとう。はい、ちひろさんの分です
ちひろ,あ、はい。どうも
受付？,ごゆっくりお楽しみくださいなのでー
Ｐ,さてと、まずはパンフレット貰って来ましょうか。地図が無いと何処に何があるやら
ちひろ,…何か違和感を覚えたのは私だけでしょうか？
Ｐ,えっと、パンフはどこだパンフ…
ちひろ,ちょっとプロデューサーさーん！こっちにありますから！そっちは出口ですよーもう帰る気かおーい！。あ、見てくださいプロデューサーさん。アニマルふれあいコーナーがありますよ
Ｐ,お、動物好きな私可愛いアピールですか？
ちひろ,モバコインにしてやろうか
Ｐ,ハハッ、ガチで目が怖ぇ。でも普段事務所でもアニマル成分接種してるじゃないですか。アッキーとかウサ子とか卯月とか
ちひろ,アッキーはもはや動物とは思えないですよ。もうただの同僚じゃないですか
Ｐ,タイムカードも社員証もデスクもありますしね、アッキー
ちひろ,後は無機物とバーサーカーですし。癒されたいんですよー私だって。同僚の社畜は優しくないですしー
Ｐ,はいはい。それじゃ行きましょうか
ちひろ,優しくないのは否定しないんですね。わわっ、みんな凄く人懐っこいですよ！ほらほら、膝に乗ってきました！
Ｐ,モガモガモガモガ
ちひろ,わぁ…フカフカしてる。凄いっ、レノア使ってます？
Ｐ,モガガガガガガ
ちひろ,いいなぁ。こういうところに来るとペット欲しくなりますよねぇ。仕事が仕事だけに飼ってもちゃんと飼育出来るか不安ですけど
Ｐ,モガモガモガモガモガガガガ
ちひろ,あー、でもハムスターとかなら大丈夫でしょうか？ねぇプロデューサーさん。…あれ、プロデューサーさん？。あれぇー？さっきまで後ろにいたのに…お花でも摘みに行ったのかしら
Ｐ,フゴフゴフゴフゴフゴ！。ペッ、ペッ！口の中にまで入ってきやがったアイツら
ちひろ,完全に埋もれてましたね。まさか背後の巨大な毛玉がプロデューサーさんだったとは
Ｐ,最初は１匹２匹乗ってきて微笑ましいなぁ、と思ってましたけど次第に１０匹２０匹７０匹ってなってきた時はもう只のホラーでしたわ
ちひろ,体から美味しそうな匂いでも出してるんじゃないですか？
Ｐ,えっ？嘘
清掃員？,…うん、大丈夫。まぁ悪くないかな
Ｐ,あ、それはどうも
清掃員？,さぁ、残していこうか。私たちの足跡
Ｐ,だ、そうですけど。俺臭います？
ちひろ,…胡散臭さはしますね。うわぁ…！
Ｐ,デッカい観覧車が見えるからとりあえず来てみましたけど、まんま遊園地ですな
ちひろ,凄いですね！あ、ほら見てください！ジェットコースターまでありますよ！
Ｐ,乗ってみます？
ちひろ,はいっ！
Ｐ,珍しくはしゃいでいる緑のアシスタントかわ……可愛くはないな
ちひろ,すいませんでしたねー。どうせ可愛げのない守銭奴ですよーだ
Ｐ,こやつ、直接脳内に…！
こずえ,おなかすいたのー
Ｐ,混ざるな
係員？,それではー、しっかりとベルトを装着してくださいー
Ｐ,こんなに人が沢山いるのにあまり待たずに乗れましたね
ちひろ,え、ええ…あの、係員さんに凄く見覚えがあるんですが…
係員？,ではでは発進しますのでー。良い旅をー
Ｐ,命燃やすぜー
ちひろ,縁起でもない！。あー、面白怖かったですね！
Ｐ,オェッ…た、楽しんで貰えて何よりです…
ちひろ,プロデューサーさん、ああいう絶叫系って苦手でしたっけ？
Ｐ,いえ、別にそういう訳では…ちょっと恐怖で寒気と吐き気と頭痛と腰痛と目の疲れが出てるだけで…
ちひろ,それは苦手って言いません？ああもう。あっちのベンチで少し休みましょう
Ｐ,面目ない…。…ふひぃ
ちひろ,フラフラじゃないですか。少し横になります？
Ｐ,横って…
ちひろ,私なんかの膝で良ければ。はい、どうぞ？
Ｐ,回復しました。さ、次はどこに行きます？
ちひろ,どういう事だってばよ
ゾンビ,ウォォォアアア！！
ちひろ,ひゃああっ！
ミイラ,グォオオオッ！！
Ｐ,にゃーっ！
ジェイ○ン,金曜日はまだかー！
ちひろ,きゃーきゃー！
貞○,ビデオ観ろよぉぉぉ！
Ｐ,ＴＶドラマ版が一番怖かったです！
ゴースト,魂は永遠に不滅だ！
ちひろ,１年間お疲れ様でした！
小梅,…の、呪ってやるぞぉ…
Ｐ,うわぁ！何かに首噛まれた！
ちひろ,はひー、はひー……よ、予想してたよりずっと怖かったですね…！
Ｐ,最近のお化け屋敷ってレベル高いんですね…日本人の作るホラーってトラウマ製造機ですもんね…
ちひろ,ちょ、ちょっと、どこかで一休みしましょうか…
Ｐ,そうですね…丁度そろそろ昼時ですし、どこかで何か食べましょうかね
ちひろ,あ、それでしたら…
Ｐ,？
ちひろ,丁度良く公園エリアがありましたね
Ｐ,ですね。おー、家族連ればっかり
ちひろ,微笑ましいですねぇ。あ、犬とフリスビーしてる人がいますよ
Ｐ,本当だ、どう見ても聖來と紗理奈だけど気のせいですね
ちひろ,さてと。それじゃあこの辺でいいですかね。ビニールシート広げますからちょつと手伝ってくださいプロデューサーさん
Ｐ,えっ？あ、はい
ちひろ,風に飛ばされないように、四隅に靴を置いてっと
Ｐ,何やら荷物持ってるなぁ、と思ってましたけど…
ちひろ,ふふーん、どうです？お弁当持参なんて女子力高いでしょう？
Ｐ,そうですね。じゃあ俺自分の分買ってきますね
ちひろ,お前の分もあるよ
Ｐ,…
ちひろ,何ですか、そのちょっと何言ってるのか分からないんですけど
Ｐ,ちょっと何言ってるのか分からないんですけど
ちひろ,口に出しやがった。いいから座ってください。ほらほら
Ｐ,はぁ…あ、じゃあせめて飲み物買ってきますね
ちひろ,それもありますから
Ｐ,凄い。まるで女子みたい
ちひろ,私を一体何だと……いいです言わなくて
Ｐ,明日は台風かなぁ…。おお、バスケットの中にサンドイッチなんてマンガでしか見たこと無かった…
ちひろ,こっちのタッパーにはオカズが入ってるんですよ。ほらほら、唐揚げも手作りなんですからね
Ｐ,うわ、タコさんウィンナーだ！
ちひろ,プロデューサーさんが作るタコさんウインナーって、リアルタコ造形ですもんね
Ｐ,凄い…もしかしてちひろさんって女性なんですか！？
ちひろ,罪を数えろ！
Ｐ,なすかっ！
ちひろ,全くもう、全くもう！
Ｐ,痛た…まぁ冗談はさておき、本当に美味しそうですね
ちひろ,プロデューサーさんのお口に合えば良いんですけど
Ｐ,何言ってんですか。こんな貧乏舌に向かって
ちひろ,遠月第一席レベルの料理スキル持ちが何言ってんだ
Ｐ,うっわ、甘い卵焼きだ！
ちひろ,あ、しょっぱい派でしたっけ？
Ｐ,甘口派です！
ちひろ,ふふ、なら良かったです
Ｐ,ポテトサラダも手作りなんですね…あ、マヨネーズが程よい感じでいいですね。この飾りのトマトも色合い良いし
ちひろ,飾りじゃないからちゃんと食べてください
Ｐ,ヒンナヒンナ。けふっ…、ご馳走様でした
ちひろ,ご馳走しました。はい、あったかいお茶どうぞ
Ｐ,はぁ、あったかいお茶どうも。熱いよっ!
ちひろ,猫舌でしたっけ
Ｐ,ふー、ふーっ。…さて、この後はどうします？
ちひろ,そうですねぇ…他にも色々あるみたいですね。博物館に水族館、動物園に映画館…本当に何でもありますね、ここ
Ｐ,あ、ほら見てくださいプールもありますよ。しかも温水
ちひろ,あらヤタこの人。私の水着姿目当てですか？
Ｐ,は？
ちひろ,心の底から理解できないって顔しやがったよコイツ
Ｐ,いやいや、千川の水着姿って需要あるんですか？
ちひろ,お前以外にはあるよ
Ｐ,とりあえず水族館に行ってみましょうか。ここから一番近いし
ちひろ,そうですね。プロデューサーさん沈めたいと思ったところですし
Ｐ,やめて。流石に水中では１０分ぐらいしか持たない
ちひろ,それ普通に人類の限界超えてません？
受け付け係？,はい、フリーパス拝見れす～。道順の立て札通りにお進みくださいれす～
ちひろ,なんだか、ちょいちょい見覚えのある顔がある気がするんですが
Ｐ,気のせいじゃないですか？あ、見てくださいちひろさん。スベスベマンジュウガニですよ
ちひろ,館内入っていきなりソレってどうなんですかね。凄かったですね！あのイワシの群れっ、ジンベイザメ！水族館なんて子供の頃以来ですけど最近はこんなになってるんですね！
Ｐ,イルカショーも大迫力でしたしね。こういう所って何歳になっても楽しめますよねぇ
ちひろ,次はどこを回ります？ここからなら動物園エリアが近いですけど
Ｐ,じゃあそっちに行きますか
カワウソ,ほな行こかー
Ｐ,君は自分の居場所に戻りなさい。おお、アニマルまみれだ
ちひろ,動物園ですからね。あ、見てくださいハシビロコウですよ。うわ、生で見るとまた凄い目力ですね
Ｐ,微動だにしないからい本物か置物か若干判断に困りますよね
ちひろ,あっちにライオンいますよライオン！
Ｐ,おはようからおやすみまでですね
ライオン,お、デートかなお２人さん
Ｐ,いえいえ、同僚と遊びに来てるだけです
チーター,ゆっくり楽しんでいってくださいね。あ、吠えたりしたほうが盛り上がりますか？
Ｐ,ああ、お気遣いなく。いつも通りで結構ですから
ちひろ,プロデューサーさんプロデューサーさん！こっち来てくださいエミューがいますよ！キーウィやウォンバットも！
アルパカ,お連れさんチョイスが渋いね
Ｐ,そんなはしゃがなくても動物たちは逃げませんよ逃げられませんよ！あ、すいません。お仕事頑張ってください
カンガルー,ごゆっくりー
ちひろ,動物園って時間帯やタイミングによっては動物全員寝落ちしてるって最悪のパターンもあるんですよねぇ
Ｐ,ここの動物たちはサービス精神というかプロ意識が高いですね、そういう意味では
ちひろ,本当ですよ。ライオンは自分で火の輪用意し出しましたし、カンガルーはやたらお腹の袋の子供をアピールしてきますし
Ｐ,熊に至ってはハチの巣から蜜を出す作業工程を懇切丁寧に見せてくれましたしね
ちひろ,あ、ここで動物園ゾーンは終わりみたいですよ。どうしましょう、映画でも観ますか？
Ｐ,映画なら映画館に行きますし…折角こういうところに来たんですから。あ、向こうにアスレチックがありますよ
ちひろ,私、今日こういう恰好なんですけど
Ｐ,えっ？あ、そう言えば珍しくオシャレしてますよね
ちひろ,一応休日の外出ですからねー。プロデューサーさんは滅茶苦茶ラフですよね。まるでコンビニにでも行くみたいなノリの
Ｐ,あちこち歩くだろうから動きやすい恰好を選んだだけなんですけど…何か怒ってます？
ちひろ,いえいえ？別にそんな事は全くありませんけど
Ｐ,なら良いんですけど
ちひろ,ふーんだ
Ｐ,おっ、ここはショッピングモールみたいですね
ちひろ,本当に何でもありますねココ……やっぱりフリーパス売った方が良かったかしら
Ｐ,こらこら。丁度良いし常務のお土産買っていきましょうよ。えーっと、リクエスト何でしたっけ
ちひろ,チョコチップクッキーですよ。あの人硬そうに見えて意外と緩いですよねぇ
Ｐ,ポエマーなのが玉に瑕ですけど悪い人じゃないですよ。お、あったあった。すいませーん、このクッキー下さーい
店員？,はいー。１７５０円になりましてー
Ｐ,あ、カードで
店員？,はいなー。こちらレシートになりますのでー。ありがとうございますー
Ｐ,よし、これで常務へのお土産は完璧ですね
ちひろ,…
Ｐ,どうしました？鳩がオーブリング潜ったな顔して
ちひろ,いえ、もうツッコむとキリが無いなぁ、と思いまして…
Ｐ,？
ちひろ,そう言えばアイドルの娘たちへのお土産はどうしましょう？
Ｐ,うーん、流石にあの人数分のお土産は俺のサイフが数回消し飛ぶ金額になりそうですが
ちひろ,なら、いっそココに遊びに来た事そのもの内緒にしちゃいます？
Ｐ,おぉ、何てあくどい事を
ちひろ,私もプロデューサーさんも偶然、たまたま今日はオフが被っただけって名目ですし。遊びに来ていることは常務しか知りませんし。あの人がペラペラと喋るとは思えませんし。…まあ、多分もうバレてるでしょうからそんな事したら私達揃ってギルティされちゃうでしょうけど
Ｐ,え、バレてるんですか？
ちひろ,おい本気で気づいてないのかアンタ
店員？,ほー…
Ｐ,ん、もうこんな時間ですね
ちひろ,本当。そう言えばそろそろお腹が空きましたね
Ｐ,まさかこんな長時間買い物に付き合わされるとは…しかも全部ちひろさんの買い物だし
ちひろ,女性の買い物は大人しく待つのがデートの流儀ですよ？
Ｐ,デートじゃないのでその流儀は当て嵌まりません
ちひろ,減らず口が止まりませんね
Ｐ,お互い様です
ちひろ,まぁ、それはともかくどこかで夕食にしましょうか
Ｐ,そうですね。このままだとこのクッキー食べちゃいそうです
ちひろ,やめてください。常務泣いちゃいます。良かったですね、レストラン空いていて
Ｐ,しかもこんな窓際で景色の良い席。日頃の行いの賜物ですね
ちひろ,ふふん、感謝してくださいね
Ｐ,アンタ日頃から搾取の繰り返しじゃねぇか
ちひろ,あ、見てください。あっちでバレード始まりましたよ
Ｐ,スルーですか
ウェイトレス？,ご注文はお決まりですかぁ？
Ｐ,ちひろさん決まりました？
ちひろ,…あ、はい。それじゃあ私はこのハンバーグセットを。ライスとコーヒーで
Ｐ,俺はビーフシチューセット。パンとコーラでお願いします
ウェイトレス？,はぁい、畏まりました。少々お待ちくださいねぇ？
ちひろ,お願いしますねまゆちゃ……店員さん
Ｐ,あ、ポテト頼むの忘れてました
ちひろ,他に気が付くべき事は無いんですか！？
Ｐ,パレード凄いピカピカしてるな…ＬＥＤ何個使ってんだろ…なんぼやろ
ちひろ,私のハンバーグ…何か朱いものとか入ってませんように…！
ウェイトレス？,お待たせしました。ご注文の品になります
Ｐ,おお美味そう
ちひろ,ええ美味しそうですね。……よし、普通のハンバーグ
ウェイトレス？,もし宜しければご来店されたカップルの方に記念写真のサービスを実施していますが、如何でしょう？
Ｐ,ハハッ、カップルですって。折角ですし撮ってもらいます？
ちひろ,殴りたい、その楽観面。そうですね、じゃあ折角ですしお願いします
ウェイトレス？,では撮りますねぇ？はい、チーズ。現像した写真はお会計の際にお渡ししますねぇ。ごゆっくりどうぞ
ちひろ,シャッター押す瞬間思いっきり床に向けましたね
Ｐ,シチュー熱っ！。今日は楽しかったですね
ちひろ,そうですか？そう言って貰えると誘った甲斐もあったというものです。ま、お相手が私なんぞで申し訳ありませんでしたけど
Ｐ,いやいや、ちひろさんとだからこんなに気楽に楽しめるんですけど
ちひろ,けほっ、ゴホッ…！
Ｐ,い、いきなりどうしたんすか！喉詰まった！？
ちひろ,い、いきなり何を素っ頓狂な事を…げほっ
Ｐ,いや、だってちひろさん相手ならあんまり気を使わなくていいし
ちひろ,待てコラ
Ｐ,金にがめついところがアレだとは思いますけど、これでも一応ちひろさんの事は良き同僚兼友人だと思っていますから
ちひろ,…どうしたんですか。突然そんな話されるとまるで死亡フラグみたいに思えるんですけど
Ｐ,んー、いえ。何となく。良い機会ですし一度ぐらいちゃんと言っておこうとは前から思っていましたし
ちひろ,なら日頃からもう少し優しくしてくださいよ
Ｐ,ブーメラン発言って知ってるかな
ちひろ,まあ、取りあえず素直にありがとうございます。と言っておきましょうか
Ｐ,別に何の含みも企みもありませんよ。あ、下心もありませんからご安心を
ちひろ,期待も要求もしませんよー。そうですよね。言っておきたい事は相手が傍にいないと言えなくなりますもんねぇ
Ｐ,ソウデスネ
ちひろ,結局ろくに何も伝えられず担当外されてそれっきり、なんて人もいますもんね、世の中
Ｐ,お前、人のトラウマを、面と向かって
ちひろ,普段の仕返しです
Ｐ,おなかいたい
ちひろ,…あんまりこのネタでイジるとプロデューサーさんの胃がレンコンみたいになっちゃいますね。はいはい言いすぎましたごめんなさいプロデューサーさん。はいハンバーグ一口あげますから。ねっ？
Ｐ,…ソースたっぷりでお願いします
ちひろ,ふぅ、お腹いっぱいになっちゃいました
Ｐ,美味かったですね
ちひろ,本当に良いんですか？奢って貰っちゃって
Ｐ,いいんですよ。昼のお弁当のお返しということで
ちひろ,ふふ、ではありがたくご馳走様です
Ｐ,もう夜ですね。おお、イルミネーション凄っ
ちひろ,綺麗ですね…少し歩きましょうか
Ｐ,ええ。見事にカップルだらけですね。爆発しろとは言いませんけど爆発しろ
ちひろ,きっと周りからは私たちもそのうちの一組だと思われていますよ
Ｐ,ハハッ、手でも繋ぎますか？
ちひろ,それなら腕でも組みましょうか
Ｐ,…
ちひろ,…
Ｐ,やめておきましょう
ちひろ,そうですね
Ｐ,ちひろさんは今日どうでした？楽しんで貰えました？
ちひろ,ええ、どこかの誰かさんが憎まれ口をもう少し控えて下さったら、もっと快適でしたけど
Ｐ,ステージで時子があんずのうた
ちひろ,世界が数巡しても辿り着きそうにない光景ですね
Ｐ,いえ、この前居酒屋の帰りに寄ったカラオケで…あ、ちひろさんほらほら。広場もライトアップされてますよ
ちひろ,ちょっと待って。物凄く続ぎが気になるパワーワードを投げっぱなしにしないで
Ｐ,帰りの電車もそんなに混まなくて良かったですね
ちひろ,運が良かったですね。やっぱり日頃の行いは大事ですねえ
Ｐ,妖怪スタドリ押し売り魔の妖力ですか
ちひろ,来月からお給料スタドリで支給しましょうか
Ｐ,やめろぉ！公共料金払えねぇ！
ちひろ,冗談ですよ。流石にエナドリぐらい混ぜてあげますって
Ｐ,解決してないでごぜーますよ。と、事務所に到着しましたね。流石にこの時間じゃほとんど電気消えてますけど
ちひろ,こんな遅くまで残業するのはプロデューサーさんぐらいですよ
Ｐ,失礼な。最近は残業してませんよ。ちゃんとそのまま事務所で寝泊まりしてますから
ちひろ,そんなことばっかりしてるとまたワームホールで連れ去られちゃいますよ？
Ｐ,善処します。…で、どうします？何ならトライドロンでお送りしますけど
ちひろ,あら、送り狼ですか？
Ｐ,あははっ、狼にも餌を選ぶ権利はありますよ
ちひろ,セイハーッ！
Ｐ,がいむっ！？
ちひろ,お気持ちだけで結構ですよ。ちゃんと一人で帰れますから
Ｐ,ごほっ…、こ、この腕力なら変質者の方が危険ですね…
ちひろ,そういう事です。それじゃ、今日のところはここで解散にしましょうか
Ｐ,ゲホゲホ…ちょ、ちょっと待って…鳩尾が痛い…
ちひろ,自業自得ですよーだ
Ｐ,くそぅ、仮にも一応女性だから送っていくのが紳士の国たる埼玉の民の責務だと思ったのに…
ちひろ,セカンドブリット、いっときます？
Ｐ,やめてください、しんでしまいます
ちひろ,さてと。それじゃあ帰りますね。また明日、事務所で
Ｐ,はい、また明日
ちひろ,プロデューサーさん
Ｐ,はい？
ちひろ,今日は本当に楽しかったです。おやすみなさい。また今度、お願いしますね？
Ｐ,あ、はい。おやすみなさい。…。…また今度、か。……。こちらこそ楽しかったですよ
凛,ふーーーん
まふ,うふっ…
芳乃,ほーっ
Ｐ,うわっ！どうした珍しいトリオだけど
凛,あ、プロデューサー奇遇だね
まゆ,こんばんわぁ…偶然ですねぇ
芳乃,これはまた異な巡り合わせでしてー
Ｐ,揃いも揃って人の背後でしゃがみこんで何してんの…なんかその目怖いんですけど。見上げられるの怖いんですけど
凛,オフだったんだねプロデューサー。どこかに遊びにいってたんだね。楽しかった？
まゆ,今度は、まゆの事も誘ってくださいねぇ…？
芳乃,クッキー美味しいのでー
Ｐ,えっ？あ、うん…ちょっと出掛けてたけど…だから怖い怖い。匂いを嗅ぐな手を縛るな人の土産を当たり前に食べるな！。え、どこ連れてくの？俺帰りたいんだけどっ！録画したアマゾンズ観たいんだけど！未来編絶望編も観たいんだけどぉ！！。いや、そっちは倉庫…滅多に使われない事務所の片隅の倉庫なんですけど！Ｐは静かに暮らしたいんですけど！？
ちひろ,…今頃プロデューサーさんどうなっちゃってるでしょうねぇ…。ま、朴念仁は時々痛い目見ないと分かってくれませんからね。さぁて。久しぶりにリフレッシュしたし。また明日から頑張って稼ぎましょうかね。えっ？
卯月,そんな綺麗なオチで終われると思ったら大間違いです！
ちひろ,ファッ！？
ありす,千枝さん、こちら容疑者確保しました。これよりそちらに連行します
文香,貴女に、明日は来ない
ちひろ,ちょ、ちょっと待って！せめて弁明を！弁護士をっ！。ま、待って！お願い待って！せめて、せめて祈る時間だけでも…！
卯月,さぁ、死神のパーティータイムです！
アッキー,終わりだ
常務,お土産はまだなのか…
次は多分ありすか時子ＳＳだと思います。,ネタがくどくて家系ラーメンみたいな作風
