村上巴,ひ、ヒラヒラしてて落ち着かんの……
友紀,真奈美さん、ビールでいいよね？へーいっ、びあー・わんもあーっ！！
比奈,ワンモアじゃおかわりになるっスよ
巴,友紀さん、姉御もこの後仕事あるん分かっとるのかのぅ
真奈美,全く……。ほら、酒は一旦やめだ
友紀,あーっ、何でですかぁー！？
真奈美,昼間から酒浸りだなんて、パパラッチにでも遭ったらどうするんだ
友紀,えーっ？でも、ハワイじゃキャッツ中継も見れないし、あたしの楽しみが……
真奈美,……これじゃ今日は駄目そうだな。さあ、ホテルに帰ろう
友紀,やだやだ、これじゃまだ足りないよーっ！！
巴,……友紀さん、二十歳じゃったかの
比奈,言っちゃ駄目っスよ、巴ちゃん
真奈美,仕方ない……。友紀君、ちょっとこっちに
友紀,んー？なになに、真奈美さーん。ふぎゃっ
真奈美,やれやれ……私だって、手荒な真似はしたくないんだが
巴,しゅ、手刀で気絶させよった……
比奈,私じゃなきゃ見逃しちゃうっスね
真奈美,はぁ、もったいないな……。どうしてもう一杯頼んだんだ
比奈,えっ、真奈美さん、これから撮影じゃ
巴,姉御！そげなことしたらあかんじゃろ！
真奈美,……確かに酒を飲んでから仕事に入るのは礼儀としてなっちゃいないな
巴,そしたら……
真奈美,だが、このままにしておくわけにもいかないだろう？店にも迷惑だ
巴,姉御……
真奈美,それにこれくらい、酔いもしないさ
巴,かっこええのぅ……
比奈,か、かっこいいタｒ……言わないっスよ？
真奈美,よいしょ、っと……。比奈君、美世君を頼む
比奈,は、はいっス！でも、千秋ちゃんは
真奈美,なぁに、一人も二人も変わらないさ。よっと
巴,おお……二人とも抱えよった……。木場の姉御！流石じゃ！
比奈,そこにシビれるあこがれるっス！
真奈美,うむ
比奈,大丈夫っスかね、三人とも
真奈美,ああ、清良君達に頼んでおいた。人手も足りていたし、大丈夫だろう
巴,しかし、ああはなりとうないもんじゃのう
比奈,私もあんな風にはなりたくないっスね……
真奈美,頼むぞ。彼女達の世話を何度させられたことか……
比奈,き、気を付けるっス……ん、あれって
真奈美,む……。何もなければいいのだが……、どれ。様子を見てくるか
巴,あ、姉御っ！
比奈,巴ちゃん、ついて行くっスよ！
小関麗奈,アーッハッハッハ！我ながら素晴らしい作戦だわ！
巴,ほう、どんなんかちぃと言うてみぃ
麗奈,フンッ！日焼け止めクリームの容器に洗顔クリームを詰め替えてやったわ！他にも……
真奈美,他にも？
麗奈,他にも……って、アンタ達は……
真奈美,やあ、邪魔して悪かったね
麗奈,
比奈,真奈美さんって、時々すっごく怖いっスね
巴,うちの若いのも姉御を見習ってほしいのぅ
麗奈,ええ、そうよ！Ｐに新しいスポーツドリンクと言ってミネラルウォーターを渡したり……
真奈美,ふむ
麗奈,イブの着替え中に水着をコンブと取り替えたわよ！
比奈,それ以上いけないっス
真奈美,なるほどね。わかったよ
巴,姉御、どうするんじゃ？
真奈美,こうするのさ
麗奈,痛っ！？なっ、このレイナサマに向かってデコピンするなんて――
真奈美,これくらいで済んでよかったじゃないか
巴,投げられて組み伏せられんかっただけ、ましじゃな
比奈,真奈美さん、まるでどこぞのコックや伝説の傭兵みたいっス
麗奈,えっ
真奈美,そういう訳だ。とにかく、その日焼け止めは――
？？,ふふん！カワイイボクともあろう者が、日焼け止めを忘れてしまいました！。こんなにカワイイのにドジっ子でもあるなんて、なんてボクは罪なんでしょう！
真奈美,……幸子君？
幸子,ああっ、麗奈さん！調度良く日焼け止めを持っているじゃありませんか！
麗奈,えっ、ちょ、これは……
幸子,……そんなに大事な品でしたか？それでしたらさすがのボクでも……
麗奈,いや、そういうのじゃないけど……
幸子,ならボクに貸してください！
麗奈,あっ
比奈,あの日焼け止め、中身は洗顔クリームなんスよね？
巴,この日差しじゃけぇ、夕方には真っ黒になるのぉ
幸子,ふふん、そろそろボクはお仕事なので！ありがとうございました、麗奈さんっ！
麗奈,あ、ちょっと待って……
真奈美,ほら、幸子君が行ってしまうぞ？
巴,どうするんじゃ？
麗奈,ううっ……い、行くわよ！行けばいいんでしょう！？。幸子ーっ！ま、待ちなさーいっ！！
比奈,おおっ、友情っスねー
巴,木場の姉御！流石じゃ！
真奈美,うむ
比奈,友情……やっぱ、若さっスかねぇ
？？,若さ、若さってなんだ？
比奈,振り向かないことっス
真奈美,ふむ……何か、予感がするね
比奈,もうここまで来たら、真奈美さんが予知能力とか持ってても驚かないっス
巴,姉御じゃけぇのぅ
真奈美,ふふっ、流石の私もそんな力は……おや？
比奈,その時不思議なことが起こったっス
巴,姉御じゃけぇのぅ
真奈美,この声は……行くぞ！
巴,はいっ、姉御！
比奈,はいっス
？？,むむむっ、テレポーテーションの他に予知能力までも！流石は真奈美さんですねっ！。ハワイでこんなに事件が起こるのも、ゴルゴムの仕業だな！？ゆるさんっ！！
比奈,誰っスか今の
真奈美,……やはりか、早苗さん
比奈,あ、あいさん大丈夫でスか！？
東郷あい,う……真奈美さんに、比奈君、巴君か……
片桐早苗,おやおやおやーっ！？真奈美ちゃんに比奈ちゃん、飲むよねーっ？
巴,ウチの事務所は、どうしてこんな人が多いんかのぅ
真奈美,全くだよ。頭が痛いね……
あい,私も……頭が痛いよ……うっ
比奈,あいさん、意味が違うっス
早苗,まったくもー、だらしないぞあいちゃん！これくらいでー
あい,これくらい……そうか、まだ足りなかったのか……？
比奈,ああもうっ！あいさん、早苗さんの言うこと聞いちゃ駄目っス！
真奈美,そうだな。ここまで酔ってしまっては仕方ない。お姉さんに、任せたまえ
比奈,まさに姉御っスね
巴,じゃろ？
比奈,姉御違いっスけど
早苗,おおっ、やるかい、真奈美ちゃん！
真奈美,ははは、お手柔らかに頼むよ早苗さん。私は有段者じゃないからね
巴,ま、待つんじゃ姉御！ここで暴れちゃいかんじゃろ！
真奈美,いやいや、巴君。何も暴力で解決しようとは言っていないよ
比奈,じゃあ、どうするんスか？
真奈美,なぁに、簡単さ。ちょっと待っててもらおう。――――
店員,――！――♪
早苗,なになにー、つまみでも注文したのー？
あい,……真奈美さん……！？
比奈,へっ？な、何スか？
巴,あいさん、姉御は何を頼んだんじゃ？
真奈美,さあ、早苗さん。ビールにも飽きただろう？ほら
早苗,えー、これだけしか入ってないよーっ？
真奈美,まあまあ、いいじゃないか。早苗さん、私のおごりでいいから
早苗,本当ー？……これ、なんてお酒なの……。！？
真奈美,……ふふっ、どうしたんだい早苗さん？
早苗,真奈美ちゃん……こんなの飲んでるの？
真奈美,まさか早苗さん……私の酒は飲めないのかな？
早苗,そ、そんなわけ……
真奈美,ふふっ、では乾杯
早苗,ふ、ふふっ、おいしいじゃない……真奈美ちゃ……、ん……
真奈美,おやおや、ちょっとシゲキが強すぎたようだな。おっと、早苗さん？
早苗,……んー……
真奈美,こんなところで寝てしまうとは……さあ、帰りますよ
あい,真奈美さん……まるで鬼や、悪魔だな……
比奈,私から見たら正義の味方っスけどね。デビルマンとかみたいな
巴,今度実家に来てもらおうかの。うちの若いのを叩きなおしてほしいわ
早苗,……zzz……ぐがー……
真奈美,さすがにあれだけ飲んだんだ、しばらくは起きまい
比奈,……はい、……了解っス。では。……真奈美さん、連絡ついたっスよ
あい,ああ……ありがとう……うっ
巴,あいさん、大丈夫けぇ？
あい,なに……ひな祭りほどではないさ……みんな、すまないね
真奈美,いいんだ、あんな状況を見捨ててはおけないよ
比奈,普段は早苗さんがセーフティーなんスけどね……
巴,瑞樹さんが言うとったのは本当じゃったか……
真奈美,あまり早苗さんを責めないでやってくれ。飲んでいない時は、皆のために気を利かせてくれているからね
比奈,たまにハメを外さないと、爆発しちゃうっスからね
巴,なるほど……かっこええのぅ！。木場の姉御！流石じゃ！
比奈,巴ちゃん！早苗さん起こしちゃうっスよ！
真奈美,うむ
巴,……すまんの
あい,こうして背負われて寝てたら……普通の女性なんだがな……
早苗,んー……
真奈美,あい君、あまり早苗さんをつつかないでくれ。動かれると背負いづらいよ
あい,ふふっ……失礼……
真奈美,ふぅ。もうこれ以上は御免だぞ
比奈,……あいさんから聞いたっスよ。一番度数の高いお酒を頼んだって
巴,あ、姉御！？
真奈美,ははは、気にすることじゃあないさ。……早苗さんはああでもしないと、ね
巴,それで……姉御は大丈夫なんか？これから撮影もあるんに……
真奈美,心配無用だ。これから撮影だって控えているからね、休んでなんか――
比奈,真奈美さん！？
巴,あっ、姉御！？
真奈美,――おや？
？？,大丈夫ですか、真奈美さん
真奈美,これはこれは……Ｐか。心憎い登場だな
Ｐ,探しましたよ。清良さん達から電話も入りました
巴,Ｐ、真奈美さんは悪うないんじゃ、ただ
Ｐ,分かってるよ、巴。怒りにきたんじゃない……さて、そろそろ撮影の時間だが
比奈,へ？……あー、本当っスね。でも……
Ｐ,すまんが比奈、巴と二人で行ってきてくれ
比奈,えっ！？
真奈美,なっ、Ｐ……何を言っている？
Ｐ,こんな状態の真奈美さんを、撮影には行かせられないよ
比奈,……はいっス！
巴,おう！早う終わらせてくるけん、姉御は休んでてくだせえ
真奈美,そんな……。心配ない……私は大丈夫だ、Ｐ。……仕事に
比奈,駄目っスよ、真奈美さん。休んでなきゃあ
Ｐ,スタッフには連絡しました。真奈美さんだけ夕方からにしてもらったので、それまで休んでてください
真奈美,むぅ……仕方ない、のか
比奈,そうっスよ。ここは二人で頑張りまスから！
真奈美,そうか……ではお言葉に甘えるとしよう
巴,姉御、ここはウチらに任せてくだせえ！
真奈美,……ふふっ。頼れるようになったな。村上のお嬢、流石だな
巴,姉御……！。はいっ！
比奈,それじゃ、行ってくるっス！
巴,Ｐ、期待して待っとれや！
Ｐ,おう、行ってらっしゃい
真奈美,ふふっ……たまにはこういうのもいいな……
Ｐ,……真奈美さん？
真奈美,いつも、私は頼られる側の人間だからね……
Ｐ,そうですね。……たまには、真奈美さんだって誰かを頼ったり、甘えていいんですよ
真奈美,……そうか。……私も、酔いが回ってきたようだな
Ｐ,真奈美さん？
真奈美,Ｐ、ちょっと膝を貸してくれ。……私も、もっと甘えてみることにするよ
Ｐ,……はい、わかりました。どうぞ
真奈美,ふふっ……時間になったら、起こして、くれ……
比奈,お疲れ様っスー
巴,姉御ーっ、撮影終わらしてきたけん……おぉ
Ｐ,おう、お疲れさん。静かにな
真奈美,……すぅ……
比奈,……巴ちゃん、遊びに行こうっス
巴,おう。Ｐ、ウチらは遊んでくるけん、姉御んこと頼むぞ
Ｐ,おいおい、気を使わなくても……まあ、いいか。時間だけ気をつけろよー
比奈,はいっス！
巴,おう！。……ウチが今日頑張れたんは、姉御のおかげじゃ。流石じゃ、木場の姉御
Ｐ,へぇ……凄いじゃないですか、真奈美さん。巴達に尊敬されて
真奈美,……ふふっ……たまには、悪くは……
Ｐ,……まだ時間はありますから、ゆっくり休んでくださいね
愛海,――はっ！ここはどこ！？おっぱいはどこっ！？
美羽,あっ、愛海ちゃん！？ようやく目が覚めたんだね……
柳清良,あら、美羽ちゃんどうしたの……あらあら
愛海,はっ……おっぱいが、おっぱいが私を呼んでいるぅぅぅぅぅぅっ！！
美羽,ああっ、ま、待って愛海ちゃん！清良さん、どうしましょう！？
清良,追いかけましょう。何か起こっても困りますから
愛海,おっぱい、おっぱいはどこだぁぁぁぁぁ！！
美羽,わわっ、愛海ちゃん、凄い速さですっ！！
清良,ええ、たまにああなるの。離脱症状かしらね
愛海,こうなったら……おっぱいレーダァーッ！！
美羽,何なんですか、その能力は！？
清良,……もしかして、治療しすぎたのかしら？
愛海,……こっちかぁぁぁぁぁぁっ！！
美羽,あ、愛海ちゃん、待って、待ってーっ！！
清良,うふふ、まさかね。被害が出る前に捕まえましょうか
愛海,うおおおおおぉぉぉぉ！！おっぱいよ、あたしは帰ってきたぁぁぁぁっ！！
Ｐ,わっ、愛海！？
愛海,うひょひょぐへへおっぱいおっぱぁぁぁぁぁ――
真奈美,……うーん……
愛海,あっ
Ｐ,説明しよう！今、真奈美さんは寝返りを打って横向きとなった。腕を組みながら！
愛海,……い、
Ｐ,つまり、ルパンダイブした愛海のみぞおち辺りに、調度良く肘が置かれてしまったのである！
愛海,いやぁぁぁぁぁぁぁぁぁぁ！！。ｵｱﾌ
Ｐ,いったい何だったんだ……
真奈美,……ん……なんだ、Ｐ、もう時間か……？。だからって……そんな起こし方は少々大胆だぞ……ん？
愛海,
真奈美,……愛海君……？
Ｐ,ああ、気にしないでください。ほとんど自滅でした
美羽,……はっ！オアフ島でおあふ！
清良,美羽ちゃん、はやく愛海ちゃん連れて帰るわよ
美羽,ああっ、微妙でしたかぁ～！？
比奈,ビーチで泳いでから帰ってきてみたら……なんスか、これ
巴,寝ながらでも愛海を退治しよるたぁ……やっぱりかっこええのぅ！
比奈,……ふふっ、そうっスね！
巴,木場の姉御！流石じゃ！
比奈,流石は姉御、っスね！
真奈美,なんだかよくわからないが……。うむ。私に何でも任せたまえ
このSSは,真奈美さんだから仕方ない
