―――インターハイ3日目,宮守一回戦
豊音,あなたがエイスリンさんを道案内してくれたんですか？どうもありがとうございます……って。その、もしかしてもしかしたら、臨海の副将のメガン・ダヴァンさんですよね！？
ダヴァン,ええ、そうでスガ……
豊音,やっぱりー！こんな所で会えるなんて感激だよー！。あのあの、サインとか貰えますかっ！？
胡桃,ちょっと豊音、初対面なのにいきなり失礼でしょっ！
豊音,はわわっ……ごめんなさい、ちょっと私興奮しちゃって
ダヴァン,イエ、別に構いませンヨ。それに私なんかのサインで宜しければ幾らでも書きますけれドモ
豊音,本当ですかっ！それじゃあ豊音ちゃんへって書いてくれませんか？
塞,え、そのペンと色紙今どこから出したの！？
豊音,有名人がいた時にすぐサインが貰えるように常備しておいてあるんだー
ダヴァン,トヨネ、チャン、ヘ……ト。これで宜しいでスカ？
豊音,はいっ！ありがとうございます！大切にしますね！
トシ,いやぁ、エイスリンを連れてきてくれて本当にありがとう。監督の私からも礼を言うよ
ダヴァン,イエ、私は当然のことをしたマデ……ム？
トシ,おや、どうしたんだ……い？
ダヴァン,……アノ、ツカぬ事をお聞きしますけレド、ラーメンはお好きでスカ？
トシ,……成程、何か感じるものがあったと思ったらあんたもかい
ダヴァン,様々な堅さが楽しめる麺、飽きの来ない独特なテイスト……
トシ,幾多もの種類を誇るスープ、そしてラーメン本来の味を殺さないようにマッチさせたトッピング……。ラーメンとは！
ダヴァン,まさにムゲン！
トシ,フフ、あんた若いのに中々分かってるじゃないか
ダヴァン,こちらコソ、ここで同士と会えて恐悦デス
塞,えっと、何か通じ合ったっぽい？
豊音,完全に二人の世界に入ってるねー
白望,……………………ダル
ダヴァン,それではそろそろ失礼しまスネ。試合、頑張って下さイネ
塞,！え、もうこんな時間！。シロ、早く準備しないと先鋒戦始まっちゃうよ！
白望,動くのダルい………………
胡桃,いや、試合に出ないのは流石に不味いから！
トシ,こっちも長く引き留まらせちゃって悪いね。またいつかあんたとは話したいもんだ
エイスリン,……ダヴァン！
ダヴァン,何でスカ、エイスリン？
エイスリン,…………。ワタシタチ、シアイ、カチススム！。ジュンケッショウデタタカウ！ヤクソク！
ダヴァン,……ハイ、約束しまショウ。準決勝で会えるのを楽しみにしてマスネ
エイスリン,ウン！
豊音,次会う時は敵同士だけど、私達だって負けないよー！
ダヴァン,宮守女子高校……最初は臨海以上に奇抜なメンバーが揃ってると思ってましタガ。実際に会ってみると皆良い人たちばかりでしタネ、同好の士とも会えましタシ。エイスリンが日本語をもっと学びたいというのが分かる気がしマス。オゥ、そういえば私は偵察に来たんでシタ、すっかり忘れる所でシタ。……これは姫松・永水以外にもチェックする所が増えましタネ！
―――翌日・Bブロック2回戦,宮守側
まこ,お前さん、この次鋒戦で活躍できると思ったか？
エイスリン,！
まこ,残念じゃが、既に“結果”が決まっとる以上そいつは無理な相談じゃ
エイスリン,……ダメ、コノヒト、コワイ……
まこ,本筋で起こった結果を焼き直すのは無粋なことじゃけえ、ちーと能力を使わせてもらうわ。出血大サービスで、次鋒から大将まで纏めて吹っ飛ばしちゃるけえ安心せえよ。キングクリムゾン！
―――Bブロック2回戦,臨海側
実況,終了ーー！Bブロック2回戦、中堅戦が終了いたしました！。現在のトップは先鋒、次鋒と変わらず東東京代表・臨海女子！。しかし後半戦、有珠山がツモ和了りを繰り返し驚異的な追い上げを見せております！。前半戦開始時にあった3万点のリードも今や4千点！十分に逆転の可能性もあります！。臨海女子を追い詰める南北海道代表・有珠山高校！まさにダークホースと言えるでしょう！
解説,有珠山の中堅は前半戦こそ静かだったが、後半戦に入って調子を急に上げてきたな。いや……あれは調子を上げて貰ったと言うべきなのかね……
実況,調子を上げて貰った、と言いますと？
解説,後半戦の東1局、臨海の雀明華選手が和了しただろう。その時に歌を歌っていたのがどうも引っかかってな……。それがおそらく何かのトリガーになったと私は踏んでいる
実況,歌により他家の調子を上げる…そんなことが出来るんですか？
解説,流石に確信は持てないが、事実後半戦の有珠山は異常なまでの追い上げを見せている。実際にそんな効果があったとしても可笑しくはないさね
ネリー,ミョンファ、オイツカレソウ……ドウシタンダロ？
ハオ,明華先輩、調子悪そうには見えませんでしたけど……
智葉,……おい、ダヴァン
ダヴァン,どうしまシタ智葉サン？そんな怖い顔して
智葉,とぼけるんじゃない。明華に歌を教えたのはお前だな？
ダヴァン,アア、あの歌でスネ。試合中に歌うのは他家の迷惑かと思ってなるべく静かな歌にしましたケド。智葉サン、何か気になるところでもありましタカ？
智葉,……お前が配慮しようとしたのは分かる。確かにあの歌は静かだし、私もそんなに嫌いではない。ただ、どうして有珠山を相手にしているのに北の国からをチョイスしたんだ！。あの歌のせいで有珠山の調子が上がっただろうが！
ダヴァン,イエ、そんなこと言われても知りませンヨ！。北国の歌を歌うと北国の選手がパワーアップするのは予測できる訳がないでショウ！
智葉,とりあえず、練習後のミーティングで話すついでに、お前とは少し時間をとってよーく話し合いたい
ダヴァン,理不尽にも程がありマス！
智葉,……まあ、ともかく今うちのチームの流れは有珠山のせいで明らかに悪くなっている。だが、このまま臨海女子の尊厳が傷つけられっぱなしなのも癪だ。……もう一回、お前が3万点差まで突き放して来い
ダヴァン,随分と簡単に言ってくれまスネ……まあ私にも一応ですが責任と言うものはありまスシ。試される大地の人に、本当に試されるとはどういうことか教えてきまスヨ。生憎私はもう寒さには慣れてますカラ
智葉,…………そうか
ダヴァン,それにこれでチャラになるんなら楽な仕事デス
智葉,……ああ、悪いがその件については試合後にきっちり説教させてもらうから
ダヴァン,ホワッツ！？普通これで相殺されるんじゃないんデスカ！？
智葉,3万点差を付けるのはお前のノルマであって、明華に歌を教えた責任とは話が別だからな
ダヴァン,
ネリー,サトハ、キビシー！
ハオ,サトハ先輩、試合中はダヴァン先輩にすっごく厳しいですね……
ダヴァン,まったく、あの後1時間も説教に付き合わされるとは思いませんデシタ……。智葉サンの言うことも分かりマスし、私に非がありマスから何も言えませんケド。ともかくラーメンでも食べてリフレッシュしまショウカ……イタダキマス。……そう言えバ、。説教を喰らっていて結果が分からなかったのデスガ、宮守は勝ったのでショウカ。えーと、テレビテレビ…。……宮守の名前は…………残ってマセン、カ。……出来ることなら、闘ってみたかったデスネ
豊音,永水の皆さん、今日は水着選びに誘ってくれてありがとうだよー！
塞,こっちに来て遊ぶ計画とか立ててなかったから水着も持ってきてなかったからね……
小蒔,いいんですよ、こちらも皆さんの水着を選ぶのに楽しめましたし
初美,約一名はお子様用の水着みたいなものでしたけどねー
胡桃,そ、そっちだって似たような体型してる癖に！。しかも永水の人たちって皆スタイルいいから、私よりも貧相なのが目立ってるし！
初美,んなっ……人が最近気にしてることをー！もう許しませんよー！
初胡,ぐぬぬぬぬぬぬぬ
塞,……うちの胡桃が迷惑かけてすいません
霞,いえいえ、あんなにハッちゃんが同年代の子と仲良くなるのって珍しいのよ？
巴,ハッちゃんも喧嘩仲間が欲しかったみたいですから丁度良いんですよ
初胡,うるさいですよー
塞,おぉ、息ピッタリ
初美,こうなったら麻雀で勝負ですよー！
胡桃,良いよ、受けて立つかんね！。私が個人戦に出てないからって勝てると思ったら大間違いだよっ！
春,黒糖、食べる？
白望,ん…………
初美,はるる、そこで黒糖食べてないで卓に入ってください！
胡桃,じゃあこっちは……塞、よろしく！
初美,ちょ、それは卑怯ですよー！能力を塞ぐのははアンフェアじゃないですかー！？
塞,いや、モノクル割れちゃったから完全に塞ぐことは出来ないからね？
エイスリン,………………
胡桃,あれ？エイちゃんどこか行くの？
エイスリン,…………チョット、オサンポ
塞,……何か今日さ、エイちゃん元気なかったよね
胡桃,昨日の試合で活躍できなかったからかな……。ほら、エイちゃんって真面目だからさ、自分のせいだって自分を責めそうな気がして
豊音,で、でもでも、最終的に私が稼げなかったから負けちゃったんだよ？。エイスリンさんがそこまで気に病む必要はないというか……
塞,ちょっと、豊音まで泣く必要はないから！ほら、ハンカチ！
豊音,ありがとうだよー
胡桃,それにしてもどうしたらいいのかなぁ……
塞,シロ、何か良い考えとかないかな？
白望,……………………………………ちょいタンマ。………………………………。………………よし、この件は少しほっとこう
塞,ええっ！？
豊音,ちょ、ちょっとシロー！？
胡桃,シロの薄情者ー！
白望,ダル………………。………………分からないけど、放って置いた方が解決すると思う
塞,シロのマヨヒガは外れたことが無いから信じたいけど……
胡桃,エイちゃんが苦しんでるのにほっとくなんて出来る訳ないじゃん！
豊音,そうだよー！私達だって仲間なんだから、何とかしてあげたいよー！
白望,…………それは私だって同じ。ダルいからエイスリンが苦しんでるのは見たくない。ただ、今回は私達が何を言っても駄目だと思う。…………エイスリンは自分のせいで負けた、って責任を感じてるのは間違いない。エイスリンが立ち直るにはそれをどうしかしないと行けないんだけど…。私達が何とかしようとしても、おそらく逆効果なんだよなぁ……
豊音,！………………
塞,私達がどうこうできる問題じゃない、ってことか…
胡桃,……私達じゃ手出しできないんだよね？。明日海に行くんだから、永水の人たちに相談とか出来ないかなっ？。そうすれば、きっと解決策が出るかも！
塞,胡桃……そうだね、少し協力してもらおうか。永水の皆だったら乗ってくれそうだしね
豊音,私も賛成だよー！
白望,………………ダル。……それにしてもエイスリン遅いなぁ……どこまで散歩してるんだろ
ダヴァン,いよいよ明日は準決勝でスカ……去年のことが思い出されまスネ。龍門渕サンとの再戦はなりませんでしタガ……それでも強敵が相手なのは変わりありまセン。全力を出すまでデス……オヤ？
エイスリン,…………
ダヴァン,奇遇でスネ、エイスリンも散歩でスカ？
エイスリン,！
ダヴァン,ホワイ！？ちょっと待ってくだサイ！。ああモウ！こんなことになるナラ、ラーメン食べながら散歩なんてするんじゃありませんでシタ！
エイスリン,……ハァ、ハァ……。ビックリシタ…………
ダヴァン,ビックリしたのはこっちでスヨ。あやうくスープをこぼす所でシタ
エイスリン,！
ダヴァン,まっタク……それにしテモ、何でいきなり走り出したんでスカ？
エイスリン,…………。ダヴァントノ、ヤクソク……マモレナカッタ。アワセルカオ、ナイ……
ダヴァン,……まあ、過ぎてしまったことは仕方ないでスヨ。私も宮守とは戦いたかったでスガ、勝負は時の運といいますカラ。それに私は出られませんでしたケド、まだ個人戦のチャンスがあるでショウ？。うちのネリーや明華は手強いですカラ、落ち込んでたら勝てないでスヨ！
エイスリン,……コジンセン、デタクナイ
ダヴァン,！
エイスリン,ジホウセン、アガロウトオモッテモ、アガレナカッタ。キヨスミノヒト、ワタシノplay、ジャマシテキタ。ジブンノオモイドオリニ、タクガウゴカセナカッタ。ソレデ、カセゲナカッタカラ、マケタ……。ワタシノセイデ……。ダカラ、マージャン、ウチタクナイ……
ダヴァン,……………………。逃げるんデスカ？
エイスリン,！
ダヴァン,あなたが強者と戦って負けたことは分かりまシタ。それで心に傷を負ったことも理解できなくはありまセン。ただ、それを理由に個人戦から逃げようとしているのではないんでスカ？。私はどんな時でも逃げなかった人を知っていマス。恥ずかしながら打ち明けまスガ、私自身、過去に一度逃げたことがありまシタ。その時彼女は私に慰めの言葉はかけてくれませんでしタシ、労いの言葉もありませんでシタ。代わりに一言言ったんでスヨ……逃げたんだな、ト
エイスリン,…………！
ダヴァン,傍から聞くと酷い人に思えるでしょウ……追い討ちをかけるような言葉ですかラネ。デスガ、今こうやって立ち直れたのは彼女がいたからデス
智葉,逃げるべき時？そんな時などある訳無いだろう。白糸台の宮永照、永水の神代小蒔、それに三箇牧の荒川憩……確かにあいつらは計り知れない実力の持ち主だ。だが相手が強大であることが逃げる理由になるのか？おそらくならないだろうな。相手が魔物だろうと何だろうと、全力でぶつかってくる相手に背を向けるのは自身の矜持に泥を塗ることになる。自分の持てる全力で応戦する。それが相手に敬意を払う最良かつ唯一のやり方。たとえその結果惨敗したとしても、やらずに逃げ腰で退散するよりは遥かにマシだ。……去年は負けたが、私は自分のスタイルを貫き通すまで。小細工も逃走も無し。正面から叩き潰す、ただそれだけだ。……おいダヴァン、何で泣いてるんだ……自分が情けなかった、と？。だったら次は逃げるなよ……ちょ、抱き着くな、とりあえずまずはその顔を拭け！
ダヴァン,あなたに出来ることは何でスカ？ただ恐怖に震えて閉じこもることでスカ？違いますヨネ？。チームの皆が誇りを持って応援できるヨウ、堂々とした態度で試合に臨むことでショウ？。一度負けた位で折れるホド、あなたは弱い心の持ち主ではないはずデス！。宮守の皆サンの為に、日本語を必死で覚えようとしていたあなたはどこに行ったんでスカ！
エイスリン,ミンナ……シロ、クルミ、サエ、トヨネ、トシサン……
ダヴァン,試合から逃げて、皆サンを悲しませたままで本当に良いんでスカ！？
エイスリン,ミンナ、カナシマセタク、ナイ……。……ワタシノセイデ、コレイジョウカナシマセタク、ナイ！
ダヴァン,……もう一度、聞きマス。エイスリン、あなたは逃げるんでスカ？
エイスリン,…………。……ニゲタク、ナイ。モウ、ニゲナイ！
ダヴァン,……何とか、立ち直ってくれたようでスネ。正直、智葉サン式の説教だと心を完全に追ってしまうかと思いましタガ、杞憂だったようデス。それではエイスリン、約束をしましょウカ
エイスリン,ヤクソク？
ダヴァン,ハイ。もう一度、結び直しておきまショウ。エイスリンはこの個人戦で絶対に逃げないコトを。そして私ハ……エイスリンの仇討ちと行きましょウカ。このインターハイ団体戦、絶対に優勝してみせマス！誰が相手だろうと私も逃げまセン！。この約束、守れますヨネ？
エイスリン,………………モチロン！
豊音,やっぱり小鍛治プロと福与アナの実況解説は面白いよー
胡桃,あの二人の掛け合いは相変わらずだねっ
初美,姫松がトップですかー、これは決勝行き確定ですかねー
霞,あらあら、まだ副将戦と大将戦が残ってるのよ？最後にはどうなってるか分からないわ。ところで、私達はどこを応援しましょうか？
春,私は清澄……
豊音,私はどこにしようかなー？姫松も清澄も好きだから決められないよー
巴,両方とも決勝に行けるように応援すればいいんじゃないですか？
初美,塞ちゃんはどこを応援するんですー？
塞,うーん、私は姫松かな清澄はどうにも原村がいるからなぁ…
白望,………他校の応援かぁ……ダル
胡桃,ちょっとシロ、応援までダルがらないでよ！
小蒔,えーと、エイスリンさん？はどこを応援するんですか？
エイスリン,リンカイ！リンカイジョシ！
巴,これは…
豊音,臨海女子のダヴァンさんだねー、ちょーかわいーよー
霞,さっき見せて貰った小蒔ちゃんの絵みたいにデフォルメされてるわね…
エイスリン,ヤクソク、シタ！ニゲナイッテ！
胡桃,約束？エイちゃん、またダヴァンさんと会ったんだ？
白望,……あんなに沈んでいたエイスリンが散歩から帰ってきたら復活していたのはそういうことか。…………結果的にダルくなかったから、この判断で良かったのかな
塞,やっぱりシロのマヨヒガって当たるんだね
豊音,あ、副将戦が始まるみたいだよー！
ダヴァン,相変わらず奇妙な打ち手をする有珠山、安定力のある姫松……。ソシてあの龍門渕透華を倒した清澄の原村和……錚々たる面子デスネ。でスガ、どんな相手だろうと私はもう逃げませンヨ。チームのために、自分のために、もありまスガ……。彼女とヤクソクしましたカラ
