これは、混沌を極めし戦場を駆け抜けた彼女達,艦娘
山城,えへへ
扶桑,問題はどうやって取るかね……
山城,そうですね……。私もお姉さまも、運動神経は決してよくないから登って取ることは難しい……。かといって、石を投げて届かせる力もないわ。貴重な弾を使うわけにもいかないわ。どうすれば……………ハッ！！
山城は無人の,瑞雲
山城,テェエエエエエエエイ！！。ごめんなさい……お姉さま……！
扶桑,気にしちゃダメよ山城……あなたはよくがんばったわ。妹にこんな思いをさせるなんて……許さないわ……。山城……もう大丈夫よ……
山城,……え？
扶桑,山城……空いたわ……
山城,ありがとうございます……お姉さま。瑞雲の破片を錐代わりに使うなんて、考えましたね
扶桑,フフっ、たぁんとめしあがれ……
山城,いえっ、お姉さまから頂いてください！
扶桑,いいのよ山城、私はあなたのお姉ちゃんだもの……
山城,お姉さま……。ヤシの実まっず！！！
扶桑,日が暮れてきたわね……
山城,はい……
扶桑,今日はいっぱい動いたからしっかり休まなきゃ。とは言っても、ヤシの葉を布団代わりにするだけじゃ心もとないわ……。それに野生動物に襲われでもしたら大変……
山城,お姉さま、私に考えがっ
扶桑,どうしたの山城？
山城,お姉さまが寝て、私が見張りをするの
扶桑,それじゃあ山城が眠れないわ……そうだ、じゃあ交代で見張りをしましょう。フフッ、寄り添うと暖かいわ……
山城,私もです……
扶桑,……明日はヤシの実じゃないものがたべたいわね……
山城,……そうですね……
扶桑,……ウフッ
山城,……フフフっ
扶桑,……お先にごめんね山城。おやすみなさい
山城,おやすみなさい、お姉さま
扶桑,この暑さは応えるわね……山城……
山城,全然、冬って感じがしません……
扶桑,喉が渇いたわね……。このヤシの実がなくなると、下手すれば私たち……。……死んでしまうわ……
山城,そ、そんなぁ、姉さまに先立たれたら私……
扶桑,可愛いわね山城は……フフフ……私達はまだ大丈夫よ……。でも、今日中に水をなんとかしなくちゃね……
山城,姉さま、手分けをしましょう。私は近くに川がないか、探しますっ
扶桑,ごめんね山城……でも、森の中で迷っちゃだめよ……
山城,大丈夫です！来た道に印をするから、絶対に姉さまのもとに戻ってきます
扶桑,フフフ、頼もしいわね……じゃあ……。私は雨が降った時のために……ここのヤシの葉を使ってお皿をたくさん作るわ……。ついでに日よけになるものも作れればいいわね……
山城,決まりですね
扶桑,じゃあ、気を付けてね山城……
山城,姉さまも、あまりご無理はなさらないでくださいね。では……
扶桑,えぇ、いってらっしゃい……。さて……。今使えるものは……
・瑞雲の残骸……主翼１枚、懸架１本、胴体１本,いずれも模型サイズ
扶桑,それにしてもこの暑さ、本当に応えるわ……。先に簡単な屋根から作っておいたほうがよさそう……。……とはいっても、どうやって作ればいいのかしら…………。私は知り合いに大工さんなんかいないし……。屋根……。そういえば鎮守府ってどんな造りだったかしら……。思い出せるのは……。建築構造技術的な特色として小屋組みにトラスを用いており、小屋組みの荷重は桁を介して側柱が負担する方式であることが確認されている。すなわちこれは、側柱が陸梁端部を支持する桁下に存在しなければならないという点を除けば、柱の位置や間仕切りの位置などが建築構造技術に縛られること無く自由に配列できるという利点がある。また、史料調査結果との照合による限りにお。……フフ……だめね、全然わからないわ……。とにかくやれるだけやってみるわ……。屋根を作るなら……柱が欲しいところね……。昨日倒したヤシの木も使えそうだけど、今の手持ちじゃとても切って使うことはできないわ……。それから、ヤシの葉を束ねられるもの……。鉢巻は1本…山城のものを合わせても２本しかないからこれはダメね。だとしたら、植物のつるなんかがあるといいんだけど……。私も少しだけ……森に入ろうかしら……。それにしても本当に暑いわ……。お日様がもうすぐ真上にきそうよ……。この着物だけでも脱いでいこうかしら。……蚊が多そうだし今は我慢ね……。山城……大丈夫かしら……
山城,うぅ……。人がいないところだから静かなんじゃないかと思っていたけど……。ッ！。生き物、結構いるんじゃないっ。これじゃあ川の音を頼りに探す計画は台無しだわ……。フフフ……でも、大丈夫……。ここに来るまでに、目印の石をいくつもおいてきたわ。小石じゃ動物が持って行っちゃうかもしれないから。そこそこの大きさのものをわざわざ選んでね。何かあったときは、これを辿って戻れるの。これで欠陥戦艦とか言わせないしっ。姉さま……方向音痴だった私、こんなに成長したんですよ。ヒエー！
扶桑,植物のつると茎がいっぱい見つかったわ……。さてと、次は……。柱か壁になるものね……。なにか手ごろなものがあれば……。……あら？。石……しかもよく見ると等間隔でたくさん落ちてるわ……。そういえば鎮守府も、レンガ積みの壁になってるのよね……。……。これは使えるわね……。たくさん拾ってきちゃったわ……。帰れなくなったら困っちゃうから……石拾いを途中で切り上げたのは正解だったわ……。これだけ集まれば十分ね……。フフ……山城がびっくりするようなおうちを作るの……。がんばるわ……
山城,キノコだわ……。私、鳳翔さんの料理でこれと似たキノコを見たことがあるわ。何より……。……。これがもし食べられるキノコなら、今後の貴重な食料になる……。そして、今ここで毒見をすることは姉さまのためにもなる……。……ﾅﾆﾖﾘﾓｳｹﾞﾝｶｲ……。……。いただきますッ！！。え洗剤？。なにこｒシタが弾ケｒ。かｒあい辛イイタイあぁぁぁ。ああああああああああああ！！。ああああああああああああああ！！！。ｈおえぇｓうまぁあああああああおねえさまあああああああ。モドルモドルｄモｒ。ハヤｋう！！！。ｈあんｈｅいｈｎいほほぉぉぉなんで石がないのよぉぉぉぉぉぉぉ。あっ……あアぁっ……
猪,フギッ！！フギッィィィ！！！！
山城,不幸だわ……
猪,ｆィギアアアアアイイイアｇｇィィィ！！！！
山城,イヤァァァァァァアァァァアァァ！！！
猪,プギギイイイイ！！！
山城,あぁぁぁぁぁ……。姉さま……先立つ不孝をお許しください……
扶桑,山城！！！
山城,ねえ……さま……！
扶桑,お姉ちゃん、心配したのよ……っ！！
山城,ねえさま……なんで……。ねえさま……。うわぁぁぁん！！怖かったぁぁあぁ！！
扶桑,えぇ……ごめんなさい……！こんな怖い目に合わせちゃって……！！。本当に……！ごめんなさい……っ！
そして,がぁるずとぉく
扶桑,山城……元気がないみたい……もう寝ないと……
山城,だって……。結局私……姉さまのお役にたてませんでした
扶桑,フフフ……そんなこと気にしてたの……？
山城,そんなことって……。姉さまが頑張って家を建てて、私を助けてくれた上に食べ物まで調達してくれて。なのに私、川も見つけられずに勝手にキノコを食べて吐くだけ吐いて逃げてきて、巨大イノシシに襲われそうになって、何にも無いっ
扶桑,……プっ……あははっ
山城,……笑うところじゃないです……
扶桑,ごめんなさい……でも、おかしくって……
山城,ﾑｩ
扶桑,私、こんなときにしかお姉ちゃんらしくしてあげられないから……。昔みたいにこうやって姉妹らしいことができて嬉しいの……
山城,それじゃあ私が子どもみたいです……
扶桑,そんなことはないわ……。でも、もうすぐこんなこともできなくなるわね……
山城,姉さまの指輪……。……流されてなかったんだ……。……提督、かぁ……。不幸だわ……
扶桑,やっぱり戦艦だから、燃費が悪いのかしら……
山城,なるほど……
扶桑,まぁ仕方のないことよ……今日は二人で川を探しましょう
山城,うぅ……面目ないです
扶桑,気にしないの……さて。今回は迷わないように、目印を道中に置いていきましょう……。そうね……動物に持っていかれたら困るから、そこそこ大きめの石でも
山城,あ、思い出しましたよ！姉さｍ……
扶桑,。ど、どうしたの……？
山城,……いえ、なんでも……ないです
扶桑,？。そういえば……
山城,姉さま、どうしましたか？
扶桑,いえ、昨日の猪さんのお墓……作ってあげて無いなって……
山城,……猪の墓をですか？
扶桑,えぇ……
山城,私、その猪に殺されかけたんですが……
扶桑,フフっ……そうね……でも。彼らにとっての私達はよそ者だから……。せめてお墓でも立ててあげないと、私も深海棲艦と同じようなものなのかなって……。……そうね、ただの自己満足ね……
山城,姉さま……
扶桑,キノコだわ……
山城,！！
扶桑,山城、このキノｋ
山城,いけません姉さまッ！！
扶桑,……ま、まだなにも言ってｎ
山城,いけません！！あんなものを口にしては！！。姉さまはダメなんですッ！！。毒に侵されてッ！体中の穴という穴から見境なく体液を垂れ流してッ！。蛙のように這いつくばってッ！この世のものとは思えない呪詛のような声を喘ぎ垂らしてッ！。盛ったインコのような痙攣のおこしてッ！お嫁に行けなくなった姉さまはッ！。絶対にダメですッ！！！
扶桑,ここまで心配してくれるなんて……うれしいわ……
山城,姉さま……！ついにやりましたよ！
扶桑,えぇ……川よ、山城……！。フフフ……さっそくいただきましょう……
山城,はいっ
扶桑,あぁ……美味しい……っ！
山城,あぁ……口から水をはしたなく滴らせる姉さま……艶めかしいッ！！
扶桑,ウフフ、もう少し頂いちゃいましょう……
山城,えぇ！私も……ッ？
鹿,
山城,
扶桑,美味しいわ……何とかして持って帰れないかしら……。……山城？
山城,
扶桑,ウフフ……面白い子ね……。ふぅ……生き返ったわ……
山城,
扶桑,それにしても……ここまで来るのに四時間もかかるのよね……。こことは別に、お水を確保できるようにしておいたほうがいいわね……
山城,はいッ！是、ぜひ！！そうしましょう！！はいッ！！
扶桑,
山城,あっ
扶桑,ここは……。もう近くまで帰ってきてるのね……よかったわ……
山城,そうですね……あっ
扶桑,どうしたの山城……？
山城,姉さま、これっ
扶桑,？。あら……まだ火が消えてなかったのね……
山城,姉さま、これは使えますよ……
扶桑,……そうなの……？
山城,少しの間、待っていてくださいっ。やったわ……
扶桑,暖かいわ……。フフフ、偉いわ山城……
山城,えへへ
扶桑,これで……食べ物に火をとおすことができるわ……
山城,姉さま、それだけじゃありませんわ。この火から上がる煙をのろしに使うんですっ
扶桑,なるほど……
山城,これで誰かが島に近づいたときに気付いてもらえますっ
扶桑,えぇ、そうね……でも……
山城,でも……？
扶桑,この煙じゃ……遠くからじゃ分かりにくいんじゃないかしら……
山城,……確かに……
扶桑,たぶん……これだけじゃきっとダメなのよ……。もっと多くの煙が上がるようにしないと……
山城,そんなぁ……
扶桑,あぁっ山城……。なんにしても、あなたはお手柄なのよっ。この火は狼煙に使えるだけじゃないと思うわ……。たとえば……
扶桑(９),このこんごうぶつがじょうはつするとっ。すごーい！
山城(８),わかんなーい！
扶桑,そう、たとえば……
山城,……これをどうするのですか？
扶桑,私たちの使っている瑞雲は超々ジュラルミン製……これはれっきとした金属よ……
山城,
扶桑,そして、この胴体の空洞に……
瑞雲,
扶桑,こうやって海水を汲むの……
山城,これを……？
扶桑,フフっ……これを火にかけてね……
山城,水蒸気……。姉さま、この上のヤシの葉は……？
扶桑,フフっ……あと少しよ……。さぁできあがりよ……
山城,さすがです……姉さまっ。ヤシの葉に付いた水蒸気がほとんど真水になってる……
扶桑,これだけだと量も少ないし心もとないけど……。探せば鍋のかわりになるものは他にもあると思うわ……
山城,これで例の川の水を飲まずに済むのね……
扶桑,とにかく……この火が消えないようにしなきゃ……
山城,これからは交代で火のお守ですね
扶桑,そうね……でも。だとしたら……どちらかが一人で食べ物を探しに行く必要があるわ……
山城,あ……
扶桑,一人で何度も森に入るのは危険だし……
山城,何も言い返せない
扶桑,果汁のなくなったヤシの実ごみならのこってるんだけど……。これはもうパサパサな所しか残ってないわ……
山城,……！。姉さま、それ……ひとつくださいっ
扶桑,えっ？。それ……どうするの？
山城,えへへ……それはお楽しみですっ。姉さま、今日はもう遅いですから寝ましょう
扶桑,そうね……。……今日は何も食べられなかったわね……
山城,ご安心ください姉さまっ。この山城、明日こそ必ず姉さまのお食事をご用意します！
扶桑,ウフフ……頼もしい……。火……本当に暖かいわ……
山城,えぇ……。姉さまはぐっすり寝ていらっしゃる……
扶桑,
山城,私……少しでも姉さまの力にならなきゃ。せめて、こういう形だけでも……。目がしょぼくれてきた……。……はっ、だめだめ！。ここはもうひとふんばりだわ。姉さまをびっくりさせてあげないと……
扶桑,…………ﾄｸ…………
山城,！
扶桑,………
山城,びっくりした……起きたのかと思った。……姉さま……。……泣いてる？
扶桑,。
山城,……。姉さまは優しいから表には出さないけど……。本当は……私以上にんなの所に……。……いえ。……提督の所に帰りたいんだ。姉さま……。……この山城。この命にかえても。姉さまを日本へ帰すわ
扶桑,……。ふぁ……。……ふぅ。……暑いわね……。さすがに服が臭ってきたわ……。体も……。これじゃ……提督に嫌われちゃうわね……
山城,お早うございます、姉さまっ
扶桑,あら……おはよう……。……目元……すごい隈ね……
山城,へ……そ、そうですか？
扶桑,あまり眠れなかったの……？
山城,えへへ……じ、実は……
扶桑,すごいわ、山城っ……。これ、どうやったの……？
山城,これはヤシの実のパサパサなところを少しずつはがして。1本ずつ結んで糸がわりにしてみました。そして、これは釣り糸なのです
扶桑,まさか……これを寝ないでやったの……？
山城,はい……
扶桑,もう……山城ったら……。ただでさえ疲れてるんだから、夜更かしはだめ……
山城,うぅ……
扶桑,……でも、ありがとう
山城,……えへへ。ちなみに釣り針には瑞雲の破片(懸架)を使いました
扶桑,なるほど……
山城,……ところで姉さま……？
扶桑,ん？なぁに……？
山城,……釣りの餌って何を使うんでしょう？
扶桑,……………
山城,……………
扶桑,そういえば……なんだったかしら……
みみず,
山城,…………
扶桑,……うん……思い当たることも……。ないことはないのだけど……
山城,えっ！本当ですか！
扶桑,うん……でもねぇ……
山城,姉さま、何でもいいんです！教えてください！
扶桑,う、うん。それは……
みみず,
山城,私はミミズが苦手だ。私だけじゃない……姉さまも。けど、今はそんなこと言ってもいられない……。姉さまに……こんな恐ろしいモノを触らせるわけにはいかない……。私が……やらなきゃ！
みみず,
山城,やっぱり無理ッ！！。
扶桑,お……おつかれさま山城……。こっちは私が見ておくから……。あなたはお家で休んで……
山城,……ｱﾘｶﾞﾄｳｺﾞｻﾞｲﾏｽ
扶桑,火の番だけ、お願いね……
山城,……ﾊｲ……
扶桑,山城……かわいそうな子……。あなたの優しさ……無駄にはしないわ。大物を釣るわ……見ててね……。……。…………。………………。釣れないわ……。……こーやって……。……浜辺で空をじっと見てると思い出すわ……。去年の夏だったかしら……。提督と……執務室の模様替えを一緒に考えたわね……。あの人は言ったわね……鎮守府で海の家を開くぞー……って。フフ……可笑しな人……。提督……今頃……どうしてるのかしら……。……心配……してくれて……いるのかしら……。……それとも……。…………。私達のこと………忘れちゃったのかな……
山城,姉さまっ
扶桑,！。気が付かなくてごめんなさい……どうしたの……？
山城,姉さま、ボーっとしてたから……心配になって……。もともと私が釣るつもりでしたので、お替わりくださいっ
扶桑,うん……それじゃあ……。お言葉に甘えようかしら……
山城,あ、それと……
扶桑,？
山城,姉さま……少し臭いますっ
扶桑,えっ……そ、そうかしら……
山城,このままじゃ……。帰ったとき、提督ががっかりしてしまいますよ？
扶桑,っ！？。……フフッ。そうね
山城,家の火はここからでも見られるので……。このあたりの海で、ゆっくり水浴びでもされてはいかがですか？
扶桑,水浴び……。でも……やっぱり、少し……恥ずかしいわ……
山城,……恥ずかしがってる姉さま……すごく良いですっ。大丈夫です、この島には他に誰もいませんから！。ここはバカンスにでも来たと思って……。ね？
扶桑,フフ……ありがとう。あぁ……気持ちいいわぁ……。なんだか……すごく……。開放的ね……。貴重な経験というか……なんというか……。……。できれば……本当のバカンスで来てみたかったわ……。あら……？。可愛いお魚さん……。フフっ……あっちに行っちゃ、山城に釣られて食べられてしまいますよ？。……ん？。あっ……。そこっ……ダメ……ぇん……。……んぁっ……。……なんてね……
山城,あー……。流石に4日もこの姿のままじゃ……ねぇ……。私も水浴び……したいな……。……というか、海水浴よねこれ……。！。姉さまっ。つ、ついに魚が釣れましたー…………っ！？
扶桑,あら山城……すごいわ……
山城,ね、姉さま……なんで家の中まで……裸なんですか……？
扶桑,フフフ……着ていた服も、一緒に洗ってしまったのよ……。ちょうど今……乾かしているところなの……
山城,姉さまの体……綺麗……
扶桑,ご苦労様、山城……
山城,……ワーイ！
扶桑,それじゃあ……
山城,？
扶桑,あなたも……ね？
山城,へっ……。あぁ……なんて開放感なのッ。山城……ただ今帰りました
扶桑,お帰りなさい……どうだった……？
山城,生き返りました……すごく満足ですっ
扶桑,あらあら……。そんなところで立ってたら……風邪ひくわよ？。こっち……いらっしゃい
山城,……
扶桑,小さい頃はよく二人で、お風呂に入ったわね……
山城,あっ、それ……懐かしいです……
扶桑,……山城、あなた……
山城,……はい？
扶桑,…………太った？
山城,。太ってなんか……いませんから……
扶桑,……予想以上に返事が弱弱しいわ……。フフフ……冗談よ……
山城,……姉さま、なんだかいじわるですっ
扶桑,そんなことないわ……。それよりも……ほら、もう焼けるわ……
山城,あっ、魚……。美味しそう……
扶桑,かかってる塩自体は海水を沸かした時にできたものだから、美味しいかは分からないけど……。ようやくまともなご飯にありつけるわね……
山城,私としては……猪の丸焼きもなかなか……
扶桑,山城……やっぱりあなた、太ったんじゃ……
山城,違います
扶桑,服を脱ぐまで気付かなかったけど……。無駄毛が伸びてきちゃった……困ったわ……
山城,私は爪も伸びてきました……
扶桑,そうね……でも、流石にこればかりはどうしようも……
山城,そうですよね。……仕方がないとはいえ、なんだか女を捨てているようで複雑な気分
扶桑,ところで山城……今日は私が釣りをしてみたいわ……
山城,へ？それは、構いませんが……
扶桑,ありがとう……昨日は一匹も釣れなかったから悔しかったの。フフ……今日こそは山城に負けない大物を釣るわ……
山城,こんなことでムキになる姉さま、可愛いです
扶桑,～♪
山城,……姉さまのおかげで、今が遭難中だってことを忘れてしまいそうよ……。私はどうしようかなぁ……。……
瑞雲,
山城,……これだけで水を得るのは、確かに心もとないです。なら、私はこっちをなんとかするべきね。けど、無人島で燃えないものを探すとなると……。そうよ！私達みたいに流れ着いたものがあれば……。姉さま、日が沈むまでには戻るので。少し浜辺を散策してまいります
扶桑,そうなの……？わかったわ……気をつけてね……
山城,姉さまも、頑張って大物を狙ってくださいねっ
扶桑,フフ……ありがとう……。よし……頑張るわ……
山城,とはいえ……。全然落ちてないじゃないっ。そこそこ大きい島みたいだし。少しは何か流れ着いてると思ったんだけどな……。……。……あっ。……なんだガラスの欠片かぁ。なにかの瓶だったのかな……。……お酒……飲みたいな……。……はっ。いけないわッ。こんなときに贅沢は敵っ。姉さまに無人島にコンビニがないと教えられた時に誓ったはずよっ。……。お酒飲みたいなぁ
扶桑,……。やっぱり釣れないわ……。私には釣りの才能……ないのかしら……。……。……入道雲……。なんだかわたがしみたい……。あれは……車みたいな形ね……。ふふっ。しかもおじいちゃんが昔乗ってたのにそっくりだわ……。たしか……エンジンをかけるとものすごい音がなるのよね……。フフ……また会いたいわ、おじいちゃん……。……。……あれは日傘みたいな形ね……
山城,あっ、あれは……。思ったとおりだわっ。これは……灰皿か何かかしら。何か印刷されてる……外国のキャラクター？。……外国のキャラクターの絵って。なぜかかわいいと思えないのよね……。でも、これは使えるっ
扶桑,フフ……また会いたいわ……ポチ……。……。あれは孫の手みたいなかたｔ……。っ！。なにか……かかったわ……。フフ……まだまだ山城には負けないわ……。……勝ったこともないけど。……え、えいっ
山城,貝殻だわ……。やっぱり身はついてないか……。……貝殻……昔は姉さまとよく集めていたわ。だいたい貝殻じゃないものも一緒に拾ってたんだけど。缶のプルタブとか、色の無くなった海藻とか。……
扶桑,釣れたわ……でも……。すごく……小さいわ……。それに……この子……
フグ,
扶桑,……食べられないわよね……
フグ,
扶桑,……。可愛いわ……
山城,岩場がいっぱい……ここは磯ね……。けっこう遠くまで来てるみたいだから。ここの探索を最後にしましょう。そろそろ灰皿以外の収穫がほしいところ……。うぅ……。落ちちゃった……
フグ,
扶桑,～♪。できたわ……。ここがあなたの新しいお家よ……
フグ,
扶桑,……ポチ……
山城,うぅ……ようやく乾いた着物が……不幸だわ。フジツボでちょっと切っちゃった……いたた……。……。フジツボって……。食べられるのかしら……。……見た目はなんだか気持ち悪いけど……。今はそうも言ってはいられないわ……。それに……。よく見れば、小さいカニとか小魚なんかもたくさんいるわ……。どうにかして捕まえたいけど……。あぁ……濡れた着物がうっとおしいわ……。……。……ッ！！。あぁ……癖になりそうッ！！。姉さま、ただいま戻りましたっ
扶桑,おかえりなさい……あらあら。またそんな恰好してるの……？
山城,こ、これは……。……健康法です適当
扶桑,そうなの……？それなら今度、私も試してみるわ……。そうだわ……山城……。新しい家族を紹介するわ……
山城,はい？。か……ぞく？
扶桑,この子はポチよ……。よろしくね……
ポチ,
山城,……。姉さま御可哀想に……暑さで正気を……
扶桑,山城もあいさつしてね……
山城,よ、よろしく……
ポチ,
山城,姉さま……その……
扶桑,ん……？どうしたの……？
山城,このフグ以外に……
扶桑,山城……この子はポチよ……
山城,……ポチ以外には何か……釣れましたか？
扶桑,……
山城,……。今日の収穫はこの灰皿と。磯で見つけたカニが２匹。小魚が5匹と。食べられるかは分かりませんが……フジツボが４つですっ
扶桑,すごいわ山城……お手柄よ……
山城,えへへ
扶桑,たぶん……どれも茹でれば食べられると思うわ……。さっそく茹でてみましょう……
山城,そういえば姉さまっ
扶桑,どうしたの……？
山城,姉さま、今日の釣りの……餌はどうされたのですか？。昨日は私がミミズを持って近づいただけで。すごい勢いでお逃げになられてたのに……
扶桑,ふふっ……今日は虫を使ったのよ……
山城,あぁー……なるほど……。できれば昨日に教えてほしかったです
扶桑,出来上がりよ、山城……
山城,おぉ……まさにシーフードってかんじですね
扶桑,実際、おダシが出ててスープも美味しいかもしれないわ……。小石には気を付けてね……
山城,はいっ……いただきますっ。……あっ、この魚すごくやわらかくなってる。海水のせいか少しえぐみもあるけど、いけるわ……
扶桑,沢ガニみたいなカニは初めていただくわ……
山城,あまり……というか予想通り、そこまで身はありませんね
扶桑,でも……安心して食べられるわ……
山城,問題は……。このフジツボよね……。おそらく、中身を食べるのだろうけど……。ヒエー……気持ち悪いっ
扶桑,白くて貝に似てるけど……なんだか見たことない感じだわ……。でも山城がせっかく持って帰ってくれたのですもの……。美味しくいただくわ……
山城,姉さま……
扶桑,あら……これは……。山城、とても美味しいわ……
山城,へ……本当？
扶桑,えぇ……嘘じゃないわ……。山城も……ほらっ
山城,は、はい……。あ、本当に美味しいですっ。ちょっと甘くて……高いカニみたいな食感……
扶桑,本当ね
山城,あ……私、これ好きかも……
扶桑,フフ……こんなことが無ければ経験できなかった味ね……
山城,えぇ、これなら何度でも食べたいですっ。あ、小魚が一匹余っちゃいました……
扶桑,今日は頑張ったんだから……山城が召し上がって……
山城,ありがとうございます姉さま。でも、今日はなんだかおなかいっぱいで……
扶桑,この生活ですっかり小食になっちゃったわね……
山城,今度から燃費のいい戦艦として、日の目を見られるかもしれませんねっ
扶桑,フフッ、山城ったら……。じゃあ、この残りは……
ポチ,
扶桑,いい食べっぷりね……
山城,明日からフｇ……いやポチの餌まで必要になるのね……
扶桑,さて……暗くなってきたし、今日はもう寝ましょう……
山城,そうですね……もうクタクタです……
扶桑,フフ……明日は私もがんばるわね。じゃあ……。おやすみなさい……山城……
山城,おやすみなさい、姉さまっ
扶桑,……！！。や……山城ッ！！
山城,姉さま？。なんだか様子がおかしいわ
扶桑,船が……見えるわ！
山城,姉さま！
扶桑,えぇ……私達、助かるわ……！
山城,でも……ッ。こののろしの煙じゃ気付いてもらえません！
扶桑,そ、そうね……。他の手でッ、なんとかしなきゃ……！。何か！。何か……手段は……ッ
山城,姉さま……！
扶桑,……主砲を使うしかないわ！。いくわよ……山城ッ
山城,ハイッ！！
扶桑,主砲……撃てッ！！！
山城,…………主砲弾……………着水を確認……ッ！！。……姉さま……
扶桑,……可能な限り……船の近くまで近づけたわ……。大丈夫よ山城……
山城,姉さま……何か光った……
扶桑,えぇ……。照明弾……？。それとも……信号弾かしら……？
山城,姉さま……。ね……姉さまァ！
扶桑,あっ……あっ……。そんな……ッ。そんな……！。まさか軍属の船だったなんて……！。今の砲撃も……深海棲艦のものと思われたというの……。そんな……。山城……もう一度……主砲を……ッ！！
山城,姉さまいけませんッ。そんなことしたら、また報復が……！
扶桑,離してッ！！
山城,！
扶桑,あの船は近づいてきてるわ！！。だから、今しかないのッ！！
山城,姉さま……
扶桑,お願い……気付いて……！
山城,姉さま……。…………。…………
扶桑,……山城……
山城,……姉……さま……？。……よかった、喋られるように
扶桑,聞いて……やましろ……
山城,……姉さま……？。何です……姉さま……？。そんなこと……忘れちゃ……ました………。……あやまったり……お礼したり……おかしな……姉さま。……姉さ……ま？。……姉さま……。……姉さま……ッ。しっかり……してく……。くださいッ……姉さま……ッ。姉さま……ッ！！。――――――ッ！！。姉さまっ
扶桑,あら……あなた……もう動いていいの……？
山城,はいっ……私、姉さまより長く食事をとっていましたから……。姉さまも……たくさん食べて、早く動けるようになるといいですねっ
扶桑,フフ……そうね。心配しなくても、最近の病院食は美味しいから……すぐに元に戻っちゃうわ……
山城,姉さまったら…………あらっ。あなたも一緒に来ちゃったのね……？
ポチ,
扶桑,山城……あの時は本当に迷惑をかけたわ……。ごめんなさい……
山城,何をっ……姉さまが謝ることなんてっ。あの時、姉さまが主砲を撃ってくれたから私たちは助かったようなものですし……
扶桑,……うん……でも……
山城,……そ、それはそうと、昨日……提督にお会いしましたよっ
扶桑,て、提督が……？
山城,はい……私はてっきり姉さまが来たと思ったから。いつものようにあしらってしまいましたが……お礼は言ったけど……。退院したら、羽子板で勝負しろって言われました
扶桑,あら、そうなの……
山城,姉さまには今日から面会許可が下りてますから。もうすぐいらっしゃるんじゃないでしょうか
扶桑,っ！。そ、そんな……困るわ……
山城,へっ……ど、どうしてです……？
扶桑,だって私……提督に迷惑かけてしまったし……。それに……髪の毛だって整えてないしっ……。お風呂にも入ってないしっ……臭いもするわっ。あと、お肌だってボロボロだしっ……。声だってガラガラだしっ……。それに……っ。ひぇっ……
山城,さて、山城はクールに去るのですっ
扶桑,て、提督……
提督,よっ、元気か？
扶桑,は……はぃ……。扶桑……帰投いたしました……
提督,お帰り……扶桑
扶桑,……私、提督とまたお会いできて……本当に嬉しいですっ
提督,……うん
扶桑,……もう、二度と……会えないかと……
提督,……。……指輪……守ってくれたんだな……
