____,Refrain
西園,充分注意しましょう。鍵はかけ忘れないようにしなくてはなりませんね
小毬,う、うん……
クド,わふー……非常にデンジャラスなのです……！
葉留佳,だ、誰か事態が収まるまで泊まらせてくれない？
来ヶ谷,…………葉留佳君は私の部屋に来るといい
葉留佳,あ、ありがとうございやす姉御！
恭介,とにかく。今はお互いの安全が第一だ。なにか不審なことがあればすぐに俺に電話してくれ。いいな？
謙吾,それと理樹、お前は俺の部屋に来い。あの部屋はしばらく使えないはずだ
理樹,う、うん……
謙吾,理樹、いつまでもそうしている訳にもいかないだろう。これでも食え
理樹,あ……ありがとう謙吾
謙吾,理樹……実際俺もあいつが死んでひどく動揺している……恭介の話によるとまだ犯人はこの学校の中にいるかもしれない。今日だって何食わぬ顔をして生活していたかもな。……だが、お前が俺の隣にいる限り、必ず死なせはせん。そして必ずやこれをやった犯人を見つけ出してやる
理樹,謙吾………
謙吾,だから今は休め理樹……大丈夫だ。～～～
理樹,………………
謙吾,……NPCの暴走だと？馬鹿な……確かに自我を持っている奴らの中で真人にあんなことをする奴はいないが……ああ……いや確かにその通りだが……。ああ。世界をやり直すにはまだ早い……原因を解明出来なければまた同じことが起こるかもしれん。やり直して真人に真相を聞こうも記憶がなければ今あるかもしれない証拠を消すことになるからな
理樹,……………。あっ、謙吾！
謙吾,あ、ああ……理樹か……すまん、1人で先に出てしまったな
理樹,まったく、もう心配させないでよ！真人の次に謙吾までいなくなってしまったら……！
恭介,……まあそう責めないでやってくれ。謙吾も悪気があった訳じゃないんだ
理樹,そ、それならいいんだけど………うん？。あれ……小毬さんとクドは？
鈴,…………………
葉留佳,り、理樹君……
謙吾,それが……とても言いにくいんだが……
恭介,……殺された。昨日の夜、毒を盛られたようだ
理樹,な……なんだって……？
恭介,昨日の深夜のことだった。二木が夜のパトロールから自分の部屋に帰ってきたら2人がテーブルで倒れていたという。最初は寝ているのかと思ったが、何度声を掛けても、何度肩を揺さぶっても、何度揉みしだいても応答がなかったのでとうとう脈を触ると……動いていなかったらしい
鈴,ううっ……小毬ちゃん……クド……！
恭介,まだ完全に決まった訳ではないが2人が倒れたのは恐らくハッピーターンに含まれた青酸カリが原因だ。可哀想に……ハッピーターンの粉と見分けが付きにくかったんだろう
理樹,で、でも犯人はどうやって2人に青酸カリを盛ったの？ハッピーターンに細工するタイミングなんてどこにあるのさ
謙吾,あるんだ……充分すぎるほどにそのタイミングはあった……
理樹,け、謙吾？
謙吾,……その部屋のテーブルにはカップが三つあったんだ！
理樹,！！
恭介,犯人はこの中にいるかもしれない
鈴,！？
葉留佳,えっ……！
謙吾,……………
来ヶ谷,うむ………
美魚,………っ
理樹,………………ゴクリ
謙吾,落ち込むな……とは言えないが、こういう時こそ気をしっかり持たねばならない
理樹,謙吾……陳腐なことを言うようだけどこれは夢か何かじゃないのかな？
謙吾,………悪夢だ……それ以外の何者でもない
理樹,それが醒めるなら何を捧げてもいい……うう、くそ……
謙吾,………俺はこれから剣を振る。1人でも大丈夫か？
理樹,うん……行ってらっしゃい。気をつけてね
謙吾,ああ……気をつけて……
佳奈多,………直枝ね
理樹,えっ！。ふ、二木さんも今から食事？
佳奈多,ええ……一緒に食べる…？
理樹,……そうだね
佳奈多,私が帰ってきた時、まだカップのココアが暖かかったのを覚えているわ。もう遅い時間だったから2人は寝てしまったのかと思ってたんだけどね……
理樹,なんで犯人は2人を狙ったんだろう
佳奈多,さあね。ロクでもないことは確かだわ。あの2人が誰かに怨みを買う理由なんてあるはずないじゃない
理樹,……二木さんは犯人を……
佳奈多,捜すわ。徹底的に捜し出して理由を問い詰める
理樹,そうだよね……
佳奈多,風紀委員長として、2人の友人として、なんとしてでもこのままでは終わらせない。そしてそれはあなたも同じ気持ちのはずよ
理樹,………そうだね
佳奈多,あの時の女子寮で事件が起きたということは犯人は恐らく女性ね。この時点でかなりの数を絞り込めているわ。……お手上げになったら生徒全員を拷問してでも見つけだす！必ず……必ず……必ず……！
謙吾,そろそろ寝るか…
理樹,うん……
謙吾,明日の朝、恭介の部屋で鈴と俺たちの4人で話し合うことになった
理樹,分かった……。おやすみなさい
謙吾,ああ、おやすみ……
理樹,話ってなに恭介？なんで僕らを集めたの？
恭介,それはお前らが犯人ではないと分かるからだ。その上で集めた理由はな……犯人の目星がついたんだ
鈴,な、なにぃ！？
恭介,あくまで推測だがな……
理樹,そ、それは誰？
謙吾,……………
恭介,小毬とクドが気を許し、夜の女子寮にいてもおかしくない。この条件に当てはまるのは……三枝、西園、来ヶ谷の3人だ
鈴,なっ……バ、バカ言うな！なんであいつらが！
恭介,動機か……動機は分からない。だが他に考えられるか？。恐らく小毬達の事件の犯人はリトルバスターズの中にいる。俺も理樹も謙吾も女子寮なんて忍び込むなんて不可能だ。仮に入ったところで2人と茶を飲むなんて違和感しかない。となると女子メンバーしかいない。鈴はそんなことが出来る奴じゃない。それは俺が一番よく分かっている
謙吾,…………本当にそうだとしてこれからどう動くつもりだ
恭介,尋問する。本当ならこんなことしたくもない事だが、こればっかりは警察に任せられない……放っておいたらまた次の犯行が起きるかもしれない
理樹,つ、次の犯行？
恭介,ああ。だっておかしいだろ？真人があんな死に方をしてまだ数日も経たないうちに次は小毬とクドがやられた。偶然にも被害者と容疑者はどちらもリトルバスターズだ。俺が推測するに、近いうちにまた新たな殺人が行われる……それも被害者はリトルバスターズのうちの誰かだ
理樹,か、考えすぎだ！
恭介,だったらいいんだ……犯人も俺の疑っている3人のうちの誰かでなく、全く知らない赤の他人ならどれだけいいことか……！。だけどこんなの疑うなって言う方がおかしい！よく連続殺人が起きる小説では登場人物は皆、第三の犯行が起こるまで自分達のすぐそこで異常な事態が起きていることに気付いていない。だが、そんなの不自然だと思っていたんだ……1回目で驚き、2回目に更に恐れ、3回目でやっと規則性に気付く。普通なら少し考えれば2回目で気づけるはずだ。そう謎の殺人が周りでポンポン起こってたまるか！
理樹,つ……つまり真人の死と2人の事件は偶然じゃないと……
恭介,ああ……どうやったかはまだ分からないが同一人物であることは確実だ。尋問は今日の夜に決行する。3人に考える余地を与えたくないので俺が直接行うとしても他の2人は誰かが引き止めなくてはならない
謙吾,今日の夜というと、恭介が女子寮の部屋に行くのか？
恭介,ああ。二木に犯人追求の為だと頼んだらあっさり許可してくれたよ。それも3人分な
理樹,3人……てことは僕らも！？
恭介,ああ。最初に向かう奴は俺が、もう1人は謙吾、更にもう片方は理樹と鈴が足止めをしておいてほしい
謙吾,確かにもしその中に犯人がいたとしてもそれなら殺される心配はないかもしれないが……
恭介,言っておくが俺はマジだぜ。大丈夫、あくまでまだ推測なんだ。全員違う可能性だってある
鈴,みんなは疑いたくない……だからこそ早く犯人じゃないと証明したい！
恭介,ああ、分かっているとも……だから次の犯行が起こる前に行動を起こそう
鈴,なあ理樹……
理樹,どうしたの？
鈴,恭介は私達に3人を部屋に縛りつけろと言ったが、具体的にどうすればいいんだ？
理樹,そう深く考えなくていいよ。ただその人が他のところに行こうとするのを止めるだけでいいんだから
鈴,たとえば？
理樹,そうだな……楽しい話や、愉快なことをして気を引くとかかな。それなら強引じゃないし怪しまれないでしょ？
鈴,そうか……じゃあ理樹
理樹,ん？
鈴,来ヶ谷の場合はどんな話がいいんだ？
理樹,……ううん……それが問題だね
理樹・鈴,！
理樹,……行こう鈴
鈴,…………っ
来ヶ谷,や……ようこそ我が家へ
理樹,……お、お邪魔します……
鈴,邪魔するぞ……
葉留佳,き、恭介さん……なんですカ？話って……
恭介,なに、緊張することはない。ただ三枝が大丈夫か様子を見に来ただけだ
葉留佳,……はるちんは大丈夫っスよ……大丈夫っス……
恭介,どうした、なにを震えている？
葉留佳,いや、何でもない……ですヨ
恭介,………様子がおかしいぞ。おい、なんだ。どこへ行く？
葉留佳,……お茶を用意してきます……いえ、恭介さんは座ってて下さい……やはは……
謙吾,…………。おーい、西園。いないのか？。………おかしいな。連絡はしたはずなんだが……。なんだいるのか？入るぞ
佳奈多,すぅ……すぅ……
来ヶ谷,やあやあ、2人ともよく来たな。さあそこのベッドに腰掛けたまえ
理樹,う、うん……
鈴,く、くるがや……あのだな……
来ヶ谷,おっと、話し合いをする前にクッキーはいかがかな？ちょうどこの間、親が送ってくれたんだ。外国の珍しい物だからな。誰かと分かち合いたい所だったんだ。さ、どうぞ
鈴,あ、ありがとう……
理樹,じゃあ僕も一つもらうね…
来ヶ谷,それで話とは？
理樹,ああ、それは……その……
鈴,………
来ヶ谷,……どうした
理樹,いや、その！ほら……犯人を探そうかと思って、来ヶ谷さんに……意見を聞きたいんだ
鈴,！？
来ヶ谷,ふむ……いや、なるほどな。そういうことか。なら少し私の持論を展開しようじゃないか。そうだな。私はまず今あるだけの判断材料で容疑がかかる人物をパッと考えてみた。まずは私を含むリトルバスターズの女性だな。恭介氏はああ言ったが犯人のセオリーとして第一発見者の二木女史を見落としている。彼女も一番疑うべきなのに……おそらく気が動転していたんだろう。そして笹瀬川佐々美。2人に近づけるのはこのくらいだな
理樹,そ、それで？
来ヶ谷,そうだな。次に消去法で可能性が低い者を容疑から消していこうか。まず二木君。彼女は第一発見者だ。だが彼女は明らかに違う。夜間のパトロールで寮母さんや他の出歩いていた生徒からのアリバイがある。よって排除だ
佳奈多,……う、ううん……？。…………ハッ！。も、燃えている！ああ！そんな！。ま、まさか……ここまで読んで私の元に訪れたの！？。！？。ああ、まさか……！！。…………………………
来ヶ谷,次に葉留佳君だ。葉留佳君に直接のアリバイはないが、運のいいことに無実を証明することが一つあった。それは事件が起きる10分ほど前に風呂から上がるところを寮長が見ていたということだ。二木女史が言うところによれば2人の飲んでいたココアはまだ温かかった……つまり犯人は事件が発覚する直前に逃げたのだ。だから葉留佳君も排除しよう
葉留佳,そうだったそうだった……カップカップ……。………………
恭介,おい三枝、今のはなんだ？
三枝,………………
恭介,おい、三枝……っ
三枝,あ……あ……
恭介,なっ！？。さ、三枝ーーっっ！！
来ヶ谷,最後に美魚君だ。美魚君は簡単だな。何故なら彼女はココアが苦手なんだ。と言っても私しか知らない話だがね。とりあえず彼女も排除して構わんだろう
美魚,んん…………！
謙吾,………！！。くそっ………。すまない西園。恭介達を信じるしかない
西園,…………………
理樹,ん……
鈴,地震か？
来ヶ谷,さあね……。とにかく、私の持論からすればみんな怪しくない訳だ。鈴君はそもそも毒を用意出来るようには見えないしね
理樹,つ、つまりリトルバスターズから犯人はいないってことだよね！
鈴,一安心だ
来ヶ谷,む？何を言っている。1人いるじゃないか
理樹,えっ？
来ヶ谷,クドリャフカ君と小毬君に信用されていて、アリバイもなく、女子寮にいる人間が……リトルバスターズの一員であり、葉留佳君でも鈴君でも、美魚君でもない者が1人残ってるじゃあないか
理樹,な……なに言ってるの……？
鈴,く、くるがや？
来ヶ谷,はっはっはっ……察しが悪いフリか？やれやれだな。こんな事もあろうかと菓子を用意しておいてよかったよ
理樹,くっ、来ヶ谷さ……うっ！？
鈴,……ッ！
理樹,くそう！なんで来ヶ谷さんが！
来ヶ谷,すまないな理樹君……鈴君を始末するのに邪魔があっては困るんでね
鈴,まさかくるがやが……みんなを……？
来ヶ谷,もう全員退場してる頃だろうな。いや、どうしてこうなったのか……私にも分からんよ
理樹,ど、動機は！？
来ヶ谷,動機？ああ、そうだな……確かに君らには分からないな。よし、せっかくだし話してやろう
理樹,グッ……
来ヶ谷,あれは理樹君の部屋に……いや、正確には部屋の前に訪れた時のことだった。君が看病された晩、部屋に忘れ物をしていたので渡してやろうとドアに手をかけると話が聞こえた
理樹,…………！
来ヶ谷,私は恥ずかしながらもときめきを感じたよ。ああ、そうか、理樹君と私が恋愛沙汰に陥るのかと。正直、あそこまで動揺したのは初めてだ。一瞬で色んな考えが頭を巡った。………だが、その後、君はなんと言った？
理樹,そ、それは……
来ヶ谷,君は他の女の子の方がいいと言った。このままではせっかく芽生え始めた恋が栄養を与えられず枯れてしまう……だからそこで私は名案を思い浮かんだんだ。だったら殺せばいいじゃないか！
鈴,！
来ヶ谷,そうさ！理樹君が振り向かないなら理樹君に私しか見れなくすればいい！他の娘をみんなみんな消してしまえばもう私と君しかいないんだ！
理樹,狂ってる……
来ヶ谷,狂気に触れねば見えぬ到達点がある。安心したまえ、君にこんな姿を見られたところで記憶を消せば元通りだ。もちろん私以外の女性の記憶もないがね
理樹,な、何を……！？
来ヶ谷,む……？
恭介,理樹！鈴！大丈夫か！？
鈴,恭介！ダメだ！
来ヶ谷,ははははっ！
恭介,し、しまっ……！
理樹,や、やめろーーっっ！！
恭介,ガッ……ち、血迷ったか……！！
来ヶ谷,慌てるな恭介氏。私が心から満たされたと感じたら”主導権”などすぐにくれてやる。だから今はそこで大人しくしておいてくれ。用が済んだらやり直しをかける
恭介,ま、待て……！
来ヶ谷,さて……。んー……。……鈴君、プラスとマイナスならどちらがお好みかね？
鈴,くっ……殺せ！
来ヶ谷,君で最後だ
恭介,ぐっ……もはやここまでか……！
理樹,…………っっ！。来ヶ谷さん！
来ヶ谷,…………なんだ？。……………
恭介,……………っ！
鈴,理樹………っ！
理樹,来ヶ谷さん……
来ヶ谷,………
理樹,好きだーーーーっっ！！！
恭介,ハッ！
鈴,！？
来ヶ谷,…………えっ……
理樹,ごめん来ヶ谷さん！実はあの時、否定しちゃったのは恭介達が冷やかすから慌てて誤魔化しただけなんだよ！実際、看病された時は僕もドキドキしたし、今までの来ヶ谷さんとは考えられなくなったのは確かだ！普段はクールでいて恋に関しては疎い所とかも可愛げがあってもっと魅力的だよ！！だから来ヶ谷さん、僕は君が好きだ！他の誰でもない来ヶ谷唯湖さんが大好きだ！！。…….ハァッ……ハァッ……
来ヶ谷,………………。……………グスッ…
理樹,ち、ちょっ……！？
来ヶ谷,…………………
鈴,な、なにィ！？
恭介,マジかよ………
来ヶ谷,ずっとこんな日を待っていた……私だって本当は君と喫茶店に行ったり、水族館を回りたかった。他のみんなは自分の番が終わると次の願いを叶えたい人の為に身を引いていったが、私にはそれが出来る自信がなかったのだ……だから私の番など迎えなくてもよかった。だが、君がああ言ったので私の中の脆い防波堤が崩れたのだ。ああ、許してくれ……許してくれ、みんな。私は暴走しすぎた。だけどせめて……もうこれっきり、みんなの前には現れない。だからもう少しだけこうさせてくれ……
理樹,………………
恭介,いや……その心配はないぜ
鈴,恭介！大丈夫なのか！？
恭介,こんな痛みはもう慣れてる……それより来ヶ谷、お前が消える必要はない
来ヶ谷,なんだと……？
恭介,そう言う事ならいいんだ……きっとみんなもお前の行動を許してくれるはずだ。お前が我慢してどうする……この世界は全員が救われてやっと意味を持つんだ。確かにお前の願いは暴走するかもしれない……だったらその時は俺と謙吾と真人が止めてやるから……だから安心してやらかせ！
来ヶ谷,恭介氏……
理樹,………あ、あれ？
来ヶ谷,分かった……それじゃあやってくれ
恭介,おう
鈴,な、なんだ！？なにも見えない！
理樹,えっ、なんだこれ！
恭介,理樹………理樹？
理樹,……はっ！え、えっと……なに？
真人,次、理樹の番だぜ
理樹,え？あっ……
謙吾,どうした理樹？来ヶ谷に看病してもらってきてからずっとぼうっとしてるじゃないか
理樹,あっ、えっと……
恭介,フッ…とうとう理樹もそういう時期になっちまったか
理樹,そ、そういう時期って？
恭介,恋さ。理樹、お前は来ヶ谷に恋をしているんだ
理樹,えっ？
来ヶ谷,…………………。！。…………っ
恭介,そうか理樹……俺は前々から思っていたんだ。理樹は恋をするべきだと！恋に苦しみ、恋に傷つくことで人は成長する……恋愛が理樹を大人の男にするんだよ！
謙吾,となると、これから俺たちは全力で理樹の恋を応援することになるな。ふっ、任せろ。こう見えても巷ではロマンティック大統領と呼ばれている
真人,クッ……納得いかねえが理樹が幸せになることが俺の幸せだ。ここはおとなしく来ヶ谷にゆずってやるとするか……
恭介,よぅし！そうとなると早速作戦を立てよう！作戦名はオペレーションラブラブ……
理樹,だから待ってってば！
恭介,……理樹、いい加減水臭いぞ。こういう時は黙って俺たちの協力を……
理樹,そうじゃなくてさ……。もうちょっとこういうのは静かにやろうよっ……は、恥ずかしいよ……
来ヶ谷,……………！
