２８３Ｐ,以降Ｐ表記
Ｐ,どうぞじゃないよ腕を組むなぁ！。凄い！タコさんウィンナーにから揚げに甘い卵焼きにポテトサラダ！俺の中のドリームチームだっ！
灯織,お口に合うといいんですが…。人に食べてもらう事なんてほとんどありませんでしたし
Ｐ,いやぁこれだけ作れたら十分立派だよ！俺料理って言ったらお湯を入れる事と粉末スープを入れる事しか出来ないし。あむっ…うわ美味っ！卵焼きもから揚げもすごく好みの味付けだよ！
灯織,そうですか。良かったです
Ｐ,うわぁ本当に美味い…まるで実家のお袋の味みたいだ。ってか母ちゃんの味そっくりだ
灯織,おにぎりの中身はおかか昆布とわさび菜の２種類にしてみました
Ｐ,凄い！偶然にも我が家伝統の具だ
灯織,そんなに喜んで貰えると作った甲斐があります
Ｐ,うーん、灯織は良い奥さんになりそうだなぁ
灯織,それはちょっと…
Ｐ,あっ…！ご、ごめん。こういう事を軽はずみに言うのは良くないよな
灯織,トップアイドルになって引退した後でお願いします
Ｐ,うーんよく意味が分からないなぁ
灯織,将来的には私のほうが収入が上になりそうですし、指輪は私が用意しますね
Ｐ,うーん！意味がっ！よくっ！わかんないなぁ！！
灯織,はいあなた。あーん
Ｐ,すいみせん周りの方！撮影はご容赦下さい！出来る事なら見なかったことにして下さい！なんでもしますから！
灯織,では服を見に行きましょうか
Ｐ,ようやく本来の目的に…
灯織,お疲れのようですが大丈夫ですか？
Ｐ,だいじょばない
灯織,そこにベンチがありますし膝、貸しましょうか？
Ｐ,公衆の面前で無ければお言葉に甘えるところだよチクショウ！
灯織,プロデューサー、これなんてどうでしょう？
Ｐ,イイトオモウヨー
灯織,でもこちらの方も捨てがたいと言うか…。どう思いますか？
Ｐ,ニアウニアウー
灯織,…プロデューサー？
Ｐ,モウイイカーイ
灯織,どうして両手で顔を覆って後ろを向いているんですか
Ｐ,それはここが女性下着売り場だからだよ！？
灯織,下着も服ですよ？何を言っているんですか
Ｐ,お前には分からないかもしれないけど拗らせ気味の魔法使い予備軍にこの場所は難易度が高いんだよ！
灯織,若干透けている黒のレースとフリルのついたパステルブルーではどちらが良いと思いますか？
Ｐ,聴覚から情報突っ込んでくるのもやめて想像しちゃう！
灯織,……残念です。私のサイズでは無いみたいです
Ｐ,あったら試着する気だった！？
灯織,…くっ！
Ｐ,そのネタはやめよう
灯織,分かっています。どうせ私はひんそーでひんにゅーでドラム缶で…
Ｐ,そんな事ないよ年相応だよ！真乃がポヨポヨでめぐるがバインバインすぎるだけで！
灯織,プロデューサーの好みは
Ｐ,バインバインですな！
灯織,……ふぅん
Ｐ,……ウソダヨー？
灯織,いえ、プロデューサーのそういうご趣味は理解していますから。押し入れの奥のＰＳ４の箱に隠してあるＤＶＤもバインバインな女の子ばかりですもんね
Ｐ,ちょっと待って！？
灯織,気にしないでください。別にプロデューサーがどういったご趣味だろうと私には関係ありませんから
Ｐ,ちょっと待って灯織！待って灯織！下着売り場の奥に行かれると追いかけられない！
灯織,もうすっかり暗くなってしまいましたね
Ｐ,ソウダネ
灯織,今日はありがとうございました。有意義なオフだったと思います
Ｐ,ソレハナニヨリ
灯織,では帰りましょうか
Ｐ,ソウダネ
灯織,あぁ、でも帰る前に一度スーパーに寄った方がいいですね
Ｐ,夕飯の買い出し？
灯織,いえ、プロデューサーのご自宅のトイレットペーパー、もう残り少なくなっているでしょう？
Ｐ,
灯織,洗剤も買い足して置いた方がいいですし…あ、お米も買っておきましょうか
Ｐ,
灯織,どうしたんですか？早くしないと閉まってしまいますよ？
Ｐ,
灯織,まるで鳩が真乃くらったような顔して…。さぁ、行きましょう？
Ｐ,
灯織,晩ご飯は肉じゃがでいいですか？
Ｐ,
灯織,お風呂沸かせたらお背中流しますね
Ｐ,
灯織,お風呂上ったら耳掃除しますね。１人では怖くて出来ないんですもんね
Ｐ,
灯織,まだまだ足りないところばかりですけど……私は、誰より輝くアイドルになりたいんです
Ｐ,その前にスキャンダルで終わるわァ！！
鳩,クルッポー
真乃,うんうん、そうなんだー？
めぐる,何て言ってるか分かるの？
真乃,えっとね。まだまだ続くよ、だって
鳩,終わりだよ
