二宮飛鳥,寮への帰り道、ふらりとコンビニに立ち寄ったら
友紀,じゃあ買い物だねっ！決まり！
飛鳥,フフッ…ではそういうことにしておこうか
友紀,やっぱり近くにコンビニあると違うよねぇ。こういう時、パパッと寄れるし！
飛鳥,ああ、同意だね。コンビニエンス…読んで字の如く。便利さを追求して文明が生み出した、叡智の極みだ
友紀,…飛鳥ちゃん、もしかしてコンビニよく来る？
飛鳥,この店は雑誌の入荷数が多いからいつ来ても大概立ち読みできるんだ
友紀,すっごい詳しそう！？
飛鳥,という訳で、ボクは目的を達成させてもらうことにするよ
友紀,うん…。ねえ、晩ご飯買って帰るの？
飛鳥,？いや、夕食までには寮に帰るつもりだけど
友紀,良かったぁ。コンビニのお弁当ばっかり食べてたらどうしようって思ったよ…
飛鳥,流石にそこまで偏った食事はしていないさ
友紀,だよね、良かった良かった
飛鳥,…というか、それはキミが言えたことなのかい？料理はそれほど得意でないと聞いているが。もっとも、ボクも強く言えた義理ではないけれど。料理と言っても包丁やフライパンの使い方の基本や、鍋で麺を茹でることぐらいしか自信がない
友紀,うっ…。あ、あたしだって自分で料理するよ？ほら、はちみつにレモン漬けたりとか…、パスタ茹でたり！あっ、あとうどんとかも！
飛鳥,同じレベルじゃないか。今週のナノレトもなかなかだった。来週にも期待だね。さて、後は夜食でも買って帰ろうか
友紀,レジお願いしまーす！
飛鳥,あちらも終わったようだね。秘密の打ち合わせのための選考会…。彼女に合わせて言うならば、ドラフト会議といったところかな
友紀,ふー、重かったぁ
飛鳥,…。飲み物のコーナーにいた時から感じてはいたが、大量に買うものだね。２人で消費できるのかい？それ
友紀,いやぁ、流石に２人で飲みきれる量じゃないかな…。でも、ちょっとはあたし持ち帰るし、余ってもまた次に回せるでしょ？
飛鳥,そういうものなのか
友紀,それに、呼べば誰か来るかもしれないから多めにね。早苗さんなんか、どこに呼んでも打率８割ぐらいでやって来るんだから！あと、菜々ちゃ…
飛鳥,？
友紀,…ううん。なんでもないよ、うん。…そうだ！プロデューサー呼んじゃおっかな！
飛鳥,…おそらく彼は明日も仕事があるのだろう。誘うにしてもほどほどにしないと
友紀,分かってるよ～、半分冗談だから！
飛鳥,もう半分は？
友紀,うーん…。優しさかな！
飛鳥,…フフッ。なるほど、優しさ
友紀,あ、笑ったな～？優しさも大事なんだよ？厳しく接するだけじゃ選手も良く育たないでしょ？厳しさの中にも優しさが垣間見える指導ができてこそ、一流の指導者って言えるんだよ！
飛鳥,いつから彼の監督になったんだ
友紀,細かいことは良いの！つまりね、時にはプロデューサーを思いやって飲みに誘うのも大事な…、あっ店員さん、焼き鳥も下さい！
飛鳥,まだ買うのか
友紀,塩タレ２本ずつ…、んー…やっぱり３本ずつかな！ちゃんと袋に分けてね！
飛鳥,(誰かを呼ぶことは既に確定しているらしい。これが宅飲みというものか…恐ろしい)
友紀,ありがとうございまーす！さ、行こっか！
飛鳥,え。あ、あぁ。往こう。…(まさかこのまま連行されたりなんてこと…いやまさか)
友紀,…それでね、茜ちゃんどんどん先に進んじゃうもんだから、着いてくのがもう大変でさ
飛鳥,彼女らしいな
友紀,ね！でも、あたしも智香ちゃんも良い運動になったなぁ。景色も良かったし、空気もおいしかったよ！あ、あとお弁当も
飛鳥,フフッ、良い一日だったみたいだね。光景が目に浮かぶようだよ
友紀,今日みたいにみんなでハイキングする企画、またやりたいな！
飛鳥,きっと良い画が撮れていたことだろう、また声がかかるさ
友紀,うん！…そうそう、休憩中にやったキャッチボールも楽しくってさぁ…
飛鳥,(…我ながら珍しい日もあるものだ。寮までの帰路でこんなに誰かと会話をするなんて…。それも、普段は帰り道が違う友紀と)。(本当に、何の巡り会わせだろう。今この時間も、もっと言えば彼女と同じ事務所でアイドルをしていることも)
友紀,…飛鳥ちゃんってば、聞いてる？
飛鳥,聞いているさ。キャッチボールの話だろう？
友紀,そう！またやろうね。今度はゴムボールじゃなくて、ちゃんとしたボールで！
飛鳥,ボールか…。やはり、あの硬い方を使わなければいけないのだろうか
友紀,そんなことはないけど…。でも、グローブでバシーッ！って捕れた方が絶対気持ちいいって！
飛鳥,そうは言うが、なかなかに難しいものだよ。身体の動かし方も、力加減も。みな良くあれだけアグレッシブに身体を動かせるものだ
友紀,大きく動く必要なんてないんだよ？キャッチボールはね、下半身が重要なんだ！膝を柔らかくして…体の正面でボールを捕る！それと、手だけじゃなくて両手でこう…
飛鳥,(…まさかキャッチボールに誘われるようになっているなんて、以前のボクは思うまい。これもまた、アイドルを通じて出会った奇妙な巡り会わせの１つかもしれないな)
友紀,…っていうわけ！まぁ実践した方が早いし、続きはまた今度ね！今度！
飛鳥,あぁ。お互い、時間が空いたタイミングにでもまた誘うと良いさ。後はボクの気分次第だね
友紀,うん、約束だからね！…あっ、そうそう。忘れるところだった！
飛鳥,？
友紀,はいコレ！
飛鳥,…これは？
友紀,焼き鳥！！
飛鳥,ボクに？
友紀,うん、おみやげ。おやつにでも食べて…ってあー、袋一緒になってる…。分けてって言ったのに、もう！
飛鳥,…
友紀,なんかごめんね？塩とタレ一緒だけど、嫌かな？
飛鳥,いや…それは大丈夫、だけど
友紀,…。もしかして、焼き鳥あんまり好きじゃない？…あっ、鳥だから、とか…
飛鳥,そんなことはないさ。その、あまりに唐突だったから少々驚いていただけ。…それに、鳥の字を名に持つ以上、鶏肉絡みで揶揄されるのも既に通った道だ、今さら何てことはない
友紀,そっかぁ、良かった！
飛鳥,ただ…何故？キミに奢ってもらえるような何かを、ボクはしただろうか
友紀,へ？なんでって…うーん、特に理由なんてないけど…。あげたかったから、とか？
飛鳥,しかしそれではフェアじゃないだろう。モノを得るためにはそれに見合ったの対価が必要だ。等価交換という古来からの文化を尊重すればこそ、何もしていないのに一方的にモノを受け取るなんていうことはできないよ。そもそもモノを渡す行為というのは…
友紀,ちょちょちょ、ストップストップ！財布出しながら難しいこと言わないでよ！
飛鳥,お金でなければ体で払えとでも？…そうか、やはりボクを宴の席に連れ込むつもりで…
友紀,連れ込むって何のこと？！連れてったりしないから！
飛鳥,へぇ？キミが時々未成年にもお酒を勧めていると風のウワサで耳にしていたものだからね。まさかとは思うが、それなりに身構えていたところだったんだけど
友紀,その噂流したの誰ー！？ビール勧めてなんか、ない…よ？うん
飛鳥,(ビールとは一言も言ってないけどね)
友紀,さてはプロデューサーだな？もう！キャッツじゃないとこのファンはこれだから…
飛鳥,それ、キャッツ関係あるのかい？
友紀,…何の話だっけ。えーっと、そうそう！焼き鳥だよ！
飛鳥,どんな意図があってソレをボクに渡したのか、と問うたんだ
友紀,理由なんてないんだけどなー。ほら、買い食いとかさ。これあげるーとか、じゃあ明日はあたしがーとかさ、そういうのあるじゃん？あんな感じだよ
飛鳥,…では次はボクが奢るということになるのかな？
友紀,あっいや、そういうつもりでもなくって…
飛鳥,ならば受け取る理由はないということになる
友紀,えぇ…。…あーもう！飛鳥ちゃん難しく考えすぎ！焼き鳥、いらない！？食べなきゃあたしが食べちゃうから！
飛鳥,ボクはビールなんか飲まないけど
友紀,駄目に決まってるじゃん！
飛鳥,…他意はない、と？
友紀,ないよ？
飛鳥,…。(考えすぎ、理由なんてない、か)。そういうものなのかな
友紀,そうそう、そういうものなの！
飛鳥,…いいだろう。理解った、もらうよ
友紀,よろしい。いやぁ…空振りどころか、タイムリーエラーまでしたかと思ったよ…
飛鳥,無償の施しに甘んじるのはボクの主義ではないが…これはまた少し違うモノのようだね
友紀,そんな大袈裟なつもりじゃなかったんだけどな
飛鳥,せっかくの好意だ。ありがたく頂戴することにしよう
友紀,うん！食べて食べて！
飛鳥,…しかし、うら若き女子中学生を捕まえて渡すおやつが焼き鳥とはね。だいぶオジサン臭いんじゃあないかな？
友紀,え～、良いじゃん焼き鳥。美味しいよ？
飛鳥,キミの場合はビールのお供に、という前提が付くのだろう？生憎ボクはまだそんな年じゃない
友紀,…言ったな？そんなこと言う生意気な子には…、唐揚げもおまけしちゃうぞ！
飛鳥,…鳥だけに、かい？それも。流石に遠慮しておくよ。キミ達の分がなくなってしまうのは忍びないし、何よりボクの胃がもたない
友紀,そっか。確かに、食べ過ぎ飲みすぎは良くないもんね！太っちゃうし
飛鳥,ダンスレッスンである程度運動量は確保できるが、それでもね
友紀,ビールっ腹、ひっこめるのって大変なんだよ～？気をつけなきゃ！
飛鳥,…(体重…運動…)。もしかして、全部計算だったりする？
友紀,へ？計算？何が？
飛鳥,…いや、何でもない。また考えすぎていたようだ
友紀,そう？よく分かんないけど…。あっ、比奈ちゃんちこっちなんだ！
飛鳥,そうか。ここでお別れだね
友紀,じゃあ、またね飛鳥ちゃん！ばいばーい！
飛鳥,あぁ、また事務所で。比奈さんにもよろしく
友紀,オッケー！さぁ、祝杯あげるぞー！オーッ！
飛鳥,…。考えすぎ、か。やれやれ、考えないのも難しいことだというのに、全く。飾らず、素直に、剥き出しで。ありのままの彼女だからこそできる発想なのかもしれないね。直球勝負、なんて。…フフッ、一緒にいて思考が感化されてしまったかな。…お菓子はまた明日にしよう。(夕食をやや少な目に盛ってもらったら、体調が悪いのかと心配させてしまった。…さて)。…うわぁ。(封を開けると、案の定一方のタレがもう一方にも飛散し美麗とはとても言えない容態となっていた。袋が一緒ならばそれも仕方ないか)。おっといけない。見てくれで評価するのは早計だ。料理で大事なのは味、中味で勝負…。よし。塩にタレ、か。甘味と塩気、間逆の両者が混じり合うことで生まれるテイスト。…まぁ、悪くない味かな。うん
