笠原淳一,３４
笠原,うーーん、まあ……。でも、目立った個性や人を引き付けるものがないから、女性受けはしないでしょう
喪黒,大丈夫です。何とかなりますよ
笠原,婚活パーティーの案内状ですか？お気持ちはありがたいんですけど、私は婚活パーティーで連戦連敗中ですから……
喪黒,このイベントは、他の婚活パーティーとは一味違いますよ。なぜなら、これは仮面パーティーなのです
笠原,仮面パーティー！？
喪黒,はい。参加者、スタッフ、司会者全員が仮面をつけて参加するのです
笠原,変わったパーティーですね……
喪黒,仮面パーティーは、見た目よりも内面を重視するイベントなのです。だから、笠原さんに向いているでしょう
笠原,そうですか……。でも、私は自信が持てないんですよ。このパーティーでもダメだったら、どうしますか？
喪黒,心配いりません。私が、あなたに気合を入れてあげましょう！。あなたは、仮面パーティーで素敵な相手と出会います！！きっと出会います！！
笠原,うわああああああああああ！！！。本当に参加者が全員、仮面をつけている……。実にミステリアスな雰囲気だな……。仮面で顔を隠しているおかげだろうか……。何だか、普段よりも積極的になれそうな気がしてきた……
司会者,それでは、皆様お待ちかねの……。告白タイムです！！
笠原,私は……。あの……、連絡先を交換したいんですけど
女性,分かりました……
友美,仮面を取ると、何だか不思議な感じがしますね……
テロップ,桂木友美３２
笠原,そうですか……？むしろ、仮面がない方が自然な感じがしますよ
友美,それにしても……。笠原さんって、意外と男前な顔してるんですね
笠原,いやぁ……、女性にそう言われたのは初めてですよ
BAR,魔の巣
喪黒,カップリングを経て、交際成立ですか？おめでとうございます
笠原,しかも、相手の女性は社長秘書で、その社長は彼女の父親なんです。本当に、話がうますぎると思うほどで……
喪黒,ほう、そうですか……。もしも結婚が実現すれば、逆玉の輿もあり得るかもしれませんよ
笠原,喪黒さん、ありがとうございます。私に仮面パーティーを紹介してくださって……
喪黒,まあまあ……、笠原さん。大事なのは、交際が成立した後ですよ
笠原,確かに……
喪黒,問題は、そこからどうやってゴールインにつなげるかですから……
笠原,……ですよね
喪黒,あのパーティーでの笠原さんは、仮面をつけていたからこそ積極的な振る舞いができました
笠原,そ、それは……
喪黒,何も、相手の前で自分を飾る必要はありません。ありのままの姿で振る舞えばいいんですよ
笠原,は、はい……
喪黒,私は前にもお話ししましたが……。笠原さんの長所は平凡でありながらも、誠実であることです
笠原,はあ……
喪黒,だから、笠原さん……。あなたには約束していただきたいことがあります
笠原,約束！？
喪黒,そうです。あなたはこれから先、ありのままの姿で彼女と向かい合ってください
笠原,わ、分かりました……。喪黒さん
主演男性,俺は世界を敵にしてでも、君を守るつもりだ……
友美,ずいぶん庶民的な店を選んだねぇ。笠原さん
笠原,ああ。これが俺の生き方だよ。等身大の人間として、ありのままの姿で振る舞うのが俺さ
チンピラ,コラ……。人にぶつかって、何も言わねえのか！！
笠原,あの……、さっきは本当にすみませ……
チンピラ,謝って済むと思うか！！お前がぶつかったせいで、俺は怪我したんだ！！だから、慰謝料払え！！
笠原,そ、そんな……
チンピラ,払えねえなら、この姉ちゃんを貰っていくぜ！！
友美,嫌ぁ、やめて！！離してぇ！！
笠原,友美が危ない……。ここで弱虫な態度を見せたら、俺は友美と別れることになる……。ウオオオオオオッ！！！。後は任せろ！！さあ、早く逃げるんだ！！。ハア……、ハア……、ハア……
喪黒,さっきは本当に怖かったでしょう？
笠原,は、はい……。慣れないことをしたもんだから、今も正直ビビってるんです……
喪黒,どんな気持ちで、彼女を助けたんですか？
笠原,まあ、その……。友美に対して、カッコいいところを見せようと思って……
喪黒,笠原淳一さん……。どうやらあなた、私との約束を破ったようですね！
笠原,あっ……！
喪黒,私は忠告したはずですよ。あなたはこれから先、ありのままの姿で彼女と向かい合え……と
笠原,くっ……
喪黒,変に見えを張ったり、カッコをつけたりするような真似はしてはいけない……というのが笠原さんと私との約束でした
笠原,す、すみません……！！
喪黒,もはや手遅れです。約束を破ったのだから、あなたにはペナルティーを受けて貰います！！。ドーーーーーーーーーーーン！！！
笠原,ギャアアアアアアアアア！！！
友美,さあ、入りましょう。父にあなたのことを紹介しておきたいから……
チンピラ,久しぶりだな……。兄ちゃん
笠原,ああっ！！
友美の父,うちの若い衆を投げ飛ばしたのは、お前か……
友美,ごめんなさい、笠原さん。私、この人とグルだったの……
笠原,そ、そんな……
友美の父,なかなか見込みがある奴だな。今まで似たようなことを試してきたが、今回のケースは初めてだ
笠原,えっ！？
テロップ,2年後――
笠原,等身大の人間としての、ありのままの人生……。こういう生き方をしたかったのに……
喪黒,そもそも、世の中に生きる人間たちは……。社会に適応するために、多かれ少なかれ複数の仮面を使い分けています
