百合,？
天龍,…よし、せめて皿洗いくらいはオレに任せとけ
龍田,いいのよ、天龍ちゃんは休んでて？私が作ったんだから、私に洗わせて？
天龍,いや、オレがやっから
龍田,…そうね、じゃあ一緒にやりましょ～？
天龍,ん…そうだな。二人でやればすぐ終わるしな！。よっしゃー、終わり終わり！
龍田,ありがとね、天龍ちゃん
天龍,いやいや、いいんだよ…って、意外と時間たってるな。もうこんな時間か
龍田,あら、本当ね
天龍,そんじゃ、オレはそろそろ風呂入り行くかな。龍田も行くだろ？
龍田,あ、私、ちょっとやることがあるから、先に行ってて～
天龍,やること？いいよ、待っとくから。それともなんか手伝えることだったら、手伝うぜ？
龍田,いいのよ、いいのよ、私一人でできるし、すぐに追いかけるから先に行ってて、ね？
天龍,そうか…？なら、先行っとくな
龍田,はい、じゃあこれ、お風呂セット用意しておいたから
天龍,おう、サンキュな…って、ホント今日はどうしたんだ？
龍田,いやぁ、午後は一人ぼっちで暇だったからいろいろしてたのよ♪
天龍,ひ、ひとりぼ…オレのせいか？
龍田,…うふふ、そういうことになるわね♪
天龍,うっ…明日は二人一緒の遠征だし、遠征終わったらどっかいくか？
龍田,あら、嬉しいわねぇ♪
天龍,よし、んじゃ、先行ってるからな！
龍田,…うふふ♪。さ、早速天龍ちゃんの布団にもぐって…。あぁ…天龍ちゃんの匂いが…。ん…まずいわねぇ、ちゃんと理性は残しておかないと。…ここからお風呂場までは2分くらい。そして、さっき渡した天龍ちゃんのお風呂セットには着替えは入ってるけどタオルはあえて入れなかった…。うふふ、天龍ちゃんはそれに気づいて、ここに戻ってきて目撃するのよ…私が天龍ちゃんのベッドにもぐりこんで天龍ちゃんを想って自慰に耽っているところを…。はぁ…これは賭けよ。でも、きっとうまくいく…。あぁ、天龍ちゃん…天龍ちゃん…。すごい、すごいわぁ♡天龍ちゃんの布団に入っただけで、もうすごい濡れてるわぁ…///。んっ、はぁ…天龍ちゃん、天龍ちゃっ…♡。んっ、これ、やば♡ちゃんと理性は保たない、と…
天龍,龍田ー、これタオルがなｋ…
龍田,んっ、はぁ…天龍ちゃん、天龍ちゃん♡
天龍,た、龍田…？
龍田,て、天龍ちゃん！？ど、どうして…
天龍,いや、タオルが入ってなくって…それより、龍田。お前、オレの布団で何してんだ…？
龍田,え、ご、ごめ…ごめんなさい…ごめんなさい…。私…私…気持ち悪いよね、ごめっ、ﾋｸﾞｯ、ごめんなさい…
天龍,龍田…
龍田,ご、ごめんなさい…わ、わたっ、私…ごめんなさいっ
天龍,お、おい…た、龍田、ちょ、ちょっと待て！。龍田…。…。龍田、結局昨日は帰らなかったな…。…飯、食い行くか。…
龍田,…
天龍,いた…！。おい、龍田！
龍田,きゃっ…て、天龍ちゃん…。ご、ごめんね…
天龍,おい、ちょっと話が…
如月,龍田さん、天龍さん、そろそろ遠征に出発しないとじゃないかしら？
龍田,そ、そうね…出発しましょ
天龍,お、おい、ちょっとまっ…
睦月,さ、天龍さんも早く行くにゃしぃ！
天龍,…おう、そうだな
睦月,お疲れ様にゃー！
如月,お疲れ様♪
天龍,おう、お疲れ
龍田,お疲れ様…ごめんなさい、私行くわね
天龍,お、おい、ちょっと待てよ龍田！わりぃな、オレも行くから、お前らはちゃんと補給しとけよ
睦月如月,はーい
天龍,…ちっ、睦月と如月とほんの少し話してただけなのに、龍田のやつどこ行ったんだ？。ちっ…見失っちまったか。しゃあない、部屋に戻るか‥‥。…いるわけねぇよな。長めの遠征だったから、もう夜飯の時間だけど…腹、減ってねぇな。龍田…。昨日は、龍田がオレのベッドで…。オレも…龍田の布団に…。すげぇ…龍田の匂いが…。…龍田、龍田。んっ、はぁ…龍田、龍田っ！。あんっ…ん、なんか足に…。…これ、双頭ディルドだよな。ん…それにベッドの横の方に、これは…。…そうか、そういうことなんだな、龍田。フフフ、分かったよ、やってやるよ。着替えもないだろうし、さすがに今日は戻ってくるだろう。でも、恐らくオレが寝た後に戻ってこようとするだろうから今日は、オールだな…
龍田,…。…。…
天龍,…龍田
龍田,…。て、天龍ちゃん…
天龍,どこ行ってたんだよ
龍田,ちょ、ちょっと、ね
天龍,…まぁ、いいや。そんでよ、昨日の夜、オレのベッドで何してたんだ？
龍田,ご、ごめんなさい…ごめんなさい…
天龍,…それに、お前のベッドからこんなのがはみ出てたぞ？
龍田,そ、それっ！？
天龍,それに、お前がまさかこんな趣味をしてるとはなぁ…。お前のベッドの横の物陰から出てきたぞ。すげぇな、これ、手錠に、ローター、目隠し、電マ…
龍田,あっ…わ、私…
天龍,なぁ、龍田…？お前、オレにこれを使ってほしかったんだな？
龍田,そ、それは…
天龍,…まぁ、いいよ、無理やりするから。そういうのが好きなんだろ？
龍田,て、天龍ちゃん…
天龍,ほらっ！
龍田,て、手錠を…
天龍,…これでもう逃げられねぇな
龍田,ど、どうして、天龍ちゃん…
天龍,うーん、まぁ、オレもよく分かんねえんだけどよ…まぁ、とにかく、お前はオレにして欲しいんだろ？やってやるよ、嬉しいだろ？
龍田,…。…
天龍,フフフ、素直だな…じゃあ脱がすぞ？
龍田,は、恥ずかしい…///
天龍,…やっぱり、龍田の肌は綺麗だな
龍田,んっ、やぁぁ、そ、そこ…
天龍,なぁ、目隠ししてほしいか？目隠しすると、感覚が鋭くなってより感じるらしいぞ？
龍田,…
天龍,フフフ、そうだよな、その為に準備してたんだもんな
龍田,あ、あぁ…て、天龍ちゃん、な、何も見えない…こ、怖いわ…
天龍,フフフ、怖いだろ？でも、龍田はそうされたかったんだよな。まずは…これをつけてやるよ
龍田,…っ！
天龍,聞こえるだろ？
龍田,ん、はぁ…早く、早く…
天龍,ﾌﾌｯ、じゃあお望み通り…
龍田,んん゛っ…
天龍,って、龍田…お前、すっげぇ濡れてんな？
龍田,っ！？や、やぁぁ、い、言わないでぇ…///
天龍,まぁ、ちょっと待ってろよ、とりあえず…もう片方に…
龍田,あんっ！
天龍,ふふっ、可愛いぞ龍田
龍田,んっ、お、おっぱい、天龍ちゃんの手、冷たくて、気持ちいい…
天龍,はぁ、龍田の胸は可愛いな…
龍田,んっ、はぁ…やぁぁ……///
天龍,龍田…んちゅっ
龍田,んむっ！？
天龍,んちゅ、あむっ…れろれろ
龍田,んっ、はむ、てんりゅちゃ…んくっ、れろぉ…
天龍,んむっ…んちゅっ、ちゅぱっ
龍田,んっ、はぁ…はぁ…天龍ちゃん…
天龍,待ちきれねぇみたいだな…こっちも弄ってやるよ…
龍田,んっ、はぁぁ…そこ、もっと、もっと触ってぇ…♡
天龍,…脱がすぞ
龍田,んぁぁ…はやくぅ、はやくぅ…
天龍,龍田…
龍田,ひゃんっ！
天龍,龍田、龍田…
龍田,んっ、あぁんっ…天龍ちゃ…///
天龍,ふふふっ…可愛いな、龍田…んちゅっ、れろぉ
龍田,んっ、はぁ…んむっ、れろぉ…
天龍,ぷはっ…はぁ、ほらほら、まずは一回イカせてやるよ
龍田,あんっ、天龍ちゃんっ…イク、イクッ…！。ん…はぁ…はぁ…///。天龍ちゃん…♡もっと、もっと欲しい♡
天龍,もっと欲しい…？よし、んじゃあ…
龍田,ん゛ん゛ぅぅぅっ！？。ぐぅぅぅぅっ！！？
天龍,すげぇ、すげぇな龍田。クリトリスにローター付けたら、魚みたいに跳ね上がって
龍田,ん゛あ゛あ゛あ゛あああ゛゛ああ゛っ！イってるぅ、イってるからどめ゛でぇっ！
天龍,お前がもっと欲しいって言ったんだからな？こん位じゃ終わんねえぞ？。電マも当ててやるよ
龍田,無理っ、い、いま゛そんっな…あんっ、あ、当てられたらぁ…！
天龍,…ほれっ！
龍田,～～～～～～～っ！！？！？。やらぁぁぁぁぁぁああっ！
天龍,え、エロいな、龍田…
龍田,あ、あ、あっ、あっ…。とめ、止めて…天龍ちゃん…
天龍,…まだ、これを使ってないだろ？
龍田,そ、んな‥‥ま、まさか…‥
天龍,ん、なんだこの双頭ディルド、こっちの方がだいぶ太いなぁ…。もちろん、龍田はこっちの太い方がいいよな…？
龍田,んっ、はぁっ……やらぁぁ、ローターとめてぇぇ…
天龍,なんだ、聞いちゃいねぇな‥‥ま、龍田の意見なんて聞く気はなかったけど…な！
龍田,んぐっ！。んぎぃぃっ！！？。ん、ぬ、ぬいれぇ！お、おしっこ出ちゃうからぁ…！
天龍,んじゃあ、抜いてやる、よっ！
龍田,んっ、あぁぁぁ゛ぁ゛…おしっこ…でちゃ…あ、あぁぁ…。んっ、ふぁぁ…
天龍,あちゃぁ…漏らしちゃったなぁ、龍田
龍田,ご、ごめん、ごめん、ね…天龍ちゃん…
天龍,…泣いてる暇はないぞ？
龍田,んぎぃぃっ！？
天龍,すんなり入るな…もうオレも我慢できねぇし、こっちの細い方は、オレが…。んっ、お、オレも龍田の事言えねぇくらい、濡れてるっ、な…
龍田,…。んっ、はぁ、天龍ちゃん、天龍ちゃんと一つに…！
天龍,んっ、お、おいっ、あんっ！きゅ、急に動く、なっ！
龍田,天龍ちゃん、天龍ちゃん、好きっ、好きぃぃっ！
天龍,ふ、ふふっ、そうか、分かったよ、お前がそんなにイキてぇなら、オレも動いてやるよ！
龍田,やらぁぁ、天龍ちゃ、い、イク…イクぅっ！
天龍,んっ、やばっ、ど、どうして、こんなはや、く…や、い、い、クッ…！。～～～～っ！。ん、はぁ…はぁ…な、なんだ、これ…あ、頭が、蕩ける…
龍田,天龍ちゃんっ！
天龍,うあっ！？
龍田,はぁ…天龍ちゃんの顔は見えないけど、天龍ちゃんを感じるわぁ♡
天龍,んあっ、ちょ、ちょっと待て、あんっ…龍田、止まれ、んっ、やばっ…
龍田,はぁ…はぁ…天龍ちゃん、天龍ちゃん
天龍,ん、あぁぁ…！
龍田,天龍ちゃん、天龍ちゃんっ！
天龍,ん゛あ゛ぁ゛ぁ゛、イク、イグぅぅっ！。あ、あ、もっと、もっと、龍田ぁ、もっと動いてくれぇ♡
龍田,はぁ、はぁ、天龍ちゃん、可愛いっ可愛いっ！
天龍,から、だっ、熱いっ！熱いっ！もっと、もっとぉっ♡ずっとイってるけど、もっとイキきたいぃっ！
龍田,天龍ちゃん、天龍ちゃん、気持ちいいっ、気持ちいいわっ！
天龍,あ、来る、来る、こん、な、こんな深いの初めてっ！あ、あっ、あ…
龍田,わ、私も、私も、イク…イク…♡
天龍,あ、あ、あ゛あ゛…んん゛ん゛ぅぅぅ～～～っ！！
龍田,あ、あ、あぁぁ…い、い、イクイク、いぐぅぅっ！
天龍,ん、はぁ…はぁ…
龍田,はぁ、はぁ…天龍ちゃん…んちゅっ、れろぉ…
天龍,た、龍田ぁ…♡んむっ、ちゅぱっ、れろぉ…
龍田,ん、ぷはっ…
天龍,はぁ…はぁ…
龍田,んっ、はぁ…て、天龍ちゃん、わ、私、天龍ちゃんとのエッチすっごく気持ちよかったわ…いつもの自分でするより何倍も何百倍も…頭溶けちゃうくらいに…♡
天龍,お、オレも、オレも死にそうなくらい…気持ちよかった…///
龍田,私達、身体の相性はばつぐんね♪
天龍,…な、なぁ、龍田
龍田,どうしたの、天龍ちゃん？
天龍,そ、その…最初、無理やりやる形になっちゃって、その…すまなかった
龍田,え、いいのよ、そんなこと…だって、私すごい気持ちよかったし、それに最後の方は私が暴走しちゃっていたし…。それに、私、大好きな天龍ちゃんとエッチできてすごい嬉しかったわぁ♡
天龍,…っ！そ、それでなんだけど、じゅ、順番が逆かもしれねぇけど…その、た、龍田、お、オレと恋人になってくれないか！？
龍田,て、天龍ちゃんの恋人…？
天龍,あ、あぁ…龍田がいなくなって、龍田の事を考えてたら…胸が苦しくなって、それで龍田の事が頭から離れなくて…それでいて、エッチな気分になって…。オレ、その時気づいたんだ。龍田の事が姉妹とかそれ以上に…好きなんだって。だから、オレと恋人になって欲しい…
龍田,…
天龍,た、龍田…？
龍田,う、うぅっ…ぐすっ…
天龍,お、おい、ど、どうしたんだ？ど、どこか痛めたか？
龍田,ち、違う、の…うれ、嬉しくて…ﾋｸﾞｯ…わ、私、も天龍ちゃんの事好き…ﾋｯｸﾞ、だった、からっ
天龍,龍田…龍田…！
龍田,うぅ、天龍ちゃん、好き、好きよぉ
天龍,あぁ、オレもだ、オレも好きだ
龍田,うふふ、これで天龍ちゃんと恋人同士ね？
天龍,お、おう
龍田,…ねぇ、天龍ちゃん？
天龍,なんだ？
龍田,…私、恋人同士のエッチ、したいな？
天龍,こ、恋人同士のエッチ…。お、おう…お、オレもしたいし…やろう…
龍田,うふふ、これからもよろしくね、天龍ちゃん♪。ふふ、天龍ちゃんは私のモノよ？。私が天龍ちゃんでオナニーをしているところを見せて、私の事を意識させる…。そして、その後に、なるべく会わない、話さないようにすれば、私の事を…最後に見た私のオナニーが強烈な印象で頭に焼き付く…。そして、そして、後はベッドに道具を置いて、私に被虐願望があることを知ってもらえば…。天龍ちゃんは、私を自分のモノに、苛め抜く対象として設定するのよ♡。後は簡単…天龍ちゃんが最後に手に取った双頭ディルド…あれの細い方に超強力な媚薬をぬっておけば…。あの時点において、被虐願望があることを演じていた私に太い方を、そして、エッチな気分になっている天龍ちゃんも我慢できずに自分に細い方をあてがう事は想像出来る。後は、媚薬が回りだした頃にこっちが攻めに回ればいいだけ…あの媚薬は強力で、力もほとんど入らなくなるから、私から逃げることはできない…。そして、深い深い、絶頂を味わった天龍ちゃんの躰は、心は…もう私無しでは形を成さない‥‥。あぁ、天龍ちゃん、あなたがわるいのよ？。優しいから、かっこいいから、可愛いから…ねぇ、そんな人に心が奪われないわけないでしょ？。天龍ちゃん…あなたは私の特別…。ねぇ、もう一生、離さないからね？
天龍,龍田…ふふ、あははははっ！手に入れた、ついに龍田を手に入れた！。お前はオレのモノだ、お前の髪も、目も、鼻も、口も、唾液も、耳も、胸も、臍も、膣も、アナルも、愛液も、足も、腕も、爪も、声も、匂いも…そして心も、全部オレのモノだ。きっと龍田は全て自分の思い通りになって、オレの事を完全に支配したと思っているだろう…まぁ、実際そうだ。オレは龍田に支配されてる。そして、龍田がオレの事を自分のモノと考えていてくれた方が、何気ない形で龍田を誘導して、より、オレに依存させることが出来る。なぁ、気づいてるか？お前はずっとオレの手のひらで転がされていたことに。オレが、お前に必要以上に優しく、カッコよく、崇拝する対象となったところで、距離を置く…。木曾や阿武隈と一緒に行動することを多くしたのも、全部お前をオレに依存させるためだ。お前とはいろいろ出かけたよな、すごい楽しかった
天領,でもな、あれもただのお出かけじゃない。オレとの思い出をより深くするためのお出かけでもあるんだぞ？
天龍,なぁ、分かるよな？距離を置くことで、お前はオレのイメージをどんどんどんどん美化して…それは憧れから恋…そして依存にかわるんだ。そして、オレに依存する。いや、龍田、お前はオレに依存した。お前が、わざとオレにオナニーを見せたことも知ってるぞ？。お前もオレと同じように、相手に何かの印象を付けて距離を置いたんだよな？。だって、そうすることで相手は自分の事しか考えられなくなるもんな？…お前自身がそうだったように。それで、その後にあの道具をわざと見せて、オレとセックスをする…。全部わかってたぞ？。あぁ、だが、一つだけ、想定外だったのはオレとお前との身体の相性だ…。なぁ、龍田、お前がオレなしじゃいられないように、オレももうお前なしじゃいられないようだ。あぁ…オレの可愛い龍田…。一生離さない…オレの身体と心で、お前をがんじがらめにして、依存させて、オレだけのものにしてやる
天龍田,ふふっ、ふふふっ……………
