事件１,春香の母を探せ
P,ハニーなんて呼ばれて、小っ恥ずかしいったらありゃしないけどな？
警官,洒落たもんじゃないか？我々の子供時分じゃ考えもしなかったが
美希,ほらハニー！恥ずかしがることなんてないの！警官さんもこう言ってるの！
P,洒落てようが恥ずかしいもんは恥ずかしいんだっての…
警官,っと…それで？わざわざ痴話喧嘩を見せつけるためにここに来たってわけじゃないんだろう？
P,察しがよくて助かるよ、ちょっとばかし仕事を回して欲しくてね…
警官,珍しいな、そっちから仕事を欲しがるだなんて…
P,ちょっと律子嬢にせっつかれてね…
警官,あぁお嬢さんにね…なるほど
P,というわけで、何かあるかね？
警官,それならちょうど良いのがある、といっても事件かどうかもわからんが…
P,ほう…
警官,失踪事件だよ…と言っても、なんの証拠もないし…我々としてはこのご時勢に事件かどうかわからん物に手を出す暇がなくてな？
P,ふむ…
警官,事件扱いにはせずにいるんだが…毎日失踪者の娘が来てね…気の毒だがこればかりは
P,よし…それにさせてもらおうか…その娘の住んでる場所はわかるかい？
警官,あぁ…その必要はないよ
P,ん？
警官,先生は相変わらずの悪運というか…その娘、そろそろ来ると思うよ？いつもこの時間に来ては母親を探してくださいって頼みに来るんだ
P,おぉ…わざわざ出向く手間が省けた！
警官,さっき平和がどうのこうの言ってた人間の言葉とは思えんがねぇ…
P,律子嬢の怒りをおさめるためなんだ、仕方ない！
警官,はっは！それなら仕方ないな！しかしまぁこの件少し事情があってね…
美希,ねぇねぇハニー？
P,ん？どうした美希？
美希,その女の子ってもしかして…
P,もしかして…
警官,あぁ…あの子だよ
春香,…
美希,…
P,…
警官,やぁ春香ちゃん
春香,こんにちは…あの…今日もお願いにあがりました…
警官,申し訳ないんだが君のお母さんの件で我々は動けないんだ
春香,お願いします…お願いします…
警官,すまない…前から言っているように事件性がはっきりせんと動けないんだ
春香,…
警官,だからと言ってはなんだが…我々の代わりに君の力になれる人を紹介させてもらいたいんだがどうだろうか？
春香,ち、力に？
警官,あぁ…先生？
P,初めまして、私７６５探偵事務所っていうのをやってるもんでして…
春香,探偵さんですか？
P,はい、警官さんから貴方の話を聞きましてね…ぜひお力になれないだろうかと
春香,あ、あの！お母さんを探してくれるんでしょうか！
P,えぇ…私たちで良ければお手伝いさせていただきますよ
春香,お願いします！母を…母を！
美希,…
P,ここじゃなんですから事務所の方で詳しいお話を聞かせてもらいませんかね？そんなに遠くないですから
春香,は、はい！
P,それじゃあ行きましょうか！それじゃあ…
警官,あぁ先生…よろしく頼みますよ
P,えぇ
警官,春香ちゃん、この人は見かけはこんな野暮ったいのだが中身は一流の探偵だから安心して良いよ
春香,はい…お世話になります
P,誰が野暮ったいだ、誰が
美希,ハニーは中身で勝負なの！
P,こらっ…
律子,やれば出来るじゃないですか先生、ちゃんと依頼人を捕まえてくるなんて！
P,捕まえてくるって…人聞きの悪い…
律子,でも事実でしょう？
P,まぁ大きく違ってるわけじゃないですけど
春香,あ、あの～…
律子,あっ！春香ちゃんですっけ？珈琲飲めるかしら？
春香,は、はい
律子,それじゃあ、ちょっと待っててね今入れてあげるから！
P,待て待て律子嬢！珈琲ならなかったんじゃないのか！
律子,依頼者様用は別です、何言ってんですか？
P,おいおい…
律子,それより今は春香ちゃんの話です、しっかり聞いてあげてくださいよ先生
P,わかってるって…じゃあ春香ちゃん詳しい話を聞かせてくれるかな？
春香,はい…
P,…
春香,よっちゃ…母がいなくなったのは今からちょうど１週間前です
P,ふむ…
春香,その日まではこれまでと何も変わりなくて…いきなりいなくなってしまって
P,失礼だが、君のご家族の事に関して聞いてもいいかな？
春香,はい…といっても今は母と私しかいませんが
P,お父上は？
春香,震災で…亡くなりました
P,あぁ…これはすみません
春香,いえ！良いんです！お気になさらないでください
P,あーっと…という事はお母様が働いてらっしゃった？
春香,私も働いてますけど、そうですね…母が朝から晩まで働いてくれていました
美希,朝から夜までって…寝る時間がなさそうなの…
春香,本当に寝る間も削って働いてくれていました、おかげで貧しいですけどなんとか暮らせていけましたし
P,なるほど…それで、さっきも言っていたようにそれまでお母様は特に変わった様子はなかったと…
春香,いなくなった日も朝から仕事に行っていましたし…でも夜遅くになっても帰ってこなかったですし、翌日も…
P,しかしそれじゃあお母様と一日で一緒にいる時間かなり少ないんじゃないかい？
春香,そうですね…一時間もなかったかもしれません、でも交換で毎日手紙を出してましたから寂しくはなかったです
P,家の中からお母様の私物で何かなくなっているようなものは？
春香,いえ…お金も含めてなくなってるようなものは…
P,お母様の交友関係は？
春香,特に気になることは…
P,ふむ…お母様の仕事場には連絡なさったんですよね？
春香,はい…いなくなった当日も普通に働いていたと…
P,となると行方がわからなくなったのは夜以降ですか…
春香,そのようです…
P,わかりました…あとは任せてください
春香,あの…これだけで良いんでしょうか…
P,あとは他の人からもお話を聞かないとなんとも言えないですしね、とりあえずお母様の仕事場の場所を伺ってもいいかな？それとまたあしたこの時間にここに来てくれるかな
春香,はい…
律子,はいっ春香ちゃん、珈琲よ
春香,あっ…ありがとうございます
P,お、俺のは…
律子,依頼をしっかりとこなしたらあげますよ？
P,はぁ…
美希,ん～ハニー、春香のママは見つかりそうなの？
P,昨日も言ったが、こればっかりは色々と調べてみんとな…ところでどうだ春香ちゃんから匂いは感じたか？
美希,うん…
P,やっぱりか…変に重要なことだと困るんだがなぁ…
美希,ねぇ…ハニー？
P,ん？なんだ？
美希,パパもいなくてママもいなくなっちゃたんでしょ…美希、春香は今とってもさみしいと思うの…
P,あぁ、そうだな
美希,…
P,…
美希,…
P,さぁ、さっさと春香ちゃんのお母さんの店とやらに行くか…
美希,うん！
主人,何？天海の事を聞きたい？
P,えぇ、娘さんから依頼を受けてましてね
主人,聞きたいって言われてもねぇ、こっちの方が聞きたいくらいだよ…
P,何か変わったところは無かったですかね？
主人,う～ん…まぁあの人ここ以外でも働いてたんだろ？まぁだいぶ疲れてるようには見えたけどさ
P,その他には？
主人,う～ん
美希,招き猫さんなの！ニャーおっ！
P,おい美希！あんまりお店のものを勝手にいじるんじゃないぞ？
美希,はーいなの！
主人,可愛い子だねぇ、混血かい？
P,はぁ…まぁそんなとこです
美希,♪～
P,それでご主人、他に何か変わった様子は？
主人,いや～特にはないなぁ…
P,それじゃあ何か人に恨まれるようなことがあったとか
主人,それはないねっ、あの人は人に好かれたって恨みをかうような人じゃあないよ
P,そうですか…
主人,あれだけ器量よしだとね、男連中にも受けが良かったし…駆け落ちか…。いや、それとも誰かに…いやいや！変なこと考えちゃいけないな！忘れてくれ探偵さん！
P,…
女将,天海さんのことかい？あたしゃもう本当に心配でさぁ
P,娘さんも大変心配なさってます
女将,女手一つで娘さん育ててねぇ…ウチみたいに遅くまでやってる店でも嫌な顔一つせず働いてくれて
P,もう一つの仕事場のご主人にも聞きました、大変良い方だと
女将,そりゃあもう！べっぴんだし気もきくし、悪いとこ一つないよ！
P,まぁ確かに春香ちゃんもなかなかの…って痛っ！
美希,む～っ…今何か良からぬこと考えてたの…
P,なっ！そんなことは！
女将,はっは！こりゃあ随分と嫉妬深い子だね？
美希,ハニーは美希のハニーなの！他の女の子をそういう目で見たら浮気なの！
女将,はにぃ？
P,あぁ、コイツのことは気にせんでください…
美希,むぅ
P,それでですね…何か天海さんについて、最近変わったようなことはなかったでしょうか？
女将,う～ん…特にはないねぇ…
P,そうですか…
女将,あんたみたいな探偵さんが動いてるってことは警察が動いてないんだろ？やっぱり自分からいなくなっちまったのかね？
P,まぁその線も捨てられませんがね
女将,それに手紙もあったんだろ？
P,手紙？ちょっと待ってください、なんのことですか？
女将,あら、あんた聞いてないのかい？天海さんがいなくなった時に手紙が置いてあったらしいんだよ
P,手紙か…
女将,玄関先にさ探さないでくれ、春香ちゃんならもう大丈夫だからってね？あれ、春香ちゃんから聞いてないのかい？
夫,た、ただいま…
女将,あらあんたお帰り！
P,おじゃましてます
美希,してますなの！
夫,こちらは…？
女将,探偵さんだってさ、天海さんのことで聞きたいことがあるんだってさ
P,…
夫,あぁ…天海さんの
女将,それで、探偵さんこの人からも何か聞いてくかい？
P,じゃあ一つだけ、天海さん…仲のいい男性なんかいましたかね？
夫,いや…知らないな、聞いたことないよ
P,そうですか、ありがとうございます…とりあえず聞きたいことは以上です
女将,そうかい、ところであんた…しっかり春香ちゃんの力になっておくれよ！
P,はい、もちろんです
女将,それじゃあ、あたしは準備でもしようかね？ちょっとあんた！あたしゃ蔵いって酒出してくるから店の準備頼むよ！
夫,あぁ…
P,お忙しいのにありがとうございました…
女将,いやいや、これも春香ちゃんのためだからね！
P,近所の人間や、関わりのあった人間…今日一日でかなりの人数に話を聞いたが
美希,伝わってくるのは春香のママがいい人ってことだね
P,あぁ、こんなに悪い噂の出ない人も珍しいもんだよ
春香,そうですか…
律子,それじゃあ手がかりはないんですか？
P,いや…手がかりならかなり大きなものがあるよ
春香,本当ですか!?
律子,よかった！それじゃあそこから春香ちゃんのお母さんに繋がるものが！
美希,…
P,あるかもしれないな…でもその前に春香ちゃんに聞きたいことがあるんだ
春香,聞きたいこと…ですか？
P,春香ちゃん、君…俺たちに隠してることがあるんじゃないかい？
春香,隠してることなんて…
美希,無駄なの春香、ハニーも私も気づいていて聞いてるの
春香,…
P,俺たちは警察じゃないんだ、どんなことがわかろうとしっかりと君の依頼には応える
春香,…
P,教えてくれるね？
春香,わかりました…
律子,…
美希,…
春香,手がかりは何も無いといったのは…あれは嘘です。母からの手紙…手紙が、母がいなくなった時に見つかっていました…
P,そうか…
春香,本当はすぐに渡さなきゃって思っていたんです！でも警察の人に見せた時に事件性がないって言われちゃったから…
P,…
春香,探偵さんも協力してくれなくなるんじゃないかって…それで…
P,他にも、お母さんの交友関係について隠してることがありますね
春香,は、はい…
P,一応確認のために警官さんに聞きましたよ
春香,…
P,最近春香ちゃんのお母様に男の影があった…これは貴方しか気づいていなかったようだけどね
美希,…
律子,せ、先生…
P,これも警察に正直に話した…でも結果として警察の判断はお母様とその男が駆け落ちしたんだというものになった
律子,わかってるなら何も口に出さなくたって…
春香,良いんです…良いんです
P,…
春香,本当にごめんなさい！私っ…私っ…
P,…
春香,警察の人は動いてくれなくて…貴方達が私にとって最後の頼りだからっ！。お願いします！大事なことを隠していた事は謝ります！だからっ…
P,…
律子,春香ちゃん…
春香,うぅっ…
P,…
美希,大丈夫だよ春香
春香,え…？
美希,確かに春香が隠し事をしていたのは悪いことなの、でも春香は本当に困っていたからそんなことをしちゃったんでしょ？
春香,そうだけど…けど…
美希,ハニーはそんなことぐらいで春香の依頼を断ったりしないの！しっかり最後まで力になってくれるの！。ねっ！ハニー！
P,当たり前だろうが
律子,私達は絶対にあなたを見放したりしないから！
春香,ありがとう…ございますっ…
P,もう、隠し事はなしだよ？
春香,はい…
P,それじゃあ続けてもいいかな？
春香,はい、大丈夫です
P,お母様は、再婚を考えたり…君に会わせたい男の人がいるなんて事言ってなかったかい？
春香,それはなかったです…
P,それじゃあどうして男の人の影があると？
春香,それは…夜中、私がふと起きた時に玄関先で男の人の声と母の声がしたので…男の人は大きな声出してました
P,顔は見ていないんだね？
春香,はい…
女将,いらっしゃ…あら？探偵さんじゃないの
P,いや～一日何度もすいません
美希,…
女将,お客さんとしてきてくれたのなら大歓迎さ！
P,いえ、手紙の件で聞きたいことができたので…よろしいですかね？
女将,手紙？あぁ今はお客もいないし構わないよ？
P,助かります、それで手紙の件ですけど…春香ちゃんから手紙の内容お聞きになったんですよね？
女将,あぁそうだよ、さっき言ったとおりさ
P,申し訳ない、もう一度だけ聞かせてもらえないでしょうか？
女将,まぁ良いけど…玄関先にだっけか？探さないでくれ…春香なら大丈夫、こんなところじゃなかったかね？
P,？
女将,あぁそのはずだよ？
P,本当に？
女将,あぁ、本当に
P,いやぁ…それはおかしいなぁ…
女将,何がおかしいって言うんだい？
P,確かに春香ちゃんは数人に母親からの置き手紙の事を話してます
女将,あぁそうなのかい？
P,でもおかしい…
女将,だから…何がおかしいって言うんだい
P,皆さん手紙のことは知ってますけどね？でも誰ひとりとしてその内容まで詳しくは知らないんですよ
女将,そんなこと、それぐらい状況を考えりゃ大体の中身わかるもんじゃないかい
P,まぁそうでしょうね？でも女将さん…貴方だけでしたよ？。玄関先に手紙が置いてあったなんて言ったのは
女将,…春香ちゃんが言ったんじゃなかったかね？
P,貴方にだけ？
女将,そういうこともあるだろね？本人も気が動転してて覚えてないんだよ
P,そうですかね？
女将,そうだよ
美希,…
P,そうですか…
美希,…
P,どうだ？美希…
美希,間違いないの…この人、嘘をついてる匂いがするの
P,うむ…じゃあ決まりだな
女将,ちょっと…あんた達、いきなりなに言ってんだい
P,この子はね、まぁ普段は訳のわかんない子なんですけど…変な力というか人が嘘をつくとわかるらしいんですよ…匂いってのがするらしくて
女将,あんた、それであたしを嘘つき呼ばわりするのかい？
P,いやいや…これはあくまでも私の験担ぎみたいなものですから、でもこれで自分の考えに自信が持てました
女将,…
P,その手紙の内容ですけどね、もちろん貴方から聞いた後に私も春香ちゃんに確認したんですよ。その手紙、何かおかしな所はなかったかい？癖が違うとか…
春香,字は母のものだったと思います…その…呼び方が…
律子,呼び方？
春香,はい…お恥ずかしい話なんですけど…私、母のことをあだ名で呼んでいて…母も自分の事をよっちゃんって
P,へぇ…珍しい
春香,人前では恥ずかしいですし、良くは思われないだろうと思って母と呼んでますけど…手紙や二人きりの時はよっちゃんって
P,お母様は春香ちゃんの事をなんて呼んでいたんだい？
春香,あの…春ちゃんって
P,それで…その手紙では？。その手紙では春香ちゃんの事を春香、一人称はお母さんだったんです
女将,それじゃあ…誰かが書いたってことかい？
P,いえ、かなり癖のある字でしたから…恐らく誰かに脅された状況で書かされたんじゃないかとね。実際、付きまとってる男がいたなんて話も聞こえてきましたし、その男がどうも怪しいんじゃないかと
女将,そうなのかい？…でも、そんな話を私にしてどうしようって言うんだい？
P,え？
女将,あんたはどうもあたしを犯人にしたいみたいだけどね…その手紙が誰かに書かされたものなら立派な事件じゃないか。あんたがしなきゃいけないのは、それを警察に言うことじゃないかい？
P,私は別に女将さんだけに話してるわけじゃないんですけどね…
女将,どう言う意味だい？
P,そこの料理場にいる旦那さんにも話してるんですよ、ねぇ！聞こえてるんでしょ旦那さん！
夫,…
女将,…
P,ねぇ旦那さん、どう思いますか？
夫,どう思いますって言われてもね…
美希,そのままの意味なの
夫,だから…何が何やら…
P,そんな震えることないじゃないですか…
夫,…
女将,ちょっと、やめておくれ…その人肝っ玉が小さいんだ、あんまり脅かさないでやってちょうだいな
美希,脅してなんかいないの、みんなに聞いたこととおんなじことを聞いてるんだよ？
女将,でもねっ…
P,いやしかし…旦那さんの声、なかなか特徴的ですよね？甲高いというか…あまりおられない声だ、そうだろ美希？
美希,美希的にはハニーの声が好きだから、おじさんの声はあんまり好みじゃないかな？
P,おいおい美希…失礼なこと言うもんじゃない、すいませんね…こいつ本当に礼儀がなってなくて…
美希,えへっ…ごめんなさいなの！
P,そうだ美希、謝ることは大切だぞ！
女将,あんた達…
P,おっと…美希のせいで話がずれて大事なことを聞きそびれるところだった…そうそう…。誰が春香ちゃんのお母さんを脅したんですかね？
美希,…
夫,…
P,あら？もしかして美希の話聞かれてたんですか？嫌だなぁ…言ったでしょ科学的な根拠なんてないって
夫,…
P,もしかして、嘘がバレるのが怖いんですか？
夫,そんなわけあるか…
P,なら答えてください。誰がお母さんを脅したんですか？
夫,お、俺が知るわけないだろ…
P,美希
美希,ぷんっぷんなの！
P,あらぁ…これはまた…
夫,ふざけるな…
P,美希、どんな匂いだった？
美希,いやーな匂いなの！本当にいやーな嘘付いてる人の匂い！
P,そうか…俺、そんな匂い嗅ぎたくないもんn…
夫,ふざけるな！
P,…
夫,さっきから人を犯人みたいに扱いやがって！いい加減にしろよ!?
P,そ、そんなに怒鳴ることないじゃないですか…
夫,こ…これが怒鳴らずにいられるか!!!!
P,でもまぁおかげで確認が出来たんですかね？。春香ちゃん！
春香,…
律子,…
警官,…
女将,は、春香ちゃん…
P,さっきの怒鳴り声…聞いたことあるかい？
春香,はい…あります
夫,…
女将,…
春香,夜中に、よっちゃんのことを怒鳴っていた声です！
夫,なっ…
P,まぁこれはあくまで状況証拠ってやつです、というか何の権力も持たない探偵にはこれが限界なんですがね
女将,…
P,あとは警察の仕事ですが…まぁ調べればすぐにわかりますよ
警官,まぁこの沈黙が何よりも語っているがな…
夫,…
P,しかし、その前に至急確認したいことがあるんです
女将,なんだい探偵さん？
P,律子嬢、すぐに裏手の蔵を調べてくれ！春香ちゃんも！
律子,は、はい！
春香,よっちゃん！
警官,私も行こう…
女将,あんた…そこまで気づいてたのかい？
P,春香ちゃんのお母さんを調べたなかで、ついでに貴方の事を調べさせてもらったんです。貴方、相当なせっかちで普段なら昼過ぎには店先にお酒を出して開店してるって言うじゃないですか
女将,…
P,それがここのところ、いつもより遅い時間から店を始めてる、それにいつも常に店先にいる貴方がこの一週間はかなり表に立たない時間もあったみたいですし。それに私たちが夕方にこの店から出ようとしたとき貴方は蔵に行こうとしてましたし、まぁあくまで憶測だったんですけどね
美希,それにおばさん、看護婦さんだったんでしょ？それも結構すごい人だって聞いたの
女将,あぁ…もう随分と昔のことだけどね
美希,だからハニーは考えたんだって、もしかしたらって…
女将,まったく…嘘はつくもんじゃないねぇ
夫,…
春香,よっちゃん…よっちゃん…
律子,先生！大丈夫です！まだ息はあります！
警官,私がお母さんを運ぼう！萩原堂で良いんだな!?
P,えぇ！そこで小鳥先生に待ってもらってます！
警官,すぐに応援が来るが、とりあえずこの場は頼んだぞ！
P,えぇ、もう大丈夫なはずですから
律子,それじゃあ私と春香ちゃんも！
春香,…
美希,律子さん！春香をよろしくなの！
律子,任せときなさい！さぁ春香ちゃん！
春香,はい…
夫,…
女将,…
P,さて、まぁここからもまた私の推測を話します
女将,…
P,春香ちゃんのお母さんはだいぶオモテになったようだ、おそらくまぁ…旦那さんはお母さんに言い寄ってたんじゃないですか？
夫,…
P,しかし、お母さんはなびかなかった…未だ春香ちゃんのお父さんを愛していたというのもあるでしょうが。春香ちゃん自身を愛していますからね、もうこれ以上は求めていなかったんですよ
美希,…
P,旦那さんはだいぶしつこかったみたいですけどね？
女将,ホントに馬鹿な人だよ…
美希,そういうのは女子にとって迷惑だと思うな？
P,本当にその通りだよ、終いには関係を断り続けたお母さんと無理心中までしようとしたんだからな
夫,うぅ…
P,決行は女将さんが町内会の寄り合いでいなくなった一週間前、包丁でも突きつけて脅して手紙を書かせたまでは良かったですけど…
美希,おばさんが予定よりも早く帰ってきたんだよね？
女将,あぁ…そうだよ、まさか家に帰ったらあんな事になってるだなんて思わなかったけどね…
P,ちょうどお母さんを刺したところだったと…
女将,怒鳴りつけて天海さんから離したよ、幸い深い傷ではなかったからね…そうじゃなきゃ手当したって血が足りなくて一週間ももたなかっただろうし
P,不幸中の幸いというべきか…
女将,しかしあんた、よく医者まで手配してたね？小鳥先生まで呼んでおいて…天海さんが生きてるって思ってたのかい？
P,推測ですよ…何があっても良いようにってところです
女将,そうかい…
P,はい…
女将,でも、見つけてくれてありがとう探偵さん
P,はい…
女将,本当ならあの時に天海さんを病院に連れて行って、そこでうなだれてるアホを警察に突き出してやるべきだったんだ
P,…
女将,他の女に惚れて、おまけにあたしを置いて無理心中までしようなんて…
美希,それならなんで…そうしなかったの？
女将,そうだね…そりゃ…惚れちまった弱みかね？。これでもまだこの馬鹿男の事が好きなんだよ…私は…。あたしも馬鹿だったって事だね…本当に天海さんや春香ちゃんにはなんて言ったらいいか…
P,…
夫,すまねぇ…本当にすまねぇ…
P,…
美希,おじさん？謝る相手はまだいるの
夫,…
美希,でも謝っても絶対に罪は消えないんだよ？。これからきっとおじさんは刑務所に行くの、悪いことしたんだもん
女将,…
美希,おじさんは知らないかもしれないけど、一度札を貼られた人間はずっとその札をつけていなきゃいけないんだよ？
P,…
美希,普通の人には見てもらえないの、それはとってもとっても苦しいことなの。おじさんがいつか刑務所から出てからもそれは一生消えないの
女将,…
美希,死ぬまで、ううん…死んでも消えないの
夫,うぅ…うぅ…
P,美希…俺たちのお仕事はここまでだ、もう警察も来たみたいだしな
美希,うん…
P・美希,ふぅぁ～…
律子,こーら！な～に仕事もせずにだらけてるんですか！
P,仕事ならしたろうが…春香ちゃんの一件
律子,何週間前の話してるんですか…さっさと次の依頼を見つけてきてください！
P,果報は寝て待てだよ律子嬢…そうカリカリしないで
律子,まったく…
P,ほら、噂をすれば…
春香,こんにちは！
美希,春香なの！
P,…
律子,まぁ噂はしてましたけどね？
P,あ、うん…
春香,あの！この前は本当にありがとうございました！
律子,良いのよお礼なんて！それよりお母さんのお体は？
春香,そのご報告をと思いまして…おかげさまで先日退院できました！
P,おぉ…それは良かった
美希,それじゃあ今はママと一緒に暮らしてるの？
春香,ううん、よっちゃんは実家の方に療養しに行ったの！温泉もあるし退院したって言っても前みたいに働くのは難しいし…
P,それじゃあ今は一人なのか
美希,寂しくないの？
春香,そりゃさみしいけど、でもよっちゃんが早く元気になる方が私にとっては嬉しいし！
律子,そうね！ずっと離れて暮らすわけじゃないんだから！
P,しかしそうなるとお金の問題が厳しくなるんじゃないか？仕事代までもらった俺が言うのもなんだけど
春香,それなら大丈夫です！音無医院で住み込みで働かせてもらう事になったので！
P,なっ…小鳥さんからそんなこと聞いてないぞ！
律子,別に先生に言う必要ないじゃないですか
P,いや…まぁそうなんだが…
美希,とにかく春香が幸せそうで良かったの！
律子,そうね、小鳥さんから色んなこと学んじゃいなさい！
春香,はい、いつか看護婦さんになれるようにお勉強も始めたんです！
P,ほう…看護婦さんに？
春香,いつか先生が病気なった時には、しっかりお世話してあげますからね！
P,看護婦…お世話…これはまたって痛っ!!!!
美希,ハ～ニ～？
P,痛い痛い！つねらないで！つねらないで！
美希,鼻の下伸ばしてるハニーにはきついお仕置きが必要なの！
P,ぎゃー!!!!
律子,本当に騒がしいんだから…
春香,でも仲が良さそうで羨ましいですね！
律子,仕事に対してもこれくらいの元気を出して欲しいわ…
P,痛い痛い!!!!
美希,他の子をいやらしい目で見ちゃやなの！
事件１,春香の母を探せ
P,冤罪を晴らせって、俺は弁護士でもなんでもないんですがね？
律子,でも依頼ですからね？もう受けちゃいましたし
P,えぇ…
美希,それじゃあ…やっぱりあの子のパパが犯人なの？
P,もう少し考えないと何とも言えないが…
美希,そんなのってないの…
P,待て待て待て待て！つねるな！つねるなよ美希！
美希,それはハニーの心がけ次第なの！
やよい,お願いします！お父さんを助けてください！
事件２,真犯人を探せ
