苅部房雄,５８
喪黒,ですがねぇ……。先生が知らない未知の分野がまだどこかにあるはずです
苅部,一体何ですか、それは？私が教えて欲しいくらいですよ
喪黒,例えば、ジビエ料理とかはどうです？
苅部,ジビエ料理ですか……。ジビエとはフランス語で、狩猟で捕獲された野生の鳥獣を意味する言葉ですよね
喪黒,お詳しいですねぇ、先生。実は最近、日本国内でジビエ料理が密かなブームになっているらしいですよ
苅部,昨今のジビエブームの件も、もちろん存じていますよ
喪黒,いやぁ……。料理評論を生業としているだけあって、なかなかの情報通でいらっしゃる
苅部,言われてみれば、そうですよね……。私はジビエブームについて、ほんの少し知識はあるものの……
喪黒,じゃあ、苅部先生。あなたもジビエ料理の奥深さを味わってみませんか？
苅部,喪黒さん、何だか興味が湧いてきましたよ……
喪黒,もちろん……と言いたいところですが……。先生にはもっといい形で、ジビエの奥深さを味わっていただきたいのです
苅部,……ということは、まさか
喪黒,そのまさかですよ。実際に山へ行って、狩りを行うのです！。苅部さん。ここにいる人たちが、今日の私たちの案内役です
苅部,よ、よろしく……
猟師たち,こちらこそ、よろしくお願いします
苅部,喪黒さん。私は狩りの初心者だから、不安もありますよ
喪黒,大丈夫ですよ。プロの猟師さんたちが、私たちをちゃんと案内してくれますから……
猟師A,一応、俺たちは猟友会と日本鳥獣捕獲協会に加入していますよ
猟師B,猟師の仕事は、社会のために必要なんです。農業に害をもたらす鳥獣を捕獲するためですよ
猟師C,そうです。増えすぎた野生の鳥獣は、農地を荒らして被害をもたらしますからね
苅部,なるほど……
猟師A,いたぞ……！！
猟師B,苅部さん。もう少し、肩の力を抜いてください
苅部,はい……。あ、当たった……
猟師C,いやぁ、よくやりましたね……
苅部,こ、この鴨は私がしとめたんだ……
喪黒,おめでとうございます。苅部先生……
苅部,鹿のブラッドマカロン。猪のパイ包み焼き。鴨のロティ。兎の出汁のスープ……
喪黒,この店で料理された野生動物は、私たちが捕まえたものですよ
苅部,えっ！？そうなんですか……
喪黒,自分の手で野生動物を捕まえて、自ら味わうのは何とも感慨深いですなぁ
苅部,ええ……！その手ごたえと感動は、体験した人間でなければ分かりませんよ！。よし……。今回は、ジビエ料理をテーマに執筆しよう。喪黒さんによると、この店はジビエ料理で有名なところらしいな
BAR,魔の巣
喪黒,苅部先生。ジビエ料理について扱ったエッセイ集、なかなか読みごたえがありましたよ
苅部,ありがとうございます。この私も、ジビエ料理の奥深さをようやく知ることができました
喪黒,それはそうと……。先生が久しぶりに発表した小説も面白かったですよ
苅部,いやぁ……、お褒めいただき恐縮です。小説を発表したのは久しぶりですから……
喪黒,山で暮らすマタギを主人公にした物語で、実に読みが絶えがありました
苅部,喪黒さんたちと一緒に、狩りを体験したおかげでこの小説が書けました
喪黒,どういたしまして……。苅部先生
苅部,狩猟の面白さも実感しました。私はこの間、山で自ら狩りを行ったくらいです
喪黒,そうですか……。先生。私の方から、ちょっと忠告しておきたいことがありましてねぇ……
苅部,どういうことですか？
喪黒,苅部先生ならご存知かと思いますが……。ジビエ料理の精神とは、動物の命に対する感謝ですよねぇ
苅部,はい……。動物の命を奪う代わりに、あらゆる部位をくまなく使い、命そのものに感謝を捧げる精神……
喪黒,狩猟もジビエ料理も、共通しているのは動物の命を奪うということです
苅部,確かに……
喪黒,だから、先生には約束していただきたいことがあります
苅部,約束！？
喪黒,そうです。苅部先生、狩猟はそろそろ止めておくべきなのです
苅部,わ、分かりました……。喪黒さん
半藤,最近の苅部先生は、狩猟に夢中になっているそうですね
苅部,はい。動物を自分の手で捕まえるってのは、これ以上ない快感なんですよ
半藤,やりますね、先生……
竹村,苅部さん。狩猟なら、私も何度か経験しましたよ
苅部,竹村さん。狩猟は楽しかったでしょう
竹村,もちろんですよ。時間ができたら、一緒に狩りに行きましょう
苅部,それはいいですね
半藤,苅部先生。よろしかったら、私も狩りに加えてくださいよ。いやぁ……。この山は素晴らしい大自然ですね
竹村,ここは野生の鳥獣が数多く生息しているらしいですよ
苅部,野生動物の天国ですか……。狩りをするのに手ごたえがありそうですね
半藤,うわあ……。よりによって霧が出るとは……
苅部,山は霧が発生しやすいですからね。おーーーーい！！竹村さーーーん！！半藤さーーーん！！
喪黒,やあ、苅部先生……
苅部,もしかして、半藤さんですか！？
喪黒,苅部先生……。あなた約束を破りましたね
苅部,も、喪黒さん……！！
喪黒,私は先生に忠告したはずですよ。狩猟はそろそろ止めておけ……と
苅部,すみません、喪黒さん……。ですが、私は狩りの楽しさを知ってしまいました！
喪黒,弁解は無用です。約束を破った以上、あなたには罰を受けて貰うしかありません！！。ドーーーーーーーーーーーン！！！
苅部,ギャアアアアアアアアア！！！。ケーーーーン竹村さーーーん。これが俺の身体……！？ということは、まさか……
半藤,竹村さん、大物の鹿がいますよ！！
竹村,よーーし。こいつは俺たちの手でしとめてやる！！
苅部,ケーーーン……やめろ……
喪黒,近年の日本では……。天然物の野生動物を食べるジビエ料理が、至るところでブームになりつつあります
