光の勇者(以下、勇者),いや……お前、出陣とか言うなって……
火の四天王,以下、火王
地女,ぬおおおおっ！？
火王,す……すまない、驚かせてしまったな
地女,な、何なのだ！？急に現れて……
火王,それは……お前に、頼みがあって来た
地女,頼み？
火王,……理由は聞かず――。――私と、きっ、キスをして欲しい！
地女,何故だ！？
火王,いや、即座に聞き返さないでくれるか！？
地女,しかしだな……突然現れて、キスをねだるなど……
火王,いっ、言いたいことはわかっている！///
地女,あまり……そのな？良くないぞ？わかるか？
火王,わかっていると言っているだろう！？///
地女,……火の四天王よ。ストレスが溜まっているのなら、飲みに行くか？。奢るぞ？どうだ？遠慮はするな？
火王,優しさで畳み掛けて来ないでくれ、頼むから！///
地女,悩みでもあるのか？ん？
火王,そのっ！飲んだあとの事が悩みだ！
地女,飲んだ後？……あー……あーあーあー……
火王,私は、未だに信じられん！。お前ときっ、キスしただけで翼が出たなど！。婚約者を差し置いて、体がお前を選んだなどと！
地女,……まあ、なんだ。……体は正直だったと言うことで、一つ。何だ！？バレたのか！？バレているのか！？。キスして、俺が地の四天王だとバレるなど、あるのか！？
火王,私の心は、奴のものだ！。私の精神は……肉体なんぞには負けない！。むしろ――心の力で！。この体を御し切ってみせる！
地女,うむ！その心意気、天晴！。……それでは、もう行くな？
火王,待て待て待て待て！。話を聞いていなかったのか！？行くな！。行かせんぞ、大地の魔女！
地女,ふん！そんな細腕で、止められると思ったか！
火王,お前の方が腕は細いぞ！
地女,ぬおお！？そうだったのだ！
火王,暴れるな！大人しくしろ！。チュッとするだけだ！それで済む！
地女,それだけで済まぬかも知れんではないか！！
火王,……ぬぐぐううっ！
地女,……ふんぎぎぎっ！
火王,……！。私に……私に力を貸してくれ！。お前への愛が、本物であると証明させてくれ！。――出るな、龍の翼よ！
地女,んむっ！？
火王,！。……
地女,で、出たな！もう離せ！なっ！
火王,……
地女,し、尻尾も出ているな！なっ！。――火の四天王よ！。もう、大地の魔女に用は無いな！？
火王,……ああ、無い。私が、話があるのは――。――地の四天王だ
