モバP,まゆー
まゆ,はい、まゆの新しい面を見つけられたみたいで嬉しかったです
P,そうか。今後はそういう方向性も考えてもいいかもしれないな
まゆ,ただ…結婚前にウエディングドレスを着ると婚期が遅れるって言うじゃないですか？
P,…ほう？
まゆ,なんですかぁ？
P,そんな事気にしてたのか。まゆもやっぱり乙女なんだなぁ
まゆ,…ちょっと失礼ですよぉ？
P,はは、すまんすまん。でもまあその時は俺が貰ってやるから心配するな
まゆ,！？…あの
P,さ、早く乗れよ、置いていくぞ
まゆ,Pさぁん！？
P,予約してたPと言いますが
まゆ,予約なんて、いつの間に…
P,さて、今日は奢りだから遠慮せずに食べてくれ
まゆ,こんな高級そうなお店…いいんですか？
P,人目につかないからいいかと思ってな。それにまゆが喜んでくれるなら安いものだよ。
まゆ,ありがとうございます…！。でも、どうして急に？
P,ん？あ、あぁ。たまにはこういうのも良いかと思ってな。
まゆ,そうですかぁ…。Pさん、まゆの誕生日を忘れてしまったんでしょうか…
P,心なしか寂しそうだな、まゆ。でもまあ、今言っちゃうとサプライズにならないしな
まゆ,ふぅ…
P,どうだ？満足だったか？
まゆ,はい、とても美味しかったです。Pさんとこんな素敵なお店でディナーなんて、まるで夢みたいです…！
P,はは、また大げさな…喜んでくれたなら嬉しいよ。それと、まゆ
まゆ,？
P,誕生日おめでとう。俺からの誕生日プレゼントだ
まゆ,！…まゆの誕生日、覚えてくれてたんですね？
P,当たり前だろ、担当アイドルの誕生日を忘れるプロデューサーがどこにいる
まゆ,本当…嬉しいです…でも、いいんですか？
P,うん、ほんの気持ちだ。開けてみてくれ。
まゆ,わぁ…これは、ネックレス？
P,赤いアクセントがまゆに似合うかと思ってな。気に入ったか？
まゆ,はい、とても…。あの、今つけてみてもいいですか？
P,ああ、いいぞ
まゆ,…どうですかぁ？
P,……うん、やっぱりとても似合ってる
まゆ,そうですかぁ…ありがとうございます！…一生大事にしますね？
P,是非そうしてくれ。さて、寮まで送っていくよ…と言いたいところだが、少し夜風に当たりたい気分だな
まゆ,時間はまだ大丈夫ですから、一緒に歩きますか？
P,そうだな、そうしよう。
まゆ,それにしても、夜はだいぶ涼しくなりましたねぇ
P,そうだなぁ、まだ昼は暑いけど、過ごしやすくなったよ。…まゆと出会ったのも、こんな涼しい日だったっけな
まゆ,あれはまだ初夏でしたね…
P,自分からスカウトされに来るアイドルなんて、後にも先にもまゆだけだよ
まゆ,…もう、その話はいいじゃないですかぁ
P,でも、あの時まゆをスカウトできたのは、本当に良かったと思ってる
まゆ,まゆとPさんは、そういう運命だったんですよ…？
P,はは、そうかもな
まゆ,ここまで来れたのもPさんのお陰です
P,それはまゆの実力だよ。俺はその手助けをしたに過ぎない
まゆ,でもその手助けがなければ、今のまゆはありませんから
P,…そう言ってもらえると嬉しいよ、プロデューサー冥利に尽きる
まゆ,まゆは今、幸せなんです。Pさんに見つけてもらって、いろんな苦難を一緒に乗り越えて、Pさんのアイドルとして輝いている。そのことが、その一つ一つが、私にとってかけがえのないものなんです。それだけ、でいいんです…まゆは…
P,…。俺は幸せものだな。…いや、俺も、か。まゆと出会って、いろんな事があったよ。レッスンばかりの日々もあったし、必死で売り込みもした。楽しいことばかりじゃなかったけど、それでも仕事やレッスンを真面目にこなしてくれるまゆを見て、俺ももっと頑張らなきゃなって思えた。地道な努力が実ってきて、だんだんと仕事がもらえるようになってきて、今やトップアイドルだ。その過程の一つ一つは、俺にとっても大切なものだ。まゆの成長を、誰よりも一番近くで見られることが、本当に幸せだ。本当に、佐久間まゆのプロデューサーで良かったと思ってる。
まゆ,…
P,だから、まゆ
まゆ,…
P,これからも、よろしく頼むぞ。
まゆ,…
P,…まゆ？
まゆ,…。…来ないで、下さい…
P,…えっ…
まゆ,まゆは…まゆは…。…これ以上Pさんに優しくされたら、我慢できない、です…
P,…
まゆ,まゆは今、幸せです…。アイドルとして、Pさんにプロデュースしてもらって。でも本当は、もっとPさんの近くで生きていけたら。二人で寄り添って、いつまでも、いつまでも、一緒にいられたらって…そう思ってました。…分かってるんです。佐久間まゆはアイドルで、プロデューサーであるPさんとは一生結ばれないんだって…
P,…まゆ
まゆ,そうやって、言い聞かせてきました。でも…やっぱりPさんは大好きで、我慢できなくて…
P,まゆ
まゆ,こうやってPさんに迷惑ばっかり掛けて…！
P,まゆ！
まゆ,っ！…
P,…
まゆ,……。…P、さん…
P,…。…やれやれ、プロデューサー失格だな。担当アイドルの悩みも気づけずにいたなんて
まゆ,…
P,…確かに、まゆはアイドルで、俺はプロデューサーだ。
まゆ,…
P,でも、だからどうした。その悩みが原因で仕事に影響が出るなら、それこそプロデューサーは失格だ
まゆ,…っ
P,…なーんて格好つけて言ってるけどな…俺も同じなんだよ。
まゆ,…同じ…？
P,まゆと一緒に歩いてきて、いろんな事があった日々の中で、知らないうちにこうなってたのかも知れないな。…まゆのお陰で、その気持ちに確信が持てたよ。
まゆ,えっ
P,だからその…な？
まゆ,…Pさん…
P,好きだ、まゆ。アイドルとしてではなく、一人の女の子として、まゆが好きだ
まゆ,…。うっ…ｸﾞｽｯ…
P,ど、どうした、痛かったか！？
まゆ,Pさんは…卑怯です…ｸﾞｽｯ。まゆは…とても、幸せです…。Pさんの、アイドルとしても…佐久間まゆという…女の子としても…ﾋｸｯ。Pさんに…好きって…ｸﾞｽｯ…ﾋｯｸ…うぇぇ
P,まゆ…。落ち着いたか？
まゆ,はい、取り乱してすみませんでした…
P,…泣いてるまゆも可愛かったよ
まゆ,っ…！もう、Pさんったら！///
P,……ふっ
まゆ,…うふふっ
P,ははっ、ははは、あははははは
まゆ,ふふふ、うふふふっ
P,はははっ、はぁ…。愛してるよ、まゆ
まゆ,私もですよぉ、Pさん…
