事件３,想い人を探せ
律子,駄目だ…と言いたいところですけど、まぁ今日は特別に許してあげましょうか
美希,え？良いの？
P,これはまた珍しい…律子嬢のことだから、遊びに行くくらいなら仕事の一つでもーって怒り出すかと思ってたぞ
美希,美希も怒られると思ってたの…
律子,本当ならそう言いたいところですけど…やよいちゃんの一件から小さな仕事なら、ちょくちょくこなしてますし…まぁ今日ぐらいなら構いませんよ？
美希,それじゃあ、今日はお休みでいいの？
律子,貴方達はいつもお休みみたいなもんですけどね？でもそうね、今日はうち自体お休みってことにしますか
P,まぁ律子嬢も色々と働き詰めだからな、たまには良いかもしれん
律子,私だって先生が書類整理を手伝ってくれるのならもっと休めるんですがね？
P,うっ…それはだな…
美希,それじゃあ律子さんも今日はお休みするの？
律子,そうさせてもらおうかしらね、久しぶりに気分転換もしたいし
美希,そっか！それなら律子さんも一緒に歌舞伎を見に行こうよっ！
律子,え…私も行っていいの？あんたの事だから先生と二人っきりで行きたいんじゃないかと思ってたんだけど
美希,いいの！今日は三人でお出かけしたい気分になったの！
律子,気分って…でも…
P,美希がこう言ってるんだから良いんじゃないか？
律子,そうですか？それじゃあお言葉に甘えて
美希,それじゃあ律子さんも一緒におめかしするの！
律子,え？おめかしって…
美希,いいからいいから！さっ…早く！
律子,わっ…ちょっと美希押さないで！
美希,♪～…あっ、ハニーもちゃんとカッコイイ服に着替えておいてねっ？
P,はいはい…わかったから、さっさと着替えてこい
美希,は～い！
P,まったく…しかし、格好の良い服か…。…。た、タキシードなんてどこにしまってあったかな…。ん？はーい、どうぞー？
雪歩,あ、あの…
P,おぉ雪歩、お前からここに来るだなんて珍しいじゃないか
雪歩,その、実は先生にお願いしたい話がありまして…
P,お願いしたい話…雪歩がか？
雪歩,いえ！私じゃなくて、その…父のお知り合いの方なんですけど
P,ほう…と言うことは、依頼か何かかい？
雪歩,そうなんです、とっても困ってるみたいで…父がその方達から相談されて
P,雪路さんが？
雪歩,はい、先生も知っていると思いますけど…父はこの界隈じゃ相談役みたいなこともしていますので
P,あぁ、いつもお父上にはお世話になっております…
雪歩,い、いえ！お父さんったら先生に変な話ばかり持っていってるみたいで…
P,その変なお話が俺らの生活の糧になってるんだからさ、ありがたいもんさ
雪歩,こちらこそ、いつもありがとうございます！
P,いえいえ…
雪歩,それで…相談を受けた父が、その手の話なら先生のところに持っていくといいと話したみたいで
P,なるほど…わかったよ、それじゃあ早速仕事させてもらおうか
雪歩,あ、ありがとうございます
P,おっと、その前に…少しばかり時間をもらえるかな？
雪歩,え？
律子,み、美希！こんなピラピラしたので私に外を歩けって言うの!?
美希,とっても似合ってるの！
律子,似合ってる似合ってないじゃなくって！こんなの恥ずかしくて歩いてらんないわよ…
美希,なんで？美希は全然平気だよ？
律子,あんたの神経と一緒にしないでちょうだい…ってあら、雪歩ちゃん？
雪歩,あ、あのっ…
P,お嬢さん方、綺麗に着飾ってもらったとこ悪いんだが…
美希,えっと…
律子,もしかして…
P,ご依頼でございます。仕事が舞い込んでくるなんて！
美希,雨が降っちゃうの！
律子,あんたらねぇ…
雪歩,すみません！すみません！いきなりこんなお願い事を…
律子,良いのよ雪歩ちゃん、お仕事ならこちらからお礼しなくちゃいけないぐらいなんだから！
P,そうそう、気にせんでくれ
雪歩,で、でも…どこかにお出かけする予定だったんじゃ？
美希,いーの！お出かけならいつでもできるんだから！
P,という事で雪歩、早速話を聞きたいんだが？
雪歩,は、はい…
P,今回の依頼人の方は、雪路さんのお知り合いの方なんだよね？
雪歩,はい、なんでも昔からのお知り合いの方らしくて
P,どういった方なんだい？
雪歩,呉服屋さんです、万代の大通りのところの三浦屋さんっていうところで…
美希,ごふくやさん？
P,着物を売ってるお店だよ
律子,三浦屋って…あの三浦屋さん!?
雪歩,は、はい…そうです
P,なんだ律子嬢、その三浦屋とかいう所を知ってるのか？
律子,私は先生が三浦屋を知らないことの方が驚きですよ…この界隈じゃ本当に有名なところなんですから
P,え…そんなに有名なとこなのか？
美希,美希は聞いたことないけど…
律子,まぁこっちに来て日が浅い美希ならわかりますけど…いい大人の先生なら三浦屋ぐらい知ってたって…
P,雪歩、そこはそんなに誰でも知っている店なのか？
雪歩,はい、東京でも１、２を争う大きさの呉服屋さんなので、多分…
P,えぇ…
律子,はぁ…先生は本当に変なところで世間知らずというか…
P,ほっといてくれ、呉服屋なんかには縁がないんだよ！
律子,それで？その三浦屋さんが、うちに一体どういった御用なの？
雪歩,それが…どうやら人探しをお願いしたいらしくて
P,人探し？
美希,誰かいなくなっちゃったの？
雪歩,私も詳しくはわからないんですけど…娘さんの恋人が行方不明らしくて…
P,ほう…
律子,行方不明…その方たち、もちろん警察には行かれたんですよね？
雪歩,それがどうやら、警察には行ってないらしいんです…
P,どうしてまた？
美希,警察は春香のお母さんの時も探してくれなかったの、だからあてにならないと思うな？
P,あれは偽装とは言え手紙があったわけだがな、そのいなくなった恋人とやらはそういった物を残してなかったのかい？
雪歩,手紙も残さずに消えてしまったみたいですけど…
律子,それならやっぱり警察に行くべきじゃ…事件性があれば動いてくれるかもしれないのに
雪歩,私もそう思うんですけど…色々と事情があるみたいで…
律子,でもねぇ…
雪歩,すみません…私もこれ以上のことはわからないので…
P,まぁやっぱり、詳しいことはその三浦屋さんとやらに聞いたほうが良いだろう
律子,そうですね…ありがとう雪歩ちゃん、ここからは先生が何とかしてくれると思うから
P,あぁ、とりあえず引き受けさせてもらうって事だけ雪路さんに伝えておいてくれないか？
雪歩,は、はい…わかりました
P,それじゃあ俺達は早速、三浦屋さんの所に向かわせてもらおうか…
美希,うんっ！
律子,先生、向かうは良いんですけどね…三浦屋の場所はわかってるんですか？
P,あっ…
律子,知ってるわけないですよね、名前も知らないんですから…それじゃあ私も一緒に行きますから
P,あぁ…そうしてくれると助かるよ
律子,といっても万代通り沿いを歩けば着くはずなんですがね…それじゃあ行きましょうか
P,おうっ
美希,おうなの！
P,やっぱり人が多いな…
律子,人が多いって、休日なんだから当たり前じゃないですか
P,人ごみはあんまり好きじゃないんだよ…空気が薄く感じるというかな
律子,世間知らずの上に出不精ですからね、たまの休日に大通りをあるけばそうも感じますよ
P,しかし…依頼とは言え、結局図らずしも三人で出かけることになったな
美希,うんっ、歌舞伎座に行けなかったのは残念だけど三人でどこかに行くことなんてなかったから嬉しいかな！
律子,そう言われてみれば、三人でどこかに行くことなんてありませんでしたね
P,ん？萩原堂ならしょっちゅう三人で言ってるじゃないか
美希,…
律子,…
P,お、お前らなんだよその目は…
美希,美希、もうちょっとハニーにはそういうところを考えて欲しいって思うな？
律子,無駄よ美希、二年近く先生といるけど…この人そういう事は本当にわからない人だから
P,おいおい…なんだよ二人して
律子,まっ…良いんですけどね？っと先生ほら、ここですよ
美希,おっきなお店なの！
P,あぁ、これがその三浦屋なのか…
律子,あんなにデカデカと看板が出てるっていうのにこの人は…
P,この前、弥吉さんと飲んだ時にこの前を通ってえらくデカイ建物があるとは思ったんだが…まさかそれが三浦屋とは
律子,はぁ…
P,い、いやいや！まさかこんな洋風な建物が呉服屋とは思えないだろう！
律子,震災で元々あった建物がダメになったらしいんですよ、それで立て直す時にこの形になったみたいですね
P,ほ～う…しかし震災でやられたっていうのに、こんな立派なものを立て直す自力は大したもんだな
律子,主の三浦新太郎はかなりのやり手らしいですよ
P,やり手といってもこれは…
律子,それに元々大層なつながりを持ったお家みたいですし、それこそ歌舞伎役者なんかもここが着物を卸してるらしいですよ？
美希,え！それじゃあシン様もいるかもしれないって事？ねぇねぇハニー！早く入ろうよ！
P,まぁ歌舞伎役者とそうそう出会えるとは思えないが…まぁそうだな、とりあえず入ろうか
律子,そうですね、こんなところで立ってても仕方ないありませんし
P,よしっ…行くぞ。いやしかし、これはまた…
律子,偉く立派なお部屋に通されちゃいましたね…
P,置いてあるものも高そうなものばかりだし…俺ももう少しまともな格好してくれば良かったな…
律子,確かにその袴じゃ場違いかもしれませんね…
美希,ねぇねぇハニー、この壷やっぱり高いのかな？
P,まぁそりゃそうだろうな…って！なんでお前は持ち上げてるんだ！
美希,え？やっぱり重いのかなぁって思って
P,そんな事どうでもいいだろうが！いいから早く置きなさい！
美希,そんなに焦らなくても大丈夫なの、落としたりなんてしないから！
P,お前ならやりかねんだろうが！あはっ、落としちゃったのじゃシャレにならん！
美希,むぅ～…
律子,おそらく私達の一生分の稼ぎでも足りないような値段なんでしょうね…
P,あぁ、割れた壺のために残りの人生を使うなんてゴメンだからな…。はい！
新太郎,やぁやぁ…遅れて申し訳ない
P,いえいえ、今日は急に押しかけまして申し訳ありません…
新太郎,急なお願いをしたのはこちらの方ですよ、まぁ掛けて下さい
P,失礼します…
新太郎,それで、貴方が件の探偵殿でよろしいのかな？
P,はい、万代町の外れで探偵社をやっております
新太郎,ほう…という事はやはり高木殿の探偵社でしたか
律子,…
P,社長をご存知なんですか？
新太郎,えぇ、昔から何かと面倒を見てもらっておりましたからな…そういえば高木殿は…
P,はい…ですからその間は私が社を預かっております
新太郎,そうですか…しかし高木殿の所の方ならば信頼できそうですな…よろしくお願いいたします
P,はい…こちらこそよろしくお願いいたします
新太郎,しかし萩原も人が悪い、相談を持って行った時に高木殿の一言も言いませんでしたからな
P,はぁ…あの方もせっかちですから、伝え忘れたのかもしれませんね…
新太郎,違いない、あれは昔からまったく変わらないですよ…おっと、そちらのお嬢さん方は？
P,あぁ、彼女達は当社で働いている者です…こちらが星井美希で
美希,はじめまして！
新太郎,これは元気なお嬢さんですな
P,こっちは、高木律子…高木社長の娘さんです
律子,初めまして、この度はご依頼ありがとうございます
新太郎,おぉ…高木殿の！これは随分と美しくなられて！
律子,え？えっと…
P,律子嬢と会われたことが？
新太郎,まだ小さな頃でしたがな、人見知りだったようで高木殿の後ろにずっと隠れてしまっていたが
律子,す、すいません！まさかお会いしたことがあるとは…
新太郎,いやいや、もう何年も前のことですしな？それに貴方にとっては子供時分の事だ、忘れていても仕方ありませんよ
律子,は、はい…
新太郎,貴方とはもう少しお父上のお話をしたいところなのだが…探偵殿？
P,はい、本題の方に入らせていただきましょうか…
新太郎,探偵殿、その前に娘を部屋に呼んでも構わないでしょうかな
P,直接伺いたい話もありますし、是非そうしていただけるとありがたいです
新太郎,そうですか、それでは…
P,…
新太郎,あずさ！入っておいで！
あずさ,はい…
P,…
美希,わぁ…
新太郎,これが、私の娘のあずさです…あずさ、こちらが件の探偵殿だよ
P,初めまして、我々765探偵社のものです
あずさ,初めまして、三浦あずさと申します
新太郎,さぁ、あずさもここに掛けなさい
あずさ,はい…
P,早速ですが…お話を伺っても？
新太郎,えぇ、しかし私はその男に会ったこともないのでね、詳しい話はあずさに聞いてください
あずさ,はい、よろしくお願いいたします
P,今回の依頼は、いわゆる人探しとお伺いしましたが…お間違いないですね？
あずさ,はい…私の恋人を探して欲しいんです
P,引き受けたからには精一杯お手伝いさせていただきます、貴方もご心配でしょうし
あずさ,はい…
P,それじゃあまず、貴方の恋人がお名前からから伺いましょう
あずさ,岩田時彦さんという方です
P,岩田時彦さんっと、御年齢は？
あずさ,二十二歳ですね
P,二十二歳、それでは岩田さんがいなくなった時期を…
あずさ,会えなくなったのは…今から二ヶ月ほど前でしょうか、それからはパタッと…これほど会えないのは初めてで
P,二ヶ月ですか
あずさ,彼も仕事が忙しいらしいですし、私も父の手伝いがありますので頻繁には会えませんでしたが
美希,美希だったら、ハニーと二ヶ月も会えないなんて考えられないの…
P,お前の物差しでなんでもかんでも見るんじゃない、それで？以前からその様な間隔で会われていたんですか？
あずさ,これまでは二、三週間に一度は会っていたんですが
P,お付き合いされたから、どれくらいなんでしょうか？
あずさ,一年行かないぐらいでしょうか、ただ先程も言ったようにそれほど会うこともありませんが
P,なるほど…それでは時彦さんの事について詳しくお聞きします
あずさ,は、はい
P,どの様な職業をされていたんでしょうか？なかなか会えないともなると忙しいご職業だったんでしょうが
あずさ,確か、缶詰の工場で働いていると聞いたことがあります
P,缶詰の…ちなみにそれはどちらの工場なんでしょうか
あずさ,すいません、そこまでは…あまり彼からそういった話をしたことがないので
P,働いている場所までは聞いたことがないと
あずさ,はい…
P,構いませんよ、それじゃあ次に時彦さんのお住まいなどを聞きたいのですが
あずさ,あの、それも詳しいことがわからなくて…
P,お住まいもですか？
あずさ,彼からは工場の近くに住んでいると聞かされていたので、でも私はその工場がどこにあるのかを知りませんし
P,では家族構成などについて聞かれたことは？
あずさ,お父様が亡くなられて、お母様と妹さんの三人で暮らしていると言っていました
P,他に家族の話を聞いたことはありませんか？どんな話でもいいので
あずさ,そうですね…妹さんが可愛いとか、お母様が口うるさなくて敵わないとか、その程度の話しか聞いたことはありませんね
P,妹さんの年齢などはわかりませんかね？
あずさ,まだ小さいとは言っていましたが、年齢までは
P,わかりました、それじゃあ少し話を変えさせてもらいましょうか
あずさ,はい
P,これまでの話を聞いていると、時彦さんと貴方の接点というものが私には浮かんでこないのですが…時彦さんとはどちらで出会われたんですか？
あずさ,あの、実はわたし映画を観るのが大好きでして
P,映画ですか？
あずさ,はい、子供の頃から父によく連れて行ってもらっていて…今では仕事の合間を見つけては近くのキネマ万代に通うぐらいで
P,それは相当な映画好きですね
あずさ,はい、彼とはそこで出会いまして
P,という事は時彦さんも映画好きでいらっしゃった？
あずさ,私ほどではないと思いますけど、彼と会っている時はほとんど映画の話をしていましたから
P,同じご趣味を持つもの同士、お付き合いに至ったというわけですね
あずさ,そうですね、ですから彼の素性とかいったものにあまり興味を持っていなくて…お互い映画好きがこうじての関係でしたから
P,すると、時彦さんも貴方の素性をご存知ないんですか？
あずさ,私からは話していないので、知らないはずかと…
P,そうですか…ちなみに時彦さんの写真などはお持ちじゃないでしょうか？
あずさ,写真もありませんね、すいません…お仕事をお願いしているのに、こちらからお話できることが少なくて
P,いえいえ構いませんよ、それをどうにかするのが我々の生業ですからね…それじゃあ律子嬢？
律子,はい！
P,道具は揃ってるのか？
律子,もちろんですよ
あずさ,あの、何を…
P,あぁ、これは人相書きみたいなものです
あずさ,人相書き？
P,えぇ、写真も住んでいた所もわからないとなるとやはり見つけ出すのが難しいのは事実ですから
美希,だから人相書きを作るの！
P,これはは絵が得意でね、人探しの依頼の際には人相書きの作成を担当してるんですよ
あずさ,そうなんですか
律子,はい、書きながら見せていくので確認してくださいね
あずさ,わ、わかりました
律子,それじゃあ顔の形から、どんな形ですかね？
あずさ,そうですね…割と普通の
律子,こんな感じですかね？
あずさ,はい、そうですね
律子,髪型は？
あずさ,短めの、あっ…もう少し短いですね
律子,さぁ、どうですか？
あずさ,すごい…本当にそっくり書けるんですね
律子,えぇ、特技ですから！
あずさ,それにしてもお上手ですよ
P,それじゃあ人相書きも終わったところであずささん、最後にもう一つだけよろしいでしょうか？
あずさ,はい、なんでしょうか
P,ここまでお話を伺っておいてあれなのですが、どうしてまたこのような人探しを我々に依頼したんですか？
あずさ,あの…ご相談した萩原さんから貴方がたを紹介していただいたので
P,本来ならば人探しは警察の本分です、私達探偵なんかより余程効率的に見つけ出してくれるかもしれません
あずさ,それは…
P,何か理由がお有りならば先に教えていただきたい、そうでないと後々で時彦さん探しの障害になってしまうかもしれませんし
あずさ,…
新太郎,それは、私の方からお話させていただきましょう
P,お願いします
新太郎,自分で言うのもなんですがな、当三浦屋は東京でも知らぬものがいないであろう呉服屋です
P,…
律子,そうですね、一部の変人を除いてはですけど
P,律子嬢、今は本当にやめてくれ…
新太郎,これぐらいの商売をしてますと、かなり横の繋がりも多いものなのですよ
律子,それは、家柄同士のお付き合いというわけですか？
新太郎,えぇ、しかしそうなると面倒なものも多く舞い込んで来る
P,面倒なもの、ですか？
新太郎,見合いですよ、見合い
P,お見合い？
新太郎,この時代でも家同士の付き合いを一番強くするものは結婚ですからな、無論このあずさにも多くの見合いの話が来ている
あずさ,…
新太郎,うちにはこの子しか子がおりませんし、是非とも婿をとって早く後継を作りたいところなのですが、これまではこの子が私の仕事を手伝いたいからと断っていまして
P,ほう、これまでは…ですか？
新太郎,私としてはこの子にそう言って貰えるのは嬉しいんですがな？まぁしかし適齢期というものが有りましょう、二ヶ月半前に来た見合いの話は必ず受けるように言ったのです。結婚したとて私の手伝いならばいくらでもできますしな、世間体もあるしそろそろと…しかしこの子もかなり渋りましてな
美希,待って！でもあずさにはちゃんと恋人がいるの！
新太郎,そう、そこでこの話に繋がるのですよ
P,その口ぶりからすると、お父様はあずささんの恋人の存在すらご存じなかった
新太郎,その通り、あまりにも渋るので事情を聞いてみれば、恋人がいると言うではありませんか…この子といったらそんな態度をまったく出していなかったものですからな
美希,え？おじさんはあずさの恋人のこと知らなかったの？
新太郎,あぁ、知っていたのならひとまず見合いの話を受けることは無かっただろうね
律子,あずささん、どうしてまた時彦さんの事を黙ってたんですか？
あずさ,それは、やはり父が反対すると思っていたので
新太郎,確かにどこの馬の骨ともわからん男にあずさを取られたのは父として悔しいですがな、それでもこの子が惚れている男ならばしょうがないではありませんか
P,という事はお父様はお二人の関係を許す気持ちでいたと？
新太郎,えぇ、こればかりはしょうのない事ですから
P,ほぉ…随分と寛容なお心をお持ちですな
新太郎,まぁね…ですから二週間ほど前に腹を括ったつもりで、この子にその時彦とか言う男を家に連れてくるように行ったのですが
P,その時には行方不明になっていたと
あずさ,はい…
新太郎,よくよく聞いてみれば住んでるところもわからぬ男のようですし、遊ばれた可能性だってあるのです…しかしそれでも娘の初めて惚れた男、この子が求めるのなら探し出してやりたい
あずさ,あ、遊ばれただなんて
新太郎,可能性だってあるという事だ、しかしそうなるとおずおず警察にお願いに上がるという事は難しい
P,世間体というものがある、ですか？
新太郎,三浦屋の一人娘がわけのわからん男に騙されたということを世間様に広めることになります
P,まぁしかし、まだ騙されていたという風に決まったわけではありませんし
新太郎,そこも含めて調査していただきたいのです、もし本当にその男が純粋にあずさを愛しているというのなら私は何の文句もありませんしな
P,…
新太郎,私はその事実を知りたいのです、ですからその時彦という男を貴方に見つけ出していただきたい
あずさ,お父様…
P,なるほど、承知いたしました…三浦屋さんの看板に傷を付けずに必ず時彦さんの行方を探しだしてみせます
新太郎,ありがとうございます、よろしくお願いいたします
P,いえいえ、本格的な調査は明日からになりますがよろしいでしょうか？
新太郎,構いません、良いだろうあずさ？
あずさ,はい、よろしくお願いいたします
P,それじゃあ私どもはこれで…何か思い出されたことがありましたら社の方までお越し下さい
美希,絶対に恋人さんを見つけてあげるからね！
あずさ,ありがとう、そう言ってもらえて嬉しいわ
新太郎,それではお見送りを…あずさ、送って差し上げなさい
律子,あっ、私たちなら大丈夫なので
新太郎,そういう訳にはきません、さぁあずさ
あずさ,はい、それではこちらへ
P,いやぁ、来た時も思ったが…やっぱり中も立派な作りですね
あずさ,ありがとうございます、と言ってもまだ出来たばかりなのでそう見えるだけかもしれませんが
P,しかし呉服屋さんと伺っていたんですが、それ以外の物まで取り扱っているんですね？
律子,ちょっと先生、恥ずかしいこと聞かないでくださいよ…
P,え？何かおかしなこと言ってたか？
律子,三浦屋さんは確かに立派な呉服屋さんですけど、この建物になってからは百貨店でもあるんですから
P,百貨店、通りで物が多いわけだな
律子,すいません、この人本当に世間知らずなもので…
あずさ,ふふっ、良いんですよ？三浦屋もまだまだっていうことですから
律子,そんなっ！三浦屋さんがまだまだだなんて…
P,これからも伸びるっていうことでいいじゃないか、縁起も良さそうだし
律子,あなたはねぇ…
あずさ,そうですね、もっともっとたくさんの人に三浦屋を知ってほしいですし
P,ほら、あずささんもこう言って…って美希のやつはどこに行ったんだ？
律子,そういえば、あの子ったらどこに行ったのかしら…
P,こんなだだっ広い所で迷子なんてゴメンだぞ
美希,ハ～ニ～!!!!
P,おっと、あんなところに…お前そんな所で何やってんだ
美希,見てハニー！すっごく綺麗なお着物見つけたの！
P,着物？そりゃあ呉服屋なんだから着物ぐらいあるだろうに
美希,そうだけど、ほら！とっても綺麗でしょ！
P,おぉ…まぁ綺麗だな
律子,うわぁ…とっても良い品みたいですね、色も可愛いですし
美希,ねぇねぇハニー！美希これ着てみたい！
P,馬鹿言うな、お前の事だから一度着せたら欲しいとか言い出すだろうが！
美希,言わないから！ねぇお願いハニー
P,えぇ…
律子,ダメよ美希、買わないのに着せてもらうだけじゃお店の人に迷惑でしょう？今日は諦めなさい
あずさ,あら、構いませんよ？こんなに可愛い女の子に着てもらえたらお着物も嬉しいでしょうし
美希,やった♪
律子,いえ、でも…
あずさ,良いんです、どうせでしたら貴方も一緒に着られてみたらどうです？
律子,え!?いや私は…
あずさ,遠慮なさらずにっ！さぁさぁ
美希,あずさもこう言ってるの！行こう律子さんっ！
律子,ちょっと…やだ押さないでって！
P,本日二度目のお色直しですか…
律子,…
美希,ハニー！
あずさ,あらあら～、やっぱり二人共よく似合ってるわ～
P,おぉ、これはなかなかのもんじゃないか
美希,そうでしょ？美希自分でもとっても似合ってると思うな！
あずさ,律子さんもとっても綺麗よ？
律子,お、お世辞でも嬉しいです
あずさ,あらお世辞だなんて、探偵さんもそう思いますよね？
P,馬子にも衣裳とはまさに…
律子,なんですって？
P,これは失敬…
あずさ,うふふっ、それじゃあこれは私からお二人への贈り物にさせてもらおうかしら？
律子,お、贈り物ですか？
あずさ,はい～、これだけ似合ってるんですもの、是非これからも着ていただきたいわ
P,いやいや、生憎そんな持ち合わせは…
あずさ,ですから贈り物ですっ、お代は結構ですよ？
美希,えっ！このお着物くれるの？
律子,そんな、こんな高価なもの頂くわけには…
あずさ,良いんです、こんなに綺麗なお嬢さんたちがうちの着物を着てくれればそれだけで宣伝になりますし
P,いや、でも…
あずさ,もちろん依頼料とは別ですから安心してくださいね？
美希,やった！ありがとうあずさ！
律子,本当にありがとうございます！
P,はぁ…
警官,ん～…ここのところ殺人や失踪人の届けは出ていないみたいだなぁ
P,岩田時彦っていう名前以外でもか？
警官,失踪人は女性ばかりだしな、男の名前は出てない…それにその名前に前科者はいないみたいだな
P,そうかい、忙しいのところ悪いな？
警官,それは構わんが、また何かの依頼かい？
美希,うん！今度はまた人探しなの！
P,失踪人の届けが出てれば早いと思ったんだがなぁ、やはりそううまくはいかないか
警官,力になれずにすまんな、先生には先日の一件で世話になったっていうのに
P,気にしないでくれよ、それより件の署長飛ばされたんだってな？
警官,あぁ、あれだけ滅茶苦茶な事やってくれたんだからな
P,クビにならなかっただけまだマシか
警官,しかし、区長殿なんて未だにのうのうと椅子に座ったままだしな
P,まぁそんなもんさ
警官,悲しい限りだよ
P,とにかく、この男の事で何かわかったら連絡をくれると助かるよ…それと人相書きをここに置いておくから
警官,あぁ、近隣の署の人間にも聞いてみるから
P,頼んだよ、それじゃあな
美希,じゃあね！
警官,あぁ、わかり次第連絡するよ
美希,ねぇねぇハニー？
P,ん？どうした？
美希,いなくなったあずさの恋人って時彦さんっていうんだよね？
P,そうだが、それがどうかしたのか？
美希,どうしてハニーは警官さんに時彦さん以外の人のことも聞いていたの？
P,あぁ…そりゃ岩田時彦が岩田時彦じゃないって可能性があるからだよ
美希,えっと…どういうこと？
P,つまり、偽名を使っていた可能性があるってことだ
美希,偽名？なんでそんなものを使う必要があるの？
P,そりゃお前、あずささんを騙すためだろうが
美希,で、でも…時彦さんはあずさがお金持ちだって知らなかったって
P,知っていたけど黙っていた可能性もあるぞ
美希,それはそうだけど…
P,それに俺やお前のように三浦屋を知らない人間だっているだろうが、あれだけ高そうな着物を着てれば少なくとも良いとこのお嬢さんだってのはわかるしな
美希,じゃあやっぱりあずさは騙されちゃったの？
P,それはまだ何とも言えんな、実際この辺りで有名な詐欺師の話は聞かないし、何よりあずささんはまだお金を取られちゃいない。あれだけ美人だから単純に弄ばれたってのもあるかもしれないが、その割には清いお付き合いにも見えるしなぁ
美希,う～んわからないの…
P,そういえば美希、お前昨日は嘘の匂いを感じなかったのか？
美希,したことにはしたんだけど、そんなに嫌な匂いじゃなかったかな
P,という事はそんなに悪意のある嘘じゃないって事か
美希,多分そうだと思うな？
P,そうか…ならとにかく今は時彦の人相書きを見せて回るしかないって事だな
美希,美希もしっかり頑張るの！
P,そりゃああれだけ上等な着物をもらったんなら頑張るよなぁ
美希,ち、違うの！美希はあずさの幸せのためを思って！
P,はいはい、幸せのため幸せのため
美希,もうっ！ハニーがいじわるなのっ！
弥吉,岩田時彦ですかい？
P,あぁ、顔の広い弥吉さんなら知ってるかと思ってさ
弥吉,すいやせんが、あっしは覚えがないですねぇ…どこかで聞いたような気もするんですが、知り合いにはいやせんね
P,それじゃあこの顔には？
弥吉,この顔にも見覚えは…おいやよい！おめぇは知らねぇのかい？
やよい,う～ん…私も見たことないかな～って
美希,やっぱり二人も知らないんだね？
弥吉,お力になれず申し訳ありやせん…
P,いやいや、気にしないでくれよ
やよい,私も、先生にはお返ししなくちゃいけないのに…
P,やよいも、お返しだなんて気にしなくていいんだからさ
弥吉,しかし先生、人探したぁまた何かの事件ですかい？
P,まぁそんなところさ、とにかくありがとう！それじゃあ…
やよい,うっうー！またお庭の掃除に行きますね！
P,おう、今回も綺麗にしてくれな！
美希,やよいに弥吉さん、またねー！
弥吉,へい！それじゃあまた！
小鳥,あら、若先生が来るだなんて珍しいですね？
P,お久しぶりです小鳥先生、いや今日はちょっと人探しでね？
美希,小鳥先生こんにちは！
小鳥,こんにちは美希ちゃん、でも若先生？久しぶりに来てくれたっていうのに人探しのついでなんてがっかりですよ？
