千川ちひろ,では、こちらの部屋でお待ちください。もう2人もすぐに到着するはずです
瑞希,では、開いてみましょう
薫,何だその項目は！？"故障かな？と思ったら"みたいに書くんじゃない！
瑞希,さてさて、ちなみに中身は……
裕子,結局！？
薫,僕が言うのも可笑しいが、扱いが軽すぎるだろう
裕子,むむむ……。まあ、サイキックの特訓として手品の練習をすることはありますが……
薫,それならいいだろう
瑞希,しかし、桜庭さんに手品とは意外です。……おっと、失礼だぞ
薫,いや、よく言われることだ。まあ、医者というのは手術や治療だけをしていればよいというものではない。例えば病室を回る時、患者の家族と話す時、年端もいかない子供と話す機会は少なくない
裕子,なるほど……！
薫,見ての通り愛想というモノがないからな。一つの手段というわけだ。まあ、その前から姉に披露していた……ということを話す義理はないだろう
瑞希,奇遇ですね。私も愛想というモノがわかりません。しかし、手品を見せればみんな、驚きや笑顔を返してくれるのです
裕子,わ、私も愛想がないんですよね！！！
薫,だからなぜ張り合うんだ君は
裕子,というか、せっかくお仕事をするんですから"君"ではなく、ちゃんと名前を呼んでくれればもっと距離が縮まると思いませんかっ！？
薫,……君の思考回路は本当に読めないな
瑞希,おや、また"君"でしたね。……さびしいぞ
薫,はぁ……。仕方がない。要求を飲もう、何と呼べばいい？
裕子,エスパーユッコです！
薫,長い。却下
裕子,ええ！？
瑞希,エスパーマカベミズキでお願いします。……いえい
薫,目の前で7文字が却下されたのによく10文字の提案ができるな
瑞希,照れるぞ
薫,恥じれ。堀と真壁で我慢しろ。エスパーだのなんだの面倒だ
裕子,桜庭さんはなんと呼ばれたいですか？
薫,……何を言っているのかわからないが、そのままでいい
瑞希,了解しました。今まで通り、"かおるちゃん"ですね。……なかよし
薫,1度も呼んでないだろう！？
裕子,薫ちゃんはウチの事務所にもいるのでちょっと……
薫,なぜ僕の提案が却下されたみたいになっているんだ！。薫ちゃんと言うな！！！！！。というか、そもそもなぜ僕なんだ。ウチの事務所ならあのメイドも手品をよく披露しているだろう
裕子,メイド？メイドさんがいるんですか？
薫,いや、そういう恰好をいつもしているだけだ
桜庭薫が"あのメイド,水嶋咲さん
薫,思考が読まれすぎて単純に気味が悪い。ぐっ……そういうことか……
瑞希,……私は趣味:手品ですが、黙っておきましょう。……にやにや
薫,丸聞こえだ。隠す気あるのか
裕子,雑談はこのくらいにして、企画書を読み進めましょう！
薫,僕が進行を妨げていたような言い方はやめろ
瑞希,まあまあ。……次ページへごー
裕子,サイキック……
薫,もういいだろう……
瑞希,なるほど、その1番手に私たちが選ばれたのですね。……うれしいぞ
薫,僕以外でお願いしたかったがな
裕子,なるほど……
薫,例え架空の話であっても、やるからには全力を尽くして考えよう
瑞希,おお、やる気満々ですね。頼もしいです
裕子,では、誰の人体を切断しますか？
薫,いきなり快楽殺人犯のようなセリフを言うのはやめろ！
裕子,はっ！も、もちろんサイキッ……マジッ……て、手品ですからね！
薫,わかっている！あと分類はどうでもいいだろう！
瑞希,そこまで大規模なものになってしまうと、リハなどに時間がかかりそうで現実的ではないですね
薫,その通りだ
瑞希,ざんねん
薫,残念ではない
裕子,しかし、そうなると水中脱出か空中浮遊か死者蘇生しか……
薫,僕の知っている手品との齟齬が酷いな
瑞希,それだけでお金が取れるのでは
裕子,それがダメなら……やはりスプーン曲げでしょうか……
薫,急に地味すぎる
裕子,では薫さ……かおるちゃんは何か案があるんですか！？
薫,薫ちゃんと呼ぶな！！！！！。そもそもライブ会場なら、後ろまで見える上にインパクトがなければいけないだろう
裕子,なるほど……
瑞希,ふむふむ。では、花束をどこからともなく出現させるなどはどうでしょう。……えっへん
薫,ふむ、それは見やすくていいかもしれない
裕子,あっ！サイキック名案が浮かびましたよ！
薫,一応聞いてやろう
瑞希,ではお花を摘みに
裕子,瑞希さーん！！！
瑞希,冗談です。……ふふふ
裕子,びっくりさせないでください！
薫,それで、名案というのはなんなんだ？
裕子,はい！次に歌うアイドルに関係する花を出現させるんです！
薫,ほう
瑞希,なるほどなるほど
裕子,花を持って歌うアイドルも絵になるでしょう？
薫,例えば？
裕子,そうですね……、ウチの事務所にはLiPPSというユニットがいまして、Tulipという曲があるんです！なので、チューリップを出現させます！
瑞希,素晴らしいですね。こちらなら……、そうですね、月見草を四条さんに渡して、風花や恋花を優雅に歌ってほしいものです。……見たいぞ
薫,思いの外、悪くない案だ。こちらは確か、BeitのCDジャケットに白い薔薇が写っていたはずだ。あいつらなら花束を持ったパフォーマンスも、まあ映えるかもしれないな
裕子,"思いの外"とは
薫,よく聞こえないな
瑞希,ですが、いきなり現れて花束を出現させてバトンタッチ？……シュールでは
薫,確かに、足りない気もするが……
裕子,あっ！サイキック名案が浮かびましたよ！
薫,君はそれを言わないと発言できないのか
裕子,私たちの持っているマイクを花束にするんです！それなら"次に歌うアイドル"というのをうっすら示せます！
薫,案はいいんだが
裕子,案"は"？
薫,よく聞こえないな
瑞希,……
薫,どうした真壁
瑞希,み、ミズキック名案が浮かんだぞ。……ぞ
薫,照れるなら挑むな！
裕子,何が恥ずかしいのでしょうか？
薫,自覚がないのか……！？。で、案は？
瑞希,はい、マイクから花束まで、しりとりで変化させていくんです
薫,なるほど
裕子,面白いですね！
瑞希,そうすれば、パフォーマンス的側面を維持しつつ、バトンを繋げます。……どうだ
薫,良い案だと僕は感じるが、堀はどう思う
裕子,よい
薫,語彙力
瑞希,では、マイクからのしりとりを考えましょう。……楽しくなってきたぞ
薫,着地点は"花束"で、2～3回が理想だな
裕子,あまり時間も取れないでしょうからね！
薫,では、各自少し考えよう
瑞希・裕子,はーい
裕子,ではまず、私から！
瑞希,……わくわく
裕子,まず、"マイク"の次は"クラッカー"です！
薫,クラッカー……サイズも丁度良いし、音を鳴らせばパフォーマンスにもなる……。いいじゃないか
裕子,次が"壁"
薫,壁！？。クラッカーを消して壁を出現させるのか！？魔法じゃないんだぞ！？
瑞希,問題ありません。パンっと手を合わせて、えいっと地面に両手をつければ壁くらい出せます。……しんりのとびら
薫,錬金術でもない！
裕子,"壁"ときて、"弁護士"
薫,とうとう職業じゃないか！先ほどの会話が頭に残っているな！？
裕子,"弁護士"からの、"しゅがは"
薫,誰だ！！！
裕子,あれ？知りませんかっ？我が事務所の誇る最強の飛び道具！
薫,馬鹿にしているのはわかった
瑞希,私も知らないですね。……すうぃーてぃー
裕子,知ってますよね！？
薫,却下だ却下。壁の時点で気付くべきだろう
裕子,会話のテンポを重視しています！
薫,中身を伴えと言っているだろう！
瑞希,では、私の番ですね。……がんばるぞ
薫,さっきのよりダメなことはないだろうが
裕子,ひどい
瑞希,まず、"マイク"から、"クロアチア"
薫,国！！！！！。却下だ！！！どうやってマイクをクロアチアにするんだ！！！
瑞希,ふむ、やはり桜庭さんはクウェート派でしたか。……ミズキ大失敗
薫,そういう問題じゃない！
裕子,元気ですね！
薫,誰のせいだと思っている！！！。……ふう、取り乱してしまった
裕子,では、桜庭さんの案を！
瑞希,わくわく
薫,結局丸投げか……仕方がない。僕の案はこれだ。薬箱を上に放り投げたら大量の木の葉になって降ってくる。その中に手を伸ばせば花束が出てくる。というわけだ
裕子,おおー！
瑞希,素晴らしいです。……ボケた甲斐がありました
薫,なぜボケる
裕子,では、決定ですね！
薫,それはいいが、どうすればこの仕事は完遂されるんだ？
瑞希,はい？
薫,これは架空のライブの話だろう？今の企画案をレポートにでも纏めて提出でもするのか？
裕子,何を言っているんですか？
薫,どういう意味だ
裕子,ほら、あのカメラ
薫,……は？
裕子,この話し合いは収録されてて、このまま流すみたいですよ？
薫,……な、ば、馬鹿な……！？
瑞希,私は途中で気が付きましたよ？……まんぞく
裕子,じゃあ、ありがとうございました！
瑞希,またご縁があれば、どこかで
薫,二度と会うものか！！！
如月千早,真壁さん
瑞希,おや、如月さん
千早,例の企画、見させてもらったわ
瑞希,おお、それはそれは。……照れるぞ
千早,真壁さんの冗談、素晴らしかったわ！
瑞希,いえいえ、如月さんのおかげです
千早,きっと、これからバラエティの企画も増えるんじゃないかしら
瑞希,ようやく世界が追い付きましたね。……ふふん
千早,ふふふ
瑞希,ふふ
片桐早苗,ユッコちゃん！！！
裕子,ひうっ！？さ、早苗さん！？
早苗,見たわよ！合同企画のやつ！
裕子,見てくださいましたか！どうでしたか！
早苗,どうでしたかじゃないわよ！年上の方にあんな態度で！
裕子,し、しかし、桜庭さんはとっても優しくてですね
早苗,言い訳しない！ほら！菓子折り持って謝り行くわよ！
裕子,ひ、ひええぇぇ……
天道輝,かおるちゃ～ん！
薫,くたばれ
輝,ええ！？
